높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
조로록거리다	t͡ɕo̞ɾo̞ɾo̞k̚k͈ʌ̹ɾida̠
부윰하다	pujumɦa̠da̠
모퉁이	mo̞tʰuŋi
다툼질	ta̠tʰumd͡ʑiɭ
감정적소구	ka̠md͡ʑʌ̹ŋd͡ʑʌ̹ks͈o̞ɡu
반맥	pa̠nmɛ̝k̚
대구광역시	tɛ̝ɡuɡwa̠ŋjʌ̹kɕ͈i
전화번호	t͡ɕʌ̹nβwa̠bʌ̹nβo̞
명제	mjʌ̹ŋd͡ʑe̞
찌부럭찌부럭	t͡ɕ͈ibuɾʌ̹k̚t͡ɕ͈ibuɾʌ̹k̚
징집면제	t͡ɕiŋd͡ʑimmjʌ̹nd͡ʑe̞
구두덜	kududʌ̹ɭ
싸작하다	s͈a̠d͡ʑa̠kʰa̠da̠
굽적하다	kup̚t͡ɕ͈ʌ̹kʰa̠da̠
신경아세포종	ɕʰinɡjʌ̹ŋa̠sʰe̞pʰo̞d͡ʑo̞ŋ
위폐	ɥipʰje̞,ɥipʰe̞,ypʰje̞,ypʰe̞
백팔십구	pɛ̝k̚pʰa̠ɭɕʰip̚k͈u
월경통	wʌ̹ɭɡjʌ̹ŋtʰo̞ŋ
씀벅거리다	s͈ɯmbʌ̹k̚k͈ʌ̹ɾida̠
수송	sʰusʰo̞ŋ
후살이	ɸʷusʰa̠ɾi
이십이	iɕʰibi
까부장거리다	k͈a̠bud͡ʑa̠ŋɡʌ̹ɾida̠
소선거구	sʰo̞sʰʌ̹nɡʌ̹ɡu
양반전	ja̠ŋba̠nd͡ʑʌ̹n
부활절	puβwa̠ɭd͡ʑʌ̹ɭ
자르랑거리다	t͡ɕa̠ɾɯɾa̠ŋɡʌ̹ɾida̠
보무당당	po̞muda̠ŋda̠ŋ
진폭	t͡ɕinpʰo̞k̚
에구데구	e̞ɡude̞ɡu
잡담	t͡ɕa̠p̚t͈a̠m
약화하다	ja̠kʰwa̠ɦa̠da̠
꽥꽥	k͈wɛ̝k̚k͈wɛ̝k̚
법조	pʌ̹p̚t͡ɕ͈o̞
찰거머리	t͡ɕʰa̠ɭɡʌ̹mʌ̹ɾi
양력	ja̠ŋɲjʌ̹k̚
세계지도	sʰe̞ɡje̞d͡ʑido̞,sʰe̞ɡe̞d͡ʑido̞
초췌하다	t͡ɕʰo̞t͡ɕʰwe̞ɦa̠da̠
송별회	sʰo̞ŋbjʌ̹ɾɦø̞,sʰo̞ŋbjʌ̹ɾβwe̞
파사삭대다	pʰa̠sʰa̠sʰa̠k̚t͈ɛ̝da̠
덩어리	tʌ̹ŋʌ̹ɾi
허빗허빗하다	hʌ̹bitʰʌ̹bitʰa̠da̠
괴상망측	kø̞sʰa̠ŋma̠ŋt͡ɕʰɯk̚,kwe̞sʰa̠ŋma̠ŋt͡ɕʰɯk̚
영양	jʌ̹ŋja̠ŋ
빙하학	piŋɦa̠ɦa̠k̚
군중고독	kund͡ʑuŋɡo̞do̞k̚
유동식	judo̞ŋɕʰik̚
독기	to̞k̚k͈i
유층	jut͡ɕʰɯŋ
벌름벌름	pʌ̹ɭɭɯmbʌ̹ɭɭɯm
부엌	puʌ̹k̚
굴착하다	kuɭt͡ɕʰa̠kʰa̠da̠
대부대	tɛ̝budɛ̝
판가리	pʰa̠nɡa̠ɾi
잘쯔부르그	t͡ɕa̠ɭt͡ɕ͈ɯbuɾɯɡɯ
수비진	sʰubid͡ʑin
홀딱	ɸʷo̞ɭt͈a̠k̚
파트너	pʰa̠tʰɯnʌ̹
매기그물	mɛ̝ɡiɡɯmuɭ
다이어트	ta̠iʌ̹tʰɯ
핍박	pʰip̚p͈a̠k̚
체로	t͡ɕʰe̞ɾo̞
일어	iɾʌ̹
알제리	a̠ɭd͡ʑe̞ɾi
간접정범	ka̠nd͡ʑʌ̹p̚t͡ɕ͈ʌ̹ŋbʌ̹m
대접하다	tɛ̝d͡ʑʌ̹pʰa̠da̠
무사분열	musʰa̠buɲjʌ̹ɭ
만고불변	ma̠nɡo̞buɭbjʌ̹n
니글거리다	niɡɯɭɡʌ̹ɾida̠
곰상곰상	ko̞msʰa̠ŋɡo̞msʰa̠ŋ
개인주의	kɛ̝ind͡ʑuɰi
태	tʰɛ̝
안일	a̠niɭ
중앙금고	t͡ɕuŋa̠ŋɡɯmɡo̞
실쭉거리다	ɕʰiɭt͡ɕ͈uk̚k͈ʌ̹ɾida̠
레자	ɾe̞d͡ʑa̠
메리트	me̞ɾitʰɯ
편향	pʰjʌ̹nʝja̠ŋ
어리광	ʌ̹ɾiɡwa̠ŋ
동반장	to̞ŋba̠nd͡ʑa̠ŋ
우수하다	usʰuɦa̠da̠
후년	ɸʷuɲjʌ̹n
탈박이다	tʰa̠ɭba̠ɡida̠
귀가	kɥiɡa̠,kyɡa̠
객관예보	kɛ̝k̚k͈wa̠ɲje̞bo̞
태고사	tʰɛ̝ɡo̞sʰa̠
소화물	sʰo̞βwa̠muɭ
혁명	çjʌ̹ŋmjʌ̹ŋ
이내	inɛ̝
아우	a̠u
맥황	mɛ̝kʰwa̠ŋ
비칠	pit͡ɕʰiɭ
엑상프로방스	e̞ks͈a̠ŋpʰɯɾo̞ba̠ŋsʰɯ
깜찍	k͈a̠mt͡ɕ͈ik̚
방적기계	pa̠ŋd͡ʑʌ̹k̚k͈iɡje̞,pa̠ŋd͡ʑʌ̹k̚k͈iɡe̞
쪼작쪼작하다	t͡ɕ͈o̞d͡ʑa̠k̚t͡ɕ͈o̞d͡ʑa̠kʰa̠da̠
서예관	sʰʌ̹je̞ɡwa̠n
처방전	t͡ɕʰʌ̹ba̠ŋd͡ʑʌ̹n
련어	ɾjʌ̹nʌ̹
빚	pit̚
배트	pɛ̝tʰɯ
군드러지다	kundɯɾʌ̹d͡ʑida̠
찾아가다	t͡ɕʰa̠d͡ʑa̠ɡa̠da̠
성심	sʰʌ̹ŋɕʰim
치명타	t͡ɕʰimjʌ̹ŋtʰa̠
쌍각	s͈a̠ŋɡa̠k̚
짜글거리다	t͡ɕ͈a̠ɡɯɭɡʌ̹ɾida̠
유랑자	juɾa̠ŋd͡ʑa̠
질름	t͡ɕiɭɭɯm
광천염	kwa̠ŋt͡ɕʰʌ̹ɲjʌ̹m
대류역전	tɛ̝ɾjujʌ̹k̚t͡ɕ͈ʌ̹n
휘뜩대다	hɥit͈ɯk̚t͈ɛ̝da̠,hyt͈ɯk̚t͈ɛ̝da̠
미래감지현상	miɾɛ̝ɡa̠md͡ʑiʝjʌ̹nsʰa̠ŋ
지바현	t͡ɕiba̠ʝjʌ̹n
관공서	kwa̠nɡo̞ŋsʰʌ̹
빙정핵	piŋd͡ʑʌ̹ŋɦɛ̝k̚
만찬회	ma̠nt͡ɕʰa̠nɦø̞,ma̠nt͡ɕʰa̠nβwe̞
연말	jʌ̹nma̠ɭ
사용법	sʰa̠joŋbʌ̹p̚
생당포	sʰɛ̝ŋda̠ŋpʰo̞
앤솔러지	ɛ̝nsʰo̞ɭɭʌ̹d͡ʑi
까닥하다	k͈a̠da̠kʰa̠da̠
반호	pa̠nβo̞
찌꺽찌꺽하다	t͡ɕ͈ik͈ʌ̹k̚t͡ɕ͈ik͈ʌ̹kʰa̠da̠
당콩	ta̠ŋkʰo̞ŋ
모험가	mo̞ɦʌ̹mɡa̠
백분법	pɛ̝k̚p͈unbʌ̹p̚
생글	sʰɛ̝ŋɡɯɭ
퍼뜩거리다	pʰʌ̹t͈ɯk̚k͈ʌ̹ɾida̠
체계	t͡ɕʰe̞ɡje̞,t͡ɕʰe̞ɡe̞
치	t͡ɕʰi
녾다	no̞ntʰa̠
모색	mo̞sʰɛ̝k̚
산업동원	sʰa̠nʌ̹p̚t͈o̞ŋwʌ̹n
동긋	to̞ŋɡɯt̚
권고	kwʌ̹nɡo̞
편만	pʰjʌ̹nma̠n
싱긋빙긋	ɕʰiŋɡɯt̚p͈iŋɡɯt̚
식물상	ɕʰiŋmuɭsʰa̠ŋ
봉축하다	po̞ŋt͡ɕʰukʰa̠da̠
가개	ka̠ɡɛ̝
오돌토돌	o̞do̞ɭtʰo̞do̞ɭ
시혜	ɕʰiʝje̞,ɕʰiɦe̞
가게거미과	ˈka̠ːɡe̞ɡʌ̹miɡwa̠
지황	t͡ɕiβwa̠ŋ
구축하다	kut͡ɕʰukʰa̠da̠
학도대	ha̠k̚t͈o̞dɛ̝
칠럼거리다	t͡ɕʰiɭɭʌ̹mɡʌ̹ɾida̠
금발미인	kɯmba̠ɭmiin
볼쏙대다	po̞ɭs͈o̞k̚t͈ɛ̝da̠
포르륵포르륵하다	pʰo̞ɾɯɾɯk̚pʰo̞ɾɯɾɯkʰa̠da̠
부끄럼	puk͈ɯɾʌ̹m
푸떡거리다	pʰut͈ʌ̹k̚k͈ʌ̹ɾida̠
까꿍	k͈a̠k͈uŋ
추운	t͡ɕʰuun
이때	it͈ɛ̝
복사열	po̞ks͈a̠jʌ̹ɭ
스토리	sʰɯtʰo̞ɾi
전전월	t͡ɕʌ̹nd͡ʑʌ̹nwʌ̹ɭ
생활형	sʰɛ̝ŋβwa̠ɾʝjʌ̹ŋ
펄쩍거리다	pʰʌ̹ɭt͡ɕ͈ʌ̹k̚k͈ʌ̹ɾida̠
생기발랄	sʰɛ̝ŋɡiba̠ɭɭa̠ɭ
찌꺽	t͡ɕ͈ik͈ʌ̹k̚
퍼석하다	pʰʌ̹sʰʌ̹kʰa̠da̠
자신감	t͡ɕa̠ɕʰinɡa̠m
미적쾌감	mid͡ʑʌ̹k̚kʰwɛ̝ɡa̠m
목적범	mo̞k̚t͡ɕ͈ʌ̹k̚p͈ʌ̹m
냠냠대다	ɲja̠mɲja̠mdɛ̝da̠
얼쭝대다	ʌ̹ɭt͡ɕ͈uŋdɛ̝da̠
꿉꿉	k͈up̚k͈up̚
양장점	ja̠ŋd͡ʑa̠ŋd͡ʑʌ̹m
흘러내리다	xɯɭɭʌ̹nɛ̝ɾida̠
폐차	pʰje̞t͡ɕʰa̠,pʰe̞t͡ɕʰa̠
길들다	kiɭdɯɭda̠
공지	ko̞ŋd͡ʑi
귀착하다	kɥit͡ɕʰa̠kʰa̠da̠,kyt͡ɕʰa̠kʰa̠da̠
더끔더끔	tʌ̹k͈ɯmdʌ̹k͈ɯm
목검	mo̞k̚k͈ʌ̹m
변조하다	pjʌ̹nd͡ʑo̞ɦa̠da̠
새근발딱하다	sʰɛ̝ɡɯnba̠ɭt͈a̠kʰa̠da̠
번호패	pʌ̹nβo̞pʰɛ̝
유발	juba̠ɭ
고붓	ko̞but̚
오비이락	o̞biiɾa̠k̚
원제목	wʌ̹nd͡ʑe̞mo̞k̚
산상수훈	sʰa̠nsʰa̠ŋsʰuβun
육개장	juk̚k͈ɛ̝d͡ʑa̠ŋ
주루룩대다	t͡ɕuɾuɾuk̚t͈ɛ̝da̠
나무토막	na̠mutʰo̞ma̠k̚
삼대일월	sʰa̠mdɛ̝iɾwʌ̹ɭ
멀커덕멀커덕하다	mʌ̹ɭkʰʌ̹dʌ̹ŋmʌ̹ɭkʰʌ̹dʌ̹kʰa̠da̠
불가결	puɭɡa̠ɡjʌ̹ɭ
학년도	ha̠ŋɲjʌ̹ndo̞
주물럭	t͡ɕumuɭɭʌ̹k̚
문건	munɡʌ̹n
치제	t͡ɕʰid͡ʑe̞
사유재산	sʰa̠jud͡ʑɛ̝sʰa̠n
수동식	sʰudo̞ŋɕʰik̚
거푸수수	kʌ̹pʰusʰusʰu
그렁대다	kɯɾʌ̹ŋdɛ̝da̠
너부데데	nʌ̹bude̞de̞
구명대	kumjʌ̹ŋdɛ̝
깜짝	k͈a̠mt͡ɕ͈a̠k̚
보습	po̞sʰɯp̚
열셋	jʌ̹ɭsʰe̞t̚
득실상반	tɯkɕ͈iɭsʰa̠ŋba̠n
호륵호륵하다	ɸʷo̞ɾɯkʰo̞ɾɯkʰa̠da̠
검불그스름하다	kʌ̹mbuɭɡɯsʰɯɾɯmɦa̠da̠
득남하다	tɯŋna̠mɦa̠da̠
깜짝하다	k͈a̠mt͡ɕ͈a̠kʰa̠da̠
속언	sʰo̞ɡʌ̹n
가마니바늘	ka̠ma̠niba̠nɯɭ
전복	t͡ɕʌ̹nbo̞k̚
전령	t͡ɕʌ̹ɭʎjʌ̹ŋ
분향재배	punʝja̠ŋd͡ʑɛ̝bɛ̝
방직공	pa̠ŋd͡ʑik̚k͈o̞ŋ
투자회사	tʰud͡ʑa̠ɦø̞sʰa̠,tʰud͡ʑa̠βwe̞sʰa̠
판단되다	pʰa̠nda̠ndø̞da̠,pʰa̠nda̠ndwe̞da̠
탈바닥하다	tʰa̠ɭba̠da̠kʰa̠da̠
목공예	mo̞k̚k͈o̞ŋje̞
번쩍번쩍	pʌ̹nt͡ɕ͈ʌ̹k̚p͈ʌ̹nt͡ɕ͈ʌ̹k̚
지방장관	t͡ɕiba̠ŋd͡ʑa̠ŋɡwa̠n
설치하다	sʰʌ̹ɭt͡ɕʰiɦa̠da̠
방종하다	pa̠ŋd͡ʑo̞ŋɦa̠da̠
벌컥벌컥	pʌ̹ɭkʰʌ̹k̚p͈ʌ̹ɭkʰʌ̹k̚
삼세인과	sʰa̠msʰe̞inɡwa̠
명품	mjʌ̹ŋpʰum
짜글	t͡ɕ͈a̠ɡɯɭ
거듭홀소리	kʌ̹dɯpʰo̞ɭsʰo̞ɾi
무승부	musʰɯŋbu
기권하다	kiɡwʌ̹nɦa̠da̠
듯싶다	tɯt̚ɕ͈ip̚t͈a̠
내수	nɛ̝sʰu
태부족	tʰɛ̝bud͡ʑo̞k̚
소방수	sʰo̞ba̠ŋsʰu
꺼벅대다	k͈ʌ̹bʌ̹k̚t͈ɛ̝da̠
승계	sʰɯŋɡje̞,sʰɯŋɡe̞
순교	sʰunɡjo
달깡하다	ta̠ɭk͈a̠ŋɦa̠da̠
삼라만상	sʰa̠mna̠ma̠nsʰa̠ŋ
덜렁	tʌ̹ɭɭʌ̹ŋ
혈연관계	çjʌ̹ɾjʌ̹nɡwa̠nɡje̞,çjʌ̹ɾjʌ̹nɡwa̠nɡe̞
반연성	pa̠ɲjʌ̹nsʰʌ̹ŋ
곡예비행	ko̞ɡje̞biɦɛ̝ŋ
짤금대다	t͡ɕ͈a̠ɭɡɯmdɛ̝da̠
수박색	sʰuba̠ks͈ɛ̝k̚
옹졸하다	ˈo̞ːŋd͡ʑo̞ɾɦa̠da̠
원심운동	wʌ̹nɕʰimundo̞ŋ
간혹	ka̠nβo̞k̚
어청대다	ʌ̹t͡ɕʰʌ̹ŋdɛ̝da̠
사업단	sʰa̠ʌ̹p̚t͈a̠n
회귀기	hø̞ɡɥiɡi,ɸwe̞ɡɥiɡi,hø̞ɡyɡi,ɸwe̞ɡyɡi
혼일	ɸʷo̞niɭ
가무이야기	ka̠muija̠ɡi
꺼무럭대다	k͈ʌ̹muɾʌ̹k̚t͈ɛ̝da̠
극거리	kɯk̚k͈ʌ̹ɾi
인터네트	intʰʌ̹ne̞tʰɯ
봉서	po̞ŋsʰʌ̹
소방선	sʰo̞ba̠ŋsʰʌ̹n
관설	kwa̠nsʰʌ̹ɭ
테르븀	tʰe̞ɾɯbjum
매롱매롱	mɛ̝ɾo̞ŋmɛ̝ɾo̞ŋ
암글	a̠mɡɯɭ
한겨레	ha̠nɡjʌ̹ɾe̞
위품	ɥipʰum,ypʰum
징발	t͡ɕiŋba̠ɭ
기명	kimjʌ̹ŋ
석질	sʰʌ̹k̚t͡ɕ͈iɭ
악용하다	a̠ɡjoŋɦa̠da̠
자멸하다	t͡ɕa̠mjʌ̹ɾɦa̠da̠
두량	tuɾja̠ŋ
고착	ko̞t͡ɕʰa̠k̚
공개	ko̞ŋɡɛ̝
얼결	ʌ̹ɭɡjʌ̹ɭ
만수산	ma̠nsʰusʰa̠n
찰칵대다	t͡ɕʰa̠ɭkʰa̠k̚t͈ɛ̝da̠
당류	ta̠ŋɲju
