gút mắt	ɣut˦˥măt˦˥
cơm khê	kɤm˧˧xe˧˧
tự kỷ ám thị	tɯ˨ˀ˩ʔki˧˩˨am˨˦tʰi˨ˀ˩ʔ
sai số (toán)	saj˧˧so˨˦twan˨˦
chuyển nghĩa	cwiən˧˩˨ŋiə˧ˀ˥
một đồng chẳng thông đi chợ	mot˨ˀ˩doŋ͡m˧˨căŋ˧˩˨tʰoŋ͡m˧˧di˧˧cɤ˨ˀ˩ʔ
thị kính	tʰi˨ˀ˩ʔkiŋ˨˦
mạnh hạ	mɛŋ˨ˀ˩ʔha˨ˀ˩ʔ
bù đi bớt lại	bu˧˨di˧˧bɤt˦˥laj˨ˀ˩ʔ
cấm tiệt	kɤ̆m˨˦tiət˨ˀ˩
cầm chừng	kɤ̆m˧˨cɯŋ˧˨
siêu bội	siəw˧˧boj˨ˀ˩ʔ
đủng đà đủng đỉnh	duŋ͡m˧˩˨da˧˨duŋ͡m˧˩˨diŋ˧˩˨
chuông treo chỉ mảnh	cuəŋ˧˧ceo˧˧ci˧˩˨mɛŋ˧˩˨
xác suất	sak˦˥swɤ̆t˦˥
trong khoảng	cɔŋ͡m˧˧xwaŋ˧˩˨
mấy khi	mɤ̆j˨˦xi˧˧
giấy phép	zɤ̆j˨˦fɛp˦˥
thương trạch	tʰɯəŋ˧˧cɛk˨ˀ˩
đỏ con mắt	dɔ˧˩˨kɔn˧˧măt˦˥
tiếng địch	tiəŋ˨˦dik˨ˀ˩
quy công	kwi˧˧koŋ͡m˧˧
đi	di˧˧
mướp hương	mɯəp˦˥hɯəŋ˧˧
ắc ô	ăk˦˥o˧˧
gai mắt chướng tai	ɣaj˧˧măt˦˥cɯəŋ˨˦taj˧˧
tửu tinh kế	tɯw˧˩˨tiŋ˧˧ke˨˦
đớp ruồi	dɤp˦˥zuəj˧˨
chất như núi	cɤ̆t˦˥ɲɯ˧˧nuj˨˦
duyên cố	zwiən˧˧ko˨˦
khuyến cáo	xwiən˨˦kaw˨˦
sốt rét cách nhật	sot˦˥zɛt˦˥kɛk˦˥ɲɤ̆t˨ˀ˩
chị ngã em nâng	ci˨ˀ˩ʔŋa˧ˀ˥ɛm˧˧nɤ̆ŋ˧˧
hành hương	hɛŋ˧˨hɯəŋ˧˧
chuyên chở	cwiən˧˧cɤ˧˩˨
văn lung	văn˧˧luŋ͡m˧˧
ma mút	ma˧˧mut˦˥
vị thắng	vi˨ˀ˩ʔtʰăŋ˨˦
can phế	kan˧˧fe˨˦
sắt động	săt˦˥doŋ͡m˨ˀ˩ʔ
thầm mong trộm nhớ	tʰɤ̆m˧˨mɔŋ͡m˧˧com˨ˀ˩ʔɲɤ˨˦
làm phúc	lam˧˨fuk͡p˦˥
tắc-tích	tăk˦˥-tik˦˥
làm bếp	lam˧˨bep˦˥
tán dương	tan˨˦zɯəŋ˧˧
thức ngon vật lạ	tʰɯk˦˥ŋɔn˧˧vɤ̆t˨ˀ˩la˨ˀ˩ʔ
học ôn	hɔk͡p˨ˀ˩on˧˧
i-ôn hóa	i˧˧-on˧˧hwa˨˦
ngói ta	ŋɔj˨˦ta˧˧
cộng cư	koŋ͡m˨ˀ˩ʔkɯ˧˧
trăm dâu đổ đầu tằm	căm˧˧zɤ̆w˧˧do˧˩˨dɤ̆w˧˨tăm˧˨
thương nhân	tʰɯəŋ˧˧ɲɤ̆n˧˧
mù tịt	mu˧˨tit˨ˀ˩
tư lệnh trưởng	tɯ˧˧leŋ˨ˀ˩ʔcɯəŋ˧˩˨
lộp độp	lop˨ˀ˩dop˨ˀ˩
keo ong	keo˧˧ɔŋ͡m˧˧
cường hào	kɯəŋ˧˨haw˧˨
lình xình	liŋ˧˨siŋ˧˨
sún	sun˨˦
què quặt	kwɛ˧˨kwăt˨ˀ˩
tuần cảnh	twɤ̆n˧˨kɛŋ˧˩˨
trù hoạch	cu˧˨hwɛk˨ˀ˩
chết lăn như rạ	cet˦˥lăn˧˧ɲɯ˧˧za˨ˀ˩ʔ
đắng ngắt	dăŋ˨˦ŋăt˦˥
khoa nội	xwa˧˧noj˨ˀ˩ʔ
hỏng kiểu	hɔŋ͡m˧˩˨kiəw˧˩˨
lòng bong	lɔŋ͡m˧˨bɔŋ͡m˧˧
mọt	mɔt˨ˀ˩
đặc giá	dăk˨ˀ˩za˨˦
cười nhăn nhở	kɯəj˧˨ɲăn˧˧ɲɤ˧˩˨
tức khắc	tɯk˦˥xăk˦˥
chậm như rùa	cɤ̆m˨ˀ˩ʔɲɯ˧˧zuə˧˨
chiều chuộng	ciəw˧˨cuəŋ˨ˀ˩ʔ
hàng ngày	haŋ˧˨ŋăj˧˨
tủ sắt	tu˧˩˨săt˦˥
sừng	sɯŋ˧˨
kiều mạch	kiəw˧˨mɛk˨ˀ˩
lờ đờ	lɤ˧˨dɤ˧˨
béc giê	bɛk˦˥ze˧˧
hàn ôn	han˧˨on˧˧
líu lo	liw˨˦lɔ˧˧
yểu điệu thanh tân bồ sứt cạp	iəw˧˩˨diəw˨ˀ˩ʔtʰɛŋ˧˧tɤ̆n˧˧bo˧˨sɯt˦˥kap˨ˀ˩
tấc đất tấc vàng	tɤ̆k˦˥dɤ̆t˦˥tɤ̆k˦˥vaŋ˧˨
vũ phạm khải	vu˧ˀ˥fam˨ˀ˩ʔxaj˧˩˨
rau dệu	zăw˧˧zɛu˨ˀ˩ʔ
kịch nhạc	kik˨ˀ˩ɲak˨ˀ˩
nuôi cái cùng con	nuəj˧˧kaj˨˦kuŋ͡m˧˨kɔn˧˧
triều châu	ciəw˧˨cɤ̆w˧˧
đèn loan	dɛn˧˨lwan˧˧
màn sương gối tuyết	man˧˨sɯəŋ˧˧ɣoj˨˦twiət˦˥
loang toàng	lwaŋ˧˧twaŋ˧˨
tài nhân	taj˧˨ɲɤ̆n˧˧
thờ phụng	tʰɤ˧˨fuŋ͡m˨ˀ˩ʔ
nở	nɤ˧˩˨
siêu hình	siəw˧˧hiŋ˧˨
dạng	zaŋ˨ˀ˩ʔ
nghìn trùng	ŋin˧˨cuŋ͡m˧˨
giả mù pha mưa	za˧˩˨mu˧˨fa˧˧mɯə˧˧
bít miệng	bit˦˥miəŋ˨ˀ˩ʔ
mắm cá	măm˨˦ka˨˦
bánh tai lợn	bɛŋ˨˦taj˧˧lɤn˨ˀ˩ʔ
sắc kế	săk˦˥ke˨˦
ước số chung	ɯək˦˥so˨˦cuŋ͡m˧˧
hạ vũ khí	ha˨ˀ˩ʔvu˧ˀ˥xi˨˦
dậy đất	zɤ̆j˨ˀ˩ʔdɤ̆t˦˥
quải	kwaj˧˩˨
sân hoa	sɤ̆n˧˧hwa˧˧
hồ lì	ho˧˨li˧˨
nít	nit˦˥
cung văn	kuŋ͡m˧˧văn˧˧
bắt đinh	băt˦˥diŋ˧˧
sườn cụt	sɯən˧˨kut˨ˀ˩
mần thinh	mɤ̆n˧˨tʰiŋ˧˧
xà beng	sa˧˨bɛŋ˧˧
hay ho	hăj˧˧hɔ˧˧
chóng	cɔŋ͡m˨˦
mối hàng	moj˨˦haŋ˧˨
sáo trúc	saw˨˦cuk͡p˦˥
am-pun	am˧˧-pun˧˧
rỗi	zoj˧ˀ˥
hoàng phi	hwaŋ˧˨fi˧˧
rau má thìa	zăw˧˧ma˨˦tʰiə˧˨
vũ sư	vu˧ˀ˥sɯ˧˧
long bong	lɔŋ͡m˧˧bɔŋ͡m˧˧
ngoảnh lại	ŋwɛŋ˧˩˨laj˨ˀ˩ʔ
tàn phế	tan˧˨fe˨˦
bất tỉnh nhân sự	bɤ̆t˦˥tiŋ˧˩˨ɲɤ̆n˧˧sɯ˨ˀ˩ʔ
thỏ	tʰɔ˧˩˨
hoa đai vàng	hwa˧˧daj˧˧vaŋ˧˨
đề từ	de˧˨tɯ˧˨
bến xe	ben˨˦sɛ˧˧
lơi lả	lɤj˧˧la˧˩˨
cấp bức	kɤ̆p˦˥bɯk˦˥
em trai	ɛm˧˧caj˧˧
lột mặt nạ	lot˨ˀ˩măt˨ˀ˩na˨ˀ˩ʔ
may ra	măj˧˧za˧˧
khoành tay	xwɛŋ˧˨tăj˧˧
gió mùa đông-bắc	zɔ˨˦muə˧˨doŋ͡m˧˧-băk˦˥
nô đùa	no˧˧duə˧˨
xíu mại	siw˨˦maj˨ˀ˩ʔ
thăm nom	tʰăm˧˧nɔm˧˧
tắm hơi	tăm˨˦hɤj˧˧
khác chi	xak˦˥ci˧˧
bình hành	biŋ˧˨hɛŋ˧˨
hồ li tinh	ho˧˨li˧˧tiŋ˧˧
hung ác	huŋ͡m˧˧ak˦˥
lạc viên	lak˨ˀ˩viən˧˧
cam kết	kam˧˧ket˦˥
cổ đông	ko˧˩˨doŋ͡m˧˧
kiếp xưa	kiəp˦˥sɯə˧˧
biến thể lục bát	biən˨˦tʰe˧˩˨luk͡p˨ˀ˩bat˦˥
sống sót	soŋ͡m˨˦sɔt˦˥
trăm thứ bà giằn	căm˧˧tʰɯ˨˦ba˧˨zăn˧˨
xe cộ	sɛ˧˧ko˨ˀ˩ʔ
giáo phẩm	zaw˨˦fɤ̆m˧˩˨
đắc kế	dăk˦˥ke˨˦
bắt đầu	băt˦˥dɤ̆w˧˨
gạch dưới	ɣɛk˨ˀ˩zɯəj˨˦
chắt mót	căt˦˥mɔt˦˥
tự cấp vốn	tɯ˨ˀ˩ʔkɤ̆p˦˥von˨˦
thuỷ mặc	tʰwi˧˩˨măk˨ˀ˩
kiễng	kiəŋ˧ˀ˥
đồ ăn thức đựng	do˧˨ăn˧˧tʰɯk˦˥dɯŋ˨ˀ˩ʔ
siêu quần	siəw˧˧kwɤ̆n˧˨
thuận hải	tʰwɤ̆n˨ˀ˩ʔhaj˧˩˨
vuông bánh chưng tám góc	vuəŋ˧˧bɛŋ˨˦cɯŋ˧˧tam˨˦ɣɔk͡p˦˥
đáng gờm	daŋ˨˦ɣɤm˧˨
yên từ	iɛn˧˧tɯ˧˨
xuất tướng	swɤ̆t˦˥tɯəŋ˨˦
mình vàng	miŋ˧˨vaŋ˧˨
nhâu nhâu	ɲɤ̆w˧˧ɲɤ̆w˧˧
vi vút	vi˧˧vut˦˥
yên sở	iɛn˧˧sɤ˧˩˨
thật bụng	tʰɤ̆t˨ˀ˩buŋ͡m˨ˀ˩ʔ
bải	baj˧˩˨
nghinh địch	ŋiŋ˧˧dik˨ˀ˩
tùy tục	tuj˧˨tuk͡p˨ˀ˩
bằng trạc	băŋ˧˨cak˨ˀ˩
viếng thăm	viəŋ˨˦tʰăm˧˧
can hạn	kan˧˧han˨ˀ˩ʔ
dùa	zuə˧˨
áo khoác	aw˨˦xwak˦˥
sếu	sɛu˨˦
mảnh vỡ	mɛŋ˧˩˨vɤ˧ˀ˥
man vàn	man˧˧van˧˨
cột mốt	kot˨ˀ˩mot˦˥
triển khai	ciən˧˩˨xaj˧˧
ve vãn	vɛ˧˧van˧ˀ˥
dối trên lừa dưới	zoj˨˦cen˧˧lɯə˧˨zɯəj˨˦
bất tri bất giác	bɤ̆t˦˥ci˧˧bɤ̆t˦˥zak˦˥
soóc-ti	sɔk͡p˦˥-ti˧˧
lân cận	lɤ̆n˧˧kɤ̆n˨ˀ˩ʔ
đi vắng	di˧˧văŋ˨˦
cười lăn	kɯəj˧˨lăn˧˧
một đèn một bóng	mot˨ˀ˩dɛn˧˨mot˨ˀ˩bɔŋ͡m˨˦
bãi tha ma	baj˧ˀ˥tʰa˧˧ma˧˧
thẻ đỏ	tʰɛ˧˩˨dɔ˧˩˨
thanh trạch	tʰɛŋ˧˧cɛk˨ˀ˩
hô hoán	ho˧˧hwan˨˦
sinh sôi	siŋ˧˧soj˧˧
vũ thư	vu˧ˀ˥tʰɯ˧˧
tuyên ngôn	twiən˧˧ŋon˧˧
thôi miên (thuật)	tʰoj˧˧miən˧˧tʰwɤ̆t˨ˀ˩
thầy số	tʰɤ̆j˧˨so˨˦
hứng ý	hɯŋ˨˦i˨˦
nô bộc	no˧˧bok͡p˨ˀ˩
phép cộng	fɛp˦˥koŋ͡m˨ˀ˩ʔ
công đồng	koŋ͡m˧˧doŋ͡m˧˨
vót	vɔt˦˥
sang tên	saŋ˧˧ten˧˧
kệnh	keŋ˨ˀ˩ʔ
vỏ quít dày có móng tay nhọn	vɔ˧˩˨kwit˦˥zăj˧˨kɔ˨˦mɔŋ͡m˨˦tăj˧˧ɲɔn˨ˀ˩ʔ
rượu tăm	zɯəw˨ˀ˩ʔtăm˧˧
