производстволарны	projzwodstwoɫɑrnˈɯ
терлекчеләрнең	terlekɕelærnˈeŋ
телевидениесен	telewideniesˈen
берләшмәләр	berlæʃmælˈær
булмавы	buɫmɑwˈɯ
башкарам	bɒʃqɒrˈɑm
пациентка	pɒtsientqˈɑ
килмешәкләр	kilmeʃæklˈær
хуҗасыз	xuʑɑsˈɯz
Төзелешнең	tœzeleʃnˈeŋ
Скандинавия	sqɒndinɑwijˈæ
Октябрьский	oqtjæbrʔskˈij
Сәгыйтова	sæʁɯjtowˈɑ
катык	qɒtˈɯq
тәгълиматы	tæɣʔlimɑtˈɯ
чагыштырма	ɕɒʁɯʃtɯrmˈɑ
дускай	dusqˈɑj
лагеренда	ɫɒʁerendˈɑ
нәшриятларда	næʃrijætɫɑrdˈɑ
кузгала	quzʁɑɫˈɑ
әзерлегенә	æzerleɣenˈæ
Батырлык	bɒtɯrɫˈɯq
комплексны	qompɫeqsnˈɯ
Мисс	mˈiss
калачакбыз	qɒɫɒɕɑqbˈɯz
төзеләчәген	tœzelæɕæɣˈen
Сабасында	sɒbɒsɯndˈɑ
яшәмәгән	jæʃæmæɣˈæn
мал	mˈɒɫ
Хатта	xɒttˈɒ
алдап	ɒɫdˈɒp
ярдәмчеләрен	jærdæmɕelærˈen
каланы	qɒɫɒnˈɯ
тәгам	tæʁˈɑm
хәрефләр	xæreflˈær
утырышын	utɯrɯʃˈɯn
иллегә	illeɣˈæ
бәйгесендә	bæjɣesendˈæ
нән	nˈæn
хатларны	xɒtɫɒrnˈɯ
узганнарны	uzʁɑnnɑrnˈɯ
салынуы	sɒɫɯnuˈɯ
Татарстана	tɒtɒrstɑnˈɑ
чишелә	ɕiʃelˈæ
тыкрык	tɯqrˈɯq
Марска	mɒrsqˈɒ
биләүчеләр	bilæwɕelˈær
Очкычта	oɕqɯɕtˈɑ
опекуны	opequnˈɯ
күренеп	kyrenˈep
тоткарлыклар	totqɑrɫɯqɫˈɑr
тәмамлый	tæmɑmɫˈɯj
данын	dɒnˈɯn
биленнән	bilennˈæn
Ишмөхәммәт	iʃmœxæmmˈæt
көзенә	kœzenˈæ
Геллер	ɣellˈer
декоратив	deqorɑtˈiw
сигарет	siʁɑrˈet
фракцияләр	frɒqtsijælˈær
мөгез	mœɣˈez
ябышырга	jɑbɯʃɯrʁˈɑ
Ананың	ɒnɒnˈɯŋ
проспектындагы	prospeqtɯndɑʁˈɯ
кулланылмый	quɫɫɑnɯɫmˈɯj
якынайды	jɑqɯnɑjdˈɯ
чүпкә	ɕypkˈæ
гыйнварга	ʁɯjnwɑrʁˈɑ
Башта	bɒʃtˈɒ
мөэминнәрне	mœeminnærnˈe
ачыкланмаган	ɒɕɯqɫɑnmɑʁˈɑn
җиңгәннән	ʑiŋɣænnˈæn
җефетен	ʑefetˈen
кукуруз	ququrˈuz
кылуы	qɯɫuˈɯ
базарындагы	bɒzɒrɯndɑʁˈɯ
маркасы	mɒrqɒsˈɯ
Арбаш	ɒrbˈɒʃ
Зөбәер	zœbˈeːr
Канаданың	qɒnɒdɑnˈɯŋ
алмасмы	ɒɫmɒsmˈɯ
өйдәгеләрне	œjdæɣelærnˈe
тамчысын	tɒmɕɯsˈɯn
Миңнехановка	miŋnexɑnowqˈɑ
калгандыр	qɒɫʁɒndˈɯr
япкан	jɑpqˈɑn
беләчәк	belæɕˈæk
Мөнбәр	mœnbˈær
оныгының	onɯʁɯnˈɯŋ
инвалид	inwɑɫˈid
юнәлде	jynældˈe
сызган	sɯzʁˈɑn
дүрттә	dyrttˈæ
җитәкчеләрне	ʑitækɕelærnˈe
Әниләрнең	ænilærnˈeŋ
Мотыйгуллина	motɯjʁuɫɫinˈɑ
басуны	bɒsunˈɯ
көнге	kœŋɣˈe
Республикабызның	respubɫiqɑbɯznˈɯŋ
Мөхәммәтшина	mœxæmmætʃinˈɑ
яудырып	jɑwdɯrˈɯp
төсендә	tœsendˈæ
алтынсу	ɒɫtɯnsˈu
гражданнарына	ʁrɒʒdɒnnɑrɯnˈɑ
юньләп	jynʔlˈæp
хезмәтен	xezmætˈen
бәрәңгедән	bæræŋɣedˈæn
техосмотр	texosmˈotr
белеменнән	belemennˈæn
ялсыз	jɑɫsˈɯz
башлыгында	bɒʃɫɯʁɯndˈɑ
мохиттә	moxittˈæ
килмәвен	kilmæwˈen
Азов	ɒzˈow
коралларыннан	qorɑɫɫɑrɯnnˈɑn
барганлыгы	bɒrʁɒnɫɯʁˈɯ
берләшмәләргә	berlæʃmælærɣˈæ
хирыслык	xirɯsɫˈɯq
буярга	bujɑrʁˈɑ
дулкыннарның	duɫqɯnnɑrnˈɯŋ
бугазын	buʁɑzˈɯn
Никифорова	nikiforowˈɑ
власте	wɫɒstˈe
Әхмәтне	æxmætnˈe
Техникумда	texniqumdˈɑ
Мәҗитова	mæʑitowˈɑ
отышлы	otɯʃɫˈɯ
штабының	ʃtɒbɯnˈɯŋ
ишетелгән	iʃetelɣˈæn
хәдисләрне	xædislærnˈe
челтәренә	ɕeltærenˈæ
объективлык	obʔektiwɫˈɯq
биюгә	bijyɣˈæ
әтиләрен	ætilærˈen
шелтә	ʃeltˈæ
белдерсә	beldersˈæ
үсемлекчелек	ysemlekɕelˈek
участок	uɕɑstˈoq
әзерләнәбез	æzerlænæbˈez
Аңа	ɒŋˈɒ
лагерьларына	ɫɒʁerʔɫɑrɯnˈɑ
шигыренә	ʃiʁɯrenˈæ
Фәхретдин	fæxretdˈin
игътибарын	iɣʔtibɑrˈɯn
Собор	sobˈor
Күрсәткечләр	kyrsætkeɕlˈær
ишәк	iʃˈæk
Гыйззәт	ʁɯjzzˈæt
финанслаган	finɑnsɫɑʁˈɑn
фатир	fɒtˈir
йөрмәскә	jœrmæskˈæ
Яки	jækˈi
тартуы	tɒrtuˈɯ
Бистәсе	bistæsˈe
чирнең	ɕirnˈeŋ
Вәгыйзов	wæʁɯjzˈow
диспансеры	dispɑnserˈɯ
беразын	berɑzˈɯn
салатлар	sɒɫɒtɫˈɑr
әйләнәсендә	æjlænæsendˈæ
калганнарын	qɒɫʁɒnnɑrˈɯn
фотога	fotoʁˈɑ
химик	ximˈik
реконструкцияләнәчәк	reqonstruqtsijælænæɕˈæk
Җыентыкка	ʑɯentɯqqˈɑ
Чакыру	ɕɒqɯrˈu
дөреслегенә	dœresleɣenˈæ
казыды	qɒzɯdˈɯ
Кала	qɒɫˈɒ
улың	uɫˈɯŋ
өсләре	œslærˈe
җанлылык	ʑɒnɫɯɫˈɯq
ветераннарына	weterɑnnɑrɯnˈɑ
нигъмәтен	niɣʔmætˈen
тегүчеләр	teɣyɕelˈær
баштан	bɒʃtˈɒn
җыйса	ʑɯjsˈɑ
торыйк	torˈɯjq
Субаев	subɑˈew
объектлар	obʔeqtɫˈɑr
Ариф	ɒrˈif
игенчелектә	iɣenɕelektˈæ
Канлы	qɒnɫˈɯ
Гайшә	ʁɒjʃˈæ
опекунлыкка	opequnɫɯqqˈɑ
баеды	bɒedˈɯ
рәнҗетеп	rænʑetˈep
сәясәтчеләр	sæjæsætɕelˈær
Тургенев	turʁenˈew
куыш	quˈɯʃ
кыздырган	qɯzdɯrʁˈɑn
Нурхамәт	nurxɑmˈæt
үткәреләчәк	ytkærelæɕˈæk
тамашачыларын	tɒmɒʃɑɕɯɫɑrˈɯn
бүтәнчәрәк	bytænɕærˈæk
җибәргәннән	ʑibærɣænnˈæn
үлем	ylˈem
барылмый	bɒrɯɫmˈɯj
ачучылар	ɒɕuɕɯɫˈɑr
Мәзәк	mæzˈæk
боҗрасы	boʑrɑsˈɯ
кредитларын	kreditɫɑrˈɯn
басылмады	bɒsɯɫmɑdˈɯ
булганга	buɫʁɑŋʁˈɑ
күзәтүчеләре	kyzætyɕelærˈe
тешне	teʃnˈe
җыелмасына	ʑɯeɫmɑsɯnˈɑ
Таҗ	tˈɒʑ
авырулар	ɑwɯruɫˈɑr
сукмау	suqmˈɑw
котып	qotˈɯp
Нурзидә	nurzidˈæ
Мәһдиевнең	mæhdiewnˈeŋ
әйтмәде	æjtmædˈe
дәвалыйм	dæwɑɫˈɯjm
зарыгып	zɒrɯʁˈɯp
сөенеченнән	sœeneɕennˈæn
әкиятләре	ækijætlærˈe
Ассамблеясе	ɒssɒmbɫejæsˈe
алыр	ɒɫˈɯr
билгеләнгәндә	bilɣelæŋɣændˈæ
балаларымны	bɒɫɒɫɑrɯmnˈɯ
үтерелгәч	yterelɣˈæɕ
офтальмология	oftɑɫʔmoɫoʁijˈæ
хәзерләүдә	xæzerlæwdˈæ
газга	ʁɒzʁˈɒ
саклауның	sɒqɫɑwnˈɯŋ
хыялларына	xɯjɑɫɫɑrɯnˈɑ
бирүче	biryɕˈe
пенсионерларының	pensionerɫɑrɯnˈɯŋ
әдипләренең	ædiplærenˈeŋ
файдалануга	fɒjdɒɫɑnuʁˈɑ
йөгерде	jœɣerdˈe
карашымны	qɒrɒʃɯmnˈɯ
Ульянов	uɫʔjɑnˈow
Тугыз	tuʁˈɯz
нәфрәт	næfrˈæt
Матиас	mɒtiˈɑs
мәчеләр	mæɕelˈær
системасына	sistemɑsɯnˈɑ
Ягез	jæɣˈez
Кузьмина	quzʔminˈɑ
Истанбулга	istɑnbuɫʁˈɑ
чыгуын	ɕɯʁuˈɯn
Баштарак	bɒʃtɒrˈɑq
бетермичә	betermiɕˈæ
кичәдән	kiɕædˈæn
гомерләрен	ʁomerlærˈen
укучысының	uquɕɯsɯnˈɯŋ
Илкүләм	ilkylˈæm
иҗаттан	iʑɑttˈɑn
таптанып	tɒptɒnˈɯp
булуым	buɫuˈɯm
Советының	sowetɯnˈɯŋ
рәислегендәге	ræjsleɣendæɣˈe
Күрелгән	kyrelɣˈæn
тәэминаты	tæeminɑtˈɯ
бормый	bormˈɯj
сафында	sɒfɯndˈɑ
әҗәтләре	æʑætlærˈe
Родник	rodnˈik
албасты	ɒɫbɒstˈɯ
Мөхәммәтша	mœxæmmætʃˈɑ
тотса	totsˈɑ
гаҗәпләнми	ʁɒʑæplænmˈi
сәгатьләргә	sæʁɑtʔɫærɣˈæ
фонында	fonɯndˈɑ
ВТБ	wˌetˌebˈe
өлгерсен	œlɣersˈen
китапханәләрнең	kitɑpxɑnælærnˈeŋ
Закон	zɒqˈon
делегат	deleʁˈɑt
киңәшмәнең	kiŋæʃmænˈeŋ
юлыкты	juɫɯqtˈɯ
батырның	bɒtɯrnˈɯŋ
өйрәнсеннәр	œjrænsennˈær
төчесен	tœɕesˈen
боерды	boerdˈɯ
ШТК	ʃˌɒtˌeqˈɑ
ураза	urɑzˈɑ
квалификацияне	qwɒɫifiqɑtsijænˈe
Бакуга	bɒquʁˈɑ
премьера	premʔerˈɑ
кинотеатр	kinoteˈɑtr
тоннасын	tonnɑsˈɯn
Коръәндәге	qorʔændæɣˈe
юлламасын	juɫɫɑmɑsˈɯn
игенчеләренә	iɣenɕelærenˈæ
Балтика	bɒɫtiqˈɑ
җәмәгатьчелектә	ʑæmæʁɑtʔɕelektˈæ
дәртләнеп	dærtlænˈep
үтә	ytˈæ
ниятләнелә	nijætlænelˈæ
кече	keɕˈe
гаеткә	ʁɒetkˈæ
дарулар	dɒruɫˈɑr
картаерга	qɒrtɒerʁˈɑ
Форсаттан	forsɑttˈɑn
Литвадан	litwɑdˈɑn
астымда	ɒstɯmdˈɑ
Журналда	ʒurnɑɫdˈɑ
шовинизм	ʃowinˈizm
байтактан	bɒjtɒqtˈɑn
Себердән	seberdˈæn
кыяфәтләре	qɯjæfætlærˈe
Апанаев	ɒpɒnɑˈew
зыянга	zɯjɑŋʁˈɑ
милләтләрнең	millætlærnˈeŋ
Разия	rɒzijˈæ
хәрам	xærˈɑm
мисаллары	misɑɫɫɑrˈɯ
үтерелгән	yterelɣˈæn
текстка	teqstqˈɑ
Шәфәкъ	ʃæfˈækʔ
торакны	torɑqnˈɯ
бурычының	burɯɕɯnˈɯŋ
киелә	kielˈæ
авызыңны	ɑwɯzɯŋnˈɯ
авиакомпанияләр	ɑwiɑqompɑnijælˈær
кәферләргә	kæferlærɣˈæ
Вашингтонда	wɒʃiŋʁtondˈɑ
Толоконникова	toɫoqonniqowˈɑ
саксофон	sɒqsofˈon
киностудиясе	kinostudijæsˈe
фәрештәгә	færeʃtæɣˈæ
поши	poʃˈi
Исәптә	isæptˈæ
кафесында	qɒfesɯndˈɑ
инглизләр	iŋɣlizlˈær
фатирдагы	fɒtirdɑʁˈɯ
мөселманлыкка	mœseɫmɑnɫɯqqˈɑ
кулъязмада	quɫʔjɑzmɑdˈɑ
бияләйләр	bijælæjlˈær
институтларның	institutɫɑrnˈɯŋ
подвалга	podwɑɫʁˈɑ
Укучыларым	uquɕɯɫɑrˈɯm
фабрикасына	fɒbriqɑsɯnˈɑ
бәйсез	bæjsˈez
туристларга	turistɫɑrʁˈɑ
редакциянең	redɑqtsijænˈeŋ
салырга	sɒɫɯrʁˈɑ
изәп	izˈæp
Урамнарны	urɑmnɑrnˈɯ
кабинетларны	qɒbinetɫɑrnˈɯ
Җиңүчене	ʑiŋyɕenˈe
программаларына	proʁrɑmmɑɫɑrɯnˈɑ
әдәбиятка	ædæbijætqˈɑ
Билет	bilˈet
хокукына	xoquqɯnˈɑ
үзаңы	yzɑŋˈɯ
Иганәчеләр	iʁɑnæɕelˈær
журналларның	ʒurnɑɫɫɑrnˈɯŋ
процессларга	protsessɫɑrʁˈɑ
алынмалар	ɒɫɯnmɑɫˈɑr
Бетте	bettˈe
тәртипләргә	tærtiplærɣˈæ
ремонтчылар	remontɕɯɫˈɑr
тугызга	tuʁɯzʁˈɑ
ягын	jɑʁˈɯn
журналга	ʒurnɑɫʁˈɑ
Татнефть	tɒtnˈeftʔ
НХЛдагы	ˌenxˈɑɫdɒʁˈɯ
кайберәүләре	qɒjberæwlærˈe
Александрова	ɒɫeqsɑndrowˈɑ
бина	binˈɑ
башласагыз	bɒʃɫɒsɑʁˈɯz
Асанбаевның	ɒsɒnbɑewnˈɯŋ
биографиясе	bioʁrɑfijæsˈe
карарлык	qɒrɒrɫˈɯq
Себер	sebˈer
җырчыларыбыз	ʑɯrɕɯɫɑrɯbˈɯz
Ана	ɒnˈɒ
ның	nˈɯŋ
Сөйләп	sœjlˈæp
өнәми	œnæmˈi
солдатның	soɫdɑtnˈɯŋ
кешелек	keʃelˈek
менеджеры	menedʒerˈɯ
солисты	soɫistˈɯ
исәпләгәндә	isæplæɣændˈæ
велосипедчылар	weɫosipedɕɯɫˈɑr
югалту	juʁɑɫtˈu
чемпионатыннан	ɕempionɑtɯnnˈɑn
Биләлетдинов	bilæletdinˈow
чигенә	ɕiɣenˈæ
Ла	ɫˈɒ
язмады	jɑzmɑdˈɯ
Мода	modˈɑ
кызыклырак	qɯzɯqɫɯrˈɑq
кыргыйлык	qɯrʁɯjɫˈɯq
сөйләшүләрдән	sœjlæʃylærdˈæn
тәкъдимнәрен	tækʔdimnærˈen
тәүлектән	tæwlektˈæn
коттеджлар	qottedʒɫˈɑr
Нидерланды	niderɫɑndˈɯ
Тарта	tɒrtˈɒ
Футбол	futbˈoɫ
эндәшәләр	endæʃælˈær
якташларым	jɑqtɑʃɫɑrˈɯm
аңлату	ɒŋɫɒtˈu
Хәзрәт	xæzrˈæt
буталды	butɑɫdˈɯ
сөенгән	sœeŋɣˈæn
ишекле	iʃeklˈe
шефлыкка	ʃefɫɯqqˈɑ
Наилгә	nɒjɫʁˈæ
чыгудан	ɕɯʁudˈɑn
ирләрчә	irlærɕˈæ
милекләре	mileklærˈe
интернатларда	internɑtɫɑrdˈɑ
гүзәлрәк	ɣyzælrˈæk
аръягында	ɒrʔjɑʁɯndˈɑ
шулай	ʃuɫˈɑj
өләштеләр	œlæʃtelˈær
Язучының	jɑzuɕɯnˈɯŋ
сыйфаты	sɯjfɑtˈɯ
Нәфыйкова	næfɯjqowˈɑ
Токио	toqiˈo
Болгариядән	boɫʁɑrijædˈæn
акламый	ɒqɫɒmˈɯj
авыручыларның	ɑwɯruɕɯɫɑrnˈɯŋ
шунысы	ʃunɯsˈɯ
атышлар	ɒtɯʃɫˈɑr
игенчеләребез	iɣenɕelærebˈez
китерүдә	kiterydˈæ
бирелмәскә	birelmæskˈæ
дару	dɒrˈu
Рига	riʁˈɑ
Христенко	xristenqˈo
кайдалыгын	qɒjdɒɫɯʁˈɯn
алмас	ɒɫmˈɒs
Лебяжье	lebjæʒʔˈe
сылуы	sɯɫuˈɯ
югалучылар	juʁɑɫuɕɯɫˈɑr
Фестивальгә	festiwɑɫʔʁˈæ
үткәрдек	ytkærdˈek
танудан	tɒnudˈɑn
әйберләренә	æjberlærenˈæ
инанырга	inɑnɯrʁˈɑ
култыклап	quɫtɯqɫˈɑp
эшебез	eʃebˈez
Тархан	tɒrxˈɒn
евроремонт	jɯwroremˈont
андыйны	ɒndɯjnˈɯ
намусын	nɒmusˈɯn
зирәклеге	zirækleɣˈe
корылтаенда	qorɯɫtɑendˈɑ
җил	ʑˈil
ведомствоара	wedomstwoɑrˈɑ
шөгыльләнүдән	ʃœʁɯɫʔɫænydˈæn
бетергәннәр	beterɣænnˈær
форумына	forumɯnˈɑ
Ятим	jætˈim
сурәтләүгә	surætlæwɣˈæ
кинотеатрларда	kinoteɑtrɫɑrdˈɑ
багып	bɒʁˈɯp
шалтырата	ʃɒɫtɯrɑtˈɑ
зурайтырга	zurɑjtɯrʁˈɑ
футболкалар	futboɫqɑɫˈɑr
тәрбиясендә	tærbijæsendˈæ
пролетар	proɫetˈɑr
инспекторларга	inspeqtorɫɑrʁˈɑ
газүткәргечләр	ʁɒzytkærɣeɕlˈær
исәпләнәчәк	isæplænæɕˈæk
приборларны	priborɫɑrnˈɯ
ачыкладым	ɒɕɯqɫɑdˈɯm
Күчеп	kyɕˈep
кардиохирург	qɒrdioxirˈurʁ
Әлдермеш	ældermˈeʃ
Кайчакта	qɒjɕɒqtˈɑ
балансын	bɒɫɒnsˈɯn
Хыялым	xɯjɑɫˈɯm
мендем	mendˈem
фарыздыр	fɒrɯzdˈɯr
Вәгазь	wæʁˈɑzʔ
хәбәрләр	xæbærlˈær
чаңгыда	ɕɒŋʁɯdˈɑ
түләгәндә	tylæɣændˈæ
бүләкли	bylæklˈi
Сочидан	soɕidˈɑn
Журнал	ʒurnˈɑɫ
Мунир	munˈir
казыла	qɒzɯɫˈɑ
бабайларга	bɒbɒjɫɑrʁˈɑ
уза	uzˈɑ
Инновацион	innowɑtsiˈon
мәйданчыкларында	mæjdɑnɕɯqɫɑrɯndˈɑ
эшчәнлектә	eʃɕænlektˈæ
Улыбыз	uɫɯbˈɯz
Владимиров	wɫɒdimirˈow
форумнан	forumnˈɑn
Супер	supˈer
мондыйлар	mondɯjɫˈɑr
Чулман	ɕuɫmˈɑn
сөйләшерлек	sœjlæʃerlˈek
хирурглар	xirurʁɫˈɑr
башкаралар	bɒʃqɒrɑɫˈɑr
калыккан	qɒɫɯqqˈɑn
Кизләү	kizlˈæw
күрелергә	kyrelerɣˈæ
хезмәткәрләребез	xezmætkærlærebˈez
Тукаев	tuqɑˈew
бюджетының	bjydʒetɯnˈɯŋ
слива	sliwˈɑ
аралашыр	ɒrɒɫɑʃˈɯr
ҮСК	ˈysk
белеменә	belemenˈæ
нөсхәләрен	nœsxælærˈen
Эшмәкәрлек	eʃmækærlˈek
каты	qɒtˈɯ
кичерде	kiɕerdˈe
Толкин	toɫqˈin
минераль	minerˈɑɫʔ
күрешә	kyreʃˈæ
сайлавына	sɒjɫɑwɯnˈɑ
әзерлеге	æzerleɣˈe
тикшерүчеләрнең	tikʃeryɕelærnˈeŋ
комиссиясеннән	qomissijæsennˈæn
Машинаның	mɒʃinɑnˈɯŋ
Шаньдун	ʃɒnʔdˈun
дими	dimˈi
күтәрдем	kytærdˈem
яшәүләренә	jæʃæwlærenˈæ
караклык	qɒrɒqɫˈɯq
Сәхнәне	sæxnænˈe
күрмисең	kyrmisˈeŋ
ташларның	tɒʃɫɒrnˈɯŋ
иркенәеп	irkenˈeːp
бусагада	busɑʁɑdˈɑ
айгыр	ɒjʁˈɯr
Халикова	xɒɫiqowˈɑ
чатларында	ɕɒtɫɒrɯndˈɑ
гармоник	ʁɒrmonˈik
Шәйхинең	ʃæjxinˈeŋ
тактадан	tɒqtɒdˈɑn
Теркәлү	terkælˈy
Имтиханнарны	imtixɑnnɑrnˈɯ
узды	uzdˈɯ
осталары	ostɑɫɑrˈɯ
рәхмәтле	ræxmætlˈe
йөк	jˈœk
схеманы	sxemɑnˈɯ
булмасак	buɫmɑsˈɑq
тәкъдимнәрнең	tækʔdimnærnˈeŋ
лагерына	ɫɒʁerɯnˈɑ
сыерның	sɯernˈɯŋ
Шилнә	ʃilnˈæ
Сибайда	sibɑjdˈɑ
атланган	ɒtɫɒŋʁˈɑn
сменасын	smenɑsˈɯn
присяжныйлар	prisjæʒnɯjɫˈɑr
таратыр	tɒrɒtˈɯr
формалаштыруга	formɑɫɑʃtɯruʁˈɑ
Истанбулда	istɑnbuɫdˈɑ
каушау	qɑwʃˈɑw
Аурупада	ɑwrupɑdˈɑ
сайлаулар	sɒjɫɑwɫˈɑr
Кремльнең	kremlʔnˈeŋ
тантаналары	tɒntɒnɑɫɑrˈɯ
Су	sˈu
Кызларга	qɯzɫɑrʁˈɑ
игелекләр	iɣeleklˈær
ятабыз	jɑtɑbˈɯz
басылмый	bɒsɯɫmˈɯj
узачаклар	uzɑɕɑqɫˈɑr
Янил	jænˈil
янгынчылар	jɑŋʁɯnɕɯɫˈɑr
презентацияләде	prezentɑtsijælædˈe
Уставка	ustɑwqˈɑ
палатага	pɒɫɒtɑʁˈɑ
кефир	kefˈir
документларыннан	doqumentɫɑrɯnnˈɑn
яңгыраячак	jɑŋʁɯrɑjɑɕˈɑq
читкәрәк	ɕitkærˈæk
уенчыкларны	uenɕɯqɫɑrnˈɯ
Кырымдагы	qɯrɯmdɑʁˈɯ
исеменнән	isemennˈæn
Экстремизм	ekstremˈizm
циркы	tsirqˈɯ
башкарганга	bɒʃqɒrʁɑŋʁˈɑ
Батраков	bɒtrɒqˈow
комнан	qomnˈɑn
матуры	mɒturˈɯ
кичләр	kiɕlˈær
шул	ʃˈuɫ
газетага	ʁɒzetɑʁˈɑ
гадиләштерелгән	ʁɒdilæʃterelɣˈæn
эшкәртелгән	eʃkærtelɣˈæn
мөшрикләре	mœʃriklærˈe
Объектив	obʔektˈiw
ханбикә	xɒnbikˈæ
кора	qorˈɑ
укырлар	uqɯrɫˈɑr
көтүлекләр	kœtyleklˈær
судьясының	sudʔjɑsɯnˈɯŋ
Йоклаган	joqɫɑʁˈɑn
йогынтыны	joʁɯntɯnˈɯ
сыңары	sɯŋɑrˈɯ
техникасын	texniqɑsˈɯn
начарлыгы	nɒɕɒrɫɯʁˈɯ
Лифт	lˈift
Казанчы	qɒzɒnɕˈɯ
дошманнар	doʃmɑnnˈɑr
секундта	sequndtˈɑ
авыруны	ɑwɯrunˈɯ
экспериментлар	eksperimentɫˈɑr
хакимиятләре	xɒqimijætlærˈe
күптер	kyptˈer
товарлардан	towɑrɫɑrdˈɑn
белмисез	belmisˈez
каршылыкларны	qɒrʃɯɫɯqɫɑrnˈɯ
вахтер	wɒxtˈer
Ялта	jɑɫtˈɑ
Тузган	tuzʁˈɑn
оештырудагы	oeʃtɯrudɑʁˈɯ
өстемнән	œstemnˈæn
картина	qɒrtinˈɑ
бөтерелгән	bœterelɣˈæn
сатылырга	sɒtɯɫɯrʁˈɑ
конструкторы	qonstruqtorˈɯ
Кешеләргә	keʃelærɣˈæ
очарга	oɕɑrʁˈɑ
өйләнешкәч	œjlæneʃkˈæɕ
Утны	utnˈɯ
Ачасыр	ɒɕɒsˈɯr
значок	znɒɕˈoq
киеме	kiemˈe
калдырмыйбыз	qɒɫdɯrmɯjbˈɯz
чыгу	ɕɯʁˈu
кузгаттылар	quzʁɑttɯɫˈɑr
Гөлшаян	ɣœɫʃɑjˈɑn
Вокаль	woqˈɑɫʔ
үтенделәр	ytendelˈær
дарулардан	dɒruɫɑrdˈɑn
дулкын	duɫqˈɯn
яланында	jɑɫɑnɯndˈɑ
портлары	portɫɑrˈɯ
компаниясенең	qompɑnijæsenˈeŋ
