tændt	tˢɛnˀd̥
spænders	sb̥ɛnɐs
gang	ɡ̊ɑŋˀ
blotte	b̥lʌd̥ə
bæve	b̥ɛːʊ
tjeneste	tɕɛːnəsd̥ə
ske	sɡ̊eˀ
gene	ɕeːnə
cremer	kʰʁ̥ɛˀmɐ
hårdt	hɒːd̥
lutter	lud̥ɐ
jødinde	jøðenə
sikker	seɡ̊ɐ
amerika	ameːˀʁikʰa
yngste	øŋˀsd̥ə
brom	bʁoˀm
nyde	nyːðə
sidste	sisd̥ə
føler	føːlɐ
primitiv	pʁimitˢʰiʊ̯ˀ
næsten	nɛsd̥ən
næste	nɛsd̥ə
tante	tˢand̥ə
bugte	b̥ɔɡ̊d̥ə
nået	nɔˀð̩
pinse	pʰensə
pulver	pʰɔlˀvɐ
bid	b̥iðˀ
puh	pʰuː
sisyfosarbejde	sisyfʌsɑːb̥ɑjˀd̥ə
korn	kʰoɐ̯ˀn
tanken	tˢɑŋˀɡ̊ŋ̩
stork	sd̥ɒːɡ̊
atter	ad̥ɐ
sammenhæng	sɑmənhɛŋˀ
søstrenes	søsd̥ʁɐnəs
kobber	kʰɒwˀɐ
ansatte	ansad̥ə
kerne	kʰaɐ̯nə
følge	følə
ultralyd	ultˢʁ̥ɑlyðˀ
røver	ʁœ̞ːwɐ
reje	ʁɑːɪ
tiendedel	tˢiːˀənəd̥eːˀl
akkusativ	akʰusatˢiwˀ
egern	eːˀjɐn
legemligt	lɛːmlid̥
selvlysende	sɛllyˀsn̩nə
halstørklæde	halstˢɶɐ̯kʰl̥ɛːðə
svoger	sʋ̥ɔwˀɐ
holdes	hʌləs
hu	huˀ
hitte	hid̥ə
ej	ɑjˀ
forlæg	fʌlɛɡ̊
system	sysd̥eːˀm
vederkvæge	ʋeðɐkʰʋ̥ɛˀjə
undre	ɔnd̥ʁɐ
elendig	elɛnˀd̥i
epos	eːpʰʌs
kræset	kʰʁ̥ɛːsəð
blodbad	b̥loðb̥að
ræson	ʁæsʌŋ
itu	itˢuːˀ
drømmeverdnerne	d̥ʁɶməʋaɐ̯d̥nɐnə
gøre	ɡ̊ɶːɐ
turde	tˢoɐ̯d̥ə
jomfruelig	jʌmfʁoˀoli
ildslukker	ilslɔɡ̊ɐ
hærgende	haɐ̯ʊnə
snes	sneːˀs
sygt	syɡ̊d̥
overflødig	ɒwɐfløˀði
si	siːˀ
syndflod	sønfloðˀ
kræfterne	kʰrɑfd̥ɐnə
dandere	dɑŋdeˀʌ
radioaktiv	ʁɑd̥joɑɡ̊tˢiwˀ
mær	mɛˀɐ̯
rave	ʁɑːwə
opsigtsvækkende	ʌb̥seɡ̊sʋɛɡ̊n̩nə
finér	fineːˀɐ̯
fotografer	fod̥oɡ̊ʁɑːˀfɐ
hvæsse	ʋɛsə
høste	høsd̥ə
legetøj	lɑːɪtˢʌj
bouquet	b̥ukʰɛ
kvær	kʰʋ̥ɛˀɐ̯
fjerdedel	fjeːɐd̥eˀl
forglemme	fɒɡ̊lɛmˀə
forskertse	fʌsɡ̊aɐ̯d̥sə
eufori	œwfoʁiːˀ
lune	luːnə
neutrum	nʌjtˢʁ̥ɔm
yngst	øŋˀsd̥
bruger	b̥ʁoːɐ
hyttens	hyd̥n̩s
filet	file
cremefraiche	kʰʁ̥ɛmfrɛːɕ
fritstående	fʁ̥id̥sd̥ɔːˀənə
klædernes	kʰl̥ɛːðɐnəs
samtykker	sɑmtˢyɡ̊ɐ
reel	ɹiːl
førte	føɐ̯ˀd̥ə
changere	ɕɑŋɕeˀɐ
undfange	ɔnfɑŋˀə
fersken	faɐ̯sɡ̊ən
svensk	sʋ̥ɛnˀsɡ̊
arkiv	ɑkʰiwˀ
barsle	b̥ɑːslə
tanke	tˢɑnɡ̊ə
afbildning	ɑwb̥elˀneŋ
bedårende	b̥ed̥ɒˀɒnə
overvægt	ɒwɐʋɛɡ̊d̥
fager	fæˀjɐ
gløgg	ɡ̊løɡ̊
algoritme	alɡ̊oʁid̥mə
rette	ʁɑd̥ə
herske	hæɐ̯sɡ̊ə
nøgleroman	nʌjləʁomæːˀn
gænger	ɡ̊ɛŋɐ
norden	noːɐn
vrang	vʁɑŋˀ
gebærde	ɡ̊eb̥ɛɐ̯ˀd̥ə
perker	pʰæɐ̯ˀɡ̊ɐ
formode	fʌmoðˀð̩
magre	mɑwʁʌ
frikadeller	fʁiɡ̊əd̥ɛlɐ
fængsler	fɛŋˀslɐ
handske	ha̝nsɡ̥ə
udebliver	uːðəb̥liwˀɐ
skændig	sɡ̊ɛnd̥i
indtægt	entˢɛɡ̊d̥
pendant	pʰɑŋd̥ɑŋ
faldskærm	falsɡ̊aɐ̯ˀm
pæderast	pʰɛd̥əʁɑsd̥
sørgede	sɶɐ̯wəðə
herberg	haɐ̯b̥aɐ̯ˀw
konservativ	kʰɔnsæɐ̯vatˢiwˀ
praksis	pʰʁ̥ɑɡ̊sis
naturvidenskab	natˢuɐ̯ˀviðn̩sɡ̊æˀb̥
træ	tˢʁ̥aˀ
oldefar	ʌləfɑː
skænk	sɡ̊ɛŋˀɡ̊
altid	alˀtˢiðˀ
græsk	ɡ̊ʁɑsɡ̊
hvorledes	vɒleːðɘs
sluge	sluːu
helvede	hɛ̝lvð̩ə
margrete	mɑɡ̊ʁæːˀd̥ə
bredders	b̥ʁæˀd̥ɐs
solgte	sʌld̥ə
piner	pʰiːnɐ
afsked	ɑʊ̯sɡ̊eð̠ˠˀ
tag	tˢæɡ̊
menuen	menyn̩
fri	fʁitʃː
punktum	pʰɔŋtˢɔm
finde	fenə
brunch	b̥ʁʌnˀɕ
flyder	flyˀðɐ
politik	pʰolitˢiɡ̊
skødet	sɡ̊øːðəd̥
studentereksamen	sd̥ud̥enˀd̥ɐɛɡ̊sæːmm̩
kolibri	kʰolib̥ʁiːˀ
masser	maseɐ̯ˀ
stemte	sd̥ɛmˀd̥ə
knar	kʰnɑːˀ
vælte	ʋɛld̥ə
eng	ɛŋˀ
nagle	nɑwlə
skørt	sɡ̊øɐ̯ˀd̥
adjø	ad̥jø
følelse	føːl̩sə
tjener	tɕɛˀnɐ
allesammen	aləsɑmn̩
bebyrde	b̥eb̥yɐ̯ˀd̥ə
trælle	tˢʁ̥ɑlə
slurk	sluɐ̯ɡ̊
lønforhøjelse	lœnfʌhʌjˀəlsə
karl	kʰɑl
balstyrisk	b̥alsd̥yːˀɐ̯isɡ̊
flimmerkasse	flemˀɐkʰasə
æde	ɛðð̩
pilgrim	pʰilɡ̊ʁɛmˀ
hul	hɔl
boet	b̥oðˀð̩
kilde	kʰilə
bunden	b̥ɔnˀən
skjule	sɡ̊juːlə
grus	ɡ̊ʁuːˀs
ført	føɐ̯ˀd̥
bipolær	b̥ipʰolɛːˀɐ̯
fryd	fʁ̥yˀð
standpunkt	sd̥anpʰɔŋˀd̥
pibe	pʰiːʊ
besudle	b̥esuðˠˀlə
genert	ɕeneɐ̯ˀd̥
tab	tˢæˀb̥
ilter	ild̥ɐ
harekilling	hɑːɑkʰileŋ
hjerte	jaɐ̯d̥ə
flæskesteg	fl̥ɛsɡ̊əsd̥ɑjˀ
mobil	mob̥iːˀl
pleje	pʰl̥ɑːɪ
lever	leːwɐ
oldgræske	ʌlɡ̊ʁasɡ̊ə
drift	d̥ʁæfd̥
bizar	b̥isɑːˀ
kompost	kʰɔmpʰʌsd̥
krans	kʰʁ̥ɑːˀns
bærer	b̥aɐ̯ˀ
forårsrulle	fɒːɒsʁulə
fisse	fisə
først	fɶsd̥
springe	sb̥ʁɛŋə
danegæld	d̥æːnəɡ̊ɛlˀ
vidste	ʋesd̥ə
anstand	ansd̥anˀ
hjælpes	jɛlb̥əs
klæd	kʰl̥ɛˀ
revne	ʁawnə
trøflen	tˢʁ̥œflən
nøgtern	nœɡ̊d̥ɐn
mad	maˀð
ynde	ønə
marsvin	mɑːsviːˀn
koge	kʰɔːʊ
springer	sb̥ʁeŋɐ
a	aˀ
metafor	metˢafoːˀɐ̯
spisestue	sb̥isəsd̥uːu
tiere	tˢiˀɐɐ
travl	tˢʁ̥ɑwˀl
hob	hoˀb̥
underlag	ɔnɐlæːˀɪ̯
slags	sl̥æˀjs
rejste	ʁɑjsd̥ə
amerika	ameɐ̯ˀikʰa
cowboy	kʰɒwb̥ʌj
iste	istˢeːˀ
fiks	feɡ̊s
rutebilstation	ʁud̥əb̥ilsd̥aɕoˀn
velfærdsstat	ʋɛlfɛɐ̯ssd̥æˀd̥
jeg	jɑj
rar	ʁɑːˀ
skulle	sɡ̊ulə
pagaj	pʰaɡ̊ɑjˀ
par	pʰɑː
violin	violiːˀn
skyldig	sɡ̊yld̥i
ret	ʁɑd̥
dårlig	d̥ɒːli
undret	ɔnd̥ʁɐð
slaver	slæːwɐ
ved	ʋeˀ
pligt	pʰl̥eɡ̊d̥
kørte	kʰøɐ̯ˀd̥ə
krus	kʰʁ̥oːˀs
leve	leːʋə
koparret	kʰʌb̥ɑːɑð
fuchsia	fɔɡ̊ɕa
stole	sd̥oːlə
ordbog	oɐ̯b̥ɔwˀ
jesus	je̝ːsus
flæsk	fl̥ɛsɡ̊
lærdom	læɐ̯d̥ʌmˀ
daler	d̥æːˀlɐ
blevet	b̥leːwð̩
lemmerne	lɛmɐnə
plat	pʰl̥ad̥
gift	ɡ̊ifd̥
uvejr	uʋɛɐ̯ˀ
gotisk	ɡ̊oˀtˢisɡ̊
kvarts	kʰʋ̥ɑːd̥s
pinligt	pʰiːnlid̥
søde	søːðə
begge	b̥ɛɡ̊ə
gør	ɡ̊ɶɐ̯
iscenesætte	iseːnəsɛd̥ə
blod	b̥loðˀ
attisk	atˢisɡ̊
traske	tˢʁ̥ɑsɡ̊ə
give	ɡ̊i
kælling	kʰɛleŋ
beretning	pe̝ʁɑtniŋ
rhinen	ʁiˀnn̩
saksisk	sɑɡ̊sisɡ̊
svoret	sʋoːɐð
holden	hʌlən
træskonæb	tʁasɡoˀnɛ̝b̥ˀ
kvaje	kʰʋ̥ɑjə
hel	heˀl
gudløs	ɡ̊uðløːˀs
vittighed	vid̥iheðˀ
dansker	d̥ansɡ̊ɐ
fart	fɑˀd̥
transparens	tˢʁ̥ɑnsb̥ɑʁans
sæl	sɛːˀl
skæv	sɡ̊ɛwˀ
vilde	ʋilə
livegen	liweˀjən
hotdog	hʌd̥d̥ʌɡ̊
reven	ʁæːwn̩
forbyd	fɒb̥yˀð
alting	alˀtˢeŋˀ
fersken	faɐ̯sɡ̊ŋ̩
stank	sd̥ɑŋˀɡ̊
kagers	kʰæːjɐs
hugge	hɔɡ̊ə
trufne	tˢʁ̥ɔfnə
vort	vɒd̥
undtagen	ɔntˢæjˀən
værtinde	væɐ̯d̥enə
optrædes	ʌb̥tˢʁ̥ɛˀðəs
drøne	d̥ʁœ̞ːnə
strøg	stʁʌjˀ
røven	ʁœːʋən
ambitiøs	ɑmb̥iɕøːˀs
egetræ	eːjətˢʁ̥ɛːˀ
kakkelovn	kʰɑɡ̊l̩lɒwˀn
slag	sl̥æˀ
rører	ʁœ̞ːɐ
vrik	vʁæɡ̊
forvente	fʌʋɛnˀd̥ə
kyse	kʰyːsə
træffedes	tˢʁ̥afəðəs
vågne	ʋɔwnə
frelse	fʁɑlsə
fugt	fɔɡ̊d̥
fortsatte	fɒːd̥sad̥ə
skørbug	sɡ̊øɐ̯b̥uˀ
møl	møl
sjælland	ɕɛlanˀ
undtag	ɔntˢæˀ
lykke	løɡ̊ə
grøntsag	ɡ̊ʁɶnsæˀ
blevet	b̥leːð̩
valgte	ʋald̥ə
gulvenes	ɡ̊ɔlnəs
giro	ɕiːo
blomsterbed	b̥lʌmˀsd̥ɐb̥eð
bøvler	b̥œwlɐ
enebarn	eːnəb̥ɑːˀn
cykelhjelm	syɡ̊l̩jɛlˀm
rygning	ʁœ̞ɡ̊neŋ
lemme	lɛmə
støvsuger	sd̥øwsuːɐ
båndoptager	b̥ʌnʌb̥tˢaˀjɐ
ko	kʰoˀ
rev	ʁæˀw
valke	valɡ̊ə
kristne	kʰʁ̥ɛsd̥nə
fra	fʁ̥ɑ
verdenskrig	væɐ̯d̥ənskʰʁiːˀ
pjat	pʰj̊ad̥
porre	pʰoːɐ
le	leˀ
purløg	pʰuɐ̯lʌɪ̯ˀ
hø	høtʃː
ræv	ʁæwˀ
subtil	sub̥tˢiːˀl
aftener	ɑfd̥ənɐ
spørge	sb̥ɶɐ̯wə
march	mɑːɕ
krebs	kʰʁ̥ab̥s
spyd	sb̥yð
herodot	heod̥oˀd̥
skørt	sɡ̊ɶɐ̯d̥
walisisk	valiːˀsisɡ̊
tyran	tˢyʁɑnˀ
spærre	sb̥æʁə
torsk	tˢɒːsɡ̊
prutten	pʰʁ̥ud̥ən
dejlig	d̥ɑjli
stræbte	sd̥ʁab̥d̥ə
blev	b̥lewˀ
irriterende	iɐ̯tˢeɐ̯ˀnə
overkrop	ɒwɐkʰʁ̥ʌb̥
borge	b̥ɒːʊ
guvernørpost	ɡ̊uʋɐnøːˀɐ̯pʰʌsd̥
christian	kʰʁɛsd̥jan
hårfin	hɒːfiˀn
fabelagtig	fæˀb̥əlɑɡ̊d̥i
ildsvåde	ilˀsʋɔðð̩
gav	ɡ̊æˀ
accentens	ɑɡ̊sɛnˀd̥n̩s
gad	ɡ̊æˀð
mager	mɑwˀɐ
boheme	b̥oɛːm
legal	leɡ̊æːˀl
krænke	kʰʁ̥aŋɡ̊ə
nytårsdag	nyd̥ʌsd̥æːˀ
rettelse	ʁɑd̥l̩sə
stande	sd̥anə
lagdes	læːəs
frelser	fʁɑlsɐ
støje	sd̥ʌjə
blåskimmelost	b̥lʌsɡ̊eməlɔsd̥
friste	fʁɛsd̥ə
ligeglad	liːəɡ̊lað̠ˠ
spredte	sb̥ʁæˀd̥ə
save	sæːʋə
vølve	vølvə
hygge	hyɡ̊ə
fiktiv	fiɡ̊tˢiwˀ
størrelse	sd̥ɶːɐlsə
efterspørgsel	ɛfdɐsbɶɐ̯səl
fred	fʁ̥æðˀ
numrene	nɔmʁɐnə
blæse	b̥lɛːsə
tvang	tˢʋ̥ɑŋˀ
fuldstændig	fulsd̥ɛnˀd̥i
fed	feð
onkel	ɔŋˀɡ̊l̩
syg	syˀ
pude	pʰuːðə
boner	b̥ʌŋˀɐ
helt	hɛlˀd̥
tænke	tˢɛŋɡ̊ə
godaften	ɡoɑfd̥ən
sælger	sɛlˀjɐ
sover	sɒwˀɐ
mål	mɔˀl
fugtig	fɔɡ̊d̥i
pigen	pʰiːn̩
fortæller	fʌtˢɛlˀɐ
forandre	fʌɑnˀd̥ʁɐ
ville	ʋelə
suppe	sɔb̥ə
ager	aɡ̊eˀɐ̯
asparges	asb̥ɑˀs
brugbar	b̥ʁoːb̥ɑˀ
overspringshandling	ɒʊ̯ɐsb̥ʁæŋˀshanleŋ
urtid	uɐ̯tˢiˀð
gennem	iɡ̊ɛmˀm̩
tog	tˢoˀ
træf	tˢʁ̥af
sanger	sɑŋɐ
ville	ʋilə
bag	b̥æˀj
kvæle	kʰʋ̥ɛːlə
gulvene	ɡ̊ɔlvənə
saft	sɑfd̥
usagt	usɑɡ̊d̥
spredt	sb̥ʁæˀd̥
forhud	fɒːhuðˀ
olivengren	oliwˀn̩ɡ̊ʁæˀn
butikken	b̥utˢiɡ̊ən
månefase	mɔːnəfæːsə
sådan	sʌnoːn
impulsiv	empʰulsiwˀ
ledt	leˀd̥
torve	tˢɒːʊ
rev	ʁæw
jaloux	ɕælu
støvsuger	sd̥øwsuːˀɐ
revy	ʁævy
løber	løwˀɐ
en	eːˀn
optræd	ʌb̥tˢʁ̥aðˀ
sværdfisk	svæɐ̯fesɡ̊
vægtning	ʋɛɡ̊d̥neŋ
holland	hʌlanˀ
ejendel	ɑːɪnd̥eˀl
skyld	sɡ̊ylˀ
klovne	kʰlɒwnə
skrift	sɡ̊ʁæfd̥
ufødt	uføˀd̥
trussel	tˢʁosl̩
kørvel	kʰɶɐ̯ʊ̯əl
avancere	ɑvɑŋseːˀɐ
olding	ʌld̥eŋ
salt	salˀd̥
grævling	ɡ̊ʁawleŋ
tilbagestående	tˢeb̥æːæsd̥ɔˀnə
kristian	kʰʁæsd̥jan
paté	pʰatˢe
skud	sɡ̊uð
pil	pʰelˀ
laven	læːwn̩
skejs	sɡɑjˀs
brugs	b̥ʁoˀs
første	fɶɐ̯sd̥ə
liberalisme	lib̥əʁɑlismə
aorist	ɑwʁisd̥
digt	d̥eɡ̊d̥
kræset	kʰʁ̥ɛˀsəð
korset	kʰɒsəd̥
stil	stˢiːˀl
otte	ʌd̥ə
fornuft	fʌnɔfd̥
dels	d̥eˀls
rive	ʁiːʋə
kanel	kʰaneːˀl
ihukomme	ihuˀkʰʌmˀə
valkyrie	valkʰyɐ̯ˀiə
lam	lɑmˀ
spas	sb̥æːˀs
banegård	b̥æːnəɡ̊ɒˀ
genlæse	ɡ̊ɛnlɛːˀsə
grund	ɡ̊ʁɔnˀ
helgen	hɛlˀjən
hvornår	vɒnɒːˀ
sulten	sulˀd̥ən
afholdtes	ɑwhʌlˀd̥əs
spredt	sb̥ʁɛˀd̥
andefedt	anəfed̥
vindbøjtel	ʋenb̥ʌjˀd̥əl
kruse	kʰʁ̥oːsɘ
artikel	ɑtˢiɡ̊əl
vande	vanə
rødlos	ʁœðˠlʌs
treti	tˢʁ̥ɛtˢi
tolv	tˢʌlˀ
vist	ʋiˀsd̥
basket	b̥ɑːsɡ̊əd̥
skred	sɡ̊ʁæðˀ
mørne	møɐ̯nə
stræben	sd̥ʁæːb̥m̩
kul	kʰuˀl
værdig	ʋaɐ̯d̥i
agern	æˀɐn
forrådende	fʌʁɔˀð̩nə
brystvorte	b̥ʁœsd̥vɒːd̥ə
bedrøvede	b̥ed̥ʁœˀʋð̩ð̩
herskerne	hæɐ̯sɡ̊ɐnə
enke	ɛŋɡ̊ə
glamour	ɡ̊lamɒ
