gibraltarski	ɡǐbraltarskiː
uzročan	ǔzrot͡ʃan
pojednostavnjivati	pojednostaʋɲǐːʋati
aklamacija	aklamǎːt͡sija
imputacija	imputǎːt͡sija
informatika	informǎtika
uveravati	uʋerǎːʋati
nezanimljiv	nezanǐmʎiʋ
plomba	plôːmba
zač	zatʃ
krampaški	krǎmpaːʃkiː
propoved	prôpoʋeːd
korisnost	kôriːsnoːst
verati	ʋěrati
svemiroplov	sʋêmiːroploːʋ
izručivati	izrut͡ʃǐːʋati
proplakivati	proplakǐːʋati
rešenje	reʃěːɲe
ilegalan	îleɡaːlan
bezbrojan	bězbroːjan
alfabet	alfǎbeːt
pečalba	pět͡ʃaːlba
škorpion	ʃkorpǐoːn
opominjati	opǒmiɲati
povraćati	pǒʋrat͡ɕati
gospodariti	ɡospodǎːriti
maloljetnički	mâloʎetnit͡ʃkiː
šerbet	ʃěrbet
prilično	prǐːlit͡ʃno
domet	dǒːmet
čar	t͡ʃâːr
zijevnuti	zjěːʋnuti
pojava	pôjaʋa
podglavlje	pǒdɡlaːʋʎe
okončavati	okont͡ʃǎːʋati
porijeklo	porijěːklo
rub	rûːb
transportni	trǎnsportniː
jubilej	jubǐlej
postići	pǒstit͡ɕi
povrediti	poʋrěːditi
sklop	sklôp
čep	t͡ʃêp
proučavati	prout͡ʃǎːʋati
sugreb	sǔːɡreb
uvjerljivo	uʋjěrʎiʋo
šampon	ʃǎmpoːn
revolucionaran	rêʋolut͡sionaːran
nesebičan	nêsebit͡ʃan
uozbiljiti	uozbǐːʎiti
nakot	nǎkot
čeoni	t͡ʃêoniː
monoteizam	monoteǐzam
iluminacija	iluminǎːt͡sija
odmaralište	odmǎraliːʃte
kiklopski	kǐklopskiː
čovečan	t͡ʃôʋet͡ʃan
kolonist	kolǒnist
bikovski	bǐkoʋski
statistički	statǐstitʃkiː
štand	ʃtând
ciklički	tsǐklitʃkiː
projektil	projěktiːl
husitski	xǔsiːtskiː
industrija	indǔstrija
sakrament	sakrǎment
egoizam	eɡoǐzam
nepobjediv	nepobjědiʋ
resor	rěsoːr
plakati	plâkati
gulaš	ɡûlaːʃ
nedvojbeno	nedʋǒjbeno
skrovit	skrǒʋit
osakatiti	osǎkatiti
problematičan	problemǎtit͡ʃan
rezultatski	rezǔltaːtskiː
pjevač	pjěʋaːt͡ʃ
bio	bîo
presenećivati	presenet͡ɕǐːʋati
pedofilija	pedofǐlija
tumarati	tumǎrati
lisa	lîsa
sezati	sěːzati
samovoljan	sâmoʋoːʎan
pokus	pǒkus
skvrčiti	skʋr̂t͡ʃiti
bučica	bût͡ʃit͡sa
vergl	ʋěrɡl
sud	sûːd
kakofoničan	kakofǒnit͡ʃan
posjedovati	pǒːsjedoʋati
autobiografski	autobiǒɡrafski
transcendencija	transt͡senděnt͡sija
čist	t͡ʃîst
kolosalno	kôlosaːlno
transformator	transfǒrmaːtor
epilepsija	epilěpsija
puvati	pǔːʋati
preneti	prěneːti
nerazgovijetan	nêrazɡoʋijeːtan
provokacija	proʋokǎːt͡sija
letjeti	lětjeti
akcijski	ǎkt͡siːjskiː
cicija	t͡sǐt͡sija
povijedati	povjedati
ljeto	ʎêto
pucanj	pûːt͡saɲ
traumatologija	traumatolǒɡija
obitavati	obitǎːʋati
čitateljica	t͡ʃitatěʎit͡sa
strmoglavo	strmǒɡlaʋo
zlonamernik	zlonǎːmeːrniːk
crkavati	t͡srkǎːʋati
seljački	sěʎaːtʃkiː
preteran	prěteraːn
fratar	frâːtar
direktor	dǐrektor
pica	pǐːtsa
strmoglavce	strmǒɡlaʋt͡seː
šprajc	ʃprâjt͡s
nigda	nîɡda
popularan	pôpulaːran
kokain	kokǎiːn
socijalistički	sotsijalǐstitʃki
rascepiti	rast͡sěːpiti
okriviti	okrǐːʋiti
ijekavština	ijekǎːʋʃtina
kasniti	kǎsniti
radni	râːdniː
baron	bǎroːn
feminizam	feminǐzam
bezuspješan	bezǔspjeʃan
sklad	sklâd
beograđanka	bêoɡrad͡ʑaːnka
hijat	xîjaːt
sada	sâda
jednook	jednǒok
hvaranin	xʋǎːranin
kradomice	krâdomit͡seː
zmijski	zmîːjski
generalan	ɡêneraːlan
priča	prîːt͡ʃa
izoštriti	izǒʃtriti
zauzdati	zaǔzdati
genitivni	ɡênitiːʋniː
spahija	spǎxija
puce	pût͡se
etiopljanin	etiǒːpʎanin
prekasno	prêkasno
malobrojan	mâlobroːjan
frižider	friʒǐdeːr
istinski	îstiːnski
nesuvislo	nêsuʋislo
konstruirati	konstruǐːrati
pivarski	pǐʋaːrskiː
dever	dêver
blasfemija	blasfěmija
fakin	fǎkiːn
kraljev	krǎːʎeʋ
sunčanik	sunt͡ʃǎniːk
uvrstiti	uʋřːstiti
spavati	spǎːʋati
smaći	smât͡ɕi
kotar	kôtaːr
grob	ɡrôb
ružičast	rûʒit͡ʃast
aktivist	aktǐʋist
pisac	pǐːsat͡s
statičan	stǎtit͡ʃan
cep	t͡sêːp
arbanas	arbǎnas
sprati	sprâti
belgijanac	belɡijǎːnat͡s
nećački	nêtɕaːtʃki
čudotvorno	t͡ʃûdotʋoːrno
proplivati	prǒpliʋati
nagristi	nǎɡristi
kolokvijalno	kôlokʋijaːlno
trgovinski	třɡoʋiːnskiː
adijabatski	adijǎbatskiː
papirus	pâpirus
besvesno	bêsʋesno
gerijatrijski	ɡerijǎtriːjskiː
šlepati	ʃlêpati
nekomunikativnost	nekomunikatǐːʋnoːst
diskvalificirati	diskʋalifit͡sǐːrati
kivnja	kǐːʋɲa
uzoravati	uzorǎːʋati
deka	děːka
latinizacija	latinizǎːt͡sija
repertoar	repertǒaːr
sic	sît͡s
cijep	t͡sijêːp
divlje	dǐʋʎeː
kleti	klêːti
pośetiti	pǒɕetiti
potpun	pǒtpun
sadržina	sǎdrʒina
regulativ	reɡulǎtiːʋ
bankina	bankǐːna
artiljerijski	artiʎěriːjskiː
neoštećen	neǒʃtet͡ɕen
poremećivati	poremet͡ɕǐːʋati
nenamjeran	nenǎːmjeran
nacionalni	nât͡sionaːlniː
pristupati	pristǔːpati
koljeno	kǒʎeno
krnjak	kr̂ɲaːk
danas	dǎnas
recept	rět͡sept
trut	trûːt
identifikator	identifǐkaːtor
starčev	stâːrt͡ʃeʋ
knjižnica	kɲǐːʒnit͡sa
gaz	ɡâːz
saldo	sâːldo
dvoličnjački	dʋǒlitʃɲatʃkiː
šnjofati	ʃɲôfati
zubarski	zǔbaːrski
koncizan	kônt͡siːzan
kamionski	kamǐoːnskiː
piton	pǐtoːn
vrtoglavo	ʋrtǒɡlaʋo
bled	blêːd
nehumanost	nêxumaːnoːst
anglosaski	anɡlǒsaskiː
servisirati	serʋisǐːrati
zločinac	zlǒt͡ʃinat͡s
stidljivo	stǐdʎiʋo
mislilac	mǐslilat͡s
taman	tǎːman
inertan	iněrtan
čeličiti	t͡ʃělit͡ʃiti
kongruentan	konɡruěntan
ugrađivati	uɡrad͡ʑǐːʋati
stavka	stâːʋka
neotesan	nêotesaːn
iscijeliti	ist͡sijěːliti
moram	môːraːm
suvišan	sûʋiːʃan
lončarnica	lǒnt͡ʃaːrnit͡sa
gnjurac	ɡɲǔːrat͡s
bubnjati	bǔbɲati
potpisati	potpǐːsati
aranžman	arǎnʒmaːn
kiša	kîʃa
trigonometrijski	triɡonomětriːjskiː
težak	těʒaːk
indološki	indǒloʃkiː
kazniti	kâzniti
štoperica	ʃtôperit͡sa
orati	ǒrati
vila	ʋǐːla
jednomišljenica	jednǒmiʃʎenit͡sa
nojevski	nôjeʋski
laboratorijski	laborǎtoːriːjskiː
sumerski	sǔmeːrskiː
patetika	patětika
nevera	něʋera
koordinacija	koordinǎːt͡sija
pačić	pât͡ʃit͡ɕ
izneti	ǐzneːti
sastojak	sǎːstojak
načelnik	nǎːt͡ʃelniːk
navijač	naʋǐjaːt͡ʃ
algebarski	ǎlɡeːbarskiː
zamaći	zǎmat͡ɕi
grandiozan	ɡrândioːzan
otok	ǒtok
batina	bǎtina
groteskno	ɡrotěskno
eliksir	elǐksiːr
urez	ǔːrez
zvon	zʋôn
odbojnik	ǒdboːjniːk
meta	měːta
desetina	desětina
nadzemaljski	nadzemǎʎskiː
sevastopolj	seʋastǒpoʎ
skloniti	sklǒniti
lomiti	lǒmiti
nevernički	něʋeːrnit͡ʃkiː
mahati	mǎːxati
značajno	znât͡ʃaːjno
radioaktivno	radioǎktiːʋno
prilagođivati	prilaɡod͡ʑǐːʋati
striper	strîper
svetlucati	sʋetlǔt͡sati
potraga	pôtraɡa
objavljivati	objaʋʎǐːʋati
plješiv	pʎěʃiʋ
prvenstven	prʋěnstʋen
modelirati	modelǐːrati
nogometni	nôɡomeːtniː
mati	mâti
čovjek	t͡ʃôʋjek
bokal	bǒkaːl
sugrađanin	sǔɡrad͡ʑanin
levak	lěʋaːk
odjavljivati	odjaʋʎǐːʋati
karneval	karněʋaːl
zdravlje	zdrâːʋʎe
lihvar	lîxʋaːr
negovati	nêɡoʋati
ovđe	ǒːʋd͡ʑe
podgristi	pǒdɡristi
koegzistencija	koeɡzistěnt͡sija
kupaona	kupaǒːna
ciganiti	t͡siɡǎːniti
općutiti	opt͡ɕutiti
vesna	ʋêsna
označivač	oznat͡ʃǐʋaːt͡ʃ
nemoć	nêmoːt͡ɕ
albanologijski	albanolǒɡiːjskiː
ubogo	ûboɡo
dotiskati	dǒtiskati
šnajder	ʃnâjder
kolekcija	kolěkt͡sija
nedavan	nêdaːʋan
slastičarnica	slǎstit͡ʃaːrnit͡sa
obzorje	ǒbzoːrje
zadivljavati	zadiʋʎǎːʋati
nego	nêɡo
konverzacijski	konʋerzǎːtsiːjskiː
tenedski	těnedskiː
kandžija	kǎnd͡ʒija
dobronameran	dobronǎːmeran
tlakomjer	tlâkomjeːr
burgija	bǔrɡija
pijaca	pǐjat͡sa
otkidati	otkǐːdati
nigđe	nîɡd͡ʑe
gumen	ɡǔmen
cvjećar	t͡sʋjět͡ɕaːr
odazivati	odazǐːʋati
nigdje	nîɡdje
zloslutan	zlǒslutan
čehati	t͡ʃěxati
snaći	snâːt͡ɕi
divljaštvo	diʋʎǎːʃtʋo
beton	bětoːn
holistički	xolǐstit͡ʃki
ratnički	râtnitʃki
brat	brât
asimetrija	asimětrija
mezopotamija	mezopotâːmija
anka	âːnka
pljačka	pʎât͡ʃka
štetan	ʃtêtan
panorama	panorǎːma
smrdjeti	smřdjeti
zaman	zâmaːn
zijevati	zjěːʋati
homofonija	xomofǒnija
renome	renǒmeː
posebno	pǒːsebno
diftonški	dǐftonʃkiː
pliš	plîʃ
ugalj	ûɡaʎ
izuzimati	izǔzimati
izmena	îzmena
kiseonik	kiseǒniːk
uresiti	urěːsiti
abdomen	abdǒːmen
limenka	lǐmeːnka
unitaristički	unitarǐstit͡ʃkiː
nadvožnjak	nǎːdʋoʒɲaːk
lepo	lêːpo
derviški	děrʋiːʃkiː
pesma	pêsma
liptati	lǐptati
hidžra	xîd͡ʒra
fiziološki	fiziǒloʃkiː
doušnik	dǒuʃniːk
budžet	bǔd͡ʒet
amoralan	âmoraːlan
talasav	talǎsaʋ
bengalski	běnɡaːlski
punokrvan	pûnokrːʋan
odozemak	odozemak
proćerdati	prǒt͡ɕeːrdati
limfni	lîːmfniː
makar	mǎkar
kolovoski	kôloʋoskiː
d	d
orlovski	ǒrloʋskiː
pobeđivati	pobed͡ʑǐːʋati
maketa	makěta
odmamljivati	odmamʎǐːʋati
zamjerljiv	zamjěrʎiʋ
stranka	strânka
fetišizam	fetiʃǐzam
instinkt	ǐnstinkt
policija	polǐt͡sija
neprenosivost	neprenǒsiʋoːst
agrobiologija	aɡrobiolǒɡija
fenjer	fěɲer
pobuđivati	pobud͡ʑǐːʋati
tek	têk
krivovjerje	kriʋǒʋjeːrje
lomljivost	lǒmʎiʋoːst
zapadnjak	zâːpadɲaːk
nogostup	nôɡostuːp
rezbarstvo	rezbǎːrstʋo
koma	kôma
doživotan	dôʒiʋotan
čador	tʃâdor
prav	prâʋ
seći	sêt͡ɕi
motika	mǒtika
razgristi	rǎzɡristi
satirično	satǐrit͡ʃno
skočiti	skǒt͡ʃiti
ložački	lǒʒaːt͡ʃki
žderač	ʒděraːt͡ʃ
inicijator	init͡sǐjaːtor
intimno	întiːmno
trahtur	trǎxtuːr
pasažir	pasǎʒiːr
svedodžba	sʋedǒd͡ʒba
preporučiti	preporǔːt͡ʃiti
nadevati	naděːʋati
slučajno	slût͡ʃaːjno
juha	jǔːxa
kemičar	kěmit͡ʃaːr
stojećke	stǒjeːt͡ɕke
imun	îmuːn
padavica	pâdaʋit͡sa
napuštati	napǔːʃtati
tolerancija	tolerǎnt͡sija
čistiti	t͡ʃîstiti
materinski	mâteriːnski
apsolutizam	apsolutǐzam
čovečanstvo	t͡ʃoʋet͡ʃǎnstʋo
kronika	krǒnika
stizati	stîzati
modernizacija	modernizǎːt͡sija
bubuljičast	bubǔʎit͡ʃast
lučni	lûːt͡ʃniː
adoracija	adorǎːt͡sija
č	tʃ
zatiljni	zǎːtiːʎniː
savestan	sǎːʋestan
razmjeran	rǎːzmjeːran
golferica	ɡǒlferit͡sa
sestrin	sěstriːn
štokavac	ʃtǒːkaʋat͡s
korpus	kǒrpus
sektor	sêktor
širiti	ʃǐːriti
luka	lǔːka
haubički	xǎubit͡ʃkiː
zapaliti	zapǎːliti
bubnjar	bǔbɲaːr
arheologija	arxeolǒɡija
salitreni	sǎlitreniː
tadžički	tǎd͡ʒit͡ʃkiː
ugađati	uɡǎːd͡ʑati
korak	kôraːk
urod	ǔːrod
familijaran	fâmilijaːran
čovjekoljubiv	t͡ʃoʋjekoʎǔbiʋ
nespreman	něspreman
ludača	lǔdat͡ʃa
pomagač	pomǎɡaːt͡ʃ
vošplav	ʋôʃplaːʋ
silovanje	sîloʋaːɲe
uran	ǔraːn
izbavljati	ǐzbaʋʎati
maslac	mâslat͡s
častan	t͡ʃâstan
objediniti	objedǐːniti
zatrovati	zatrǒʋati
orah	ǒrax
nepotpun	nêpotpun
antikomunist	antikomǔnist
izdržati	izdřʒati
skoplje	skôpʎe
ultimativno	ûltimatiːʋno
jarost	jǎːrôːst
bošnjački	bǒʃɲaːtʃkiː
vestfalija	ʋěstfaːlija
doigravanje	doiɡrǎːʋaɲe
bacačica	bat͡sǎt͡ʃit͡sa
kruv	krûʋ
zagrijavati	zaɡrijǎːʋati
finalistkinja	finǎlistkiɲa
predomišljati	predomǐːʃʎati
šljahta	ʃʎâxta
kleptoman	kleptǒmaːn
šikati	ʃîkati
impresivan	împresiːʋan
smaknuće	smaknǔːt͡ɕe
isceđivati	ist͡sed͡ʑǐːʋati
albinizam	albinǐzam
nesvakidašnji	nesʋakǐdaʃɲiː
šćir	ʃt͡ɕîːr
vlasništvo	ʋlâːsniːʃtʋo
dežuran	děʒuːran
teroristički	terorǐstitʃkiː
potpora	pôtpora
progresivno	prôɡresiːʋno
averzija	aʋěrzija
svedočiti	sʋedǒt͡ʃiti
prismotra	prǐsmotra
naslikati	nǎslikati
štafir	ʃtǎfiːr
deset	dêset
rezultirati	rezultǐːrati
gljivar	ɡʎǐʋaːr
uništiti	ǔniʃtiti
začahurenost	zat͡ʃǎxurenoːst
službeno	slûʒbeno
napučivati	naput͡ʃǐːʋati
popudbina	pǒpudbina
udružiti	udrǔːʒiti
odlazak	ǒdlazak
bolovanje	bolǒʋaːɲe
bešćutno	běʃt͡ɕutno
rim	rîːm
uzdržljiv	uzdřʒʎiʋ
odlika	ôdlika
denotacija	denotǎːt͡sija
napinjati	nǎpiɲati
podgorica	pǒdɡorit͡sa
mudrost	mǔːdroːst
luckasto	lût͡skasto
kratkoročan	krâtkorot͡ʃan
silovit	silǒʋit
silovati	sîloʋati
konkretan	kǒnkretan
prijevoj	prijěːʋoj
nelomljiv	nelǒmʎiʋ
agilno	âɡiːlno
prazniti	prǎːzniti
mješavina	mjěʃaʋina
prefriganac	prefriɡǎːnat͡s
voda	ʋǒda
suverenost	sǔʋerenoːst
hurikan	xûrikan
zadovoljstvo	zadoʋǒʎstʋo
šlafcimer	ʃlâːft͡simer
vrednoća	ʋrednǒt͡ɕa
pobednik	pǒbedniːk
aneksija	aněksija
tegobnost	têɡoːbnoːst
preplivati	prěpliʋati
prozvati	prǒzʋati
špijunka	ʃpǐjuːnka
osama	ôsama
bacanje	bǎt͡saːɲe
pritiskati	pritǐːskati
horoz	xôroːz
gladijatorski	ɡladǐjaːtorski
lupeški	lǔːpeʃki
prestati	prěstati
prosečno	prôset͡ʃno
dojahati	dǒjaxati
bespolno	bêspoːlno
ležeran	lêʒeːran
crnački	t͡sřnat͡ʃki
duga	dǔːɡa
mjestopis	mjêstopiːs
nestašica	něstaʃit͡sa
ćuteti	t͡ɕǔːteti
tajni	tâːjniː
škotska	ʃkôtskaː
političar	polǐtit͡ʃaːr
kupus	kǔpus
znanstvenica	znǎnstʋenit͡sa
napet	nâpeːt
arapski	ǎrapskiː
dernek	děrnek
katedra	kǎteːdra
nominativni	nôminatiːʋniː
primjer	prǐːmjer
vera	ʋêra
divljakinja	diʋʎǎkiɲa
zaboravnost	zaborǎːʋnoːst
pneumatski	pneǔmatskiː
individualan	îndiʋiduaːlan
osamljen	ǒsaːmʎen
spjev	spjêːʋ
kijamet	kijǎːmet
tematski	těmatskiː
finansije	finǎnsije
mitologija	mitolǒɡija
dići	dît͡ɕi
uvjeravati	uʋjerǎːʋati
prijeglas	prijěːɡlas
znan	znâːn
pirija	pîːrija
flautist	flaǔtist
istaknuti	istǎknuti
jugoslavija	juɡǒslaːʋija
cevka	t͡sêːʋka
kurzivni	kǔrziːʋniː
brisel	brǐsel
dupsti	dûːpsti
ten	tên
amazonski	amǎzoːnski
useliti	usěliti
bivši	bîːʋʃiː
podoficir	pôdofit͡siːr
zabijati	zabǐːjati
neophodan	nêopxodan
nadletjeti	nadlětjeti
labijal	labǐjaːl
bikini	bǐkiːni
vrša	ʋr̂ʃa
reumatičan	reumǎtit͡ʃan
verzalni	ʋěrzaːlniː
četveronoške	t͡ʃetʋerǒnoʃkeː
bizaran	bîzaːran
dostići	dǒstit͡ɕi
posjetilac	posjětilat͡s
kritičarka	krǐtit͡ʃaːrka
sesti	sêsti
mlinar	mlînaːr
serotonin	serotǒniːn
velaran	ʋělaːran
rizik	rǐzik
lagodan	lâɡodan
izoštravati	izoʃtrǎːʋati
rascjep	rǎːst͡sjep
strpljivo	střpʎiʋo
tlo	tlô
onde	ǒːnde
propisivati	propisǐːʋati
otpraviti	ǒtpraʋiti
pudla	pûdla
sjedište	sjêdiːʃte
adoratorica	adǒraːtorit͡sa
savezni	sǎːʋezniː
navaljivati	naʋaʎǐːʋati
gušiti	ɡǔːʃiti
prestanak	prěstanak
razdati	rǎzdati
pašenog	paʃěnoɡ
natruha	nâːtruxa
zabušavati	zabuʃǎːʋati
kruška	krûʃka
naspati	nǎspati
pijano	pǐjaːno
gambija	ɡǎmbija
vojništvo	ʋojnǐːʃtʋo
koincidentan	koint͡siděntan
nogometaški	noɡomětaːʃki
maravela	maraʋěla
kompletno	kǒmpletno
sinkretizam	sinkretǐzam
skeč	skêt͡ʃ
kockati	kôt͡skati
oštro	ôʃtro
bogumil	bôɡumil
slatkovodni	slâtkoʋodniː
pokvariti	pokʋǎːriti
junak	jǔnaːk
besmrtan	běsmrtan
prevelik	prěʋelik
nasrtati	nǎsrtati
izniman	ǐzniːman
nalik	nǎːlik
kotorski	kôtorskiː
skrpavati	skrpǎːʋati
ukazati	ukǎːzati
uverenje	uʋerěːɲe
otkuda	ǒtkuda
zabaliti	zǎbaliti
mučati	mǔːt͡ʃati
utvrda	ûtʋrda
naopačke	nâopat͡ʃkeː
razbuditi	razbǔːditi
sličiti	slǐt͡ʃiti
ovčarstvo	oʋt͡ʃǎːrstʋo
kovarnuti	koʋǎːrnuti
svinjski	sʋǐɲskiː
oploditi	oplǒditi
ilegitimno	îleɡitiːmno
prijelazan	prjěːlazan
ohlađivati	oxlad͡ʑǐːʋati
trener	trěːner
vojvodstvo	ʋǒjʋodstʋo
riječ	rijêːt͡ʃ
ljubnuti	ʎûbnuti
kvalitetan	kʋâliteːtan
dragati	drǎːɡati
arheološki	arxeǒloʃkiː
prevoj	prěːʋoj
borovnica	borǒːʋnit͡sa
zadešavati	zadeʃǎːʋati
druželjubivo	druʒeʎǔbiʋo
inč	înt͡ʃ
urugvaj	ûruɡʋaj
opipati	ǒpipati
kleptomanski	kleptǒmaːnski
izuvati	izǔːʋati
neolitski	neǒliːtski
pristrano	prǐstrano
saksonac	saksǒːnat͡s
izbegavati	izbeɡǎːʋati
bočni	bôt͡ʃniː
nestrpljivo	nestřpʎiʋo
nepripremljenost	neprǐpreːmʎenoːst
golubić	ɡolǔbit͡ɕ
uspinjača	uspǐɲat͡ʃa
vragolija	ʋraɡǒlija
certificiran	t͡sertifǐt͡siːran
ukotvljivati	ukotʋʎǐːʋati
šubara	ʃǔbara
stotina	stotǐna
arterijski	ǎrteːriːjskiː
