سىستېمىسى	sˌɪstemˈɪsɪ
ئىمكانىيىتىگە	ˌɪmkɑnˌɪjɪtˈɪɡæ
چەتئەللىك	t͡ʃætˈællɪk
خارىكى	χɑɾˈɪkɪ
خاسىيەتلىك	χˌɑsɪjˈætlɪk
نوبېل	nˈobel
يەتكەن	jˈætkæn
خەلقىمىزنىڭ	χˌælqɪmˈɪznɪŋ
ئورگان	ˈorɡɑn
بارغاندىن	bɑrʁˈɑndɪn
ياغلىق	jˈɑʁlɪq
مەنىدىكى	mˌænɪdˈɪkɪ
ئەلىشىر	ælˈɪʃɪr
ئاجراتقان	ɑd͡ʒrˈɑtqɑn
بولىدىغان	bˌolɪdˈɪʁɑn
چۈشەندۈرۈش	t͡ʃˌyʃændˈyɾyʃ
دەپ	dˈæp
تاۋار	tˈɑwɑr
مەسىلىسى	mˌæsɪlˈɪsɪ
ياشلار	jˈɑʃlɑr
تاللىغان	tɑllˈɪʁɑn
بۇغداي	bˈuʁdɑj
ئاپپاراتلىرى	ˌɑppɑɾɑtlˈɪɾɪ
بەختلىك	bˈæχtlɪk
نامىزى	nɑmˈɪzɪ
تونۇلغان	tonˈulʁɑn
مەھكىمە	mæhkˈɪmæ
ئازسانلىق	ɑzsˈɑnlɪq
ۋەكىل	wˈækɪl
سەئىد	sˈæɪd
دېمەكتۇر	demˈæktur
ئەسكەرتىپ	æskˈærtɪp
بۆلۈم	bˈœlym
ياساپ	jˈɑsɑp
مەھمۇت	mˈæhmut
ئېلان	ˈelɑn
باشلايدۇ	bɑʃlˈɑjdu
ئىلگىرىكى	ˌɪlɡɪɾˈɪkɪ
توم	tˈom
نەتىجىسىدە	nˌætɪd͡ʒɪsˈɪdæ
ھەنەفىي	hænˈæfɪj
گېپى	ɡˈepɪ
دەۋردىكى	dæwrdˈɪkɪ
ماھارىتى	mˌɑhɑɾˈɪtɪ
بوۋاي	bˈowɑj
تېمپېراتۇرىسى	tˌempeɾˌɑtuɾˈɪsɪ
ئاللىبۇرۇن	ˌɑllɪbˈuɾun
نادان	nˈɑdɑn
باھانە	bɑhˈɑnæ
ھىجرى	hˈɪd͡ʒrɪ
تېپىپ	tˈepɪp
كالا	kˈɑlɑ
سائەتتىن	sɑˈættɪn
مۇيەسسەر	mujˈæssær
بىرەر	bˈɪɾær
مەنبەسىنى	mˌænbæsˈɪnɪ
شۆبە	ʃˈœbæ
تىلغا	tˈɪlʁɑ
قىسمىدىكى	qˌɪsmɪdˈɪkɪ
ئائىت	ˈɑɪt
مۇسۇلمان	musˈulmɑn
سېستىمىسى	sˌestɪmˈɪsɪ
تارقىتىش	tɑrqˈɪtɪʃ
تارىخىنىڭ	tˌɑɾɪχˈɪnɪŋ
تەۋەسىدە	tˌæwæsˈɪdæ
خاتىرىسى	χˌɑtɪɾˈɪsɪ
قوياتتى	qojˈɑttɪ
ئەسكەرتىش	æskˈærtɪʃ
يۈزىدىكى	jˌyzɪdˈɪkɪ
سۆزلەيدىغان	sˌœzlæjdˈɪʁɑn
باشلاندى	bɑʃlˈɑndɪ
چىقتى	t͡ʃˈɪqtɪ
مەشغۇل	mˈæʃʁul
بىرىگە	bɪɾˈɪɡæ
ھەيران	hˈæjrɑn
قانچىلىك	qɑnt͡ʃˈɪlɪk
ئۇرۇشتا	uɾˈuʃtɑ
نەرسىلەر	nærsˈɪlær
كېيىنلا	kejˈɪnlɑ
بىلىملىرىنى	bˌɪlɪmlɪɾˈɪnɪ
سانى	sˈɑnɪ
دوختۇر	dˈoχtur
جەمئىيەت	d͡ʒæmˈɪjæt
بىرقەدەر	bɪrqˈædær
كىرىم	kˈɪɾɪm
ۋەزىپىسىنى	wˌæzɪpɪsˈɪnɪ
ھەقىقەتەن	hˌæqɪqˈætæn
دادىسىدىن	dˌɑdɪsˈɪdɪn
كۆرسەتكەن	kœrsˈætkæn
قۇرغۇچىسى	qˌurʁut͡ʃˈɪsɪ
دا	dˈɑ
بولغانىكەن	bˌolʁɑnˈɪkæn
ئىرادە	ɪɾˈɑdæ
ئويناپ	ˈojnɑp
يىل	jˈɪl
ئامىللار	ɑmˈɪllɑr
دوستلۇق	dˈostluq
مۇستەقىللىقىنى	mˌustæqˌɪllɪqˈɪnɪ
قويۇلمايدۇ	qˌojulmˈɑjdu
خۇلاسە	χulˈɑsæ
كىشىنىڭ	kɪʃˈɪnɪŋ
ئۇنىڭ	ˈunɪŋ
سۆزى	sˈœzɪ
يېقىنقى	jeqˈɪnqɪ
ئەدەبىيات	ˌædæbˈɪjɑt
ياتلىق	jˈɑtlɪq
تامامەن	tɑmˈɑmæn
كوللېكتىپ	kollˈektɪp
DNA	dnˈɑ
جازاسى	d͡ʒɑzˈɑsɪ
تارتىش	tˈɑrtɪʃ
ئاللىقاچان	ˌɑllɪqˈɑt͡ʃɑn
ھۇجۇمغا	hud͡ʒˈumʁɑ
يەتتى	jˈættɪ
ئاپتوماتىك	ˌɑptomˈɑtɪk
ئىنسانىيەتكە	ˌɪnsɑnɪjˈætkæ
قىسمىنىڭ	qɪsmˈɪnɪŋ
ئىگەللەيدۇ	ˌɪɡællˈæjdu
مەزگىلدە	mæzɡˈɪldæ
چىققانلىقىنى	t͡ʃˌɪqqɑnlɪqˈɪnɪ
قارايدۇ	qɑɾˈɑjdu
كۆرگىلى	kœrɡˈɪlɪ
يۇڭ	jˈuŋ
تەرىپىدىكى	tˌæɾɪpɪdˈɪkɪ
رايونلۇق	rɑjˈonluq
تام	tˈɑm
تۈرلىرىنىڭ	tˌyrlɪɾˈɪnɪŋ
مۇئەييەن	muˈæjjæn
بېكىتكەن	bekˈɪtkæn
يېتىش	jˈetɪʃ
دۇلات	dˈulɑt
چۈشەنچە	t͡ʃyʃˈænt͡ʃæ
يۈز	jˈyz
مۇنچە	mˈunt͡ʃæ
شىمالى	ʃɪmˈɑlɪ
توختام	tˈoχtɑm
بايلىق	bˈɑjlɪq
ئۇقتۇرۇش	uqtˈuɾuʃ
ھەممىسىنى	hˌæmmɪsˈɪnɪ
تۈركچە	tˈyrkt͡ʃæ
قوغداپ	qˈoʁdɑp
سۆڭەك	sˈœŋæk
ۋاقىتلىرىدا	wˌɑqɪtlɪɾˈɪdɑ
تەييارلاپ	tæjjˈɑrlɑp
جايلار	d͡ʒˈɑjlɑr
مەرىپەت	mæɾˈɪpæt
يولباشلاش	jolbˈɑʃlɑʃ
بېيجىڭ	bˈejd͡ʒɪŋ
ۋاپات	wˈɑpɑt
قايتۇرۇش	qɑjtˈuɾuʃ
بولىدىغانلىقىنى	bˌolɪdˌɪʁɑnlɪqˈɪnɪ
ئاتلىق	ˈɑtlɪq
ئاجايىپ	ɑd͡ʒˈɑjɪp
خانلىقى	χɑnlˈɪqɪ
مېنىڭچە	menˈɪŋt͡ʃæ
ئەزاسى	æzˈɑsɪ
ھالقىلىق	hɑlqˈɪlɪq
ساقلايدۇ	sɑqlˈɑjdu
قوشۇلغان	qoʃˈulʁɑn
ئۆيىدە	œjˈɪdæ
ئۆزىمىزنى	ˌœzɪmˈɪznɪ
بىلمەي	bˈɪlmæj
سەۋەپتىن	sæwˈæptɪn
بالىڭىزغا	bˌɑlɪŋˈɪzʁɑ
چىرايلىق	t͡ʃɪɾˈɑjlɪq
نەزەرىيىسى	nˌæzæɾɪjˈɪsɪ
بىرمۇ	bˈɪrmu
سودا	sˈodɑ
يوقاپ	jˈoqɑp
سۇپىسى	supˈɪsɪ
يېزىقتا	jezˈɪqtɑ
ئەتراپلىق	ætrˈɑplɪq
پۇلنىڭ	pˈulnɪŋ
كۈرەش	kˈyɾæʃ
مەيلى	mˈæjlɪ
دۇنياسىغا	dˌunjɑsˈɪʁɑ
قوماندانلىق	qˌomɑndˈɑnlɪq
ئاچتى	ˈɑt͡ʃtɪ
سەۋەبى	sæwˈæbɪ
شۇغۇللىنىدىغان	ʃˌuʁullˌɪnɪdˈɪʁɑn
چۈشكەندىن	t͡ʃyʃkˈændɪn
ھەمدە	hˈæmdæ
دېگەندىن	deɡˈændɪn
دۇنياسىدىكى	dˌunjɑsɪdˈɪkɪ
ياڭاق	jˈɑŋɑq
قالدۇرۇپ	qɑldˈuɾup
ئۆيى	ˈœjɪ
تاشيولىنىڭ	tˌɑʃjolˈɪnɪŋ
مەجبۇر	mˈæd͡ʒbur
تەبئىي	tˈæbɪj
ئىران	ˈɪɾɑn
قىلمايدۇ	qɪlmˈɑjdu
روھىنى	rohˈɪnɪ
يۇسۇف	jˈusuf
چاغلاردا	t͡ʃɑʁlˈɑrdɑ
يىغىنى	jɪʁˈɪnɪ
رىئايە	rɪˈɑjæ
قەبىلىسىنىڭ	qˌæbɪlɪsˈɪnɪŋ
بەلگىلىگەن	bˌælɡɪlˈɪɡæn
ئادالەت	ɑdˈɑlæt
كۆزلىگەن	kœzlˈɪɡæn
خەۋىرىنى	χˌæwɪɾˈɪnɪ
مەنبەلەردە	mˌænbælˈærdæ
بەلگىلىك	bælɡˈɪlɪk
بۆلۈمى	bœlˈymɪ
بارماق	bˈɑrmɑq
قول	qˈol
سېلىش	sˈelɪʃ
ئۈستۈنكى	ystˈynkɪ
ئەنھۇ	ˈænhu
رەسۇلۇللاھنىڭ	rˌæsulullˈɑhnɪŋ
پارلامېنت	pɑrlˈɑment
نۇر	nˈur
كۆز	kˈœz
بولغىنى	bolʁˈɪnɪ
ئىچكى	ˈɪt͡ʃkɪ
اللە	ˈɑllæ
ئالەم	ˈɑlæm
ساقلانماقتا	sˌɑqlɑnmˈɑqtɑ
تىللىرى	tɪllˈɪɾɪ
مەلۇم	mˈælum
ماددا	mˈɑddɑ
ھېچقانداق	het͡ʃqˈɑndɑq
ئاپتور	ˈɑptor
چىش	t͡ʃˈɪʃ
مۇسۇلمانلار	mˌusulmˈɑnlɑr
غەلبە	ʁˈælbæ
قەيسەر	qˈæjsær
كىشىدۇر	kɪʃˈɪdur
ئالاقىسى	ˌɑlɑqˈɪsɪ
گۇمان	ɡˈumɑn
ئىپادىلەش	ˌɪpɑdˈɪlæʃ
تۈركىيەدىكى	tˌyrkɪjædˈɪkɪ
رەسىم	rˈæsɪm
يېقىندا	jeqˈɪndɑ
قىيىن	qˈɪjɪn
ئۆرپ	ˈœrp
سۇغۇرتا	suʁˈurtɑ
تىپىك	tˈɪpɪk
رايونلىرىدا	rˌɑjonlɪɾˈɪdɑ
رايونغا	rɑjˈonʁɑ
تېمپېراتۇرا	tˌempeɾɑtˈuɾɑ
مەكتەپتىكى	mˌæktæptˈɪkɪ
بىرلىكى	bɪrlˈɪkɪ
ئوقۇتۇش	oqˈutuʃ
ئۆزبېك	ˈœzbek
بولغاچ	bˈolʁɑt͡ʃ
دەۋالاشقۇچى	dˌæwɑlɑʃqˈut͡ʃɪ
ئۆلتۈرۈلگەن	ˌœltyɾˈylɡæn
مۇئەسسەسەلىرى	mˌuæssˌæsælˈɪɾɪ
ئاپتونومىيىلىك	ˌɑptonˌomɪjˈɪlɪk
ئارزۇ	ˈɑrzu
دىگەندەك	dɪɡˈændæk
قالماسلىقى	qˌɑlmɑslˈɪqɪ
نەشىر	nˈæʃɪr
ئوقۇغۇچىسى	ˌoquʁut͡ʃˈɪsɪ
كەتكەن	kˈætkæn
قوش	qˈoʃ
ماقالىنىڭ	mˌɑqɑlˈɪnɪŋ
يىلغىچە	jɪlʁˈɪt͡ʃæ
تاۋۇز	tˈɑwuz
ئاكا	ˈɑkɑ
شەرقى	ʃˈærqɪ
م	m
كۆكتات	kˈœktɑt
جالالىدىن	d͡ʒˌɑlɑlˈɪdɪn
قومۇل	qˈomul
يوشۇرۇن	joʃˈuɾun
ئۇزاق	ˈuzɑq
بەلگە	bˈælɡæ
قالدىم	qˈɑldɪm
ھېسابلاپ	hesˈɑblɑp
بۇيانقى	bujˈɑnqɪ
ئىدىم	ˈɪdɪm
مەزگىلىدە	mˌæzɡɪlˈɪdæ
كىشىلەرنى	kˌɪʃɪlˈærnɪ
يۇقىرى	juqˈɪɾɪ
تاللاش	tˈɑllɑʃ
پايدىسى	pɑjdˈɪsɪ
ياخشىلانماقتا	jˌɑχʃɪlɑnmˈɑqtɑ
باشلاپ	bˈɑʃlɑp
بىرىدۇر	bɪɾˈɪdur
ۋەكىلى	wækˈɪlɪ
كۆزىگە	kœzˈɪɡæ
بۆرە	bˈœɾæ
ئۆيىنى	œjˈɪnɪ
كۈز	kˈyz
پىششىقلاپ	pɪʃʃˈɪqlɑp
ئاسىيادا	ˌɑsɪjˈɑdɑ
نىشاننى	nɪʃˈɑnnɪ
قاتناش	qˈɑtnɑʃ
جەھەتلەردە	d͡ʒˌæhætlˈærdæ
چەرچەن	t͡ʃˈært͡ʃæn
ئۇچرىغان	ut͡ʃrˈɪʁɑn
خەلقلىرى	χælqlˈɪɾɪ
ۋىرۇس	wˈɪɾus
ھەربىي	hˈærbɪj
يەپ	jˈæp
ئادەملەرگە	ˌɑdæmlˈærɡæ
نورمال	nˈormɑl
مەسچىت	mˈæst͡ʃɪt
قالماي	qˈɑlmɑj
ھ	h
قىلغىلى	qɪlʁˈɪlɪ
تاللاپ	tˈɑllɑp
يېتىدۇ	jetˈɪdu
قاتارىدا	qˌɑtɑɾˈɪdɑ
يارىتىلغان	jˌɑɾɪtˈɪlʁɑn
مەرھۇم	mˈærhum
تېخنىكا	teχnˈɪkɑ
زىيارەت	zɪjˈɑɾæt
سائەت	sˈɑæt
جانلىق	d͡ʒˈɑnlɪq
چۈش	t͡ʃˈyʃ
دان	dˈɑn
خىتايچە	χɪtˈɑjt͡ʃæ
ئوخشاشلا	oχʃˈɑʃlɑ
قارارىغا	qˌɑɾɑɾˈɪʁɑ
تەلەپپۇز	tælˈæppuz
ئايرىلىدۇ	ˌɑjrɪlˈɪdu
قۇيىدۇ	qujˈɪdu
ئەقلىي	ˈæqlɪj
ئوتتۇرىدىن	ˌottuɾˈɪdɪn
بېلىق	bˈelɪq
سامساق	sˈɑmsɑq
قىلغان	qˈɪlʁɑn
ئوردىسى	ordˈɪsɪ
تېپىلغان	tepˈɪlʁɑn
تۇرماقتا	turmˈɑqtɑ
پروگراممىلىق	prˌoɡrɑmmˈɪlɪq
كۆردۈم	kˈœrdym
ئاللاھتىن	ɑllˈɑhtɪn
جەمئىيىتى	d͡ʒˌæmɪjˈɪtɪ
يېمەكلىكلەرنى	jˌemæklɪklˈærnɪ
مىللەتلەرنىڭ	mˌɪllætlˈærnɪŋ
يوپۇرمىقى	jˌopurmˈɪqɪ
نەسىھەت	næsˈɪhæt
ئاراللىرى	ˌɑɾɑllˈɪɾɪ
دوستۇمنىڭ	dostˈumnɪŋ
مەزھىپى	mæzhˈɪpɪ
بېرىلىدۇ	bˌeɾɪlˈɪdu
يازغان	jˈɑzʁɑn
ئېسىپ	ˈesɪp
توپىغا	topˈɪʁɑ
ئىچىدە	ɪt͡ʃˈɪdæ
بېرىلگەن	beɾˈɪlɡæn
بەش	bˈæʃ
فوندى	fˈondɪ
سان	sˈɑn
مىليوندىن	mɪljˈondɪn
گوۋۇيۈەن	ɡˌowujˈyæn
تىزىلغان	tɪzˈɪlʁɑn
قويىدىغان	qˌojɪdˈɪʁɑn
مەزكۇر	mˈæzkur
قىز	qˈɪz
ئۇلاردىكى	ˌulɑrdˈɪkɪ
دېسەم	dˈesæm
بەنى	bˈænɪ
جاۋابكار	d͡ʒɑwˈɑbkɑr
ئاخىر	ˈɑχɪr
دەۋرلەردە	dæwrlˈærdæ
يېڭىدىن	jeŋˈɪdɪn
ئالاقىدارلار	ˌɑlɑqɪdˈɑrlɑr
باھار	bˈɑhɑr
تۇتۇشقا	tutˈuʃqɑ
نامىدا	nɑmˈɪdɑ
رايونىدا	rˌɑjonˈɪdɑ
رەت	rˈæt
كېچىدە	ket͡ʃˈɪdæ
خەلقئارادىكى	χˌælqɑɾɑdˈɪkɪ
ئىشلەشكە	ɪʃlˈæʃkæ
مىسىرلىق	mɪsˈɪrlɪq
نامايەن	nɑmˈɑjæn
سانائىتىدىن	sˌɑnɑɪtˈɪdɪn
سىزىلغان	sɪzˈɪlʁɑn
خالىغانچە	χˌɑlɪʁˈɑnt͡ʃæ
مەدەنىيىتىگە	mˌædænˌɪjɪtˈɪɡæ
ھەرپ	hˈærp
خىزمىتىنى	χˌɪzmɪtˈɪnɪ
شانلىق	ʃˈɑnlɪq
ئۆزلىرىگە	ˌœzlɪɾˈɪɡæ
خانى	χˈɑnɪ
يايلاق	jˈɑjlɑq
قۇرۇلۇش	quɾˈuluʃ
ئابدۇسالام	ˌɑbdusˈɑlɑm
بولماي	bˈolmɑj
يېتىلگەن	jetˈɪlɡæn
قارالغان	qɑɾˈɑlʁɑn
ئەھلى	ˈæhlɪ
چاغاتاي	t͡ʃɑʁˈɑtɑj
ھەرىكەتلىرى	hˌæɾɪkætlˈɪɾɪ
ئەمگەك	ˈæmɡæk
بولۇشنىڭ	bolˈuʃnɪŋ
قىسمىغا	qɪsmˈɪʁɑ
بۇقا	bˈuqɑ
ھەممە	hˈæmmæ
تۇڭگان	tˈuŋɡɑn
شەكىللەنگەن	ʃˌækɪllˈænɡæn
ساھەسىدە	sˌɑhæsˈɪdæ
ئۇرۇقى	uɾˈuqɪ
ئۇسۇللىرى	ˌusullˈɪɾɪ
ھەقتە	hˈæqtæ
رېئاللىققا	rˌeɑllˈɪqqɑ
ئالتۇن	ˈɑltun
مول	mˈol
تۈزۈلگەن	tyzˈylɡæn
قويغان	qˈojʁɑn
ئالغىلى	ɑlʁˈɪlɪ
ناۋادا	nɑwˈɑdɑ
بولغانلىقى	bˌolʁɑnlˈɪqɪ
تولغان	tˈolʁɑn
ئوقۇتقۇچىلار	ˌoqutqut͡ʃˈɪlɑr
قىلسىمۇ	qɪlsˈɪmu
ئامانەت	ɑmˈɑnæt
تەبىئى	tæbˈɪɪ
ئۇچى	ˈut͡ʃɪ
تەڭرى	tˈæŋrɪ
ئاشىق	ˈɑʃɪq
بىردىنبىر	bɪrdˈɪnbɪr
يىگىت	jˈɪɡɪt
كۆرسىتىدۇ	kˌœrsɪtˈɪdu
ئورۇنلار	oɾˈunlɑr
كۈنىگە	kynˈɪɡæ
ئورتا	ˈortɑ
ئەتىسى	ætˈɪsɪ
تاماكا	tɑmˈɑkɑ
خالىي	χˈɑlɪj
چىقىدىغان	t͡ʃˌɪqɪdˈɪʁɑn
توختالغان	toχtˈɑlʁɑn
ئىنسانىي	ɪnsˈɑnɪj
مۇكاپاتى	mˌukɑpˈɑtɪ
مىسال	mˈɪsɑl
ئۆيلەرنىڭ	œjlˈærnɪŋ
قىلدىم	qˈɪldɪm
بەردى	bˈærdɪ
نىياز	nˈɪjɑz
قايىل	qˈɑjɪl
ھۆكۈمەت	hœkˈymæt
تىللارغا	tɪllˈɑrʁɑ
ئۇيغۇرلىرىنىڭ	ˌujʁurlɪɾˈɪnɪŋ
رايونى	rɑjˈonɪ
ئىتتىپاقىنىڭ	ˌɪttɪpɑqˈɪnɪŋ
ھەربى	hˈærbɪ
سۇمېر	sˈumer
نەپىس	nˈæpɪs
زىيانلىق	zɪjˈɑnlɪq
سودىگەر	sodˈɪɡær
دېتال	dˈetɑl
ئالدىراش	ɑldˈɪɾɑʃ
دىنىنىڭ	dɪnˈɪnɪŋ
قىلىمەن	qɪlˈɪmæn
سىنا	sˈɪnɑ
ئىگىلىكى	ˌɪɡɪlˈɪkɪ
كېرەكلىكىنى	kˌeɾæklɪkˈɪnɪ
سوممىسى	sommˈɪsɪ
چىقارغان	t͡ʃɪqˈɑrʁɑn
تۇرمۇشتىكى	tˌurmuʃtˈɪkɪ
باراۋەرلىك	bˌɑɾɑwˈærlɪk
سەۋەبلەر	sæwˈæblær
ئالماشتۇرۇش	ˌɑlmɑʃtˈuɾuʃ
بېسىش	bˈesɪʃ
يەھۇدىيلار	jˌæhudˈɪjlɑr
تىن	tˈɪn
ماھارەت	mɑhˈɑɾæt
بەدىئىي	bædˈɪɪj
ۋارىسلىق	wɑɾˈɪslɪq
يولى	jˈolɪ
رومان	rˈomɑn
چۈشتىن	t͡ʃˈyʃtɪn
تاقىم	tˈɑqɪm
ئۆزلىرى	œzlˈɪɾɪ
دائىرىسى	dˌɑɪɾˈɪsɪ
ئورنىدىن	ornˈɪdɪn
كامال	kˈɑmɑl
ئوينىدى	ojnˈɪdɪ
ئاۋۋال	ˈɑwwɑl
بەلباغ	bˈælbɑʁ
پاسپورت	pˈɑsport
بۇمۇ	bˈumu
چېگرا	t͡ʃˈeɡrɑ
يەتكۈزىدىغان	jˌætkyzɪdˈɪʁɑn
تونۇپ	tˈonup
تاراتقۇ	tɑɾˈɑtqu
تۈزۈلۈشى	tˌyzylˈyʃɪ
ۋىلايەت	wɪlˈɑjæt
ھايۋانات	hɑjwˈɑnɑt
يەھۇدىلارنى	jˌæhudɪlˈɑrnɪ
ئاخىرلاشتى	ˌɑχɪrlˈɑʃtɪ
قۇرۇق	qˈuɾuq
ھۆكۈمەتلىرى	hˌœkymætlˈɪɾɪ
مەجبۇرى	mæd͡ʒbˈuɾɪ
بولغىنىغا	bˌolʁɪnˈɪʁɑ
چاي	t͡ʃˈɑj
ئاۋات	ˈɑwɑt
ئۇنتۇپ	ˈuntup
رىياسەتچىلىك	rˌɪjɑsætt͡ʃˈɪlɪk
خاقانى	χɑqˈɑnɪ
ئەزالىرىنىڭ	ˌæzɑlɪɾˈɪnɪŋ
تەرجىمان	tærd͡ʒˈɪmɑn
جىنايەتنى	d͡ʒˌɪnɑjˈætnɪ
قا	qˈɑ
ھېيت	hˈejt
تۆۋەن	tˈœwæn
بېرىلىپ	beɾˈɪlɪp
ھال	hˈɑl
دورىلارنى	dˌoɾɪlˈɑrnɪ
ئىنسانىيەت	ˌɪnsɑnˈɪjæt
of	ˈof
بېشىغا	beʃˈɪʁɑ
ئاتالغۇ	ɑtˈɑlʁu
پىكرىگە	pɪkrˈɪɡæ
ئەدەبىياتى	ˌædæbɪjˈɑtɪ
كەلمەكتە	kælmˈæktæ
قۇل	qˈul
تاق	tˈɑq
قىلدۇردى	qɪldˈurdɪ
ياراتقان	jɑɾˈɑtqɑn
ئەنگلىيە	ænɡlˈɪjæ
ئىشلاردا	ɪʃlˈɑrdɑ
ئىنىمىز	ɪnˈɪmɪz
دەۋرىدە	dæwrˈɪdæ
ئىشچى	ˈɪʃt͡ʃɪ
ياردەمچى	jɑrdˈæmt͡ʃɪ
شەرقتىن	ʃˈærqtɪn
ۋەزىيەت	wæzˈɪjæt
يەسەۋىي	jæsˈæwɪj
بېرىش	bˈeɾɪʃ
قازان	qˈɑzɑn
ئېتىبارەن	ˌetɪbˈɑɾæn
تاپالماي	tɑpˈɑlmɑj
ئىنساننىڭ	ɪnsˈɑnnɪŋ
روسىيە	rosˈɪjæ
خىتاينىڭ	χɪtˈɑjnɪŋ
