hokimiyatiga	hˌɑkymˌyjætˈyɡæ
Stalin	stˈæɫyn
doni	dˈɑny
Afrikaning	æfɾˌykˈænyŋ
ochilishi	ˌɑt͡Syɫˈyʃy
saylaydi	sæjlˈæjdy
ham	hˈæm
irmogʻi	yɾmˈɑʁy
nm	ˌenˈem
muammolarni	mˌʊæmmɑlˈæɾny
yigʻilish	jyʁˈyɫyʃ
shaharlardan	ʃˌæhæɾlˈæɾdæn
hisob	hˈysɑb
komissarligi	kˌɑmyssæɾɫˈyɡy
bosib	bˈɑsyb
ilmiga	yɫmˈyɡæ
mavqei	mæʋqˈey
Okean	ɑkˈeæn
ifoda	yfˌɑdæ
Tanasi	tænˈæsy
tanqidchilar	tˌænqydt͡Sˈylæɾ
iymon	ˈyjmɑn
dagʻal	dˈæʁæɫ
rivojlanishining	ɾˌyʋɑd͡ʒlˌænyʃˈynyŋ
munosabatlarning	mˌʊnɑsˌæbætlˈæɾnyŋ
Koʻpincha	kopˈynt͡Sæ
tarkibiy	tæɾkˈybyj
pardasi	pæɾdˈæsy
negizi	neɡˈyzy
qabr	qˈæbɾ
oʻtgan	ˈotɡæn
fotosintez	fˌɑtɑsˈyntez
Ozarbayjon	ˌɑzæɾbˈæjd͡ʒɑn
raqslar	ɾˈæqslæɾ
P	pˈe
Dmitriy	dmˈytɾyj
hamisha	hæmˈyʃæ
kalit	kˈæɫyt
goʻzal	ɡˈozæɫ
yuk	jˈʊk
tojik	tˈɑd͡ʒyk
Chukotka	t͡Sʊkˈɑtkæ
tovuq	tˈɑʋʊq
shahriga	ʃæhɾˈyɡæ
oyining	ɑjˈynyŋ
shaharcha	ʃæhˈæɾt͡Sæ
maqsadlar	mæqsˈædlæɾ
oʻndan	ˈondæn
yodgorliklarini	jˌɑdɡɑɾɫˌyklæɾˈyny
ravon	ɾˈæʋɑn
armanilar	ˌæɾmænˈylæɾ
toshbaqa	tɑʃbˈæqæ
texnikumi	tˌeχnykˈʊmy
manbai	mænbˈæy
boʻlishni	boɫˈyʃny
sinfiy	sˈynfˌyj
уларнинг	ʊlˌæɾnyŋ
Soxta	sˈɑχtæ
landshaft	lˈændʃæft
musobaqada	mˌʊsɑbæqˈædæ
p	pˈe
fuqarolari	fˌʊqæɾɑlˈæɾy
Tosh	tˈɑʃ
sirki	sˈyɾky
muhit	mˈʊhyt
boʻrtma	bˈoɾtmæ
sharining	ʃæɾˈynyŋ
chempionatlarida	t͡Sˌempyˌɑnætlæɾˈydæ
Musiqali	mˌʊsyqˈæɫy
Xonadon	χɑnˈædɑn
terminini	tˌeɾmynˈyny
bularning	bʊlˈæɾnyŋ
ustunligi	ˌʊstʊnɫˈyɡy
ayollar	æjˈɑɫlæɾ
boshlangʻich	bɑʃlˈæŋʔyt͡S
miqsori	myqsˈɑɾy
dezinfeksiya	dˌezynfˌeksˈyjæ
shoxlari	ʃɑχlˈæɾy
ketidan	ketˈydæn
nemis	nˈemys
rafiqasi	ɾæfˌyqˈæsy
ishqiy	ˈyʃqyj
yagona	jæɡˈɑnæ
tezpishar	tezpˈyʃæɾ
qoʻyilgan	qojˈyɫɡæn
markazlar	mæɾkˈæzlæɾ
Yulduz	jˈʊɫdʊz
ketadi	ketˈædy
qarshi	qˌæɾʃy
yurishlar	jʊɾˈyʃlæɾ
Kishi	kˈyʃy
suzgichlari	sˌʊzɡyt͡Slˈæɾy
zaif	zˈæyf
hammasini	hˌæmmæsˈyny
jarayonni	d͡ʒˌæɾæjˈɑnny
ochuvchi	ɑt͡Sˈʊʋt͡Sy
Gʻafur	ʁˈæfˌʊɾ
yahudiylar	jˌæhʊdˈyjlæɾ
geologik	ɡˌeɑɫˈɑɡyk
ishlatiladigan	ˌyʃlætˌylædˈyɡæn
qoplanadi	qˌɑplænˈædy
Nukus	nˈʊkʊs
gʻalabasi	ʁˌælæbˈæsy
neytronlar	nejtɾˈɑnlæɾ
Barselona	bˌæɾseɫˈɑnæ
talaffuz	tælˈæffˌʊz
etilishini	ˌetyɫyʃˈyny
oʻrganilib	ˌoɾɡænˈyɫyb
uchrashuvini	ˌʊt͡Sɾæʃʊʋˈyny
tokzorlar	tɑkzˈɑɾlæɾ
Oʻzbekiston	ˌozbekˈystɑn
magʻzi	mˈæʁzy
qoʻshinlarining	qˌoʃynlæɾˈynyŋ
tarmoqlaridan	tˌæɾmɑqlæɾˈydæn
shugʻullandi	ʃˌʊʁʊɫlˈændy
Eronga	eɾˈɑŋæ
shior	ʃˈyɑɾ
Myunxen	mjˈʊnχen
xalqlari	χæɫqlˈæɾy
joylashib	d͡ʒɑjlˈæʃyb
xotira	χɑtˈyɾæ
ayblanuvchi	ˌæjblænˈʊʋt͡Sy
yutishi	jʊtˈyʃy
tajribasi	tˌæd͡ʒɾybˈæsy
qilinganidan	qˌyɫyŋænˈydæn
ustaxonalari	ˌʊstæχˌɑnælˈæɾy
jamoalari	d͡ʒˌæmɑælˈæɾy
Majolis	mæd͡ʒˈɑɫys
uchburchak	ʊt͡Sbˈʊɾt͡Sæk
s	ˈes
Tun	tˈʊn
sitrus	sˈytɾʊs
oʻrni	ˈoɾny
yuksalib	jʊksˈæɫyb
viloyat	ʋyɫˈɑjæt
yetkazdi	jetkˈæzdy
Respublikada	ɾˌespʊbɫykˈædæ
ayoli	æjˈɑɫy
baliqlar	bæɫˈyqlæɾ
matni	mˈætny
begona	beɡˈɑnæ
kamaygan	kæmˈæjɡæn
Turkiyada	tˌʊɾkyjˈædæ
dispersion	dˌyspeɾsˈyɑn
boyitilgan	bˌɑjytˈyɫɡæn
tizimi	tyzˈymy
metod	mˈetɑd
birida	byɾˈydæ
choʻkindilar	t͡Sˌokyndˈylæɾ
Ularning	ʊlˌæɾnyŋ
xususiyatlaridan	χˌʊsʊsˌyjætlæɾˈydæn
zilzilasi	zˌyɫzylˈæsy
sanalgan	sænˈæɫɡæn
sistemasi	sˌystemˈæsy
ingliz	ˈyŋɫyz
Bugʻ	bˈʊʁ
zotli	zˈɑtɫy
J	d͡ʒˈe
toʻldirish	toɫdˈyɾyʃ
mustamlaka	mˌʊstæmlˈækæ
Shveysariya	ʃʋˌejsæɾˈyjæ
rollari	ɾɑɫlˈæɾy
tamoyillari	tˌæmɑjyɫlˈæɾy
Qodirov	qɑdˈyɾɑʋ
oʻzgarishi	ˌozɡæɾˈyʃy
Mahkamasining	mˌæhkæmæsˈynyŋ
tarkibini	tˌæɾkybˈyny
Qishki	qˈyʃky
zamonlardan	zˌæmɑnlˈæɾdæn
kino	kˈynɑ
yigirma	jyɡˈyɾmæ
cha	t͡Sˈæ
kasbhunar	kæsbhˈʊnæɾ
Islomga	ysɫˈɑmɡæ
omillari	ˌɑmyɫlˈæɾy
mehnat	mˈehnæt
toʻyinadi	tˌojynˈædy
fermentlar	fˌeɾmˈentlæɾ
Olimning	ɑɫˈymnyŋ
masalalarni	mˌæsælælˈæɾny
energiyasining	ˌeneɾɡˌyjæsˈynyŋ
uchrab	ˈʊt͡Sɾæb
mehmonxonasi	mˌehmɑnχɑnˈæsy
termin	tˈeɾmyn
kayta	kˈæjtæ
qiyofasida	qˌyjɑfˌæsˈydæ
koʻtariladi	kˌotæɾylˈædy
boʻldi	bˈoɫdy
qavat	qˈæʋæt
faqatgina	fˌæqætɡˈynæ
devorlariga	dˌeʋɑɾlæɾˈyɡæ
tili	tˈyɫy
chiqarishga	t͡Sˌyqæɾˈyʃɡæ
Kompyuter	kɑmpjˈʊteɾ
joyda	d͡ʒˈɑjdæ
Kitobning	kytˈɑbnyŋ
ijrochi	yd͡ʒɾˈɑt͡Sy
egallagan	ˌeɡæɫlˈæɡæn
Afgʻonistonda	æfʁˌɑnystˈɑndæ
etnografik	ˌetnɑɡɾˈæfˌyk
ashaddiy	æʃˈæddyj
hujayrasi	hˌʊd͡ʒæjɾˈæsy
adirlar	ædˈyɾlæɾ
kiyimlari	kˌyjymlˈæɾy
jozibador	d͡ʒˌɑzybˈædɑɾ
insektitsidlar	ˌynsektytsˈydlæɾ
barpo	bˈæɾpɑ
bek	bˈek
Land	lˈænd
aralashtirib	ˌæɾælæʃtˈyɾyb
yetishmovchiligi	jˌetyʃmˌɑʋt͡Syɫˈyɡy
adabiyot	ˌædæbˈyjɑt
ruboiy	ɾʊbˈɑyj
chiquvchi	t͡Syqˈʊʋt͡Sy
tushuntirib	tˌʊʃʊntˈyɾyb
zaharlanganda	zˌæhæɾlæŋˈændæ
pastdan	pˈæstdæn
Vazifasi	ʋˌæzyfˌæsy
otqindi	ɑtqˈyndy
XI	χˈy
topib	tˈɑpyb
qoplama	qɑplˈæmæ
kiruvchi	kyɾˈʊʋt͡Sy
erkin	ˈeɾkyn
mukofotlar	mˌʊkɑfˌɑtlæɾ
Gʻulom	ʁˈʊɫɑm
farmoni	fˌæɾmˈɑny
yemirilib	jˌemyɾˈyɫyb
V	ʋˈe
oʻsimlikshunoslik	ˌosymɫˌykʃʊnˈɑsɫyk
lichinkasi	ɫˌyt͡Synkˈæsy
taxmin	tˈæχmyn
kechinmalarini	kˌet͡Synmˌælæɾˈyny
kutubxona	kˌʊtʊbχˈɑnæ
olishadi	ˌɑɫyʃˈædy
suyaklar	sʊjˈæklæɾ
korpusi	kɑɾpˈʊsy
maqomlari	mˌæqɑmlˈæɾy
davlat	dˈæʋlæt
ter	tˈeɾ
aynishi	æjnˈyʃy
kamayib	kæmˈæjyb
sobor	sˈɑbɑɾ
Belarus	belˈæɾʊs
dizayn	dˈyzæjn
tashqarisiga	tˌæʃqæɾysˈyɡæ
xilda	χˈyɫdæ
Soliq	sˈɑɫyq
fojiasi	fˌɑd͡ʒyˈæsy
pasayib	pæsˈæjyb
singlisi	syŋɫˈysy
etaklarida	ˌetæklæɾˈydæ
Milodiy	myɫˈɑdyj
taniqli	tænˈyqɫy
tarix	tˈæɾyχ
ayovsiz	æjˈɑʋsyz
idishga	ydˈyʃɡæ
tanqid	tˈænqyd
lirik	ɫˈyɾyk
departamenti	dˌepæɾtæmˈenty
repertuari	ɾˌepeɾtʊˈæɾy
borishgan	bɑɾˈyʃɡæn
aeroporti	ˌæeɾɑpˈɑɾty
oʻlkashunoslik	ˌoɫkæʃʊnˈɑsɫyk
belgilashga	bˌeɫɡylˈæʃɡæ
mobil	mˈɑbyɫ
majoziy	mæd͡ʒˈɑzyj
bilimlar	byɫˈymlæɾ
saqlaydi	sæqlˈæjdy
Uels	ˈʊeɫs
egalari	ˌeɡælˈæɾy
tonna	tˈɑnnæ
tuzdilar	tʊzdˈylæɾ
yangilik	jæŋˈyɫyk
kechishga	ket͡Sˈyʃɡæ
oʻzgarishiga	ˌozɡæɾyʃˈyɡæ
ildiz	ˈyɫdyz
elchilik	eɫt͡Sˈyɫyk
old	ˈɑɫd
oʻrganilgan	ˌoɾɡænˈyɫɡæn
yuzasidan	jˌʊzæsˈydæn
in	ˈyn
metodini	mˌetɑdˈyny
Rassomlar	ɾæssˈɑmlæɾ
tuzib	tˈʊzyb
Avstraliyaning	ˌæʋstɾæɫyjˈænyŋ
etiladi	ˌetylˈædy
kompozitor	kˌɑmpɑzˈytɑɾ
girih	ɡˈyɾyh
dastasi	dæstˈæsy
eroniy	eɾˈɑnyj
yashaganlar	jˌæʃæɡˈænlæɾ
yuzidagi	jˌʊzydˈæɡy
Bemor	bˈemɑɾ
shahar	ʃˈæhæɾ
sanoatning	sˌænɑˈætnyŋ
ichida	yt͡Sˌydæ
institutlari	ˌynstytʊtlˈæɾy
xotini	χɑtˈyny
uskunalari	ˌʊskʊnælˈæɾy
joydagi	d͡ʒɑjdˈæɡy
doimo	dɑˈymɑ
vazirlar	ʋæzˈyɾlæɾ
Issiq	ˈyssyq
tadbirlarni	tˌædbyɾlˈæɾny
Britaniyada	bɾˌytænyjˈædæ
qutblangan	qʊtblˈæŋæn
sahnada	sæhnˈædæ
sulfat	sˈʊɫfˌæt
ahamiyatga	ˌæhæmyjˈætɡæ
olma	ˈɑɫmæ
yetdi	jˈetdy
tushunish	tʊʃˈʊnyʃ
Yillik	jˈyɫɫyk
obidalar	ˌɑbydˈælæɾ
Galiley	ɡæɫˈylej
mol	mˈɑɫ
davriga	dæʋɾˈyɡæ
shundaki	ʃʊndˈæky
yolgʻiz	jˈɑɫʁyz
iyun	ˈyjʊn
Tom	tˈɑm
sugʻorish	sʊʁˈɑɾyʃ
Huquqiy	hʊqˈʊqyj
bogʻlanishni	bˌɑʁlænˈyʃny
erkak	ˈeɾkæk
dolzarb	dˈɑɫzæɾb
davolatish	dˌæʋɑlˈætyʃ
shuvoq	ʃˈʊʋɑq
Bozor	bˈɑzɑɾ
yordami	jɑɾdˈæmy
Kuchma	kˈʊt͡Smæ
molekulasida	mˌɑlekˌʊlæsˈydæ
raketa	ɾækˈetæ
Ingichka	yŋˈyt͡Skæ
Lachin	lˈæt͡Syn
badavlat	bædˈæʋlæt
Oʻziga	ozˈyɡæ
kristall	kɾˈystæɫɫ
qoʻlyozmalar	qˌoɫjɑzmˈælæɾ
Odatda	ɑdˈætdæ
yurtlariga	jˌʊɾtlæɾˈyɡæ
Orol	ˈɑɾɑɫ
Xiva	χˈyʋæ
tepasiga	tˌepæsˈyɡæ
yerdamida	jˌeɾdæmˈydæ
tadbirkorlik	tˌædbyɾkˈɑɾɫyk
tazyiqi	tæzjˈyqy
muvaffaqiyat	mˌʊʋæffˌæqˈyjæt
sharoitlarini	ʃˌæɾɑˌytlæɾˈyny
saylovi	sæjɫˈɑʋy
ifodalaydigan	yfˌɑdælæjdˈyɡæn
nurlarni	nʊɾlˈæɾny
buyuradi	bˌʊjʊɾˈædy
Endi	ˈendy
tarafdorlari	tˌæɾæfdˌɑɾlˈæɾy
toʻy	tˈoj
ekinlarning	ˌekynlˈæɾnyŋ
borib	bˈɑɾyb
martagacha	mˌæɾtæɡˈæt͡Sæ
baravar	bæɾˈæʋæɾ
sanoq	sˈænɑq
mashhur	mˈæʃhʊɾ
of	ˈɑf
simfoniya	symfˌɑnˈyjæ
kasbga	kˈæsbɡæ
ayerlarda	ˌæjeɾlˈæɾdæ
Birinchisi	bˌyɾynt͡Sˈysy
qoidalari	qˌɑydælˈæɾy
momiq	mˈɑmyq
yarimoʻtkazgichli	jˌæɾymˌotkæzɡˈyt͡Sɫy
qurilmasi	qˌʊɾyɫmˈæsy
test	tˈest
Bakr	bˈækɾ
tashkiloti	tˌæʃkyɫˈɑty
FIFA	fˌyfˌæ
ishqor	ˈyʃqɑɾ
haftalik	hæftˌæɫyk
personajlar	pˌeɾsɑnˈæd͡ʒlæɾ
oqish	ˈɑqyʃ
satirik	sætˈyɾyk
talqin	tˈæɫqyn
boyitdi	bɑjˈytdy
organlarining	ˌɑɾɡænlæɾˈynyŋ
jumladan	d͡ʒʊmlˈædæn
oshirish	ɑʃˈyɾyʃ
sanatoriy	sˌænætˈɑɾyj
soch	sˈɑt͡S
rejalashtirilgan	ɾˌed͡ʒælˌæʃtyɾˈyɫɡæn
topshiriladi	tˌɑpʃyɾylˈædy
oladi	ɑlˈædy
Astraxon	æstɾˈæχɑn
silliq	sˈyɫɫyq
etilmoqda	ˌetyɫmˈɑqdæ
qurollangan	qˌʊɾɑɫlˈæŋæn
hamon	hˈæmɑn
quyosh	qˈʊjɑʃ
mamlakatlardagi	mˌæmlækˌætlæɾdˈæɡy
kashfiyotlar	kæʃfˌyjˈɑtlæɾ
Rossiyaga	ɾˌɑssyjˈæɡæ
rangdagi	ɾæŋdˈæɡy
etishi	etˈyʃy
viruslar	ʋyɾˈʊslæɾ
Ispaniya	ˌyspænˈyjæ
vazifa	ʋæzˈyfˌæ
niyat	nˈyjæt
qayerda	qæjˈeɾdæ
fakultetlari	fˌækʊɫtetlˈæɾy
jur	d͡ʒˈʊɾ
karvon	kˈæɾʋɑn
chikaradi	t͡Sˌykæɾˈædy
ohak	ˈɑhæk
Viktor	ʋˈyktɑɾ
kremniy	kɾˈemnyj
qum	qˈʊm
aylantiruvchi	ˌæjlæntyɾˈʊʋt͡Sy
sarflangan	sæɾflˌæŋæn
etganda	etɡˈændæ
hadislar	hædˈyslæɾ
masofa	mæsˈɑfˌæ
jazosiga	d͡ʒˌæzɑsˈyɡæ
tarqatiladi	tˌæɾqætylˈædy
novda	nˈɑʋdæ
boshiga	bɑʃˈyɡæ
qaytgach	qˈæjtɡæt͡S
farq	fˌæɾq
yoritib	jɑɾˈytyb
urugʻchilik	ˌʊɾʊʁt͡Sˈyɫyk
Boku	bˈɑkʊ
keltirib	keɫtˈyɾyb
kobalt	kˈɑbæɫt
byusti	bjˈʊsty
nazariyaga	nˌæzæɾyjˈæɡæ
Binobarin	bˌynɑbˈæɾyn
ortadi	ɑɾtˈædy
Muhabbat	mʊhˈæbbæt
pasaygan	pæsˈæjɡæn
etgan	ˈetɡæn
bilan	bˌylæn
filmda	fˌyɫmdæ
ravshanligi	ɾˌæʋʃænɫˈyɡy
egiluvchan	ˌeɡyɫˈʊʋt͡Sæn
uzilib	ʊzˈyɫyb
musiqasida	mˌʊsyqæsˈydæ
foydalandi	fˌɑjdælˈændy
yodgorliklari	jˌɑdɡɑɾɫyklˈæɾy
Yanvar	jˈænʋæɾ
Bezak	bˈezæk
tabiatiga	tˌæbyætˈyɡæ
Mahmud	mˈæhmʊd
toʻlqinlarni	tˌoɫqynlˈæɾny
choʻllarda	t͡Soɫlˈæɾdæ
Simon	sˈymɑn
Yuan	jˈʊæn
duragaylari	dˌʊɾæɡæjlˈæɾy
xudoga	χʊdˈɑɡæ
markazga	mæɾkˈæzɡæ
suvning	sˈʊʋnyŋ
olmaydi	ɑɫmˈæjdy
mexanizmlari	mˌeχænyzmlˈæɾy
kombinati	kˌɑmbynˈæty
karvonsaroy	kˌæɾʋɑnsˈæɾɑj
Movarounnahr	mˌɑʋæɾɑˈʊnnæhɾ
tipdagi	typdˈæɡy
davrga	dˈæʋɾɡæ
umrbod	ˈʊmɾbɑd
istirohat	ˌystyɾˈɑhæt
Muso	mˈʊsɑ
qiziq	qˈyzyq
tarafida	tˌæɾæfˌydæ
qilgich	qˈyɫɡyt͡S
hukmdori	hʊkmdˈɑɾy
vintli	ʋˈyntɫy
tranzit	tɾˈænzyt
Bola	bˈɑlæ
huquqini	hˌʊqʊqˈyny
fikrning	fˌykɾnyŋ
prokuror	pɾɑkˈʊɾɑɾ
akustik	ækˈʊstyk
koʻchalari	kˌot͡Sælˈæɾy
sulton	sˈʊɫtɑn
kora	kˈɑɾæ
birlashishi	bˌyɾlæʃˈyʃy
havzasi	hæʋzˈæsy
sarmoyasi	sˌæɾmɑjˈæsy
mazmuniga	mˌæzmʊnˈyɡæ
sekundiga	sˌekʊndˈyɡæ
goʻshti	ɡˈoʃty
xizmatida	χˌyzmætˈydæ
Jon	d͡ʒˈɑn
qismlarni	qysmlˈæɾny
hayotning	hæjˈɑtnyŋ
mahkamlangan	mˌæhkæmlˈæŋæn
korxonalari	kˌɑɾχɑnælˈæɾy
burgut	bˈʊɾɡʊt
rivojlanayotgan	ɾˌyʋɑd͡ʒlˌænæjˈɑtɡæn
xonasi	χɑnˈæsy
sahnalashtirilgan	sˌæhnælˌæʃtyɾˈyɫɡæn
деб	dˈeb
harakatlanayotgan	hˌæɾækˌætlænæjˈɑtɡæn
yoʻnalishni	jˌonæɫˈyʃny
mifologik	myfˌɑɫˈɑɡyk
texnologiya	tˌeχnɑɫɑɡˈyjæ
Ona	ˈɑnæ
tekislikdan	tˌekysɫˈykdæn
qatori	qætˈɑɾy
ekranga	ekɾˈæŋæ
kengliklarda	kˌeŋɫyklˈæɾdæ
mexanikasi	mˌeχænykˈæsy
yogʻadi	jɑʁˈædy
Boshi	bˈɑʃy
Dogʻiston	dɑʁˈystɑn
Misrning	mˈysɾnyŋ
gʻisht	ʁˈyʃt
boʻlar	bˈolæɾ
Jahondagi	d͡ʒˌæhɑndˈæɡy
qasida	qæsˈydæ
oʻtloqlar	otɫˈɑqlæɾ
biri	bˈyɾy
qarz	qˈæɾz
proyektiv	pɾɑjˈektyʋ
tadbirlari	tˌædbyɾlˈæɾy
KP	kˌapˈe
rivoyat	ɾyʋˈɑjæt
qilishda	qyɫˈyʃdæ
tarjimalari	tˌæɾd͡ʒymælˈæɾy
aloqasini	ˌæɫɑqæsˈyny
chiziqlari	t͡Sˌyzyqlˈæɾy
masalani	mˌæsælˈæny
shoʻrlangan	ʃoɾlˈæŋæn
chiziqli	t͡Syzˈyqɫy
davrdagi	dæʋɾdˈæɡy
kamerasi	kˌæmeɾˈæsy
anchagina	ˌænt͡Sæɡˈynæ
yakson	jˈæksɑn
toʻntarishi	tˌontæɾˈyʃy
borishi	bɑɾˈyʃy
harakatlanishi	hˌæɾækˌætlænˈyʃy
faoliyatlari	fˌæɑɫˌyjætlˈæɾy
birlashmasi	bˌyɾlæʃmˈæsy
kuchlarning	kʊt͡Slˈæɾnyŋ
rasman	ɾˈæsmæn
savdogarlari	sˌæʋdɑɡæɾlˈæɾy
choʻl	t͡Sˈoɫ
oxirlarida	ˌɑχyɾlæɾˈydæ
toʻqish	tˈoqyʃ
ifodalovchi	yfˌɑdæɫˈɑʋt͡Sy
tarmoqlarini	tˌæɾmɑqlæɾˈyny
milodiy	myɫˈɑdyj
tashkilot	tæʃkˈyɫɑt
radioeshittirish	ɾˌædyˌɑeʃyttˈyɾyʃ
adirlarda	ˌædyɾlˈæɾdæ
Peugeot	pˌeʊɡˈeɑt
Indoneziya	ˌyndɑnezˈyjæ
shayboniylar	ʃˌæjbɑnˈyjlæɾ
bogʻi	bˈɑʁy
qolip	qˈɑɫyp
Tarkibidagi	tˌæɾkybydˈæɡy
Natijada	nˌætyd͡ʒˈædæ
qoshida	qɑʃˈydæ
qoraqalpoq	qˌɑɾæqˈæɫpɑq
chakana	t͡Sækˈænæ
yetib	jˈetyb
katalizator	kˌætæɫyzˈætɑɾ
parlament	pæɾlˈæment
Yashirin	jæʃˈyɾyn
ikkinchisiga	ˌykkynt͡Sysˈyɡæ
millatchilik	mˌyɫlætt͡Sˈyɫyk
nomlanuvchi	nˌɑmlænˈʊʋt͡Sy
mashgʻulotlari	mˌæʃʁʊɫɑtlˈæɾy
bunga	bˈʊŋæ
FK	ˌefkˈa
karbonat	kæɾbˈɑnæt
sharqdan	ʃˈæɾqdæn
oilalar	ˌɑylˈælæɾ
harakatida	hˌæɾækætˈydæ
yilda	jˈyɫdæ
Shotlandiya	ʃˌɑtlændˈyjæ
folklor	fˌɑɫkɫɑɾ
zoʻrlik	zˈoɾɫyk
hukumatiga	hˌʊkʊmætˈyɡæ
Prezidenti	pɾˌezydˈenty
madrasalarda	mˌædɾæsælˈæɾdæ
birliklari	bˌyɾɫyklˈæɾy
ming	mˈyŋ
oʻgʻli	ˈoʁɫy
hisobda	hysˈɑbdæ
Chiroqchi	t͡Syɾˈɑqt͡Sy
xal	χˈæɫ
boʻshliqichlilar	bˌoʃɫyqyt͡Sɫˈylæɾ
sohilidagi	sˌɑhyɫydˈæɡy
salmokli	sæɫmˈɑkɫy
kislotali	kˌysɫɑtˈæɫy
Ftor	ftˌɑɾ
genetikasi	ɡˌenetykˈæsy
Boshqaruv	bɑʃqˈæɾʊʋ
spektral	spˈektɾæɫ
Egey	ˈeɡej
Asarlarida	ˌæsæɾlæɾˈydæ
hizmat	hˈyzmæt
Yovvoyi	jɑʋʋˈɑjy
radiusi	ɾˌædyˈʊsy
xoʻjaliklarida	χˌod͡ʒæɫˌyklæɾˈydæ
lot	ɫˈɑt
qiyshiq	qˈyjʃyq
qushlarning	qʊʃlˈæɾnyŋ
ertaklar	eɾtˈæklæɾ
