जलसा	d͡ʒəl̪s̪äː
अंबर	ə̃mbəɾ
बुरक़ा	bʊɾqäː
चिरंजीव	t͡ʃɪɾə̃n̪d͡ʒiːʋ
कागद	käːɡəd̪
मसका	məs̪käː
रज़ामंदी	ɾəzäːmə̃n̪d̪iː
लिखने	l̪ɪkʰn̪eː
साज़िश	s̪äːd͡ʒɪʃ
गिलास	ɡɪl̪äːs̪
साउथहैंपटन	s̪äːʊt̪ʰɦɛ̃ːmpʈə̃n̪
अल्पावस्था	əl̪päːʋəs̪t̪ʰäː
रेलवे	ɾeːl̪ʋeː
थपथपाना	t̪ʰəpət̪ʰpäːn̪äː
आगा	äːɡäː
नारा	n̪äːɾäː
डार्विन	ɖäːɾʋɪ̃n̪
क़ुरान	qʊɾä̃ːn̪
बाँचना	bä̃ːt͡ʃn̪äː
झगड़ालू	d͡ʒʱəɡɽäːl̪uː
नकेल	n̪əkeːl̪
मिक्सर	mɪks̪əɾ
क़ानूनगो	qäːn̪ũːn̪ɡoː
महफिल	mɛɦfɪl̪
बंग्ली	bə̃ŋɡl̪iː
कंडीशनर	kə̃ɳɖiːʃn̪əɾ
समझाना	s̪ə̃md͡ʒʱäːn̪äː
होशियार	ɦoːʃijäːɾ
आकाशगंगा	äːkäːʃɡə̃ŋɡäː
मानववाद	mäːn̪əʋʋäːd̪
परंपरागत	pəɾə̃pəɾäːɡət̪
पुतला	pʊt̪l̪äː
स्टेशन	ɪs̪ʈeːʃə̃n̪
खिलवाना	kʰɪl̪ʋäːn̪äː
छंटना	t͡ʃʰə̃ɳʈn̪äː
दाँत	d̪ä̃ːt̪
नौकरशाही	n̪ɔːkəɾʃäːɦiː
नागालैंड	n̪äːɡäːl̪ɛ̃ːɳɖ
तापक्रम	t̪äːpəkɾə̃m
जोबन	d͡ʒoːbə̃n̪
बहुत	bɔɦɔt̪
परिपाटी	pəɾɪpäːʈiː
बेलचा	beːl̪t͡ʃäː
दिखावा	d̪ɪkʰäːʋäː
बहस	bɛɦɛs̪
बेअक़्ल	beːəkl̪ᵊ
लुभाना	l̪ʊbʱäːn̪äː
फ़ीलपाँव	pʰiːl̪pä̃ːʋ
डायनासोर	ɖäːjn̪äːs̪oːɾ
पत्नी	pət̪̚n̪iː
शक्ल	ʃəkl̪ᵊ
नई	n̪əiː
बेशुमार	beːʃʊmäːɾ
असहिष्णु	əs̪əɦɪʃɳuː
ढोल	ɖʱoːl̪
समायोजन	s̪əmäːjoːd͡ʒə̃n̪
मंगोलिया	mə̃ŋɡoːl̪ijäː
लेबनान	l̪eːbn̪ä̃ːn̪
यमुना	jəmʊn̪äː
परिभाषा	pəɾɪbʱäːʃäː
फ़ारिग़	pʰäːɾɪɡ
पिघलाना	pɪɡʱl̪äːn̪äː
प्रश्न	pɾəʃn̪ə
स्वभाव	s̪ʋəbʱäːʋ
चंपा	t͡ʃə̃mpäː
ताजपोशी	t̪äːd͡ʒpoːʃiː
पत्थरबाज़	pət̪̚t̪ʰəɾbäːd͡ʒ
धनराशि	d̪ʱə̃n̪ɾäːʃiː
मार्फ़िया	mäːɾfijäː
ज़बान	zəbä̃ːn̪
लाई	l̪äːiː
पहेली	pəɦeːl̪iː
हराम	ɦəɾä̃ːm
मीरा	miːɾäː
संरक्षणवाद	s̪ə̃ɾəkʃə̃ɳwäːd̪
घुंघरू	ɡʱʊ̃ŋɡʱɾuː
आस्तीन	äːs̪t̪ĩːn̪
परात	pəɾäːt̪
तिरसठ	t̪ɪɾs̪əʈʰ
प्रस्थान	pɾəs̪t̪ʰä̃ːn̪
गर्दन	ɡəɾd̪ə̃n̪
सत्तासी	s̪ət̪̚t̪äːs̪iː
लक्ष्मी	l̪əkʃmiː
निवाला	n̪ɪʋäːl̪äː
मुक़ाबला	mʊqäːbl̪äː
गाण्डू	ɡä̃ːɳɖuː
ग्वाला	ɡʋäːl̪äː
बुर्जुआ	bʊɾd͡ʒʊäː
नामोत्पत्ति	n̪äːmoːt̪pət̪̚t̪iː
नागरिक	n̪äːɡəɾɪk
दारुलहुकूमत	d̪äːɾʊl̪ɦʊkuːmət̪
अप्रत्यक्ष	əpɾət̪jəkʃ
कन्हैया	kə̃n̪ɦə̯ijäː
मेलबॉर्न	meːl̪bɔɾn̪
खुबानी	xuːbäːn̪iː
स्वस्थ	s̪ʋəs̪t̪ʰ
लिखनेवाला	l̪ɪkʰn̪eːʋäːl̪äː
मुजाहिदीन	mʊd͡ʒäːɦɪd̪ĩːn̪
बिन	bɪ̃n̪
आसन्द	äːs̪ə̃n̪d̪
भूटान	bʱuːʈä̃ːn̪
देहांत	d̪eːɦä̃ːn̪t̪
वीज़ा	ʋiːd͡ʒäː
लौकी	l̪ɔːkiː
फ़व्वारा	pʰəʋʋäːɾäː
विद्यार्थिनी	ʋɪd̪jäːɾt̪ʰɪn̪iː
जंगम	d͡ʒə̃ŋɡə̃m
नेक	n̪eːk
अग्निशस्त्र	əɡn̪ɪʃəs̪t̪ɾᵊ
सूर्यास्त	s̪uːɾjäːs̪t̪
तेहरान	t̪eːɦɾä̃ːn̪
इजाज़त	ɪd͡ʒäːzət̪
बिछौना	bɪt͡ʃʰɔːn̪äː
सौरमंडल	s̪ɔːɾmə̃ɳɖəl̪
मअनी	məən̪iː
बासन	bäːs̪ə̃n̪
पौष	pɔːʃ
परवाज़	pəɾʋäːd͡ʒ
चोंच	t͡ʃõːn̪t͡ʃ
दरमियानी	d̪əɾmijäːn̪iː
आलु	äːl̪uː
उत्सर्जन	ʊt̪s̪əɾd͡ʒə̃n̪
पाया	päːjäː
भौतिकवाद	bʱɔːt̪ɪkwäːd̪
सुलझाना	s̪ʊl̪d͡ʒʱäːn̪äː
टिकाऊ	ʈɪkäːuː
स्लोवेनियन	s̪l̪oːʋeːn̪ijə̃n̪
सरसों	s̪əɾs̪õː
शास्त्र	ʃäːs̪t̪ɾᵊ
चुकना	t͡ʃʊkn̪äː
कूटनीतिक	kuːʈn̪iːt̪ɪk
चुपचाप	t͡ʃʊpt͡ʃäːp
पत्रकार	pət̪ɾəkäːɾ
तिरुचिरापल्ली	t̪ɪɾʊt͡ʃɪɾäːpəl̪l̪iː
नस्तालीक़	n̪əs̪t̪äːl̪iːk
शुक्रिया	ʃʊkɾijäː
दिल्ली	d̪ɪl̪l̪iː
कल्टी	kəl̪ʈiː
पालना	päːl̪n̪äː
ओढ़ना	oːɽʱn̪äː
जहाँगीर	d͡ʒəɦä̃ːŋɡiːɾ
बोलने	boːl̪n̪eː
मुबारकबाद	mʊbäːɾəkbäːd̪
चित्रकार	t͡ʃɪt̪ɾəkäːɾ
असामयिक	əs̪äːməjɪk
वाणिज्य	ʋäːɳɪd͡ʒjᵊ
प्रभारी	pɾəbʱäːɾiː
अजिल्द	əd͡ʒɪl̪d̪
बहुव्रीहि	bɔɦɔʋɾiːɦiː
इनको	ɪ̃n̪koː
न्यायपालिका	n̪jäːjpäːl̪ɪkäː
खुजलाना	kʰʊd͡ʒl̪äːn̪äː
ऐयाशी	ə̯ijäːʃiː
तृष्णा	t̪ɾɪʃɳäː
सुबोध	s̪ʊboːd̪ʱ
भाँति	bʱä̃ːn̪t̪iː
देशव्यापी	d̪eːʃəʋjäːpiː
प्रवास	pɾəʋäːs̪
मुसाफ़िर	mʊs̪äːfɪɾ
शूरसेन	ʃuːɾs̪ẽːn̪
आकर्षण	äːkəɾʃə̃ɳ
चिट्ठी	t͡ʃɪʈ̚ʈʰiː
स्नायु	s̪n̪äːjuː
टीम	ʈĩːm
असंख्य	əs̪ə̃ŋkʰjᵊ
यवशर्करा	jəʋʃəɾkəɾäː
आरामगाह	äːɾä̃ːmɡäːɦ
अहोभाग्य	əɦoːbʱäːɡjᵊ
सदर	s̪əd̪ɾ
जायज़ा	d͡ʒäːjzäː
तशद्दुद	t̪əʃəd̪̚d̪ʊd̪
सबक	s̪əbəq
असत्य	əs̪ət̪jᵊ
गणतंत्र	ɡə̃ɳt̪ə̃n̪t̪ɾᵊ
गौरवशाली	ɡɔːɾəʋʃäːl̪iː
सिफ़ारतख़ाना	s̪ɪfäːɾət̪xäːn̪äː
टटोलना	ʈəʈoːl̪n̪äː
अलंकार	əl̪ə̃ŋkäːɾ
केरल	keːɾəl̪
मेहमानदारी	meːɦmä̃ːn̪d̪äːɾiː
क्रेता	kɾeːt̪äː
अरबिंद	əɾbɪ̃n̪d̪
तालियों	t̪äːl̪ijõː
ग़मज़दा	ɣəməzd̪äː
घना	ɡʱən̪äː
ख़ुलासा	xʊl̪äːs̪äː
जुलाई	d͡ʒʊl̪äːiː
शागिर्द	ʃäːɡɪɾd̪
ज़बानी	zəbäːn̪iː
दुमन	d̪ʊmə̃n̪
चल	t͡ʃəl̪
विनिधान	ʋɪn̪ɪd̪ʱä̃ːn̪
पाठ्य	päːʈʰjᵊ
अमृत	ə̃mɾɪt̪
विराजमान	ʋɪɾäːd͡ʒmä̃ːn̪
नस्ल	n̪əs̪l̪ᵊ
कारखाना	käːɾxäːn̪äː
वैकुंठ	ʋɛːkʊ̃ɳʈʰ
सेहत	s̪eːɦət̪
पट्टिका	pəʈ̚ʈɪkäː
मुक्केबाज़	mʊk̚keːbäːz
क़रीबन	qəɾiːbə̃n̪
ग़ाज़ियाबाद	ɡäːd͡ʒijäːbäːd̪
तीखा	t̪iːkʰäː
अहिवात	əɦɪʋäːt̪
क्रमागत	kɾəmäːɡət̪
अखिलेश	əkʰɪl̪eːʃ
भाग	bʱäːɡ
रिमझिम	ɾɪ̃md͡ʒʱɪ̃m
कालद्वीप	käːl̪əd̪wiːp
सुडौल	s̪ʊɖɔːl̪
क़िस्म	kɪs̪m
चीनी	t͡ʃiːn̪iː
होन्शू	ɦõːn̪ʃuː
नूह	n̪uːɦ
चौका	t͡ʃɔːkäː
ख़रीदवाना	xəɾiːd̪wäːn̪äː
कुल्चा	kʊl̪t͡ʃäː
क़ाज़ी	qäːziː
दाख़िल	d̪äːkʰɪl̪
सेब	s̪eːb
भूखा	bʱuːkʰäː
कोरियाई	koːɾijäːiː
सन्निकट	s̪ə̃n̪n̪ɪkəʈ
आज़ाद	äːzäːd̪
इक्यासी	ɪkjäːs̪iː
सुल्टाना	s̪ʊl̪ʈäːn̪äː
प्रताड़ित	pɾət̪äːɽɪt̪
नवजीवन	n̪əʋd͡ʒiːʋə̃n̪
सीरिया	s̪iːɾijäː
तालव्य	t̪äːl̪əʋjə
दीपावली	d̪iːpäːʋl̪iː
मददगार	məd̪əd̪ɡäːɾ
अनिश्चितता	ən̪ɪʃt͡ʃɪt̪̚t̪äː
कार्यान्वित	käːɾjä̃ːn̪wɪt̪
खनन	kʰən̪ə̃n̪
वीज़ा	ʋiːzäː
सेंकना	s̪ẽːŋkn̪äː
कंजूस	kə̃n̪d͡ʒuːs̪
चील	t͡ʃiːl̪
सुविधा	s̪ʊʋɪd̪ʱäː
मानसिकता	mä̃ːn̪s̪ɪkt̪äː
शिकार	ʃɪkäːɾ
नवनीत	n̪əʋn̪iːt̪
बिगुल	bɪɡʊl̪
खोंसना	kʰõːn̪s̪n̪äː
न्यायाधीश	n̪jäːjäːd̪ʱiːʃ
ओला	oːl̪äː
ऊना	uːn̪äː
तरफ़दार	t̪əɾəpʰd̪äːɾ
शलभ	ʃəl̪əbʱ
सॉफ़्टवेयर	s̪ɔfʈəʋeːjəɾ
विश्लेषण	ʋɪʃl̪eːʃə̃ɳ
अविकसित	əʋɪks̪ɪt̪
सच्चरित्र	s̪ət̚t͡ʃəɾɪt̪ɾᵊ
निर्णायक	n̪ɪɾɳäːjək
आइंदा	äːɪ̃n̪d̪äː
लौ	l̪ɔː
क्षम्य	kʃə̃mjᵊ
मुलायम	mʊl̪äːjə̃m
काव्य	käːʋjᵊ
बदलाव	bəd̪l̪äːʋ
फ़ीता	pʰiːt̪äː
आफिस	äːpʰɪs̪
क़रार	kəɾäːɾ
नति	n̪ət̪iː
गोलंदाज़	ɡoːl̪ə̃n̪d̪äːd͡ʒ
ज़ुल्म	d͡ʒʊl̪m
अजवाइन	əd͡ʒʋäːɪ̃n̪
जलीय	d͡ʒəl̪iːjᵊ
ज़िंदा	d͡ʒɪ̃n̪d̪äː
घन	ɡʱə̃n̪
गुजराती	ɡʊd͡ʒɾäːt̪iː
कलमकारी	kəl̪ə̃mkäːɾiː
सफ़रनामा	s̪əpʰəɾn̪äːmäː
सार्वत्रिक	s̪äːɾʋət̪ɾɪk
स्नानघर	s̪n̪ä̃ːn̪ɡʱəɾ
अनूप	ən̪uːp
संस्कारी	s̪ə̃n̪s̪käːɾiː
कायनात	käːjn̪äːt̪
नज़रबंदी	n̪əzəɾbə̃n̪d̪iː
तेजपत्ता	t̪eːd͡ʒpət̪̚t̪äː
तंज़ानिया	t̪ə̃d͡ʒäːn̪ijäː
अनुमानतः	ən̪ʊmä̃ːn̪t̪əɦ
लोकतांत्रिक	l̪oːkt̪ä̃ːn̪t̪ɾɪk
विकिरणशीलता	ʋɪkɪɾə̃ɳʃiːl̪t̪äː
नहि	n̪əɦiː
पलटवार	pəl̪əʈwäːɾ
ठिठुरना	ʈʰɪʈʰʊɾn̪äː
तग़ाफ़ुल	t̪əɡäːpʰʊl̪
ख़ुराफ़ात	kʰʊɾäːpʰäːt̪
विनाशकारी	ʋɪn̪äːʃkäːɾiː
शिनजियांग	ʃɪ̃n̪d͡ʒijä̃ːŋɡ
संवाद	s̪ə̃mwäːd̪
नी	n̪iː
कक्षा	kəkʃäː
चखना	t͡ʃəkʰn̪äː
तानाशाह	t̪äːn̪äːʃäːɦ
दोपहर	d̪oːpɛɦɛɾ
जलेबी	d͡ʒəl̪eːbiː
अस्पष्ट	əs̪pəʂʈ
आदाब	äːd̪äːb
स़िफ़र	s̪ɪpʰəɾ
इख़्तियार	ɪxt̪ijäːɾ
अल्हड़	əl̪ɦəɽ
यौवनकाल	jə̯uʋə̃n̪käːl̪
खलना	kʰəl̪n̪äː
वायदा	ʋäːjd̪äː
ग़ुस्लख़ाना	ɡʊs̪l̪kʰäːn̪äː
आयातकर्ता	äːjäːt̪kəɾt̪äː
कोड़ा	koːɽäː
भोंकना	bʱõːŋkn̪äː
विनिर्माण	ʋɪn̪ɪɾmä̃ːɳ
आवंटन	äːʋə̃ɳʈə̃n̪
चोरना	t͡ʃoːɾn̪äː
कनीज़	kən̪iːz
शनिवार	ʃən̪ɪʋäːɾ
इसमाईल	ɪs̪mäːiːl̪
मेहमाननवाज़ी	meːɦmä̃ːn̪n̪əʋäːd͡ʒiː
भारोत्तोलक	bʱäːɾoːt̪̚t̪oːl̪ək
फ़ना	fən̪äː
नमाज़गाह	n̪əmäːzɡäːɦ
बक़ाया	bəkäːjäː
शख्स	ʃəkʰs̪
आशय	äːʃəj
लय	l̪əj
स्पैनिश	s̪pɛːn̪ɪʃ
मीम	mĩːm
किया	kijäː
बरामदा	bəɾä̃ːmd̪äː
आदम	äːd̪ə̃m
दाग़	d̪äːɣ
नेपाली	n̪eːpäːl̪iː
खिलाड़ी	kʰɪl̪äːɽiː
अस्थिरता	əs̪t̪ʰɪɾt̪äː
गुनगुनाना	ɡʊ̃n̪ɡʊn̪äːn̪äː
नब्बे	n̪əb̚beː
आराम	ɑːɾɑːm
बालकेलि	bäːl̪keːl̪iː
फ़सल	pʰəs̪əl̪
विकसित	ʋɪks̪ɪt̪
सिफ़त	s̪ɪfət̪
दक्खिन	d̪ək̚kʰɪ̃n̪
संघीय	s̪ə̃ŋɡʱiːjᵊ
बीजांडासन	biːd͡ʒä̃ːɳɖäːs̪ə̃n̪
लिसान	l̪ɪs̪ä̃ːn̪
उरोस्थि	ʊɾoːs̪t̪ʰiː
गूंजना	ɡũːn̪d͡ʒn̪äː
फ़ारसी	pʰäːɾs̪iː
पट्टी	pəʈ̚ʈiː
फ़ॉर्मूला	pʰɔɾmuːl̪äː
ग़ुसल	ɣʊs̪əl̪
शायराना	ʃäːjɾäːn̪äː
सुरिनाम	s̪ʊɾɪn̪ä̃ːm
क्रमसूचक	kɾə̃ms̪uːt͡ʃək
अवैतनिक	ʋɛːt̪ən̪ɪk
राजनय	ɾäːd͡ʒn̪əj
विचारपूर्वक	ʋɪt͡ʃäːɾpuːɾʋək
बम्बई	bə̃mbəiː
सलाहकार	s̪əl̪äːɦkäːɾ
दफ़न	d̪əpʰn̪
फोन	fõːn̪
अटकलपच्चू	əʈkəl̪pət̚t͡ʃuː
नर्तकी	n̪əɾt̪əkiː
संगम	s̪ə̃ŋɡə̃m
बला	bəl̪äː
यथार्थ	jət̪ʰäːɾt̪ʰ
गँवाना	ɡə̃ʋäːn̪äː
बुद्धिमान	bʊd̪̚d̪ʱɪmä̃ːn̪
विख्यात	ʋɪkʰjäːt̪
रूहानियत	ɾuːɦäːn̪ijət̪
अधिलाभ	əd̪ʱɪl̪äːbʱ
आधा	äːd̪ʱäː
नीलगाय	n̪iːl̪ɡäːj
पताका	pət̪äːkäː
राज़	ɾäːz
तुलनात्मक	t̪ʊl̪ən̪äːt̪mək
ख़ानदान	kʰä̃ːn̪d̪ä̃ːn̪
चौंतीस	t͡ʃɔ̃ːn̪t̪iːs̪
दस	d̪əs̪
अरमान	əɾmä̃ːn̪
रूठना	ɾuːʈʰn̪äː
सीताफल	s̪iːt̪äːpʰəl̪
सालाना	s̪äːl̪äːn̪äː
जंतर	d͡ʒə̃n̪t̪əɾ
संप्रभुता	s̪ə̃mpɾəbʱʊt̪äː
दाढ़ी	d̪äːɽʱiː
अनुनासिक	ən̪ʊn̪äːs̪ɪk
आवंटित	äːʋə̃ɳʈɪt̪
पटका	pəʈkäː
सरंजाम	s̪əɾə̃n̪d͡ʒä̃ːm
संपर्क	s̪ə̃mpəɾk
गाना	ɡäːn̪äː
नायाब	n̪äːjäːb
अदाकार	əd̪äːkäːɾ
रजिस्टर	ɾəd͡ʒɪs̪ʈəɾ
रनवास	ɾə̃n̪wäːs̪
बालिका	bäːl̪ɪkäː
थोड़ा	t̪ʰoːɽäː
पिलास	pɪl̪äːs̪
मूर्तिपूजा	muːɾt̪ɪpuːd͡ʒäː
यौम	jɔ̃ːm
डिक्की	ɖɪk̚kiː
सारंगी	s̪äːɾə̃ŋɡiː
पर्याप्त	pəɾjaːpt̪
आधिक्य	äːd̪ʱɪkjᵊ
स्थल	s̪t̪ʰəl̪
ऊर्जा	uːɾd͡ʒäː
आशिक़	äːʃɪq
गवारा	ɡəʋäːɾäː
लालच	l̪äːl̪ət͡ʃ
अर्धविकसित	əɾd̪ʱʋɪks̪ɪt̪
मुग़लई	mʊɣl̪əiː
जीना	d͡ʒiːn̪äː
ल	l̪ə
तंदूरी	t̪ə̃n̪d̪uːɾiː
तुष्टीकरण	t̪ʊʃʈiːkəɾə̃ɳ
जीजा	d͡ʒiːd͡ʒäː
जज़्बात	d͡ʒəd͡ʒbäːt̪
सीख़चा	s̪iːxt͡ʃäː
नकार	n̪əkäːɾ
क़िस्सा	kɪs̪s̪äː
निज	n̪ɪd͡ʒ
बहरापन	bɛɦɾäːpə̃n̪
किलोग्राम	kɪl̪oːɡɾä̃ːm
जहाज़	d͡ʒəɦäːd͡ʒ
इंतिफ़ादा	ɪ̃n̪t̪ɪpʰäːd̪äː
मच्छर	mət̚t͡ʃʰəɾ
