girtat	kirːtaht
ajihustit	ajiːhusːtiːht
oatni	oɑ̯tniː
dami	tamiː
veahčir	vea̯ht͡ʃiːr
galbmit	kalːpmiːht
beaŋka	pea̯ŋːka
hilgut	hilːkuːht
goaro	ko̯ɑro
duolva	tuo̯lːva
nakšát	nakːʃaːht
mátki	maːtːkiː
ránes	raˑnes
bolfát	polːfaːht
johtit	johtiːht
láktat	laːkːtaht
jeagil	jea̯kiːl
jogas	jokas
ahkidis	ahkiːtis
ovccát	ovtt͡saːht
ráhkkáseamos	raːhːkaːse̯amos
rogge	roɡːɡe
ruoná	ruo̯naː
oažžut	oɑ̯dːd͡ʒuːht
dorvvuheapme	torvvuːhe̯apme
čállit	t͡ʃaːlliːht
eadnán	ea̯dːnaːn
njaldit	ɲalːtiːht
guolla	kuo̯lla
eat	ea̯ht
bassi	passiː
luhkka	luhːka
dat	taht
oahppat	oɑ̯hːpaht
dudnuin	tudːnujn
bálgán	paːlːkaːn
ruoksadeamos	ruo̯kːsate̯amos
mola	mola
čuollat	t͡ʃuo̯llaht
lassánit	lassaːniht
šiega	ʃie̯ka
áhčči	aːhːt͡ʃiː
báska	paːsːka
gáigá	kaːjːkaː
saŋas	saɲas
horti	horːtiː
assi	assiː
fiero	fi̯ero
bealjehit	pe̯aʎʎehiht
eallaseamos	ea̯llase̯amos
dásset	taˑsseht
bahta	pahta
čorbma	t͡ʃorːpma
duortnus	tuo̯rtnuːs
hekto	hekːto
lohpidit	lohpiːtiht
seahkka	sea̯hːka
lidnu	lidːnuː
buddele	pudːdele
dállu	taːlluː
sággi	saːɡːɡiː
buođgát	puo̯ðːkaːht
vuotta	vuo̯tta
coakci	t͡soɑ̯kːt͡siː
ruoida	ruo̯jːta
guoddu	kuo̯dːduː
go	ko
rieban	rie̯pan
álgga	aːlːkka
bollát	polːlaːht
báhkki	paːhːkiː
gos	kos
šaddanbeaivi	ʃadːdanpea̯jːviː
brutto	prutto
lehkoset	leːhkoseht
loažži	loɑ̯dːd͡ʒiː
jalges	jalːkes
oarri	oɑ̯rːriː
doaibmi	toɑ̯jːpmiː
gaigŋir	kajːtɲiːr
raksa	rakːsa
čeavlái	t͡ʃea̯vːlaːj
jalgat	jalːkaht
guossa	kuo̯ssa
allat	allaht
fiskat	fisːkaht
leažžat	lea̯dːd͡ʒaht
juovllat	juo̯vllaht
áibmu	aːjːpmuː
baján	pajaːn
doarvi	toɑ̯rːviː
guoskat	kuo̯sːkaht
nealgi	nea̯lːkiː
aisttan	ajstan
arvát	arːvaːht
vuohčču	vuo̯hːt͡ʃuː
čuopmat	t͡ʃuo̯pmaht
veaháš	vea̯haːʃ
doaibat	toɑ̯jːpaht
gordni	korːtniː
bastit	pasːtiːht
astat	asːtaht
leažžabeahtti	lea̯dːd͡ʒapea̯hːtiː
ruoidnát	ruo̯jːtnaːht
nohkkat	nohːkaht
guoika	kuo̯jːka
oarbbis	oɑ̯rːppiːs
galmmas	kalmmas
lohkat	lohkaht
sadji	saɟɟiː
ceakkus	t͡sea̯kkuːs
ohpit	ohpiːht
oahpaheaddji	oɑ̯hpahea̯ɟːɟiː
jápmán	jaːpmaːn
suovvi	suo̯vviː
čuovgga	t͡ʃuo̯vːkka
nábár	naːpaːr
smáhket	smaːhkeht
čorges	t͡ʃorːkes
nieidda	nie̯jːtta
leađbma	lea̯ðːpma
áhkká	aːhːkaː
muorji	muo̯rːjiː
beaivi	pea̯jːviː
muitalit	mujːtaliht
boija	pojja
gámme	kaːmːme
roggat	roɡːɡaht
oahppásit	oɑ̯hːpaːsiht
munnje	muɲɲe
bearrat	pea̯rraht
balsa	palːsa
fuotni	fuo̯tniː
heahkka	hea̯hːka
huhpat	huhpaht
bora	poːra
suhttat	suhːtaht
gártat	kaːrːtaht
áli	aːliː
cadjat	t͡saɟɟaht
logus	lokuːs
ruonas	ruo̯nas
nuorasmahttit	nuo̯rasmahːtiːht
nállat	naːllaht
njálbmi	ɲaːlːpmiː
manan	manan
balu	paluː
kursa	kʰurːsa
boalbut	poɑ̯lːpuːht
láhppit	laːhːpiːht
fáŋgal	faːŋːkal
muhtun	muhtuːn
šállo	ʃaːllo
sálti	saːlːtiː
áibmat	aːjːpmaht
buollin	puo̯lliːn
guolástit	kuo̯laːstiht
rujosmit	ruːjosmiht
hávkat	haːvːkaht
aski	asːkiː
diddi	tidːdiː
duostut	tuo̯sːtuːht
guoppar	kuo̯ppar
álás	aːlaːs
suovvi	suo̯vːviː
gaŋgát	kaŋːkaːht
addes	adːdes
bassen	passen
loatna	loɑ̯tna
sahá	sahaː
oalgi	oɑ̯lːkiː
áibbašit	aːjːppaʃiht
máttanuorti	maːttanuo̯rːtiː
toardna	tʰoɑ̯rːtna
ráššu	raːʃʃuː
dáiddalaš	taːjːttalaʃ
ja	ja
luovdi	luo̯vːtiː
njelot	ɲeːloht
čielgasit	t͡ʃie̯lːkasiht
jakŋat	jatɲaht
bákti	paːkːtiː
ipmirdit	ipmiːrtiht
doaro	to̯ɑro
mahkkit	mahːkiːht
ballát	palːlaːht
guhkit	kuhkiːht
vuogas	vuo̯kas
čagardit	t͡ʃakartiht
loahppa	loɑ̯hːpa
gesse	keːsse
mánálaš	maːnaːlaʃ
bahámus	pahaːmus
ruvke	ruvːke
itku	itːkuː
balvan	palːvan
hollen	hoːllen
guvrát	kuvːraːht
juohke	ju̯ohke
rávdná	raːvːtnaː
idjaloddi	iɟɟalodːdiː
buoiddeheapme	pu̯ojːttehe̯apme
hipmu	hipmuː
cahkat	t͡sahkaht
daga	taka
boso	poso
meaštár	mea̯ʃːtaːr
sáhppadeamos	saːhːpate̯amos
várat	vaːraht
sarri	sarriː
johttát	johːtaːht
botnet	potneht
didjiide	tiɟɟijte
nubbi	nubːbiː
ollos	oːllos
jugale	jukale
čihččet	t͡ʃiːhːt͡ʃeht
gáhkkor	kaːhːkor
olán	olaːn
ádjánit	aːɟɟaːniht
vuonjal	vuo̯ɲal
bearral	pea̯rral
suhpi	suhpiː
gasti	kasːtiː
gudden	kuːdːden
čohkkát	t͡ʃohːkaːht
albmanit	alːpmaniht
čuolda	t͡ʃuo̯lːta
hoallu	hoɑ̯lluː
gállis	kaːlliːs
vuopmi	vuo̯pmiː
jorre	jorre
álkimus	aːlːkiːmus
vaikko	vajkko
oapmi	oɑ̯pmiː
nu	nuː
giron	kiːron
rádju	raːɟɟuː
vuohčut	vuo̯ht͡ʃuːht
gollat	kollaht
almmálaš	almmaːlaʃ
bánis	paːniːs
asti	asːtiː
dihton	tiːhton
ealli	ea̯lːliː
suohkat	suo̯hkaht
goas	koɑ̯s
vuoššat	vuo̯ʃːʃaht
gielaheapme	kie̯lahe̯apme
saddit	sadːdiːht
dus	tuːs
káfe	kʰaːfe
šiggut	ʃiɡːɡuːht
doaimmaheaddji	toɑ̯jmmahea̯ɟːɟiː
gosan	kosan
jorba	jorːpa
buvssat	puvssaht
ágga	aːɡːɡa
bohccon	poːhːt͡son
čovvát	t͡ʃovːvaːht
doarrut	toɑ̯rruːht
deardna	tea̯rːtna
lea	lea̯
vuohppa	vuo̯hːpa
goarrut	koɑ̯rruːht
feret	feːreht
jorgut	jorːkuːht
geađgi	kea̯ðːkiː
máidnu	maːjːtnuː
vadjat	vaɟɟaht
navvit	navviːht
eadnáme	ea̯dːnaːme
ihtit	ihtiːht
čieŋal	t͡ʃie̯ɲal
haksit	hakːsiːht
giitu	kijːtuː
beavrrihis	pea̯vrriːhis
sivlu	sivːluː
dahppat	tahːpaht
veadjit	vea̯ɟɟiːht
luovos	lu̯ovos
dapmi	tapmiː
vizardit	vit͡sartiht
čoalli	t͡ʃoɑ̯lliː
čorgadit	t͡ʃorːkatiht
don	toːn
bohcci	pohːt͡siː
soallut	soɑ̯lluːht
maŋŋil	maŋɲiːl
lean	lea̯n
lohpi	lohpiː
dáidit	taːjːtiːht
lottiid	lottijt
gálojeatni	kaˑlojea̯tniː
dolastit	tolastiht
gordon	koːrːton
juoiggus	juo̯jːkkuːs
návli	naːvːliː
nihttit	nihːtiːht
čuodjat	t͡ʃuo̯ɟɟaht
bohkká	pohːkaː
allu	alːluː
manin	maniːn
eambbo	e̯amːppo
bátni	paːtniː
čuoika	t͡ʃuo̯jːka
máttanuorta	maːttanuo̯rːta
neavrres	ne̯avrres
duoldat	tuo̯lːtaht
sárgun	saːrːkuːn
deaššat	tea̯ʃʃaht
ráhkes	raˑhkes
lassi	lassiː
dielku	tie̯lːkuː
bággu	paːɡːɡuː
guvrut	kuvːruːht
sodjat	soɟɟaht
dihtor	tiːhtor
gužža	kudːd͡ʒa
rokkan	rokkan
fápmu	faːpmuː
miehkki	mie̯hːkiː
ciiku	t͡sijːkuː
sisa	sisa
jearahit	jea̯rahiht
jaskadeamos	jasːkate̯amos
lávlagis	laːvːlakis
ráddi	raːdːdiː
soađis	soɑ̯ðiːs
dierbbes	ti̯erːppes
addu	adːduː
bikká	pikkaː
árvu	aːrːvuː
levlo	levːlo
olggos	olːkkos
giessat	kie̯ssaht
moivi	mojːviː
fuoikit	fuo̯jːkiːht
dákti	taːkːtiː
háhtta	haːhːta
čuonjá	t͡ʃuo̯ɲaː
gazole	kat͡sole
luotni	luo̯tniː
njoarostit	ɲo̯ɑrostiht
borraba	porrapa
dal	tal
reddjo	reɟːɟo
buldu	pulːtuː
haŋŋá	haŋɲaː
roggen	roɡːɡen
áššeheapme	aˑʃʃehe̯apme
gilli	killiː
fluora	fluoːra
doavhli	toɑ̯vːl̥iː
sahát	sahaːht
alloset	alloseht
jorbasit	jorːpasiht
buđeita	puðejta
lállit	laːlliːht
laskat	lasːkaht
biigá	pijːkaː
juoddit	juo̯dːdiːht
šlahtti	ʃlahːtiː
bivval	pivval
reahccut	rea̯hːt͡suːht
ođđasit	oððasiht
mannut	manːnuːht
jurdit	jurːtiːht
deaivu	tea̯jːvuː
dego	teko
gávrut	kaːvːruːht
bássa	paːsːsa
šávge	ʃaːvːke
sulla	sulla
cisset	t͡sisːseht
bohttu	pohːtuː
buole	pu̯ole
duostil	tuo̯sːtiːl
heaibut	hea̯jːpuːht
ollis	olliːs
olloska	olloska
duorga	tuo̯rːka
gease	ke̯ase
gobi	kopiː
lasta	lasːta
cahpat	t͡sahpaht
jearaldat	jea̯raltaht
bodni	podːniː
dilljá	tiʎːʎaː
agit	akiːht
árrit	aːrriːht
dagan	takan
ollu	olːluː
šloahtta	ʃloɑ̯hːta
goarjut	koɑ̯rːjuːht
olli	olːliː
ruovji	ruo̯vːjiː
duohken	tu̯ohken
čiekŋalit	t͡ʃie̯tɲaliht
árga	aːrːka
rinčát	rinːt͡ʃaːht
bárru	paːrruː
cumpi	t͡sumːpiː
ruoinnas	ruo̯jnnas
sihtat	sihtaht
soddjil	soɟːɟiːl
gáhttu	kaːhːtuː
eaŋgals	ea̯ŋːkals
rustát	rusːtaːht
miessi	mie̯ssiː
šleađga	ʃlea̯ðːka
galge	kalːke
burru	purːruː
addesis	adːdesis
háhccát	haːhːt͡saːht
duollu	tuo̯lːluː
vávdno	vaːvːtno
buorráneaddji	puo̯rraːnea̯ɟːɟiː
čeahpimus	t͡ʃea̯hpiːmus
leatnot	le̯atnoht
gullet	kuːlːleht
lágut	laːkuːht
leasmi	lea̯sːmiː
muhtin	muhtiːn
báŋka	paːŋːka
sárgut	saːrːkuːht
sáibu	saːjːpuː
ránis	raːniːs
sitnu	sitnuː
njuorddut	ɲuo̯rːttuːht
ráhkestit	raˑhkestiht
gullet	kulleht
kilográmmá	kʰilokraːmːmaː
romimus	romiːmus
leai	lea̯j
vahkku	vahːkuː
attestit	attestiht
gaŋkát	kaŋːkaːht
riektat	rie̯kːtaht
dahkkot	tahːkoht
reahcci	rea̯hːt͡siː
árja	aːrːja
addjot	aɟːɟoht
dálvit	taːlːviːht
viergi	vie̯rːkiː
liekčát	lie̯kːt͡ʃaːht
diet	tie̯ht
molle	molle
nannet	nanːneht
ležžet	ledːd͡ʒeht
báron	paːron
čagar	t͡ʃakar
kroma	kroːma
diehko	ti̯ehko
njiedjat	ɲie̯ɟɟaht
hearvát	hea̯rːvaːht
šohkut	ʃohkuːht
diila	tijːla
jearrat	jea̯rraht
čearguladdat	t͡ʃea̯rːkuːladːdaht
rájes	raˑjes
bispa	pisːpa
oattimus	oɑ̯ttiːmus
nordon	norːton
báhkket	paːhːkeht
oanit	oɑ̯niːht
buleš	puːleʃ
luohttit	luo̯hːtiːht
duohki	tuo̯hkiː
guoggi	kuo̯ɡːɡiː
lunddolaččat	lunːttolatt͡ʃaht
láđđi	laːððiː
bone	pone
govdut	kovːtuːht
albmaduvvat	alːpmatuvvaht
láhtti	laːhːtiː
cihrra	t͡sir̥r̥a
bavhli	pavːl̥iː
ovttas	ovttas
saddos	sadːdos
vuodjat	vuo̯ɟɟaht
atnin	atniːn
čuohki	t͡ʃuo̯hkiː
arva	arːva
jaska	jasːka
litnjat	litɲaht
čiehká	t͡ʃie̯hkaː
niski	nisːkiː
loapmi	loɑ̯pmiː
čátná	t͡ʃaːtnaː
bircut	pirːt͡suːht
gitta	kitta
cagai	t͡sakaj
romsa	romːsa
gosat	kosaht
valli	valliː
áite	aːjːte
biibbal	pijːppal
čorgat	t͡ʃorːkaht
ruššat	ruʃʃaht
anihit	aniːhiht
leavdnit	lea̯vːtniːht
eske	esːke
doggi	toɡːɡiː
ceaggát	t͡sea̯ɡːɡaːht
ain	ajn
veaittalas	vea̯jttalas
gráda	kraːta
eatnis	ea̯tniːs
nanus	nanuːs
njierrá	ɲie̯rraː
leŋge	leŋːke
njoammil	ɲoɑ̯mmiːl
njárbat	ɲaːrːpaht
nalttas	nalttas
njartat	ɲarːtaht
lotnut	lotnuːht
njálla	ɲaːlla
astta	asta
buot	puo̯ht
molale	molale
jallat	jallaht
movt	movht
rissi	risːsiː
gallet	kalːleht
rievdadus	rie̯vːtatus
buoiddat	puo̯jːttaht
unni	unːniː
bilkidit	pilːkiːtiht
bealgi	pea̯lːkiː
gealbu	kea̯lːpuː
lastan	lasːtan
niillas	nijllas
viessat	vie̯ssaht
jahki	jahkiː
bealdu	pea̯lːtuː
bearjadat	pea̯rːjataht
eappir	ea̯ppiːr
bolden	poːlːten
dávda	taːvːta
dievddu	tie̯vːttuː
dierbut	tie̯rːpuːht
ruolla	ruo̯lːla
liiva	lijːva
čeŋkkeš	t͡ʃeːŋkkeʃ
oaggut	oɑ̯ɡːɡuːht
já	jaː
olgun	olːkuːn
čuorpmas	t͡ʃuo̯rpmas
leahki	lea̯hkiː
luiste	lujːste
bardit	parːtiːht
kránnjáid	kraːɲɲaːjt
bárut	paːruːht
veaksi	vea̯kːsiː
jalga	jalːka
gosse	kosse
gáddit	kaːdːdiːht
dálkkas	taːlkkas
guovža	kuo̯vːt͡ʃa
roabát	roɑ̯paːht
duvdni	tuvːtniː
guosmut	kuo̯sːmuːht
bárbmu	paːrːpmuː
árggit	aːrːkkiːht
čielgat	t͡ʃie̯lːkaht
dievasmahttit	tie̯vasmahːtiːht
geassi	kea̯sːsiː
njozet	ɲoːt͡seht
vatnat	vatnaht
giellá	kie̯llaː
eadnin	ea̯dːniːn
lossadeamos	lossate̯amos
illu	illuː
boksa	pokːsa
beštor	peʃːtor
borran	porran
váilut	vaːjːluːht
guossi	kuo̯sːsiː
bieđut	pie̯ðuːht
leavvat	lea̯vvaht
boaldit	poɑ̯lːtiːht
jallas	jallas
gessen	keːssen
gussa	kussa
dávdi	taːvːtiː
idjadit	iɟɟatiht
goikásit	kojːkaːsiht
salla	salla
mirkko	mirkko
govahallat	kovahallaht
rápmi	raːpmiː
čáhppat	t͡ʃaːhːpaht
deatte	te̯atte
goahti	koɑ̯htiː
nullet	nuːlleht
dikŋa	titɲa
sarrit	sarriːht
čielga	t͡ʃie̯lːka
čurti	t͡ʃurːtiː
issorit	issoriht
alvvaheapme	alvvahe̯apme
iskat	isːkaht
basastit	pasastiht
ŧ	θ
čakča	t͡ʃakːt͡ʃa
čuovgat	t͡ʃuo̯vːkaht
ipmi	ipmiː
árves	aːrːves
lehkos	leːhkos
buohccát	puo̯hːt͡saːht
hállan	haːllan
ahkáduvvat	ahkaːtuvvaht
muhto	muhto
šallju	ʃaʎːʎuː
burke	purːke
bala	pala
neon	neːon
suotnju	suo̯tɲuː
čealluladdat	t͡ʃea̯lluːladːdaht
beage	pe̯ake
almmuheapmi	almmuːhea̯pmiː
duipi	tujːpiː
jalkát	jalːkaːht
čitnut	t͡ʃitnuːht
luodda	luo̯dːda
dunin	tuːniːn
beallji	pea̯ʎːʎiː
aste	asːte
