bomba	bˈomba
Manstein	manstˈe͡ɪn
astí	astˈi
mapa	mˈapa
meya	mˈeja
libres	lˈiβɾes
versión	beɾsjˈon
Media	mˈeðja
conchugación	kˌont͡ʃuɣaθjˈon
interpretar	ˌinteɾpɾetˈaɾ
costeras	kostˈeɾas
occidentals	ˌokθiðentˈals
dentro	dˈentɾo
incluye	inklˈujɛ
recibir	rˌeθiβˈiɾ
destacando	dˌestakˈando
Daroca	daɾˈoka
uga	ˈuɣa
Norte	nˈoɾte
encluyen	enklˈujɛn
muitas	muˈitas
individual	ˌindiβiðwˈal
serie	sˈeɾjɛ
chacimiento	t͡ʃˌaθimjˈɛnto
aniellos	anjˈɛʎos
satelites	sˌatelˈites
caballo	kaβˈaʎo
expresión	ˌekspɾesjˈon
denomina	dˌenomˈina
component	kˌomponˈentʰ
cambeos	kambˈeos
exclusivament	ˌeksklusˌiβamˈentʰ
electrons	ˌelektɾˈons
clamaus	klamˈa͡ʊs
esfensa	esfˈensa
redota	reðˈota
Gosa	ɣˈosa
antimás	ˌantimˈas
Consellero	kˌonseʎˈeɾo
interna	intˈeɾna
siglos	sˈiɣlos
País	paˈis
temporal	tˌempoɾˈal
titular	tˌitulˈaɾ
transchenero	tɾˌanst͡ʃenˈeɾo
italiana	ˌitaljˈana
chunyo	t͡ʃˈuɲɔ
islam	islˈam
misión	misjˈon
Constitución	kˌonstituθjˈon
composición	kˌomposiθjˈon
dolars	dolˈas
latinas	latˈinas
motivo	motˈiβo
rete	rˈete
álbums	ˈalβums
causa	kˈa͡ʊsa
provincias	pɾoβˈinθjas
parolas	paɾˈolas
hongaros	onɡˈaɾos
menutos	menˈutos
desapareixer	dˌesapˌaɾeʃˈeɾ
selva	sˈelβa
debito	deβˈito
alas	ˈalas
creiximiento	kɾˌeʃimjˈɛnto
mesmos	mˈesmos
esdevinioron	ˌesðeβinjˈɔɾon
ambient	ambjˈɛntʰ
liquido	likˈiðo
variacions	bˌaɾjaθjˈɔns
dependendo	dˌependˈendo
practicas	pɾaktˈikas
explicación	ˌeksplikaθjˈon
financiero	fˌinanθjˈɛɾo
anyals	aɲˈals
aviento	aβjˈɛnto
cada	kˈaða
Beluns	belˈuns
orichinals	ˌoɾit͡ʃinˈals
Academia	ˌakaðˈemja
turquicos	tuɾkˈikos
reino	rˈe͡ɪno
interpretacions	ˌinteɾpɾˌetaθjˈɔns
terminación	tˌeɾminaθjˈon
Golfo	ɣˈolfo
impacto	impˈakto
predominan	pɾˌeðomˈinan
occitans	ˌokθitˈans
veyer	bejˈɛɾ
fibra	fˈiβɾa
arabismos	ˌaɾaβˈismos
copias	kˈopjas
portalada	pˌoɾtalˈaða
musicals	mˌusikˈals
largaria	laɾɣˈaɾja
nominal	nˌominˈal
marguins	maɾɣˈins
tractau	tɾaktˈa͡ʊ
prencipalment	pɾˌenθipalmˈentʰ
tecnico	teknˈiko
programas	pɾoɣɾˈamas
ortodoxos	ˌoɾtoðˈoksos
Ánchel	ˈant͡ʃel
Catalunya	kˌatalˈuɲa
presents	pɾesˈentʰs
trobamos	tɾoβˈamos
Borgonya	boɾɣˈoɲa
Luna	lˈuna
veye	bˈejɛ
chinés	t͡ʃinˈes
opción	opθjˈon
masculín	mˌaskulˈin
sciencia	esθjˈɛnθja
persa	pˈeɾsa
relativa	rˌelatˈiβa
viento	bjˈɛnto
misions	misjˈɔns
Is	ˈis
oposición	ˌoposiθjˈon
busca	bˈuska
maximo	maksˈimo
letras	lˈetɾas
normals	noɾmˈals
Dentro	dˈentɾo
s	ˈɛse
alemán	ˌalemˈan
Sinyor	siɲˈɔɾ
president	pɾˌesiðˈentʰ
individuals	ˌindiβiðwˈals
calient	kaljˈɛntʰ
centros	θˈentɾos
aconsiguió	ˌakonsiɣjˈo
mantién	mantjˈen
ISSN	ˈissn
naixió	naʃjˈo
ofensiva	ˌofensˈiβa
frases	fɾˈases
noción	noθjˈon
participio	pˌaɾtiθˈipjɔ
pocos	pˈokos
ixas	ˈiʃas
selección	sˌelekθjˈon
Lituania	litwˈanja
igual	iɣwˈal
reconoixencia	rˌekonoʃˈenθja
exacta	eksˈakta
vei	bˈe͡ɪ
Autonoma	ˌa͡ʊtonˈoma
lingüisticas	lˌinɡwistˈikas
dividió	dˌiβiðjˈo
Museu	musˈe͡ʊ
avions	aβjˈɔns
Venus	bˈenus
No	nˈo
contar	kontˈaɾ
frisón	fɾisˈon
global	ɡloβˈal
Europa	e͡ʊɾˈopa
meridional	mˌeɾiðjɔnˈal
Occident	ˌokθiðˈentʰ
du	dˈu
cara	kˈaɾa
Ana	ˈana
franca	fɾˈanka
Casas	kˈasas
clara	klˈaɾa
sale	sˈale
perteneixe	pˌeɾtenˈeʃe
cheolochico	t͡ʃˌeolot͡ʃˈiko
representacions	rˌepɾesˌentaθjˈɔns
feitos	fˈe͡ɪtos
membrana	membɾˈana
dependencia	dˌependˈenθja
cucho	kˈut͡ʃo
creye	kɾˈejɛ
cheografica	t͡ʃˌeoɣɾafˈika
distintas	distˈintas
anque	ˈankɛ
Odiseu	ˌoðisˈe͡ʊ
Tena	tˈena
acceder	ˌakθeðˈeɾ
altros	ˈaltɾos
plaza	plˈaθa
B	bˈe
destacatos	dˌestakˈatos
muebles	mwˈɛβles
vez	bˈeθ
cuerpo	kwˈɛɾpo
IX	nʊˈeno
Mare	mˈaɾe
li	li
siguients	siɣjˈɛntʰs
cuento	kwˈɛnto
Atro	ˈatɾo
teniu	tenˈiu
principios	pɾinθˈipjɔs
distintos	distˈintos
centimetros	θˌentimˈetɾos
humán	umˈan
Anque	ˈankɛ
Asinas	asˈinas
ruso	rˈuso
Red	rˈe
establimiento	ˌestaβlimjˈɛnto
equivalent	ˌekiβalˈentʰ
man	mˈan
nombra	nˈombɾa
reinos	rˈe͡ɪnos
doble	dˈoβle
Universal	ˌuniβeɾsˈal
ribagorzano	rˌiβaɣoɾθˈano
pues	pwɛs
n	ˈɛne
entidatz	ˌentiðˈaθ
macizo	maθˈiθo
resultau	rˌesultˈa͡ʊ
nombres	nˈombɾes
remontan	remˈontan
Pueden	pwˈɛðen
trens	tɾˈens
perque	pˈeɾkɛ
fueras	fwˈɛɾas
costumbres	kostˈumbɾes
haigan	ˈa͡ɪɣan
dau	dˈa͡ʊ
definicions	dˌefiniθjˈɔns
consiguioron	kˌonsiɣjˈɔɾon
realiza	rˌealˈiθa
trastes	tɾˈastes
fan	fˈan
producito	pɾˌoðuθˈito
turco	tˈuɾko
ormino	oɾmˈino
emblema	emblˈema
orichen	oɾˈit͡ʃen
denominación	dˌenomˌinaθjˈon
familiar	fˌamiljˈaɾ
figurar	fˌiɣuɾˈaɾ
ta	ta
Royo	rˈojɔ
funda	fˈunda
occidental	ˌokθiðentˈal
derivadas	dˌeɾiβˈaðas
maritimo	mˌaɾitˈimo
tipico	tipˈiko
quimicas	kimˈikas
limfaticos	lˌimfatˈikos
Consello	konsˈeʎo
reparto	repˈaɾto
humano	umˈano
casos	kˈasos
Istos	ˈistos
procede	pɾoθˈeðe
color	kolˈoɾ
primers	pɾimˈes
fuertes	fwˈɛɾtes
pilota	pilˈota
Jack	xˈak
estreita	estɾˈe͡ɪta
representación	rˌepɾesˌentaθjˈon
comercio	komˈeɾθjɔ
rock	rˈok
districto	distɾˈikto
totalidat	tˌotaliðˈatʰ
Moscú	moskˈu
arte	ˈaɾte
respectivament	rˌespektˌiβamˈentʰ
Negra	nˈeɣɾa
dispositivo	dˌispositˈiβo
cultos	kˈultos
diversidat	dˌiβeɾsiðˈatʰ
chicotz	t͡ʃikˈoθ
ampla	ˈampla
derivatos	dˌeɾiβˈatos
adverbio	adβˈeɾβjɔ
Italia	itˈalja
control	kontɾˈol
verticals	bˌeɾtikˈals
prefixo	pɾefˈiʃo
soldatos	solðˈatos
estioron	estjˈɔɾon
chusto	t͡ʃˈusto
Viena	bjˈɛna
orientals	ˌoɾjɛntˈals
verbal	beɾβˈal
rechionals	rˌet͡ʃjɔnˈals
poca	pˈoka
salita	salˈita
profundidat	pɾˌofundiðˈatʰ
boca	bˈoka
aspecto	aspˈekto
gas	ɣˈas
raro	rˈaɾo
substancias	suβstˈanθjas
vien	bjˈɛn
norte	nˈoɾte
siempre	sjˈɛmpɾe
gravación	ɣɾˌaβaθjˈon
aragonés	ˌaɾaɣonˈes
finalidat	fˌinaliðˈatʰ
Territorio	tˌeritˈoɾjɔ
pareixidas	pˌaɾeʃˈiðas
fútbol	fˈutβol
teatro	teˈatɾo
pars	pˈas
sendero	sendˈeɾo
escuelas	eskwˈɛlas
viache	bjˈat͡ʃe
escrita	eskɾˈita
Nuevo	nwˈɛβo
pico	pˈiko
internacional	ˌinteɾnˌaθjɔnˈal
francés	fɾanθˈes
Mallorca	maʎˈoɾka
concepto	konθˈepto
Sindembargo	sˌindembˈaɾɣo
penyas	pˈeɲas
correspondients	kˌorespondjˈɛntʰs
embotada	ˌembotˈaða
Robert	roβˈeɾtʰ
obras	ˈoβɾas
catalana	kˌatalˈana
solos	sˈolos
publicación	pˌuβlikaθjˈon
barrio	bˈarjɔ
legal	leɣˈal
sufrachio	sufɾˈat͡ʃjɔ
navegación	nˌaβeɣaθjˈon
rectangular	rˌektanɡulˈaɾ
dició	diθjˈo
maxima	maksˈima
encomienzan	ˌenkomjˈɛnθan
corazón	kˌoɾaθˈon
disponible	dˌisponˈiβle
femenina	fˌemenˈina
antiga	antˈiɣa
plastico	plastˈiko
piet	pjˈɛtʰ
comparanza	kˌompaɾˈanθa
historicament	ˌistoɾˌikamˈentʰ
propia	pɾˈopja
fases	fˈases
mozarabe	mˌoθaɾˈaβe
extensión	ˌekstensjˈon
Estau	estˈa͡ʊ
calor	kalˈoɾ
Cambridge	kambɾˈidxe
sinyors	siɲˈɔs
modo	mˈoðo
sovietico	sˌoβjɛtˈiko
eleccions	ˌelekθjˈɔns
mugants	muɣˈantʰs
naturaleza	nˌatuɾalˈeθa
linia	lˈinja
alternativa	ˌalteɾnatˈiβa
plato	plˈato
independient	ˌindependjˈɛntʰ
Ferrando	ferˈando
Thomas	tˈomas
hi	ˈi
creyó	kɾejˈo
nombran	nˈombɾan
carreteras	kˌaretˈeɾas
parellas	paɾˈeʎas
naixencia	naʃˈenθja
nomás	nomˈas
prencipios	pɾenθˈipjɔs
proposición	pɾˌoposiθjˈon
líder	lˈiðeɾ
Chardín	t͡ʃaɾðˈin
opera	opˈeɾa
parti	pˈaɾti
pesca	pˈeska
City	θˈiti
perspectiva	pˌeɾspektˈiβa
operativo	ˌopeɾatˈiβo
toneladas	tˌonelˈaðas
capitán	kˌapitˈan
considerada	kˌonsiðeɾˈaða
quimica	kimˈika
conservación	kˌonseɾβaθjˈon
casas	kˈasas
toponimo	tˌoponˈimo
disposición	dˌisposiθjˈon
parques	pˈaɾkɛs
leyenda	lejˈɛnda
relacionadas	rˌelaθjɔnˈaðas
adverbios	adβˈeɾβjɔs
piedras	pjˈɛðɾas
remató	rˌematˈo
en	en
literaria	lˌiteɾˈaɾja
títol	tˈitol
orichinalment	ˌoɾit͡ʃˌinalmˈentʰ
cadena	kaðˈena
serán	seɾˈan
sedimentos	sˌeðimˈentos
clasificar	klˌasifikˈaɾ
continan	kontˈinan
interpresas	ˌinteɾpɾˈesas
estatal	ˌestatˈal
Pireneus	pˌiɾenˈe͡ʊs
bella	bˌeʎa
nacionals	nˌaθjɔnˈals
pre	pɾˈe
depende	depˈende
r	ˈɛre
Cheorchia	t͡ʃeˈoɾt͡ʃja
gara	ɣˈaɾa
hibierno	iβjˈɛɾno
Estatos	estˈatos
emigroron	ˌemiɣɾˈoɾon
temperaturas	tˌempeɾatˈuɾas
diftongación	dˌiftonɡaθjˈon
urbans	uɾβˈans
britanico	βɾˌitanˈiko
coincide	ko͡ɪnθˈiðe
medallas	meðˈaʎas
Comunista	kˌomunˈista
tematica	tˌematˈika
nivels	niβˈels
cabecera	kˌaβeθˈeɾa
plevia	plˈeβja
primero	pɾimˈeɾo
empecipió	ˌempeθipjˈo
baixan	bˈaʃan
unas	ˈunas
Sol	sˈol
musclo	mˈusklo
presonas	pɾesˈonas
popular	pˌopulˈaɾ
mayoría	mˌajɔɾˈia
preposicions	pɾˌeposiθjˈɔns
Parlamento	pˌaɾlamˈento
cambras	kˈambɾas
Unius	unˈius
dividita	dˌiβiðˈita
estándar	estˈandaɾ
formal	foɾmˈal
estrelas	estɾˈelas
faigan	fˈa͡ɪɣan
qüestions	kwestjˈɔns
cargos	kˈaɾɣos
ferramientas	fˌeramjˈɛntas
derivato	dˌeɾiβˈato
habendo	aβˈendo
Reina	rˈe͡ɪna
Puet	pwˈɛtʰ
creticas	kɾetˈikas
Per	peɾ
recibió	rˌeθiβjˈo
piloto	pilˈoto
fesen	fˈesen
adverbial	ˌadβeɾβjˈal
solament	sˌolamˈentʰ
ran	rˈan
chefe	t͡ʃˈefe
eventos	eβˈentos
chinero	t͡ʃinˈeɾo
napas	nˈapas
conoixen	konˈoʃen
sonitos	sonˈitos
aletas	alˈetas
troboron	tɾoβˈoɾon
sinyor	siɲˈɔɾ
longaria	lonɡˈaɾja
Platón	platˈon
crisi	kɾˈisi
amplas	ˈamplas
Pacifico	pˌaθifˈiko
condatos	kondˈatos
deseparau	dˌesepaɾˈa͡ʊ
inferior	ˌimfeɾjˈɔɾ
dió	djˈo
dimpués	dimpwˈes
proposa	pɾopˈosa
to	tˈo
Luenga	lwˈɛnɡa
bandera	bandˈeɾa
lateral	lˌateɾˈal
Nápols	nˈapols
chunto	t͡ʃˈunto
Espanya	espˈaɲa
cinco	θˈinko
subchecto	subt͡ʃˈekto
dels	dˈels
qui	ki
Maria	mˈaɾja
vin	bˈin
opinión	ˌopinjˈon
chóven	t͡ʃˈoβen
ciertas	θjˈɛɾtas
sistemas	sistˈemas
actas	ˈaktas
potencias	potˈenθjas
parellana	pˌaɾeʎˈana
lexica	leksˈika
irregularidatz	ˌireɣˌulaɾiðˈaθ
ditos	dˈitos
lochica	lot͡ʃˈika
salen	sˈalen
procesos	pɾoθˈesos
padre	pˈaðɾe
plegando	pleɣˈando
celebra	θelˈeβɾa
correcta	korˈekta
imachen	imˈat͡ʃen
licencia	liθˈenθja
Ista	ˈista
puesto	pwˈɛsto
allora	aʎˈoɾa
guitarrista	ɡˌitarˈista
ellos	ˈeʎos
naiximiento	nˌaʃimjˈɛnto
cheso	t͡ʃˈeso
casó	kasˈo
aragoneses	ˌaɾaɣonˈeses
substantivo	sˌuβstantˈiβo
tipos	tˈipos
Ta	ta
poco	pˈoko
montanya	montˈaɲa
grafico	ɣɾafˈiko
demás	demˈas
ell	ˈel
feble	fˈeβle
variants	baɾjˈantʰs
chodiga	t͡ʃoðˈiɣa
Antis	ˈantis
seccions	sekθjˈɔns
une	ˈune
fenomeno	fˌenomˈeno
operación	ˌopeɾaθjˈon
fluvials	fluβjˈals
africana	ˌafɾikˈana
saxón	saksˈon
materials	mˌateɾjˈals
costatos	kostˈatos
traducción	tɾˌaðukθjˈon
latín	latˈin
Campo	kˈampo
luego	lwˈɛɣo
prencipia	pɾenθˈipja
ceramica	θˌeɾamˈika
Antiparte	ˌantipˈaɾte
Saint	sˈa͡ɪntʰ
ganó	ɣanˈo
va	bˈa
estreito	estɾˈe͡ɪto
robots	roβˈotʰs
