เกลือก	klɯa̯k̚˨˩
อากาศยานไร้คนขับ	ʔaː˧.kaːt̚˨˩.sa˨˩.jaːn˧.raj˦˥.kʰon˧.kʰap̚˨˩
กุ้ง	kuŋ˥˩
มีดโกน	miːt̚˥˩.koːn˧
นักพนัน	nak̚˦˥.pʰa˦˥.nan˧
ฆาตกร	kʰaːt̚˥˩.ta˨˩.kɔːn˧
อรุณสวัสดิ์	ʔa˨˩.run˧.sa˨˩.wat̚˨˩
แคนซัส	kʰɛːn˧.sas˦˥,kʰɛn˧.sas˦˥
การตาม	kaːn˧.taːm˧
ยาง	jaːŋ˧
มั่ว	mua̯˥˩
ช่างทอง	t͡ɕʰaːŋ˥˩.tʰɔːŋ˧
ความสว่าง	kʰwaːm˧.sa˨˩.waːŋ˨˩
ทุรยศ	tʰu˦˥.ra˦˥.jot̚˦˥
ปอง	pɔːŋ˧
ยาสูบ	jaː˧.suːp̚˨˩
คนธรรพ์	kʰon˧.tʰan˧
สเก็ต	sa˨˩.ket̚˦˥
รับของโจร	rap̚˦˥.kʰɔːŋ˩˩˦.t͡ɕoːn˧
แฟ้บ	fɛp̚˦˥
ประเทียบ	pra˨˩.tʰia̯p̚˥˩
ซอย	sɔːj˧
น่ากิน	naː˥˩.kin˧
ค้นพบ	kʰon˦˥.pʰop̚˦˥
มาตรา	maːt̚˥˩.traː˧
เก็บกวาด	kep̚˨˩.kwaːt̚˨˩
ซูรินาม	suː˧.ri˦˥.naːm˧
ร	rɔː˧
กะหล่ำปลี	ka˨˩.lam˨˩.pliː˧
ควร	kʰua̯n˧
ชอล์ค	t͡ɕʰɔk̚˦˥
ชาวสีม่วง	t͡ɕʰaːw˧.siː˩˩˦.mua̯ŋ˥˩
อาหรับ	ʔaː˧.rap̚˨˩
ริดสีดวงทวาร	rit̚˦˥.siː˩˩˦.dua̯ŋ˧.tʰa˦˥.waːn˧
ฝุ่นเมือง	fun˨˩.mɯa̯ŋ˧
ไต้	taːj˥˩
เนตรนารี	neːt̚˥˩.naː˧.riː˧
รังแก	raŋ˧.kɛː˧
วลี	wa˦˥.liː˧
จุลมงกุฎ	t͡ɕun˧.la˦˥.moŋ˧.kut̚˨˩
เพนกวิน	pʰen˧.kwin˥˩,pʰeːn˧.kwin˥˩
ประเสริฐ	pra˨˩.sɤːt̚˨˩
อั้งหม้อ	ʔaŋ˥˩.mɔː˥˩
หลอนหู	lɔːn˩˩˦.huː˩˩˦
เหิน	hɤːn˩˩˦
สมณ	sa˨˩.ma˦˥.naʔ˦˥
กระดานโต้คลื่น	kra˨˩.daːn˧.toː˥˩.kʰlɯːn˥˩
แย้ง	jɛːŋ˦˥
ว.	wɔː˧
หน้าหนา	naː˥˩.naː˩˩˦
การเดิน	kaːn˧.dɤːn˧
ชิมแปนซี	t͡ɕʰim˧.pɛːn˧.siː˧
นร	nɔː˧.ra˦˥.,na˦˥.ra˦˥.
พูน	pʰuːn˧
ดาดฟ้า	daːt̚˨˩.faː˦˥
กระจอก	kra˨˩.t͡ɕɔːk̚˨˩
สมชาย	som˩˩˦.t͡ɕʰaːj˧
สุ่ม	sum˨˩
หมอย	mɔj˩˩˦,mɔːj˩˩˦
คำให้การ	kʰam˧.haj˥˩.kaːn˧
อีเต้อ	ʔiː˧.tɤː˥˩
เอกมัย	ʔeːk̚˨˩.ka˨˩.maj˧
ย่าม	jaːm˥˩
เจ้าข้า	t͡ɕaw˥˩.kʰaː˥˩
ขนมปังปิ้ง	kʰa˨˩.nom˩˩˦.paŋ˧.piŋ˥˩
สันตะสำนัก	san˩˩˦.ta˨˩.sam˩˩˦.nak̚˦˥
ลาก่อน	laː˧.kɔːn˨˩
นักวิชาการ	nak̚˦˥.wi˦˥.t͡ɕʰaː˧.kaːn˧
การฆ่าช้างเอางา	kaːn˧.kʰaː˥˩.t͡ɕʰaːŋ˦˥.ʔaw˧.ŋaː˧
สหกรณ์	sa˨˩.ha˨˩.kɔːn˧
กากรุน	kaːk̚˨˩.run˧
วินัย	wi˦˥.naj˧
มหาบพิตร	ma˦˥.haː˩˩˦.bɔː˧.pʰit̚˦˥
แปลไทยเป็นไทย	plɛː˧.tʰaj˧.pen˧.tʰaj˧
ส้วม	sua̯m˥˩
หล่อ	lɔː˨˩
สารแขวนลอย	saːn˩˩˦.kʰwɛːn˩˩˦.lɔːj˧
พลการ	pʰa˦˥.la˦˥.kaːn˧
คาร์บอน	kʰaː˧.bɔn˥˩
พื้นดิน	pʰɯːn˦˥.din˧
เฒ่าหัวงู	tʰaw˥˩.hua̯˩˩˦.ŋuː˧
รุก	ruk̚˦˥
รัตณะ	rat̚˦˥.ta˨˩.naʔ˦˥
ห้า	haː˥˩
อธิปัตย์	ʔa˨˩.tʰi˦˥.pat̚˨˩
การร้องไห้	kaːn˧.rɔːŋ˦˥.haːj˥˩
ดอกเตอร์	dɔk̚˦˥.tɤː˥˩
ความตื้นเขิน	kʰwaːm˧.tɯːn˥˩.kʰɤːn˩˩˦
วานิลลา	wa˦˥.ni˦˥.laː˧
เทอร์เบียม	tʰɤː˧.bia̯m˥˩
ร่างกุ้ง	raːŋ˥˩.kuŋ˥˩
พม่า	pʰa˦˥.maː˥˩
เครื่องเสวย	kʰrɯa̯ŋ˥˩.sa˨˩.wɤːj˩˩˦
ราชย์	raːt̚˥˩,raːt̚˥˩.t͡ɕʰa˦˥.ja˦˥.
พี่	pʰiː˥˩
ธุลี	tʰu˦˥.liː˧
วิตถาร	wit̚˦˥.tʰaːn˩˩˦
น้ำท่วม	naːm˦˥.tʰua̯m˥˩
ตลก	ta˨˩.lok̚˨˩
โมเต็ล	moː˧.ten˧,moː˧.tel˧
เอาใจออกห่าง	ʔaw˧.t͡ɕaj˧.ʔɔːk̚˨˩.haːŋ˨˩
ค่าคงตัว	kʰaː˥˩.kʰoŋ˧.tua̯˧
ฌ	t͡ɕʰɔː˧
ชะนี	t͡ɕʰa˦˥.niː˧
สี่เหลี่ยมจัตุรัส	siː˨˩.lia̯m˨˩.t͡ɕat̚˨˩.tu˨˩.rat̚˨˩
น้ำมันดิน	nam˦˥.man˧.din˧
เอื้อง	ʔɯa̯ŋ˥˩
การแข็งตัว	kaːn˧.kʰɛŋ˩˩˦.tua̯˧
เน่า	naw˥˩
นักวิ่ง	nak̚˦˥.wiŋ˥˩
ละเอียด	la˦˥.ʔia̯t̚˨˩
โท	tʰoː˧
กระถางต้นไม้	kra˨˩.tʰaːŋ˩˩˦.ton˥˩.maːj˦˥
ทัพไชย	tʰap̚˦˥.t͡ɕʰaj˧
การขัดกันด้วยอาวุธ	kaːn˧.kʰat̚˨˩.kan˧.dua̯j˥˩.ʔaː˧.wut̚˦˥
ส.ค.	sɔː˩˩˦.kʰɔː˧
นิติกรรมอำพราง	ni˦˥.ti˨˩.kam˧.ʔam˧.pʰraːŋ˧
โดยเฉพาะ	doːj˧.t͡ɕʰa˨˩.pʰɔʔ˦˥
ผ้าพันแผล	pʰaː˥˩.pʰan˧.pʰlɛː˩˩˦
วาระซ่อนเร้น	waː˧.ra˦˥.sɔːn˥˩.reːn˦˥
คีต	kʰiːt̚˥˩,kʰiː˧.ta˨˩.
ขั้น	kʰan˥˩
น้ำมนตร์	naːm˦˥.mon˧
น้ำใจนักกีฬา	nam˦˥.t͡ɕaj˧.nak̚˦˥.kiː˧.laː˧
มะปราง	ma˦˥.praːŋ˧
ห่อหมก	hɔː˨˩.mok̚˨˩
ขอยืม	kʰɔː˩˩˦.jɯːm˧
น้ำสังข์	naːm˦˥.saŋ˩˩˦
กับ	kap̚˨˩
ไม้หนีบผ้า	maːj˦˥.niːp̚˨˩.pʰaː˥˩
สหาย	sa˨˩.haːj˩˩˦
ปิตาธิปไตย	pi˨˩.taː˧.tʰip̚˦˥.pa˨˩.taj˧,pi˨˩.taː˧.tʰi˦˥.pa˨˩.taj˧
พ.ศ.	pʰɔː˧.sɔː˩˩˦
ฟันน้ำนม	fan˧.naːm˦˥.nom˧
ถุงน้ำดี	tʰuŋ˩˩˦.naːm˦˥.diː˧
ตะขอ	ta˨˩.kʰɔː˩˩˦
สมเด็จบรมบพิตรพระราชสมภารเจ้า	som˩˩˦.det̚˨˩.bɔː˧.rom˧.ma˦˥.bɔː˧.pʰit̚˦˥.pʰra˦˥.raːt̚˥˩.t͡ɕʰa˦˥.som˩˩˦.pʰaː˧.ra˦˥.t͡ɕaːw˥˩
ความถี่	kʰwaːm˧.tʰiː˨˩
ที่รัก	tʰiː˥˩.rak̚˦˥
ท้าวพระยา	tʰaːw˦˥.pʰra˦˥.jaː˧
แฮฟเนียม	hɛːf˦˥.nia̯m˥˩
เสี้ยม	sia̯m˥˩
เตง	teːŋ˧
หลวม	lua̯m˩˩˦
โทรศัพท์เคลื่อนที่	tʰoː˧.ra˦˥.sap̚˨˩.kʰlɯa̯n˥˩.tʰiː˥˩
การอภิบาล	kaːn˧.ʔa˨˩.pʰi˦˥.baːn˧
บาศก์	baːt̚˨˩
มลภาวะ	mon˧.la˦˥.pʰaː˧.waʔ˦˥,mon˧.pʰaː˧.waʔ˦˥
แหล่ง	lɛŋ˨˩
คุณธรรม	kʰun˧.na˦˥.tʰam˧
น้ำปูนใส	naːm˦˥.puːn˧.saj˩˩˦
ไล่ผี	laj˥˩.pʰiː˩˩˦
ชักดาบ	t͡ɕʰak̚˦˥.daːp̚˨˩
อเนกประสงค์	ʔa˨˩.neːk̚˥˩.pra˨˩.soŋ˩˩˦
แท็กซี่	tʰɛk̚˦˥.siː˥˩
ท่วง	tʰua̯ŋ˥˩
วิลาด	wi˦˥.laːt̚˥˩
เจ้าสัว	t͡ɕaw˥˩.sua̯˩˩˦
กุมาร	ku˨˩.maː˧.ra˦˥.,ku˨˩.maːn˧
การทำมาหากิน	kaːn˧.tʰam˧.maː˧.haː˩˩˦.kin˧
การละอาย	kaːn˧.la˦˥.ʔaːj˧
ประชัน	pra˨˩.t͡ɕʰan˧
การตัดมิให้รับมรดก	kaːn˧.tat̚˨˩.mi˦˥.haj˥˩.rap̚˦˥.mɔː˧.ra˦˥.dok̚˨˩
รามเมศวร	raːm˧.meː˧.sua̯n˩˩˦
ปั้น	pan˥˩
กริยาวิเศษณ์	ka˨˩.ri˦˥.jaː˧.wi˦˥.seːt̚˨˩,kri˨˩.jaː˧.wi˦˥.seːt̚˨˩
งอก	ŋɔːk̚˥˩
กุลบดี	kun˧.la˦˥.bɔː˧.diː˧
ทบทวน	tʰop̚˦˥.tʰua̯n˧
บพิตร	bɔː˧.pʰit̚˦˥
ขอทาน	kʰɔː˩˩˦.tʰaːn˧
แกล้ง	klɛːŋ˥˩
โอ	ʔoː˧
เบี้ย	bia̯˥˩
วาทศาสตร์	waː˧.tʰa˦˥.saːt̚˨˩
สิ่งของ	siŋ˨˩.kʰɔːŋ˩˩˦
อดเปรี้ยวไว้กินหวาน	ʔot̚˨˩.pria̯w˥˩.waj˦˥.kin˧.waːn˩˩˦
วัตถุประสงค์	wat̚˦˥.tʰu˨˩.pra˨˩.soŋ˩˩˦
ลามะ	laː˧.maʔ˦˥
โต๊ะจีน	toʔ˦˥.t͡ɕiːn˧
เครา	kʰraw˧
ระบาย	ra˦˥.baːj˧
ธง	tʰoŋ˧
ปราจีนบุรี	praː˧.t͡ɕiːn˧.bu˨˩.riː˧
เผชิญ	pʰa˨˩.t͡ɕʰɤːn˧
หลานชาย	laːn˩˩˦.t͡ɕʰaːj˧
แล้วจึง	lɛːw˦˥.t͡ɕɯŋ˧
ระกา	ra˦˥.kaː˧
ติชม	ti˨˩.t͡ɕʰom˧
ความกลัวดอกพิกุลจะร่วง	kʰwaːm˧.klua̯˧.dɔːk̚˨˩.pʰi˦˥.kun˧.t͡ɕa˨˩.rua̯ŋ˥˩
น้อย	nɔːj˦˥
ปาดหน้า	paːt̚˨˩.naː˥˩
วอลรัส	wɔːl˧.ras˦˥
มกุฎราชกุมาร	ma˦˥.kut̚˨˩.raːt̚˥˩.t͡ɕʰa˦˥.ku˨˩.maːn˧
เงินเดือน	ŋɤn˧.dɯa̯n˧
โอ๊ก	ʔoːk̚˦˥
วานร	waː˧.nɔːn˧
เอา	ʔaw˧
มายาคติ	maː˧.jaː˧.kʰa˦˥.tiʔ˨˩
โคโลราโด	kʰoː˧.loː˧.raː˧.doː˥˩
หมาด	maːt̚˨˩
ทานตะวัน	tʰaːn˧.ta˨˩.wan˧
บ่อน	bɔn˨˩
บุพทิศ	bup̚˨˩.pʰa˦˥.tʰit̚˦˥
คาปรับ	kʰaː˧.prap̚˨˩
ไฝ่	faj˨˩
โฟโตชอป	foː˧.toː˥˩.t͡ɕʰɔp̚˨˩
เว้า	waw˦˥
อานุภาพ	ʔaː˧.nu˦˥.pʰaːp̚˥˩
ตำแหน่ง	tam˧.nɛŋ˨˩
ล	lɔː˧
การระเหิด	kaːn˧.ra˦˥.hɤːt̚˨˩
ฤดูฝน	rɯ˦˥.duː˧.fon˩˩˦
บรัสเซลส์	bras˦˥.seːl˧
เครื่องสูบ	kʰrɯa̯ŋ˥˩.suːp̚˨˩
แตะ	tɛʔ˨˩
ผู้ผลิต	pʰuː˥˩.pʰa˨˩.lit̚˨˩
เอารส	ʔaw˧.rot̚˦˥.,ʔaw˧.ra˦˥.sa˨˩.,ʔaw˧.rot̚˦˥
แขกดำ	kʰɛːk̚˨˩.dam˧
แสลง	sa˨˩.lɛːŋ˩˩˦
เทพี	tʰeː˧.pʰiː˧
แคลงใจ	kʰlɛːŋ˧.t͡ɕaj˧
มุขยประโยค	muk̚˦˥.kʰa˨˩.ja˦˥.pra˨˩.joːk̚˨˩
สก็อต	sa˨˩.kɔt̚˨˩
หญิงงามเมือง	jiŋ˩˩˦.ŋaːm˧.mɯa̯ŋ˧
สังขาร	saŋ˩˩˦.kʰaːn˩˩˦
บัลลาสต์	bal˧.laːt̚˨˩,ban˧.laːt̚˨˩
แปรพักตร์	prɛː˧.pʰak̚˦˥
ขาม	kʰaːm˩˩˦
ทานข้าว	tʰaːn˧.kʰaːw˥˩
อำนวย	ʔam˧.nua̯j˧
แพนงเชิง	pʰa˦˥.nɛːŋ˧.t͡ɕʰɤːŋ˧
ติดต่อ	tit̚˨˩.tɔː˨˩
ที่เก้า	tʰiː˥˩.kaw˥˩
วะ	waʔ˦˥
บูร์กินาฟาโซ	buː˧.ki˨˩.naː˥˩.faː˧.soː˥˩,buː˧.ki˨˩.naː˥˩.faː˧.soː˧,buː˧.ki˨˩.naː˧.faː˧.soː˧
มนตร์	mon˧
กินเมือง	kin˧.mɯa̯ŋ˧
ล่วงล้ำ	lua̯ŋ˥˩.lam˦˥
ข้น	kʰon˥˩
ลึงค์	lɯŋ˧
ทรราชย์	tʰɔː˧.ra˦˥.raːt̚˥˩
แมน	mɛːn˧
ลมฟ้าอากาศ	lom˧.faː˦˥.ʔaː˧.kaːt̚˨˩
ชีวนิเวศ	t͡ɕʰiː˧.wa˦˥.ni˦˥.weːt̚˥˩
ทั้งหมด	tʰaŋ˦˥.mot̚˨˩
คืนหมาหอน	kʰɯːn˧.maː˩˩˦.hɔːn˩˩˦
สุนัขป่า	su˨˩.nak̚˦˥.paː˨˩
เหลา	law˩˩˦,heː˩˩˦.laː˧
อยู่ไฟ	juː˨˩.faj˧
เฮ	heː˧
หลังไมค์	laŋ˩˩˦.maj˧
ทันควัน	tʰan˧.kʰwan˧
ความต้านทานไฟฟ้า	kʰwaːm˧.taːn˥˩.tʰaːn˧.faj˧.faː˦˥
อำนาจเจริญ	ʔam˧.naːt̚˥˩.t͡ɕa˨˩.rɤːn˧
ระเบียบ	ra˦˥.bia̯p̚˨˩
เครื่องบิน	kʰrɯa̯ŋ˥˩.bin˧
สวัสติกะ	sa˨˩.wat̚˨˩.ti˨˩.kaʔ˨˩,sa˧.wat̚˨˩.ti˨˩.kaʔ˨˩
คาบูล	kʰaː˧.buːl˧
ขมุ	kʰa˨˩.muʔ˨˩
ให้สัตยาบัน	haj˥˩.sat̚˨˩.ta˨˩.jaː˧.ban˧
ฦๅ	lɯː˧
ก๊อป	kɔp̚˦˥
ต่างด้าว	taːŋ˨˩.daːw˥˩
การควง	kaːn˧.kʰua̯ŋ˧
น้ำเต้าหู้	naːm˦˥.taw˥˩.huː˥˩
นันทนาการ	nan˧.tʰa˦˥.naː˧.kaːn˧
สิว	siw˩˩˦
พุทธ	pʰut̚˦˥,pʰut̚˦˥.tʰa˦˥.
ปฏิเสธ	pa˨˩.ti˨˩.seːt̚˨˩
สัญลักษณ์	san˩˩˦.ja˦˥.lak̚˦˥
องค์คณะ	ʔoŋ˧.kʰa˦˥.naʔ˦˥
การบิน	kaːn˧.bin˧
ระยำ	ra˦˥.jam˧
ผับ	pʰap̚˨˩
ไถ	tʰaj˩˩˦
เศร้าใจ	saw˥˩.t͡ɕaj˧
บัตร	bat̚˨˩
คะ	kʰaʔ˦˥
สิ	siʔ˨˩
กะทะ	ka˨˩.tʰaʔ˦˥
ถุงมือ	tʰuŋ˩˩˦.mɯː˧
ลมบ้าหมู	lom˧.baː˥˩.muː˩˩˦
มนุษย์กบ	ma˦˥.nut̚˦˥.kop̚˨˩
เมฆ	meːk̚˥˩
กาลานุกรม	kaː˧.laː˧.nu˦˥.krom˧
หางม้า	haːŋ˩˩˦.maː˦˥
ผู้สำเร็จราชการ	pʰuː˥˩.sam˩˩˦.ret̚˨˩.raːt̚˥˩.t͡ɕʰa˦˥.kaːn˧
พจนานุกรม	pʰot̚˦˥.t͡ɕa˨˩.naː˧.nu˦˥.krom˧
พอ	pʰɔː˧
โล่	loː˥˩
เตาอบไมโครเวฟ	taw˧.ʔop̚˨˩.maj˧.kʰroː˧.weːp̚˥˩,taw˧.ʔop̚˨˩.maj˧.kʰroː˧.weːf˦˥,taw˧.ʔop̚˨˩.maj˧.kʰroː˧.weːf˥˩,taw˧.ʔop̚˨˩.maj˧.kʰroː˧.weːp̚˦˥
ขั้ว	kʰua̯˥˩
ท้า	tʰaː˦˥
หอคอย	hɔː˩˩˦.kʰɔːj˧
หน้าใหญ่ใจโต	naː˥˩.jaj˨˩.t͡ɕaj˧.toː˧
เจว็ด	t͡ɕa˨˩.wet̚˨˩
การแข่งขัน	kaːn˧.kʰɛŋ˨˩.kʰan˩˩˦
เขียว	kʰia̯w˩˩˦
เมิน	mɤːn˧
ถ่าย	tʰaːj˨˩
องค์ประชุม	ʔoŋ˧.pra˨˩.t͡ɕʰum˧
โทส	tʰoː˧.sa˨˩.,tʰoːt̚˥˩
โอเค	ʔoː˧.kʰeː˧
การไกล่เกลี่ย	kaːn˧.klaj˨˩.klia̯˨˩
ไลเคน	laj˧.kʰen˥˩
ความเครียด	kʰwaːm˧.kʰria̯t̚˥˩
ทรงผม	soŋ˧.pʰom˩˩˦
คำทับศัพท์	kʰam˧.tʰap̚˦˥.sap̚˨˩
กังไส	kaŋ˧.saj˩˩˦
ความปลอดภัย	kʰwaːm˧.plɔːt̚˨˩.pʰaj˧
ภายใต้	pʰaːj˧.taːj˥˩
ประโยคความรวม	pra˨˩.joːk̚˨˩.kʰwaːm˧.rua̯m˧
การจลาจล	kaːn˧.t͡ɕa˨˩.laː˧.t͡ɕon˧
อนุมัติ	ʔa˨˩.nu˦˥.mat̚˦˥
แอสไพริน	ʔɛːs˦˥.pʰaj˧.rin˧
พลาสติก	pʰlaːt̚˦˥.sa˨˩.tik̚˨˩,pʰlaːs˦˥.tik̚˨˩
ลื่อ	lɯː˥˩
แกงได	kɛːŋ˧.daj˧
การแถ	kaːn˧.tʰɛː˩˩˦
เรือข้ามฟาก	rɯa̯˧.kʰaːm˥˩.faːk̚˥˩
ชิ่ง	t͡ɕʰiŋ˥˩
ละครสัตว์	la˦˥.kʰɔːn˧.sat̚˨˩
ตุ่มมังกร	tum˨˩.maŋ˧.kɔːn˧
นาฬิกาน้ำ	naː˧.li˦˥.kaː˧.naːm˦˥
จำนวนธรรมชาติ	t͡ɕam˧.nua̯n˧.tʰam˧.ma˦˥.t͡ɕʰaːt̚˥˩
เภท	pʰeːt̚˥˩
การเสียโฉม	kaːn˧.sia̯˩˩˦.t͡ɕʰoːm˩˩˦
สังค์	saŋ˩˩˦
เก๋า	kaw˩˩˦
แฟ็กซ์	fɛk̚s˨˩,fɛk̚˨˩
เปิดเผย	pɤːt̚˨˩.pʰɤːj˩˩˦
ต.ต.	tɔː˧.tɔː˧
แสนปม	sɛːn˩˩˦.pom˧
บุษราคัม	but̚˨˩.sa˨˩.raː˧.kʰam˧
ที่สุด	tʰiː˥˩.sut̚˨˩
ปก	pok̚˨˩
แอลจีเรีย	ʔɛl˧.t͡ɕiː˧.ria̯˧,ʔɛn˧.t͡ɕiː˧.ria̯˧
แฉะ	t͡ɕʰɛʔ˨˩
กิโลฯ	ki˨˩.loː˧,ki˧.loː˧
กรีนแลนด์	kriːn˧.lɛːn˧
ทำให้	tʰam˧.haj˥˩
ผสมเกสร	pʰa˨˩.som˩˩˦.keː˧.sɔːn˩˩˦
จุ	t͡ɕuʔ˨˩
พิธีการ	pʰi˦˥.tʰiː˧.kaːn˧
ไอโอวา	ʔaj˧.ʔoː˧.waː˥˩
ละเมิด	la˦˥.mɤːt̚˥˩
ฝึกปรือ	fɯk̚˨˩.prɯː˧
เลขศาสตร์	leːk̚˥˩.kʰa˨˩.saːt̚˨˩
บัตรสนเท่ห์	bat̚˨˩.son˩˩˦.tʰeː˥˩
สยามินทร์	sa˨˩.jaː˩˩˦.min˧
เซลล์	seːl˧
รยางค์	ra˦˥.jaːŋ˧
กลองยาว	klɔːŋ˧.jaːw˧
อุปนิสัย	ʔup̚˨˩.pa˨˩.ni˦˥.saj˩˩˦,ʔu˨˩.pa˨˩.ni˦˥.saj˩˩˦
ธารกำนัล	tʰaː˧.ra˦˥.kam˧.nan˧
หมู่เกาะแฟโร	muː˨˩.kɔʔ˨˩.fɛː˧.roː˥˩
ความคม	kʰwaːm˧.kʰom˧
ตะกั่ว	ta˨˩.kua̯˨˩
ปีก	piːk̚˨˩
บูรพทิศ	buː˧.ra˦˥.pʰa˦˥.tʰit̚˦˥
สระ	sa˨˩.raʔ˦˥,saʔ˨˩,sa˧.raʔ˨˩,sa˨˩.raʔ˨˩,sa˧.raʔ˦˥
ความเกรียน	kʰwaːm˧.kria̯n˧
พิธี	pʰi˦˥.tʰiː˧
อ่างล้างหน้า	ʔaːŋ˨˩.laːŋ˦˥.naː˥˩
บุพเพสันนิวาส	bup̚˨˩.pʰeː˧.san˩˩˦.ni˦˥.waːt̚˥˩
การสังหารหมู่	kaːn˧.saŋ˩˩˦.haːn˩˩˦.muː˨˩
เกลี่ย	klia̯˨˩
แบบจำลอง	bɛːp̚˨˩.t͡ɕam˧.lɔːŋ˧
นิวยอร์ก	niw˧.jɔːk̚˦˥,niw˧.jɔːk̚˨˩
กงการ	koŋ˧.kaːn˧
ไวรัส	waj˧.ras˦˥,waj˧.rat̚˦˥
เกลียดชัง	klia̯t̚˨˩.t͡ɕʰaŋ˧
เรไร	reː˧.raj˧
ฮันบก	han˧.bok̚˨˩
โปรย	proːj˧
สวิตช์	sa˧.wit̚˦˥,sa˨˩.wit̚˦˥
ระหว่างประเทศ	ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩
ต่างชาติ	taːŋ˨˩.t͡ɕʰaːt̚˥˩
ขวัญ	kʰwan˩˩˦
อริยบุคคล	ʔa˨˩.ri˦˥.ja˦˥.buk̚˨˩.kʰon˧
เกลียดปลาไหลกินน้ำแกง	klia̯t̚˨˩.plaː˧.laj˩˩˦.kin˧.naːm˦˥.kɛːŋ˧
เนียง	nia̯ŋ˧
มั่งมี	maŋ˥˩.miː˧
ศาสตราจารย์	saːt̚˨˩.sa˨˩.traː˧.t͡ɕaːn˧,saːt̚˨˩.traː˧.t͡ɕaːn˧
บางครั้ง	baːŋ˧.kʰraŋ˦˥
นก	nok̚˦˥
ดับลิน	dap̚˦˥.lin˧,dap̚˦˥.lin˥˩
รายปี	raːj˧.piː˧
ความหนืด	kʰwaːm˧.nɯːt̚˨˩
เดินทาง	dɤːn˧.tʰaːŋ˧
กวี	ka˨˩.wiː˧
ไทเบิ้ง	tʰaj˧.bɤːŋ˥˩
ไขมันไม่อิ่มตัว	kʰaj˩˩˦.man˧.maj˥˩.ʔim˨˩.tua̯˧
กันสาด	kan˧.saːt̚˨˩
ดุจ	dut̚˨˩
อัตโนมัติ	ʔat̚˨˩.ta˨˩.noː˧.mat̚˦˥
ท้าวพญา	tʰaːw˦˥.pʰa˦˥.jaː˧
ปอย	pɔːj˧
ผาสุข	pʰaː˩˩˦.suk̚˨˩
บำรุง	bam˧.ruŋ˧
หินย้อย	hin˩˩˦.jɔːj˦˥
ปล่อยไก่	plɔj˨˩.kaj˨˩
การขัน	kaːn˧.kʰan˩˩˦
เจ็ดเหลี่ยม	t͡ɕet̚˨˩.lia̯m˨˩
วิสาขบูชา	wi˦˥.saː˩˩˦.kʰa˨˩.buː˧.t͡ɕʰaː˧
ตัวหารร่วมมาก	tua̯˧.haːn˩˩˦.rua̯m˥˩.maːk̚˥˩
การลา	kaːn˧.laː˧
เห่า	haw˨˩
นายก	naː˧.jok̚˦˥
ปรับ	prap̚˨˩
ตาบอดสี	taː˧.bɔːt̚˨˩.siː˩˩˦
หลอม	lɔːm˩˩˦
