гъогурыгъуазэ	ʁʷaɡʷrəʁʷaːza
укӏьытэн	wəkʲʼətan
лъытэн	ɬətan
лъэкӏапӏ	ɬat͡ʃaːpʼa
шъхьэӏух	ʂħaʔʷəx
тепщэч	tajpɕat͡ʃ
зыплъыхьын	zəpɬəħən
къухьэ	qʷəħa
гурыгъэӏон	ɡʷərəʔʷan
чӏэрэп	t͡ʂʼarap
блэпкӏын	blapt͡ʃʼən
утэцэн	wətat͡san
пэӏоталъхьэ	paʔʷataːlħa
хыӏушъо	xəʔʷəʃʷa
хьарзэ	ħaːpza
гъэпыин	ʁapəjən
къэгъэнэжьын	qaʁanaʑən
фэд	fad
ахъчэнэпцӏшӏ	aːχt͡ʃanapt͡sʼʃʼ
фэшъуашэу	faʃʷaːʃaw
быбыжьын	bəbəʑən
бгъашхъо	bʁaːʃχʷa
дапӏэ	daːpʼa
къэгъэфын	qaʁafən
о	wa
тэжъутхэн	taʒʷətxan
цу	t͡ʃʷə
къузмэзадэ	qʷəzmazaːda
гуӏэн	ɡʷəʔan
дэгъэзын	daʁazən
быбыпӏ	bəbəpʼ
махъушэбзу	maːχʷʃabzəw
пхъэкӏэн	pχat͡ʃan
тхыкъупшъхь	txəqʷəpʂħ
шыфэн	ʃəfan
феуэн	fajwan
зэкӏэугъоен	zat͡ʃʼawʁʷawan
пшъын	pʂən
бжъащэ	bʐaːɕa
дзэпщ	d͡zapɕə
зэмылӏэужыгъу	zaməɬʼawʒəʁʷ
жэмай	ʒamaːj
хьэжъ	ħaʐ
псэуалъэ	psawaɬaʃʼəpʼ
шъэо	ʂawa
гъыбзэ	ʁəbza
ӏэбжыб	ʔabʒəb
пэмкӏыр	pamt͡ʃər
къэптан	qaptaːn
щайуц	ɕaːjwət͡s
бзэгужъый	bzaɡʷʐəj
чӏэщыкӏьын	tʂaɕəkʼən
ренэу	rajnaw
бзэджашӏэ	bzad͡ʒaːʃʼa
къуао	qʷaːwa
пылъэн	pəɬan
мэфэзакъу	mafazaːqʷ
жъотхъу	ʐʷatχʷ
къыухьан	qəwəħaːn
ушхъухьан	wəʃχʷħaːn
чъужъ	t͡ʃʷəʐ
пцае	pt͡saːja
пысын	pəsən
пчыхьапэ	pt͡ʃəħaːpa
кӏэтыщх	t͡ʃatəɕx
шъэожъые	ʂawaʐəja
къолэнсэлэн	qʷalansalan
мэшто	məʃtəw
чъыӏалӏэ	t͡ʂəʔaːɬʼa
гъэкъэркъэтэн	ʁaqarqatan
мэхъаджэ	maχaːd͡ʒa
ныбгъэшъу	nəbʁaʂʷ
фэӏэпыӏас	faʔapəʔaːs
мэкьэн	makʲan
бырацэ	bəraːt͡sa
гыны	ɣənə
тхьэмыдэ	tħaməda
папсӏэ	paːpsʼa
хьатыякӏо	ħaːtəjaːkʷʼa
къуахъо	qʷaːχʷa
мыщгъум	məɕʁʷəm
къарэу	qaːraw
мэцӏэцӏэн	mat͡sʼat͡sʼan
ӏорышӏэ	ʔʷarəʃʼa
гъоу	ʁʷaw
мэкьэрэзын	makʲarazən
мэуэн	mawan
ӏупс	ʔʷəp
ежь	jaʑ
папкӏэ	paːpt͡ʃʼa
къегъэкӏын	qajʁat͡ʃʼən
къэкӏын	qat͡ʃʼəm
тыгъэнэстыр	təʁanastər
цуэкъокӏэхь	t͡ʃʷaqʷat͡ʃʼaħ
кӏасэ	t͡ʃʼaːsa
дакъэ	daːqa
бжъэшъу	bʐaʂʷ
псышъонт	psəʂʷant
шӏупщы	ʂʷəpɕə
мэпщын	mapɕən
блэхъушъутын	blaχʷəʂʷtən
къокӏьын	qʷakʲʼən
шъхьэфэшӏужь	ʂħafaʃʷʼəʑ
тхьамшӏыгъу	tħaːmʃʼəʁʷ
ае	aːja
ӏэщхьэ	ʔaɕħa
чӏыдагъ	t͡ʃədaːʁ
зэхэугъоен	zaxawʁʷawan
гъучӏӏунэ	ʁʷət͡ʂʼəʔʷəna
баджэ	baːd͡ʒa
фэшӏун	faʃʷʼən
кӏэдзапӏэ	wəbɮaːpʼa
хьэбзу	ħabzəw
лъэсыбэщ	ɬasəbaɕ
рэзэгъэн	razaʁan
ун	jawən
гъэдэӏон	ʁadaʔʷən
быбылъ	bəbəɬ
бзашӏу	bzaːʃʷʼ
мэхъэшэн	maχaʃan
ӏоржъор	ʔʷarʒʷar
пыдэн	pədan
едэӏун	jadaʔʷən
зы	zə
шъхьэнгъупчъэ	ʂħanʁʷəptʂa
гъэупысӏэн	ʁawpsʼan
нахьиу	naːħjəw
гъумы	ʁʷəmə
кӏэзэзын	t͡ʃʼazazən
пыжъ	pəʐ
джыхэкӏотэн	d͡ʒaxakʷʼatan
нэшӏошӏу	naʃʷʼaʃʷʼ
кӏако	t͡ʃʼaːkʷa
шӏагъо	ʃʼaːʁʷa
лъэпэд	ɬapad
зэпыкӏьын	zapəkʲʼən
арышъ	aːrəʂ
гугъын	ɡʷəʁən
цунтхъэн	t͡ʃʷəntχan
егъэбэджын	jaʁabad͡ʒən
темыр	tajmər
кӏьэмгуе	kʲʼamɡʷəja
цуӏ	t͡ʃʷəʔ
щытхъун	ɕətχʷən
къыин	qəjən
дыгьы	dəɡʲə
нахьыбэрэ	naːħəbara
гомыхь	ɡʷaməħ
цумпэӏэрыс	t͡ʃʷəmpaʔarəs
изэу	jəzaw
пшъэтыкъ	pʂatəq
лыгъон	ɮəʁʷan
къэбыпцӏэ	qabəpt͡sa
жъыун	ʐəwən
гъурз	ʁʷərz
шӏошъхъуныгъэ	ʃʷʼaʃʷʼχʷənʁa
пхъэнкӏыпхъ	pχant͡ʃʼəpχ
ӏэтэжъ	ʔataʐ
лъэрычъ	ɬarət͡ʂ
ныкъо	nəqʷa
фэпщэн	fapʃan
ӏадэ	ʔaːda
дэгъэзен	daʁazajan
къэлэдэс	qaɮadas
жьао	ʑaːwa
хъатэ	χaːta
пакӏьэ	paːkʲʼa
къэцӏын	t͡sʼən
бэрэскэф	baraskaf
чъыглэныстэ	tʂəɣlanəsta
дасэ	daːsa
къыпыун	qəpəwən
шхъуантӏэ	ʃχʷaːntʼa
фэпэн	fapan
дэи	dajə
тэнэн	tanan
ӏанэ	ʔaːna
кӏадзэ	t͡ʃʼaːd͡za
хъожьын	χʷaʑən
лэгъунэ	ɮaʁʷna
фэсакъын	fasaːqən
къэмэхын	qamaxən
шъуин	ʃʷəjan
джэгуалъэ	d͡ʒaɡʷaːɬa
къутаф	qʷətaːf
гъэуэн	ʁawan
хэдэн	xadan
тэдрэз	tadraz
аджар	aːd͡ʒaːr
тхьацэ	tħaːt͡sa
лыкъумэ	ləqʷma
тхьакӏын	tħat͡ʃən
тыгъужъ	təʁʷəʐ
мэр	mar
лъынэ	ɬəna
хырыкӏ	xərət͡ʃ
шыгу	ʃəɡʷ
къазмэ	qaːzma
егъэзыгъ	jaʁatəʁ
адыгэбзэ	aːdəɣabza
кӏьэхьы	kʲʼaħə
пшэхъоф	pʃaχʷaf
бжъэу	bʐaw
мэуцӏэлэн	mawt͡sʼalan
иен	jajən
егъэун	jaʁawən
пчъэӏу	pt͡ʃaʔʷə
жъалым	ʐaːləm
къэкӏорэгъэ	qakʷʼaraʁa
агъо	aːʁʷa
уфын	wəfən
къэхъун	qaχʷən
гухахъо	ɡʷəxaːχʷa
пелыуан	pajɮəwaːn
енэцӏын	janat͡sʼən
гъэпыутын	ʁapəwtən
гьэфы	ɡʲafə
гьэщту	ɡʲaɕtəw
гъэбыяун	ʁabəjaːn
техъон	tajχʷan
нэущымыщкӏь	nawɕəməɕkʲʼ
мэкъумэщышӏ	maqʷmaɕəʃʼ
тӏыгъон	tʼəʁʷan
ӏьалэ	ʔʲaːla
къэлэм	qalam
мэхъужьын	maχʷəʑən
пэӏухъон	paʔʷəχʷan
сырныч	sərnət͡ʃ
зыплъыхьапӏэ	zəpɬəħaːpʼa
ялыегъэ	jaːɮəjaʁa
жыфлъат	ʑəfɬaːt
пэхьан	paħaːn
къамзэгу	qaːmzaɡʷ
шӏуцӏэ	ʃʷʼət͡sʼa
тетхыкӏын	tatxət͡ʃʼən
мэцӏэтхъун	mat͡sʼatχʷən
шӏункӏы	ʃʷʼənt͡ʃə
фэбае	fabaːja
къэблэн	qablan
тэтхыкӏын	tatxət͡ʃʼən
жъот	ʐʷat
пшъэдэлъ	pʂadaɬ
укӏытапх	wt͡ʃʼətaːpx
ӏофытхьабз	ʔʷafətħaːbz
пындж	pənd͡ʒ
ащгъум	aːɕʁʷəm
блабжъ	blaːbʐ
фапшэ	faːpʃa
аддэ	aːdda
шъхьашыгу	ʂħaːʃəɡʷ
щыгъэзыен	ʃəʁazəjan
джанщэрэхъ	d͡ʒaːnɕaraχ
ӏункӏыбзэ	ʔʷənt͡ʃʼəbza
ӏукӏэхьан	ʔʷət͡ʃʼaħaːn
къэсшъхьэпкӏьэтын	qasʂħapkʲʼatən
пэкъуэ	paqʷa
хьао	ħaːwa
бэдзэукӏ	bad͡zawət͡ʃ
шкӏэ	ʃkʼa
гъушъы	ʁʷəʂə
щымыгъуаз	ɕəməʁʷaːz
зытегъэкӏэн	zətajʁat͡ʃʼan
хьэнцэ	ħant͡sa
гъочӏэгъ	ʁʷat͡ʂʼaʁ
тэщгъум	taɕʁʷəm
гъаблэ	ʁaːbɮa
лӏэужьыгъо	ɬʼawʑəʁʷa
паӏо	paːʔʷa
аргъэйфыгу	aːrʁajfəɡʷ
гъэны	ʁanə
чэмы	t͡ʃamə
ӏул	ʔʷəɮ
ӏэхын	ʔəxən
чэркэс	t͡ʃarkas
тэуцон	tawt͡ʃʷən
инапэкӏэ	jənaːpat͡ʃʼa
нао	naːwa
цацэ	t͡saːt͡sa
еутэкӏьын	jawtakʲʼən
бырсырыл	bərsərəl
хъанзэгу	χaːnzaɡʷ
къахьэуашъо	qaːħawaːʃʷa
къэнэхъэжьын	qanaχaʑən
япэрэу	jaːparaw
пчэн	pt͡ʃan
утхъоен	wətχʷajan
ӏэшъхьэхъу	ʔaʂħaχʷ
ӏэтэгъ	ʔataʁ
бжалэ	bʒaːla
чӏэкӏьын	t͡ʂʼakʼən
баргъ	baːrʁ
щышӏын	ɕəʃən
сэпсэуэ	sapsawa
лалэ	laːla
былымылӏэ	bələməɬʼa
тэгъэтӏысхьэн	taʁatʼəsħan
зэжъу	zaʐʷə
ӏус	ʔʷəs
гущ	ɡʷəɕ
укъэбзын	wqabzən
шакӏо	ʃaːkʷʼa
бгъэкӏыхь	bʁakʲʼəħ
нахьыбэрэм	naːħəbaram
бжьы	bʑə
пихын	pjəxən
зыгъэпкӏын	zʁapst͡ʃʼən
напцэ	naːpt͡sa
бэкълауэ	baqlaːwa
нэсын	nasən
дэгъэтӏытӏэн	daʁatʼətʼan
нашъухъо	naːʂʷχʷa
ныбэшъу	nəbaʃʷ
лыджын	maləd͡ʒən
кӏоцӏыхьан	kʷʼat͡sʼəħaːn
зэуэн	zawan
ӏофынчъэ	ʔʷafənt͡ʂa
псэушъхь	psawʂħ
хыблыгу	xəbləɡʷə
хэщэн	xaɕan
лъэкур	ɬakʷər
ахъщэмыкӏу	aːχʃaməkʷʼ
зыпэгъотхьажьын	zəpaʁʷatħaʑən
цӏэшъутэн	t͡sʼaʃʷtan
шъэгьашъ	ʂaɡʲaːʂ
батырыгъ	baːtərəʁ
егъэтыгъ	jaʁatəʁ
бзылъфыгъэ	bzəɬfəʁa
блефын	blajfən
ӏорышӏадж	ʔʷarəʃʼaːd͡ʒ
мэбэгъон	mabaʁʷan
течын	tajt͡ʃən
тхылъӏыгъыпӏэ	txəɬʔəʁəpʼa
хыгъунэ	xəʁʷəna
чӏэухъубэн	t͡ʂʼawχʷəban
батыргъэгъ	baːtərʁaʁ
цӏынэ	tsʼəna
къаблэ	qaːbla
бырыугъэчэрэгъу	bərəwʁat͡ʃaraʁʷ
фитын	fəjtən
сако	saːkʷa
мэгъын	maʁən
бэ	ba
щыны	ɕənə
шэкэрхафэ	ʃakʲarxaːfa
гоутын	ɡʷawtən
шъхъэи	ʂħajə
нэкӏьышъо	nakʼəʃʷa
блахэ	blaːxa
хъэбар	χabaːr
гокӏын	ɡʷat͡ʃʼən
гын	ɣən
ӏушъо	ʔʷəʃʷa
хьын	ħən
фыжьыбз	fəʑəbz
отэгъу	wataʁʷ
гъожьышэплъ	ʁʷaʑəʃapɬ
гъэщынэн	ʁaɕənan
тэшӏыкӏын	taʃʼət͡ʃʼən
азэнадж	aːzanaːd͡ʒ
губжын	ɡʷəbʒən
цӏэпапкӏ	t͡sʼapaːpt͡ʃʼ
хэузыкӏьын	xawzəkʲən
мэутӏэтӏэн	wətʼatʼan
лъэпс	ɬaps
къэщэкьын	qaɕakʲən
ехъурэ	jaχʷra
дэгъэтӏысхьэн	daʁatʼəsħan
ӏэпызын	ʔapəzən
къэцы	qat͡sə
цуабзэ	t͡sʷaːbza
мэузын	mawzən
блы	blə
щхыпцӏын	ɕxəpt͡sʼən
къулбастэ	qʷəlbaːsta
къэрэу	qaraw
пызы	pəzə
кӏьэрыт	kʲʼarət
лъытфэ	ɬətfa
чъэпыогъумаз	t͡ʂapəwaʁʷəmaːz
ахъщашъхь	aːχʃaːʂħ
занкӏэу	zaːnt͡ʃaw
гьанэ	ɡʲaːna
псэолъэшӏыпӏ	psawaɬaʃʼəpʼ
ӏон	ʔʷan
пхъэчыпэ	pχat͡ʃəpa
ӏумпэм	ʔʷampam
гъатхэ	ʁaːtxa
хьэинап	ħajənaːp
пчэдыжьы	pt͡ʃadəʑə
хъурмэ	χʷərma
кьэупчъэ	kʲawəpt͡ʂa
шын	ʃən
хъан	χaːn
блэшъутын	blaəʂʷtən
кӏэхэкӏын	t͡ʃaxat͡ʃən
закӏэ	zaːt͡ʃʼa
хэгъошъхьаӏу	xaʁʷaʂħaʔʷ
гушӏуагъэ	ɡʷəʃʷʼaːʁa
хъун	maχʷən
уджын	wd͡ʒən
куогъу	kʷəwaʁʷ
бытӏы	bətʼə
орыжъ	warəʐ
ашэ	ʔaːʃa
къэгъэгъунэн	qaʁaʁaʁʷənan
мэкъупӏ	maqʷpʼ
тӏэтӏэн	tʼatʼan
гъукӏэ	ʁʷət͡ʃʼa
гъуен	ʁʷəjan
къэшъон	qaʂʷan
ешъон	jaʂʷan
пае	paːja
тэтэжъ	tataʐ
бжьыныф	bʑənəf
кӏыхьэ	t͡ʃʼəħa
бгыкъупхъ	bɣəqʷəpχ
бжыхьакӏэ	bʒəħaːt͡ʃa
абэгъоплъ	aːbaʁʷapɬ
чэпзэхэогъу	t͡ʃapzaxawaʁʷ
пцэ	pt͡sa
ныкъуалӏэ	nəqʷaːɬʼa
кокӏ	kʷat͡ʃʼ
къуашъо	qʷaːʂʷa
матэ	maːta
гыкӏалъэ	ɣət͡ʃʼaːɬa
джэгун	d͡ʒaɡʷən
щыгъын	ɕəʁən
жъогъошӏу	ʐʷaʁʷaʃʷ
шъхьэӏатынгъэ	ʂħaʔaːtənʁa
игъоин	jəʁʷajən
рэхьат	raħaːt
пхъэнкӏын	pχant͡ʃʼən
ай	aːj
кӏэдэн	t͡ʃʼadan
ежьапӏэ	jaʑaːpʼa
шышъхьэӏумаз	ʃəʂħaʔʷəmaːz
мыӏуш	məʔʷəʃ
тхыдэжъ	txədaʐ
тетӏэтӏэн	tajtʼatʼan
нэгъучӏыцэ	naʁʷt͡ʂʼət͡sa
зэтеуцон	zatajwt͡ʃʷan
тэчъын	tat͡ʂən
адэхъу	aːdaχʷ
бзыгъ	bzəʁ
ифэн	jəfan
нэдэлъфыбзэ	nadaɬfəbza
гъэджэн	ʁad͡ʒan
мэмэхын	mamaxən
хьэнчэмыӏу	ħant͡ʃaməʔʷ
естылӏэн	jastəɬʼan
нэкьыхьытх	nakʲəħətx
гъэзетщапӏэ	ʁazjatɕaːpʼa
тэпкӏэн	tapt͡ʃʼan
чылмэ	t͡ʃəlma
зыкъэшӏэжьын	zəqaʃʼaʑən
ушъыбын	ʂəbən
дэгъэдыдыкӏын	daʁadədəkʲən
батыр	baːtər
бгъэджыб	bʁad͡ʒər
кӏэтыку	t͡ʃʼatəkʷ
махэ	maːxa
гъэон	ʁawan
мэпыджэн	mapəd͡ʒən
дэӏэпыӏэн	daʔapəʔan
щэджагъо	ɕad͡ʒaːʁʷa
лъэныкъу	ɬanəqʷ
плъэхъун	pɬaχʷən
лагъымэ	ɮaːʁəma
дэбыбэен	dabəbajan
лъащэ	ɬaːɕa
цӏэ	t͡sʼa
къолэбзыу	qʷalabzəw
дахэ	daːxa
шӏушӏэ	ʃʷʼəʃʼa
фэулэун	fawɮawən
былымбэлыдж	bələmbaləd͡ʒ
пчыхьэ	pt͡ʃəħa
къопс	qʷaps
псы	psə
теутэн	tajwətan
лъэпапцӏэ	ɬapaːpt͡sʼa
пыджэн	pəd͡ʒan
къыдэгъэж	qədaʁaʒ
нэӏуасэ	naʔʷaːsa
бжьэпащ	bʑapaːɕ
тхьауысхако	tħaːwəsxaːkʷa
ӏэпэгъуапэ	ʔapaʁʷaːpa
нэгъучӏыц	naʁʷt͡ʂʼət͡sa
шӏулъэгъун	ʃʷʼəɬaʁʷən
хэшӏагъ	xaʃʼaːʁ
бэджанд	bad͡ʒaːnd
ӏекӏын	ʔʲat͡ʃʼən
арэущтэу	aːrawɕtaw
джан	d͡ʒaːn
ӏэпыӏэн	ʔapəʔan
къаплъэн	qaːpɬan
мэцохъон	mat͡sʷaχʷan
фэшӏыкӏэ	faʃʼət͡ʃʼa
нэкӏэбыдз	nakʲʼabəd͡z
ашъоцуакъ	aːʂʷat͡sʷaːɡʷ
ӏупчъэпчъэн	ʔʷəpt͡ʂapt͡ʂan
мэлэлэн	malalan
къэмлан	qamlaːn
къегъэӏыхын	qajʁatʼəxən
гуих	ɡʷəjəx
гузэгу	ɡʷəzaɡʷ
бзагьэ	bzaːɡʲa
гукӏае	ɡʷət͡ʃʼaːja
шхъомч	ʃχʷamt͡ʃ
къашхъо	qaːʃχʷa
лъэхъаны	ɬaχaːnə
пчъын	pt͡ʃən
утӏэтӏэн	wətʼatʼan
зэпыгъэчъын	zapəʁat͡ʂən
шъхьасын	ʂħaːsən
зэон	zawan
къэкъун	qaqʷən
зэхэкӏын	zaxat͡ʃʼən
упкӏэтэн	wəpt͡ʃʼatan
бзалъ	bzaːɬ
тэгъогъон	taʁʷaʁʷan
нэкӏо	nakʷʼa
джыхэлъэдэн	d͡ʒəxaɬadan
абрамыжъу	aːbraːməʐʷ
къыцэ	qət͡sa
къытэгъэзэн	qətaʁazan
тэкӏурэ	takʷʼra
бэлъф	baɬf
уалъэ	waːɬa
сӏэсӏэн	sʼasʼan
бзэил	bzajəl
шъотехьэтекӏ	ʂʷatajħatajt͡ʃ
псыкӏэты	psəkʲʼatə
кӏалэ	t͡ʃʼaːla
чӏытхъыцэхэр	t͡ʃətχət͡saxar
гъэузын	ʁawzən
теӏэбэхьын	tajʔabaħən
шъуен	ʃʷəjan
чъые	t͡ʂəja
бжыхьас	bʒəħaːs
ӏэпэпс	ʔapaps
кьэфы	kʲafə
пхъашэ	pχaːʃa
пщэрыхьан	pɕarəħaːn
бгыпэ	bɣəpa
къегъоин	qajʁʷajən
теутын	tajwətən
блэгьан	blad͡ʒaːn
цэлъэкӏалъэ	t͡saɬat͡ʃʼaːɬa
нэпэӏэплъэкӏ	napaʔapɬat͡ʃʼ
зэӏукӏапӏэ	zaʔʷət͡ʃʼaːpʼa
уцупӏэ	wət͡sʷəpʼam
сыд	səd
чэфы	t͡ʃafə
шэнчъэ	ʃant͡ʂa
шэдыгъо	ʃadəʁʷa
блэбгъу	blabʁʷə
бгъэхалъхь	bʁaxaːɬħ
шынахьыкӏ	ʃənaːħət͡ʃʼ
тэкуон	takʷəwan
бэщыӏ	baɕəʔ
еубзэн	jawəbzan
дэщтэн	daɕtan
махъшэбзу	maːχt͡ʃabzəw
гъэлэлэн	ʁalalan
шъырыт	ʂərət
мацӏэ	maːt͡sʼa
нэфын	nafən
аушыджэр	aːwʃəd͡ʒar
пхъэмбгъу	pχambʁʷ
лъытэныгъ	ɬətanəʁ
бэджэшъ	baːd͡ʒaʂ
блэн	blan
бзэ	bza
ты	tə
мэтхэн	matxan
шхъогъон	ʃχʷaʁʷan
гу	ɡʷə
фэдэкъабз	fadaqaːbz
дышъэкӏ	dəʂat͡ʃ
армэугъ	aːrmawʁ
бае	baːja
зыгъэпскӏын	zʁapst͡ʃʼən
ӏэпыгъэтӏэрын	ʔapəʁatʼarən
дэкӏояпӏэ	dakʷʼajaːpʼa
ады	ʔaːdə
лъэужь	ɬawəʑ
кӏэлъэтэкьын	t͡ʃaɬatakʲən
къэ	qa
енэу	janaw
жэдэтэкъон	ʒadazən
корт	kʷart
шӏокӏьын	ʃʷʼakʲʼən
пхъэжъые	pχaʐəj
мэплъын	mapɬən
нэбгъэ	nabʁa
зекӏо	zajkʷʼa
ишъукӏын	jəʃʷət͡ʃʼn
шъхьэц	ʂħat͡s
пытын	pətən
тефэхьын	tajfaħən
блэкӏыгъэу	bɮat͡ʃʼəʁaw
ешъухъугъон	jaʃʷχʷəʁʷan
зэщыкъон	zaɕəqʷan
тхьамыкӏагъу	tħaːmət͡ʃʼaːʁʷ
пэплъэн	papɬan
архъожъ	aːrχʷaʐ
зэӏунын	zaʔʷənan
мыжъуакӏэ	məʐʷaːt͡ʃa
зао	zaːwa
цуманэ	t͡sʷəmaːn
уэнтэгъу	wantaʁʷ
тхытхын	txətxən
хъы	χə
сыдигъо	sədəjʁʷa
жакъэ	ʒaːqa
жэукъ	ʒawq
бгъотэн	bʁʷatan
джэжьын	d͡ʒaʑən
цӏэпӏэжъ	t͡sʼapʼaʐ
хьамплъыжь	ħaːmpɬəʑ
ӏукӏьыбзэ	ʔʷəkʲʼəbza
гъэпсэфын	ʁapsafən
уыбэтэн	wəbatan
пшъашъэ	pʂaːʂa
тфэи	tfajə
апкӏмыжъ	aːpt͡ʃməʐʷ
тыпсэ	təpsa
улъыин	wəɬəjən
бзэджэнрылъф	bzad͡ʒanrəɬf
пыцӏэн	pətsʼan
бзыу	bzəw
чӏыкъу	t͡ʃəqʷ
нэпэ	napa
упцӏын	wpt͡sʼən
тгъэнэгъургьэ	tʁanaʁʷərɡʲa
лъэкӏэпӏащ	ɬat͡ʃʼapʼaːɕ
пэкӏо	pakʷʼa
цӏыон	t͡sʼəwan
оры	warə
гъэжъэн	ʁaʐan
ешъугъон	jaʃʷʁʷən
джэнэпылъапӏ	d͡ʒanapəɬaːpʼ
ежэн	jaʒan
жэхэпхъэнкӏэн	ʒaxapχant͡ʃan
хьэдэгъу	ħadaʁʷ
шыпын	ʃəpən
мэщтэн	maɕtan
бэнтехъу	bantajχʷ
шӏуанэ	ʃʷʼaːna
зэуакӏо	zawaːkʷʼa
блещын	blajɕən
джэныкъу	d͡ʒanəqʷ
гъэплъын	ʁapɬən
егъэчъэхын	jaʁat͡ʂaxən
малъхъо	maːɬχʷa
чъыгхатэ	t͡ʂəɣxaːta
жэкӏэпэпкъ	ʒatʃʼapapq
телъхьан	tajɬħaːn
мэцӏыцӏын	mat͡sʼət͡sʼən
хэкӏын	xat͡ʃʼən
пхъу	pχʷə
цӏыӏргъ	tsəʔrʁ
укӏьын	wkʲʼən
бэнакӏо	banaːkʷʼa
ӏэлгьанэ	ʔalɡʲaːana
лъыкӏон	ɬəkʷʼan
тхакӏо	txaːkʷʼa
хатэ	xaːta
кӏочӏагъэ	kʷʼat͡ʃʼaːʁa
щынагъу	ɕənaːʁʷ
чӏырыкӏу	t͡ʃərəkʷ
мэукӏытэн	mawt͡ʃətan
абадз	aːbaːd͡z
гъэлӏэн	ʁaɬʼan
мылъыку	məɬəkʷ
пчэгу	pt͡ʃaɡʷ
пшӏанэ	pʃʼaːna
къокӏыпӏэ	qʷat͡ʃʼəpʼa
блэплъын	blapɬən
бзэхын	bzaxən
бэгъэгус	baʁaɡʷəs
къытегъэзын	qətajʁazən
гъэцӏырэн	ʁat͡sʼəran
зэпыутын	zapəwtən
еупчын	jawpt͡ʃən
зэпыдагъэу	zapədaːʁaw
псысамыр	psəsaːmər
кӏэ	t͡ʃʼa
куашъу	kʷaːʃʷa
тыгъэкъокӏыпӏ	təʁaqʷakʲəpʼ
тыгъэстыр	təʁastər
лӏыблан	ɬʼəbɮaːn
епэсын	japasən
шъхьацы	ʂħaːt͡sə
гъэсымэджэн	ʁasmad͡ʒan
башӏэ	baːʃʼa
шъхьатэ	ʂħaːta
пащ	paːɕ
