بچووک	.bi.çûk
کرا	.ki.ra
خانووبەرەی	.xa.nû.be.rey
ڕووداوە	.řû.da.we
فەرمی	.fer.mî
هێرشی	.hê.ri.şî
هەست	.hest
حاڵێکدا	.ḧa.łêk.da
گۆڤارە	.go.va.re
خۆشی	.xo.şî
ئەمەکێکی	.ʔe.me.kê.kî
دەویست	.de.wîst
شکێکیش	.şi.kê.kîş
پێشێ	.pê.şê
زۆرە	.zo.re
دەستنیشانی	.dest.nî.şa.nî
ژمارەیان	.ji.ma.re.yan
هەڵسەنگاندنانە	.heł.sen.gan.di.na.ne
ئۆگرەتییە	.ʔog.re.tî.ye
وادەی	.wa.dey
کێشابوومەوە	.kê.şa.bû.me.we
تورکیایە	.turk.ya.ye
نێونیشانی	.nêw.nî.şa.nî
داگیرکەر	.da.gîr.ker
گوشاری	.gu.şa.rî
خاوەنی	.xa.we.nî
جێگریی	.cê.gi.rîy
ژێرچەپۆکەیەکیش	.jêr.çe.po.ke.ye.kîş
مەسەلەیەکی	.me.se.le.ye.kî
بگەیەنێت	.bi.ge.ye.nêt
بنێت	.bi.nêt
میسی	.mî.sî
رێکخست	.rêk.xist
تایبەتیدا	.tay.be.tî.da
خزمەت	.xiz.met
ئاراس	.ʔa.ras
بۆرژوازی	.bor.jwa.zî
خۆبەڕێوەبردن	.xo.be.řê.we.bir.din
وەزارەتەوە	.we.za.re.te.we
پێت	.pêt
بەندیخانەکەیە	.ben.dî.xa.ne.ke.ye
هاندەرەکان	.han.de.re.kan
گیرابوو	.gî.ra.bû
دەورەیی	.dew.re.yî
پلەوپایەیەکیان	.pi.lew.pa.ye.yek.yan
هەر	.her
پەرلەمانتاران	.per.le.man.ta.ran
ساڵە	.sa.łe
خۆشحاڵ	.xoş.ḧał
بانگ	.bang
بێسنی	.bês.nî
لاوانی	.la.wa.nî
کوردستانییەکان	.kur.dis.ta.nî.ye.kan
ڕۆڵێکی	.řo.łê.kî
لەچاپدەدران	.le.çap.ded.ran
ساڵان	.sa.łan
شارەکان	.şa.re.kan
لێی	.lêy
کلتوری	.kil.tu.rî
بڵاوکەرانەوە	.bi.ław.ke.ra.ne.we
ڕەچاو	.ře.çaw
سیستەمێکی	.sîs.te.mê.kî
هێنابا	.hê.na.ba
باوک	.bawk
یەکێکیان	.ye.kêk.yan
ئەمڕۆکە	.ʔem.řo.ke
کۆمەڵگایەکی	.ko.meł.ga.ye.kî
لەرێگەی	.le.rê.gey
جەنگەکە	.cen.ge.ke
قوتابی	.qu.ta.bî
کەوابوو	.ke.wa.bû
دڵنیایی	.dił.nya.yî
بڵیندی	.bi.łîn.dî
کوردیدا	.kur.dî.da
رۆژانی	.ro.ja.nî
ناچاردەکرد	.na.çar.de.kird
ژیانەکەمان	.jya.ne.ke.man
فرۆشتن	.fi.roş.tin
قورسایی	.qur.sa.yî
سپاردن	.si.par.din
چەشنێک	.çeş.nêk
خەلکی	.xel.kî
کارهێنانی	.kar.hê.na.nî
لایەنەکان	.la.ye.ne.kan
دەیانسپێرن	.de.yan.si.pê.rin
فۆتۆکۆپییەوە	.fo.to.ko.pî.ye.we
ژیانیدا	.jya.nî.da
چوو	.çû
قامشلۆدان	.qa.miş.lo.dan
لەتم	.le.tim
سەروەری	.ser.we.rî
فەرەنسا	.fe.ren.sa
چاپەمەنیی	.ça.pe.me.nîy
خۆتۆمار	.xo.to.mar
چۆنە	.ço.ne
قەیرانە	.qey.ra.ne
بگرن	.bi.gi.rin
جەستە	.ces.te
خەباتی	.xe.ba.tî
تورکیا	.turk.ya
بژین	.bi.jîn
کوردەکانیان	.kur.de.kan.yan
دەرونی	.de.ru.nî
پێکراوەکان	.pê.ki.ra.we.kan
لێدوانێکدا	.lê.dwa.nêk.da
بەشە	.be.şe
پیلان	.pî.lan
تۆی	.toy
وەک	.wek
تاڵەبانی	.ta.łe.ba.nî
ژووری	.jû.rî
رووداوە	.rû.da.we
ساکاری	.sa.ka.rî
ئیمرالی	.ʔîm.ra.lî
لکێنەرانە	.li.kê.ne.ra.ne
دەبینین	.de.bî.nîn
لێدەکات	.lê.de.kat
نووسینەوە	.nû.sî.ne.we
نەبوون	.ne.bûn
نەدەکرد	.ne.de.kird
پێکهاتنامەکان	.pêk.hat.na.me.kan
دەهات	.de.hat
فەرمان	.fer.man
دەبیندرێنەوە	.de.bîn.di.rê.ne.we
کتێبخانەکە	.ki.têb.xa.ne.ke
چەمچەماڵ	.çem.çe.mał
کۆنفرانسی	.kon.fi.ran.sî
ئارام	.ʔa.ram
تورکیشی	.tur.kî.şî
دەکەم	.de.kem
لێژنەیە	.lêj.ne.ye
خۆپیشاندەران	.xo.pî.şan.de.ran
پەیوەندی	.pey.wen.dî
دەدەن	.de.den
ئایار	.ʔa.yar
بەرزکردنەوەی	.berz.kir.di.ne.wey
یەکەمین	.ye.ke.mîn
ناوی	.na.wî
دەستگیرکردنی	.dest.gîr.kir.di.nî
رسایتڵەکان	.ri.say.ti.łe.kan
بەردەم	.ber.dem
دەدران	.de.di.ran
بڵاوێزی	.bi.ła.wê.zî
خوشک	.xuşk
بەنێوبانگ	.be.nêw.bang
هاتوچۆی	.ha.tu.çoy
مەهدی	.meh.dî
پیاوچاکییەوە	.pyaw.ça.kî.ye.we
منی	.mi.nî
رێپێدانی	.rê.pê.da.nî
ناسراوی	.nas.ra.wî
هێستاش	.hês.taş
پشتگیریی	.piş.ti.gî.rîy
برادەرانەیان	.bi.ra.de.ra.ne.yan
ناکرێنەوە	.na.ki.rê.ne.we
مەحمود	.meḧ.mud
نیشتمانیی	.nîş.ti.ma.nîy
دزیی	.di.zîy
رچەی	.ri.çey
دانراوە	.da.ni.ra.we
روونتر	.rûn.tir
بسڕنەوە	.bis.ři.ne.we
لێبوردن	.lê.bur.din
لەچاپدەرەکە	.le.çap.de.re.ke
چۆمان	.ço.man
شانۆی	.şa.noy
شەشەم	.şe.şem
توانیم	.twa.nîm
جگەرخوێن	.ci.ger.xwên
مەترسیداربوون	.me.tir.sî.dar.bûn
سامانی	.sa.ma.nî
کۆڵی	.ko.łî
گیانی	.gya.nî
ئەمانە	.ʔe.ma.ne
دیویانە	.dîw.ya.ne
ناوە	.na.we
دەن	.den
پایتەختی	.pay.tex.tî
ئاشتی	.ʔaş.tî
دەسبەسەرکردنی	.des.be.ser.kir.di.nî
ئەورووپای	.ʔew.rû.pay
ئۆگرەتییەکانی	.ʔog.re.tî.ye.ka.nî
خڕ	.xiř
هێنا	.hê.na
چاپکراوەیان	.çap.ki.ra.we.yan
مەنسوور	.men.sûr
خەم	.xem
ئارەزووی	.ʔa.re.zûy
پارتیا	.part.ya
سەربەخۆییی	.ser.be.xo.yîy
فەرمانبەرەکانیانەوە	.fer.man.be.re.kan.ya.ne.we
بەشداری	.beş.da.rî
دەنگی	.den.gî
قەبووڵ	.qe.bûł
هەواڵە	.he.wa.łe
تێیدا	.têy.da
یەکێ	.ye.kê
شەهید	.şe.hîd
دەستکەوتەکانی	.dest.kew.te.ka.nî
نەرویج	.ner.wîc
کوردستانیان	.kur.dis.tan.yan
بەشدارەکانی	.beş.da.re.ka.nî
عەدنان	.ƹed.nan
کراوەکاندا	.ki.ra.we.kan.da
دۆستایەتی	.dos.ta.ye.tî
ڕاپرسی	.řa.pir.sî
دەوڵەت	.dew.łet
بنەماکانی	.bi.ne.ma.ka.nî
دەدۆزرێنەوە	.de.doz.rê.ne.we
ئەوکات	.ʔew.kat
بڵەین	.bi.łeyn
ژیاوە	.jya.we
ڕوونە	.řû.ne
باسی	.ba.sî
ئەژانسی	.ʔe.jan.sî
ئە	.ʔe
نێودەوڵەتییەکان	.nêw.dew.łe.tî.ye.kan
داهاتی	.da.ha.tî
خراوە	.xi.ra.we
ئانا	.ʔa.na
زمانانەش	.zi.ma.na.neş
تاد	.tad
دۆخێکدا	.do.xêk.da
ڕێژیمی	.řê.jî.mî
هەوڵە	.hew.łe
سەرەکییەکان	.se.re.kî.ye.kan
کردم	.kir.dim
داهاتوو	.da.ha.tû
توانا	.twa.na
پەردەژییان	.per.de.jî.yan
ئەمریکادا	.ʔem.rî.ka.da
دوژمنانی	.duj.mi.na.nî
بەیانی	.be.ya.nî
پرسیارە	.pirs.ya.re
ئینتەرنت	.ʔîn.ter.nit
سێی	.sêy
مەحمەت	.meḧ.met
یەکەمینەکەیان	.ye.ke.mî.ne.ke.yan
سێهەم	.sê.hem
پەیامی	.pe.ya.mî
پیلانێکی	.pî.la.nê.kî
ئینسان	.ʔîn.san
کردنەوە	.kir.di.ne.we
بەرهەمەکانی	.ber.he.me.ka.nî
خۆشگوزەرانی	.xoş.gu.ze.ra.nî
زانینی	.za.nî.nî
تێدەکۆشن	.tê.de.ko.şin
دەکرێت	.de.ki.rêt
ماڵێدا	.ma.łê.da
دەبینن	.de.bî.nin
هەیەتی	.he.ye.tî
ئەندامایەتیی	.ʔen.da.ma.ye.tîy
ڕۆژەدا	.řo.je.da
نکۆڵێ	.ni.ko.łê
هەڵبژاردەی	.heł.bi.jar.dey
دەرهاتنی	.der.ha.ti.nî
دەبرێ	.deb.rê
بەرتیلی	.ber.tî.lî
بەماناتر	.be.ma.na.tir
هۆکارەکانی	.ho.ka.re.ka.nî
دەیزانی	.dey.za.nî
بارودۆخانەدا	.ba.ru.do.xa.ne.da
هوسێس	.hu.sês
ئاڕاستەی	.ʔa.řas.tey
دەرفەت	.der.fet
فارس	.fars
سەرەڕای	.se.re.řay
لاوە	.la.we
تیرۆری	.tî.ro.rî
دەگرێت	.de.gi.rêt
سەرخستنی	.ser.xis.ti.nî
شەڕە	.şe.ře
میوانداری	.mî.wan.da.rî
کوردییەکان	.kur.dî.ye.kan
پەستابەپەستا	.pes.ta.be.pes.ta
یاسان	.ya.san
دانیشتووی	.da.nîş.tûy
یوسفی	.yu.si.fî
هەڵبژێردرێن	.heł.bi.jêr.di.rên
پەڕتووکنامەی	.peř.tûk.na.mey
بڵاوکەرەوە	.bi.ław.ke.re.we
دۆخەشدا	.do.xeş.da
براکان	.bi.ra.kan
دەیانڕەخسێنێ	.de.yan.řex.sê.nê
محەمەدی	.mi.ḧe.me.dî
ساڵێکە	.sa.łê.ke
حاڵ	.ḧał
هێنرا	.hên.ra
ئەمەیش	.ʔe.meyş
ئاڤەستا	.ʔa.ves.ta
هۆرتەوبەرەیەکی	.hor.tew.be.re.ye.kî
دەگوترێت	.de.gut.rêt
بەوپەڕی	.bew.pe.řî
ئیسمایل	.ʔîs.ma.yil
کۆمپانیایەکی	.kom.pan.ya.ye.kî
ڕابردوو	.řa.bir.dû
بگات	.bi.gat
نکۆڵی	.ni.ko.łî
ئێرانیشدا	.ʔê.ra.nîş.da
دەڤەرێک	.de.ve.rêk
ئایندە	.ʔa.yin.de
ئامارێک	.ʔa.ma.rêk
وێنەی	.wê.ney
مانگرتن	.man.gir.tin
دەرچوو	.der.çû
کۆلێجی	.ko.lê.cî
دەبینی	.de.bî.nî
ڕوخانی	.řu.xa.nî
تەقە	.te.qe
گوتبووی	.gu.ti.bûy
باجە	.ba.ce
گۆرانیبێژی	.go.ra.nî.bê.jî
گەرەکمە	.ge.rek.me
تێپەڕی	.tê.pe.řî
خەلات	.xe.lat
بەندیخانە	.ben.dî.xa.ne
هەناسە	.he.na.se
چاپخانەگەلێک	.çap.xa.ne.ge.lêk
کچ	.kiç
دراونەتەوە	.di.raw.ne.te.we
نەزانیبوو	.ne.za.nî.bû
سەبارەت	.se.ba.ret
هەڵسەنگاندندا	.heł.sen.gan.din.da
دانووستانی	.da.nûs.ta.nî
دەری	.de.rî
چوون	.çûn
هەتا	.he.ta
دەبیندرێ	.de.bîn.di.rê
داساکاندن	.da.sa.kan.din
کۆمەڵەی	.ko.me.łey
ناوەندەکانیان	.na.wen.de.kan.yan
داناون	.da.na.win
داڕێژاندنی	.da.řê.jan.di.nî
ئاوی	.ʔa.wî
ئەژماری	.ʔej.ma.rî
ئێمەیە	.ʔê.me.ye
کەلتی	.kel.tî
بەربەرەکانیی	.ber.be.re.ka.nîy
راستەوخۆ	.ras.tew.xo
دەگەڵ	.de.geł
دەجووڵانەوەی	.de.cû.ła.ne.wey
تکایە	.ti.ka.ye
کێشەیەکی	.kê.şe.ye.kî
بارودۆخە	.ba.ru.do.xe
راگیرکران	.ra.gîr.ki.ran
نووسەرکی	.nû.ser.kî
ئینگلتەرا	.ʔîn.gil.te.ra
نزیکدا	.ni.zîk.da
دەهێنرا	.de.hên.ra
چاودێرییەک	.çaw.dê.rî.yek
ئێران	.ʔê.ran
سیستمە	.sîs.ti.me
نەبووایە	.ne.bu.wa.ye
وەرگێڕاوێکی	.wer.gê.řa.wê.kî
نیمچە	.nîm.çe
ئاوازی	.ʔa.wa.zî
بەسەر	.be.ser
داو	.daw
زیندان	.zîn.dan
جگەرە	.ci.ge.re
چاوپێکەوتنێکم	.çaw.pê.kew.ti.nê.kim
ئابووری	.ʔa.bû.rî
جێگایەک	.cê.ga.yek
نەبوونە	.ne.bû.ne
بڕگەی	.biř.gey
ماوەی	.ma.wey
خێرایی	.xê.ra.yî
بەرپرسە	.ber.pir.se
دەیانهێنینە	.de.yan.hê.nî.ne
گێرە	.gê.re
دەشفرۆشرێن	.deş.fi.roş.rên
ڕوودانی	.řû.da.nî
بۆوە	.bo.we
خۆوە	.xo.we
دەرخست	.der.xist
سەردانەکەی	.ser.da.ne.key
چارەسەرکردنی	.ça.re.ser.kir.di.nî
خەریکە	.xe.rî.ke
مەڵبەندی	.meł.ben.dî
وازیان	.waz.yan
باو	.baw
ئازادییا	.ʔa.za.dî.ya
دەدوان	.ded.wan
سەرەکیمان	.se.re.kî.man
نامە	.na.me
خوە	.xwe
نەکردرێ	.ne.kir.di.rê
بایەخی	.ba.ye.xî
دەگیردرێن	.de.gîr.di.rên
پۆلیس	.po.lîs
تەبایی	.te.ba.yî
تۆن	.ton
بژی	.bi.jî
درێژخایەنەکە	.di.rêj.xa.ye.ne.ke
ڤەکۆلی	.ve.ko.lî
سەرپەرشتی	.ser.pe.riş.tî
حەفتەیەک	.ḧef.te.yek
عەرەبیی	.ƹe.re.bîy
لەدەستداوە	.le.dest.da.we
شلوێ	.şil.wê
گەشت	.geşt
تاش	.taş
هەمیشە	.he.mî.şe
دەچێ	.de.çê
ئەرزەڕۆم	.ʔer.ze.řom
ناڕەوا	.na.ře.wa
سوودێکی	.sû.dê.kî
قادری	.qa.di.rî
کوردییەکانیانەوە	.kur.dî.ye.kan.ya.ne.we
پێدراوە	.pê.di.ra.we
حوکمی	.ḧuk.mî
ڕاستە	.řas.te
وەرگرێ	.wer.gi.rê
رەچاوگرتنی	.re.çaw.gir.ti.nî
گرووپی	.gi.rû.pî
دەیپشکنیم	.dey.piş.ki.nîm
فاکتۆرەکانی	.fak.to.re.ka.nî
ئەڵمانی	.ʔeł.ma.nî
ئەمپەراتووریی	.ʔem.pe.ra.tû.rîy
ڕاستەقینە	.řas.te.qî.ne
ڕادیۆ	.řad.yo
حیزبەکان	.ḧîz.be.kan
رەش	.reş
گەلێک	.ge.lêk
دەم	.dem
تاکی	.ta.kî
یاسایی	.ya.sa.yî
پیشە	.pî.şe
سەربازی	.ser.ba.zî
بەمانای	.be.ma.nay
تورکیادا	.turk.ya.da
پشتیوانیی	.piş.tî.wa.nîy
بەڕێوبەرەکانی	.be.řêw.be.re.ka.nî
کۆپییەکی	.ko.pî.ye.kî
بڵاوکەر	.bi.ław.ker
گەورەیان	.gew.re.yan
رێنووسگۆڕاوەکاندا	.rê.nûs.go.řa.we.kan.da
سعوودیە	.si.ƹûd.ye
دیتنی	.dî.ti.nî
زانیارییەکانی	.zan.ya.rî.ye.ka.nî
نەتەوەی	.ne.te.wey
نووسینگەی	.nû.sîn.gey
شانۆیی	.şa.no.yî
مرۆڤەکان	.mi.ro.ve.kan
ئاگادارنەبوونی	.ʔa.ga.dar.ne.bû.nî
کردی	.kir.dî
دواجار	.dwa.car
بان	.ban
دەهێندرێن	.de.hên.di.rên
ڕێگر	.řê.gir
دەگاتە	.de.ga.te
راستەقینەکانی	.ras.te.qî.ne.ka.nî
نیگەرانی	.nî.ge.ra.nî
پەیکەری	.pey.ke.rî
کەسێک	.ke.sêk
نووسراوەکانی	.nûs.ra.we.ka.nî
مەترسیی	.me.tir.sîy
چەکدارە	.çek.da.re
ئۆتۆمبێل	.ʔo.tom.bêl
سیاسییەوە	.sya.sî.ye.we
نەناردنی	.ne.nar.di.nî
ئیدارەی	.ʔî.da.rey
بەردی	.ber.dî
زێڕ	.zêř
نەدەکردەوە	.ne.de.kir.de.we
وەرگێڕەکانیش	.wer.gê.ře.ka.nîş
شوێنێکی	.şwê.nê.kî
وڵاتدا	.wi.łat.da
چل	.çil
بەندیخاناندا	.ben.dî.xa.nan.da
هەلێکی	.he.lê.kî
فەرمانبەر	.fer.man.ber
پەیوەستە	.pey.wes.te
ئاخۆ	.ʔa.xo
هۆکارە	.ho.ka.re
چوارچێوەی	.çwar.çê.wey
سوکایەتی	.su.ka.ye.tî
ئاسایشی	.ʔa.sa.yi.şî
دەمیشق	.de.mîşq
کتێبانی	.ki.tê.ba.nî
زیندانیانی	.zîn.dan.ya.nî
کۆسپێکی	.kos.pê.kî
پەکەکە	.pe.ke.ke
ئێستاش	.ʔês.taş
بەرهەڵستەکان	.ber.he.łis.te.kan
بەلکی	.bel.kî
کێشەی	.kê.şey
کتێبانێک	.ki.tê.ba.nêk
سارێژکەریی	.sa.rêj.ke.rîy
پاشەکشە	.pa.şek.şe
دەچوو	.de.çû
شکستی	.şi.kis.tî
نێونەتەوەییشە	.nêw.ne.te.we.yî.şe
تەکنەلۆژیای	.tek.ne.loj.yay
خەباتەکانیان	.xe.ba.te.kan.yan
زوڵم	.zu.łim
چوارەمین	.çwa.re.mîn
رێژەیە	.rê.je.ye
جیاوازەوە	.cya.wa.ze.we
گاهەز	.ga.hez
دەگۆڕێت	.de.go.řêt
وتەیەکی	.wi.te.ye.kî
پلەی	.pi.ley
ناوچەیانە	.naw.çe.ya.ne
دیاردەی	.dyar.dey
لەیەکەم	.le.ye.kem
عەلی	.ƹe.lî
دەردەخا	.der.de.xa
یاسا	.ya.sa
ئێرە	.ʔê.re
دوژمنی	.duj.mi.nî
سەرچاوەکان	.ser.ça.we.kan
چینە	.çî.ne
دانیشتووانی	.da.nîş.tu.wa.nî
ئاوارەی	.ʔa.wa.rey
فەرمانی	.fer.ma.nî
بتوانین	.bi.twa.nîn
سیمای	.sî.may
تورکیان	.turk.yan
نمرجن	.ni.mir.cin
راهاتبوون	.ra.ha.ti.bûn
ژی	.jî
دیکەشیان	.dî.keş.yan
بەراوەرد	.be.ra.werd
ڕاپۆرتە	.řa.por.te
سودان	.su.dan
بیاتی	.bya.tî
حەولیان	.ḧewl.yan
بکاتەوە	.bi.ka.te.we
ناوچەیییەکان	.naw.çe.yî.ye.kan
زاگرۆس	.zag.ros
بۆئەوەی	.bo.ʔe.wey
ڕۆحی	.řo.ḧî
خۆیان	.xo.yan
لەیلا	.ley.la
ڕێکەوتی	.řê.kew.tî
کم	.kim
ڕادەی	.řa.dey
رەنێوهاتبوون	.re.nêw.hat.bûn
هەوڵی	.hew.łî
کردووەتەوە	.kir.du.we.te.we
پێدانی	.pê.da.nî
سەلاحەددین	.se.la.ḧed.dîn
کە	.ke
دەرچوون	.der.çûn
قەتەر	.qe.ter
کردوون	.kir.dûn
پێ	.pê
هەڵیگواستە	.he.łî.gwas.te
لکەکانی	.li.ke.ka.nî
سەرەنجام	.se.ren.cam
ستراتیژی	.sit.ra.tî.jî
بۆچی	.bo.çî
ناوەراست	.na.we.rast
لەگەڵیاندا	.le.geł.yan.da
نایابی	.na.ya.bî
بگەڕێتەوە	.bi.ge.řê.te.we
هەموان	.hem.wan
بچن	.bi.çin
بمانەوێت	.bi.ma.ne.wêt
یەکدی	.yek.dî
هۆزی	.ho.zî
مۆدێرن	.mo.dêrn
ڕایگەیاندبوو	.řay.ge.yan.di.bû
گرنگیی	.gi.rin.gîy
پەنای	.pe.nay
پارێزگادا	.pa.rêz.ga.da
خەڵکی	.xeł.kî
سەدام	.se.dam
نێوێکی	.nê.wê.kî
حاندی	.ḧan.dî
تۆماری	.to.ma.rî
لەگەڵدا	.le.geł.da
دەگەیەنێت	.de.ge.ye.nêt
ئەمەیان	.ʔe.me.yan
بارەیەوە	.ba.re.ye.we
