egypt	ɛɡipt
juliána	juliaːna
teplý	cɛpliː
garáž	ɡaraːʃ
denis	dɛnis
brita	brita
samárium	samaːrium
výbuch	viːbux
kupec	kupɛt͡s
dezider	dɛzidɛr
boháč	bɔɦaːt͡ʃ
roentgenium	rɛnɡɛnium
olivách	ɔlivaːx
zmija	zmija
bábka	baːbka
pošta	poʃta
tiel	ci̯ɛɫ
astronómia	astrɔnɔːmia
chvíľka	xviːʎka
nórčina	nɔːrt͡ʃina
ľuboš	ʎubɔʃ
prostredie	prɔstrɛɟi̯ɛ
horký	ɦɔrkiː
radovan	radɔvan
juliana	juliana
cigara	t͡siɡara
tango	taŋɡɔ
sup	sup
zachariáš	zaxariaːʃ
volfrám	vɔɫfraːm
roj	rɔj
rozhodnutie	rɔzɦɔdnuci̯ɛ
ruka	ruka
graz	ɡrat͡s
hrdinovia	ɦr̩ɟinɔvi̯a
nero	nɛrɔ
beáta	bɛaːta
evanjelium	ɛvaɲi̯ɛlium
téma	te̞ːma
svetov	svɛtɔu̯
slepý	slɛpiː
gálium	ɡaːlium
múdry	muːdri
fakľa	fakʎa
blamáž	blamaːʃ
živý	ʒiviː
páv	paːu̯
logika	ɫɔɡika
kvas	kvas
carihrad	t͡ʃariɦrat
lodž	ɫɔd͡ʒ
svetozár	svɛtɔzaːr
dánčina	daːnt͡ʃina
predseda	prɛtsɛda
bozkať	bɔskac
afrike	afrikɛ
vzal	vzaɫ
viedeň	vi̯ɛɟɛɲ
imidž	imit͡ʃ
mudrc	mudr̩t͡s
cisár	t͡sisaːr
domček	dɔmt͡ʃɛk
negližé	nɛɡliʒɛː
kľúč	kʎuːt͡ʃ
konštantín	kɔnʃtantiːn
vnútornosti	vnuːtɔrnɔsc
judaizmus	judaizmus
radúz	raduːs
liana	liana
plecniak	plɛt͡sɲi̯ak
adamom	adamɔm
tehlička	cɛɦʎit͡ʃka
stroj	strɔj
obdobie	ɔbdɔbi̯ɛ
európou	ɛu̯rɔːpɔu̯
metamorfóza	mɛtamɔrfɔːza
päť	pɛc
zdenka	zɟɛŋka
dán	daːn
baktérie	baktɛːriɛ
jednej	jednej
zuzanka	zuzaŋka
brata	brata
lýtko	liːtkɔ
pneumatika	pnɛumatika
deväť	ɟevæc
marcela	mart͡sɛɫa
muche	muxɛ
nikel	nikɛɫ
banky	baŋki
časti	t͡ʃasci
informácia	infɔrmaːt͡sia
tuk	tuk
žltý	ʒɫ̩tiː
správa	spraːva
xenofón	ksɛnɔfɔːn
vrecko	vrɛt͡skɔ
skratka	skratka
byť	bic
uhol	uɦɔɫ
sára	saːra
byt	bit
seba	sɛba
pontifex	po̞ntife̞ks
klietka	kʎi̯ɛtka
vy	vi
bez	bɛs
mať	mac
kočišová	kɔt͡ʃiʃɔvaː
králice	kraːlit͡sɛ
svätyňa	svɛtiɲa
najstarší	najstarʃiː
kľúčik	kʎuːt͡ʃik
sliepka	sli̯ɛpka
moskva	mɔskva
vravieť	vravi̯ɛc
rameno	ramɛnɔ
stromy	strɔmi
bedminton	bɛːdmintɔn
farba	farba
lichtenštajnsko	lixtɛnʃtajnskɔ
flauta	fɫau̯ta
medard	mɛdard
púpava	puːpava
milada	miɫada
aurel	au̯rɛːɫ
stroji	strɔji
šatka	ʃatka
topánka	tɔpaːŋka
oco	ɔt͡sɔ
braček	brat͡ʃɛk
galaktický	ɡaɫaktit͡skiː
kreslo	krɛsɫɔ
baňa	baɲa
ladislava	ɫaɟisɫava
husle	ɦuslɛ
vidiecky	viɟi̯ɛt͡ski
biely	bi̯ɛli
heterosexualita	ɦɛtɛrɔsɛksualita
vlasť	ʋɫasc
severín	sɛvɛriːn
draslík	drasliːk
bratislavčan	bracislau̯t͡ʃan
vít	viːt
príslovia	priːsɫɔvi̯a
sto	stɔ
kohút	kɔɦuːt
brigita	briɡita
kaderníčka	kaɟɛrɲiːt͡ʃka
plutónium	pɫutɔːnium
iskierka	iski̯ɛrka
dvanásť	dvanaːsc
pravdou	pravdou̯
môcť	mu̯ɔt͡sc
tvoj	tvɔj
janov	janɔu̯
potrebovať	pɔtrɛbɔvac
schudnúť	sxudnuːc
prímerie	priːmɛri̯ɛ
nížina	ɲiːʒina
egreš	ɛɡrɛʃ
ålandy	ɔɫandi
cap	t͡sap
strom	strɔm
peter	pɛtɛr
veľmi	vɛʎmi
fašizmus	faʃizmus
prozódia	prɔzɔːdia
slovníka	sɫoʋɲiːka
rasca	rast͡sa
chujovina	xujɔvina
dedinka	ɟɛɟiŋka
fúkať	fuːkac
florián	fɫɔriaːn
vanád	ʋanaːt
kmeňom	kmɛɲɔm
škála	ʃkaːɫa
šestnásť	ʃɛstnaːsc
pokoj	pɔkɔj
fľaša	fʎaʃa
cez	t͡sɛs
jediný	jeɟɪniː
stena	scɛna
kvisling	kvisliŋɡ
olomouc	ɔɫɔmɔu̯t͡s
dymy	dimi
aids	ɛjt͡s
vasil	vasiɫ
tokoferol	tɔkɔfɛrɔɫ
lýdia	liːdia
detstvo	ɟɛt͡stvɔ
osoba	ɔsɔba
potôčik	pɔtu̯ɔt͡ʃik
strachov	straxou̯
či	t͡ʃi
srbsko	sr̩pskɔ
františka	francɪʃka
hala	ɦaɫa
žirafí	ʒirafiː
žaneta	ʒanɛta
vlani	vɫaɲi
libuša	libuʃa
zröntgenovať	zrɛntɡɛnɔvac
botanizovať	bɔtanizɔvac
sudca	sutt͡sa
najmenej	najmeɲej
róm	rɔːm
protivný	prɔcivniː
orgován	orɡovaːn
herakles	ɦɛraklɛs
častica	t͡ʃascit͡sa
mĺzť	mɫ̩ːsc
hovädzí	ɦɔvæd͡ziː
bohuslav	bɔɦuslau̯
nahý	naɦiː
adela	adeɫa
ženou	ʒenɔu̯
lotyština	ɫɔtiʃcina
holí	ɦɔliː
sliezsko	sli̯ɛsskɔ
prežúvavec	prɛʒuːvavɛt͡s
hovädina	ɦɔvɛɟina
opitý	ɔpitiː
človiečik	t͡ʃɫɔvi̯ɛt͡ʃik
útroba	uːtrɔba
sokrates	sɔkratɛs
zapínať	zapiːnac
krôčik	kru̯ɔt͡ʃik
klobúk	klɔbuːk
ulíc	uʎiːt͡s
škandinávia	ʃkandinaːvia
žalmy	ʒaɫmi
kórejčina	kɔːrɛjt͡ʃina
mlyn	mlin
esej	ɛsɛj
viera	vi̯ɛra
taliansky	tali̯anski
sviečkach	svi̯ɛt͡ʃkax
skrutkovať	skrutkɔvac
množina	mnɔʒina
mištička	miʃcit͡ʃka
haruspex	ɦaruspeks
hmotnosť	ɦmɔtnɔsc
čej	t͡ʃɛj
hydina	ɦiɟina
pizda	pizda
amnézia	amnɛːzia
čajka	t͡ʃajka
ulici	uɫit͡si
strecha	strɛxa
štefánia	ʃcɛfaːnia
mešita	mɛʃita
bezo	bɛzɔ
nôh	nu̯ox
vojak	vɔjak
selén	sɛlɛːn
inga	iŋɡa
lesana	lɛsana
voz	vɔs
aký	akiː
užší	uʃiː
hystéria	ɦistɛːria
nemčina	ɲɛmt͡ʃina
antónia	antɔːnia
plukovník	pɫukɔvɲiːk
kobrách	kɔbraːx
ctí	t͡sciː
irena	irɛna
republika	rɛpublika
lei	lɛi
nadšený	natʃeniː
sukničkár	sukɲit͡ʃkaːr
pop	pop
terst	tɛrst
zoológia	zɔɔɫɔːɡia
mät	mæt
malinový	malinɔviː
stan	stan
drumbľa	drumbʎa
európe	ɛu̯rɔːpɛ
ihla	iɦɫa
skuhroš	skuɦrɔʃ
miloslav	miɫɔsɫau̯
deviaty	ɟɛvi̯ati
fín	fiːn
hroch	ɦrɔx
telúr	tɛɫuːr
zastaralý	zastaraɫiː
harfa	ɦarfa
nádražím	naːdraʒiːm
hnoj	ɦnɔj
bartolomej	bartɔɫɔmɛj
dymami	dimami
schody	sxɔdi
vedľa	vɛdʎa
akcia	akt͡sia
džin	d͡ʒin
líštička	liʃcit͡ʃka
nemecky	ɲɛmɛt͡ski
budyšín	budiʃiːn
podpňovka	pɔtpɲɔu̯ka
viac	vi̯at͡s
medzi	mɛd͡zi
február	fɛbruaːr
pán	paːn
bróm	brɔːm
fajčenie	fajt͡ʃɛɲi̯ɛ
vdov	vdɔu̯
hriva	ɦriva
vrabec	vrabɛt͡s
užitočný	uʒitɔt͡ʃniː
kaše	kaʃɛ
jedenásť	jɛdɛnaːsc
nórsky	nɔːrski
oblečenie	ɔblɛt͡ʃɛɲi̯ɛ
klára	kɫaːra
labe	ɫabɛ
krajoch	krajox
smädný	smædniː
rakúsko	rakuːskɔ
berlín	bɛrliːn
hŕstka	ɦr̩ːstka
pravdách	pravdaːx
električka	ɛlɛktrit͡ʃka
pivnica	pivɲit͡sa
erbium	ɛrbium
cadik	t͡sadik
hemendex	ɦɛmɛndɛks
ceruza	tsɛruza
hruška	ɦruʃka
kata	kata
kornélia	kɔrnɛːlia
daniel	daniɛɫ
kazimír	kazimiːr
bože	bɔʒɛ
aristoteles	aristɔtɛlɛs
mníchov	mɲiːxɔu̯
leo	lɛɔ
dojča	dɔjt͡ʃa
čistej	t͡ʃiscɛj
kúpiť	kuːpic
tieň	ci̯ɛɲ
zajac	zajat͡s
vitráž	ʋitraːʃ
koreni	kɔrɛɲi
vretenica	vrɛcɛɲit͡sa
žien	ʒi̯en
miroslava	mirɔsɫava
krajinám	krajinaːm
krajina	krajina
najmä	najmæ
škrupinka	ʃkrupiŋka
ísť	iːsc
kníhkupec	kɲiːxkupɛt͡s
knižnica	kɲɪʒɲɪt͡sa
používateľ	pɔuʒiːvacɛʎ
boleslav	bɔlɛslau̯
hojdačka	ɦɔjdat͡ʃka
moriak	mɔri̯ak
barbara	barbara
indium	indium
nór	nɔːr
jeho	jɛɦɔ
ananás	ananaːs
pražský	praʃskiː
havaj	ɦavaj
škorica	ʃkɔrit͡sa
dymu	dimu
lexikálny	lɛksikaːlni
bibiána	bibiaːna
darina	darina
musieť	musi̯ɛc
timotej	timɔtɛj
krajov	krajou̯
toxický	toksit͡skiː
bislama	bisɫama
ohovárať	ɔɦɔvaːrac
chrbtica	xr̩pcit͡sa
veternica	vɛcɛrɲit͡sa
grékyňa	ɡrɛːkiɲa
matematik	matɛmatik
krásny	kraːsni
väčšina	væt͡ʃʃina
strome	strɔmɛ
cuda	t͡suda
vražda	vraʒda
požiar	pɔʒi̯ar
sága	saːɡa
nižší	ɲiʃʃiː
sústava	suːstava
knižočka	kɲiʒɔt͡ʃka
machiavellizmus	makiavɛlizmus
masť	masc
dobrá	dɔbraː
voziť	vɔzic
ír	iːr
holý	ɦɔɫiː
ľubomír	ʎubɔmiːr
lano	ɫanɔ
starší	starʃiː
mrkva	mr̩kva
mops	mɔps
duba	duba
kostrová	kɔstrɔvaː
dvere	dvɛrɛ
rozumný	rɔzumniː
soľ	sɔʎ
chren	xrɛn
dano	danɔ
lýra	liːra
sláva	sɫaːva
miro	mirɔ
muži	mʊʒɪ
slzička	sɫ̩zit͡ʃka
mäkkýš	mɛkiːʃ
svätopluk	svætɔpɫuk
hosť	ɦɔsc
zub	zup
ďalší	ɟaɫʃiː
morka	mɔrka
alexandra	alɛksandra
sukienka	suki̯ɛŋka
myš	miʃ
literatúra	literatuːra
mäkčeň	mækt͡ʃeɲ
svokra	svɔkra
telám	cɛɫaːm
pečeň	pɛtʃɛɲ
piepor	pi̯ɛpɔr
olympiáda	ɔlimpiaːda
kocka	kɔt͡ska
jarok	jarok
osla	ɔsɫa
naozaj	naɔzaj
kašlať	kaʃɫac
strachu	straxu
eliška	ɛliʃka
čím	t͡ʃiːm
mäta	mæta
cukor	t͡sukɔr
nádražiam	naːdraʒi̯am
čomu	t͡ʃɔmu
jüan	jian
rubídium	rubiːdium
sebec	sɛbɛt͡s
dana	dana
linda	linda
záležitosť	zaːʎeʒitɔsc
fínsko	fiːnskɔ
volov	vɔɫɔu̯
takmer	takmɛr
rómka	rɔːmka
čižmička	t͡ʃiʒmit͡ʃka
švéd	ʃʋeːt
dobrý	dɔbriː
medovina	mɛdɔvina
najväčší	najvɛt͡ʃʃiː
krajine	krajiɲe
irak	irak
pätica	pæcit͡sa
katapult	katapult
slovinčina	sɫɔvint͡ʃina
plný	pl̩niː
kmeňa	kmɛɲa
tatiana	tati̯ana
einsteinium	ajnʃtajnium
borec	bɔrɛt͡s
uliciam	uɫit͡si̯am
obyvateľ	ɔbivacɛʎ
sidónia	sidɔːnia
spoločnosť	spɔɫɔt͡ʃnɔsc
január	januaːr
ľubo	ʎubɔ
vývojka	viːvɔjka
ruža	ruʒa
doktora	dɔktɔra
ožran	ɔʒran
panic	paɲit͡s
dvanásťročný	dvanaːscrɔt͡ʃniː
šok	ʃɔk
hôľ	ɦu̯oʎ
aktualizovaný	aktualizovaniː
lídrov	liːdrɔu̯
koč	kɔt͡ʃ
revue	rɛvy
hovädo	ɦɔvædɔ
nevädza	ɲɛvæd͡za
perla	pɛrɫa
hrab	ɦrap
mäte	mæcɛ
olívia	ɔliːvia
edita	ɛdita
podujatie	pɔdujaci̯ɛ
možno	mɔʒnɔ
emília	ɛmiːlia
švagor	ʃvaɡɔr
jeremiáš	jɛrɛmiaːʃ
včera	ft͡ʃɛra
uzbekistan	uzbɛkistan
jolana	jɔɫana
pomorník	pɔmɔrɲiːk
neuróza	nɛu̯rɔːza
mesto	me̞sto̞
valér	valɛːr
cesta	t͡sɛsta
prezývka	prɛziːu̯ka
kulturistika	kuɫturistika
zlý	zɫiː
diana	diana
mäsiar	mæsi̯ar
slovenčina	sɫɔvɛnt͡ʃina
vodopád	vɔdɔpaːt
bohrium	bɔrium
breza	brɛza
láma	ɫaːma
odo	ɔdɔ
hybný	ɦibniː
jogurt	jɔɡurt
alfréd	aɫfrɛːt
raz	ras
starká	starkaː
galaxiu	ɡalaksiu
srna	sr̩na
herec	ɦɛrɛt͡s
tkáčka	tkaːt͡ʃka
bohuslava	bɔɦuslava
cholera	xɔlɛra
žila	ʒiɫa
sukňa	sukɲa
turnaj	turnaj
benzín	bɛnziːn
katapulty	katapuɫti
slováci	sɫɔvaːt͡si
vydra	vidra
barbora	barbɔra
lantán	ɫantaːn
kvapeľ	kvapɛʎ
včela	ft͡ʃɛɫa
fakte	fakce
kristína	kristiːna
strachom	straxom
chlapmi	xɫapmi
viking	vikiŋɡ
kel	kɛɫ
faerský	faɛrskiː
víťaz	viːcas
slavomíra	sɫavɔmiːra
guru	ɡuru
samuraj	samuraj
jak	jak
aleš	alɛʃ
holandsky	ɦɔɫandski
františek	franciʃɛk
dni	dɲi
džamija	d͡ʒamija
katedrála	katedraːɫa
zelený	ze̞ʎe̞niː
erno	ɛrnɔ
ufňukaný	ufɲukaniː
tur	tur
olovrant	ɔɫɔvrant
pätnásť	pætnaːsc
spôsob	spu̯ɔsɔp
škovránok	ʃkɔvraːnɔk
schod	sxɔt
zázračný	zaːzrat͡ʃniː
jablko	jabɫ̩ko
irán	iraːn
dcérečka	t͡sɛːrɛt͡ʃka
kraj	kraj
šógun	ʃɔːɡun
krm	kr̩m
dvadsať	dvatsac
rebro	rɛbrɔ
prsník	pr̩sɲiːk
zbohom	zbɔɦɔm
atómový	atɔːmɔviː
pŕhľavka	pr̩ːɦʎau̯ka
borovicový	bɔrɔvit͡sɔviː
vilma	viɫma
hierarchia	ɦi̯ɛrarxia
dánsky	daːnski
nauru	nauru
rakúsky	rakuːski
bambusový	bambusɔviː
euro	ɛu̯rɔ
syr	sir
blcha	bɫ̩xa
zajačik	zajat͡ʃik
šesť	ʃɛst
telami	cɛɫami
fluór	fluɔːr
pôžička	pu̯ɔʒit͡ʃka
atény	atɛːni
krvi	kr̩vi
hrdinom	ɦr̩ɟinɔm
dráždec	draːʒɟɛt͡s
rádium	raːdium
srdciam	sr̩t͡si̯am
bielorusko	bi̯ɛɫɔruskɔ
mäkkýš	mækiːʃ
korčule	kɔrt͡ʃulɛ
ideológia	idɛɔɫɔːɡia
vodík	vɔɟiːk
vláčik	vɫaːt͡ʃik
bohdan	bɔɦdan
smutný	smutniː
radón	radɔːn
jela	jɛɫa
diéta	diɛːta
krajčír	krajt͡ʃiːr
trolejbus	trɔlɛjbus
kongres	kɔŋɡrɛs
kvasnice	kvasɲit͡sɛ
stromami	strɔmami
luna	luna
veľký	vɛʎkiː
maňuška	maɲuʃka
bohuš	bɔɦuʃ
katapultami	katapuɫtami
chrček	xr̩t͡ʃɛk
s	s
môj	mu̯ɔj
pláž	plaːʃ
terbium	tɛrbium
pravý	praviː
žigmund	ʒiɡmund
kubánec	kubaːɲɛt͡s
kapverdy	kapvɛrdi
tisíc	cisiːt͡s
čuchať	t͡ʃuxac
pokrievka	pɔkri̯ɛu̯ka
jačí	jat͡ʃiː
adamovia	adamɔvi̯a
vilnius	viɫɲi̯us
stáť	staːc
fí	fiː
rieka	ri̯ɛka
chvíľa	xviːʎa
dunaj	dunaj
popol	pɔpɔɫ
krívať	kriːvac
slon	sɫɔn
modlivka	mɔdliu̯ka
krása	kraːsa
cmar	t͡smar
denný	ɟɛnniː
jana	jana
litava	litava
ľuboslava	ʎubɔsɫava
kopija	kɔpija
mýto	miːtɔ
jachta	jaxta
embólie	ɛmbɔːliɛ
škótsky	ʃkɔːtski
nedele	ɲɛɟɛʎɛ
škola	ʃkɔɫa
sedem	sɛɟɛm
škoda	ʃkɔda
sabína	sabiːna
pyžamo	piʒamɔ
šošovica	ʃɔʃɔvit͡sa
jej	jɛj
opúšťať	ɔpuːʃcac
ohňostroj	ɔɦɲɔstrɔj
karol	karɔɫ
orlí	ɔrliː
kravata	kravata
pásavka	paːsau̯ka
napokon	napokon
kôra	ku̯ora
medzinárodný	mɛd͡zinaːrɔdniː
končiť	kɔnt͡ʃic
šija	ʃija
miriam	miriam
denisa	dɛnisa
vedro	vɛdrɔ
zombi	zɔmbi
chyža	xiʒa
stroju	strɔju
kornel	kɔrnɛɫ
mäkký	mekiː
nesčíselný	ɲɛst͡ʃiːsɛlniː
um	um
smädiť	smæɟic
telá	cɛɫaː
piaty	pi̯ati
doktorovi	dɔktɔrɔvi
marcel	mart͡sɛɫ
dielo	ɟi̯ɛɫɔ
tučniak	tut͡ʃɲi̯ak
máj	maːj
golier	ɡɔʎi̯ɛr
ján	jaːn
lepší	lɛpʃiː
draha	draɦa
teizmus	tɛizmus
zatiaľ	zaci̯aʎ
latrína	ɫatriːna
bologna	boloɲa
olivami	ɔlivami
leu	lɛu
jeseter	jɛsɛcɛr
osol	ɔsɔɫ
hlad	ɦɫat
sexu	sɛksu
hlas	ɦɫas
vzduch	vzdux
yzop	izɔp
valéria	valɛːria
koliba	kɔliba
mojžíš	mɔjʒiːʃ
budova	budɔva
fyzikálni	fizikaːɫni
ejakulácia	ejakulaːt͡sia
veverica	vɛvɛrit͡sa
pohár	pɔɦaːr
udrieť	udri̯ɛc
predmestie	prɛdmɛsci̯ɛ
nárečie	naːrɛt͡ʃi̯ɛ
strojmi	strɔjmi
začiatok	zat͡ʃi̯atɔk
škandál	ʃkandaːɫ
novak	nɔvak
dežo	dɛʒɔ
dž	d͡ʒ
nemecko	ɲɛmɛt͡skɔ
augustín	au̯ɡustiːn
slanina	sɫaɲina
drozdí	drɔzɟiː
špagety	ʃpaɡɛti
kožuch	kɔʒux
paľo	paʎɔ
čečenský	t͡ʃɛt͡ʃɛnskiː
škorec	ʃkɔrɛt͡s
gréčtina	ɡrɛːt͡ʃcina
polostrov	pɔɫɔstrɔu̯
cirkev	t͡sirke̞u̯
imrich	imrix
husi	ɦusi
struna	struna
röntgenovať	rɛntɡɛnɔvac
lángoš	ɫaːŋɡɔʃ
rozmarín	rɔzmariːn
dláto	dɫaːtɔ
miloš	miɫɔʃ
holmium	ɦɔɫmium
brdo	br̩dɔ
jaroslava	jarɔsɫava
blázon	bɫaːzɔn
zrenica	zrɛɲit͡sa
december	dɛt͡sɛmbɛr
valkýra	vaɫkiːra
mlieko	mli̯ɛkɔ
pavúk	pavuːk
roman	rɔman
vtáčik	ftaːt͡ʃik
koža	kɔʒa
sušič	suʃit͡ʃ
kožušina	kɔʒuʃina
sad	sad
banku	baŋku
sukne	sukɲɛ
bizmut	bizmut
georgína	ɡɛɔrɡiːna
dať	dac
marhuľa	marɦuʎa
synovia	sinovi̯a
birmovanie	birmɔvaɲi̯ɛ
topánočka	tɔpaːnɔt͡ʃka
nezmysel	ɲɛzmisɛɫ
tabak	tabak
alandy	aɫandi
kunda	kunda
gaba	ɡaba
písmeno	piːsmɛnɔ
