ἀγγελικόσ	aŋɡɛlikos
ὑψόω	hypsóɔː
γρύξ	ɡrýks
ἰλλυρία	illyria
περιπατητικόσ	pɛripatetikos
θύαμισ	tʰýamis
φασίν	fasin
γράφειν	ɡrápʰeːn
νίσυροσ	nisiros
ἑτάροιο	etario
σκιάδειον	skiaðion
ἀγερέοιντο	aʝereindo
ξυνέβησαν	ksynɛbesan
φύγεν	pʰyɡɛn
συνόρωι	synoro
ἀγγειλάμεν	aŋɡeːlámen
παρίστημι	parístɛːmi
ἀγαλλιῶιντο	aɣaliondo
λύσεισ	lýseːs
ἀγαλλιασθείην	aɣaliasθiin
δείξω	děːksɔː
πενία	pɛnia
ζηνόβιοσ	zdɛːnóbios
βίλλοσ	villos
εὔμαι'	evme
σαυτόν	safton
ἐτάζω	etazo
ἀντικυρεύσ	antikyreʍs
μαντεία	mandia
φλεβότομοσ	ɸleβotomos
ἔνδημοσ	éndɛːmos
πολύτροφοσ	politrofos
ἀάσητε	aasetɛ
λύοιτε	lyyte
ἀθηναῖοι	atʰenɛy
ἀμφίλοχοσ	ampʰílokʰos
ὀνομάτων	onomaton
ὄρυγμα	óryŋma
ὁπλοφύλαξ	hoplopʰýlaks
τελμησσόσ	tɛlmessos
διεφάνη	diepʰánɛː
πολύμητισ	polimitis
γονυπετήσ	ɡonypetɛ̌ːs
ἐφέδρα	efeðra
ἀπεβλήθην	apeβliθin
ἄγγελοι	aŋɡɛly
πολέμιοσ	polɛmios
αὔγη	avʝi
ἀρέσκω	arɛsko
ἐκγόνοισ	eɡɡónoi̯s
θυράων	θiraon
διηκοσίοισι	diɛːkosíoi̯si
θίμβρων	tʰímbrɔːn
λογογράφοσ	loɡoɡrápʰos
ἀκραιφνοῦσ	akrai̯pʰnôːs
κοσμοπολίτην	kozmopolǐːtɛːn
ὄλβασα	olbasa
συγγραφέων	syŋɡrapʰɛon
λίγδοσ	liɣðos
καινότησ	kɛnotes
ὀδυνήφατοσ	oðinifatos
ἐοῦσα	eôːsa
δημοκρατέομαι	ðimokrateomɛ
ἀγαμέμνονοσ	aɣamemnonos
δουπέω	ðupeo
ἄγαλμα	aɡalma
ἀγαθοποιούμενοσ	aɡatʰopyumɛnos
ἀντίπτωσισ	antiptosis
σοφοῖσ	sopʰys
ἄρχοντα	árkʰonta
γένουα	ɡénoːa
συνέθλιψα	synétʰliːpsa
αἴθοπι	eθopi
νικῶν	nikon
χαμαισύκινοσ	xamesicinos
ἀγανακτέοισθον	aɡanaktɛystʰon
ἕταροι	hɛtary
ἐμά	emǎː
ἐφήμεροσ	eɸimeros
χείλουσ	kʰilus
λέγετε	leɣete
ἀληθῆ	aletʰe
σικελοῖσ	sicelis
αἴθουσα	eθusa
ἀντίπτωσισ	andiptosis
ἀποχή	apoçi
μεγίστη	meɡístɛː
ἀγαθοεργεῖν	aɣaθoerɣin
κύρια	cyria
παράλληλοσ	parállɛːlos
καυνάκησ	kavnacis
βουλόμενοσ	bulomɛnos
αἷσ	es
λῆμνον	lemnon
νέβρινοσ	nébrinos
ἔκτμημα	ektmima
κέθηγοσ	kɛtʰeɡos
ἀνασκάπτομεν	anaskaptomen
ἐποιχόμενοσ	epyxomenos
κυσήγη	kyseɡe
ἀγγαρευσάσθων	aŋɡareʍsastʰon
αἰπύ	ɛpy
ἀγγέλλοισθε	aŋɡɛllystʰɛ
ῥεβέκκα	reveka
ἀγανακτῆσον	aɡanaktɛ̂ːson
φύγον	fiɣon
ἠγείρετον	iʝireton
ἰδανόσ	idanós
ἀθήνην	atʰɛ̌ːnɛːn
παρεξετράπην	pareksetrapin
μεταφέρετε	metaferete
ἤγγελλε	eŋɡɛllɛ
γραμματικόσ	ɡrammatikós
ἀγγελήτω	aɲɟelito
τοιάσδε	tyazdɛ
κολοβόω	kolobóɔː
ἀγαθοποιέοισθον	aɡatʰopyɛystʰon
ἀγορά	aɡora
τετριμμέναιν	tetrimenen
σπονδῶν	spondon
ἀγαπησαίμην	aɡapɛːsǎi̯mɛːn
καικίνασ	kai̯kǐːnaːs
ἀασθείτην	aastʰiten
κέρκουροσ	kerkuros
σφίγγω	spʰiŋɡo
κεύθω	cefθo
σίτινοσ	sitinos
ἔτυχε	etyçe
ἔσδρασ	ezðras
παρθένιον	partʰénion
στερέωμα	stɛrɛoma
τύραννον	týrannon
μυελόσ	mielos
ἠγαθοποιείσθην	eɡatʰopyistʰen
ἀγγελήσοιντο	aɲɟelisindo
βλεφάρων	blɛpʰaron
ἐξομολογήσεωσ	ɛksomoloɡesɛos
τετριμμένων	tɛtrimmɛnon
μάν	mǎːn
φιαρόσ	pʰiarós
ἀγγοθήκην	aŋɡoθikin
μεσσηνία	messinia
ἠρωτήθην	irotiθin
εἰλείθυια	iliθia
οἶκοσ	ôi̯kos
λέγε	leɣe
παφλαγονία	paɸlaɣonia
κίων	cion
ἄσκλον	ásklon
λαιστρυγόνεσ	lai̯stryːɡónes
σῖγμα	sîːŋma
κρατόσ	kratos
ἡθμόσ	hɛːtʰmós
ἀγαπῆσον	aɡapɛ̂ːson
διφθέρινοσ	ðifθerinos
συνέρρευσα	synɛr̥r̥eʍsa
πυθμήν	pytʰmɛ̌ːn
βλαπτικόσ	blaptikos
φόρμιγξ	pʰórmiŋks
ἀγαθοποιηθεῖτε	aɣaθopyiθite
ἀγερθείημεν	aɣerθiimen
στέφω	steɸo
πλέω	pleo
ὑψίπυλοσ	ipsipilos
ἀγαλλιασθῆναι	aɣalliasθine
ἠγείρω	iʝiro
βεβαιότερον	veveoteron
συγκρουομένη	syŋkruomɛne
σταγόνων	staɣonon
ἠγαθοποίησα	eɡatʰopyesa
κρατήσασ	kratesas
προφάσει	profasi
φυλακῶν	pʰylakɔ̂ːn
γάζωροσ	ɣazoros
ἀγαθοποιήθητον	aɡatʰopyetʰeton
πολύτριχοσ	politrixos
παιδεύονται	pɛðeβontɛ
βδελυρόσ	bdelyrós
κατατίθημι	katatítʰɛːmi
βασιλίσκοσ	βasiliskos
ἀγαπήσωνται	aɡapesontɛ
τόσσα	tóssaː
χρυσελεφαντίνησ	xryseleɸantinis
σημασία	sɛːmasíaː
πίπτωσι	pǐːptɔːsi
ὀδυσσεύσ	oðisefs
ἠγγείλασθον	ɛːŋɡěːlastʰon
αἴθρα	ɛθra
φαύστυλοσ	pʰǎu̯stylos
δαναῶν	danaon
ἀγάπαιν	aɣapɛn
γλία	ɡlia
ἅπτω	apto
παιδνόσ	peðnos
φαιόσ	pʰɛos
μεσεντέριον	mesentérion
βαστάρναι	βastarnɛ
ἱππολειχήν	ippolixin
δεκάτωι	dekátɔːi̯
καιέτα	kɛɛta
κύτισοσ	citisos
ἀναχωρητήσ	anakʰɔːrɛːtɛ̌ːs
θνητοί	tʰnety
ναίει	nei
τελήεισ	telɛ̌ːeːs
αἱματόεισ	hai̯matóeːs
ἀδικοῦμαι	adikôːmai̯
μηδεμίαν	medɛmian
ῥέω	r̥éɔː
ἀκρίσ	akris
χαίνω	kʰɛno
κυδωνία	kydɔːníaː
βουλοίμην	bulymen
βούδοροσ	bǒːdoros
βλαστόσ	blastós
φυγών	ɸyɣon
φύλαξισ	ɸylaksis
ἥβη	hɛ̌ːbɛː
ἀφικόμεθα	apʰiːkómetʰa
ὑψόω	ipsoo
κρίμνον	krímnon
ἀγαλλίαε	aɣalliae
ὑπερφίαλοσ	hyperpʰíalos
κόσκινον	koscinon
λεβάδεια	leβaðia
οἴκαδ'	ikað
τισσαφέρνου	tissafernu
ὀδυσσεύσ	odysseʍs
ἀτθίσ	atθis
ἑκάστου	ekastu
ἀρτέμων	artémɔːn
ἡσυχάσασ	hɛːsykʰásaːs
τυτθόν	tytʰtʰón
φύζα	pʰýzda
τραπεζοῦσ	trapɛzus
ἀγαθοποιοῦμαι	aɣaθopiume
ὑβρίζοντεσ	yβrizontes
ἔτελισ	ɛtɛlis
ψάμαθοσ	psamatʰos
καλλιόπη	kaliopi
βαβυλωνία	vavilonia
κέλωρ	kɛlor
ἡδονή	hɛːdonɛ̌ː
στάδιον	stadion
πλούταρχοσ	plutarkʰos
ὀμφαλοέσσαισ	ompʰaloɛssɛs
ἄντοικοι	antyky
ἀγαθοποίεε	aɡatʰopǒi̯ee
δικαστῆι	dikaste
ἀτρύγετοσ	atryɣetos
πιπράσκω	pipráskɔː
αἰπεινόσ	ɛpinos
μερμήριξεν	mermiriksen
ἀγαθοποιησάσθων	aɡatʰopyesastʰon
σπάθη	spatʰe
κοσμοπολίταισ	kozmopolitɛs
κάνωβοσ	kanovos
ἀρήϊοι	areiy
δῖα	dia
σοροί	sory
κενταύρειον	centavrion
ἐρινεόσ	eriːneós
δημοκρατίαι	dɛːmokratíai̯
κύκλωψ	kyklops
τόξων	tokson
ἐλεήμων	ɛlɛemon
σθένοσ	stʰénos
σύεσ	sies
φᾶσισ	pʰasis
λέσχη	lesxi
ἀγαθοποιήσατε	aɣaθopiisate
ἀγγέλλητον	aɲɟeliton
γεννήτορι	ɡɛnnetori
ἑλμινθοβότανον	elminθoβotanon
φάρμακον	pʰármakon
ὑπήνη	hypɛ̌ːnɛː
ταμασσόσ	tamassos
κεκλεισμένοι	ceklizmeny
ἐϋκνήμιδασ	eyknimiðas
ἀλεγεινόσ	aleʝinos
στοιχαδικόσ	styxaðikos
εὐχαριστία	eu̯kʰaristíaː
θρώισκω	tʰrosko
τιτᾶνοσ	titanos
ἐφραίμ	epʰrǎi̯m
φαίνων	ɸɛnon
ἰχθυοφάγοσ	ikʰtʰyopʰáɡos
πεπαίδευκε	pɛpɛdeʍkɛ
ζέσισ	zdésis
ὁπλή	opli
πρατήρ	prater
ὀφθαλμούσ	oɸθalmus
καλουμένοισ	kalumenys
ἐφιέμενοι	efiemeni
ὀδυσσῆοσ	odysseos
φυτικαί	pʰytikǎi̯
ἐλαχίστην	elaçistin
φιλοψευδήσ	filopsevðis
ὀρυά	oryǎː
καρώ	karo
χέουσα	çeusa
ἀθρόων	aθroon
ὕπτιοσ	iptios
τρύβλιον	trýblion
παιδεύουσι	pɛdewusi
τελέω	teleo
ὅσσαι	ose
χείρεσσι	kʰirɛssi
πελασγίσ	pelazɣis
δέκατοσ	dɛkatos
φλογί	pʰloɡi
εὐνῆσ	ewnes
ἄλιζα	álizda
πάντηι	pandi
βέμβιξ	bémbiks
ἀχιλλέωσ	akʰilléɔːs
ἀάονται	aáontai̯
λουτήρ	lutir
ἐλεφαντίνη	ɛlɛpʰantine
καταπρακτικόν	katapraktikon
ἀμυντικόσ	amindikos
βλεφάροισι	βleɸarysi
πνοιῆι	pnye
ἠγαπήθην	ɛːɡapɛ̌ːtʰɛːn
ῥέγμα	r̥ɛɡma
ἀγείρω	aʝiro
ὀνομάτοιν	onomatyn
ἀγγελήσεσθε	aɲɟelisesθe
ὀρθόδοξοσ	orθoðoksos
φθίη	pʰtʰie
ἔσχον	éskʰon
ἐννήιον	eniion
φάνη	pʰane
πολλάκισ	polacis
σέο	seo
χρυσάνθεμον	xrysanemon
θραικί	tʰraːi̯kí
φώνημα	ɸonima
μοῖρισ	myris
κέφαλοσ	keɸalos
σαναχάριβοσ	sanaxarivos
χρόνοισ	xronis
αἰχμητήν	ɛkʰmeten
γένοντο	ɡénonto
ὠφελία	opʰɛlia
δορίαλλοσ	doríallos
μέρμεροσ	mérmeros
ἀμυγδάλινοσ	amiɣðalinos
καλοῦ	kalu
ἤ	ɛ̌ː
θρηνωιδία	tʰrɛːnɔːi̯díaː
ἔκλινον	ékliːnon
ἔκλινα	ɛklina
πύλον	pylon
καλοκαγαθία	kalokaɣaθia
βλαισόσ	βlɛsos
σκύλουσ	scylus
μήνιον	minion
προστίθεσθαι	prostiθesθɛ
ἐπιδιαθήκη	epiðiaθici
τίγρησ	tiɡres
διπλασία	ðiplasia
φιλώτεροσ	pʰilɔ̌ːteros
πλημμύριον	plimirion
ἀκόνιτον	akóniːton
τέττιξ	téttiːks
προγεγενημένοσ	proɡeɡenɛːménos
στραβισμόσ	strabizmos
βώλινοσ	volinos
βοηθῆσαι	voiθise
κάρραι	karrɛ
μόρον	moron
τέλεσμα	télezma
αἰτιάομαι	ɛtiaomɛ
σαλάμβη	salambe
σοφοῦ	sopʰu
αἰθούσηι	ai̯tʰǒːsɛːi̯
κατῶβλεψ	katɔ̂ːbleps
οὐρήθρα	oːrɛ̌ːtʰraː
ἀπέβαλλον	apéballon
κάτειμι	katimi
κεραμεύσ	ceramefs
φιλυρέα	filirea
ἀγερέοιντο	aʝereynto
εὐδαιμόνων	ewdɛmonon
ἔρεσθαι	eresθe
μεγάλην	meɡálɛːn
κακοφωνία	kakoɸonia
ἠγγέλλομεν	ɛːŋɡéllomen
ποσσίν	posin
ἀνθύπατοσ	antʰypatos
κοσύμβη	kosymbe
ἀγαθαῖσ	aɡatʰâi̯s
ἠγγελκοίη	ɛːŋɡelkǒi̯ɛː
χρυσελεφαντίνων	kʰryːselepʰantínɔːn
προΐημι	proiimi
ἄλλαι	ale
νυκτερίσ	nykterís
πολέμιοι	polemiy
ὀνοκρόταλοσ	onokrótalos
ὀρέσβιοσ	orézbios
σιδηροθήκη	siderotʰeke
βουβάλουσ	boːbáloːs
κελεύθου	celefθu
ἰσάτισ	iːsátis
δικάζω	dikázdɔː
νυγείη	nyɡěːɛː
σύμφωνον	sýmpʰɔːnon
ὑπόταξισ	hypótaksis
μυιοσόβοσ	myosovos
πτύξισ	ptýksis
ἀγανακτέητε	aɡanaktéɛːte
ἄμφρυσοσ	amfrisos
χαραδροῦσ	xaraðrus
γόνατοσ	ɣonatos
ἀγάπησαι	aɡapesɛ
ὧδε	hɔ̂ːde
μάρδοσ	mardos
κηφήν	kɛːpʰɛ̌ːn
χάλιξ	kʰáliks
πήγασοσ	pɛ̌ːɡasos
ὑπέρεικοσ	iperikos
λευκομέλασ	leu̯komélaːs
ἀγγαρεύσοιεν	aŋɡarefsien
οὔρεσι	uresi
ἀβιάθαρ	aviaθar
προηγουμένων	proiɣumenon
ἐπιμαχία	epimaçia
λευκαῖσ	leʍkɛs
ἀνασκάπτω	anaskapto
μακρόσ	makrós
στρατιώταισ	stratiotɛs
νεκάδοσ	nekádos
χαμαιάκτη	kʰamai̯áktɛː
φάσσα	pʰássa
ἤθελε	iθele
διαλύω	ðialio
ὀδύρομαι	ody̌ːromai̯
ἐγκρυφίασ	eŋɡryfias
φλάκκοσ	pʰlákkos
τέκον	tékon
ἀγορεύσων	aɣorefson
ἀγγέλλοι	aɲɟelly
εὐρυκλῆσ	eu̯ryklɛ̂ːs
ἁγιαζοίμεθα	aʝiazymeθa
ἀγγέλλου	aɲɟelu
μυρμηκολέων	myrmekolɛon
μῦ	mŷː
κληρικόσ	klɛːrikós
ὤτων	oton
μηλοπέπων	melopɛpon
νηυσί	nifsi
δμωιῆισι	dmoesi
ἀγερησομένη	aɡɛresomɛne
ἰωκή	iɔːkɛ̌ː
ἐλαιοῦσ	eleus
ἰσμαήλ	izmail
ἀποβάθρα	apobatʰra
πεπαιδεῦσθαι	pɛpɛdeʍstʰɛ
ἐδόκει	ɛdoki
ναρθήκινοσ	nartʰɛ̌ːkinos
ἠγείρω	iɣiro
ὀπάων	opǎːɔːn
γλωττίδων	ɡlɔːttídɔːn
ἐνετία	enetíaː
κροκύλιον	krocilion
νεκάσ	nɛkas
σπανίωσ	spanios
ἄνθρωπε	antʰropɛ
κρούπεζαι	krupeze
ἀγγέλωσι	aŋɡɛlosi
ἀνακαίνωσισ	anakǎi̯nɔːsis
πειρᾶσθαι	pirasθe
ἐτάνυσσε	etanise
εὔανδροσ	eβandros
βίαι	βia
παρόντεσ	parontes
οἰκουμενικόσ	ykumenikos
πεσούσησ	pɛsuses
συγκρουομένου	syŋkruomɛnu
κρόβαλοσ	krovalos
αἰνῶσ	ai̯nɔ̂ːs
χαμαιβάλανοσ	xamɛβalanos
ἀγερεομένη	aʝereomeni
ποντοπόροισι	pontoporysi
ἐποχή	ɛpokʰe
ἀγερθείημεν	aɡertʰěːɛːmen
κίε	kie
ὠρομέδων	oromeðon
δηλοῦται	ðilutɛ
τύχη	tykʰe
ἁλικαρνασσεύσ	alikarnassefs
ἄδηλον	ádɛːlon
οἴνινοσ	ininos
ἵπποσ	híppos
πετάννυμι	pɛtannymi
εἰδότων	eːdótɔːn
θεηκόλοσ	tʰeɛːkólos
ἐρχομέναισ	erxomenɛs
τούσ	tus
βλεφαρίσ	blepʰarís
βαθύσ	βaθys
ἀκαρήσ	akarɛ̌ːs
ἑωυτόν	eoiton
ψῆφον	psepʰon
κέδροσ	ceðros
αὐδή	aβði
χρύσεον	xriseon
ἀγαλλιάησθον	aɣalliaisθon
δαπανάω	dapanao
κλέοσ	kleos
ἔφην	eɸin
μακάριοσ	makários
ἀλφάβητον	alpʰábɛːton
ἠγγέλκοιμεν	iŋɡelkymen
λευκότεροσ	leu̯kóteros
ὑδροσκόπιον	yðroskopion
πηδάλιον	pɛːdálion
φύζαν	fizan
βίου	bíoː
τινάσ	tinas
ἰσχυσάντων	isçisandon
στιβαρόσ	stibarós
ἄνθοσ	anθos
φαντάζω	fandazo
ψηφολογεῖον	psɛːpʰoloɡêːon
ἠδών	iðon
δίνη	dine
ἰατρεύω	iatrevo
κορινθίουσ	korintʰius
παιδεύσατον	pai̯děu̯saton
κέχηνα	ceçina
ὕψιστοσ	ypsistos
παιδευθήτων	pɛdeʍtʰeton
πρεσβύτατοσ	prezbýtatos
πλησιάζω	plisiazo
φθόνοσ	ɸθonos
αἰχμάλωτοσ	ɛkʰmalotos
στῦψισ	stypsis
συνεθλίβησαν	synɛtʰlibesan
σταυρόσ	stavros
λιμένι	limɛni
ἠγαπῶ	eɡapo
ὥστ'	hɔ̌ːst
γήινοσ	ʝiinos
δουρόστορον	ðurostoron
χόανοσ	kʰóanos
μύλλοσ	milos
τόσσα	tossa
τισσαφέρνου	tissaɸernu
κελέοντεσ	keleontes
πελάγουσ	pelaɣus
πρόδικοσ	proðikos
χαμαισύκη	xamɛsyki
ἱεροφῶν	ieroɸon
παιδεύσεσθε	pɛðeɸsesθe
ἐλύετο	elieto
ἵετο	hǐːeto
γαργηττόσ	ɣarʝittos
μύθων	my̌ːtʰɔːn
περσεφόνεια	persefonia
αὐδήσω	awdeso
ἀγῶν	aɣon
μαστίχινοσ	mastixinos
τηθύσ	tɛːtʰy̌ːs
σοφόν	sopʰón
λυριστήσ	lyristes
πατρόσ	patros
ἀγείρουσι	aʝirusi
ἔνεμα	énema
ἀγγελοῖσ	aŋɡɛlys
μεγάλ'	meɡál
γέννασισ	ɡénnaːsis
ἰατρεύω	iːaːtrěu̯ɔː
ὄχθασ	okʰtʰas
κατέλυσα	katɛlysa
γαρσάουρα	ɡarsaura
ἁγιωσύνη	aʝiosyni
κραίνω	krǎi̯nɔː
χρυσόσ	kʰryːsós
ἔκπληξισ	ekpliksis
θέμεροσ	tʰɛmɛros
παραγράφομαι	paraɣraɸomɛ
μονοειδέσ	monoiðes
ἀγερέηι	aɣerei
μύκλοσ	myklos
οἰνώνη	oi̯nɔ̌ːnɛː
ἕρπυλλοσ	erpyllos
θῆκ'	tʰek
χρυσελεφαντίνοιν	kʰrysɛlɛpʰantinyn
ἀγγείληται	aŋɡilitɛ
ἐσχαρεῖον	eskʰarêːon
ὄπισθεν	opisθen
ἀσκηθήσ	askɛːtʰɛ̌ːs
καβύλη	kaβyli
μόνουσ	monus
πολεμικῶν	polemikɔ̂ːn
ἐθέλων	etʰélɔːn
πέλλα	pella
ὀμφάλιον	omɸalion
ὀρεύσ	oreɸs
ἀχερωΐσ	akʰerɔːís
μεμάασιν	memaasin
κεραυνῶι	ceravno
φεβρωνία	ɸeβronia
ὀνησίκριτοσ	onesikritos
ναύβολοσ	navvolos
ἀγαλλιαέτων	aɡalliaɛton
ἀγαλλιάσαιο	aɣalliaseo
χίλιοι	çiliy
ἀγαθοποιέοιτον	aɣaθopyeyton
μείδησεν	měːdɛːsen
ῥυταγωγεύσ	r̥yːtaɡɔːɡěu̯s
ἠγείρεσθε	iʝiresθe
διφθέρασ	ðifθeras
φλεγύασ	fleʝias
μόγησα	móɡɛːsa
παμβασιλεύσ	pambasileʍs
ἐφέλκυσιν	efelcisin
δάρνη	dárnɛː
ἐνιαυτόν	eniaɸton
ἐλπίζειν	ɛlpizin
μεγάλα	mɛɡala
φιαλομαντεία	fialomantia
κεραμίσ	kɛramis
κάρπαθοσ	kárpatʰos
κοροπλάθοσ	koroplaθos
θυμελαία	tʰymelǎi̯aː
ἀναχώρησιν	anakʰɔ̌ːrɛːsin
ἴχνοσ	ixnos
ὑπερήφανον	hyperɛ̌ːpʰanon
φώκαια	pʰɔ̌ːkai̯a
ἄλληι	állɛːi̯
ἀδαμάντινοσ	aðamantinos
ζώπυροσ	zopyros
δαμῆναι	damenɛ
γούναθ'	ɡǒːnaːtʰ
μηλολόνθη	mɛːlolóntʰɛː
θέσαν	tʰésan
κηκίσ	kɛːkís
ὕδνον	hydnon
διάταξισ	ðiataksis
σφῆκεσ	spʰɛ̂ːkes
ἀγεροῖο	aɡerôi̯o
ἀλεξανδρέττα	aleksandreta
προτέρων	proteron
ἄτοποσ	átopos
ἵππασοσ	ippasos
ἀγγείλασθον	aŋɡilasθon
περιοδικοῦ	pɛriodiku
θίμβρων	θimbron
ἀμορβέω	amorveo
διεμήνυσα	ðieminysa
ἐπιθυμίασ	epitʰyːmíaːs
φαραώ	farao
ἐγγυθήκη	eŋɡytʰɛ̌ːkɛː
πλεονεξία	pleoneksia
ἀναπόδοτον	anapoðoton
παιδεύσηισ	peðefsis
ῥάπτω	r̥apto
σίγνιον	siɡnion
μολύβδαινα	molybdɛna
ἀσφόδελοσ	aspʰodɛlos
ἀρκτοῦροσ	arktôːros
ὀλίγοισ	oliʝis
εἰσέπλευσα	isɛpleʍsa
ἐμπειρικοί	embirici
ἀρτάβη	artábɛː
τληπόλεμοσ	tlipolemos
λέσβια	lézbia
λάφυρα	lafyra
τοίην	tiin
λιβυρνόσ	libyrnos
βλεφαρίσ	vlefaris
ἀξιούμενοι	aksiǒːmenoi̯
τεκμηρίωι	tɛkmerio
κεράσιον	cerasion
ἑκτεύσ	hektěu̯s
φαρέτρα	ɸaretra
ἐκφέρω	ekʰpʰérɔː
λεπαστή	lepasti
ξύστρα	ksistra
ἴλιοσ	ilios
ἐρέων	ɛrɛon
ἀασθείην	aasθiin
κόκκοσ	kokkos
βοῶπισ	βoopis
παραγράφομαι	paraɡrapʰomɛ
νείατον	niaton
θράσυλλοσ	θrasilos
μέλεοσ	meleos
διαβεβαιώσεισ	diabɛbɛosis
μήλου	mɛ̌ːloː
ἐποτρύνει	epotry̌ːneː
νόμου	nómoː
φλάβιοσ	flavios
ὑπόκρισισ	ipokrisis
ἕλοιτο	elito
πειθομένη	pitʰomɛne
ἵππουρισ	híppoːris
ἐπαιδευέσθην	epai̯deu̯éstʰɛːn
παρεῖχε	pariçe
μαγίσ	maɣis
τυρόσ	tiros
σίναπι	sinapi
ἑβραϊστί	eβraisti
κοκκυγέα	kokkyːɡéaː
θέματοσ	tʰɛmatos
προφάσεωσ	proɸaseos
ἔρρινα	errina
πού	pǒː
ἀγαπάοιτο	aɡapáoi̯to
κρονοθήκη	kronoθici
ἀρίσβη	arizβi
παραδόσεισ	paraðosis
αὐξάνω	aʍksano
θεοκλύμενοσ	tʰɛoklymɛnos
ἐλλόσ	elos
στοναχή	stonakʰe
ἄγριπποσ	aɣripos
ὀπωροθήκη	oporoθici
