турбуленција	turbulɛnt͡sija
изретчува	izrɛtt͡ʃuva
дрндање	dr̩n̩daɲɛ
цензорски	t͡sɛnzɔrski
интерес	intɛɾɛs
вибрациски	vibrat͡siski
бог	bɔk
будилник	budiɫnik
секојдневност	sɛkɔjdnɛvnɔst
замавтува	zamaftuva
подиспразни	pɔdisprazni
курови	kuɾɔvi
одличност	ɔdlit͡ʃnɔst
гласеж	ɡɫasɛʃ
навивачки	navivat͡ʃki
расподели	raspɔdɛli
инквизиција	iŋkvizit͡sija
авијација	avijat͡sija
засмрдува	zasmr̩duva
учебнички	ut͡ʃɛbnit͡ʃki
препознатливост	prɛpɔznatlivɔst
впие	fpijɛ
повеќезначност	pɔvɛcɛznat͡ʃnɔst
наложништво	naɫɔʒniʃtvɔ
шраф	ʃraf
внедрува	vnɛdruva
поѕвони	pɔd͡zvɔni
бигамија	biɡamija
потскрати	pɔtskrati
сапун	sapun
опсадник	ɔpsadnik
недопрен	nɛdɔprɛn
редакторка	rɛdaktɔrka
мезе	mɛzɛ
одморски	ɔdmɔrski
дом	dɔm
скопјанче	skɔpjant͡ʃɛ
дволик	dvɔlik
добро	dɔˑβ̞rɔ̩
ризичност	rizit͡ʃnɔst
леденост	lɛdɛnɔst
електроника	ɛlɛktrɔnika
авторов	aftɔɾɔf
расколник	raskɔɫnik
преѕида	prɛd͡zida
своеглавост	svɔɛɡɫavɔst
фушерски	fuʃɛrski
големство	ɡɔlɛmstvɔ
заменичка	zamɛnit͡ʃka
конституција	kɔnstitut͡sija
пребричува	prɛbrit͡ʃuva
испива	ispiva
пребарувач	prɛbaɾuvat͡ʃ
телеологија	tɛlɛɔɫɔɡija
пиперче	pipɛrt͡ʃɛ
брадва	bradva
изнаправи	iznapravi
згрижува	zɡriʒuva
овдешен	ɔvdɛʃɛn
перверзија	pɛrvɛrzija
митинг	mitiŋk
маглоса	maɡɫɔsa
безвременост	bɛzvrɛmɛnɔst
сунѓер	sunɟɛr
редовност	rɛdɔvnɔst
ловоров	ɫɔvɔɾɔf
русија	rusija
пиштол	piʃtɔɫ
изнакапе	iznakapɛ
донесува	dɔnɛsuva
ориентациски	ɔɾijɛntat͡siski
најгвирц	najɡvirt͡s
пеперутка	pɛpɛɾutka
кара	kaɾa
уметник	umɛtnik
шура	ʃuɾa
беден	bɛdɛn
вистинољубивост	vistinɔlubivɔst
солза	sɔɫza
разрушеност	razruʃɛnɔst
презадолженост	prɛzadɔɫʒɛnɔst
косово	kɔsɔvɔ
карактеризација	kaɾaktɛɾizat͡sija
вдлабнатост	vdɫabnatɔst
повторливост	pɔftɔrlivɔst
дружба	druʒba
избувен	izbuvɛn
ѕиден	d͡zidɛn
десничарка	dɛsnit͡ʃarka
грбавост	ɡr̩bavɔst
незадоволителност	nɛzadɔvɔlitɛɫnɔst
испомоча	ispɔmɔt͡ʃa
убива	ubiva
противпожарен	prɔtifpɔʒaɾɛn
дозакопча	dɔzakɔpt͡ʃa
кус	kus
јајце	jajt͡sɛ
истоименик	istɔimɛnik
необновен	nɛɔbnɔvɛn
врие	vrijɛ
пламенче	pɫamɛnt͡ʃɛ
слободољубивост	sɫɔbɔdɔlubivɔst
гудачки	ɡudat͡ʃki
доста	dɔsta
пропорција	prɔpɔrt͡sija
денски	dɛnski
берберка	bɛrbɛrka
гиздавост	ɡizdavɔst
силеџиство	silɛd͡ʒistvɔ
аномалија	anɔmalija
небаре	nɛbaɾɛ
прегори	prɛɡɔɾi
заморност	zamɔrnɔst
дестинација	dɛstinat͡sija
импровизација	imprɔvizat͡sija
расфрла	rasfr̩ɫa
дојадува	dɔjaduva
водиме	vɔdimɛ
испобега	ispɔbɛɡa
плаши	pɫaʃi
круничка	krunit͡ʃka
благородничка	bɫaɡɔrɔdnit͡ʃka
цвеќе	t͡svɛcɛ
чивит	t͡ʃivit
методичност	mɛtɔdit͡ʃnɔst
клинче	klint͡ʃɛ
необновлив	nɛɔbnɔvlif
трогнатост	trɔɡnatɔst
деветпати	dɛvɛtpati
обнадежува	ɔbnadɛʒuva
производство	prɔizvɔtstvɔ
расади	rasadi
соучесништво	sɔut͡ʃɛsniʃtvɔ
благоевград	bɫaɡɔɛvɡrat
избодува	izbɔduva
заветен	zavɛtɛn
сонце	sɔnt͡sɛ
напасник	napasnik
надлежност	nadlɛʒnɔst
презакажува	prɛzakaʒuva
оди	ɔdi
хартија	xartija
змиест	zmijɛst
иновациски	inɔvat͡siski
маж	maʃ
граничник	ɡranit͡ʃnik
незабележан	nɛzabɛlɛʒan
осквернува	ɔskvɛrnuva
библиографија	biblijɔɡrafija
преобработи	prɛɔbrabɔti
потпече	pɔtpɛt͡ʃɛ
необјаснет	nɛɔbjasnɛt
наочник	naɔt͡ʃnik
подзасука	pɔdzasuka
мукнува	muknuva
крепкост	krɛpkɔst
паликир	palikir
мочовод	mɔt͡ʃɔvɔt
канада	kanada
дострижува	dɔstriʒuva
заѕвонува	zad͡zvɔnuva
хотел	xɔtɛɫ
готовност	ɡɔtɔvnɔst
сомнителност	sɔmnitɛɫnɔst
неплатен	nɛpɫatɛn
туристка	turistka
сеирџија	sɛird͡ʒija
запоставеност	zapɔstavɛnɔst
флуктуација	fɫuktuat͡sija
боцнува	bɔt͡snuva
прегледува	prɛɡlɛduva
жонглерка	ʒɔŋɡlɛrka
кабелче	kabɛɫt͡ʃɛ
топличок	tɔplit͡ʃɔk
бадијала	badijaɫa
крводарител	kr̩vɔdaɾitɛɫ
бозон	bɔzɔn
сабји	sabji
биопсија	bijɔpsija
куферче	kufɛrt͡ʃɛ
ненаместен	nɛnamɛstɛn
шупа	ʃupa
ќефови	cɛfɔvi
кафеџија	kafɛd͡ʒija
осквернител	ɔskvɛrnitɛɫ
имотност	imɔtnɔst
род	rɔt
неудобност	nɛudɔbnɔst
наполнува	napɔɫnuva
прага	praɡa
безделник	bɛzdɛɫnik
вујков	vujkɔf
ѕвезда	d͡zvɛzda
пари	paɾi
раса	rasa
проститутка	prɔstitutka
погрден	pɔɡr̩dɛn
дувачки	duvat͡ʃki
потрепери	pɔtrɛpɛɾi
честољубивост	t͡ʃɛstɔlubivɔst
флејта	flɛjta
комунизам	kɔmunizam
прикове	prikɔvɛ
прекривка	prɛkrifka
воденичарка	vɔdɛnit͡ʃarka
литанија	litanija
разреденост	razrɛdɛnɔst
едноличност	ɛdnɔlit͡ʃnɔst
понеделник	pɔnɛdɛɫnik
пури	puɾi
лом	ɫɔm
вашингтон	vaʃiŋktɔn
ѕид	d͡zit
амортизација	amɔrtizat͡sija
лепливост	lɛplivɔst
скептик	skɛptik
недооформен	nɛdɔɔfɔrmɛn
водиве	vɔdivɛ
негација	nɛɡat͡sija
молерисува	mɔlɛrisuva
искривеност	iskrivɛnɔst
ткајач	tkajat͡ʃ
изнапише	iznapiʃɛ
ѓаволов	ɟavɔɫɔf
малубројност	maɫubrɔjnɔst
побегнува	pɔbɛɡnuva
зелче	zɛɫt͡ʃɛ
курва	kurva
лозов	ɫɔzɔf
зајачиште	zajat͡ʃiʃtɛ
теократија	tɛɔkratija
народност	naɾɔdnɔst
грофовија	ɡrɔfɔvija
век	vɛk
диван	divan
буцнува	but͡snuva
чкрапав	t͡ʃkrapaf
фурна	furna
викиншки	vikinʃki
греота	ɡrɛɔta
вадучки	vadut͡ʃki
штрајкувач	ʃtrajkuvat͡ʃ
свиѓа	sviɟa
загнојува	zaɡnɔjuva
одгледувачки	ɔdɡlɛduvat͡ʃki
врша	vr̩ʃa
мудрец	mudrɛt͡s
раскрои	raskrɔi
енклитичен	ɛnklitit͡ʃɛn
небиднина	nɛbidnina
непланиран	nɛpɫaniɾan
некрофилија	nɛkrɔfilija
хафниум	xafnijum
заечува	zaɛt͡ʃuva
магаре	maɡaɾɛ
влажност	vɫaʒnɔst
дрт	dr̩t
сипаничав	sipanit͡ʃaf
месечарка	mɛsɛt͡ʃarka
подзачисти	pɔdzat͡ʃisti
пироманија	piɾɔmanija
недоплатен	nɛdɔpɫatɛn
поткупливост	pɔtkuplivɔst
ранобуден	ranɔbudɛn
дејствителност	dɛjstvitɛɫnɔst
карфиол	karfijɔɫ
трансакциски	transakt͡siski
бруќе	brucɛ
психа	psixa
ежиња	ɛʒiɲa
оси	ɔsi
блуднички	bɫudnit͡ʃki
страшливост	straʃlivɔst
македонци	makɛdɔnt͡si
ајванче	ajvant͡ʃɛ
недозреан	nɛdɔzrɛan
ме	mɛ
рунтав	runtaf
гајдари	ɡajdaɾi
разборитост	razbɔɾitɔst
потемнетост	pɔtɛmnɛtɔst
џебови	d͡ʒɛbɔvi
ветруле	vɛtrulɛ
оттурнува	ɔtturnuva
тринаесет	trinaɛsɛt
ежови	ɛʒɔvi
сложенка	sɫɔʒɛŋka
трошка	trɔʃka
брезичка	brɛzit͡ʃka
муслимански	muslimanski
разнобојност	raznɔbɔjnɔst
подзагори	pɔdzaɡɔɾi
детено	dɛtɛnɔ
мајмуни	majmuni
вреќичка	vrɛcit͡ʃka
фонт	fɔnt
пеење	pɛɛɲɛ
мутациски	mutat͡siski
идеја	idɛja
курвин	kurvin
рипнува	ripnuva
испосакати	ispɔsakati
четврток	t͡ʃɛtvr̩tɔk
градба	ɡradba
гавранче	ɡavrant͡ʃɛ
меана	mɛana
сладок	sɫadɔk
лексикографија	lɛksikɔɡrafija
омлет	ɔmlɛt
кипарски	kiparski
применливост	primɛnlivɔst
проневерувач	prɔnɛvɛɾuvat͡ʃ
градински	ɡradinski
разделеност	razdɛlɛnɔst
удопство	udɔpstvɔ
реавост	rɛavɔst
водат	vɔdat
африка	afrika
габер	ɡabɛr
руча	rut͡ʃa
чембалист	t͡ʃɛmbalist
казанџија	kazand͡ʒija
зеленчуков	zɛlɛnt͡ʃukɔf
неистребливост	nɛistrɛblivɔst
тајна	tajna
изнапржи	iznapr̩ʒi
долготрајност	dɔɫɡɔtrajnɔst
изнамрчи	iznamr̩t͡ʃi
крзнар	kr̩znar
огранок	ɔɡranɔk
огледало	ɔɡlɛdaɫɔ
заташкува	zataʃkuva
неспомнат	nɛspɔmnat
тромавост	trɔmavɔst
расчепка	raʃt͡ʃɛpka
идеален	idɛalɛn
витештва	vitɛʃtva
соединети	sɔɛdinɛti
амнезија	amnɛzija
недоплетен	nɛdɔplɛtɛn
алхемија	aɫxɛmija
тенок	tɛnɔk
добивка	dɔbifka
испотепа	ispɔtɛpa
напоредник	napɔɾɛdnik
туѓински	tuɟinski
ќебапче	cɛbapt͡ʃɛ
него	nɛɡɔ
полувреме	pɔɫuvrɛmɛ
орце	ɔrt͡sɛ
врат	vrat
дислексија	dislɛksija
расипаност	rasipanɔst
портичка	pɔrtit͡ʃka
броеви	brɔɛvi
клетвен	klɛtvɛn
генерал	ɡɛnɛraɫ
безживотност	bɛʒʒivɔtnɔst
уметност	umɛtnɔst
поднареди	pɔdnaɾɛdi
штави	ʃtavi
бумбаров	bumbaɾɔf
скептичност	skɛptit͡ʃnɔst
безосновност	bɛzɔsnɔvnɔst
пресостави	prɛsɔstavi
непроверен	nɛprɔvɛɾɛn
суеверие	suɛvɛɾijɛ
обувка	ɔbufka
лош	ɫɔʃ
нешто	nɛʃtɔ
лимен	limɛn
мајсторче	majstɔrt͡ʃɛ
џемперче	d͡ʒɛmpɛrt͡ʃɛ
шупливост	ʃuplivɔst
градација	ɡradat͡sija
чајник	t͡ʃajnik
минск	minsk
компиров	kɔmpiɾɔf
броило	brɔiɫɔ
дрогира	drɔɡiɾa
блуткавост	bɫutkavɔst
кобила	kɔbiɫa
подбел	pɔdbɛɫ
морфофонологија	mɔrfɔfɔnɔɫɔɡija
расклопува	raskɫɔpuva
лезетски	lɛzɛtski
јаболков	jabɔɫkɔf
свиларство	sviɫarstvɔ
сѐ	sɛ
џимиринка	d͡ʒimiɾiŋka
ткае	tkaɛ
фелдмаршал	fɛɫdmarʃaɫ
полица	pɔlit͡sa
извитоперува	izvitɔpɛɾuva
издишка	izdiʃka
тука	tuka
кукличе	kuklit͡ʃɛ
тенија	tɛnija
мелничар	mɛɫnit͡ʃar
вокатив	vɔkatif
набожен	nabɔʒɛn
охриѓанка	ɔxriɟaŋka
недоработен	nɛdɔrabɔtɛn
заискрува	zaiskruva
комичарка	kɔmit͡ʃarka
неснаодливост	nɛsnaɔdlivɔst
лондончанец	ɫɔndɔnt͡ʃanɛt͡s
ватерполо	vatɛrpɔɫɔ
белетристички	bɛlɛtristit͡ʃki
устројство	ustrɔjstvɔ
поларизација	pɔɫaɾizat͡sija
напатеност	napatɛnɔst
рамо	ramɔ
чанта	t͡ʃanta
мајкин	majkin
баку	baku
насаскува	nasaskuva
подосветли	pɔdɔsvɛtli
незаменливост	nɛzamɛnlivɔst
јазичник	jazit͡ʃnik
налудничавост	naɫudnit͡ʃavɔst
недолечен	nɛdɔlɛt͡ʃɛn
тројка	trɔjka
замира	zamiɾa
стан	stan
епистемологија	ɛpistɛmɔɫɔɡija
под	pɔt
самодржавие	samɔdr̩ʒavijɛ
обелува	ɔbɛɫuva
велигден	vɛliɡdɛn
базален	bazalɛn
смоквин	smɔkvin
бочвар	bɔt͡ʃvar
владејачки	vɫadɛjat͡ʃki
ова	ɔva
правопис	pravɔpis
јок	jɔk
полјоделство	pɔɫjɔdɛɫstvɔ
брборливост	br̩bɔrlivɔst
јаглениса	jaɡlɛnisa
прегрупира	prɛɡrupiɾa
интеракција	intɛrakt͡sija
прегради	prɛɡradi
милионер	milijɔnɛr
сребрар	srɛbrar
антипатија	antipatija
јагодичка	jaɡɔdit͡ʃka
блазонирања	bɫazɔniɾaɲa
отровност	ɔtrɔvnɔst
нукуалофа	nukuaɫɔfa
февруари	fɛvruaɾi
провокација	prɔvɔkat͡sija
казахстан	kazaxstan
лисиче	lisit͡ʃɛ
каивче	kaift͡ʃɛ
прооден	prɔɔdɛn
перница	pɛrnit͡sa
десница	dɛsnit͡sa
јасновидство	jasnɔvitstvɔ
унгарски	uŋɡarski
доколку	dɔkɔɫku
количество	kɔlit͡ʃɛstvɔ
уверува	uvɛɾuva
книгине	kniɡinɛ
кафенце	kafɛnt͡sɛ
чембалисти	t͡ʃɛmbalisti
планинче	pɫanint͡ʃɛ
интеграциски	intɛɡrat͡siski
подискара	pɔdiskaɾa
клоцнува	kɫɔt͡snuva
тапија	tapija
неменливост	nɛmɛnlivɔst
кондуктерски	kɔnduktɛrski
митарство	mitarstvɔ
изводливост	izvɔdlivɔst
запаливост	zapalivɔst
пишување	piʃuvaɲɛ
кршталник	kr̩ʃtaɫnik
испозакачи	ispɔzakat͡ʃi
пушење	puʃɛɲɛ
ѕвонарски	d͡zvɔnarski
успешност	uspɛʃnɔst
мајсторство	majstɔrstvɔ
крап	krap
истражувачка	istraʒuvat͡ʃka
грам	ɡram
вреснува	vrɛsnuva
распердаши	raspɛrdaʃi
крџалија	kr̩d͡ʒalija
ранче	rant͡ʃɛ
воздухопловство	vɔzduxɔpɫɔfstvɔ
боже	bɔʒɛ
прст	pr̩st
баталува	bataɫuva
ронка	rɔŋka
несреденост	nɛsrɛdɛnɔst
џамови	d͡ʒamɔvi
главатар	ɡɫavatar
охриѓанче	ɔxriɟant͡ʃɛ
пламнува	pɫamnuva
дораскажува	dɔɾaskaʒuva
забеганост	zabɛɡanɔst
разгранетост	razɡranɛtɔst
несилка	nɛsiɫka
лудува	ɫuduva
зајадува	zajaduva
јабанџија	jaband͡ʒija
божик	bɔʒik
изнакрка	iznakr̩ka
непресушност	nɛprɛsuʃnɔst
теме	tɛmɛ
разбран	razbran
наминува	naminuva
нецелосност	nɛt͡sɛɫɔsnɔst
ножички	nɔʒit͡ʃki
разнобоен	raznɔbɔɛn
докрпува	dɔkr̩puva
скорпија	skɔrpija
благородништво	bɫaɡɔrɔdniʃtvɔ
потсоблече	pɔtsɔblɛt͡ʃɛ
даблин	dablin
евалуација	ɛvaɫuat͡sija
биолог	bijɔɫɔk
подзастане	pɔdzastanɛ
неисполнет	nɛispɔɫnɛt
менторски	mɛntɔrski
приземност	prizɛmnɔst
фунафути	funafuti
недовршеност	nɛdɔvr̩ʃɛnɔst
невиден	nɛvidɛn
срдечност	sr̩dɛt͡ʃnɔst
неказнет	nɛkaznɛt
бомба	bɔmba
машина	maʃina
билет	bilɛt
потиснатост	pɔtisnatɔst
коњ	kɔɲ
издолжува	izdɔɫʒuva
преде	prɛdɛ
незаконитост	nɛzakɔnitɔst
шпионство	ʃpijɔnstvɔ
врти	vr̩ti
шија	ʃija
јаничар	janit͡ʃar
курна	kurna
лале	ɫalɛ
безбојност	bɛzbɔjnɔst
кашичка	kaʃit͡ʃka
заварувач	zavaɾuvat͡ʃ
интеграција	intɛɡrat͡sija
ботаничар	bɔtanit͡ʃar
преврне	prɛvr̩nɛ
дрнка	dr̩n̩ka
бургас	burɡas
кандило	kandiɫɔ
информациски	iɱfɔrmat͡siski
жир	ʒir
ѕверка	d͡zvɛrka
дереџе	dɛɾɛd͡ʒɛ
бучава	but͡ʃava
свиларски	sviɫarski
рекламација	rɛkɫamat͡sija
самуил	samuiɫ
памуче	pamut͡ʃɛ
стрела	strɛɫa
усмрденост	usmr̩dɛnɔst
тебе	tɛbɛ
исклучив	iskɫut͡ʃif
морач	mɔɾat͡ʃ
седумдесет	sɛdumdɛsɛt
неискористен	nɛiskɔɾistɛn
репортер	rɛpɔrtɛr
опасен	ɔpasɛn
загреб	zaɡrɛp
шилеже	ʃilɛʒɛ
чува	t͡ʃuva
аргентина	arɡɛntina
двојазичност	dvɔjazit͡ʃnɔst
шапка	ʃapka
бепче	bɛpt͡ʃɛ
јадење	jadɛɲɛ
незгодност	nɛzɡɔdnɔst
костим	kɔstim
снешковци	snɛʃkɔft͡si
страдалник	stradaɫnik
луѓето	ɫuɟɛtɔ
чесност	t͡ʃɛsnɔst
застапништво	zastapniʃtvɔ
рафинерија	rafinɛɾija
мама	mama
артикулира	artikuliɾa
недокваканост	nɛdɔkvakanɔst
кроце	krɔt͡sɛ
туш	tuʃ
накострешеност	nakɔstrɛʃɛnɔst
критичност	kritit͡ʃnɔst
стија	stija
стетоскоп	stɛtɔskɔp
штетност	ʃtɛtnɔst
испочитува	ispɔt͡ʃituva
сиднејски	sidnɛjski
џабе	d͡ʒabɛ
назадност	nazadnɔst
ветренце	vɛtrɛnt͡sɛ
чкртне	t͡ʃkr̩tnɛ
поквичи	pɔkvit͡ʃi
штеточинец	ʃtɛtɔt͡ʃinɛt͡s
нужник	nuʒnik
потребен	pɔtrɛbɛn
свеќарство	svɛcarstvɔ
прегрева	prɛɡrɛva
спремност	sprɛmnɔst
трансакција	transakt͡sija
занаетчиски	zanaɛtt͡ʃiski
мадрид	madrit
кола	kɔɫa
џимиринки	d͡ʒimiɾiŋki
вереник	vɛɾɛnik
гусарски	ɡusarski
гркинка	ɡr̩kiŋka
компензација	kɔmpɛnzat͡sija
пародија	parɔdija
доиспитува	dɔispituva
евтин	ɛftin
интранет	intranɛt
необработливост	nɛɔbrabɔtlivɔst
инерција	inɛrt͡sija
запнува	zapnuva
виза	viza
управнички	upravnit͡ʃki
несварливост	nɛsvarlivɔst
шестнаесет	ʃɛstnaɛsɛt
кошничарски	kɔʃnit͡ʃarski
муце	mut͡sɛ
долгокос	dɔɫɡɔkɔs
пласт	pɫast
маживе	maʒivɛ
развратник	razvratnik
безмерност	bɛzmɛrnɔst
испоубие	ispɔubijɛ
вентилациски	vɛntiɫat͡siski
расипништво	rasipniʃtvɔ
блискост	bliskɔst
еден	ɛdɛn
шминка	ʃmiŋka
работоспособност	rabɔtɔspɔsɔbnɔst
одмореност	ɔdmɔɾɛnɔst
еднонасочност	ɛdnɔnasɔt͡ʃnɔst
искосува	iskɔsuva
поскапува	pɔskapuva
повреви	pɔvrɛvi
национализам	nat͡sijɔnalizam
конверзија	kɔɱvɛrzija
вујко	vujkɔ
кринов	krinɔf
предвестува	prɛdvɛstuva
разубавеност	razubavɛnɔst
валканост	vaɫkanɔst
кабулски	kabuɫski
жиро	ʒiɾɔ
мешнува	mɛʃnuva
џемпер	d͡ʒɛmpɛr
бодибилдерка	bɔdibiɫdɛrka
гол	ɡɔɫ
испорачувач	ispɔrat͡ʃuvat͡ʃ
збунувачки	zbunuvat͡ʃki
тиквеник	tikvɛnik
клуче	kɫut͡ʃɛ
заљубеност	zalubɛnɔst
добричува	dɔbrit͡ʃuva
организациски	ɔrɡanizat͡siski
крпичка	kr̩pit͡ʃka
лафи	ɫafi
техничарка	tɛxnit͡ʃarka
трагичарка	traɡit͡ʃarka
ѓомлезец	ɟɔmlɛzɛt͡s
сомун	sɔmun
забучува	zabut͡ʃuva
инсинуација	insinuat͡sija
истенчува	istɛnt͡ʃuva
подзине	pɔdzinɛ
домарка	dɔmarka
заладува	zaɫaduva
догледува	dɔɡlɛduva
ненаселеност	nɛnasɛlɛnɔst
бомбаш	bɔmbaʃ
свртува	svr̩tuva
откочи	ɔtkɔt͡ʃi
смешност	smɛʃnɔst
насамарува	nasamaɾuva
предци	prɛtt͡si
проникнува	prɔniknuva
спорт	spɔrt
бензин	bɛnzin
кореја	kɔrɛja
надоаѓа	nadɔaɟa
овие	ɔvijɛ
аглест	aɡlɛst
чешмен	t͡ʃɛʃmɛn
монопол	mɔnɔpɔɫ
гратче	ɡratt͡ʃɛ
есцајг	ɛst͡sajk
докршува	dɔkr̩ʃuva
љубител	lubitɛɫ
изнабута	iznabuta
олтарски	ɔɫtarski
конфедерациски	kɔɱfɛdɛrat͡siski
реав	rɛaf
извиткува	izvitkuva
бутче	butt͡ʃɛ
добрина	dɔbrina
геотермален	ɡɛɔtɛrmalɛn
цвет	t͡svɛt
размерливост	razmɛrlivɔst
обор	ɔbɔr
централизација	t͡sɛntralizat͡sija
менливост	mɛnlivɔst
бестелесност	bɛstɛlɛsnɔst
ѕирка	d͡zirka
хеликоптери	xɛlikɔptɛɾi
вплетува	fplɛtuva
избрзува	izbr̩zuva
’рти	r̩ti
изнаделка	iznadɛɫka
гризнува	ɡriznuva
желевце	ʒɛlɛft͡sɛ
ружа	ruʒa
пица	pit͡sa
необучен	nɛɔbut͡ʃɛn
ѕверче	d͡zvɛrt͡ʃɛ
инфузија	infuzija
потпорасне	pɔtpɔɾasnɛ
маѓар	maɟar
даблински	dablinski
лимони	limɔni
премете	prɛmɛtɛ
намаленост	namalɛnɔst
чизмичка	t͡ʃizmit͡ʃka
превиткува	prɛvitkuva
рамка	ramka
спорост	spɔɾɔst
чудно	t͡ʃudnɔ
окрка	ɔkr̩ka
престолен	prɛstɔlɛn
оќорува	ɔcɔɾuva
масленце	maslɛnt͡sɛ
чистотник	t͡ʃistɔtnik
осумдесет	ɔsumdɛsɛt
правдољубивост	pravdɔlubivɔst
ѓуптин	ɟuptin
нострификација	nɔstrifikat͡sija
железнички	ʒɛlɛznit͡ʃki
шкембе	ʃkɛmbɛ
комотност	kɔmɔtnɔst
седело	sɛdɛɫɔ
неподобен	nɛpɔdɔbɛn
изналупа	iznaɫupa
најквирц	najkvirt͡s
ненареден	nɛnaɾɛdɛn
непробојност	nɛprɔbɔjnɔst
бебе	bɛbɛ
наглост	naɡɫɔst
четворче	t͡ʃɛtvɔrt͡ʃɛ
неоткриен	nɛɔtkrijɛn
прочепка	prɔt͡ʃɛpka
внатре	vnatrɛ
благодушност	bɫaɡɔduʃnɔst
болежливост	bɔlɛʒlivɔst
експресионистички	ɛksprɛsijɔnistit͡ʃki
песок	pɛsɔk
анемија	anɛmija
задоволителност	zadɔvɔlitɛɫnɔst
незаштитеност	nɛzaʃtitɛnɔst
чуварка	t͡ʃuvarka
става	stava
мевце	mɛft͡sɛ
умереност	umɛɾɛnɔst
пребродува	prɛbrɔduva
врзе	vr̩zɛ
засити	zasiti
пештерски	pɛʃtɛrski
коприва	kɔpriva
стандардизација	standardizat͡sija
гревче	ɡrɛft͡ʃɛ
несочуван	nɛsɔt͡ʃuvan
исходен	isxɔdɛn
меѓусебност	mɛɟusɛbnɔst
мовче	mɔft͡ʃɛ
ѓуптинка	ɟuptiŋka
испруженост	ispruʒɛnɔst
крој	krɔj
опсипува	ɔpsipuva
роб	rɔp
претседава	prɛtsɛdava
неспокојност	nɛspɔkɔjnɔst
жилавост	ʒiɫavɔst
јоргованов	jɔrɡɔvanɔf
овчарче	ɔft͡ʃart͡ʃɛ
губернија	ɡubɛrnija
билјар	biljar
извинувачки	izvinuvat͡ʃki
крт	kr̩t
архитектура	arxitɛktuɾa
зачукува	zat͡ʃukuva
докинува	dɔkinuva
испакнатост	ispaknatɔst
клавичембала	kɫavit͡ʃɛmbaɫa
недостижност	nɛdɔstiʒnɔst
живински	ʒivinski
доползи	dɔpɔɫzi
интонациски	intɔnat͡siski
животи	ʒivɔti
даб	dap
женава	ʒɛnava
обдарува	ɔbdaɾuva
колебливост	kɔlɛblivɔst
