ayam	ʔajɐm
lingil	lɪŋil
ino	ʔɪno
cometa	kxometɐ
manalad	mɐnalɐd
ate	ʔɐteʔ
digos	diɰos
bakante	bɐxante
higliknayan	hɪɡlɪknajɐn
bumata	bʊmatɐʔ
gukgok	ɡʊkɡok
linisin	lɪnɪsin
apalit	ʔɐpalɪt
labandero	lɐbɐndeɾo
cantos	kxantos
haro	hɐɾo
hanunuo	hanʊnuʔo
bidbiran	bɪdbɪɾan
diskompiyado	dɪskumpjɐdo
bumaba	bʊmɐbaʔ
luto	lʊto
loka	loxɐ
maghalili	mɐɡhɐlilɪ
halikan	halixɐn
ligao	lɪɰaʊ̯
tiklop	tɪklop
impilya	ʔɪmpiljɐ
lagyo	lɐɡjoʔ
maagrabyado	mɐʔɐʔɡɾɐbjado
palaman	pɐlɐman
lumad	lumɐd
tumanggap	tʊmɐŋɡap
lazarte	lɐsaɾte
luningning	lʊnɪŋniŋ
eksaherado	ʔeksɐheɾado
sitwasyon	sɪtwɐʃon
daspan	daspɐn
laya	lɐjaʔ
lababo	lɐbabo
dalawampu	dɐlɐwɐmpuʔ
ginto	ɡɪntoʔ
aguas	ʔaɰʊɐs
batiti	bɐtitɪʔ
hawayana	hɐwɐjanɐ
daya	dajɐʔ
indibidwal	ʔɪndɪbɪdwal
bumatak	bʊmatɐk
gunita	ɡʊnɪtaʔ
bawat	bawɐt
mabutig	mɐbʊtiɡ
umabyad	ʔʊmɐbjad
hiwalay	hɪwalaɪ̯
magrasa	mɐɡɾasɐ
lumi	lumɪʔ
pilipinas	pɪlɪpinɐs
langaw	laŋaʊ̯
balakyot	bɐlɐkjot
lalang	lɐlaŋ
labnot	lɐbnot
agong	ʔaɰoŋ
hagdanan	hɐɡdanɐn
dalaginding	dɐlaɰɪndiŋ
itmo	ʔɪtmo
anyaya	ʔɐɲɐjɐ
lulan	lulɐn
bloke	bloxe
tumacder	tʊmakdeɾ
datiles	datɪles
banday	bandaɪ̯
visaya	bɪsajɐʔ
anluwagi	ʔɐnlwɐɰɪ
bida	bidɐ
humiga	hʊmɪɰaʔ
umayos	ʔʊmajos
instituto	ʔɪnstɪtuto
luping	lʊpiŋ
kredensiyal	kxɾedenʃal
venturina	bentʊɾinɐ
dayan	dɐjan
pustiso	pʊstiso
limjoco	lɪmd͡ʒoxo
abaniko	ʔɐbɐnixo
hayag	hajɐɡ
lumakdang	lʊmɐkdaŋ
yumabang	jʊmabɐŋ
setsuko	set͡ʃuxo
litigasyon	lɪtɪɰɐʃon
maunahan	maʊ̯nahɐn
ikalabinsiyam	ʔɪxɐlɐbinʃam
mangaoang	mɐŋawɐŋ
buwis	bwis
almarez	ʔɐlmɐɾes
dalusong	dɐlusoŋ
kompartment	kxumpaɾtment
labintatlo	lɐbntɐtlo
hiklas	hɪklas
iset	ʔɪset
kaputsino	kxɐpʊt͡ʃino
ibayo	ʔɪbɐjo
sitse	sɪt͡ʃe
lambayog	lɐmbajoɡ
aklatan	ʔɐklatɐn
lunas	lunɐs
sosa	sosɐ
higa	hɪɰaʔ
titik	titɪk
saburo	sɐbuɾo
gisantes	ɡɪsantes
ka	kxɐ
lanubo	lɐnuboʔ
direktiba	dɪɾektibɐ
bugat	bʊɰat
dagatan	dɐɰatɐn
maligaw	malɪɰaʊ̯
arina	ʔɐɾinɐ
masurot	mɐsuɾot
ilusyon	ʔɪlʊʃon
analohiya	ʔɐnɐlohiɐ
hilo	hɪlo
lantsa	lant͡ʃɐ
manlapaz	mɐnlapɐs
dutaliknayan	dʊtɐlɪknajɐn
manyak	maɲɐk
linis	linɪs
villegas	bɪljeɰɐs
butiki	bʊtɪxiʔ
uhaw	ʔuhaʊ̯
ibis	ʔɪbis
dulas	dʊlas
tasa	tɐsa
umurong	ʔʊmuɾoŋ
bunyi	buɲɪ
bascoguin	bɐskoɰɪn
ursula	ʔuɾsʊlɐ
kakaphay	kxɐxɐphaɪ̯
baling	balɪŋ
balisakang	bɐlɪsɐxaŋ
aliw	ʔalɪʊ̯
pandikit	pɐndɪxit
bayno	baɪ̯no
hukbo	hʊkboʔ
hibang	hibɐŋ
abutin	ʔɐbʊtin
aktor	ʔɐktoɾ
tsikot	t͡ʃɪxot
puhunan	pʊhunɐn
kulog	kxʊloɡ
birey	biɾeɪ̯
ipa	ʔɪpa
arzadon	ʔɐɾsadon
inggo	ʔɪŋɡo
bakit	bɐt
shohei	shoheɪ̯
magrenta	mɐɡɾentɐ
baliwag	bɐliwɐɡ
lalanghutan	lɐlɐŋhʊtan
alindog	ʔɐlɪndoɡ
hina	hinɐʔ
ari	ʔɐɾe
palaaway	pɐlɐʔɐwaɪ̯
peñaranda	peɲɐɾandɐ
dosena	dosenɐ
bango	bɐŋo
akreditasyon	ʔɐkɾedɪtɐʃon
makalat	mɐxalɐt
baksa	bɐksa
kilogramo	kxɪloɡɾamo
bambo	bɐmbo
limit	limɪt
pasiya	pɐʃa
malambot	mɐlambot
gumuho	ɡʊmuhoʔ
bangko	bɐŋkoʔ
tayabas	tɐjabɐs
bisyo	biʃo
lilok	lɪlok
bigas	bɪɰas
iso	ʔɪsoʔ
ditdit	dɪtdit
diretso	dɪɾet͡ʃo
ifugao	ʔɪpʊɰaʊ̯
hasinto	hɐsinto
danes	dɐnes
panlinis	pɐnlinɪs
navoa	naboɐ
kalamansanay	kxɐlɐmɐnsanaɪ̯
buwa	bwaʔ
alalahanin	ʔalɐlɐhɐnin
amaranto	ʔɐmɐɾanto
disaluyan	dɪsɐlujɐn
kumupas	kxʊmupɐs
ishinare	ʔɪshɪneɾ
deklara	deklɐɾa
langkap	lɐŋkap
gaya	ɡajɐ
gapos	ɡɐpos
gayak	ɡɐjak
isangla	ʔɪsɐnlaʔ
dagikapnayan	dɐɰɪxɐpnajɐn
abogado	ʔɐboɰado
peking	pexɪŋ
aloy	ʔaloɪ̯
dalubtala	dɐlubtalɐʔ
ayusin	ʔɐjʊsin
belat	belɐt
isigan	ʔɪsiɰɐn
kautusan	kxaʊ̯tʊsan
espongha	ʔespoŋhɐ
li	lɪ
bulo	bʊloʔ
bunso	bʊnso
aksibal	ʔɐksibɐl
kampanaryo	kxɐmpɐnaɾjo
lichauco	lɪt͡ʃaʊ̯xo
aghimuan	ʔɐɡhimʊɐn
binagre	bɪnaɡɾe
raliyista	ɾɐlɪjistɐ
abusado	ʔɐbʊsado
hindi	hɪndeʔ
maniago	mɐniɐɰo
alyansa	ʔɐljansɐ
flora	floɾɐ
laginit	lɐɰɪnit
hangal	hɐŋal
manghuthot	mɐŋhʊthot
takbo	tɐkbo
aklas	ʔɐklas
tiyangge	t͡ʃaŋɡeʔ
buntot	bʊntot
boltiyo	bolt͡ʃo
huthot	hʊthot
bunggabilya	bʊŋɡɐbiljɐ
umaakyat	ʔʊmɐʔɐkjat
alimpayawan	ʔɐlɪmpɐjawɐn
kosta	kxostɐ
basangal	bɐsaŋɐl
bubungan	bʊbʊŋan
bawas	bɐwas
virus	baɪ̯ɾʊs
lunaw	lʊnaʊ̯
kompositor	kxumposɪtoɾ
estratehiya	ʔestɾɐtehiɐ
inip	ʔɪnip
dubdob	dʊbdob
manlapig	mɐnlapɪɡ
bami	bamɪ
araru	ʔɐɾɐɾu
haribon	haɾɪbon
estudyante	ʔestʊd͡ʒante
gulat	ɡulɐt
mitsa	mɪt͡ʃa
montinola	montɪnolɐ
capiz	kxapɪs
litis	litɪs
magmaniobra	mɐɡmɐniobɾɐ
antipalo	ʔɐntɪpalo
komentarista	kxomentɐɾistɐ
hapin	hɐpin
yuvienco	jʊbieŋko
botanika	botanɪxa
agipo	ʔɐɰɪpo
bigote	bɪɰote
katha	kxɐthaʔ
pangngalan	pɐŋŋalɐn
tapos	tɐs
suha	suhɐʔ
ampibyan	ʔɐmpibjɐn
mandaragat	mɐndɐɾɐɰat
cariaso	kxɐɾjaso
dipende	dɪpende
agatat	ʔɐɰɐtat
dalublasunan	dɐlublasʊnan
gulod	ɡʊlod
antipona	ʔɐntipona
pista	pɪsta
dantaon	dɐntɐʔon
ayusin	ʔɐjusɪn
pagtalikod	pɐɡtɐlixod
daloy	daloɪ̯
lasa	lɐsaʔ
bagol	bɐɰol
insurekto	ʔɪnsʊɾekto
iti	ʔitɪ
batangas	bɐtaŋɡɐs
kahihiyan	kxahɪhɪan
direktora	dɪɾektoɾɐ
bakat	baxɐt
dighay	dɪɡhaɪ̯
lugot	luɰot
batalyon	bɐtɐljon
kaktus	kxaktʊs
inglesero	ʔɪŋɡleseɾo
pensiyon	penʃon
lakdaw	lɐkdaʊ̯
apaya	ʔɐpajɐ
pangangasiwa	pɐŋɐŋɐsiwɐʔ
dormitoryo	doɾmɪtoɾjo
boya	bojɐ
kimkim	kxɪmkim
quiapo	kjɐpoʔ
lumundag	lʊmʊndaɡ
supil	sʊpil
lamig	lɐmiɡ
hudyo	hʊd͡ʒo
lagari	lɐɰaɾɪʔ
bretanya	bɾetaɲɐ
alok	ʔɐlok
dagsa	dɐɡsaʔ
leksikograpo	leksɪxoɡɾɐpo
eskoba	ʔeskobɐ
alpaka	ʔɐlpaxɐ
sihay	sihaɪ̯
nasaan	nasɐʔan
abulencia	ʔɐbʊlenʃɐ
diba	dɪba
manhid	mɐŋhid
hatak	hɐtak
bulakbol	bʊlɐkbol
lasa	lasɐ
artista	ʔɐɾtistɐ
manguiat	maŋɪɐt
macapinlac	mɐxɐpinlɐk
montillano	montɪllano
kantahin	kxɐntɐhin
akayin	ʔɐxajɪn
hagap	haɰɐp
maghirap	mɐɡhiɾɐp
hirat	hiɾɐt
kuya	kxujɐ
gumanap	ɡʊmɐnap
siyesta	ʃestɐ
limbaga	lɪmbaɰɐ
lusong	lʊsoŋ
balam	bɐlam
durian	dʊɾjan
dumapa	dʊmɐpaʔ
tato	tɐtoʔ
dikiam	dɪkjam
habol	hɐbol
pinagtalunan	pɪnaɡtɐlunɐn
maglingkod	mɐɡlɪŋkod
alemanya	ʔɐlemaɲɐ
hinaw	hinaʊ̯
pagkakataon	pɐɡkɐxɐtɐʔon
bigaw	bɪɰaʊ̯
kiling	kxɪliŋ
mabuhol	mɐbʊhol
asukarera	ʔɐsʊxɐɾeɾɐ
belosidad	belosɪdad
laswa	lɐswaʔ
maglapa	mɐɡlapɐʔ
diyakono	d͡ʒaxono
alarma	ʔɐlaɾmɐ
buhay	bʊhaɪ̯
akma	ʔɐkmaʔ
dimalanta	dɪmɐlantɐ
libuntaon	libʊntɐʔon
babaye	bɐbaje
lanap	lɐnap
kroniyismo	kxɾonɪjismo
abuab	ʔɐbʊʔab
balbula	balbʊla
bantod	bɐntod
busilak	bʊsilɐk
apula	ʔɐpʊlaʔ
masamid	masɐmid
balas	bɐlas
magsaliksik	mɐɡsɐlɪksik
baritono	bɐɾitono
balangaw	bɐlɐŋaʊ̯
balino	bɐlɪno
bakla	bɐkla
pasugalan	pasʊɰalɐn
balibol	bɐlibol
quitain	kxitaɪ̯n
hagakhak	hɐɰɐkhak
likas	lixɐs
anarkiya	ʔɐnɐɾkiɐ
lala	lalɐ
sarimanok	sɐɾɪmɐnok
awat	ʔawɐt
anatomiya	ʔɐnɐtomiɐ
cabungcal	kxɐbuŋkɐl
higop	hiɰop
butlig	bʊtliɡ
huweteng	hʊeteŋ
cabanatuan	kxɐbɐnɐtuʔɐn
ay	ʔaɪ̯
bejasa	behasɐ
labindalawa	lɐbɪndɐlɐwa
bukol	buxol
liwas	lɪwas
magsapatos	mɐɡsɐpatos
resurreccion	ɾesʊɾekʃon
higlikas	hɪɡlɪxas
laksa	lɐksa
keiko	kxeɪ̯xo
ganito	ɡɐnɪto
bila	bilɐ
ataud	ʔɐtɐʔud
campo	kxampo
lunot	lʊnot
abellera	ʔɐbeljeɾɐ
nasaan	nasɐn
magluwat	mɐɡlwat
iniba	ʔɪnibɐʔ
dugas	duɰɐs
haklit	hɐklit
katagalugan	kxɐtɐɰɐluɰɐn
bumagal	bʊmaɰɐl
sigarilyas	sɪɰɐɾiljɐs
gilik	ɡilɪk
atubili	ʔɐtʊbɪli
kontrobersiya	kxontɾobeɾsiɐ
maalat	mɐʔalɐt
madaldal	mɐdɐldal
eskultura	ʔeskʊltuɾɐ
ilat	ʔilɐt
elaborasyon	ʔelɐboɾɐʃon
endaya	ʔendajɐ
idolatriya	ʔɪdolɐtɾiɐ
talong	tɐloŋ
pagsuway	pɐɡswaɪ̯
buksan	bʊksan
pasukan	pɐsʊxan
saga	saɰɐʔ
tagapagmana	tɐɰɐpɐɡmanɐ
atleta	ʔɐtletɐ
labing	lɐbiŋ
apostata	ʔɐpostɐta
gulong	ɡʊloŋ
limandaan	lɪmɐndɐʔan
bandyo	band͡ʒo
pamamanhikan	pɐmɐmɐŋhixɐn
laroy	laɾoɪ̯
sentensiyahan	sentenʃɐhan
ina	ʔɪnaʔ
dyanitor	d͡ʒanɪtoɾ
medina	medinɐ
dilaw	dɪlaʊ̯
elamparo	ʔelɐmpaɾo
kagawaran	kxɐɰɐwɐɾan
yoshiko	joshixo
akma	ʔɐkma
apostolado	ʔɐpostolado
katungkulan	kxɐtʊŋkulɐn
daing	daʔɪŋ
bulanadi	bʊlɐnadɪ
lanting	lɐntiŋ
bawi	bɐwiʔ
indiyan	ʔind͡ʒan
nibel	nɪbel
lihiya	lɪhɪa
bulutunggo	bʊlʊtʊŋɡo
hagip	hɐɰip
pugot	pʊɰot
tarik	tɐɾik
bunga	buŋɐ
bagaman	bɐɰɐman
aroma	ʔɐɾomɐ
aap	ʔɐʔap
manalo	mɐnalo
dagundong	dɐɰʊndoŋ
galaw	ɡalaʊ̯
atik	ʔɐtik
lalab	lalɐb
dyologs	d͡ʒoloɡs
ipadala	ʔɪpɐdɐla
tumbaga	tumbaɰɐ
dimaala	dɪmaɐlɐ
halaman	hɐlamɐn
emperadora	ʔempeɾɐdoɾɐ
gabi	ɡɐbi
kuripot	kxʊɾipot
amante	ʔɐmante
punsalang	pʊnsalɐŋ
bukong	buxoŋ
acebedo	ʔɐsebedo
lagi	laɰɪ
gahol	ɡɐhol
bonifacio	bonɪpaʃo
ngayon	ŋɐjon
bara	bɐɾa
banda	bɐnda
kabihasnan	kxɐbɪhɐsnan
alguwasil	ʔɐlɡʊɐsil
pilosopo	pɪlosopo
langit	laŋɪt
noriko	noɾixo
dungon	dʊŋon
oribello	ʔoɾɪbello
palabasa	pɐlɐbɐsa
bukot	buxot
agam	ʔaɰɐm
sinamomo	sɪnɐmomo
siason	ʃɐson
hinang	hinɐŋ
tenga	teŋɐ
mananghalian	mɐnɐŋhɐliʔɐn
dagitab	dɐɰitɐb
mayumi	mɐjumɪ
ekis	ʔexɪs
kasera	kxɐseɾɐ
tapsilog	tɐpsɪloɡ
banayad	bɐnajɐd
lupig	lʊpiɡ
gala	ɡɐlaʔ
kritiko	kxɾitɪxo
nakakabuwisit	nɐxɐkɐbwisɪt
awit	ʔawɪt
paninigarilyo	pɐnɪnɪɰɐɾiljo
ngimay	ŋimaɪ̯
lalay	lɐlaɪ̯
diyes	d͡ʒes
eyre	ʔeɪ̯ɾe
bata	batɐʔ
buking	bʊxiŋ
hawsyaw	haʊ̯ʃaʊ̯
kambyo	kxambjo
dabdab	dɐbdab
ardilya	ʔɐɾdiljɐ
boksing	boksɪŋ
dulang	dulɐŋ
tinidor	tɪnɪdoɾ
salumbides	sɐlumbides
ismagler	ʔɪsmaɡleɾ
pagitan	pɐɰitɐn
lagablab	lɐɰɐblab
kudkurin	kxʊdkʊɾin
huma	hʊma
igting	ʔɪɡtiŋ
lawig	lawɪɡ
dani	dɐniʔ
balumbalunan	bɐlumbɐlunɐn
eskuwelahan	ʔeskwelɐhan
handusay	hɐndʊsaɪ̯
umalingawngaw	ʔʊmɐlɪŋaʊ̯ŋaʊ̯
bakal	baxɐl
motoko	motoxo
hingal	hiŋɐl
babad	babɐd
bulag	bʊlaɡ
idlip	ʔɪdlip
espiritu	ʔespiɾɪtu
bangkilas	bɐŋkilɐs
dakma	dɐkmaʔ
maglanggas	mɐɡlɐŋɡas
dalubkulisap	dɐlubkʊlisɐp
oligopolyo	ʔolɪɰopoljo
bini	binɪʔ
bumagsak	bʊmɐɡsak
kabaro	kxɐbaɾoʔ
balisong	bɐlɪsoŋ
ginang	ɡinɐŋ
salawal	sɐlɐwal
abla	ʔablɐ
hanginsigan	hɐŋɪnsiɰɐn
karitela	kxɐɾɪtelɐ
hapo	hɐpoʔ
lantay	lɐntaɪ̯
turok	tʊɾok
balarila	bɐlɐɾilɐʔ
lastiko	lastɪxo
maliksi	mɐliksɪ
lapurit	lɐpʊɾit
madlangbayan	mɐdlɐŋbajɐn
inspektor	ʔɪnspektoɾ
biyahero	bɪɐheɾo
bayarin	bɐjɐɾin
bulaos	bʊlaʔos
giggi	ɡɪɡɡiʔ
sinigwelas	sɪnɪɡwelɐs
busangot	bʊsɐŋot
asamblea	ʔɐsɐmblejɐ
intensibo	ʔɪntensibo
tiraniya	tɪɾɐniɐ
larga	laɾɡɐ
lambang	lɐmbaŋ
patintero	pɐtɪnteɾo
basag	bɐsaɡ
takal	tɐxal
zoleta	soletɐ
juntilla	d͡ʒʊntillɐ
bilig	bɪliɡ
pilat	pilɐt
limos	lɪmos
lumipol	lʊmipol
himay	hɪmaɪ̯
balana	bɐlanɐʔ
mamboso	mɐmboso
gumilid	ɡʊmilɪd
gayas	ɡajɐs
amos	ʔɐmos
buyunin	bujunɪn
dula	dʊlaʔ
loryat	loɾjɐt
baldado	bɐldado
armonika	ʔɐɾmonɪxa
landa	lɐnda
bitamina	bɪtɐminɐ
amerikana	ʔɐmeɾɪxanɐ
canicosa	kxɐnɪxosɐ
lingawngaw	lɪŋaʊ̯ŋaʊ̯
labaskaphay	lɐbɐskɐphaɪ̯
kinauukulan	kxɪnaʊ̯ʊxulɐn
ahang	ʔɐhaŋ
pinggan	pɪŋɡan
diyablo	d͡ʒablo
klaro	kxlɐɾo
aborsiyonista	ʔɐboɾsɪonistɐ
naptalina	nɐptɐlinɐ
haspe	hɐspe
lapirot	lɐpiɾot
mangailangan	mɐŋɐʔɪlaŋɐn
gulat	ɡʊlat
hukuman	huxumɐn
damay	damaɪ̯
ibis	ʔibɪs
korinto	kxoɾinto
bartolome	bɐɾtolome
mambiktima	mɐmbɪktimɐ
ilag	ʔɪlaɡ
lipya	lɪpjaʔ
dalisay	dɐlisaɪ̯
baisan	bɐʔɪsan
piyano	pjɐno
tagupa	tɐɰupɐ
anit	ʔanɪt
bokabularyo	boxɐbʊlaɾjo
hilamos	hɪlamos
inay	ʔɪnaɪ̯
bukambibig	bʊxɐmbɪbiɡ
nakakabobo	nɐxɐkɐbobo
habilin	hɐbilɪn
giting	ɡitɪŋ
tatlonghari	tɐtloŋhaɾɪ
duhagi	dʊhɐɰi
harurot	hɐɾuɾot
alambrera	ʔɐlɐmbɾeɾɐ
gana	ɡanɐ
sibayan	sɪbajɐn
gumi	ɡumɪ
hiringgilya	hɪɾɪŋɡiljɐ
gulo	ɡʊlo
matae	mɐtɐʔe
din	dɪn
baba	bɐbaʔ
cosico	kxosixo
