medd	meːð
meteleg	mɛtɛlɛɡ
carfil	karvɪl
dynfarch	dənvarχ
damweinio	damwei̯njɔ
pwyllgor	pʊɨ̯ɬɡɔr
pencampwriaeth	pɛŋkampʊrjɛθ
eira	ei̯ra
syndod	səndɔd
deyrnaddoliant	deɨ̯rnaðɔljant
abadesau	abadɛsa
toc	tɔk
haf	haː
senedd	sɛnɛð
ymwelwr	əmwɛlʊr
gellir	ɡɛɬɪr
canyddion	kanəðjɔn
torret	tɔrɛt
toes	toːɨ̯s
uwch	ɨ̞u̯χ
gesyd	ɡɛsɨ̞d
tai	tai̯
llesteiriannau	ɬɛsdei̯rjanɛ
dydd sadwrn	dɨ̞sadʊn
ddail	ðai̯l
adfeiliedig	advei̯ljɛdɪɡ
cnawdol	knau̯dɔl
allant	aɬant
hosbisau	hɔsbɪsɛ
llwybr llaethog	əɬʊɨ̯brɬeɨ̯θɔɡ
lanach	lanaχ
eiddew	ei̯ðɛu̯
rhywbeth	r̥ɪu̯bɛθ
nheisen	n̥ei̯ʃɛn
cacennau cri	kakɛnakriː
hawlio	hau̯ljɔ
picau maen	pɪkamaːɨ̯n
allgofnodi	aɬɡɔvnɔdi
allwthio	aɬʊθjɔ
tudalen	tɨ̞dalɛn
rheidrwydd	r̥ei̯drʊi̯ð
gwell	ɡwɛɬ
deisen	dei̯san
chae	χaːɨ̯
adwaenid	adweɨ̯nɪd
sant	sant
corgwn	kɔrɡʊn
ymhlith	əmhliːθ
enw	ɛnu
ebrill	ɛbrɪɬ
caerloyw	kaɨ̯rlɔɨ̯ʊ
thyrrau	θəra
chythreuliaid	χəθreɨ̯ljai̯d
pathewod	paθɛu̯ɔd
ehangiad	ɛhaŋjad
ryddhau	rəðhaɨ̯
bysgod	bəsɡɔd
ynglŷn	əŋlɨːn
char	χar
mhabell	m̥abɛɬ
adfero	advɛrɔ
cyfarfod	kwarvɔd
wyres	ʊɨ̯ras
halibalŵ	halɪbaluː
chu	χɨː
adre	adra
gylchgrawn	ɡɨ̞lχɡrau̯n
cano	kanɔ
rhywle	r̥ɪu̯lɛ
cydweithrediadau	kɨːdwei̯θrɛdjadɛ
olew olewydd	ɔlɛu̯ɔlɛu̯ɨ̞ð
unigol	ɨ̞nɪɡɔl
selog	sɛlɔɡ
aent	aːɨ̯nt
croeshoelio	krɔɨ̯shɔɨ̯ljɔ
tegan meddal	tɛɡanmɛðal
cymaint	kəmai̯nt
dydd gwener	dɨːðɡwɛnɛr
lundain	lɨ̞ndan
adrodd	adrɔð
hirgrynion	hɪrɡrənjɔn
canlyniad	kanlənjad
glybiau	ɡləbja
pluen eira	plɨ̞ɛnei̯ra
dwrgi	dʊrɡɪ
cwmwd	kʊmʊd
cynhenna	kənhɛna
llunio	ɬɨ̞njɔ
helwyr	hɛlwɨ̞r
wddf	ʊðu
porffor	pɔrfɔr
eith	ei̯θ
nhyrrau	n̥əra
hyfed	həvɛd
cynhaeaf	kənheːɨ̯av
abad	abad
denu	dɛnɨ
bol	bɔl
dichon	dɪχɔn
ar	ar
taled	talɛd
afocados	avɔkadɔs
pibonwy	pɪbɔnuɨ̯
bibgorn	bɪbɡɔrn
ffonau	fɔnɛ
carthen	karθan
cyrsiau	kərʃa
angylaidd	aŋəlai̯ð
crist	kriːst
ddechrau	ðɛχraɨ̯
teipio	tei̯pjɔ
cartref	kartrɛ
bae	baːɨ̯
hi	hiː
pencampwyr	pɛŋkampwɨ̞r
mai	ma
trwynol	trʊɨ̯nɔl
eng	ɛŋ
diolch yn fawr iawn	djɔlχənvau̯rjau̯n
llith	ɬiːθ
carsi	karsi
dyfi	dəvɪ
astrusi	asdrɨ̞si
gloi	ɡlɔi̯
ceni	kɛnɪ
cyngor	kəŋɔr
digon	dɪɡɔn
y	ə
farnau	varnaɨ̯
cesar	kɛsar
chneuen gyll	χneɨ̯ɛnɡɨ̞ɬ
bedwen	bɛdwɛn
caffel	kafɛl
yn	ən
anelu	anɛlɨ
cydsynio	kɨ̞dsənjɔ
saith seren	sai̯θsɛrɛn
alar	aːlar
dywedodd	dəu̯ɛdɔð
chaled	χalɛd
dolen	dɔlɛn
mroch	mroːχ
cneuen ffrengig	kneɨ̯ɛnfrɛŋɪɡ
paid	pai̯d
bengwiniaid	bɛŋɡwɪnjɛd
byddarol	bəðarɔl
dall	daɬ
oherwydd	ɔhɛrwɨ̞ð
pabïau	pabiːaɨ̯
camgymeriad	kamɡəmɛrjad
cachen	kaχɛn
eog	ɛɔɡ
ddigon	ðɪɡɔn
paned	panad
genedigaethau	ɡɛnɛdɪɡeɨ̯θɛ
bronrhuddyn y mynydd	brɔnr̥ɨ̞ðɨ̞nəmənɨ̞ð
cwest	kweːsd
angof	aŋɔv
llwrw	ɬʊru
rhag	r̥aɡ
chael	χaːl
cloem	kloːɨ̯m
fwlfa	vʊlva
catholigiaeth	kaθɔlɪɡjaɨ̯θ
nhrefydd	n̥rɛvɨ̞ð
i'r dim	iːrdɪm
lyfrau	ləvrɛ
fuan	vɨ̞an
morwyn	mɔrʊɨ̯n
golchi	ɡɔlχɪ
cystadlaethau	kəsdadleɨ̯θa
yrru	ərɨ
trais	trai̯s
ardal	ardal
rhwystrau	r̥ʊɨ̯sdrɛ
bwrw hen wragedd â ffyn	bʊrʊheːnwraɡɛðafɨ̞n
brenhines	brɛnhɪnas
lyfr	lɨ̞vr
blingo	blɪŋɔ
ngwylio	ŋwɪljɔ
amryw	amrɨu̯
wlad pwyl	wlaːdpuːɨ̯l
ithfaen	ɪθvaɨ̯n
ehedydd	ɛhɛdɨ̞ð
dyfrfarch	dəvrvarχ
waliau	waljɛ
acennu	akɛnɨ
dwyt	duːɨ̯t
achosaf	aχɔsav
atalnod	atalnɔd
thawel	θau̯ɛl
elwa	ɛlwa
troet	troːɨ̯t
barc	bark
rhinoseros	r̥ɪnɔsɛrɔs
gymylog	ɡəməlɔɡ
flynedd	vlənɛð
llywodraethu	ɬəu̯ɔdreɨ̯θɨ
deiliadaethau	dei̯ljadeɨ̯θɛ
gwiwer	ɡwɪu̯ar
lwc	lʊk
dew	deːu̯
garant	ɡarant
èf	ɛv
dagrau	daɡraɨ̯
dafydd	davɨ̞ð
tu ôl i	tɨ̞oːlɪ
pigwrn	pɪɡʊrn
cusanu	kɨ̞sanɨ
bapur	bapɨ̞r
delet	dɛlɛt
perthynas	pɛrθənas
cul	kɨːl
cen	kɛn
pasg	paːsɡ
piclau	pɪklɛ
un ar bymtheg	ɨːnarbəmθɛɡ
fleiddiau	vlei̯ðjɛ
taenu	teɨ̯nɨ
lladrad	ɬadrad
mhethau	m̥ɛθaɨ̯
pryf copyn	prɨːkɔpɨ̞n
pencampwriaethau	pɛŋkampʊrjeɨ̯θɛ
adaregydd	adarɛɡɨ̞ð
ford	vɔrd
rhwydo	r̥ʊɨ̯dɔ
edwyn	ɛdwɨ̞n
amnewid	annɛu̯ɪd
ngoleuadau	ŋɔleɨ̯adaɨ̯
aethem	eɨ̯θɛm
coed afalau	koːɨ̯davalɛ
pydredd	pədrɛð
gwyddau	ɡʊɨ̯ða
alfarch	alvarχ
elltydd	ɛɬdɨ̞ð
llysenw	ɬɨ̞sɛnu
cyfrifydd	kəvrɪvɨ̞ð
petryalau	pɛtrɨ̞ala
briallen	brjaɬɛn
cyfnodolion	kəvnɔdɔljɔn
glŷn	ɡlɨːn
dewi	dɛu̯i
piclo	pɪklɔ
cecren	kɛkrɛn
hoff	hoːf
egwyddor	ɛɡʊɨ̯ðɔr
gorfod	ɡɔrvɔd
tâl	taːl
academïau	akadɛmiːɛ
trigain	trɪɡɛn
aredaf	arɛdav
panasen	panasɛn
animeiddio	anɪmei̯ðjɔ
phobl	fɔbl
bwyta	bʊɨ̯ta
gwawl	ɡwau̯l
pured	pɨ̞rɛd
'i	i̯
y tu ôl i	tɨ̞oːlɪ
gweinydd	ɡwei̯nɨ̞ð
rywle	rɪu̯lɛ
ânt	aːnt
iet	jɛt
nharianau	n̥arjanɛ
wysg	uːɨ̯sɡ
addo	aðɔ
genhinen	ɡɛnhɪnɛn
tsimpansî	tʃɪmpansiː
haeddel	heɨ̯ðɛl
nhatws	n̥atʊs
gwarthegyddion	ɡwarθɛɡəðjɔn
conglfaen	kɔŋlvaɨ̯n
du	dɨː
ddwywaith	ðʊɨ̯wai̯θ
putain	pɨ̞tɛn
etyl	ɛtɨ̞l
habatir	habatɪr
byrddydd	bərðɨ̞ð
aseswr	asɛsʊr
na	na
porchell	pɔrχɛɬ
nghut	ŋ̊ɨ̞t
negfed	nɛɡvɛd
bardd	barð
parot	parɔt
hogyn	hɔɡɨ̯n
gostyngaidd	ɡɔsdəŋai̯ð
pei	pei̯
sodlau uchel	sɔdlɛɨ̞χɛl
achubiaeth	aχɨ̞bjaɨ̯θ
môn	moːn
nos iau	nɔʃaɨ̯
actio	aktjɔ
galler	ɡaɬɛr
gyrraedd	ɡəraɨ̯ð
gwahodd	ɡwahɔð
garem	ɡarɛm
gymedrolwyr	ɡəmɛdrɔlwɨ̞r
heraill	hɛrɪɬ
brython	brəθɔn
glyw	ɡlɨu̯
gwyliedydd	ɡwɨ̞ljɛdɨ̞ð
gaint	ɡai̯nt
penblethau	pɛmblɛθa
diffydd	dɪfɨ̞ð
nage ddim	naɡɛðɪm
garchar	ɡarχar
pyliau	pəlja
bochdew	bɔχdɛu̯
eisteddfodau	sdɛðvɔda
cymylau	kəməla
aethom	eɨ̯θɔm
cyflafareddiad	kəvlavarɛðjad
rheolwr	r̥ɛɔlʊr
swshi	suːʃi
mheth	m̥eːθ
gorasgellu	ɡɔrasɡɛɬɨ
caffis	kafɪs
cyflafareddu	kəvlavarɛðɨ
diffodd	dɪfɔð
ychen	əχɛn
feirysau	vei̯rəsaɨ̯
arglwydd	arɡlʊɨ̯ð
caerau	keɨ̯ra
unen	ɨ̞nɛn
chwain	χwai̯n
surdoes	sɨ̞rdɔɨ̯s
ffrygydau	frəɡədɛ
gwledydd	ɡwlɛdɨ̞ð
carchar	karχar
ael	aːɨ̯l
hiliaeth	hɪljaɨ̯θ
glanhau	ɡlanhaɨ̯
ystyried	əsdərjɛd
amgueddfa	amɡɨ̞ɛðva
piod	piːɔd
adawed	adau̯ɛd
trueni	triɛnɨ
brawychwyr	brau̯əχwɨ̞r
nodi	nɔdi
telynorion	tɛlənɔrjɔn
nos fercher	noːsvɛrχɛr
ata	ata
rywun	rɨu̯ɨ̞n
pont	pɔnt
enillwyr	ɛnɨ̞ɬwɨ̞r
pedolau	pɛdɔla
cân	kaːn
rywle	rɪu̯la
cacennau cri	kakɛnaɨ̯kriː
gynhadledd	ɡənhadlɛð
gweithwyr	ɡwei̯θwɨ̞r
gariad	ɡarjad
amrywio	amrɨu̯jɔ
canmoliaethau	kanmɔljeɨ̯θaɨ̯
amethyst	amɛθɨ̞sd
afreolaidd	avrɛɔlɛð
adferiedydd	advɛrjɛdɨ̞ð
terfysglyd	tɛrvəsɡlɨ̞d
gweddw	ɡwɛðu
o flaen llaw	ɔvlaːɨ̯nɬaːu̯
adweinaf	adwei̯nav
cared	karɛd
talais	talɪʃ
unais	ɨ̞nɛs
amrant	amrant
caniatáu	kanjataɨ̯
iddewesau	ɪðɛu̯ɛsɛ
cyrchu	kərχɨ
gryf	ɡrɨːv
chalenigion	χalɛnɪɡjɔn
sefyllfaoedd	sɛvəɬvaːɔɨ̯ð
tanbeidrwydd	tambei̯drʊɨ̯ð
dydd sadwrn	dɨːðsadʊn
amguedd	amɡɨ̞ɛð
lloegr newydd	ɬɔɨ̯ɡərnɛu̯ɨ̞ð
gwsberen	ɡʊsbɛran
thrwydded	θrʊɨ̯ðad
cad	kaːd
twrw	tʊru
piclau	pɪklaɨ̯
amanita benfelen	amanɪtabɛnvɛlɛn
nghacen	ŋ̊akan
talwn	talʊn
gwennol	ɡwɛnɔl
beicio	bei̯kɔ
gan	ɡɪn
iselder ysbryd	ɪsɛldarəsbrɨ̞d
aros	arɔs
ar gyfer	arɡəvɛr
cnuchio	knɨ̞χjɔ
brwydrwr	brʊɨ̯drʊr
charo	χarɔ
dwrci	dʊrki
unigryw	ɨ̞nɪɡrɪu̯
chwerwddwr	χwɛrwðʊr
echdoe	ɛχdɔɨ̯
nghwestiwn	kwɛsdjʊn
offeiriad	ɔfəi̯rjad
bwyty	bʊɨ̯tɨ̞
physgodyn	fəsɡɔdɨ̯n
hogiau	hɔɡjɛ
brëyr	breːɨ̞r
threisiwr	θrei̯ʃʊr
hiach	hjaːχ
cadernid	kadɛrnid
gacen	ɡakan
cyfrifoldebau	kəvrɪvɔldɛbɛ
braenu	brei̯ni
sgydau	sɡədaɨ̯
caeth	kaːɨ̯θ
llan	ɬan
peiriannau llungopïo	pei̯rjanaɨ̯ɬɨ̞ŋɡɔpiːɔ
golau	ɡɔlaɨ̯
achos	χɔs
seddi	sɛði
dynladdiad	dɨːnlaðjad
pafin	pavɪn
dyfarnwr	dəvarnʊr
cyfrol	kəvrɔl
nwylo	nʊɨ̯lɔ
llwnc	ɬʊŋk
afalau cariad	avalɛkarjad
peis	peis
ngoleuadau	ŋɔleɨ̯adɛ
adio	adjɔ
heuldro'r haf	heɨ̯ldrɔrhaːv
cont	kɔnt
iyrchod	jərχɔd
lemwn	lɛmʊn
ddefnyddio	ðɛvnəðjɔ
ogledd	ɔɡlɛð
cwpaneidiau	kʊpanei̯djaɨ̯
clicio	klɪkɔ
geisio	ɡei̯ʃɔ
nghyngor	ŋ̊əŋɔr
talen	talɛn
ffraegar	freɨ̯ɡar
picau bach	pɪkaɨ̯baːχ
ysbrydoli	əsbrədɔli
gwregys	ɡwrɛɡɨ̞s
sylwebu	səlwɛbɨ
hoffest	hɔfɛsd
adflasau	advlasa
eirinen wlanog	ei̯rɪnaŋwlanɔɡ
dyrnfedd	dərnvɛð
cot	kɔt
lesau	lɛsaɨ̯
sosban	sɔsban
arolygiaeth	arɔləɡjaɨ̯θ
creision ŷd	krei̯ʃɔnɨːd
nhŷ	n̥ɨː
alla	aɬa
coel	koːɨ̯l
geiriadurwyr	ɡei̯rjadɨ̞rwɨ̞r
tyllau	təɬa
terfyniad	tɛrvənjad
melen	mɛlɛn
teyrnas	teɨ̯rnas
gwyddau	ɡʊɨ̯ðaɨ̯
rhanddeiliaid	r̥anðei̯ljɛd
ymerodraeth	əmɛrɔdraɨ̯θ
rheolau	r̥ɛɔla
reis	rei̯s
masg	masɡ
rhwydwaith	r̥ʊɨ̯dwɛθ
brecwast	brɛkwast
gaffed	ɡafɛd
elent	ɛlɛnt
nos iau	noːʃaɨ̯
tir	tiːr
recriwtiaid	rɛkrɪu̯tjai̯d
lleuen	ɬeɨ̯an
troi	trɔi̯
cusanau	kɨ̞sanaɨ̯
tri ar ddeg	triːarðeːɡ
phethau	fɛθaɨ̯
pencampwriaeth	pɛŋkampʊrjaɨ̯θ
digalon	dɪɡalɔn
mamau	mama
celen	kɛlɛn
sgwd	sɡuːd
caer gwydion	kaːɨ̯rɡwədjɔn
cerdded	kɛrðɛd
chi	χiː
hynt san ialm	hɨ̞ntsanjalm
corhedydd	kɔrhɛdɨ̞ð
hoyw	hɔɨ̯u
helciaid	hɛlkjɛd
gylchgrawn	ɡəlχɡrau̯n
adweithegydd	adwei̯θɛɡɨ̞ð
cyfrifiant	kəvrɪvjant
elin	ɛlɪn
mynnu	məni
saethyddiaeth	seɨ̯θəðjaɨ̯θ
caergaint	kaɨ̯rɡai̯nt
tre	treː
car	kar
cod post	koːdpoːsd
dynion	dənjɔn
wfft	ʊfd
gusanau	ɡɨ̞sanɛ
bei	bei
olifs	ɔlɪvs
gyddfau	ɡəðva
toiledau	tɔi̯lɛdɛ
trodd	troːð
hugain	hɪɡai̯n
ffeindiaf	fɪndja
ymateb	əmatɛb
adaryddiaeth	adarəðjɛθ
blogiau	blɔɡja
cydweithredwr	kɨːdwei̯θrɛdʊr
cwestau	kwɛsda
gadawed	ɡadau̯ɛd
tâp masgio	taːpmasɡjɔ
diweddar	dɪu̯ɛðar
bedwen	bɛdwan
naet	naːi̯t
streiciau	sdrei̯kja
ffrancwr	fraŋkʊr
marchogaeth	marχɔɡɛθ
dyngarol	dəŋɡarɔl
hais	hais
pin	pɪn
dynn	dɨ̞n
teisen gri	tei̯sɛŋɡriː
dydd iau	dɨːðjaɨ̯
nos sul	nɔssɨːl
poenit	pɔɨ̯nɪt
ychydig	χədɨ̞ɡ
serch	sɛrχ
argraffydd	arɡrafɨ̞ð
fil	viːl
mlodau	mlɔda
cnau	knaɨ̯
cyfiawnhad	kəvjau̯nhaːd
allforwyr	aɬvɔrwɨ̞r
darlithio	darlɪθjɔ
cael	kaːɨ̯l
mwyar	mʊɨ̯ar
ngweriniaethau	ɡwɛrɪnjeɨ̯θa
wng	ʊŋ
bath	baːθ
pendrist	pɛndrɪsd
nythfeydd	nəθveɨ̯ð
cacwn meirch	kakʊmmei̯rχ
arwerthiannau	arwɛrθjanɛ
wyau	ʊi̯a
heulsaf	heɨ̯lsav
ngheir	ŋ̊ei̯r
condemnio	kɔndɛmnjɔ
adlynol	adlənɔl
daeth	daːɨ̯θ
cyfrwyo	kəvrʊɨ̯ɔ
enillion	ɛnɪɬjɔn
huawdl	hɨːau̯dl
cyfieithu	kəvjei̯θɨ
gorau	ɡɔraɨ̯
gwrthiselyddion	ɡʊrθɪsɛləðjɔn
ymherodr	əmhɛrɔdr
chwrdd	χʊrð
swllt	suːɬd
threfydd	θrɛvɨ̞ð
gellid	ɡɛɬɪd
ychydig	əχədɨ̞ɡ
cyhydnos yr hydref	kəhədnɔsərhədra
olwyn	ɔlwɨ̞n
terfynau	tɛrvənɛ
gedy	ɡɛdɨ
winoedd	wɪnɔɨ̯ð
mleiddiau	mlei̯ðja
terfysgoedd	tɛrvəsɡɔɨ̯ð
aberdaugleddau	abɛrdaɨ̯ɡlɛða
amod	amɔd
mwcws	mʊkʊs
dileu	dɪleɨ̯
mhant	m̥ant
drysfa	drəsva
dest	dɛsd
ddathlu	ðaθlɨ
gwerth	ɡwɛrθ
mrawd	mrau̯d
bu	bɨː
gweinyddwyr	ɡwei̯nəðwɨ̞r
cythraul	kəθral
gweriniaeth	ɡwɛrɪnjaɨ̯θ
bwced	bʊkɛd
drysni	drəsni
thali	θali
gwyched	ɡwəχɛd
oriau	ɔrjɛ
frain	vrai̯n
trydedd	trədɛð
ffrainc	frai̯ŋk
cysylltu	kəsəɬdɨ
anobeithiau	anɔbei̯θjaɨ̯
main	mai̯n
dibwys	dɪbʊɨ̯s
estron	ɛsdrɔn
erchi	ɛrχi
caerhirfryn	kaɨ̯rhɪrvrɨ̞n
colli	kɔɬi
cydseiniol	kɨːdsei̯jɔl
melynion	mɛlənjɔn
eangderau	ɛaŋdɛra
gafas	ɡavas
urddau	ɨ̞rðɛ
enghraifft	ɛŋ̊rai̯fd
cyrraedd	kəraɨ̯ð
cywyddau	kəwəðaɨ̯
ymladdfeydd	əmlaðveɨ̯ð
orsaf	ɔrsav
amrywio	amrɪu̯jɔ
dechrau	dɛχrɛ
tlodion	tlɔdjɔn
nos fercher	nɔsvɛrχɛr
peintiau	pei̯ntjaɨ̯
ngafr	ŋavr
archeb	arχɛb
mara	mara
nghanwr	ŋ̊anʊr
gelyn	ɡɛlɨ̞n
terfynau	tɛrvəna
morwennol	moːrwɛnɔl
telyn deires	tɛlɨndei̯rɛs
rhaith	r̥ai̯θ
telynor	tɛlənɔr
gwlanog	ɡwlanɔɡ
rywsut	rɨu̯sɨ̞t
mefus	mɛvɨ̞s
ystafell	sdavɛɬ
prydael	prədaɨ̯l
gythraul	ɡəθraɨ̯l
màs	mas
norwy	nɔrʊɨ̯
sawsiau	sau̯ʃaɨ̯
thrwyddedau	θrʊɨ̯ðɛdaɨ̯
lesddeiliaid	leːsðei̯ljɛd
anfon	anvɔn
hymenyn	həmɛnɨ̞n
to	toː
efallai	vaɬɛ
ras	raːs
dienw	diɛnʊ
gyfarfod	ɡwarvɔd
mynychu	mənəχɨ
buddugwyr	bɨ̞ðɨ̞ɡwɨ̞r
maestref	meɨsdrɛv
ydw	ədu
taflen	tavlɛn
chara	χara
posibil	pɔsɪbɪl
cofiem	kɔvjɛm
diwethaf	dɪu̯ɛθa
chly	χlɨː
cofnodi	kɔvnɔdi
nghanu	ŋ̊anɨ̞
nwyf	nuːɨ̯v
ticio	tɪkjɔ
'ma	ma
ffyn	fɨ̞n
ocsiynau	ɔkʃənaɨ̯
pa	paː
bryna	brəna
pedair	pɛdai̯r
cyhoeddus	kəhɔɨ̯ðɨ̞s
baidd	bai̯ð
peithiau	pei̯θjɛ
cangen	kaŋɛn
arolygwr	arɔləɡʊr
llesteiriannau	ɬɛsdei̯rjanaɨ̯
dadlau	dadlaɨ̯
picau maen	pɪkaɨ̯maːɨ̯n
sillafu	sɪɬavɨ
ffoniwch	fɔnjʊχ
wennol	wɛnɔl
had	haːd
aredig	arɛdɪɡ
fri	vriː
rhyddhaf	r̥əðhaːv
adargraffiadau	adarɡrafjadaɨ̯
ngogledd	ŋɔɡlɛð
macamwn	makamʊn
stafell	sdavaɬ
hwnnw	hʊnu
addoliad	aðɔljad
caergrawnt	kaɨ̯rɡrau̯nt
pwy	puːɨ̯
lanhau	lanhaɨ̯
meddiannu	mɛðjanɨ
allt	aːɬd
wychach	wəχaχ
gawn	ɡau̯n
dail	dai̯l
rhyngrwyd	r̥əŋrʊɨ̯d
cyfnodol	kəvnɔdɔl
silff	sɪlf
alban hefin	albanhɛvɪn
air	ai̯r
adfywiadau	advɨ̞u̯jadɛ
chastell	χasdaɬ
iesu grist	jɛsɨɡriːst
ble wyt ti'n byw	bleːuːɨ̯ttɨːnbɪu̯
droed	droːɨ̯d
cynnar	kənar
adfywiadau	advɨ̞u̯jada
nhelynor	n̥ɛlənɔr
nitrogen	nɪtrɔɡɛn
chwery	χwɛrɨ
mil	miːl
bual	bɨ̞al
tegan anwes	tɛɡananwɛs
cyfair	kəvai̯r
deildai	dei̯ldai̯
llinos	ɬɪnɔs
ymladdwyr	əmlaðwɨ̞r
syndodau	səndɔdɛ
cara	kara
wystl	wɨ̞sdl
murddun	mɨ̞rðɨ̞n
achyddiaeth	aχəðjɛθ
fleiddiaid	vlei̯ðjɛd
teitlau	tei̯tla
gwylogod	ɡʊɨ̯lɔɡɔd
thatws	θatʊs
nhelynores	n̥ɛlənɔras
angylesau	aŋəlɛsa
cyffylog	kəfəlɔɡ
iddynt	ɪðɨ̞nt
mhryfed	m̥rəvɛd
arwynebedd	arwɨ̞nɛbɛð
rhinart	r̥ɪnart
marchgacynen	marχɡakənɛn
wddf	ʊðʊv
thalent	θalɛnt
ehangach	ɛhaŋaχ
mercwri	mɛrkʊri
meddai	mɛðai̯
obeutu	ɔbeɨ̯tɨ̞
pêr	peːr
talais	talɛʃ
mefusen	mɛvɨ̞sɛn
delen	dɛlɛn
siocled poeth	ʃɔklɛdpoːɨ̯θ
pobol	pɔbɔl
dosbarthwr	dɔsbarθʊr
mefusa	mɛvɨ̞sa
chefn	χɛvn
afr	avr
bydd	bɨːð
economegydd	ɛkɔnɔmɛɡɨ̞ð
sychnentydd	səχnɛntɨ̞ð
chwip	χwɪp
pell	pɛɬ
addolgar	aðɔlɡar
asgwrn	asɡʊrn
busnes	bɨ̞snas
yr euog a ffy heb neb yn ei erlid	əreɨ̯ɔɡafɨːhɛbneːbəneiɛrlɪd
w	uː
taranu	taranɨ̞
nhu	n̥ɨː
garnau	ɡarnɛ
gwlad yr iâ	ɡwlaːdərjaː
mewngofnodi	mɛu̯ŋɡɔvnɔdi
ryddhaf	rəðhaːv
teifi	tei̯vi
dydw i ddim yn siarad y saesneg	dəduiðɪmənʃaradəsəisnɛɡ
briallu	brɪaɬɨ̞
organig	ɔrɡanɪɡ
paneidiau	panei̯dja
achwyniadau	aχʊɨ̯njada
mynachlog	mənaχlɔɡ
hardaloedd	hardalɔɨ̯ð
cyfansymiau	kəvansəmjaɨ̯
amanita	amanɪta
cyfiawnhau	kəvjau̯nhaɨ̯
flwyddi	vlʊɨ̯ði
campfa	kampva
pâr minimol	paːrmɪnɪmɔl
byr	bɨ̞r
sêls	seːls
cartref	kartra
pethau	pɛθɛ
boptai	bɔptai̯
beirniadaethau	bei̯rnjadeɨ̯θɛ
cynuta	kənɨ̞ta
gimbill	ɡɪmbɪɬ
hamod	hamɔd
cerwch	kɛrʊχ
adfeddiannu	advɛðjanɨ
ychwanegu	əχwanɛɡɨ
teimlad	tei̯mlad
nghroes	ŋ̊roːɨ̯s
chwech	χweːχ
adref	adrɛ
pawr	pau̯r
bras	braːs
habaty	habatɨ
technoleg gwybodaeth	tɛχnɔlɛɡɡwɨ̞bɔdaɨ̯θ
roeg	roːɨ̯ɡ
unfed ar ddeg	ɨ̞nvɛdarðeːɡ
trengholiadau	trɛŋhɔljadaɨ̯
ywen	ɨ̞u̯ɛn
bethau	bɛθa
eiddgar	ei̯ðɡar
dyfarniadau	dəvarnjada
dolffin	dɔlfɪn
ewythr	ɛu̯ɨ̞θr
colled	kɔɬɛd
nghapel	ŋ̊apɛl
cymysg	kəmɨ̞sɡ
planhigyn	planhɪɡɨ̞n
rhwygo	r̥ʊɨ̯ɡɔ
arddelw	arðɛl
cyngyd	kəŋɡɨ̞d
tudalen	tɨ̞dalan
echlysur	ɛχləsɨ̞r
cadach	kadaχ
hirgron	hɪrɡrɔn
latfia	latvja
saws	sau̯s
trenau	trɛnaɨ̯
goddef	ɡɔðɛ
undeg	ɨ̞ndɛɡ
garw	ɡaru
eirin mair	ei̯rɪmmai̯r
wybodaeth	wəbɔdaɨ̯θ
dorrent	dɔrɛnt
cafon	kavɔn
gweddïwr	ɡwɛðɪʊr
