spesialisointi	ˈspesiˌɑliˌsointi
heinäaro	ˈheinæˌɑro
biokemia	ˈbioˌkemiɑ
kylmäsydämisesti	ˈkylmæˌsydæmiˌsesti
loistavuus	ˈloistɑvuus
teettää	ˈteettææ
korkeasti	ˈkorkeˌɑsti
kirkkomusiikki	ˈkirkkomuˌsiikki
härmätauti	ˈhærmæˌtɑuti
salvata	ˈsɑlvɑtɑ
pommitella	ˈpommiˌtellɑ
kreationismi	ˈkreɑˌtioˌnismi
auttavasti	ˈɑuttɑˌvɑsti
generalissimus	ˈgenerɑˌlissimus
terävyysalue	ˈteræˌvyysɑˌlue
lippuluukku	ˈlippuˌluukku
kuningataräiti	ˈkuninˌgɑtɑˌræiti
kimakasti	ˈkimɑˌkɑsti
siirtolainen	ˈsiirtoˌlɑinen
lahjaraha	ˈlɑhjɑˌrɑhɑ
maanviljelyskone	ˈmɑɑnviljeˌlyskone
ahdasnäköisyys	ˈɑhdɑsnæˌkøisyys
lisääntyä	ˈlisæænˌtyæ
kyky	ˈkyky
kannu	ˈkɑnnu
maanomistus	ˈmɑɑnoˌmistus
pysäköintitalo	ˈpysæˌkøintiˌtɑlo
vapaavuosi	ˈvɑpɑɑˌvuosi
juhlavasti	ˈjuhlɑˌvɑsti
tutkimuskenttä	ˈtutkiˌmuskenttæ
hoidattaa	ˈhoidɑttɑɑ
edustusauto	ˈedustuˌsɑuto
pesimäaika	ˈpesimæˌɑikɑ
kehitysvika	ˈkehiˌtysvikɑ
virkaanastujaisesitelmä	ˈvirkɑɑˌnɑstuˌjɑisesiˌtelmæ
laavavirta	ˈlɑɑvɑˌvirtɑ
myötätuntoisuus	ˈmyøtætunˌtoisuus
sillivoileipä	ˈsilliˌvoileipæ
virallistaa	ˈvirɑlˌlistɑɑ
herra	ˈherrɑ
monitieteinen	ˈmoniˌtieteinen
muurahaiskarhu	ˈmuurɑˌhɑiskɑrhu
kolmiloikka	ˈkolmiˌloikkɑ
virota	ˈvirotɑ
brežneviläisyys	ˈbrežneviˌlæisyys
pyrskähdys	ˈpyrskæhdys
välilyöntinäppäin	ˈvæliˌlyøntiˌnæppæin
edustajakokous	ˈedusˌtɑjɑˌkokous
nuoskainen	ˈnuoskɑinen
kovakouraisesti	ˈkovɑˌkourɑiˌsesti
seinänvierus	ˈseinænˌvierus
samanhetkinen	ˈsɑmɑnˌhetkinen
kompetenssi	ˈkompeˌtenssi
terveysmatka	ˈterveˌysmɑtkɑ
karhunpyynti	ˈkɑrhunˌpyynti
hevosenleikki	ˈhevosenˌleikki
lääkintähenkilöstö	ˈlæækintæˌhenkiˌløstø
soidensuojelualue	ˈsoidenˌsuojeˌluɑˌlue
vilpistely	ˈvilpisˌtely
filippiläiskirje	ˈfilippiˌlæiskirje
liukuvarunkoinen	ˈliukuvɑˌrunkoinen
siksakki	ˈsiksɑkki
hevostella	ˈhevosˌtellɑ
edustuskelpoisuus	ˈedusˌtuskelˌpoisuus
konsentraatti	ˈkonsentˌrɑɑtti
vakiosuuruinen	ˈvɑkioˌsuuruinen
kaapelikenkä	ˈkɑɑpeliˌkenkæ
äänittää	ˈæænittææ
turkis	ˈturkis
piipunpuhdistin	ˈpiipunˌpuhdistin
lytyssä	ˈlytyssæ
etukautta	ˈetukɑˌuttɑ
välihuuto	ˈvæliˌhuuto
naistenvihaaja	ˈnɑistenviˌhɑɑjɑ
braatvursti	ˈbrɑɑtvursti
tienvarsimainonta	ˈtienvɑrsiˌmɑinontɑ
räpyttää	ˈræpyttææ
esivalmistelu	ˈesiˌvɑlmisˌtelu
kunniattomasti	ˈkunniˌɑttoˌmɑsti
oikukkaasti	ˈoikukˌkɑɑsti
tulkintaerimielisyys	ˈtulkinˌtɑeriˌmielisyys
maksujärjestely	ˈmɑksuˌjærjesˌtely
hujakoilla	ˈhujɑˌkoillɑ
taivaallinen	ˈtɑivɑɑlˌlinen
kyberneettinen	ˈkyberˌneettinen
lääkärinammatti	ˈlæækæriˌnɑmmɑtti
arvoväritteinen	ˈɑrvovæˌritteinen
vinohampainen	ˈvinohɑmˌpɑinen
kouristuksellinen	ˈkourisˌtukselˌlinen
liemikuppi	ˈliemiˌkuppi
hedelmälaji	ˈhedelˌmælɑji
ketlaaja	ˈketlɑɑjɑ
juoksijahevonen	ˈjuoksiˌjɑheˌvonen
avosuinen	ˈɑvoˌsuinen
nukkuja	ˈnukkujɑ
kaukokartoitus	ˈkɑukokɑrˌtoitus
varjokokous	ˈvɑrjoˌkokous
maurilainen	ˈmɑuriˌlɑinen
lätäkkö	ˈlætækkø
nenäkkäästi	ˈnenækˌkææsti
peti	ˈpeti
nollakoko	ˈnollɑˌkoko
ruhjoontua	ˈruhjoonˌtuɑ
alihallinto	ˈɑliˌhɑllinto
feminiininen	ˈfemiˌniininen
työhevonen	ˈtyøheˌvonen
roskatunkio	ˈroskɑˌtunkio
soutaa	ˈsoutɑɑ
testaus	ˈtestɑus
lihaksisto	ˈlihɑkˌsisto
puolipukeissa	ˈpuolipuˌkeissɑ
hermostuneisuus	ˈhermostuˌneisuus
sähköala	ˈsæhkøˌɑlɑ
tuulikaappi	ˈtuuliˌkɑɑppi
luonnonpalvonta	ˈluonnonˌpɑlvontɑ
ominaispiirre	ˈomiˌnɑispiirre
ylipursuva	ˈyliˌpursuvɑ
hulmuta	ˈhulmutɑ
jodi	ˈjodi
materiaalihallinto	ˈmɑteriˌɑɑliˌhɑllinto
esirukous	ˈesiˌrukous
seläke	ˈselæke
tintti	ˈtintti
korallimätäs	ˈkorɑlˌlimætæs
feminiinisukuinen	ˈfemiˌniinisuˌkuinen
piehtaroida	ˈpiehtɑˌroidɑ
aatos	ˈɑɑtos
lieventyä	ˈlievenˌtyæ
vip	vip
kapulatie	ˈkɑpuˌlɑtie
sivulta	ˈsivultɑ
kiitti	ˈkiitti
safiiri	ˈsɑfiiri
henkilövaunu	ˈhenkiløˌvɑunu
ranskanperunat	ˈrɑnskɑnˌperunɑt
havina	ˈhɑvinɑ
keltasieni	ˈkeltɑˌsieni
kardinaali	ˈkɑrdiˌnɑɑli
kovaotteinen	ˈkovɑotˌteinen
tainnuttaa	ˈtɑinnuttɑɑ
aineettomuus	ˈɑineetˌtomuus
liikenneministeriö	ˈliikenˌnemiˌnisteˌriø
vivuta	ˈvivutɑ
lynkkaus	ˈlynkkɑus
runkoääni	ˈrunkoˌææni
neuvottelukierros	ˈneuvotˌteluˌkierros
hengellinen	ˈhengelˌlinen
ruispelto	ˈruispelto
häkellyksiinsä	ˈhækellykˌsiinsæ
neljännes	ˈneljænnes
myyntitarjous	ˈmyyntiˌtɑrjous
turisti	ˈturisti
häpeäntunne	ˈhæpeˌæntunne
kudelma	ˈkudelmɑ
vaarallisuus	ˈvɑɑrɑlˌlisuus
sivuosa	ˈsivuosɑ
promovoida	ˈpromoˌvoidɑ
työllisyysmääräraha	ˈtyølliˌsyysmææˌrærɑhɑ
tunnustus	ˈtunnustus
monikäyttöhalli	ˈmonikæˌyttøˌhɑlli
kesälomasijainen	ˈkesæˌlomɑsiˌjɑinen
maahansyöksy	ˈmɑɑhɑnˌsyøksy
rahatalous	ˈrɑhɑˌtɑlous
sokeriaineenvaihdunta	ˈsokeriˌɑineenˌvɑihduntɑ
ohrana	ˈohrɑnɑ
leipäsusi	ˈleipæˌsusi
rahatoimi	ˈrɑhɑˌtoimi
laidunkuume	ˈlɑidunˌkuume
ymmärrettävä	ˈymmærˌrettævæ
hikoiluttaa	ˈhikoiˌluttɑɑ
ratkaisuvaihe	ˈrɑtkɑisuˌvɑihe
paraatipelastus	ˈpɑrɑɑˌtipeˌlɑstus
tuliasema	ˈtuliˌɑsemɑ
kessutella	ˈkessuˌtellɑ
meriteitse	ˈmeriˌteitse
hajottamo	ˈhɑjotˌtɑmo
vakioselitys	ˈvɑkiˌoseˌlitys
kansalaistapaaminen	ˈkɑnsɑˌlɑistɑˌpɑɑminen
runokuva	ˈrunoˌkuvɑ
tekokukka	ˈtekoˌkukkɑ
kirjasto	ˈkirjɑsto
feeniks	ˈfeeniks
pehmeäpohjainen	ˈpehmeæˌpohjɑinen
suojatyöpaikka	ˈsuojɑˌtyøpɑikkɑ
merirosvolippu	ˈmeriˌrosvoˌlippu
selkeytysallas	ˈselkeytyˌsɑllɑs
naistentanssit	ˈnɑistenˌtɑnssit
monitekijäinen	ˈmoniˌtekiˌjæinen
juurakko	ˈjuurɑkko
korvapuusti	ˈkorvɑˌpuusti
viive	ˈviive
älkäämme	ˈælkææmme
viemäristö	ˈviemæˌristø
palvelutiski	ˈpɑlveluˌtiski
kenraalibasso	ˈkenrɑɑliˌbɑsso
tukkeuma	ˈtukkeumɑ
nautinnonhimoinen	ˈnɑutinˌnonhiˌmoinen
nitoja	ˈnitojɑ
puhelinmyynti	ˈpuhelinˌmyynti
loimulohi	ˈloimuˌlohi
vuokraamo	ˈvuokrɑɑmo
karhe	ˈkɑrhe
suosionosoitus	ˈsuosiˌonoˌsoitus
verkkopaita	ˈverkkoˌpɑitɑ
valonkestävä	ˈvɑlonˌkestævæ
lopputavu	ˈloppuˌtɑvu
rakennushomma	ˈrɑkenˌnushommɑ
turkiseläin	ˈturkiˌselæin
ravintorasva	ˈrɑvintoˌrɑsvɑ
ostattaa	ˈostɑttɑɑ
liota	ˈliotɑ
vähäilmeinen	ˈvæhæilˌmeinen
puolitangossa	ˈpuoliˌtɑngossɑ
mitanpitävyys	ˈmitɑnˌpitævyys
kakkupaperi	ˈkɑkkuˌpɑperi
meditoida	ˈmediˌtoidɑ
silavoida	ˈsilɑˌvoidɑ
vakuuttavuus	ˈvɑkuutˌtɑvuus
viivoitin	ˈviivoitin
sähköenergia	ˈsæhkøeˌnergiɑ
ohjevähittäishinta	ˈohjevæˌhittæisˌhintɑ
metallurginen	ˈmetɑlˌlurginen
sisempänä	ˈsisemˌpænæ
omistusliite	ˈomistusˌliite
eksegetiikka	ˈeksegeˌtiikkɑ
vientiteollisuus	ˈvientiteˌollisuus
tehokeino	ˈtehoˌkeino
esittäjä	ˈesitˌtæjæ
nautamainen	ˈnɑutɑˌmɑinen
lapsenvahti	ˈlɑpsenˌvɑhti
pimputus	ˈpimputus
mäkitupa	ˈmækiˌtupɑ
jestas	ˈjestɑs
veks	veks
jäätelötikku	ˈjææteløˌtikku
ruorijuoppo	ˈruoriˌjuoppo
pergamenttikäärö	ˈpergɑˌmenttiˌkæærø
jalokaasu	ˈjɑloˌkɑɑsu
laata	ˈlɑɑtɑ
tilintekovelvollinen	ˈtilinˌtekoˌvelvolˌlinen
vastuuntuntoisesti	ˈvɑstuuntunˌtoisesti
sabotointi	ˈsɑboˌtointi
golfhousut	ˈgolfhousut
pitentymä	ˈpitenˌtymæ
puolustusasema	ˈpuolusˌtusɑˌsemɑ
harpisti	ˈhɑrpisti
diplomikielenkääntäjä	ˈdiplomiˌkielenˌkææntæjæ
moitittavuus	ˈmoititˌtɑvuus
lämpövoima	ˈlæmpøˌvoimɑ
soittoniekka	ˈsoittoˌniekkɑ
juustomaito	ˈjuustoˌmɑito
loskainen	ˈloskɑinen
murteenpuhuja	ˈmurteenˌpuhujɑ
räikeys	ˈræikeys
lito	ˈlito
suksiside	ˈsuksiˌside
hörönauru	ˈhørøˌnɑuru
yksinoikeutettu	ˈyksiˌnoikeuˌtettu
taidekutoja	ˈtɑideˌkutojɑ
kumikangas	ˈkumiˌkɑngɑs
jalosydämisyys	ˈjɑloˌsydæˌmisyys
joisto	ˈjoisto
käyttöala	ˈkæytˌtøɑlɑ
liikasanaisuus	ˈliikɑsɑˌnɑisuus
runotaide	ˈrunoˌtɑide
dadaismi	ˈdɑdɑismi
tieto	ˈtieto
monstrumi	ˈmonstrumi
jokiliete	ˈjokiˌliete
kiinnitysoikeus	ˈkiinnityˌsoikeus
umpikänninen	ˈumpiˌkænninen
eskapismi	ˈeskɑˌpismi
puhelintyttö	ˈpuheˌlintyttø
munuaismainen	ˈmunuˌɑismɑinen
non-woven	ˈnonwoven
elastisesti	ˈelɑstiˌsesti
finiittinen	ˈfiniitˌtinen
tyylianalyysi	ˈtyyliˌɑnɑˌlyysi
hyppäyksittäin	ˈhyppæˌyksittæin
sopuli	ˈsopuli
pellavaöljy	ˈpellɑvɑˌøljy
lääkekemia	ˈlæækeˌkemiɑ
vuolukivinen	ˈvuoluˌkivinen
kastautua	ˈkɑstɑuˌtuɑ
kampsut	ˈkɑmpsut
drastisesti	ˈdrɑstiˌsesti
jumalaut	ˈjumɑˌlɑut
velkasumma	ˈvelkɑˌsummɑ
ohjesääntö	ˈohjeˌsææntø
karviaispistiäinen	ˈkɑrviˌɑispistiˌæinen
kompassikukka	ˈkompɑssiˌkukkɑ
aivoaine	ˈɑivoˌɑine
pahantahtoisuus	ˈpɑhɑntɑhˌtoisuus
instituutio	ˈinstiˌtuutio
vesiketju	ˈvesiˌketju
käpyrauhanen	ˈkæpyˌrɑuhɑnen
silmäaukko	ˈsilmæɑˌukko
keskeytyshuuhde	ˈkeskeytysˌhuuhde
voisilmäpulla	ˈvoisilmæˌpullɑ
lampola	ˈlɑmpolɑ
itsekkyys	ˈitsekkyys
adventtikirkko	ˈɑdventtiˌkirkko
kiriä	ˈkiriæ
kursailematon	ˈkursɑiˌlemɑton
puutarhakaupunki	ˈpuutɑrhɑˌkɑupunki
varattu-ääni	ˈvɑrɑttuˌææni
runottomuus	ˈrunotˌtomuus
värisuora	ˈværiˌsuorɑ
preludi	ˈpreludi
postimaksuleima	ˈpostiˌmɑksuˌleimɑ
terveysministeriö	ˈterveˌysmiˌnisteˌriø
lingvistijuristi	ˈlingvisˌtijuˌristi
peräseinä	ˈperæˌseinæ
osanottomaksu	ˈosɑˌnottoˌmɑksu
kolmivaihejohto	ˈkolmiˌvɑiheˌjohto
ilmastusallas	ˈilmɑstuˌsɑllɑs
zeppeliini	ˈzeppeˌliini
yksiääninen	ˈyksiˌææninen
sairaalapöpö	ˈsɑirɑɑˌlɑpøpø
perempää	ˈperempææ
absoluutti	ˈɑbsoˌluutti
roikka	ˈroikkɑ
mehustus	ˈmehustus
vaakalintu	ˈvɑɑkɑˌlintu
ahkeroida	ˈɑhkeˌroidɑ
puhelintoivekonsertti	ˈpuhelinˌtoiveˌkonsertti
kippikattila	ˈkippiˌkɑttilɑ
karja	ˈkɑrjɑ
hylje	ˈhylje
separatismi	ˈsepɑrɑˌtismi
rikosdraama	ˈrikosˌdrɑɑmɑ
juuripuu	ˈjuuripuu
naispuolinen	ˈnɑispuoˌlinen
tarkoituksellisuus	ˈtɑrkoiˌtukselˌlisuus
siveyspoliisi	ˈsiveˌyspoˌliisi
sävyte	ˈsævyte
malmirikas	ˈmɑlmiˌrikɑs
säkättää	ˈsækættææ
musisoida	ˈmusiˌsoidɑ
rosvopaisti	ˈrosvoˌpɑisti
renkaanheitto	ˈrenkɑɑnˌheitto
kokopullo	ˈkokoˌpullo
hiilipiirros	ˈhiiliˌpiirros
veronhuojennus	ˈveronˌhuojennus
ilmavaara	ˈilmɑˌvɑɑrɑ
jospa	ˈjospɑ
kunniankipeä	ˈkunniˌɑnkiˌpeæ
kiinnostava	ˈkiinnosˌtɑvɑ
soluväli	ˈsoluˌvæli
puistonpenkki	ˈpuistonˌpenkki
pitaali	ˈpitɑɑli
juoruämmä	ˈjuoruˌæmmæ
sosiaalitarkkaaja	ˈsosiˌɑɑlitɑrkˌkɑɑjɑ
puoskarointi	ˈpuoskɑˌrointi
arkullinen	ˈɑrkulˌlinen
hassuttaa	ˈhɑssuttɑɑ
raamattuluento	ˈrɑɑmɑtˌtuluˌento
luonnos	ˈluonnos
marginaalivero	ˈmɑrgiˌnɑɑliˌvero
kaksinkertaisesti	ˈkɑksinkerˌtɑisesti
kaari-ikkuna	ˈkɑɑriikˌkunɑ
tursua	ˈtursuɑ
kuoriainen	ˈkuoriˌɑinen
nykyiselleen	ˈnykyiˌselleen
saraikko	ˈsɑrɑikko
julkaisematon	ˈjulkɑiˌsemɑton
pelata	ˈpelɑtɑ
loppujakso	ˈloppuˌjɑkso
lihava	ˈlihɑvɑ
immunisoitua	ˈimmuniˌsoituɑ
käkkyrämänty	ˈkækkyræˌmænty
kesäpäivä	ˈkesæˌpæivæ
yhteisyys	ˈyhteisyys
titityy	ˈtitityy
kaks	kɑks
triasetaattikuitu	ˈtriɑseˌtɑɑttiˌkuitu
määrittely	ˈmææritˌtely
jenkkifutis	ˈjenkkiˌfutis
video-ohjelma	ˈvideˌoohjelmɑ
kätevyys	ˈkætevyys
nirvana	ˈnirvɑnɑ
lukinverkko	ˈlukinˌverkko
vaatehtimo	ˈvɑɑtehˌtimo
mestata	ˈmestɑtɑ
pohjukka	ˈpohjukkɑ
kangaspaino	ˈkɑngɑsˌpɑino
lintunen	ˈlintunen
ristipäätaltta	ˈristiˌpæætɑlttɑ
pääsiäisnoita	ˈpææsiˌæisnoitɑ
välisoitto	ˈvæliˌsoitto
rakuuna	ˈrɑkuunɑ
musiikkiesitys	ˈmusiikˌkiesitys
siedettävästi	ˈsiedettæˌvæsti
murskaamo	ˈmurskɑɑmo
vastaavanlaatuinen	ˈvɑstɑɑvɑnˌlɑɑtuinen
teippaus	ˈteippɑus
tiimellys	ˈtiimellys
orava	ˈorɑvɑ
maskara	ˈmɑskɑrɑ
fiilis	ˈfiilis
nuorisoseuralainen	ˈnuorisoˌseurɑˌlɑinen
likistää	ˈlikistææ
hauska	ˈhɑuskɑ
kutittaa	ˈkutittɑɑ
avojohto	ˈɑvoˌjohto
heleänkeltainen	ˈheleˌænkelˌtɑinen
henkilöitymä	ˈhenkiˌløitymæ
nanna	ˈnɑnnɑ
deterministisesti	ˈdetermiˌnistiˌsesti
perätyksin	ˈperæˌtyksin
etiologisesti	ˈetiˌologiˌsesti
pirttihirmu	ˈpirttiˌhirmu
bisarri	ˈbisɑrri
siekailemattomasti	ˈsiekɑileˌmɑttoˌmɑsti
metallipora	ˈmetɑlˌliporɑ
yksioikoisuus	ˈyksiˌoikoisuus
koepaperi	ˈkoeˌpɑperi
kasvatti	ˈkɑsvɑtti
kolminaisuudenpäivä	ˈkolmiˌnɑisuudenˌpæivæ
ohjain	ˈohjɑin
pientaajuinen	ˈpientɑɑˌjuinen
juuri	ˈjuuri
vulkaniitti	ˈvulkɑˌniitti
irvokkaasti	ˈirvokˌkɑɑsti
rantaelämä	ˈrɑntɑˌelæmæ
varamies	ˈvɑrɑmies
jälkiselvittely	ˈjælkiˌselvitˌtely
totuudenvastainen	ˈtotuuˌdenvɑsˌtɑinen
konstailija	ˈkonstɑiˌlijɑ
koripallo	ˈkoriˌpɑllo
jalkaväenkenraali	ˈjɑlkɑvæˌenkenˌrɑɑli
puolukka	ˈpuolukkɑ
mökki	ˈmøkki
kahareisin	ˈkɑhɑˌreisin
valuma	ˈvɑlumɑ
arvostelunormi	ˈɑrvosˌteluˌnormi
kielenulkoinen	ˈkielenulˌkoinen
lepsu	ˈlepsu
rälssimaa	ˈrælssimɑɑ
peltimuki	ˈpeltiˌmuki
pusu	ˈpusu
öljysoratie	ˈøljyˌsorɑtie
mahorkka	ˈmɑhorkkɑ
komeasti	ˈkomeˌɑsti
surahdella	ˈsurɑhˌdellɑ
tunturisopuli	ˈtuntuˌrisoˌpuli
pelinhoitaja	ˈpelinˌhoitɑjɑ
kyseinen	ˈkyseinen
ale	ˈɑle
lastennäytäntö	ˈlɑstenˌnæytæntø
näperrellä	ˈnæperˌrellæ
tammi	ˈtɑmmi
ketunmetsästys	ˈketunˌmetsæstys
kouruteräinen	ˈkouruteˌræinen
liikuntatiede	ˈliikuntɑˌtiede
propagointi	ˈpropɑˌgointi
vuoron perään	ˈvuoronˈperææn
nykäisy	ˈnykæisy
virtsaumpi	ˈvirtsɑˌumpi
horjahtelu	ˈhorjɑhˌtelu
pahvitölkki	ˈpɑhviˌtølkki
mikrokemia	ˈmikroˌkemiɑ
piirikokousedustaja	ˈpiirikoˌkouseˌdustɑjɑ
kansitus	ˈkɑnsitus
rikospaikka	ˈrikosˌpɑikkɑ
tehtailla	ˈtehtɑillɑ
tunkeilevuus	ˈtunkeiˌlevuus
anaboli	ˈɑnɑˌboli
pikeys	ˈpikeys
jalokuusi	ˈjɑloˌkuusi
itserakkaus	ˈitseˌrɑkkɑus
lujatekoinen	ˈlujɑteˌkoinen
päivähoitomaksu	ˈpæivæˌhoitoˌmɑksu
linkkitorni	ˈlinkkiˌtorni
videokasetti	ˈvideˌokɑˌsetti
eurooppalaisuus	ˈeurooppɑˌlɑisuus
äänenjohtaja	ˈæænenˌjohtɑjɑ
plari	ˈplɑri
selluvilla	ˈselluˌvillɑ
siviilielämä	ˈsiviiˌlielæmæ
painajaismainen	ˈpɑinɑˌjɑismɑinen
sosiaaliluokka	ˈsosiˌɑɑliˌluokkɑ
sumuvaippa	ˈsumuˌvɑippɑ
vastaanottoseremonia	ˈvɑstɑɑˌnottoˌsereˌmoniɑ
nivelkipu	ˈnivelˌkipu
vapautua	ˈvɑpɑuˌtuɑ
suolaisenmakea	ˈsuolɑiˌsenmɑˌkeɑ
tuontimaksu	ˈtuontiˌmɑksu
kasino	ˈkɑsino
rikastua	ˈrikɑsˌtuɑ
vinokaitale	ˈvinoˌkɑitɑle
holahtaa	ˈholɑhtɑɑ
irvistyttää	ˈirvisˌtyttææ
litistää	ˈlitistææ
suurisuuntaisesti	ˈsuuriˌsuuntɑiˌsesti
pahantekijä	ˈpɑhɑnˌtekijæ
kuntopolku	ˈkuntoˌpolku
vierasvoittoinen	ˈvierɑsˌvoittoinen
manilahamppu	ˈmɑnilɑˌhɑmppu
synkronisointi	ˈsynkroniˌsointi
rappauspinta	ˈrɑppɑˌuspintɑ
tulosvastuu	ˈtulosˌvɑstuu
eloon	ˈeloon
termostaattihana	ˈtermosˌtɑɑttiˌhɑnɑ
lykkäytyä	ˈlykkæyˌtyæ
yöpukusilleen	ˈyøpukuˌsilleen
kiiltäväkarvainen	ˈkiiltævæˌkɑrvɑinen
ympärivuotinen	ˈympæriˌvuotinen
yhtye	ˈyhtye
jakojäännös	ˈjɑkoˌjæænnøs
kellukka	ˈkellukkɑ
spastisuus	ˈspɑstisuus
naturalistinen	ˈnɑturɑˌlistinen
lentopelastus	ˈlentopeˌlɑstus
sovellusala	ˈsovelˌlusɑlɑ
rappukäytävä	ˈrɑppuˌkæytævæ
mallinäyte	ˈmɑlliˌnæyte
tuiteriin	ˈtuiteriin
huraus	ˈhurɑus
lakkolupa	ˈlɑkkoˌlupɑ
hissuttaa	ˈhissuttɑɑ
siemenkasvi	ˈsiemenˌkɑsvi
vaatenaulakko	ˈvɑɑteˌnɑulɑkko
pakolaisuus	ˈpɑkoˌlɑisuus
säteilymittari	ˈsæteilyˌmittɑri
pyttyillä	ˈpyttyillæ
viritystaso	ˈviriˌtystɑso
alasajo	ˈɑlɑˌsɑjo
käry	ˈkæry
kaalimaa	ˈkɑɑlimɑɑ
muuttomatka	ˈmuuttoˌmɑtkɑ
propaani	ˈpropɑɑni
todistusjäljennös	ˈtodisˌtusjælˌjennøs
sadeilma	ˈsɑdeilmɑ
feodalismi	ˈfeodɑˌlismi
radioyhtiö	ˈrɑdioˌyhtiø
tavuttaa	ˈtɑvuttɑɑ
sielunmaisema	ˈsielunˌmɑisemɑ
kajava	ˈkɑjɑvɑ
kraatterijärvi	ˈkrɑɑtteriˌjærvi
