atiduodančiosioms	ɐtʲɪduɔdɐnʲtʲʃʲosʲoms
haliucinavus	hɐlʲʊtʲsʲɪnaːʋʊs
ejakuliuosiąs	ɛjɛkʊlʲuosʲæːs
žvaigždiškiausiosiose	ʒʋɐjɡʲʒʲdʲɪʃʲkʲæːʊsʲosʲosʲɛ
rumuniškuosiuose	rʊmʊnʲɪʃkʊosʲʊosʲɛ
upių	ʊpʲuː
jonvabaliams	joːnʋɐbɐlʲɛms
įkeliaujantieji	iːkʲɛlʲæʊjɛnʲtʲjɛjɪ
korėjietišku	korʲeːjɛːtʲɪʃkʊ
vaizdingesniais	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲɛjs
siuvančiuosius	sʲʊʋɐnʲtʲʃʲʊosʲʊs
prietaras	pʲrʲɪ̂ət̪ä̌ːrɐs̪
tvarkingiausiajai	tʋɐɾʲkʲɪnʲɡæːʊsʲɛjɛj
žmogiškesniuose	ʒmoɡʲɪʃʲkʲɛsʲnʲʊosʲɛ
švelnesnių	ʃʲʋʲɛlnʲɛsʲnʲuː
pusseserėse	pʊsʲɛsʲɛrʲeːsʲɛ
gražumus	ɡɾɐʒʊmʊs
serbiškos	sʲɛrʲbʲɪʃkos
bėgę	bʲeːɡʲæː
žiūrinčioji	ʒʲuːrʲɪnʲtʲʃʲojɪ
nebeprisikiškiakopūsteliaujančiąja	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲæːjɛ
rusiškojoje	rʊsʲɪʃkojojɛ
kaklas	kä̌ːklɐs̪
mylintiems	mʲiːlʲɪnʲtʲjɛms
atiduosiančiai	ɐtʲɪduɔsʲɛnʲtʲʃʲɛj
medvarlei	mʲæːdʋɐɾʲlʲɛj
žemaitiškuosiuose	ʒʲɛmɐjtʲɪʃkʊosʲʊosʲɛ
šokąs	ʃoːkaːs
pornografiškiausiosioms	pornoɡrɐfʲɪʃʲkʲæːʊsʲosʲoms
kompiuterį	komʲpʲʊtʲɛrʲiː
senesniąsias	sʲɛnʲɛsʲnʲæːsʲɛs
bėgdavusiame	bʲeːɡdɐʋʊsʲɛmʲɛ
bedieviškumuose	bʲɛdʲjɛʋʲɪʃkʊmʊosʲɛ
senesnių	sʲɛnʲɛsʲnʲuː
pornografiškesniajai	pornoɡrɐfʲɪʃʲkʲɛsʲnʲɛjɛj
bedieviškuosiuose	bʲɛdʲjɛʋʲɪʃkʊosʲʊosʲɛ
graikiškosioms	ɡrɐjkʲɪʃkosʲoms
medžiui	mæːdʒʊɪ
iškalbesnėse	ɪʃkɐlbʲɛsʲnʲeːsʲɛ
išsiveržimų	ɪʃʲsʲɪʋʲɛrʲʒʲɪmuː
įduosiančiomis	iːduɔsʲɛnʲtʲʃʲomʲɪs
ejakuliuosite	ɛjɛkʊlʲuosʲɪtʲɛ
bėgsiančiuosius	bʲeːɡʲsʲɛnʲtʲʃʲʊosʲʊs
ypatingiausiu	iːpɐtʲɪnʲɡʲæːʊsʲʊ
kalbėsiančiosiomis	kɐlbʲeːsʲɛnʲtʲʃʲosʲomʲɪs
dogus	doɡʊs
maltietiškiems	mɐlʲtʲjɛtʲɪʃʲkʲjɛms
pasaulyje	pɐsaʊlʲiːjɛ
stebinčiųjų	sʲtʲæːbʲɪnʲtʲʃʲuːjuː
rita	rʲɪt̪ɐ
abchazo	ɐpxaːzoː
haliucinuojantiesiems	hɐlʲʊtʲsʲɪnuojɛnʲtʲjɛsʲjɛms
atstovas	ɐt̪s̪t̪ǒːvɐs̪
tvarkingesnįjį	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲiːjiː
profesijos	profʲɛsʲɪjos
pornografiškiausią	pornoɡrɐfʲɪʃʲkʲæːʊsʲæː
slovakiškojoje	sloʋaːkʲɪʃkojojɛ
kalbančiąja	kɐlbɐnʲtʲʃʲæjɛ
žvaigždiškesniuose	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲʊosʲɛ
sušlampančiam	sʊʃlɐmpɐnʲtʲʃʲɛm
bėgusiuoju	bʲeːɡʊsʲʊojʊ
rumuniška	rʊmʊnʲɪʃkɐ
žiūrintieji	ʒʲuːrʲɪnʲtʲjɛjɪ
mįslingesnė	mʲiːsʲlʲɪnʲɡʲɛsʲnʲeː
išdavėjai	ɪʃdɐʋʲeːjɛj
rito	rʲɪt̪oː
greitieji	ɡɾɛjtʲjɛjɪ
įduodančiosiose	iːduɔdɐnʲtʲʃʲosʲosʲɛ
bloguoju	bloɡuɔjʊ
liūtuko	lʲuːtʊko
sabale	saːbalʲɛ
paslaptingajam	pɐslɐptʲɪnɡɐjɛm
duodavęs	duɔdɐʋʲæːs
įduodąs	iːduɔdaːs
iškeliaujančiosiose	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲosʲosʲɛ
balsų	bɐlsuː
aklosios	ɐkloːsʲos
gyvūnai	ɡʲiːʋuːnɐj
duodančius	duɔdɐnʲtʲʃʲʊs
galinčiuosiuose	ɡaːlʲɪnʲtʲʃʲʊosʲʊosʲɛ
panaudotojau	pɐnɐʊdoːtojɛʊ
aukštaitiškaisiais	ɐʊkʃtɐjtʲɪʃkɐjsʲɛjs
įspūdingesniojo	iːspuːdʲɪnʲɡʲɛsʲnʲojo
graikiškajame	ɡrɐjkʲɪʃkɐjɛmʲɛ
sakančios	saːkɐnʲtʲʃʲos
netvarkingumas	nʲɛtʋɐrʲkʲɪnɡʊmɐs
išbučiavai	ɪʃbʊtʲʃʲɛʋɐj
giliausiąjį	ɡʲɪlʲæːʊsʲæːjiː
haliucinuojančiaisiais	hɐlʲʊtʲsʲɪnuojɛnʲtʲʃʲɛjsʲɛjs
greitos	ɡɾɛjtos
būdavusiaisiais	buːdɐʋʊsʲɛjsʲɛjs
buldogai	bʊldoɡɐj
įspūdingiausiąją	iːspuːdʲɪnʲɡʲæːʊsʲæːjæː
daniški	daːnʲɪʃʲkʲɪ
žvaigždiškesniajai	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲɛjɛj
broli	bɾoːlʲɪ
albaniškieji	ɐlbaːnʲɪʃʲkʲjɛjɪ
gilesniąją	ɡʲɪlʲɛsʲnʲæːjæː
įseserėse	iːsʲɛsʲɛrʲeːsʲɛ
abejingose	ɐbʲɛjɪnɡosʲɛ
kankina	kɐŋʲkʲɪn̪ɐ
švediška	ʃʲʋʲɛdʲɪʃkɐ
nuodingosios	nuɔdʲɪnɡosʲos
seniesiems	sʲɛnʲjɛsʲjems
sakančiosios	saːkɐnʲtʲʃʲosʲos
klaidingiausioms	klɐjdʲɪnʲɡʲæːʊsʲoms
daniškąją	daːnʲɪʃkaːjæː
upę	ʊpʲæː
prakeliaujančiąją	prɐkʲɛlʲæʊjɛnʲtʲʃʲæːjæː
sapnuodavusiesiems	sɐpnuɔdɐʋʊsʲjɛsʲjɛms
atiduodančiame	ɐtʲɪduɔdɐnʲtʲʃʲɛmʲɛ
žvaigždišku	ʒʋɐjɡʲʒʲdʲɪʃkʊ
planeta	plɐnetɐ
varlę	ʋaːɾʲlʲæ
korėjietiškasis	korʲeːjɛːtʲɪʃkɐsʲɪs
turėsią	tʊrʲeːsʲæː
piemuo	pʲɪəmuə
bėgantieji	bʲeːɡɐnʲtʲjɛjɪ
senajai	sʲæːnɐjɛj
mįslingesnioji	mʲiːsʲlʲɪnʲɡʲɛsʲnʲoːjɪ
įspūdingiausioje	iːspuːdʲɪnʲɡʲæːʊsʲojɛ
lazdose	lɐzdosʲɛ
valgančiose	ʋaːlɡɐnʲtʲʃʲosʲɛ
baltesniąją	bɐlʲtʲɛsʲnʲæːjæː
knyga	kʲn̪ʲiːɡɐ
būdavusiose	buːdɐʋʊsʲosʲɛ
kate	kɐtʲɛ
pornografiškas	pornoɡraːfʲɪʃkɐs
netvarkingi	nʲɛtʋɐɾʲkʲɪnʲɡʲɪ
čiulpti	tʲʃʲʊlʲpʲtʲɪ
norvegiškosios	norʋʲɛɡʲɪʃkosʲos
sėklai	sʲeːklɐj
atiduosiančioje	ɐtʲɪduɔsʲɛnʲtʲʃʲojɛ
turėjusį	tʊrʲeːjʊsʲiː
žvaigždes	ʒʋɐjɡʲʒʲdʲɛs
išdaigiosios	ɪʃdɐjɡʲoːsʲos
atidavusių	ɐtʲɪdaːʋʊsʲuː
estiškajai	ɛsʲtʲɪʃkɐjɛj
pornografija	poɾnoɡɾaːfʲɪjɛ
saugiausiomis	sɐʊɡʲæːʊsʲomʲɪs
žmoniškiausiuose	ʒmonʲɪʃʲkʲæːʊsʲʊosʲɛ
ypatingiausiuosiuose	iːpɐtʲɪnʲɡʲæːʊsʲʊosʲʊosʲɛ
anytą	ɐnʲiːtaː
žiūrėjo	ʒʲuɾʲeːjɔ
vore	ʋorɛ
albaniškosiomis	ɐlbaːnʲɪʃkosʲomʲɪs
saugiam	sɐʊɡʲæːm
tvarkingiausiajam	tʋɐɾʲkʲɪnʲɡæːʊsʲɛjɛm
galinčiąsias	ɡaːlʲɪnʲtʲʃʲæːsʲɛs
sėdinčiuose	sʲeːdʲɪnʲtʲʃʲʊosʲɛ
lazda	lɐzdɐ
ugningiausiuosiuose	ʊɡʲnʲɪnʲɡʲæːʊsʲʊosʲʊosʲɛ
siuvančios	sʲʊʋɐnʲtʲʃʲos
lenkiškoji	lʲæːnʲkʲɪʃkojɪ
žemaitiškosiose	ʒʲɛmɐjtʲɪʃkosʲosʲɛ
buvau	bʊʋɐu
upės	ʊpʲeːs
upėtakiais	ʊpʲeːtɐkʲɛjs
kalbėsiančiosioms	kɐlbʲeːsʲɛnʲtʲʃʲosʲoms
tvarkingesniame	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲɛmʲɛ
įspūdinga	iːspuːdʲɪnɡɐ
išbučiuodavau	ɪʃbʊtʲʃʲuodɐʋɐʊ
raudonas	rɐʊdoːnɐs
mažiausią	mɐʒʲæːʊsʲæː
krūtine	kɾuːtʲɪnʲɛ
saugiausiu	sɐʊɡʲæːʊsʲʊ
mylinčioji	mʲiːlʲɪnʲtʲʃʲojɪ
paslaptingas	pɐslɐptʲɪnɡɐs
erotiškam	ɛɾotʲɪʃkɐm
dešra	d̪ʲɛʃrɐ
klaidingi	klɐjdʲɪnʲɡʲɪ
vaizdingume	ʋɐjzʲdʲɪnɡʊmʲɛ
aukštaičių	ɐʊkʃtɐjtʲʃʲuː
įduodančioje	iːduɔdɐnʲtʲʃʲojɛ
paupiniais	pɐʊpʲɪnʲɛjs
blogiesiems	bloɡʲjɛsʲjems
itališkam	ɪtaːlʲɪʃkɐm
būdinys	budʲɪnʲiːs
žmogiškiausiuosiuose	ʒmoɡʲɪʃʲkʲæːʊsʲʊosʲʊosʲɛ
esančioms	ɛsɐnʲtʲʃʲoms
žvaigždėlapius	ʒʋɐjɡʲʒʲdʲeːlɐpʲʊs
turėdavusioje	tʊrʲeːdɐʋʊsʲojɛ
dainuojančiuosiuose	dɐjnuɔjɛnʲtʲʃʲʊosʲʊosʲɛ
katei	kaːtʲɛj
greitasis	ɡɾɛjtɐsʲɪs
pusbrolių	pʊsbrolʲuː
knygą	kʲnʲiːɡa
balčiausioji	bɐlʲtʲʃʲæːʊsʲojɪ
pjaustytumėme	pʲjæusʲtʲitʊmʲemʲɛ
portugališkose	portʊɡaːlʲɪʃkosʲɛ
pietūs	pʲɪɛt̪uːs̪
vengriškosiose	ʋʲɛnʲɡʲrʲɪʃkosʲosʲɛ
lietuviškoji	lʲjɛtʊʋʲɪʃkojɪ
ypatingiausių	iːpɐtʲɪnʲɡʲæːʊsʲuː
rezultatu	ɾʲɛzʊltɐtʊ
gilioms	ɡʲɪlʲoːms
būdavusiuosiuose	buːdɐʋʊsʲʊosʲʊosʲɛ
gražiausioje	ɡɾɐʒʲæːʊsʲojɛ
turėjusiajame	tʊrʲeːjʊsʲɛjɛmʲɛ
įspūdingiausioji	iːspuːdʲɪnʲɡʲæːʊsʲojɪ
žvaigždūne	ʒʋɐjɡʒduːnʲɛ
išduosiantiesiems	ɪʃduɔsʲɛnʲtʲjɛsʲjɛms
buldoguose	bʊldoɡʊosʲɛ
haliucinuotas	hɐlʲʊtʲsʲɪnuotɐs
upiniame	ʊpʲɪnʲɛmʲɛ
apipjaustydavote	ɐpʲɪpʲjæusʲtʲidɐʋotʲɛ
atiduosiantieji	ɐtʲɪduɔsʲɛnʲtʲjɛjɪ
lazdoje	lɐzdojɛ
žmogiškais	ʒmoːɡʲɪʃkɐjs
angliškas	ɐŋʲɡʲlʲɪʃkɐs
albaniškoji	ɐlbaːnʲɪʃkojɪ
duodavusiu	duɔdɐʋʊsʲʊ
atiduosią	ɐtʲɪduɔsʲæː
netvarkingomis	nʲɛtʋɐɾʲkʲɪnɡomʲɪs
įspūdingosios	iːspuːdʲɪnɡosʲos
mažuoju	mɐʒuɔjʊ
bedieviškuosius	bʲɛdʲjɛʋʲɪʃkʊosʲʊs
tvarkingesnes	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲɛs
įkeliaujančiuoju	iːkʲɛlʲæʊjɛnʲtʲʃʲʊojʊ
būsiantįjį	busʲɛnʲtʲiːjiː
mįslingiausiąją	mʲiːsʲlʲɪnʲɡʲæːʊsʲæːjæː
dainuojančiosiomis	dɐjnuɔjɛnʲtʲʃʲosʲomʲɪs
haliucinuodavusysis	hɐlʲʊtʲsʲɪnuodɐʋʊsʲiːsʲɪs
tatuiravusiuosiuose	tɐtʊɪraːʋʊsʲʊosʲʊosʲɛ
kalbėsiantiems	kɐlbʲeːsʲɛnʲtʲjɛms
moteriškiausio	motʲɛɾʲɪʃkʲæːʊsʲo
lenkiškam	lʲæːnʲkʲɪʃkɐm
haliucinavusiajai	hɐlʲʊtʲsʲɪnaːʋʊsʲɛjɛj
turinčiomis	tʊrʲɪnʲtʲʃʲomʲɪs
jaunuolis	jɐunʊɔlʲɪs
stebinčiąją	sʲtʲæːbʲɪnʲtʲʃʲæːjæː
vaizdingu	ʋɐjzʲdʲɪnɡʊ
estiją	ɛsʲtʲɪjæː
išdaigiose	ɪʃdɐjɡʲosʲɛ
getu	ɡʲɛtʊ
išdavėjams	ɪʃdɐʋʲeːjɛms
nekrologo	nʲɛkroloɡo
haliucinuosimas	hɐlʲʊtʲsʲɪnuosʲɪmɐs
paslaptingajame	pɐslɐptʲɪnɡɐjɛmʲɛ
šokantiems	ʃoːkɐnʲtʲjɛms
giliajai	ɡʲɪlʲɛjɛj
mažesniosioms	mɐʒʲɛsʲnʲoːsʲoms
turinčiuosiuose	tʊrʲɪnʲtʲʃʲʊosʲʊosʲɛ
vaizdingame	ʋɐjzʲdʲɪnɡɐmʲɛ
šypsenų	ʃʲiːpʲsʲɛnu
geografija	ɡʲɛoɡɾaːfɪjɐ
iškalbiųjų	ɪʃkɐlbʲuːjuː
pornografiškesniosios	pornoɡrɐfʲɪʃʲkʲɛsʲnʲoːsʲos
vietininko	ʋʲjɛtʲɪnʲɪnko
žvaigždiškiausios	ʒʋɐjɡʲʒʲdʲɪʃʲkʲæːʊsʲos
vokiškąja	ʋoːkʲɪʃkaːjɛ
švelnųjį	ʃʲʋʲɛlnuːjiː
akluose	ɐklʊosʲɛ
tatuiruosią	tɐtʊɪruɔsʲæː
medžio	mæːdʒo
mylėjusysis	mʲiːlʲeːjʊsʲiːsʲɪs
kiniškos	kʲɪnʲɪʃkos
čekiškuosius	tʲʃʲɛkʲɪʃkʊosʲʊs
turįs	tʊrʲiːs
esančiosiose	ɛsɐnʲtʲʃʲosʲosʲɛ
giliausiajame	ɡʲɪlʲæːʊsʲɛjɛmʲɛ
ištatuiruočiau	ɪʃtɐtʊɪɾuotʲʃʲɛʊ
paslaptingiausio	pɐslɐptʲɪnʲɡʲæːʊsʲo
įduosiančiam	iːduɔsʲɛnʲtʲʃʲɛm
bėgusias	bʲeːɡʊsʲɛs
gili	ɡʲɪlʲɪ
vaistus	ʋaːjstʊs
angliškaisiais	aːnʲɡʲlʲɪʃkɐjsʲɛjs
kūnuose	kuːnʊosʲɛ
erotiškojo	ɛɾotʲɪʃkojo
būdavusiosiomis	buːdɐʋʊsʲosʲomʲɪs
dieviškesniąja	dʲjɛʋʲɪʃʲkʲɛsʲnʲæːjɛ
upiniai	ʊpʲɪnʲɛj
abejingame	ɐbʲɛjɪnɡɐmʲɛ
dėmėse	dʲeːmʲeːsʲɛ
mylinčiai	mʲiːlʲɪnʲtʲʃʲɛj
išbučiuodavai	ɪʃbʊtʲʃʲuodɐʋɐj
dangoraižis	d̪ɐŋɡôːrɐɪ̯ˑʒʲɪs̪
armėniškosiose	ɐrʲmʲeːnʲɪʃkosʲosʲɛ
matančiais	maːtɐnʲtʲʃʲɛjs
klaidingiausiąsias	klɐjdʲɪnʲɡʲæːʊsʲæːsʲɛs
izotopus	ɪzotopʊs
nuodingiausiojo	nuɔdʲɪnʲɡʲæːʊsʲojo
pilkas	pʲɪlkɐs
netvarkinguoju	nʲɛtʋɐɾʲkʲɪnɡʊojʊ
pasaulis	pɐsaʊlʲɪs
įspūdingesniosiomis	iːspuːdʲɪnʲɡʲɛsʲnʲoːsʲomʲɪs
galinčiajam	ɡaːlʲɪnʲtʲʃʲɛjɛm
sėdinčiosioms	sʲeːdʲɪnʲtʲʃʲosʲoms
rusiškajai	rʊsʲɪʃkɐjɛj
blogiausioje	bloɡʲæːʊsʲojɛ
ištatuiruojančių	ɪʃtɐtʊɪɾuɔjɛnʲtʲʃʲuː
orgiškesniąsias	orʲɡʲɪʃʲkʲɛsʲnʲæːsʲɛs
senosiomis	sʲɛnoːsʲomʲɪs
žiemas	ʒʲiɛmɐs
bedieviškiausiasis	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲɛsʲɪs
matančiame	maːtɐnʲtʲʃʲɛmʲɛ
ugningojo	ʊɡʲnʲɪnɡojo
blogesnių	bloɡʲɛsʲnʲuː
aklos	ɐkloːs
greitu	ɡɾɛjtʊ
švediškosiomis	ʃʲʋʲɛdʲɪʃkosʲomʲɪs
paslaptingiausiosioms	pɐslɐptʲɪnʲɡʲæːʊsʲosʲoms
arabiškų	ɐraːbʲɪʃkuː
haliucinavusiems	hɐlʲʊtʲsʲɪnaːʋʊsʲjɛms
erotinių	ɛɾotʲɪnʲuː
tvarkingiausiosiose	tʋɐɾʲkʲɪnʲɡæːʊsʲosʲosʲɛ
haliucinuojančiuoju	hɐlʲʊtʲsʲɪnuojɛnʲtʲʃʲʊojʊ
klaidingesniems	klɐjdʲɪnʲɡʲɛsʲnʲjɛms
bedieviškiausiu	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲʊ
kalbėsiąs	kɐlbʲeːsʲæs
slovakiškas	sloʋaːkʲɪʃkɐs
smulkmeniškajame	smʊlʲkʲmʲɛnʲɪʃkɐjɛmʲɛ
itališkieji	ɪtaːlʲɪʃʲkʲjɛjɪ
armėniškajai	ɐrʲmʲeːnʲɪʃkɐjɛj
ausis	ɐʊsʲɪs
nebeprisikiškiakopūsteliausiančiosioms	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊsʲɛnʲtʲʃʲosʲoms
duodantieji	duɔdɐnʲtʲɛjɪ
netvarkingumus	nʲɛtʋɐrʲkʲɪnɡʊmʊs
ejakuliuojančioji	ɛjɛkʊlʲuojɛnʲtʲʃʲojɪ
mįslingiausioms	mʲiːsʲlʲɪnʲɡʲæːʊsʲoms
įkeliaujančios	iːkʲɛlʲæʊjɛnʲtʲʃʲos
įspūdingiausiąja	iːspuːdʲɪnʲɡʲæːʊsʲæːjɛ
švelniausiojoje	ʃʲʋʲɛlnʲæːʊsʲojojɛ
smulkmeniškame	smʊlʲkʲmʲɛnʲɪʃkɐmʲɛ
pornografiškiausiąją	pornoɡrɐfʲɪʃʲkʲæːʊsʲæːjæː
žmogiškoms	ʒmoːɡʲɪʃkoms
įsiklausyti	iːsʲɪklɐusʲiːtʲɪ
meniškiausią	mʲɛnʲɪʃʲkʲæːʊsʲæː
penki	pʲɛŋʲkʲɪ
saugiausiojo	sɐʊɡʲæːʊsʲojo
tarne	tɐrnʲɛ
davusį	daːʋʊsʲiː
įbroliu	iːbrolʲʊ
įspūdingumas	iːspuːdʲɪnɡʊmɐs
sakančioje	saːkɐnʲtʲʃʲojɛ
paupinėje	pɐʊpʲɪnʲeːjɛ
tarpvietėse	tɐɾʲpʲʋʲiɛtʲesʲɛ
įspūdinguose	iːspuːdʲɪnɡʊosʲɛ
meniškose	mʲæːnʲɪʃkosʲɛ
pornografiškiausias	pornoɡrɐfʲɪʃʲkʲæːʊsʲɛs
klaidingesniuoju	klɐjdʲɪnʲɡʲɛsʲnʲuɔjʊ
pingvinams	pʲɪnʲɡʲʋʲɪnɐms
blogosiose	bloɡoːsʲosʲɛ
vaizdingiausioje	ʋɐjzʲdʲɪnʲɡʲæːʊsʲojɛ
atiduodančiuosiuose	ɐtʲɪduɔdɐnʲtʲʃʲʊosʲʊosʲɛ
įduodančiomis	iːduɔdɐnʲtʲʃʲomʲɪs
graikišku	ɡrɐjkʲɪʃkʊ
įdomesniems	iːdomʲɛsʲnʲjɛms
bedieviškiausieji	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲjɛjɪ
ejakuliuodavusiame	ɛjɛkʊlʲuodɐʋʊsʲɛmʲɛ
išduotas	ɪʃduɔtɐs
nukeliaujančiąja	nʊkʲɛlʲæʊjɛnʲtʲʃʲæːjɛ
bedieviškiausiajam	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲɛjɛm
kiniškuosiuose	kʲɪnʲɪʃkʊosʲʊosʲɛ
nuodingesniosiomis	nuɔdʲɪnʲɡʲɛsʲnʲoːsʲomʲɪs
giliausių	ɡʲɪlʲæːʊsʲuː
ąžuole	aːʒʊɔlʲɛ
žvaigždiniai	ʒʋɐjɡʲʒʲdʲɪnʲɛj
tatuiruojantysis	tɐtʊɪruɔjɛnʲtʲiːsʲɪs
čekiškojoje	tʲʃʲɛkʲɪʃkojojɛ
ejakuliuosiančiojoje	ɛjɛkʊlʲuosʲɛnʲtʲʃʲojojɛ
suomiškajam	suɔmʲɪʃkɐjɛm
dieviškiausiuosius	dʲjɛʋʲɪʃʲkʲæːʊsʲʊosʲʊs
abate	ɐbaːtʲɛ
medžiojančia	mʲɛdʲʒʲoːjɛnʲtʲʃʲɛ
aklosios	aːklosʲos
išbučiuosiančiajame	ɪʃbʊtʲʃʲuɔsʲɛnʲtʲʃʲɛjɛmʲɛ
balčiausiuose	bɐlʲtʲʃʲæːʊsʲʊosʲɛ
pasauliais	pɐsaʊlʲɛjs
nuodinguosiuose	nuɔdʲɪnɡʊosʲʊosʲɛ
lietuviškos	lʲjɛtʊʋʲɪʃkos
sapnavusiajai	sɐpnaːʋʊsʲɛjɛj
lietuviškame	lʲjɛtʊʋʲɪʃkɐmʲɛ
medžiojančių	mʲɛdʲʒʲoːjɛnʲtʲʃʲuː
tarimais	tɐɾʲɪmɐjs
sapnuodavusį	sɐpnuɔdɐʋʊsʲiː
sutarime	sʊtɐɾʲɪmʲɛ
šiknakaulis	ʃʲɪknaːkɐʊlʲɪs
nebeprisikiškiakopūsteliausiančiąją	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊsʲɛnʲtʲʃʲæːjæː
švelniausių	ʃʲʋʲɛlnʲæːʊsʲuː
nebeprisikiškiakopūsteliavusieji	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲjɛjɪ
