heilum	heiːlʏm
réttindabaráttu	rjɛhtɪntapaːrauhtʏ
parhús	pʰaːrhus
tólum	tʰouːlʏm
vinnum	vɪnʏm
gólf	koulv
appelsínum	ahpɛlsinʏm
sundhöll	sʏnthœtl̥
skipaskrá	scɪːpaskraːu
tímabókun	tʰiːmapouːkʏn
gautason	kœitasɔːn
útkomuna	uːtkʰɔmʏna
elínborgu	ɛːlinpɔrkʏ
mæltist	mail̥tɪst
varmaflutningstala	varmaflʏhtniŋstʰaːla
suðurlandsskóga	sʏːðʏrlantskouːa
grettisgötuna	krɛhtɪskœːtʏna
áhugaverðum	auːhʏɣavɛrðʏm
rúmsins	rumsɪns
ofursti	ɔːvʏr̥stɪ
óttafullir	ouhtafʏtlɪr
þrúður	θruːðʏr
tyggigúmmíinu	tʰɪcɪkumijɪnʏ
grunnskólaaldri	krʏnskoulaaltrɪ
flykkjast	flɪhcast
sári	sauːrɪ
byggingarfulltrúa	pɪciŋkarfʏtl̥trua
einingin	ɛːjniɲcɪn
þangið	θauɲcɪð
ármúlaskóla	aurmulaskouːla
óskuðum	ouskʏðʏm
flottan	flɔhtan
efasemdum	ɛːvasɛmtʏm
einhverskonar	eiŋ̊kvɛr̥skʰɔːnar
útgerðinni	uːtcɛrðɪnɪ
foringjavagninum	fɔːriɲcavaknɪnʏm
kristjónsson	kʰrɪstjounsɔːn
yfirheyrsluna	ɪːvɪrheir̥stlʏna
neyðarvakt	neiːðarvaxt
atbeina	aːtpeina
dansleik	tanstleik
haffletinum	haflɛtɪnʏm
ginið	cɪːnɪð
kvæntist	kʰvain̥tɪst
hiks	hɪːks
eyþórsdóttir	eiːθour̥stouhtɪr
nasco	nasou
sveinbjörnsson	sveimpjœr̥sɔːn
þrútnir	θruhtnɪr
verulegan	vɛːrʏlɛɣan
næmi	naiːmɪ
slitnum	stlɪhtnʏm
náminu	nauːmɪnʏ
skilgreiningar	scɪlkreiniŋkar
eiríksson	eiːriksɔːn
andartaks	antartʰaks
eldsneytistegunda	ɛltʰstnɛjtɪstɛːɣʏnta
hættulegan	haihtʏlɛɣan
veltur	vɛl̥tʏr
reiðingsgras	rɛːjðiŋkskraːs
nútímalist	nuːtimalɪst
ólympíumeistari	ouːlɪmpijʏmeistarɪ
jarðhæðina	jarðhaiðɪna
kveið	kʰveiːð
illsku	ilskʏ
giftingarhring	cɪftiŋkar̥iŋk
landamærin	lantamaiːrɪn
skýrara	sciːrara
iðkun	ɪθkʏn
rólegir	rouːleijɪr
framvindu	framvɪntʏ
ríkidæmi	riːcɪtaiːmɪ
roð	rɔːð
myntbandalaginu	mɪn̥tpantalaijɪnʏ
konsertinn	kʰɔnsɛr̥tɪn
valdhafar	valthavar
smekkur	smɛhkʏr
líknarferð	lihknarfɛrð
handriðið	hantrɪðɪð
eddamiðlun	ɛtamɪðlʏn
virki	vɪr̥cɪ
hundsa	hʏnsa
montreal	mɔn̥trɛaːl
étur	jɛːtʏr
garpur	kar̥pʏr
hugleikin	hʏɣleicɪn
bæjarbúum	paiːjarpuːʏm
baðst	paðst
áskrift	auːskrɪft
grafíkmöppum	kraːfikmœhpʏm
sjónarhorni	sjouːnarhɔtnɪ
viðmiðunarmörkum	vɪðmɪðʏnarmœr̥kʏm
nóatún	nouːatuːn
spilakvöld	spɪːlakvœlt
örfáa	œr̥fauːa
hliðstæðar	l̥ɪðstajðar
ísmeygilega	iːsmeijɪlɛɣa
nafngift	napn̥cɪft
úthafið	uːthavɪð
úrkomulítið	ur̥kʰɔmʏliːtɪð
aðgangsharðir	aðkauŋsharðɪr
rúghveiti	ruxkʰvɛjtɪ
malbikið	malpɪkɪð
auglýstur	œiɣlistʏr
elsti	ɛlstɪ
kristmundsson	kʰrɪstmʏntsɔːn
sundlaugunum	sʏntlœjɣɔnʏm
ákveðum	auːkʰvɛðʏm
kynnisferðir	cʰɪnɪsfɛrðɪr
vímuefnavandann	viːmʏɛpnavantan
dagmóður	taɣmouːðʏr
dómkirkjunnar	toumcɪr̥cʏnar
sigurvegarar	sɪːɣʏrvɛːɣarar
munum	mʏːnʏm
börmuðu	pœrmʏðʏ
hæsti	haistɪ
virkjuð	vɪr̥cʏð
rauðleit	rœiðleit
kattartungur	kʰahtar̥tʰuŋkʏr
djákna	tjauhkna
vonina	vɔːnɪna
genamengi	cɛːnameiɲcɪ
ósegjanlega	ouːseijanlɛɣa
þið	θɪːð
veitingastaðinn	veiːtiŋkastaːðɪn
benidorm	pɛːnɪtɔrm
ballið	palɪð
stolti	stɔl̥tɪ
fiskunum	fɪskɔnʏm
verndara	vɛntara
vinsamlegu	vɪnsamlɛɣʏ
hugmynda	hʏɣmɪnta
sunds	sʏnts
glaðlegur	klaðlɛɣʏr
sæju	saijʏ
losna	lɔstna
sandur	santʏr
efnahagslífi	ɛpnahaxstliːvɪ
sakaruppgjöf	saːkarʏhpkjœv
helenu	hɛːlɛnʏ
sósa	souːsa
hestöfl	hɛstœpl̥
syntu	sɪn̥tʏ
ristu	rɪstʏ
algengustu	alceiŋkʏstʏ
persónuleikans	pʰɛr̥sounʏlɛːjkans
gekk	cɛhk
óveruleg	ouːvɛrʏlɛɣ
forláts	fɔrlauts
slokknar	stlɔhknar
fullljóst	fʏtljoust
óumdeilt	ouːʏmteil̥t
skelinni	scɛːlɪnɪ
flösku	flœskʏ
eldhúsi	ɛlthusɪ
hræðslu	r̥aiðstlʏ
hefurðu	hɛːvʏrʏ
klippa	kʰlɪhpa
handrita	hantrɪta
dett	tɛht
náttúruhamfara	nauhturʏhamfara
kleinur	kʰleiːnʏr
fundarsal	fʏntarsaːl
takmarkaða	tʰaːkmar̥kaða
límið	liːmɪð
aflamark	aplamar̥k
almenningur	almɛniŋkʏr
stefnunnar	stɛpnʏna
hársvörðinn	haur̥svœrðɪn
velferð	vɛlfɛrð
fundargestir	fʏntarcɛstɪr
árvekni	aurvɛhknɪ
flóttaleg	flouhtalɛɣ
tímabundnum	tʰiːmapʏntnʏm
rólegt	rouːlɛxt
fornöld	fɔrtnœlt
samkvæmum	samkʰvaimʏm
söluhagnað	sœːlʏhaknað
verðlaununum	vɛrðlœinɔnʏm
hugsjónamaður	hʏxsjounamaːðʏr
skeiðum	sceiːðʏm
fjölbreyttari	fjœlpreihtarɪ
ellilífeyrisþegar	ɛtlɪliveirɪsθɛːɣar
kirkjutengdum	cʰɪr̥cʏtʰɛjŋtʏm
bóndinn	pountɪn
verslunarinnar	vɛr̥stlʏnarɪnar
föstudagsmorgun	fœstʏtaxsmɔrkʏn
matarkyns	maːtar̥cʰɪns
lafandi	laːvantɪ
skóli	skouːlɪ
fangelsinu	fauɲcɛlsɪnʏ
unglingar	uŋlinkar
menntaskólann	mɛn̥taskouːlan
hljóðlega	l̥jouðlɛɣa
hljóðlátar	l̥jouðlautar
snældubandið	stnajltʏpantɪð
frosna	frɔstna
samkomulaginu	samkʰɔmʏlaijɪnʏ
einræktun	einraixtʏn
sænskri	sainskrɪ
alstaðar	alstaðar
veira	veiːra
drottni	trɔhtnɪ
nokkrar	nɔhkrar
sjálfstæðisflokknum	sjaulstaiðɪsflɔhknʏm
opinberun	ɔːpɪnpɛːrʏn
ofangreindan	ɔːvankrɛjntan
nálinni	nauːlɪnɪ
órólegan	ouːroulɛɣan
tvöföld	tʰvœːfœlt
rifinn	rɪːvɪn
götusmiðjan	kœːtʏsmɪðjan
jafnréttisstofu	japrjɛhtɪstɔːvʏ
bakki	pahcɪ
daglegur	taɣlɛɣʏr
varnarliðið	vartnarlɪːðɪð
hásumar	hauːsʏmar
húsnæðisins	huːstnaiðɪsɪns
persónanna	pʰɛr̥sounana
klifra	kʰlɪvra
andstæðir	antstajðɪr
húsasmiðjunnar	huːsasmɪðjʏnar
drungi	truɲcɪ
pesetar	pʰɛːsɛtar
efnisvali	ɛpnɪsvaːlɪ
getnaðarlim	cɛhtnaðarlɪːm
slátt	stlauht
færði	fairðɪ
evrópumótið	ɛvroupʏmouːtɪð
gústafsson	kustafsɔːn
kliðmjúk	kʰlɪðmjuk
menningarinnar	mɛniŋkarɪnar
djúpavog	tjuːpavɔːɣ
saklausan	saːklœisan
bæi	paiːjɪ
skákþingi	skauːkθiɲcɪ
tennis	tʰɛnɪs
þvotturinn	θvɔhtʏrɪn
kaupandi	kʰœiːpantɪ
uppvís	ʏhpvis
dómsgerðirnar	toumscɛrðɪtnar
vörunni	vœːrʏnɪ
vilja	vɪlja
almannafæri	almanafaiːrɪ
hveragerðiskirkju	kʰvɛːracɛrðɪscɪr̥cʏ
snortinn	stnɔr̥tɪn
logunum	lɔːɣɔnʏm
áfergjulega	auːfɛrcʏlɛːɣa
ræfillinn	raiːvɪtlɪn
stokkinn	stɔhcɪn
velunnarar	vɛːlʏnarar
brostin	prɔstɪn
eyjólfsson	eiːjoulsɔːn
danmörk	tanmœr̥k
yðar	ɪːðar
þegnréttar	θɛknrjɛhtar
þvertók	θvɛrtouk
guðlaugur	kvʏðlœiɣʏr
réttmæti	rjɛhtmaitɪ
lokka	lɔhka
hýr	hiːr
kjötbollur	cʰœːtpɔlʏr
sturla	stʏrtla
fegurðina	fɛːɣʏrðɪna
fæðubótarefna	faiːðʏpoutarɛpna
óþarfi	ouːθarvɪ
verðmætasta	vɛrðmaitasta
skemmti	scɛm̥tɪ
rækjuverksmiðju	raːjcʏvɛr̥ksmɪðjʏ
máttfarin	mauhtfarɪn
feginn	feijɪn
glampaði	klam̥paðɪ
áhlaupið	auːl̥œipɪð
tíst	tʰist
hervör	hɛrvœr
aldursgreina	altʏr̥skrɛjna
starfsanda	starsanta
stafafura	staːvaːfʏːra
ímyndaða	iːmɪntaða
jafnbila	japn̥pɪla
formælti	fɔrmail̥tɪ
tvímenningi	tʰviːmɛniɲcɪ
kraftmikil	kʰraftmɪcɪl
ofsóknum	ɔfsouhknʏm
pakkningarstærð	pʰahkniŋkar̥stajrð
pos	pʰɔːs
holland	hɔlant
veggjanna	vɛcana
bakgrunnum	paːkrʏnʏm
íseygt	iːsɛjxt
hagkvæmt	haɣkvaim̥t
austfirðinga	œistfɪrðiŋka
ofinn	ɔːvɪn
veiddi	veitɪ
tanka	tʰauŋ̊ka
brasilía	praːsɪlija
fólskulega	foulskʏlɛɣa
pokarnir	pʰɔːkatnɪr
motorola	mouːtɔroula
sjötug	sjœːtʏɣ
forráðamanna	fɔrauðamana
yfirferðar	ɪːvɪrfɛrðar
vinnsla	vɪnstla
umsækjendur	ʏmsaicɛntʏr
borðstokknum	pɔrðstɔhknʏm
heppileg	hɛhpɪlɛɣ
teygt	tʰeixt
reiðtygi	rɛjðtijɪ
ummæla	ʏmaila
þjófnað	θjoupnað
kofi	kʰɔːvɪ
fjármunanna	fjaurmʏnana
vísast	viːsast
mammografíutæki	mamɔkraːfijʏtʰaːjcɪ
gleymt	kleim̥t
ríkarður	riːkarðʏr
veislan	veistlan
fæðubótarefni	faiːðʏpoutarɛpnɪ
athyglisverðri	aːtʰɪklɪsvɛrðrɪ
hundruð	hʏntrʏð
vekja	vɛːca
taldar	tʰaltar
íþróttabandalag	iːθrouhtapantalaɣ
spurningunni	spʏrtniŋkʏnɪ
finnlandi	fɪnlantɪ
drepast	trɛːpast
bankana	pauŋ̊kana
tvítugs	tʰviːtʏxs
hrella	r̥ɛtla
bifröst	pɪvrœst
ákafanum	auːkavanʏm
konungsins	kʰɔːnuŋsɪns
krákur	kʰrauːkʏr
starfsgreinum	starvskreinʏm
knattspyrnusambands	kʰnahtspɪrtnʏsampants
jafngaman	japkaːman
sigmar	sɪɣmar
nornirnar	nɔrtnɪtnar
hugrenningum	hʏɣrɛniŋkʏm
kastar	kʰastar
náttfötin	nauhtfœtɪn
þrennir	θrɛnɪr
heimildarbeiðnum	hɛːjmɪltarpɛjðnʏm
mótmæla	moutmaila
lengjast	leiɲcast
svakalegasta	svaːkalɛːɣasta
takmarkaðri	tʰaːkmar̥kaðrɪ
varnarliðsins	vartnarlɪðsɪns
söngkonur	sœiŋkʰɔnʏr
hátíðlegan	hauːtiðlɛɣan
engey	eiŋkei
hælið	haiːlɪð
mjór	mjouːr
þreyttar	θreihtar
heiminum	heiːmɪnʏm
ylfu	ɪlvʏ
bílljós	piljous
margur	markʏr
thorsson	tʰɔr̥sɔn
sveipaðir	sveiːpaðɪr
kæli	cʰaiːlɪ
streitist	strɛːjtɪst
asnalega	astnalɛɣa
biblíu	pɪplijʏ
framfylgni	framfɪlknɪ
vafasöm	vaːvasœːm
davíð	taːvið
skólaársins	skouːlaaur̥sɪns
þrýstingsmun	θristiŋsmʏːn
yfirlýsingin	ɪːvɪrliːsiɲcɪn
fyrirboða	fɪːrɪrpɔːða
hádegismatur	hauːteijɪsmaːtʏr
endilöngu	ɛntɪlœiŋkʏ
þreytunni	θreiːtʏnɪ
fagfólk	faxfoul̥k
ríkisborgurum	riːcɪspɔrkʏrʏm
ákveð	auːkʰvɛð
bjóst	pjoust
aðstoðarmann	aðstɔðarman
byltingar	pɪl̥tiŋkar
raftækniráðsins	raftʰajhknɪrauðsɪns
flutning	flʏhtniŋk
drullu	trʏtlʏ
úteftir	uːtɛftɪr
dreymin	treiːmɪn
sálina	sauːlɪna
sveitamaður	sveiːtamaːðʏr
nýir	niːjɪr
sveinbjarnardóttur	sveimpjatnartouhtʏr
fjármálastjóra	fjaurmaulastjouːra
perúönsku	pʰɛːruœnskʏ
frést	frjɛst
röskum	rœskʏm
sléttaði	stljɛhtaðɪ
ráðstöfunar	rauðstœvʏnar
flæðiskeri	flaiːðɪscɛːrɪ
fundarmönnum	fʏntarmœnʏm
dropinn	trɔːpɪn
róið	rouːɪð
vopnin	vɔhpnɪn
magnúsi	maknusɪ
glataði	klaːtaðɪ
ofbeldisverki	ɔvpɛltɪsvɛr̥cɪ
hegningarlögum	hɛkniŋkarlœːɣʏm
skaðast	skaːðast
vigtarnótu	vɪxtarnouːtʏ
kraflaði	kʰraplaðɪ
banki	pauɲ̊cɪ
endurgjaldslaus	ɛntʏrcaltstlœiːs
kompu	kʰɔm̥pʏ
skipsins	scɪpsɪns
snillingur	stnɪtliŋkʏr
lífsförunautur	lifsfœrʏnœiːtʏr
kveðst	kʰvɛðst
skjólbelta	scoulpɛl̥ta
kyndli	cʰɪntlɪ
innifelur	ɪnɪfɛːlʏr
búskapar	puːskapar
sjónarvotta	sjouːnarvɔhta
áverkar	auːvɛr̥kar
afkvæminu	avkʰvajmɪnʏ
aðalbjörg	aːðalpjœrk
laugardagsmorgna	lœiːɣartaxsmɔrtna
ragnheiðar	rakn̥heiðar
strítt	striht
gallalaus	katlalœiːs
boðnar	pɔðnar
örugglega	œːrʏklɛɣa
niðrivið	nɪðrɪvɪːð
heimisdóttur	hɛːjmɪstouhtʏr
mikilvægra	mɪːcɪlvaiɣra
ríflega	rivlɛɣa
upprúllaðar	ʏhprulaðar
mannkynssöguna	mancɪnsœːɣʏna
amtmannsins	am̥tmansɪns
svava	svaːva
þrisvar	θrɪːsvar
huppa	hʏhpa
morgunverðinn	mɔrkʏnvɛrðɪn
félagins	fjɛːlaɣsɪns
sviðsljósið	svɪðstljousɪð
formannafundi	fɔrmanafʏntɪ
einkennisbúningi	eiŋcɛnɪspuːniɲcɪ
virðing	vɪrðiŋk
sigraðan	sɪɣraðan
aðstæðurnar	aðstaiðʏtnar
lánsöm	launsœm
jöðrunum	jœðrɔnʏm
alvörumál	alvœrʏmauːl
aðstoðina	aðstɔðɪna
lagadeildar	laːɣateiltar
rauðasandi	rœiːðasantɪ
fyrirtækin	fɪːrɪrtʰaiːcɪn
þunglyndi	θuŋklɪntɪ
handa	hanta
bryta	prɪːta
margvísleg	markvistlɛɣ
kolvetni	kʰɔlvɛhtnɪ
baldvin	paltvɪn
goðið	kɔːðɪð
stikkfrí	stɪhkfri
raskaði	raskaðɪ
gefendunum	cɛːvɛntɔnʏm
felumara	fɛːlʏmara
reikningsskil	reihkniŋscɪːl
arnalds	artnalts
synina	sɪːnɪna
heyrnartólin	hɛjrtnartʰouːlɪn
hefði	hɛvðɪ
fellst	fɛlst
aðgengilegt	aðceiɲcɪlɛxt
snertingu	stnɛr̥tiŋkʏ
eigendaskrá	ɛːjɣɛntaskrau
flæmska	flaimska
skynsamur	scɪnsamʏr
rollurnar	rɔtlʏtnar
steindepillinn	steintɛpɪtlɪn
innihaldsefni	ɪnɪhaltsɛpnɪ
viðskiptahindranir	vɪðscɪftahɪntranɪr
vellíðunar	vɛliðʏnar
efnilegum	ɛpnɪlɛɣʏm
vatna	vahtna
uppi	ʏhpɪ
portúgal	pʰɔr̥tukal
bankamanna	pauŋ̊kamana
hagnýtingu	haɣnitiŋkʏ
unninn	ʏnɪn
betri	pɛːtrɪ
neytt	neiht
greinum	kreiːnʏm
ljóslifandi	ljouːstlɪvantɪ
orðnir	ɔrtnɪr
gestamóttökuna	cɛstamouːtœkʏna
skipulagsbreytingar	scɪːpʏlaxspreiːtiŋkar
afgangurinn	avkauŋkʏrɪn
ráðstefnunnar	rauðstɛpnʏnar
þungamiðja	θuŋkamɪðja
lyfjaverslun	lɪvjavɛstlʏn
kyrjaði	cʰɪrjaðɪ
hugvekju	hʏɣvɛcʏ
spariskírteini	spaːrɪscir̥tɛjnɪ
ritninguna	rɪhtniŋkʏna
fyrrakvöld	fɪrakvœlt
bráðamóttöku	prauːðamouːtœkʏ
sameiningartákn	saːmeiniŋkartʰauhkn̥
jarðarinnar	jarðarɪnar
fornmaðurinn	fɔrtnmaðʏrɪn
tékkóslóvakíu	tʰjɛhkoustlouːvacijʏ
laufið	lœiːvɪð
mótspyrna	mouːtspɪrtna
kyrkja	cʰɪrca
náttúruna	nauhturʏna
kalkaðir	kʰal̥kaðɪr
útkall	uːtkatl̥
náttúruspjöll	nauhturʏspjœtl̥
framtalsskil	framtʰalscɪl
toronto	tʰourɔn̥tou
framleiðir	framleiðɪr
íhaldsflokksins	iːhaltsflɔhksɪns
tengdason	tʰeiŋtasɔːn
laugardagsmorgun	lœiːɣartaxsmɔrkʏn
þokaði	θɔːkaðɪ
gildi	cɪltɪ
lítrum	liːtrʏm
skotskónum	skɔːtskounʏm
skyldi	scɪlti
pensli	pʰɛnstlɪ
starfrækt	starvraixt
gáfurnar	kauːvʏtnar
miðöldum	mɪːðœltʏm
erfiðra	ɛrvɪðra
hegranesþing	hɛɣranɛsθiŋk
almenningstindur	almɛniŋstɪntʏr
dómnefndar	toumnɛmtar
skeggja	scɛca
sorgarinnar	sɔrkarɪnar
fasista	faːsɪsta
lengdinni	lɛjŋtɪnɪ
fjölmörgum	fjœlmœrkʏm
mannvirki	manvɪr̥cɪ
viðurlög	vɪːðʏrlœːɣ
prófkjöri	pʰroufcʰœrɪ
stefnuna	stɛpnʏna
fátæktar	fauːtaixtar
lánar	lauːnar
pírðu	pʰirðʏ
strætisvagni	straiːtɪsvaknɪ
rassgatið	raskatɪð
gauja	kœija
ómetanlegt	ouːmɛtanlɛxt
hrifsa	r̥ɪfsa
íhuga	iːhʏɣa
lambið	lampɪð
vitsmunaþáttur	vɪːtsmʏnaθauhtʏr
aids	eits
fataskápnum	faːtaskauhpnʏm
hvaleyrarskóla	kʰvaleirarskouːla
skerpudýpt	scɛr̥pʏtift
suðrænir	sʏðrajnɪr
ívans	iːvans
skáldskaparins	skaultskaparɪns
liðsmönnum	lɪðsmœnʏm
snúa	stnuːa
suðureyjum	sʏːðʏreijʏm
skólaus	skouːlœis
bitnaði	pɪhtnaðɪ
dægurmálaútvarps	taiːɣʏrmaulauːtvar̥ps
gosbrunninn	kɔːsprʏnɪn
aðferðirnar	aðfɛrðɪtnar
greiðslan	kreiðstlan
guðlaugar	kvʏðlœiɣar
strjúktu	strjuxtʏ
landbúnaðardeild	lantpunaðartɛjlt
einungis	eiːnuɲcɪs
systurdóttir	sɪstʏrtouhtɪr
gusum	kʏːsʏm
bakkana	pahkana
stokkunum	stɔhkɔnʏm
bölvun	pœlvʏn
þýfi	θiːvɪ
áin	auːɪn
perú	pʰɛːru
hrifust	r̥ɪːvʏst
stráin	strauːɪn
flyt	flɪːt
slikk	stlɪhk
þjóðleikhús	θjouðleikhuːs
leigubílinn	leiːɣʏpilɪn
hagræði	haɣraiðɪ
sprændi	spraintɪ
hygla	hɪkla
subbulegt	sʏpʏlɛxt
pottinn	pʰɔhtɪn
sorann	sɔːran
kórdrenginn	kʰourtreiɲcɪn
hrannar	r̥anar
hringum	r̥iŋkʏm
mennska	mɛnska
markaðssetningu	mar̥kaðsɛhtniŋkʏ
liðinni	lɪːðɪnɪ
knúinn	kʰnuːɪn
bakkabraut	pahkaprœit
hrappsey	r̥ahpsei
nikkuna	nɪhkʏna
laos	laːɔs
daglegra	taɣlɛɣra
þvinga	θviŋka
skerf	scɛrv
gissurardóttir	cɪsʏratouhtɪr
angan	auŋkan
kannabisefni	kʰanapɪsɛpnɪ
tillöguna	tʰɪl̥ɣʏna
klofnum	kʰlɔpnʏm
hæglát	haiɣlaut
gistingu	cɪstiŋkʏ
testamentisins	tʰɛstamɛn̥tɪsɪns
hinir	hɪːnɪr
ísisar	iːsɪsar
álfaskeiði	aulvasceiðɪ
internetinu	ɪn̥tɛrnɛːtɪnʏ
ýkja	iːca
örvæntingarfullu	œrvain̥tiŋkarfʏtlʏ
fréttaskýringar	frjɛhtasciːriŋkar
skilyrða	scɪːlɪrða
takmörkunar	tʰaːkmœr̥kʏnar
byggingin	pɪciɲcɪn
útréttinga	uːtrjɛhtiŋka
breyttum	preihtʏm
fleginn	fleijɪn
morgunblaðinu	mɔrkʏnplaːðɪnʏ
sofnum	sɔpnʏm
köll	kʰœtl̥
pylsupartýinu	pʰɪlsʏpʰar̥tiɪnʏ
þingmennsku	θiŋkmɛnskʏ
bráðnuðu	prauðnʏðʏ
þáttastjórnandinn	θauhtastjourtnantɪn
dökkan	tœhkan
hliðstæða	l̥ɪðstaiða
samhljóm	saml̥joum
lúinn	luːɪn
einsi	einsɪ
fordómar	fɔrtoumar
hremma	r̥ɛma
mannskap	manskap
loftop	lɔftɔp
fékkst	fjɛxst
lögfræðileg	lœxfraiðɪlɛɣ
sebastían	sɛpastijan
djákninn	tjauhknɪn
silkið	sɪl̥cɪð
hverafold	kʰvɛːrafɔlt
skipholti	scɪːphɔl̥tɪ
helgaropnun	hɛlkarɔhpnʏn
gestrisin	cɛstrɪsɪn
skríninu	skriːnɪnʏ
munaðarleysingjahælið	mʏːnaðarleiːsiɲcahaiːlɪð
barminum	parmɪnʏm
starfskrafta	starvskʰrafta
heimaverkefnin	heiːmavɛr̥kɛpnɪn
framkvæmdastjórinn	framkvaimtastjouːrɪn
sjúklingar	sjuhkliŋkar
þjóðarmorð	θjouːðarmɔrð
sýningin	siːniɲcɪn
skjólið	scouːlð
höggvið	hœkvɪð
jarðhæðinni	jarðhaiðɪnɪ
fjallabaksleið	fjatlapakstleiːð
verkjum	vɛr̥cʏm
orlofsnefnd	ɔrlɔfstnɛmt
stöðvaður	stœðvaðʏr
sjálfstæðismaður	sjaulstaiðɪsmaːðʏr
skálmöld	skaulmœlt
venus	vɛːnʏs
svín	sviːn
kapphlaup	kʰahpl̥œip
símonardóttir	siːmɔnartouhtɪr
slitbreytingar	stlɪːtprɛjtiŋkar
hárgreiðslu	haurkreiðstlʏ
spurninganna	spʏrtniŋkana
puntlíkri	pʰʏn̥tlikrɪ
hálendið	hauːlɛntɪð
landsbyggðar	lantspɪɣðar
grindavíkurvelli	krɪntaviːkʏrvɛtlɪ
regla	rɛkla
orðsending	ɔrðsɛntɪŋk
safnaðarstarf	sapnaðarstarv
elskulegu	ɛlskʏlɛɣʏ
uppvaxtarárum	ʏhpvakstarauːrʏm
gjaldfallinn	caltfatlɪn
varar	vaːrar
óráðshjal	ouːrauðsçaːl
skriffinnsku	skrɪfɪnskʏ
laugar	lœiːɣar
rökkurbyrjun	rœhkʏrpɪrjʏn
jórunnar	jouːrʏnar
þarftu	θar̥tʏ
fjölbreytnin	fjœlpreihtnɪn
ragnarssonar	raknar̥sɔːnar
golfhringir	kɔlvr̥iɲcɪr
gjörgæsludeild	cœrcaistlʏteilt
steinefni	stɛːjnɛpnɪ
aðalástæðan	aːðalaustaiðan
dyrnar	tɪtnar
sigþór	sɪxθour
skjótlega	scouːtlɛɣa
tindana	tʰɪntana
þyrstir	θɪr̥stɪr
marin	maːrɪn
upplýsingatæknisvið	ʏhplisiŋkatʰajhknɪsvɪːð
isholf	iːshoulv
torf	tʰɔrv
foreldrastarfsins	fɔːrɛltrastarsɪns
landsbókasafns	lantspoukasaps
þvingan	θviŋkan
milljónustu	mɪljounʏstʏ
elísabet	ɛːlisapɛt
dagvistun	taɣvɪstʏn
afbrot	avprɔt
óðara	ouːðara
diskótekið	tɪskoutɛːcɪð
skáldsagna	skaultsakna
