σκορδόψωμα	skoɾðopsoma
κατοικημένοσ	katicimenos
κυβερνιέμαι	civeɾɲeme
έπαυσα	epafsa
απαρχαιωμένοι	aparçeomeni
πρωτοανακάλυψα	pɾotoanakalipsa
ιρλανδέζικοσ	iɾlanðezikos
επαμφοτέριζα	epaɱfoteɾiza
ἐφάπτομαι	efaptome
μεταφέρθηκα	metafeɾθika
παρελθούσησ	parelθusis
ξαγναντεύω	ksaɣnandevo
στυμμένουσ	stimenus
σείστηκα	sistika
νιάτων	ɲaton
πολωνέζασ	polonezas
συνόψεων	sinopseon
στέλλα	stela
ηγουμένουσ	iɣumenus
εμπνέουμε	embneume
ουσιαστικοποίησησ	usiastikopiisis
ήγειρα	iʝiɾa
πώσ	pos
ακροδεξιόσ	akɾoðeksʝos
αμφίλογοσ	aɱfiloɣos
οκτώβρηδων	oktovɾiðon
ψαρίλα	psaɾila
γαμοσταυρίδια	ɣamostavɾiðʝa
παγωμένουσ	paɣomenus
λυπημένησ	lipimenis
αναδιάρθρωση	anaðiaɾθɾosi
λυμένε	limene
κοριτσάρεσ	koritsares
φεβρουάριοι	fevɾuaɾii
αναμελιά	anameʎa
δυσκόλεψα	ðiskolepsa
προκαταβάλλω	pɾokatavalo
βρήκεσ	vɾices
αναμαλλιασμένο	anamaʎazmeno
ενάρξεωσ	enaɾkseos
τιμοκαταλόγων	timokataloɣon
θλιβερή	θliveɾi
κρύπτω	kɾipto
πάρκαρε	paɾkaɾe
κλέφτηκα	kleftika
σαπουνίζω	sapunizo
πίστεψα	pistepsa
κατέστησαν	katestisan
έσκαγα	eskaɣa
γνοιάζομαι	ɣɲazome
ανεβάστηκα	anevastika
φωτόλυση	fotolisi
αμβούργο	aɱvurɣo
έλκομαι	elkome
βιοσφαιρών	viosfeɾon
κούκκοσ	kukos
ανατείνω	anatino
κατασκευάζομαι	katascevazo
μακαρονάδα	makaɾonaða
αμφιλεγόμενων	aɱfileɣomenon
ικανοποιημένα	ikanopiimena
ροδάκινο	roðacino
ερχόμενουσ	erxomenus
ἁγιοποιημένοσ	aʝiopiimenos
θυμωμένη	θimomeni
φύλα	fila
αναφέρομαι	anafeɾome
φυλαγμένοσ	filaɣmenos
ἀττικίζον	aticizon
μάιε	maie
ανιχνεύομαι	anixnevome
λύνομε	linome
πίσω	piso
υποκρύπτω	ipokɾipto
κανάκεψα	kanacepsa
αλαμπουρνέζικοσ	alaburnezikos
σύνθλιψε	sinθlipse
παρέβαλα	paɾevala
αλυσοδεμένησ	alisoðemenis
καταστρέφω	katastɾefo
προσκλήθηκα	pɾoskliθika
επαρκέστεροσ	epaɾcesteɾos
γιατρειάσ	ʝatɾias
θεοτόκο	θeotoko
έμμονοσ	emonos
παρελθόντεσ	paɾelθondes
απορροφούμενων	apoɾofumenon
λατρεύτηκα	latɾeftika
επισυνάπτουμε	episinaptume
έβενοσ	evenos
ξελύνω	kselino
κάδρο	kaðɾo
νεποτισμόσ	nepotizmos
ρίχνω	ɾixno
ακριβοπλήρωσα	akrivopliɾosa
σύνοψη	sinopsi
απόπλων	apoplon
ἀρχαΐζω	arxaizo
ευχαριστήθηκα	efxaɾistiθika
βαθμολογημένη	vaθmoloʝimeni
αγέλη	aʝeli
κουτσομπόλεψα	kutsobolepsa
επαρχία	epaɾçia
αγωνιστή	aɣonisti
κλαδεύτηκα	klaðeftika
φωτογραφείο	fotoɣrafia
συμβουλεύω	siɱvulevo
επικαρπία	epikaɾpia
συγγραφέα	siŋɣrafea
στην	stin
πορτοκαλιά	poɾtokaʎa
βδέλυγμα	vðeliɣma
παρεξετράπησαν	paɾeksetɾapisan
περσέασ	perseas
καταβάλετε	katavalete
εμπνευσμένοι	embnevzmeni
αναπόδεικτοσ	anapoðiktos
διοργανώθηκα	ðioɾɣanoθika
εξωμήτριοσ	eksomitɾios
πιπεριά	piperʝa
αναπαρασταίνω	anaparasteno
μεταφέρομαι	metafeɾome
προάλειψα	pɾoalipsa
αναμελιάσ	anameʎas
εγγράφω	eŋɣɾafo
άγιασα	aʝasa
λύνατε	linate
κατεστημένοσ	katestimenos
κοριτσάρα	koritsara
αλληλοσυγκρούομαι	alilosiŋɡruome
ξεμπέρδεψα	ksebeɾðepsa
μηνύω	minio
απαρχαιωμένε	aparçeomene
λύσου	lisu
λύομαι	liome
μάρτυροσ	maɾtiɾos
κακό	kako
πίτασ	pitas
κάγκελο	kaŋɡelo
αιματοβαμμένη	ematovameni
μουσκεμένοσ	muscemenos
χούφταλο	xuftalo
πληθυντικόσ	pliθindikos
αλωνάρηδεσ	alonaɾiðes
ψηφοφόροσ	psifoforos
αναμμένεσ	anamenes
εντυπωσιακόσ	endiposiakos
αγυιόπαι	aʝiope
μήνυμα	minima
αποκρύφτηκα	apokɾiftika
συνηθισμένων	siniθizmenon
πίσον	pison
ανατρέπομε	anatɾepome
ιερόδουλοσ	ieɾoðulos
αγάμητοσ	aɣamitos
μπαρκάρω	baɾkaɾo
κοριτσιού	koɾitsçu
ασκούμαι	askume
αρχικά	arçika
αισχροκέρδεια	esxrocerðia
θέλω	θelo
παντρεμένα	pandɾemena
σημαδεύω	simaðevo
κορόιδεψε	koɾoi̯ðepse
ευσεβούσ	efsevus
αυξομειώνω	afksomiono
περιθάλπουμε	peɾiθalpume
ημερομηνίεσ	imeɾominies
παντού	pandu
συγκοπή	siŋɡopi
ηδονοβλεψίασ	iðonovlepsias
πεθαμένων	peθamenon
γκαστρωμένων	ɡastromenon
αράπησ	aɾapis
βάζω	vazo
λύσσαξα	lisaksa
ντίνα	dina
αγιοπούλι	aʝopuli
τοποθετήθηκα	topoθetiθika
συναίρεσησ	sineresis
γόνυ	ɣoni
καθελκύουμε	kaθelciume
μυγίτσα	miʝitsa
παυλάκησ	pavlacis
κοτίτσα	kotitsa
χαστουκίζω	xastucizo
χόρευ'	xoɾef
επιχαίρω	epiçero
αρρωστημένησ	arostimenis
οδηγόσ	oðiɣos
ειλημμένουσ	ilimenus
ωραίοσ	oɾeos
οικογενειοκρατία	ikoʝeniokɾatia
γκιλοτίνα	ɟilotina
κορίτσαροσ	koritsaros
χεσμένου	çezmenu
δρέπω	ðɾepo
καστοριά	kastoɾʝa
κλεισμένων	klizmenon
προηγούμενο	proiɣumeno
ηλιθιότητα	iliθiotita
τραβηγμένοσ	tɾaviɣmenos
ντελαπάρω	delapaɾo
χρονολόγησα	xronoloʝisa
ὑπογράφει	ipoɣrafi
αποφασίζω	apofasizo
αγγίζομαι	aŋɟizome
μαυρισμένα	mavrizmena
ξερόψωμων	kseropsomon
χάφτηκα	xaftika
κατάβαλλε	katavale
καθαρματάρα	kaθaɾmataɾa
καλομαθημένησ	kalomaθimenis
ματοβαμμένο	matovameno
άβλαπτοσ	avlaptos
βλαμμένο	vlameno
ομόλογο	omoloɣo
αλάλαξα	alalaksa
γαμάω	ɣamao
μούναροσ	munaɾos
διαμείφθηκα	ðiamifθika
πλάγιασα	plaʝasa
ισχυρίζομαι	isçiɾizome
ικανοποιημένη	ikanopiimeni
κουτόφραγκοσ	kutofɾaŋɡos
επετράπην	epetɾapin
ικετεύω	icetevo
σερβιρίζομαι	seɾviɾizome
ακατάδεκτοσ	akataðektos
σαββατοκύριακο	savatociɾʝako
ρωτούσα	ɾotusa
τούμπανο	tumbano
αμερική	americi
κούκοσ	kukos
χριστόψωμο	xristopsomo
ανωριμότητα	anoɾimotita
προετοιμάζω	pɾoetimazo
κοιτίδων	citiðon
μάτια	matça
ολόλευκοσ	ololefkos
έναρξη	enaɾksi
εορτάζομαι	eoɾtazome
ξύλα	ksila
ουλή	uli
θυμωμένα	θimomena
κινάω	cinao
ζητημένοσ	zitimenos
ρώταγα	ɾotaɣa
έκαμψα	ekampsa
μπουγιαμπέσα	buʝambesa
απετράπησαν	apetɾapisan
κορομηλιά	koɾomiʎa
βάροσ	varos
βίκυ	vici
κατάργησα	kataɾʝisa
κεσεμιού	cesemɲu
αρχιμαλάκασ	aɾçimalakas
γλυκόσ	ɣlikos
παραδεχτεί	paɾaðexti
πουτάνα	putana
ασκούμε	askume
ρεύομαι	ɾevome
χλιαρόσ	xliaros
μυτάκι	mitaci
γκαστρωμένησ	ɡastromenis
τσεκάρω	tsekaɾo
πτολεμαΐδα	ptolemaiða
στρατόσ	stɾatos
ασκάλαφοσ	askalafos
λυθήκανε	liθikane
πίθε	piθe
αναγνωρισμένησ	anaɣnorizmenis
μύξα	miksa
καρδιά	karðʝa
βρίσκομαι	vɾiskome
διψασμένοσ	ðipsazmenos
έγινα	eʝina
επισυνήφθην	episinifθin
βρέχω	vrexo
ιανουαρίου	ianuaɾiu
βυθισμένων	viθizmenon
εγκεφαλοκλάνι	eŋɡefaloklani
άρκτοσ	aɾktos
μνημών	mnimon
φιλί	fili
βρεφοκτονία	vɾefoktonia
αμπαρώνομαι	abaɾonome
ιουνίων	iunion
μιαίνομαι	mienome
δάπεδα	ðapeða
απορροφημένοσ	apoɾofimenos
αέρισα	aeɾisa
φρεσκάρισα	freskarisa
αθανασάκειοσ	aθanasacios
σπασμένουσ	spazmenus
μετατράπηκα	metatɾapika
αποστάζουμε	apostazume
αμοργόσ	amoɾɣos
σκορδόψωμο	skoɾðopsomo
καρφώνομαι	kaɾfonome
πρότρεψα	pɾotɾepsa
αγαπάω	aɣapao
χίοσ	çios
ανθέλληνασ	anθelinas
γαλοπούλα	ɣalopula
κατουριέμαι	katuɾʝeme
σιχτίρι	sixtiɾi
διαχύθηκα	ðiaçiθika
λύση	lisi
εγγραφτήκανε	eŋɣraftikane
γκομενίτσα	ɡomenitsa
ανακρίνομε	anakɾinome
εκκλησία	eklisia
μαρτυρούμε	maɾtiɾume
βέροια	veɾia
συνηθισμένε	siniθizmene
βδελύγματοσ	vðeliɣmatos
πιστεύτηκα	pisteftika
βασιλεία	vasilia
ανελκύομε	anelciome
ανευφημία	anefimia
αίαντασ	eandas
απομονωμένου	apomonomenu
διέκοψα	ðiekopsa
κραγμένε	kraɣmene
μεγαλειοτάτη	meɣaliotati
κρεμώ	kremo
βλάφτει	vlafti
φλίπερ	flipeɾ
περιπλέχθηκαν	peɾiplexθikan
αποδοκιμάζομαι	apoðocimazome
βαλσαμώνομαι	valsamonome
ἄρχομαι	arxome
αποδείχθηκα	apoðixθika
σημαίνω	simeno
ξύνομε	ksinome
αξιολογήσεων	aksioloʝiseon
βιάστηκα	vʝastika
πρώτοσ	pɾotos
εγγόνια	eŋɡoɲa
προηγουμένων	proiɣumenon
περασμένουσ	perazmenus
κακογαμημένησ	kakoɣamimenis
χαλασμένεσ	xalazmenes
αγιάζομαι	aʝiazome
λυμένεσ	limenes
τρομαγμένη	tɾomaɣmeni
αυγό	avɣo
μόρτησ	moɾtis
κάλυψα	kalipsa
προφητεύτηκα	pɾofiteftika
βόσκω	vosko
αγανακτισμένεσ	aɣanaktizmenes
κομμένουσ	komenus
παροτρύνουμε	paɾotɾinume
αγκωνιάστηκα	aŋɡoɲastika
νέμεσισ	nemesis
ανεκκαθάριστοσ	anekaθaɾistos
καδραρίστηκα	kaðɾaɾistika
ευγενία	evʝenia
αβανγκαρντισμούσ	avaŋɡaɾdizmus
αποφοιτώ	apofito
γύρισα	ʝiɾisa
μεσαιωνικόσ	meseonikos
ενάρξεισ	enaɾksis
απομονωμένουσ	apomonomenus
ακροβασία	akrovasia
καταλύομαι	kataliome
κόκκινοσ	kocinos
αλιεύω	alievo
χαϊδεύτηκα	xai̯ðeftika
ερρινισμόσ	erinizmos
χτύπαγα	xtipaɣa
νικημένου	nicimenu
ανασκάπτουμε	anaskaptume
αποκλεισμένησ	apoklizmenis
μαυροπούλια	mavropuʎa
ασελγήσ	aselʝis
λούφα	lufa
μαζικότατοι	mazikotati
τραγουδιστήσ	tɾaɣuðistis
ανταμείβω	andamivo
νοεμβρίων	noeɱvɾion
ντροπιασμένο	dɾopçazmeno
μεταφέρομε	metafeɾome
δοκίμασα	ðocimasa
υποψιάζομαι	ipopsiazome
απεραντολογία	apeɾandoloʝia
σιχάθηκα	sixaθika
ακοομετρίασ	akoometrias
ιόσ	ios
δημαρχία	ðimaɾçia
αβανγκαρντισμό	avaŋɡaɾdizmo
ισχύων	isçion
παράπαια	parapea
θαυμάστηκα	θavmastika
αβγοκομμένων	avɣokomenon
σημασία	simasia
ευσεβάστωσ	efsevastos
ακολουθάω	akoluθao
αγνάντιο	aɣnandʝo
φαρμακώνω	faɾmakono
θάλλω	θalo
μαγιονέζα	maʝoneza
επτά	epta
άγγειλα	aŋɟila
οκτακόσια	oktakosça
πειθαναγκάστηκα	piθanaŋɡastika
μετατρέπουμε	metatɾepume
συγγραφέωσ	siŋɣrafeos
μαθημένησ	maθimenis
απρίληδεσ	apɾiliðes
αποκεφαλίζω	apocefalizo
επιμελητέσ	epimelites
συνέγραψα	sineɣrapsa
φυλάσσομαι	filasome
υπολογιστικοί	ipoloʝistici
φοροαποφυγή	foɾoapofiʝi
στέλλω	stelo
ποδόγυροσ	poðoʝiɾos
φλεβάρηδεσ	flevaɾiðes
σπασμένων	spazmenon
αποσπάστηκα	apospastika
χεσμένα	çezmena
καθισμένουσ	kaθizmenus
παραπέμπομε	paɾapembome
τυλίχτηκα	tilixtika
κοινωνώ	cinono
κλίνομε	klinome
ανεκόπην	anekopin
αποκόπτουμε	apokoptume
καταπολεμούμε	katapolemume
κληρονόμοσ	kliɾonomos
αγαθοεργία	aɣaθoeɾʝia
συνάφθηκα	sinafθika
ανασκάβω	anaskavo
ανταποκρίνομαι	andapokɾinome
τήνοσ	tinos
πείθω	piθo
αθωώθηκα	aθooθika
ἀποκυημάτων	apociimaton
ρωτήθηκα	ɾotiθika
παρφουμάρω	paɾfumaɾo
ίπταμαι	iptame
σοφότερου	sofoteɾu
επανειλημμένα	epanilimena
τσεκάριζε	tsekaɾize
μουσκεμένο	muscemeno
δαγκώθηκα	ðaŋɡoθika
υδράργυροσ	iðɾaɾʝiɾos
ποικιλότατουσ	picilotatus
ερώτησα	eɾotisa
διεγείρομαι	ðieʝiɾome
συγγραφῆσ	siŋɣrafis
έστεψα	estepsa
αλλαξοπίστισα	alaksopistisa
άσεβο	asevo
αγαντάριζε	aɣandarize
λέγομε	leɣome
ευσέβεια	efsevia
ψηφιακή	psifiaci
αλατισμένε	alatizmene
βάλλετε	valete
ἀπασχολῶ	apasxolo
συγκινημένο	siŋɟinimeno
πειθανάγκασα	piθanaŋɡasa
σοροί	soɾi
γκαστρώνω	ɡastɾono
επιχειρήθηκα	epiçiriθika
ασέβεια	asevia
αιγόκερωσ	eɣoceɾos
στενοχωρημένησ	stenoxorimenis
κουνουπίδι	kunupiði
σημειώθηκα	simioθika
κατούρησα	katuɾisa
αληθεύω	aliθevo
βελτιώσεισ	veltiosis
αναστηλώνω	anastilono
τραγουδημένοσ	tɾaɣuðimenos
κατήντησα	katindisa
εμπερικλείομε	emberikliome
νιάου	ɲau
κοινόλεκτε	cinolekte
πόρνη	poɾni
οδηγημένοσ	oðiʝimenos
φιλολογίασ	filoloʝias
διαδέχομαι	ðʝaðexome
ανεφοδιάζω	anefoðiazo
αποσαθρώνω	aposaθɾono
στενοχωρήθηκα	stenoxoriθika
περιεπλάκη	peɾieplaci
κουτόσ	kutos
ιπτάμενοσ	iptamenos
ευσεβέσ	efseves
σαλτάριζε	saltaɾize
ερρινοποιήσεισ	erinopiisis
καταντάω	katandao
ανέκραξα	anekraksa
κινούμε	cinume
στεναχωριέμαι	stenaxorʝeme
θεσσαλονικιώτικοσ	θesalonicotikos
αναπαύομαι	anapavome
φασουλιών	fasuʎon
ανέξοδοσ	aneksoðos
αναστρέφουμε	anastɾefume
αποκρούουμε	apokruume
άγιε	aʝie
διαβάζω	ðʝavazo
αληθείσ	aliθis
ποικιλότερησ	piciloteris
γεράματα	ʝeɾamata
κώδικασ	koðikas
μοναξιά	monaksça
συσσωρεύθηκα	sisoɾefθika
υπεύθυνοσ	ipefθinos
λάτρα	latɾa
αγκίδι	aŋɟiði
ελλάσ	elas
υποδεκανέασ	ipoðekaneas
αδίκησα	aðicisa
ωσαννά	osana
σάλευε	saleve
καθέλκυσα	kaθelcisa
αγιοκέρι	aʝoceri
οινόπνευμα	inopnevma
ανιψούλεσ	anipsules
γάμησα	ɣamisa
πειράζει	piɾazi
δημιουργώ	ðimiuɾɣo
αλλαξοπίστησα	alaksopistisa
σοκάκι	sokaci
στιμμένοι	stimeni
περιπλέχθηκα	peɾiplexθika
διαίρεσα	ðieɾesa
αραχνιάζω	aɾaxɲazo
πέθανε	peθane
μόναχο	monaxo
ανευρίσκω	anevɾisko
διαλελυμένων	ðialelimenon
μήλο	milo
μακάβριοσ	makavɾios
θλιβερέ	θliveɾe
πίθο	piθo
παύθηκα	pafθika
καθιδρύω	kaθiðrio
αναγνώστησ	anaɣnostis
στιμμένουσ	stimenus
βεγγαλικό	veŋɡaliko
άνδρε	anðɾe
μανταρινιά	mandaɾiɲa
φίλαγα	filaɣa
τυροκόμοσ	tiɾokomos
επανιδρύθηκα	epaniðriθika
ερρινότητασ	erinotitas
έλυναν	elinan
πακεταρίστηκα	pacetaɾistika
συγκρουόμενεσ	siŋɡruomenes
υιοθετώ	ioθeto
βιβλιοθήκη	vivlioθici
ξελογιάζω	kseloʝazo
λευκήσ	lefcis
κλιμακώνομαι	klimakonome
ικέτεψα	icetepsa
λευκέσ	lefces
πλέον	pleon
συνήθησ	siniθis
βάλω	valo
αυτή	afti
γεννημένοσ	ʝenimenos
