vocero	vosˈero
profesionalismo	profesjonalˈismo
Suzuki	suzˈuki
boso	bˈoso
cuminza	kumˈinza
dañonan	daɲˈonan
tranca	trˈanka
auxilio	auksˈiljo
Principalmente	prinsipalmˈente
Richardson	rit͡ʃardsˈoŋ
rond	rˈond
careda	karˈeda
Trabou	trabˈow
Mitsubishi	mitsubˈiʃi
bonus	bonˈus
huespednan	hwespˈednan
Cali	kˈali
Hall	hˈall
descansa	deskˈansa
Pero	pˈero
invitado	invitˈado
Cierto	sjˈerto
cuminzamento	kuminzamˈento
compensacion	kompensasjˈoŋ
prudente	prudˈente
suave	swˈave
dentista	dentˈista
aresto	arˈesto
bebi	bˈebi
Gloria	ɡlˈorja
check	t͡ʃˈekk
bo	bˈo
atendiendo	atendjˈendo
mobiliza	mobilˈiza
Jose	jˈose
cuminda	kumˈinda
professional	professjonˈal
ta	tˈa
ganashi	ɡanˈaʃi
programanan	proɡramˈanan
anual	anwˈal
resona	resˈona
Raad	rˈaːd
invadi	invˈadi
velocidad	velosidˈad
momento	momˈento
Man	mˈaŋ
victoria	viktˈorja
Britania	britˈanja
British	britˈiʃ
anuncia	anˈunsja
gobernante	ɡobernˈante
sacamento	sakamˈento
mata	mˈata
hurista	hurˈista
aventura	aventˈura
Relacionista	relasjonˈista
concreto	konkrˈeto
amienda	amjˈenda
opera	opˈera
splika	splˈika
obtene	obtˈene
inhumano	inhumˈano
canta	kˈanta
reservanan	reservˈanan
net	nˈet
eigenlijk	e͡ɪxenlˈe͡ɪk
Sevinger	sevinxˈer
Vista	vˈista
studia	stˈudja
Eagle	eˈaɡle
divisas	divisˈas
controlando	kontrolˈando
caya	kˈaja
fianza	fjˈanza
fayo	fˈajo
Públiko	pˈubliko
necesidad	nesesidˈad
Nederlandse	nederlˈandse
Kas	kˈas
doñonan	doɲˈonan
Creek	krˈeːk
Argus	arɡˈus
League	leˈaɡe
ambulance	ambulˈanse
graduado	ɡradwˈado
lid	lˈid
conteo	kontˈeo
Ocean	oseˈaŋ
Academy	akadˈemi
hera	hˈera
resiliente	resiljˈente
Irausquin	irauskwˈiŋ
Defensor	defensˈor
sembra	sˈembra
van	vˈaŋ
Salario	salˈarjo
MB	ˌɛmbˈe
regular	reɡulˈar
labora	labˈora
positive	positˈive
maritimo	maritˈimo
renobacion	renobasjˈoŋ
ocupa	okˈupa
Diagnostico	djaɡnostˈiko
Wayaca	wajˈaka
Afortunadamente	afortunadamˈente
bolter	boltˈer
Sagicor	saxikˈor
Rusia	rˈusja
December	desembˈer
herido	herˈido
Post	pˈost
politiconan	politikˈonan
wardanan	wardˈanan
Picanto	pikˈanto
Y	iɡrˈɛk
spierta	spjˈerta
firma	fˈirma
Edgard	edɡˈard
ELMAR	elmˈar
Dialogo	djalˈoɡo
MANA	mˈana
Task	tˈask
salon	salˈoŋ
belasting	belastˈinɡ
pago	pˈaɡo
Onderwijs	onderwˈe͡ɪs
interior	interjˈor
worry	wˈorri
Awa	ˈawa
Merca	mˈerka
DE	dˈe
exposicion	eksposisjˈoŋ
legalmente	leɡalmˈente
Corsow	korsˈow
desaster	desastˈer
confirmacion	konfirmasjˈoŋ
deseo	desˈeo
LIVE	lˈive
uza	ˈuza
conscientemente	konssjentemˈente
audiencia	audjˈensja
Rampen	rampˈeŋ
Garage	ɡarˈaxe
Contabilidad	kontabilidˈad
Curason	kurasˈoŋ
verf	vˈerf
rudia	rˈudja
cinco	sˈinko
Trahadonan	trahadˈonan
turtuga	turtˈuɡa
whatsapp	whatsˈapp
solido	solˈido
casamento	kasamˈento
Loves	lovˈes
RAIZ	rˈa͡ɪz
foi	fˈoj
FPNM	ˌɛfpˌeˌɛnˈɛm
splicacion	splikasjˈoŋ
cellular	sellulˈar
haciendo	hasjˈendo
Centre	sˈentre
Odillia	odˈillja
voz	vˈoz
corantnan	korˈantnan
proteina	protˈe͡ɪna
talentonan	talentˈonan
producto	prodˈukto
mondmasker	mondmaskˈer
Tormenta	tormˈenta
intermediacion	intermedjasjˈoŋ
cunukeronan	kunukerˈonan
Antiano	antjˈano
fia	fjˈa
su	sˈu
positivamente	positivamˈente
colaboracion	kolaborasjˈoŋ
publica	publˈika
Gobierno	ɡobjˈerno
Masha	mˈaʃa
talento	talˈento
causando	kausˈando
Recurso	rekˈurso
Cliente	kljˈente
criminalidad	kriminalidˈad
presta	prˈesta
y	iɡrˈɛk
Mario	mˈarjo
Lucia	lˈusja
custumbra	kustˈumbra
lancer	lansˈer
Kico	kˈiko
UNICEF	unisˈef
educacion	edukasjˈoŋ
consciente	konssjˈente
brainstorm	bra͡ɪnstˈorm
cent	sˈent
toch	tˈot͡ʃ
Faro	fˈaro
bleki	blˈeki
Boto	bˈoto
anonimo	anonˈimo
Conforme	konfˈorme
polis	polˈis
Pashent	paʃˈent
procesamento	prosesamˈento
sinembargo	sinembˈarɡo
absolutamente	absolutamˈente
KOR	kˈor
externo	ekstˈerno
Vice	vˈise
Life	lˈife
Algemene	alxemˈene
Mando	mˈando
recien	resjˈeŋ
costumbra	kostˈumbra
front	frˈont
Cu	kˈu
smart	smˈart
CUA	kwˈa
costanan	kostˈanan
natal	natˈal
bos	bˈos
barnan	bˈarnan
Examen	eksamˈeŋ
october	oktobˈer
Comerciante	komersjˈante
simbolo	simbˈolo
desgracia	desɡrˈasja
frena	frˈena
hende	hˈende
pusha	pˈuʃa
Frances	fransˈes
hamas	hamˈas
CDA	kdˈa
aporte	apˈorte
fenomeno	fenomˈeno
global	ɡlobˈal
Breaking	breakˈinɡ
luna	lˈuna
interumpi	interˈumpi
Anselmo	ansˈelmo
AIDS	ˈa͡ɪds
center	sentˈer
Hoben	hobˈeŋ
trece	trˈese
hibe	hˈibe
exclui	eksklˈuj
patruya	patrˈuja
sintie	sˈintje
Alexander	aleksandˈer
RCA	rkˈa
encuestanan	enkwestˈanan
pan	pˈaŋ
Spaans	spˈaːns
Abogado	aboɡˈado
Via	vjˈa
rapidez	rapidˈez
Traveler	travelˈer
Drs	dˌeˌɛrˈɛs
proyectonan	projektˈonan
sistemanan	sistemˈanan
dia	djˈa
team	teˈam
coreccion	koreksjˈoŋ
reactiva	reaktˈiva
entendimento	entendimˈento
capaz	kapˈaz
pruebanan	prwebˈanan
Republica	republˈika
conrector	konrektˈor
dosnan	dˈosnan
escohi	eskˈohi
negosacion	neɡosasjˈoŋ
placa	plˈaka
reportahe	reportˈahe
enfermeronan	enfermerˈonan
pasco	pˈasko
isolacion	isolasjˈoŋ
plataformanan	plataformˈanan
codering	koderˈinɡ
proposicion	proposisjˈoŋ
renovacion	renovasjˈoŋ
awanan	awˈanan
Signs	sˈiɡns
menase	menˈase
taxista	taksˈista
Casi	kˈasi
colga	kˈolɡa
recupera	rekupˈera
MC	ˌɛmsˈe
envez	envˈez
Muhe	mˈuhe
triage	trjˈaxe
nacionalidad	nasjonalidˈad
Carlos	karlˈos
modera	modˈera
sistema	sistˈema
texto	tˈeksto
propiedadnan	propjedˈadnan
bek	bˈek
Fundacion	fundasjˈoŋ
balor	balˈor
mental	mentˈal
Yuda	jˈuda
vandalismo	vandalˈismo
Valdez	valdˈez
finalmente	finalmˈente
evidencia	evidˈensja
fenomenal	fenomenˈal
representantenan	representantˈenan
diabetico	djabetˈiko
fiscal	fiskˈal
Juni	jˈuni
Sanders	sandˈers
Sin	sˈiŋ
verbal	verbˈal
Aressa	arˈessa
obstante	obstˈante
Departamento	departamˈento
bou	bˈow
integral	inteɡrˈal
Palace	palˈase
magnitud	maɡnitˈud
unicamente	unikamˈente
actitud	aktitˈud
docente	dosˈente
divisa	divˈisa
strena	strˈena
funcionando	funsjonˈando
inversion	inversjˈoŋ
artistico	artistˈiko
TOPA	tˈopa
etapa	etˈapa
finanzas	finanzˈas
Amigo	amˈiɡo
news	nˈews
awa	ˈawa
indirecto	indirˈekto
hinke	hˈinke
creacion	kreasjˈoŋ
intencional	intensjonˈal
Diego	djˈeɡo
faha	fˈaha
mensual	menswˈal
Florin	florˈiŋ
Quota	kwˈota
Aunke	aˈunke
bieu	bjˈew
contract	kontrˈakt
charla	t͡ʃˈarla
Ministerial	ministerjˈal
autonomo	autonˈomo
inauguracion	inauɡurasjˈoŋ
nulo	nˈulo
sernan	sˈernan
severo	sevˈero
emailadres	ema͡ɪladrˈes
Lamentablemente	lamentablemˈente
Bestuurskantoor	bestyrskantˈoːr
optimalisa	optimalˈisa
crecimento	kresimˈento
generacion	xenerasjˈoŋ
cocolishi	kokolˈiʃi
remarka	remˈarka
atraca	atrˈaka
Chauffeur	t͡ʃauffˈewr
municipio	munisˈipjo
Marine	marˈine
prevalece	prevalˈese
discusion	diskusjˈoŋ
winstbelasting	winstbelastˈinɡ
agradable	aɡradˈable
Conducta	kondˈukta
HTC	hˌatˌesˈe
diversificacion	diversifikasjˈoŋ
Bo	bˈo
Nisbet	nisbˈet
alaves	alavˈes
BFTO	bftˈo
periodismo	perjodˈismo
organizacionnan	orɡanizasjˈonnan
ana	ˈana
Ningun	ninɡˈuŋ
sanger	sanxˈer
treci	trˈesi
SSA	ssˈa
Manera	manˈera
priminti	primˈinti
negoshinan	neɡoʃˈinan
Electoral	elektorˈal
Andres	andrˈes
epidemia	epidˈemja
original	orixinˈal
positivo	positˈivo
Desk	dˈesk
dunado	dunˈado
telefonicamente	telefonikamˈente
peligroso	peliɡrˈoso
eventualidad	eventwalidˈad
autonan	autˈonan
fiho	fˈiho
Europeo	ewropˈeo
nochi	nˈot͡ʃi
Spaño	spˈaɲo
aparte	apˈarte
per	pˈer
OC	ˈok
cluster	klustˈer
cuminsando	kuminsˈando
Josephine	josephˈine
aanwijzing	aːnwe͡ɪzˈinɡ
lucha	lˈut͡ʃa
voluntario	voluntˈarjo
haltura	haltˈura
pedofilnan	pedofˈilnan
compilacion	kompilasjˈoŋ
fumiga	fumˈiɡa
biodiversidad	bjodiversidˈad
biba	bˈiba
cama	kˈama
adulto	adˈulto
Esun	esˈuŋ
Antia	ˈantja
Lions	ljˈons
precaucion	prekausjˈoŋ
maske	mˈaske
relato	relˈato
venidero	venidˈero
desperdicio	desperdˈisjo
Hyatt	hjˈatt
calculacionnan	kalkulasjˈonnan
Scientology	ssjentolˈoxi
Sindicato	sindikˈato
converti	konvˈerti
melding	meldˈinɡ
vooral	voːrˈal
Sasakiweg	sasakiwˈeɡ
mentira	mentˈira
thru	thrˈu
organisando	orɡanisˈando
Authority	authorˈiti
naar	nˈaːr
leve	lˈeve
Entre	ˈentre
Mental	mentˈal
normalidad	normalidˈad
King	kˈinɡ
kaso	kˈaso
reservacion	reservasjˈoŋ
embargo	embˈarɡo
provincia	provˈinsja
International	internatjonˈal
Hogeschool	hoxest͡ʃˈoːl
toxico	toksˈiko
credito	kredˈito
codigo	kodˈiɡo
soluciona	solusjˈona
Cuentanan	kwentˈanan
Region	rexjˈoŋ
centenares	sentenarˈes
Rolando	rolˈando
set	sˈet
misa	mˈisa
sub	sˈub
Antonio	antˈonjo
Harms	hˈarms
hasi	hˈasi
sindical	sindikˈal
Booshi	bˈoːʃi
aloca	alˈoka
debido	debˈido
plantamento	plantamˈento
innova	innˈova
habitantenan	habitantˈenan
desastre	desˈastre
plazo	plˈazo
Zaken	zakˈeŋ
elogio	elˈoxjo
contratistanan	kontratistˈanan
pidie	pˈidje
restart	restˈart
Florida	florˈida
sumanan	sumˈanan
Orde	ˈorde
YMCA	ˈimka
fabrica	fabrˈika
invita	invˈita
caso	kˈaso
Santana	santˈana
Oduber	odubˈer
bandera	bandˈera
AB	ˈab
Finanzas	finanzˈas
internacional	internasjonˈal
Bogota	boɡˈota
sake	sˈake
op	ˈop
honra	hˈonra
Pedagogico	pedaɡoxˈiko
dama	dˈama
Mucho	mˈut͡ʃo
Daño	dˈaɲo
Hof	hˈof
mediano	medjˈano
Wil	wˈil
contamina	kontamˈina
culmina	kulmˈina
unico	unˈiko
vanguardia	vanɡwˈardja
studio	stˈudjo
alentador	alentadˈor
Alan	alˈaŋ
tipo	tˈipo
Presente	presˈente
Anne	ˈanne
experencianan	eksperensjˈanan
industria	indˈustrja
Wyatt	wjˈatt
Cumpra	kˈumpra
yuda	jˈuda
horcannan	horkˈannan
significa	siɡnifˈika
normalmente	normalmˈente
sospechoso	sospet͡ʃˈoso
Resorts	resˈorts
sintonisa	sintonˈisa
Koolman	koːlmˈaŋ
Ohala	ohˈala
inversionista	inversjonˈista
inmoral	inmorˈal
Action	aktjˈoŋ
cognitivo	koɡnitˈivo
tire	tˈire
aun	aˈuŋ
posibilidad	posibilidˈad
Kaya	kˈaja
ATV	ˈatv
humilde	humˈilde
inmunidad	inmunidˈad
planifica	planifˈika
CFT	sˌeˌɛftˈe
mitar	mitˈar
Biden	bidˈeŋ
DNM	dˌeˌɛnˈɛm
porcentahe	porsentˈahe
Belgica	belxˈika
berdura	berdˈura
pareha	parˈeha
average	averˈaxe
loke	lˈoke
Hogarnan	hoɡˈarnan
alimentacion	alimentasjˈoŋ
handsanitizer	handsanitizˈer
estrictamente	estriktamˈente
accidenta	aksidˈenta
estadisticanan	estadistikˈanan
licencia	lisˈensja
SVB	ˌɛsvˌebˈe
orientacion	orjentasjˈoŋ
cruz	krˈuz
stem	stˈem
nada	nˈada
inhusticia	inhustˈisja
US	ˈus
house	hˈowse
inseguridad	inseɡuridˈad
Chile	t͡ʃˈile
otorga	otˈorɡa
Awg	ˈawɡ
musiconan	musikˈonan
esfuerzonan	esfwerzˈonan
suzuki	suzˈuki
Bond	bˈond
preserva	presˈerva
dificultad	difikultˈad
miyon	mijˈoŋ
Saba	sˈaba
torneo	tornˈeo
efectivo	efektˈivo
Rene	rˈene
pasion	pasjˈoŋ
documentario	dokumentˈarjo
blaas	blˈaːs
scoge	skˈoxe
apenas	apenˈas
preocupante	preokupˈante
jeans	jeˈans
lineanan	lineˈanan
ehercicionan	ehersisjˈonan
sunchi	sˈunt͡ʃi
biahenan	bjahˈenan
kies	kjˈes
rand	rˈand
Contraloria	kontralˈorja
coriendo	korjˈendo
ingreso	inɡrˈeso
presupuesta	presupwˈesta
optimista	optimˈista
vehiculo	vehikˈulo
gastonan	ɡastˈonan
Tromp	trˈomp
fruta	frˈuta
imponi	impˈoni
alcohol	alkohˈol
Stef	stˈef
Representantenan	representantˈenan
amante	amˈante
november	novembˈer
caracter	karaktˈer
desicionnan	desisjˈonnan
comentarionan	komentarjˈonan
Categoria	kateɡˈorja
fayonan	fajˈonan
comandante	komandˈante
instiga	instˈiɡa
esfuersonan	esfwersˈonan
management	manaxemˈent
beachnan	beˈat͡ʃnan
jong	jˈonɡ
Instituto	institˈuto
poni	pˈoni
vulnerabel	vulnerabˈel
tiramento	tiramˈento
disponibilidad	disponibilidˈad
bela	bˈela
Kwartaal	kwartˈaːl
experticio	ekspertˈisjo
estudionan	estudjˈonan
eventonan	eventˈonan
EU	ˈew
Incluso	inklˈuso
Exterior	eksterjˈor
ciudadnan	sjudˈadnan
bin	bˈiŋ
Accidente	aksidˈente
Presidente	presidˈente
Israel	israˈel
cortina	kortˈina
moral	morˈal
sucesonan	susesˈonan
rectifica	rektifˈika
heroenan	herˈunan
Virgin	virxˈiŋ
contexto	kontˈeksto
bon	bˈoŋ
Ken	kˈeŋ
En	ˈeŋ
deduci	dedˈusi
spera	spˈera
raport	rapˈort
plaso	plˈaso
ofrece	ofrˈese
interna	intˈerna
envelope	envelˈope
destrui	destrˈuj
contractnan	kontrˈaktnan
pasamento	pasamˈento
Hitler	hitlˈer
dentro	dˈentro
conforme	konfˈorme
mantenimento	mantenimˈento
Financial	finansjˈal
vangrail	vanɡrˈa͡ɪl
procedura	prosedˈura
basta	bˈasta
piesa	pjˈesa
medionan	medjˈonan
Mark	mˈark
basicamente	basikamˈente
januari	janwˈari
traicion	tra͡ɪsjˈoŋ
hustifica	hustifˈika
account	akkˈownt
Alto	ˈalto
snacks	snˈakks
exigiendo	eksixjˈendo
LLC	ˌɛlˌɛlsˈe
structura	struktˈura
fragil	fraxˈil
ASF	ˈasf
Esey	esˈej
circulacion	sirkulasjˈoŋ
componentenan	komponentˈenan
fracaso	frakˈaso
escogencia	eskoxˈensja
Asamblea	asamblˈea
Sigui	sˈiɡj
aunke	aˈunke
portanan	portˈanan
work	wˈork
recibo	resˈibo
plan	plˈaŋ
anticua	antˈikwa
enfermero	enfermˈero
Nast	nˈast
merece	merˈese
Prensa	prˈensa
consulta	konsˈulta
sindicalista	sindikalˈista
Milieu	miljˈew
satisfaccion	satisfaksjˈoŋ
FCCA	fkkˈa
Ley	lˈej
desconocinan	deskonosˈinan
IBISA	ibˈisa
judicial	judisjˈal
tardi	tˈardi
Aviacion	avjasjˈoŋ
publicamente	publikamˈente
Hudicial	hudisjˈal
atraccion	atraksjˈoŋ
duradero	duradˈero
Romero	romˈero
fayece	fajˈese
Mas	mˈas
reforza	refˈorza
Consensus	konsensˈus
Publico	publˈiko
informe	infˈorme
Halloween	hallowˈeːŋ
CPI	kpˈi
fantasma	fantˈasma
comete	komˈete
al	ˈal
pa	pˈa
Christmas	t͡ʃristmˈas
Henny	hˈenni
compra	kˈompra
Lottery	lottˈeri
pasonan	pasˈonan
WVB	wˌevˌebˈe
sali	sˈali
enfermo	enfˈermo
admiti	admˈiti
Manager	manaxˈer
directornan	direktˈornan
suficiente	sufisjˈente
libra	lˈibra
dedicacion	dedikasjˈoŋ
promé	promˈe
legado	leɡˈado
dispone	dispˈone
barata	barˈata
barrio	bˈarrjo
intento	intˈento
denuncia	denˈunsja
buelta	bwˈelta
Ciencia	sjˈensja
gracia	ɡrˈasja
aviacion	avjasjˈoŋ
bunita	bunˈita
felicidad	felisidˈad
impacto	impˈakto
sigui	sˈiɡj
Roma	rˈoma
Fort	fˈort
alcanza	alkˈanza
hortando	hortˈando
policlinica	poliklinˈika
peso	pˈeso
consistente	konsistˈente
nietonan	njetˈonan
higiena	hixjˈena
LVV	ˌɛlvˌevˈe
USA	ˈusa
Preguntanan	preɡuntˈanan
spirito	spirˈito
diariamente	djarjamˈente
keto	kˈeto
rumbo	rˈumbo
shete	ʃˈete
adictonan	adiktˈonan
Cuminsando	kuminsˈando
constantemente	konstantemˈente
Triple	trˈiple
abogadonan	aboɡadˈonan
bai	bˈa͡ɪ
Hofi	hˈofi
brinda	brˈinda
respetando	respetˈando
Eddy	ˈeddi
resto	rˈesto
Cafe	kˈafe
machete	mat͡ʃˈete
Legislation	lexislatjˈoŋ
nenga	nˈenɡa
Pita	pˈita
ingrediente	inɡredjˈente
Week	wˈeːk
nocturno	noktˈurno
atraves	atravˈes
upgrade	upɡrˈade
funcionarionan	funsjonarjˈonan
empleadonan	empleadˈonan
flexibilisacion	fleksibilisasjˈoŋ
Hulanda	hulˈanda
Penha	pˈenha
uso	ˈuso
for	fˈor
orden	ordˈeŋ
directamente	direktamˈente
romantico	romantˈiko
CHE	t͡ʃˈe
auxiliar	auksiljˈar
batata	batˈata
Organizacion	orɡanizasjˈoŋ
plasma	plˈasma
ehecucion	ehekusjˈoŋ
diagnostica	djaɡnostˈika
busca	bˈuska
referendum	referendˈum
reserva	resˈerva
celebrando	selebrˈando
Psicologo	psikolˈoɡo
ticket	tikkˈet
tempu	tˈempu
alcance	alkˈanse
recomenda	rekomˈenda
Helpdesk	helpdˈesk
docentenan	dosentˈenan
tiki	tˈiki
Decision	desisjˈoŋ
inmunologico	inmunoloxˈiko
pronto	prˈonto
tips	tˈips
CENSO	sˈenso
turista	turˈista
individual	individwˈal
espera	espˈera
DAS	dˈas
rol	rˈol
hardware	hardwˈare
Patrishi	patrˈiʃi
Armando	armˈando
corolla	korˈolla
comprometi	kompromˈeti
desinfectante	desinfektˈante
basa	bˈasa
medicinal	medisinˈal
interino	interˈino
Wilhelmina	wilhelmˈina
lamentable	lamentˈable
Bomberonan	bomberˈonan
Meiveld	me͡ɪvˈeld
Dogcatcher	doɡkatt͡ʃˈer
seccion	seksjˈoŋ
skol	skˈol
economicamente	ekonomikamˈente
Casinonan	kasinˈonan
Bingo	bˈinɡo
Diasabra	djasˈabra
bringando	brinɡˈando
ingles	inɡlˈes
Administracion	administrasjˈoŋ
OCTA	ˈokta
movecionnan	movesjˈonnan
climatico	klimatˈiko
scur	skˈur
Vicente	visˈente
Tapaboca	tapabˈoka
Porfin	porfˈiŋ
rijbewijs	re͡ɪbewˈe͡ɪs
atene	atˈene
Colegio	kolˈexjo
medida	medˈida
tombola	tombˈola
Enseñanza	enseɲˈanza
Pontilius	pontiljˈus
uno	ˈuno
termino	termˈino
Blok	blˈok
rekeri	rekˈeri
Baho	bˈaho
metanan	metˈanan
permanente	permanˈente
penoso	penˈoso
super	supˈer
Kiko	kˈiko
recuperando	rekuperˈando
Representante	representˈante
cu	kˈu
Pelican	pelikˈaŋ
habon	habˈoŋ
manera	manˈera
aleha	alˈeha
Dificultad	difikultˈad
Edad	edˈad
ilustra	ilˈustra
debi	dˈebi
Pereira	perˈe͡ɪra
iniciativa	inisjatˈiva
pida	pˈida
Liliana	liljˈana
Petronia	petrˈonja
Farro	fˈarro
Sra	srˈa
niester	njestˈer
Surinam	surinˈam
recomendacion	rekomendasjˈoŋ
turistico	turistˈiko
potencial	potensjˈal
Influenza	inflwˈenza
noticianan	notisjˈanan
supuesto	supwˈesto
interesado	interesˈado
hanchi	hˈant͡ʃi
fatal	fatˈal
Art	ˈart
pobresa	pobrˈesa
catolico	katolˈiko
mei	mˈe͡ɪ
comedia	komˈedja
enfrente	enfrˈente
Gumbs	ɡˈumbs
hyundai	hjˈunda͡ɪ
California	kalifˈornja
malesa	malˈesa
hospitalnan	hospitˈalnan
causante	kausˈante
as	ˈas
bomberonan	bomberˈonan
enfasis	enfasˈis
man	mˈaŋ
Artificial	artifisjˈal
tesis	tesˈis
sobrepeso	sobrepˈeso
Grandi	ɡrˈandi
vision	visjˈoŋ
meymey	mejmˈej
Group	ɡrˈowp
joyas	jojˈas
E	ˈe
enfoca	enfˈoka
Redaccion	redaksjˈoŋ
pedagogico	pedaɡoxˈiko
duro	dˈuro
aeropuerto	aeropwˈerto
cel	sˈel
lockdown	lokkdˈowŋ
negosha	neɡˈoʃa
canabis	kanabˈis
articulo	artikˈulo
habriendo	habrjˈendo
VIP	vˈip
libertad	libertˈad
Ami	ˈami
ei	ˈe͡ɪ
condicional	kondisjonˈal
Orden	ordˈeŋ
gewoon	xewˈoːŋ
accionnan	aksjˈonnan
reconocemento	rekonosemˈento
bisiñanan	bisiɲˈanan
onderzoek	onderzˈuk
noordwest	noːrdwˈest
Biblioteca	bibljotˈeka
charter	t͡ʃartˈer
parkinglot	parkinɡlˈot
brommer	brommˈer
musca	mˈuska
hoben	hobˈeŋ
cartera	kartˈera
Luydens	lujdˈens
moviendo	movjˈendo
conserva	konsˈerva
taxi	tˈaksi
sonido	sonˈido
saconan	sakˈonan
alto	ˈalto
ambos	ambˈos
miyones	mijonˈes
Sali	sˈali
II	dˈos
Conseho	konsˈeho
ARA	ˈara
diversidad	diversidˈad
pega	pˈeɡa
cashi	kˈaʃi
cercania	serkˈanja
palabracion	palabrasjˈoŋ
mandatario	mandatˈarjo
stabilisa	stabilˈisa
Fuera	fwˈera
salarionan	salarjˈonan
rotonde	rotˈonde
Museum	musˈewm
fluho	flˈuho
sumo	sˈumo
loco	lˈoko
compromiso	kompromˈiso
obheto	obhˈeto
Team	teˈam
d	dˈe
tin	tˈiŋ
keha	kˈeha
Bario	bˈarjo
traductor	traduktˈor
Barconan	barkˈonan
Luna	lˈuna
bicicleta	bisiklˈeta
Atraco	atrˈako
bishitanan	biʃitˈanan
seca	sˈeka
Lucky	lˈukki
Basta	bˈasta
motorisa	motorˈisa
canando	kanˈando
esfuerso	esfwˈerso
direct	dirˈekt
bofon	bofˈoŋ
tormenta	tormˈenta
barcode	barkˈode
planta	plˈanta
convenio	konvˈenjo
piscado	piskˈado
siete	sjˈete
causa	kaˈusa
Melvin	melvˈiŋ
equiponan	ekwipˈonan
atento	atˈento
RFT	ˌɛrˌɛftˈe
miya	mˈija
brote	brˈote
di	dˈi
agricultura	aɡrikultˈura
formula	formˈula
sugeri	suxˈeri
Sport	spˈort
Meneer	menˈeːr
pier	pjˈer
