porowini	pˌɔrɔwˈini
kīrehe	kiːrˈehe
tautōhito	tˌau"tɔːhˈitɔ
tangohanga	tˌaŋɔhˈaŋa
Pakiwaitara	pˌakiwa͡ɪtˈara
ota	ˈɔta
Tūrei	tu"ːrˈei
pāmahana	pˌaːmahˈana
karaihe	karˈa͡ɪhe
kāti	kˈaːti
whakamaoritanga	fˌakamˌa͡ʊritˈaŋa
pītau	piːtˈau"
tangohia	tˌaŋɔhˈia
whakamāori	fˌakamaːˈɔri
paunga	paˈu"ŋa
Hoani	hɔˈani
maroke	marˈɔke
wharau	farˈau"
pāngia	paːŋˈia
pakoko	pakˈɔkɔ
not	nˈɔt
rerenga	rerˈeŋa
Rongomaurikura	rˌɔŋɔmˌau"rikˈu"ra
puea	pu"ˈea
Uniana	ˌu"niˈana
Toihau	to͡ɪhˈau"
whakawahia	fˌakawahˈia
Hokianga	hˌɔkiˈaŋa
tuanui	tˌu"anˈu"i
Mahi	mˈahi
whakamāramatanga	fˌakamˌaːramatˈaŋa
Poroumata	pˌɔrou"mˈata
tauwhitiwhitinga	tˌau"fˌitifitˈiŋa
whakataua	fˌakataˈu"a
rūri	rˈu"ːri
Tarahiti	tˌarahˈiti
au	ˈau"
Mark	mˈark
Wherowhero	fˌerɔfˈerɔ
tāmure	taːmˈu"re
iana	iˈana
huatau	hˌu"atˈau"
Koutou	kˌou"tˈou"
whakaakona	fˌakaakˈɔna
whakarawe	fˌakarˈawe
ākina	aːkˈina
waahana	wˌaahˈana
mātāwaka	mˌaːtaːwˈaka
Raumati	rˌau"mˈati
kapua	kapˈu"a
ūnga	ˈu"ːŋa
kēmu	kˈeːmu"
kori	kˈɔri
tëtahi	tetˈahi
Rikiriki	rˌikirˈiki
Rūnanga	ru"ːnˈaŋa
mārama	maːrˈama
konganuku	kˌɔŋanˈu"ku"
hāereere	hˌaːereˈere
nau	nˈau"
hangarua	hˌaŋarˈu"a
hēoi	hˈeːo͡ɪ
hongere	hɔŋˈere
Tūroa	tu"ːrˈɔa
rōpere	rɔːpˈere
tohutohu	tˌɔhu"tˈɔhu"
Moana	mɔˈana
horahanga	hˌɔrahˈaŋa
whakamoea	fˌakamwˈea
hari	hˈari
Penei	penˈei
rangatiratanga	rˌaŋatˌiratˈaŋa
Tipa	tˈipa
Hira	hˈira
Aha	ˈaha
pukana	pu"kˈana
wheketere	fˌeketˈere
tuarima	tˌu"arˈima
mira	mˈira
Huanga	hu"ˈaŋa
hiahia	hˌiahˈia
rimurimu	rˌimu"rˈimu"
tatari	tatˈari
pūtahi	pu"ːtˈahi
Tahuri	tahˈu"ri
kui	kˈu"i
tītaha	tiːtˈaha
Wehea	wehˈea
Ōtaki	ɔːtˈaki
nehera	nehˈera
Rakiura	rˌakiˈu"ra
whia	fˈia
manaaki	mˌanaˈaki
waimarie	wˌa͡ɪmarˈie
arai	ˈara͡ɪ
Tōna	tˈɔːna
Kotahitanga	kˌɔtahitˈaŋa
kiromita	kˌirɔmˈita
Reanga	reˈaŋa
korikori	kˌɔrikˈɔri
maramatanga	mˌaramatˈaŋa
akuanei	ˌaku"anˈei
rimurapa	rˌimu"rˈapa
or	ˈɔr
ata	ˈata
Karipori	kˌaripˈɔri
Whakatāne	fˌakatˈaːne
rōrahi	rɔːrˈahi
henemita	hˌenemˈita
pēne	pˈeːne
rārangi	raːrˈaŋi
Raka	rˈaka
Tairāwhiti	tˌa͡ɪraːfˈiti
wiriwiri	wˌiriwˈiri
whiriwhiri	fˌirifˈiri
ihupuku	ˌihu"pˈu"ku"
u	ˈu"
rätou	ratˈou"
Moehau	mwehˈau"
Kawana	kawˈana
mahea	mahˈea
Pīra	pˈiːra
iahiko	ˌiahˈikɔ
taurangi	tˌau"rˈaŋi
kingi	kˈiŋi
nāwai	nˈaːwa͡ɪ
Awa	ˈawa
Ahumahi	ˌahu"mˈahi
hoariri	hˌɔarˈiri
Hakihea	hˌakihˈea
pure	pˈu"re
putiputi	pˌu"tipˈu"ti
para	pˈara
rāhuitia	rˌaːhu"itˈia
Panuitia	pˌanu"itˈia
pepe	pˈepe
taringa	tarˈiŋa
Kirihi	kirˈihi
Heamana	hˌeamˈana
kōhauhau	kˌɔːhau"hˈau"
mahora	mahˈɔra
panoni	panˈɔni
auare	ˌau"ˈare
Ratapu	ratˈapu"
tēneti	teːnˈeti
Koira	kˈo͡ɪra
mita	mˈita
Hikareia	hˌikareˈia
tuku	tˈu"ku"
tiakareti	tˌiakarˈeti
hāpaitia	hˌaːpa͡ɪtˈia
Kōrero	kˈɔːrerˌɔ
whakatutukihia	fˌakatˌu"tu"kihˈia
weropepahia	wˌerɔpˌepahˈia
koukou	kˌou"kˈou"
hourua	hˌou"rˈu"a
Tātaki	taːtˈaki
whakatō	fakˈatɔː
oati	ɔˈati
wahia	wahˈia
waihoe	wˈa͡ɪhwe
pakupaku	pˌaku"pˈaku"
Rangihoua	rˌaŋihoˈu"a
tuaiwi	tu"ˈa͡ɪwi
tēhea	teːhˈea
Kawau	kawˈau"
tāke	tˈaːke
pēhia	peːhˈia
katinga	katˈiŋa
Roopū	rɔˈɔpu"ː
amuamu	ˌamu"ˈamu"
Taika	tˈa͡ɪka
iramutu	ˌiramˈu"tu"
onepū	ɔnˈepu"ː
tūwatawata	tˌu"ːwatawˈata
reo	rˈeɔ
whakapotonga	fˌakapɔtˈɔŋa
tamāhine	tˌamaːhˈine
uhi	ˈu"hi
whakamanatia	fˌakamˌanatˈia
māpere	maːpˈere
hautipua	hˌau"tipˈu"a
kaiarahi	kˌa͡ɪarˈahi
hirahira	hˌirahˈira
Tokaanu	tˌɔkaˈanu"
tü	tˈu"
Point	pˈo͡ɪnt
ropu	rˈɔpu"
tahumaero	tˌahu"mˈa͡ɪrɔ
marama	marˈama
tāhei	taːhˈei
pūāhua	pˌu"ːaːhˈu"a
tuturu	tu"tˈu"ru"
Koianei	kˌo͡ɪanˈei
Ture	tˈu"re
Porou	pɔrˈou"
manene	manˈene
pīrangitia	pˌiːraŋitˈia
maro	mˈarɔ
mätou	matˈou"
Irirangi	ˌirirˈaŋi
pirihi	pirˈihi
i	ˈi
tarukino	tˌaru"kˈinɔ
whakamōhio	fˌakamɔːhˈiɔ
tūranga	tu"ːrˈaŋa
tokowaru	tˌɔkɔwˈaru"
arongia	ˌarɔŋˈia
whaitua	fa͡ɪtˈu"a
petihana	pˌetihˈana
mākū	mˈaːku"ː
hōmai	hˈɔːma͡ɪ
ōkiko	ɔːkˈikɔ
Pau	pˈau"
Pitopito	pˌitɔpˈitɔ
ārahina	ˌaːrahˈina
Mane	mˈane
whakarōpū	fˌakarˈɔːpu"ː
mania	manˈia
ruihi	ru"ˈihi
Haumaru	hˌau"mˈaru"
Mua	mˈu"a
whakapaipai	fˌakapˈa͡ɪpa͡ɪ
taona	tˈa͡ʊna
whakarongo	fˌakarˈɔŋɔ
matataunga	mˌatataˈu"ŋa
huanui	hˌu"anˈu"i
hahae	hˈaha͡ɪ
poti	pˈɔti
pūata	pu"ːˈata
Tari	tˈari
Here	hˈere
whakarahi	fˌakarˈahi
kahurangi	kˌahu"rˈaŋi
Whakapiki	fˌakapˈiki
rārangitanga	rˌaːraŋitˈaŋa
mataku	matˈaku"
Taiwhenua	tˌa͡ɪfenˈu"a
tākai	tˈaːka͡ɪ
tūpāpaku	tˌu"ːpaːpˈaku"
ahua	ahˈu"a
teretere	tˌeretˈere
taupori	tˌau"pˈɔri
Uawa	u"ˈawa
whakatauākī	fˌakatˌau"ˈaːkiː
karahipi	kˌarahˈipi
Arataki	ˌaratˈaki
pakanga	pakˈaŋa
whakareri	fˌakarˈeri
Ngāpuhi	ŋaːpˈu"hi
āraia	aːrˈa͡ɪa
rongopai	rɔŋˈɔpa͡ɪ
pono	pˈɔnɔ
uri	ˈu"ri
taura	taˈu"ra
Kaiwhakarite	kˌa͡ɪfakarˈite
tapuwae	tapˈu"wa͡ɪ
rapa	rˈapa
reti	rˈeti
Whakawhitinga	fˌakafitˈiŋa
koroputa	kˌɔrɔpˈu"ta
ākonga	aːkˈɔŋa
ērā	ˈeːraː
Poroporoaki	pˌɔrɔpˌɔrɔˈaki
Paeko	pˈa͡ɪkɔ
Mita	mˈita
Whatahoro	fˌatahˈɔrɔ
ori	ˈɔri
whakaongaonga	fˌaka͡ʊŋˈa͡ʊŋa
Ingarani	ˌiŋarˈani
ngaa	ŋˈaa
maunga	maˈu"ŋa
hāhi	hˈaːhi
Whakamahia	fˌakamahˈia
whakapaua	fˌakapaˈu"a
tamata	tamˈata
aorangi	a͡ʊrˈaŋi
maori	mˈa͡ʊri
Au	ˈau"
whakapākehātia	fˌakapˌaːkehaːtˈia
whāngote	faːŋˈɔte
huripoki	hˌu"ripˈɔki
ārahitanga	ˌaːrahitˈaŋa
Tinana	tinˈana
whakarihariha	fˌakarˌiharˈiha
whakapai	fakˈapa͡ɪ
kaipāho	ka͡ɪpˈaːhɔ
rāngai	rˈaːŋa͡ɪ
hori	hˈɔri
muri	mˈu"ri
Whangaroa	fˌaŋarˈɔa
Awherika	ˌaferˈika
tiwai	tˈiwa͡ɪ
whakaū	fakˈau"ː
kuputuhi	kˌu"pu"tˈu"hi
tonuhia	tˌɔnu"hˈia
Raupapahia	rˌau"pˌapahˈia
murunga	mu"rˈu"ŋa
tautō	taˈu"tɔː
Puritia	pˌu"ritˈia
Tokowaru	tˌɔkɔwˈaru"
Rangitāne	rˌaŋitˈaːne
paitia	pa͡ɪtˈia
whakarewaina	fˌakarewˈa͡ɪna
pūeru	pu"ːˈeru"
kaiwhaiwhai	ka͡ɪfˈa͡ɪfa͡ɪ
rara	rˈara
whakatu	fakˈatu"
Tiamana	tˌiamˈana
hihiko	hihˈikɔ
puoru	pu"ˈɔru"
Tahua	tahˈu"a
whakatipuria	fˌakatˌipu"rˈia
mautohe	mˌau"tˈɔhe
koru	kˈɔru"
whakaara	fˌakaˈara
Katia	katˈia
peita	peˈita
rēhitatia	rˌeːhitatˈia
Ngā	ŋˈaː
hikitia	hˌikitˈia
mamao	mˈama͡ʊ
ohaoha	ɔhˈa͡ʊha
hautoru	hˌau"tˈɔru"
whakato	fakˈatɔ
whakarei	fˌakarˈei
paerua	pa͡ɪrˈu"a
tahā	tˈahaː
whakatenatenahia	fˌakatˌenatˌenahˈia
Mahinga	mahˈiŋa
Tua	tˈu"a
Tatū	tˈatu"ː
Tuarua	tˌu"arˈu"a
maatauranga	mˌaatˌau"rˈaŋa
papaka	papˈaka
āpiha	aːpˈiha
kiko	kˈikɔ
Tāngia	taːŋˈia
tainga	tˈa͡ɪŋa
Whakaingoatia	fˌaka͡ɪŋˌɔatˈia
whakarangatira	fˌakarˌaŋatˈira
inanahi	ˌinanˈahi
māwhitiwhiti	mˌaːfitifˈiti
kāpene	kaːpˈene
Pai	pˈa͡ɪ
Tāpiri	taːpˈiri
tuhipoka	tˌu"hipˈɔka
mahaki	mahˈaki
whakahau	fˌakahˈau"
whakapae	fakˈapa͡ɪ
Kirihimete	kˌirihimˈete
Tonu	tˈɔnu"
honoa	hɔnˈɔa
whano	fˈanɔ
ke	kˈe
tapu	tˈapu"
Atu	ˈatu"
patu	pˈatu"
Tarawera	tˌarawˈera
takatāpui	tˌakataːpˈu"i
Te	tˈe
koroke	kɔrˈɔke
mahana	mahˈana
poua	poˈu"a
Taki	tˈaki
hiahiatia	hˌiahˌiatˈia
whutupōro	fˌu"tu"pˈɔːrɔ
tutua	tu"tˈu"a
Hokinga	hɔkˈiŋa
Pani	pˈani
Toku	tˈɔku"
whakaranua	fˌakaranˈu"a
kakaho	kakˈahɔ
hīanga	hiːˈaŋa
mōhiohio	mˌɔːhiɔhˈiɔ
Tērā	tˈeːraː
Kōhanga	kɔːhˈaŋa
karakiatia	kˌarakˌiatˈia
arohia	ˌarɔhˈia
kaituhituhi	kˌa͡ɪtu"hitˈu"hi
kakau	kakˈau"
hua	hˈu"a
uhia	u"hˈia
tohe	tˈɔhe
Rauropi	rˌau"rˈɔpi
Kaumatua	kˌau"matˈu"a
Rakera	rakˈera
Whare	fˈare
Manu	mˈanu"
hiako	hiˈakɔ
Nepia	nepˈia
Hoko	hˈɔkɔ
mako	mˈakɔ
Tui	tˈu"i
Ano	ˈanɔ
Kohia	kɔhˈia
taatau	tˌaatˈau"
Mahaki	mahˈaki
haka	hˈaka
whakaputa	fˌakapˈu"ta
whakapiri	fˌakapˈiri
pahūtanga	pˌahu"ːtˈaŋa
kōtahi	kɔːtˈahi
huaketo	hˌu"akˈetɔ
hopu	hˈɔpu"
rauemi	rˌau"ˈemi
whakamataku	fˌakamatˈaku"
pokapu	pɔkˈapu"
tuhituhia	tˌu"hitu"hˈia
tōrunga	tɔːrˈu"ŋa
rawaka	rawˈaka
whakarerekētanga	fˌakarˌerekeːtˈaŋa
koroua	kˌɔroˈu"a
tope	tˈɔpe
ahuareka	ˌahu"arˈeka
p	p
Tatauranga	tˌatau"rˈaŋa
mōkihi	mɔːkˈihi
whakamaheretia	fˌakamˌaheretˈia
whakaurua	fˌakau"rˈu"a
riha	rˈiha
Tāmaki	taːmˈaki
maihea	ma͡ɪhˈea
ii	ˈii
Ararau	ˌararˈau"
Ha	hˈa
whakawhanakehia	fˌakafˌanakehˈia
haruru	harˈu"ru"
Whakawhitiwhiti	fˌakafˌitifˈiti
ramarama	rˌamarˈama
Hari	hˈari
whakakotahitia	fˌakakˌɔtahitˈia
hopua	hɔpˈu"a
whānako	faːnˈakɔ
Waimate	wa͡ɪmˈate
To	tˈɔ
Katerina	kˌaterˈina
whakamatau	fˌakamatˈau"
kaiparau	kˌa͡ɪparˈau"
haumi	haˈu"mi
kanohi	kanˈɔhi
whakamahere	fˌakamahˈere
aronui	ˌarɔnˈu"i
Mata	mˈata
Karanga	karˈaŋa
kaumoana	kˌau"mɔˈana
tūpuhi	tu"ːpˈu"hi
Hawaii	hawˈa͡ɪi
piringa	pirˈiŋa
kawea	kawˈea
hoki	hˈɔki
kaiwhakatakoto	kˌa͡ɪfakˌatakˈɔtɔ
whakatauira	fˌakatˌau"ˈira
haukū	haˈu"ku"ː
Whakatairitea	fˌakatˌa͡ɪritˈea
whakatangihia	fˌakatˌaŋihˈia
Hēkeretari	hˌeːkeretˈari
raruraru	ɹˈaɹuɹˌaɹu
Matahi	matˈahi
mokete	mɔkˈete
karakia	kˌarakˈia
akona	akˈɔna
Kim	kˈim
whawhaitanga	fˌafa͡ɪtˈaŋa
kaiāwhina	kˌa͡ɪaːfˈina
kawau	kawˈau"
Whakaako	fˌakaˈakɔ
Rukuwai	ru"kˈu"wa͡ɪ
Maunga	maˈu"ŋa
Tr	tr
Take	tˈake
runanga	ru"nˈaŋa
pari	pˈari
kāhore	kaːhˈɔre
ekore	ekˈɔre
pukapukaNgā	pˌu"kapˈu"kaŋˈaː
whakamaherehere	fˌakamˌaherehˈere
panuitia	pˌanu"itˈia
Whakaaro	fˌakaˈarɔ
pupuhi	pu"pˈu"hi
pēhitanga	pˌeːhitˈaŋa
ripo	rˈipɔ
waipiro	wa͡ɪpˈirɔ
kaiwhakatairanga	kˌa͡ɪfakˌata͡ɪrˈaŋa
mātaki	maːtˈaki
Whiro	fˈirɔ
taurewa	tˌau"rˈewa
whakamārama	fˌakamaːrˈama
konā	kˈɔnaː
Porowini	pˌɔrɔwˈini
ā	ˈaː
tēina	teːˈina
tūpono	tu"ːpˈɔnɔ
Kiwa	kˈiwa
mätauranga	mˌatau"rˈaŋa
rarua	rarˈu"a
manomanotia	mˌanɔmˌanɔtˈia
wīra	wˈiːra
rongohia	rˌɔŋɔhˈia
mei	mˈei
rōnaki	rɔːnˈaki
tēra	tˈeːra
kaikauwhau	kˌa͡ɪkau"fˈau"
Komene	kɔmˈene
Rūaumoko	rˌu"ːau"mˈɔkɔ
whaiti	fˈa͡ɪti
whakamatautau	fˌakamˌatau"tˈau"
NIWA	nˈiwa
hautaka	hˌau"tˈaka
pūmotu	pu"ːmˈɔtu"
motuhenga	mˌɔtu"hˈeŋa
Reri	rˈeri
tāwharau	tˌaːfarˈau"
kaihaka	ka͡ɪhˈaka
ngongo	ŋˈɔŋɔ
Tohutoro	tˌɔhu"tˈɔrɔ
Kare	kˈare
hoia	hˈo͡ɪa
Marae	mˈara͡ɪ
pūoru	pu"ːˈɔru"
Moemiti	mwemˈiti
Kuini	ku"ˈini
Whanui	fanˈu"i
Tāhei	taːhˈei
Heretaunga	hˌeretaˈu"ŋa
aue	aˈu"e
raua	raˈu"a
Manawa	manˈawa
Matiu	matˈiu"
parenga	parˈeŋa
Karaitiana	kˌara͡ɪtiˈana
Haumiatiketike	hˌau"mˌiatˌiketˈike
Momo	mˈɔmɔ
Waihi	wˈa͡ɪhi
tūhurangia	tˌu"ːhu"raŋˈia
kakahi	kakˈahi
piunga	piˈu"ŋa
maina	mˈa͡ɪna
ronaki	rɔnˈaki
taima	tˈa͡ɪma
whakamahinga	fˌakamahˈiŋa
kaiwhakarite	kˌa͡ɪfakarˈite
rōpinepine	rˌɔːpinepˈine
Mea	mˈea
penei	penˈei
Pāho	pˈaːhɔ
taiopenga	tˌa͡ɪɔpˈeŋa
mo	mˈɔ
kapu	kˈapu"
Kara	kˈara
ru	rˈu"
wāhi	wˈaːhi
Muturangi	mˌu"tu"rˈaŋi
whanga	fˈaŋa
kōtui	kɔːtˈu"i
poapoa	pˌɔapˈɔa
Piki	pˈiki
kukuti	ku"kˈu"ti
mm	mm
hōpara	hɔːpˈara
takirua	tˌakirˈu"a
miniti	minˈiti
waikura	wa͡ɪkˈu"ra
kaiwhakaako	kˌa͡ɪfakaˈakɔ
rironga	rirˈɔŋa
aroha	arˈɔha
tuatara	tˌu"atˈara
Rongopai	rɔŋˈɔpa͡ɪ
waikano	wa͡ɪkˈanɔ
ture	tˈu"re
Whanake	fanˈake
taku	tˈaku"
Ira	ˈira
titi	tˈiti
hunuku	hu"nˈu"ku"
her	hˈer
whainga	fˈa͡ɪŋa
Opotiki	ˌɔpɔtˈiki
māhanga	maːhˈaŋa
hōu	hˈɔːu"
takatakahi	tˌakatakˈahi
Pomare	pɔmˈare
roia	rˈo͡ɪa
kaimātai	ka͡ɪmˈaːta͡ɪ
pakiwaitara	pˌakiwa͡ɪtˈara
maumaharatanga	mˌau"mˌaharatˈaŋa
taonga	tˈa͡ʊŋa
whakama	fakˈama
papamahi	pˌapamˈahi
Manakotanga	mˌanakɔtˈaŋa
Takiwā	takˈiwaː
Nōku	nˈɔːku"
Paetahi	pa͡ɪtˈahi
mārie	maːrˈie
e	ˈe
Koirā	kˈo͡ɪraː
Poutini	pˌou"tˈini
Paraone	parˈa͡ʊne
uku	ˈu"ku"
Me	mˈe
taumanu	tˌau"mˈanu"
huti	hˈu"ti
PōtiNgāwari	pˈɔːtiŋaːwˈari
arapū	arˈapu"ː
orokohanga	ˌɔrɔkɔhˈaŋa
māhana	maːhˈana
Itari	itˈari
Tā	tˈaː
uiuitanga	ˌu"iˌu"itˈaŋa
Kaiwhakawā	kˌa͡ɪfakˈawaː
Tāmakimakaurau	tˌaːmakˌimakˌau"rˈau"
wa	wˈa
Whitu	fˈitu"
raupatutia	rˌau"pˌatu"tˈia
ngutu	ŋˈu"tu"
Whakangungu	fˌakaŋˈu"ŋu"
okioki	ˌɔkiˈɔki
Paerau	pa͡ɪrˈau"
pahemo	pahˈemɔ
tumuaki	tˌu"mu"ˈaki
tohetohe	tˌɔhetˈɔhe
whārua	faːrˈu"a
puku	pˈu"ku"
ekea	ekˈea
rangi	rˈaŋi
pātara	paːtˈara
whākōkī	faːkˈɔːkiː
kuraina	ku"rˈa͡ɪna
Iho	ˈihɔ
Hinewai	hinˈewa͡ɪ
manomita	mˌanɔmˈita
Kei	kˈei
momoho	mɔmˈɔhɔ
ātanga	aːtˈaŋa
āputa	aːpˈu"ta
matemateaone	mˌatemˌateˈa͡ʊne
Taihoa	ta͡ɪhˈɔa
Ahupūngao	ˌahu"pˈu"ːŋa͡ʊ
paihere	pa͡ɪhˈere
Whakamārama	fˌakamaːrˈama
TKKM	tkkm
Tuna	tˈu"na
taniwha	tanˈifa
nou	nˈou"
Hikitia	hˌikitˈia
whakamutu	fˌakamˈu"tu"
heketea	hˌeketˈea
Rupe	rˈu"pe
kaitirotiro	kˌa͡ɪtirɔtˈirɔ
Kaati	kaˈati
Tiki	tˈiki
Huia	hu"ˈia
rohe	rˈɔhe
tuaka	tu"ˈaka
Ruanui	rˌu"anˈu"i
hokohoko	hˌɔkɔhˈɔkɔ
Ngaruawahia	ŋˌaru"ˌawahˈia
Kawhia	kafˈia
Korokī	kɔrˈɔkiː
Ahurei	ˌahu"rˈei
arowhai	arˈɔfa͡ɪ
nukunuku	nˌu"ku"nˈu"ku"
rumaki	ru"mˈaki
Kaimahi	ka͡ɪmˈahi
Kuri	kˈu"ri
Tauanga	tˌau"ˈaŋa
pahū	pˈahu"ː
mākete	maːkˈete
pēpi	pˈeːpi
Mō	mˈɔː
hikohiko	hˌikɔhˈikɔ
Tahiti	tahˈiti
whakakeke	fˌakakˈeke
taimaha	ta͡ɪmˈaha
kaieke	ka͡ɪˈeke
Taiohi	ta͡ɪˈɔhi
oku	ˈɔku"
whā	fˈaː
matakuikui	mˌatakˌu"ikˈu"i
ngaru	ŋˈaru"
arotau	ˌarɔtˈau"
Tāne	tˈaːne
whakamomori	fˌakamɔmˈɔri
whakamohio	fˌakamɔhˈiɔ
whara	fˈara
with	wˈith
Poutāpeta	pˌou"taːpˈeta
tīni	tˈiːni
whakawhāitihia	fˌakafˌaːitihˈia
waihotia	wˌa͡ɪhɔtˈia
Kaitātaki	kˌa͡ɪtaːtˈaki
kōingo	kɔːˈiŋɔ
km	km
Kawea	kawˈea
ERO	ˈerɔ
wetekina	wˌetekˈina
pikau	pikˈau"
Tākuta	taːkˈu"ta
Mahuru	mahˈu"ru"
Hāre	hˈaːre
Mākarini	mˌaːkarˈini
hotoke	hɔtˈɔke
ngoikoretanga	ŋˌo͡ɪkɔretˈaŋa
wani	wˈani
muramura	mˌu"ramˈu"ra
kape	kˈape
whakangungu	fˌakaŋˈu"ŋu"
Rongowhakaata	rˌɔŋɔfˌakaˈata
oropuare	ˌɔrɔpu"ˈare
Teitei	tˌeitˈei
pāhekeheke	pˌaːhekehˈeke
ura	ˈu"ra
kanae	kˈana͡ɪ
Paraire	parˈa͡ɪre
whakamanatanga	fˌakamˌanatˈaŋa
hei	hˈei
Nene	nˈene
Hinewhaitiri	hˌinefa͡ɪtˈiri
tōtā	tˈɔːtaː
uma	ˈu"ma
Tokerau	tˌɔkerˈau"
hōhonutanga	hˌɔːhɔnu"tˈaŋa
hū	hˈu"ː
tongi	tˈɔŋi
mauria	mˌau"rˈia
Mā	mˈaː
taiwhenua	tˌa͡ɪfenˈu"a
Hon	hˈɔn
tāporowhita	tˌaːpɔrɔfˈita
Ake	ˈake
Ngahiwi	ŋahˈiwi
kawenata	kˌawenˈata
patai	pˈata͡ɪ
rahinga	rahˈiŋa
Poronihana	pˌɔrɔnihˈana
He	hˈe
kaaore	kaˈa͡ʊre
orooro	ˌɔrɔˈɔrɔ
pūhou	pu"ːhˈou"
a	ˈa
inea	inˈea
Takoto	takˈɔtɔ
kaipāmu	ka͡ɪpˈaːmu"
whakatakotoria	fˌakatˌakɔtɔrˈia
Ngatiporou	ŋˌatipɔrˈou"
paihana	pa͡ɪhˈana
Tūtarawānanga	tˌu"ːtarˌawaːnˈaŋa
Hauāuru	hˌau"aːˈu"ru"
Wharekura	fˌarekˈu"ra
Port	pˈɔrt
rangirua	rˌaŋirˈu"a
hēki	hˈeːki
miharo	mihˈarɔ
kē	kˈeː
kaho	kˈahɔ
nuitanga	nˌu"itˈaŋa
Waitangi	wa͡ɪtˈaŋi
Matariki	mˌatarˈiki
kapa	kˈapa
whakahou	fˌakahˈou"
popo	pˈɔpɔ
Hurae	hˈu"ra͡ɪ
Manuka	manˈu"ka
haehaea	ha͡ɪhˈa͡ɪa
mekemeke	mˌekemˈeke
rangona	raŋˈɔna
taumau	tˌau"mˈau"
Whakatairanga	fˌakata͡ɪrˈaŋa
kaiwhiwhi	ka͡ɪfˈifi
nuitia	nˌu"itˈia
kōrari	kɔːrˈari
kupenga	ku"pˈeŋa
motika	mɔtˈika
hōanga	hɔːˈaŋa
Ngoi	ŋˈo͡ɪ
aha	ˈaha
haea	hˈa͡ɪa
