lô cốt	lo˧˧kok͡p˦˥
chi cấp	ci˧˧kɤ̆p˦˥
ôm bầu mang tiếng thị phi	om˧˧bɤ̆w˧˨maŋ˧˧tiəŋ˦˥tʰi˨˩˨fi˧˧
đào nhiệm	daw˧˨ɲim˨˩˨
niết bàn	niək˦˥baŋ˧˨
pa-đờ-xuy	pa˧˧-dɤ˧˨-swi˧˧
suý	ʂwi˦˥
khẽ chứ	xɛ˨˩˦cɯ˦˥
tả tình	ta˨˩˦tin˧˨
lưu hành	lɯw˧˧han˧˨
gió mưa	jɔ˦˥mɯə˧˧
cùi	kuj˧˨
vượn	jɯəŋ˨˩˨
khai sinh	xaj˧˧ʂin˧˧
rồng mây gặp hội	ʐoŋ͡m˧˨mɤ̆j˧˧ɣăp˨˩˨hoj˨˩˨
mạch động	mat˨˩˨doŋ͡m˨˩˨
tác yêu tác quái	tak˦˥iəw˧˧tak˦˥waj˦˥
mất vía kinh hồn	mɤ̆k˦˥jiə˦˥kin˧˧hoŋ͡m˧˨
xã	sa˨˩˦
dữ tợn	jɯ˨˩˦tɤŋ˨˩˨
vương sự	jɯəŋ˧˧ʂɯ˨˩˨
thạch quới	tʰat˨˩˨wɤj˦˥
tái nhiễm	taj˦˥ɲim˨˩˦
khúc luyện	xuk͡p˦˥lwiəŋ˨˩˨
đồng chất	doŋ͡m˧˨cɤ̆k˦˥
thái mỹ	tʰaj˦˥mi˨˩˦
ai khảo mà xưng	aj˧˧xaw˨˩˦ma˧˨sɯŋ˧˧
hỏng ăn	hɔŋ͡m˨˩˦ăŋ˧˧
lòng thành	lɔŋ͡m˧˨tʰan˧˨
cây thân thảo	kɤ̆j˧˧tʰɤ̆ŋ˧˧tʰaw˨˩˦
vú vê	ju˦˥je˧˧
chủ nghĩa khách quan	cu˨˩˦ŋiə˨˩˦xat˦˥waŋ˧˧
vừa ăn cướp vừa la làng	jɯə˧˨ăŋ˧˧kɯp˦˥jɯə˧˨la˧˧laŋ˧˨
ba	ba˧˧
mở thầu	mɤ˨˩˦tʰɤ̆w˧˨
dưa leo	jɯə˧˧leo˧˧
xệch xoạc	set˨˩˨swak˨˩˨
cứu thế	kɯw˦˥tʰe˦˥
chậm đông	cɤ̆m˨˩˨doŋ͡m˧˧
thành quả	tʰan˧˨wa˨˩˦
vắng bặt	jăŋ˦˥băk˨˩˨
sun-phát	ʂuŋ͡m˧˧-fat˦˥
cột cây số	kok͡p˨˩˨kɤ̆j˧˧ʂo˦˥
sử liệu	ʂɯ˨˩˦liəw˨˩˨
vị lợi chủ nghĩa	ji˨˩˨lɤj˨˩˨cu˨˩˦ŋiə˨˩˦
đồng thoà	doŋ͡m˧˨tʰwa˧˨
trích giảng	ʈit˦˥jaŋ˨˩˦
giá trị trao đổi	ja˦˥ʈi˨˩˨ʈaw˧˧doj˨˩˦
sổ hưu	ʂo˨˩˦hɯw˧˧
tròn như hạt mít	ʈɔŋ͡m˧˨ɲɯ˧˧hat˨˩˨mit˦˥
hàng hoá	haŋ˧˨hwa˦˥
nắm nắm nớp nớp	năm˦˥năm˦˥nɤp˦˥nɤp˦˥
lái buôn	laj˦˥buəŋ˧˧
nhạt phấn phai hương	ɲat˨˩˨fɤ̆ŋ˦˥faj˧˧hɯəŋ˧˧
sột sệt	ʂok͡p˨˩˨ʂet˨˩˨
gạo châu củi quế	ɣaw˨˩˨cɤ̆w˧˧kuj˨˩˦we˦˥
thỏa hiệp	tʰwa˨˩˦hip˨˩˨
võ đài	jɔ˨˩˦daj˧˨
mắt cá	măk˦˥ka˦˥
trờ	ʈɤ˧˨
đại bạch	daj˨˩˨bat˨˩˨
đấu lí	dɤ̆w˦˥li˦˥
cổ ngạn	ko˨˩˦ŋaŋ˨˩˨
bình nhật	bin˧˨ɲɤ̆k˨˩˨
thiết giáp hạm	tʰiək˦˥jap˦˥ham˨˩˨
phí	fi˦˥
bán nguyên âm	baŋ˦˥ŋwiəŋ˧˧ɤ̆m˧˧
quỳnh nghĩa	win˧˨ŋiə˨˩˦
mặt cầu	măk˨˩˨kɤ̆w˧˨
cát chánh	kat˦˥can˦˥
nhiễu	ɲiəw˨˩˦
lệnh lang	len˨˩˨laŋ˧˧
nhạo báng	ɲaw˨˩˨baŋ˦˥
mát gan mát ruột	mat˦˥ɣaŋ˧˧mat˦˥ʐuək˨˩˨
chỉ tiêu	ci˨˩˦tiəw˧˧
trùng phùng	ʈuŋ͡m˧˨fuŋ͡m˧˨
li kì	li˧˧ki˧˨
a hành ác tỏi	a˧˧han˧˨ak˦˥tɔj˨˩˦
tiền tuất	tiəŋ˧˨twɤ̆k˦˥
tiềm thuỷ đĩnh	tim˧˨tʰwi˨˩˦din˨˩˦
lẫm liệt	lɤ̆m˨˩˦liək˨˩˨
quá đa	wa˦˥da˧˧
con mẹ đẻ con con	kɔŋ͡m˧˧mɛ˨˩˨dɛ˨˩˦kɔŋ͡m˧˧kɔŋ͡m˧˧
xổ	so˨˩˦
hằm hè	hăm˧˨hɛ˧˨
tình nguyện	tin˧˨ŋwiəŋ˨˩˨
ít nữa	it˦˥nɯə˨˩˦
vỡ da	jɤ˨˩˦ja˧˧
mạnh được yếu thua	man˨˩˨dɯək˨˩˨iəw˦˥tʰuə˧˧
khoan hoà chủ nghĩa	xwaŋ˧˧hwa˧˨cu˨˩˦ŋiə˨˩˦
cuồng nộ	kuəŋ˧˨no˨˩˨
lật đổ	lɤ̆k˨˩˨do˨˩˦
quấn quít	wɤ̆ŋ˦˥wit˦˥
tương kế	tɯəŋ˧˧ke˦˥
mít-tinh	mit˦˥-tin˧˧
cửa rộng lầu cao	kɯə˨˩˦ʐoŋ͡m˨˩˨lɤ̆w˧˨kaw˧˧
mặt trời gác núi	măk˨˩˨ʈɤj˧˨ɣak˦˥nuj˦˥
nhổ	ɲo˨˩˦
yêu hoa nên phải vì cành	iəw˧˧hwa˧˧nen˧˧faj˨˩˦ji˧˨kan˧˨
mít ráo	mit˦˥ʐaw˦˥
dung dị	juŋ͡m˧˧ji˨˩˨
thời cơ	tʰɤj˧˨kɤ˧˧
trực giác	ʈɯk˨˩˨jak˦˥
héc	hɛk˦˥
ngự sử đài	ŋɯ˨˩˨ʂɯ˨˩˦daj˧˨
hà châu	ha˧˨cɤ̆w˧˧
báo hàng ngày	baw˦˥haŋ˧˨ŋăj˧˨
rau tinh tú	ʐăw˧˧tin˧˧tu˦˥
điều chỉnh dòng chảy	diəw˧˨cin˨˩˦jɔŋ͡m˧˨căj˨˩˦
nỡ lòng nào	nɤ˨˩˦lɔŋ͡m˧˨naw˧˨
môi với răng	moj˧˧jɤj˦˥ʐăŋ˧˧
nói dựa	nɔj˦˥jɯə˨˩˨
lò đứng	lɔ˧˨dɯŋ˦˥
cầm đài	kɤ̆m˧˨daj˧˨
tím	tim˦˥
phẩm hàm	fɤ̆m˨˩˦ham˧˨
nhục dục	ɲuk͡p˨˩˨juk͡p˨˩˨
một kín mười hở	mok͡p˨˩˨kin˦˥mɯəj˧˨hɤ˨˩˦
gái trinh	ɣaj˦˥ʈin˧˧
hạt gạo cắn đôi	hat˨˩˨ɣaw˨˩˨kăŋ˦˥doj˧˧
bóng chim tăm cá	bɔŋ͡m˦˥cim˧˧tăm˧˧ka˦˥
lũ lĩ	lu˨˩˦li˨˩˦
vẹn toàn	jɛŋ˨˩˨twaŋ˧˨
chín nhũn	cin˦˥ɲuŋ͡m˨˩˦
quẻ âm dương	wɛ˨˩˦ɤ̆m˧˧jɯəŋ˧˧
trọng đông	ʈɔŋ͡m˨˩˨doŋ͡m˧˧
thấp lè tè	tʰɤ̆p˦˥lɛ˧˨tɛ˧˨
diễu hành	jiəw˨˩˦han˧˨
lành mạnh	lan˧˨man˨˩˨
đại hồng cầu	daj˨˩˨hoŋ͡m˧˨kɤ̆w˧˨
đào nguyên	daw˧˨ŋwiəŋ˧˧
quỳnh xuân	win˧˨swɤ̆ŋ˧˧
tít-xuy	tit˦˥-swi˧˧
bếp lò	bep˦˥lɔ˧˨
xúc hướng động	suk͡p˦˥hɯəŋ˦˥doŋ͡m˨˩˨
hội đồng chính phủ	hoj˨˩˨doŋ͡m˧˨cin˦˥fu˨˩˦
trùi trũi	ʈuj˧˨ʈuj˨˩˦
cần giuộc	kɤ̆ŋ˧˨juək˨˩˨
chết không ai vuốt mắt	cet˦˥xoŋ͡m˧˧aj˧˧juək˦˥măk˦˥
con khó, có lòng	kɔŋ͡m˧˧xɔ˦˥kɔ˦˥lɔŋ͡m˧˨
bâu bíu	bɤ̆w˧˧biw˦˥
cà là gỉ	ka˧˨la˧˨ɣi˨˩˦
hàn	haŋ˧˨
bỏ quên	bɔ˨˩˦wen˧˧
con tạo xoay vần	kɔŋ͡m˧˧taw˨˩˨swăj˧˧jɤ̆ŋ˧˨
tử nang thể	tɯ˨˩˦naŋ˧˧tʰe˨˩˦
bi-da	bi˧˧-ja˧˧
sư đoàn trưởng	ʂɯ˧˧dwaŋ˧˨ʈɯəŋ˨˩˦
kinh hồn bạt vía	kin˧˧hoŋ͡m˧˨bat˨˩˨jiə˦˥
cao-su	kaw˧˧-ʂu˧˧
thất cơ lỡ vận	tʰɤ̆k˦˥kɤ˧˧lɤ˨˩˦jɤ̆ŋ˨˩˨
chay	căj˧˧
tính lặn	tin˦˥lăŋ˨˩˨
kẻ cả	kɛ˨˩˦ka˨˩˦
vạch mặt chỉ trán	jat˨˩˨măk˨˩˨ci˨˩˦ʈaŋ˦˥
hạc nội mây ngàn	hak˨˩˨noj˨˩˨mɤ̆j˧˧ŋaŋ˧˨
hạng nặng	haŋ˨˩˨năŋ˨˩˨
giải trọc	jaj˨˩˦ʈɔk͡p˨˩˨
dị dạng	ji˨˩˨jaŋ˨˩˨
thống thiết	tʰoŋ͡m˦˥tʰiək˦˥
thơ lại	tʰɤ˧˧laj˨˩˨
phụ âm hoá	fu˨˩˨ɤ̆m˧˧hwa˦˥
cầu thang	kɤ̆w˧˨tʰaŋ˧˧
hoá hơi	hwa˦˥hɤj˧˧
an khê	aŋ˧˧xe˧˧
đá vách	da˦˥jat˦˥
quan xa nha gần	waŋ˧˧sa˧˧ɲa˧˧ɣɤ̆ŋ˧˨
đơm cúng	dɤm˧˧kuŋ͡m˦˥
hùng mạnh	huŋ͡m˧˨man˨˩˨
dạm hỏi	jam˨˩˨hɔj˨˩˦
đồng bối	doŋ͡m˧˨boj˦˥
nương rẫy	nɯəŋ˧˧ʐɤ̆j˨˩˦
lẫy	lɤ̆j˨˩˦
típ	tip˦˥
choảng	cwaŋ˨˩˦
cột sống	kok͡p˨˩˨ʂoŋ͡m˦˥
giảm đẳng	jam˨˩˦dăŋ˨˩˦
giá sàn	ja˦˥ʂaŋ˧˨
bộn bề	boŋ͡m˨˩˨be˧˨
rụng	ʐuŋ͡m˨˩˨
ém ém	ɛm˦˥ɛm˦˥
cao như sếu vườn	kaw˧˧ɲɯ˧˧ʂɛu˦˥jɯəŋ˧˨
bắt quả tang	băk˦˥wa˨˩˦taŋ˧˧
thả bước	tʰa˨˩˦bɯək˦˥
sục bùn	ʂuk͡p˨˩˨buŋ͡m˧˨
hẫng hụt	hɤ̆ŋ˨˩˦huk͡p˨˩˨
thầy địa	tʰɤ̆j˧˨diə˨˩˨
xuất toán	swɤ̆k˦˥twaŋ˦˥
mèo rừng	meo˧˨ʐɯŋ˧˨
quỳnh ba	win˧˨ba˧˧
thật	tʰɤ̆k˨˩˨
màng mạch	maŋ˧˨mat˨˩˨
tôm càng	tom˧˧kaŋ˧˨
lệnh	len˨˩˨
hoa kiều	hwa˧˧kiəw˧˨
trơn trợt	ʈɤŋ˧˧ʈɤk˨˩˨
nước hàng	nɯək˦˥haŋ˧˨
chả cá	ca˨˩˦ka˦˥
mục trường	muk͡p˨˩˨ʈɯəŋ˧˨
giai kỳ	jaj˧˧ki˧˨
thứ đến	tʰɯ˦˥den˦˥
siêu bội	ʂiəw˧˧boj˨˩˨
an quang	aŋ˧˧waŋ˧˧
dưa	jɯə˧˧
đùn đùn	duŋ͡m˧˨duŋ͡m˧˨
phiện	fiəŋ˨˩˨
người chết ra ma	ŋɯəj˧˨cet˦˥ʐa˧˧ma˧˧
dao tông	jaw˧˧toŋ͡m˧˧
chảo chớp	caw˨˩˦cɤp˦˥
duối	juəj˦˥
ca-níp	ka˧˧-nip˦˥
chúng sinh	cuŋ͡m˦˥ʂin˧˧
vượn tay trắng	jɯəŋ˨˩˨tăj˧˧ʈăŋ˦˥
hỗn	hoŋ͡m˨˩˦
bảo thạnh	baw˨˩˦tʰan˨˩˨
trúc trắc	ʈuk͡p˦˥ʈăk˦˥
trần bình trọng	ʈɤ̆ŋ˧˨bin˧˨ʈɔŋ͡m˨˩˨
áo rách khố ôm	aw˦˥ʐat˦˥xo˦˥om˧˧
đánh tháo	dan˦˥tʰaw˦˥
nguyên hình	ŋwiəŋ˧˧hin˧˨
liến	liəŋ˦˥
ngăn trở	ŋăŋ˧˧ʈɤ˨˩˦
nức nở	nɯk˦˥nɤ˨˩˦
bù nho	bu˧˨ɲɔ˧˧
xỉa xói	siə˨˩˦sɔj˦˥
nước chảy ngược	nɯək˦˥căj˨˩˦ŋɯək˨˩˨
sần	ʂɤ̆ŋ˧˨
trúc côn	ʈuk͡p˦˥koŋ͡m˧˧
hình lập phương	hin˧˨lɤ̆p˨˩˨fɯəŋ˧˧
miệng thế	miəŋ˨˩˨tʰe˦˥
thế đại	tʰe˦˥daj˨˩˨
dập	jɤ̆p˨˩˨
đồ nghề	do˧˨ŋe˧˨
thỏa lòng	tʰwa˨˩˦lɔŋ͡m˧˨
chiến tranh giải phóng	ciəŋ˦˥ʈan˧˧jaj˨˩˦fɔŋ͡m˦˥
đánh trống ghi tên	dan˦˥ʈoŋ͡m˦˥ɣi˧˧ten˧˧
than đá	tʰaŋ˧˧da˦˥
riềm	ʐim˧˨
ngỏ gật	ŋɔ˨˩˦ɣɤ̆k˨˩˨
tên	ten˧˧
vô đoan	jo˧˧dwaŋ˧˧
phận bọt bèo	fɤ̆ŋ˨˩˨bɔk͡p˨˩˨beo˧˨
nhà trường	ɲa˧˨ʈɯəŋ˧˨
hương bạ	hɯəŋ˧˧ba˨˩˨
cương gián	kɯəŋ˧˧jaŋ˦˥
chỉ lối đưa đường	ci˨˩˦loj˦˥dɯə˧˧dɯəŋ˧˨
lớn vồng	lɤŋ˦˥joŋ͡m˧˨
công nông binh	koŋ͡m˧˧noŋ͡m˧˧bin˧˧
châu mục	cɤ̆w˧˧muk͡p˨˩˨
êm đẹp	em˧˧dɛp˨˩˨
rốt cuộc	ʐok͡p˦˥kuək˨˩˨
đại lượng tỷ lệ nghịch	daj˨˩˨lɯəŋ˨˩˨ti˨˩˦le˨˩˨ŋit˨˩˨
thăng chức	tʰăŋ˧˧cɯk˦˥
ố cổ vàng kim	o˦˥ko˨˩˦jaŋ˧˨kim˧˧
quỳnh phương	win˧˨fɯəŋ˧˧
bá láp	ba˦˥lap˦˥
rỗ	ʐo˨˩˦
tênh	ten˧˧
có nghì	kɔ˦˥ŋi˧˨
cung đao	kuŋ͡m˧˧daw˧˧
xương cốt	sɯəŋ˧˧kok͡p˦˥
ăn cho đều, tiêu cho sòng	ăŋ˧˧cɔ˧˧dɛu˧˨tiəw˧˧cɔ˧˧ʂɔŋ͡m˧˨
đặt giá	dăk˨˩˨ja˦˥
đầu dây mối nhợ	dɤ̆w˧˨jɤ̆j˧˧moj˦˥ɲɤ˨˩˨
sát thủ	ʂat˦˥tʰu˨˩˦
khái lược	xaj˦˥lɯək˨˩˨
vân tảo	jɤ̆ŋ˧˧taw˨˩˦
quyết đoán luận	wiɛt˦˥dwaŋ˦˥lwɤ̆ŋ˨˩˨
tối trời	toj˦˥ʈɤj˧˨
ngo ngoe	ŋɔ˧˧ŋwe˧˧
đan sam	daŋ˧˧ʂam˧˧
đì đùm	di˧˨dum˧˨
thuyền tình	tʰwiəŋ˧˨tin˧˨
quy đầu	wi˧˧dɤ̆w˧˨
khí chất	xi˦˥cɤ̆k˦˥
kín cổng cao tường	kin˦˥koŋ͡m˨˩˦kaw˧˧tɯəŋ˧˨
không phép	xoŋ͡m˧˧fɛp˦˥
sì lờ lầu	ʂi˧˨lɤ˧˨lɤ̆w˧˨
dâu da	jɤ̆w˧˧ja˧˧
lộp bộp	lop˨˩˨bop˨˩˨
vô thiên lủng	jo˧˧tʰiəŋ˧˧luŋ͡m˨˩˦
phòng thành	fɔŋ͡m˧˨tʰan˧˨
tấc gang	tɤ̆k˦˥ɣaŋ˧˧
khởi hành	xɤj˨˩˦han˧˨
quách	wat˦˥
thổ đà bắc	tʰo˨˩˦da˧˨băk˦˥
nhựa dầu	ɲɯə˨˩˨jɤ̆w˧˨
vị thanh	ji˨˩˨tʰan˧˧
đâm bông	dɤ̆m˧˧boŋ͡m˧˧
vừa giàu vừa sang, nở nang mày mặt	jɯə˧˨jăw˧˨jɯə˧˨ʂaŋ˧˧nɤ˨˩˦naŋ˧˧măj˧˨măk˨˩˨
chỉ mặt vạch tên	ci˨˩˦măk˨˩˨jat˨˩˨ten˧˧
sư vãi	ʂɯ˧˧jaj˨˩˦
ngắm	ŋăm˦˥
hắt xì	hăk˦˥si˧˨
sắt huyết	ʂăk˦˥hwiək˦˥
sấp mặt	ʂɤ̆p˦˥măk˨˩˨
hạ vị	ha˨˩˨ji˨˩˨
ranh ma	ʐan˧˧ma˧˧
đi không lướt ngọn cỏ	di˧˧xoŋ͡m˧˧lɯək˦˥ŋɔŋ͡m˨˩˨kɔ˨˩˦
thảng thốt	tʰaŋ˨˩˦tʰok͡p˦˥
giày sành đạp sỏi	jăj˧˨ʂan˧˨dap˨˩˨ʂɔj˨˩˦
phổ nhạc	fo˨˩˦ɲak˨˩˨
đề cập	de˧˨kɤ̆p˨˩˨
nói chua	nɔj˦˥cuə˧˧
bánh ít	ban˦˥it˦˥
hoá giải	hwa˦˥jaj˨˩˦
mảnh bát	man˨˩˦bat˦˥
