sanjuanēnsis	s̠anjʊanẽːs̠ɪs̠
lacrumābundus	ɫ̪akɾʊmaːbʊn̪d̪ʊs̠
natāverimus	nat̪aːwɛɾiːmʊs̠
sextārius	s̠ɛks̠t̪aːɾiʊs̠
īnfōrmātīvus	ĩːfoːrmaːt̪iːwʊs̠
dēspectō	d̪eːs̠pɛkt̪oː
spontāneō	s̠pɔn̪t̪aːneoː
aliēnēs	al̪ieːneːs̠
bacurdus	bakʊrd̪ʊs̠
claterna	kɫ̪at̪ɛrna
zura	zʊɾa
spathifer	s̠pat̪ʰɪfɛr
harpleia	harpɫ̪ei̯a
auxiliāris	au̯ks̠ɪl̪iaːɾɪs̠
celticus	kɛɫ̪t̪ɪkʊs̠
benedīcenda	bɛnɛd̪iːkɛn̪d̪a
dēvolvō	d̪eːwɔɫ̪woː
vadantī	wad̪an̪t̪iː
abrōnius	abroːniʊs̠
rotundiceps	rɔt̪ʊn̪d̪ɪkɛps̠
levāmen	ɫ̪ɛwaːmɛn
dēspūmō	d̪eːs̠puːmoː
cippus	kɪppʊs̠
ēlēctor	eːɫ̪eːkt̪ɔr
inēssa	ɪneːs̠s̠a
vārōnēs	waːɾoːneːs̠
tetragōnus	t̪ɛt̪ɾaɡoːnʊs̠
legiō	ɫ̪ɛɡioː
fervefaciō	fɛrwɛfakioː
mathoae	mat̪ʰɔae̯
mēsa	meːs̠a
hūmidus	uːmɪd̪ʊs̠
abitiō	abɪt̪ioː
dēianīra	d̪eːjaniːɾa
gentīlitās	ɡɛn̪t̪iːl̪ɪt̪aːs̠
dēficientēs	d̪eːfɪkiɛn̪t̪eːs̠
octōdecim	ɔkt̪oːd̪ɛkɪ̃ˑ
rāritās	raːɾɪt̪aːs̠
quīnquiplex	kᶣiːŋkᶣɪpɫ̪ɛks̠
quaerere	kʷae̯reːɾɛ
analecta	anaɫ̪ɛkt̪a
septem	s̠ɛpt̪ɛ̃ˑ
causāle	kau̯s̠aːɫ̪ɛ
sanciō	s̠aŋkioː
volveris	wɔɫ̪weːɾɪs̠
discutiō	d̪ɪs̠kʊt̪ioː
plasmō	pɫ̪as̠moː
īnsinuātor	ĩːs̠ɪnʊaːt̪ɔr
addax	ad̪d̪aks̠
gādēs	ɡaːd̪eːs̠
obiciō	ɔbjɪkioː
incrēdibilis	ɪŋkɾeːd̪ɪbɪl̪ɪs̠
trānsveniō	t̪ɾãːs̠wɛnioː
audītūra	au̯d̪iːt̪uːɾaː
ībat	iːbat̪
prūdentēs	pɾuːd̪ɛn̪t̪eːs̠
deorsum	d̪eɔrs̠ʊ̃ˑ
manifēstāveritis	manɪfɛs̠t̪aːwɛɾiːt̪ɪs̠
vīnārius	wiːnaːɾiʊs̠
dipondiō	d̪ɪpɔn̪d̪ioː
verbigerō	wɛrbɪɡɛɾoː
vibrābundus	wɪbɾaːbʊn̪d̪ʊs̠
cōnfessiō	kõːfɛs̠s̠ioː
compēnsā	kɔmpẽːs̠aː
mandāveritis	man̪d̪aːwɛɾiːt̪ɪs̠
immūtāverimus	ɪmmuːt̪aːwɛɾɪmʊs̠
speculum	s̠pɛkʊɫ̪ʊ̃ˑ
maharbal	maharbaɫ̪
laginē	ɫ̪aɡɪneː
cabylē	kabʏɫ̪eː
lycabēttus	l̪ʏkabeːt̪t̪ʊs̠
mexicānōs	mɛks̠ɪkaːnoːs̠
perserpō	pɛrs̠ɛrpoː
prōclīnō	pɾoːkl̪iːnoː
sēnsōrium	s̠ẽːs̠oːɾiʊ̃ˑ
bubsequa	bʊps̠ɛkʷa
pompa	pɔmpa
pīleātus	piːɫ̪eaːt̪ʊs̠
ērēctus	eːɾeːkt̪ʊs̠
myconos	mʏkɔnɔs̠
ignicomāns	ɪŋnɪkɔmãːs̠
kalium	kal̪iʊ̃ˑ
circummittō	kɪrkʊmmɪt̪t̪oː
innītor	ɪnniːt̪ɔr
prōvolvō	pɾoːwɔɫ̪woː
trānsfīgō	t̪ɾãːs̠fiːɡoː
pyralis	pʏɾal̪ɪs̠
vātēs	waːt̪eːs̠
lārdum	ɫ̪aːrd̪ʊ̃ˑ
termes	t̪ɛrmɛs̠
albem	aɫ̪bɛ̃ˑ
reprobō	rɛpɾɔboː
sacrilegium	s̠akɾɪɫ̪ɛɡiʊ̃ˑ
theophrastus	t̪ʰeɔpʰɾas̠t̪ʊs̠
erāmus	ɛɾaːmʊs̠
ēsca	eːs̠ka
absūmō	aps̠uːmoː
lateō	ɫ̪at̪eoː
indūrāverimus	ɪn̪d̪uːɾaːwɛɾɪmʊs̠
gurdiniī	ɡʊrd̪ɪniiː
aequipollēns	ae̯kᶣɪpɔl̠l̠ẽːs̠
cincinnus	kɪŋkɪnnʊs̠
pontifex	pɔn̪t̪ɪfɛks̠
praeintelligō	pɾae̯ɪn̪t̪ɛl̠l̠ɪɡoː
tenuistīpitāta	t̪ɛnʊɪs̠t̪iːpɪt̪aːt̪aː
aequē	ae̯kᶣeː
iūnctus	juːŋkt̪ʊs̠
obsolētōs	ɔps̠ɔɫ̪eːt̪oːs̠
crepidātus	kɾɛpɪd̪aːt̪ʊs̠
adhaesiōnibus	ad̪ae̯s̠iɔnɪbʊs̠
panamēnsis	panamẽːs̠ɪs̠
congregō	kɔŋɡrɛɡoː
cōnspiciō	kõːs̠pɪkioː
poplicus	pɔpl̪ɪkʊs̠
cōnfirmās	kõːfɪrmaːs̠
supersedeō	s̠ʊpɛrs̠ɛd̪eoː
āctuāssem	aːkt̪ʊaːs̠s̠ɛ̃ˑ
litāverimus	l̪ɪt̪aːwɛɾiːmʊs̠
ptilopaedēs	pt̪ɪɫ̪ɔpae̯d̪eːs̠
habitūra	habɪt̪uːɾa
thibetānus	t̪ʰɪbɛt̪aːnʊs̠
papāverō	papaːwɛɾoː
ferīne	fɛɾiːnɛ
termitī	t̪ɛrmɪt̪iː
hypsaeus	hʏps̠ae̯ʊs̠
repercutit	rɛpɛrkʊt̪ɪt̪
imbrex	ɪmbɾɛks̠
perierimus	pɛɾiɛɾɪmʊs̠
testūdō	t̪ɛs̠t̪uːd̪oː
opācitās	ɔpaːkɪt̪aːs̠
adsūmptīvus	at̪s̠uːmpt̪iːwʊs̠
prōdigiōsus	pɾoːd̪ɪɡioːs̠ʊs̠
incutiō	ɪŋkʊt̪ioː
irrogāsse	ɪrrɔɡaːs̠s̠ɛ
fluviātilis	fɫ̪ʊwiaːt̪ɪl̪ɪs̠
dossennus	d̪ɔs̠s̠ɛnnʊs̠
umbrōsus	ʊmbɾoːs̠ʊs̠
benefica	bɛnɛfɪkaː
annātum	annaːt̪ʊ̃ˑ
tyrrhēniam	t̪ʏrreːniãˑ
contremēscō	kɔn̪t̪ɾɛmeːs̠koː
altitonāns	aɫ̪t̪ɪt̪ɔnãːs̠
cellulosolvēns	kɛl̠l̠ʊɫ̪ɔs̠ɔɫ̪wẽːs̠
anūs	anuːs̠
novemvirālis	nɔwɛmwɪɾaːl̪ɪs̠
strūthiocamēlus	s̠t̪ɾuːt̪ʰiɔkameːɫ̪ʊs̠
paenulārius	pae̯nʊɫ̪aːɾiʊs̠
synaeresī	s̠ʏnae̯rɛs̠iː
vēsīcula	weːs̠iːkʊɫ̪a
exacuō	ɛks̠akʊoː
helenē	hɛɫ̪ɛneː
observābilis	ɔps̠ɛrwaːbɪl̪ɪs̠
oleāgineus	ɔɫ̪eaːɡɪneʊs̠
blandī	bɫ̪an̪d̪iː
perangustus	pɛɾaŋɡʊs̠t̪ʊs̠
frīvolus	fɾiːwɔɫ̪ʊs̠
addictor	ad̪d̪ɪkt̪ɔr
longus	ɫ̪ɔŋɡʊs̠
rutrum	rʊt̪ɾʊ̃ˑ
benedictūra	bɛnɛd̪ɪkt̪uːɾa
gemō	ɡɛmoː
anariacī	anaɾiakiː
chāonēs	kʰaːɔneːs̠
intrōferō	ɪn̪t̪ɾoːfɛɾoː
cōlātūrus	koːɫ̪aːt̪uːɾʊs̠
eques	ɛkᶣɛs̠
quadringentī	kʷad̪ɾɪŋɡɛn̪t̪iː
capitātiō	kapɪt̪aːt̪ioː
ablocō	abɫ̪ɔkoː
amīsus	amiːs̠ʊs̠
dīplōmatārius	d̪iːpɫ̪oːmat̪aːɾiʊs̠
taxeus	t̪aks̠eʊs̠
iubeō	jʊbeoː
uxentum	ʊks̠ɛn̪t̪ʊ̃ˑ
binōminis	bɪnoːmɪnɪs̠
cohaerēscō	kɔhae̯reːs̠koː
ballantia	bal̠l̠an̪t̪ia
crisimus	kɾɪs̠ɪmʊs̠
interiectiō	ɪn̪t̪ɛrjɛkt̪ioː
capēdō	kapeːd̪oː
sēcrētārī	s̠eːkɾeːt̪aːɾiː
coniūnctē	kɔnjuːŋkt̪eː
pyrgī	pʏrɡiː
internecō	ɪn̪t̪ɛrnɛkoː
petrō	pɛt̪ɾoː
equa	ɛkʷa
trāiānus	t̪ɾaːjaːnʊs̠
obnūntiāveris	ɔbnuːn̪t̪iaːwɛɾɪs̠
hordeāceus	hɔrd̪eaːkeʊs̠
subnīxus	s̠ʊbniːks̠ʊs̠
accadicus	akkad̪ɪkʊs̠
apollō	apɔl̠l̠oː
praeserviō	pɾae̯s̠ɛrwioː
aereus	ae̯reʊs̠
axanthos	aks̠an̪t̪ʰɔs̠
vorsipellis	wɔrs̠ɪpɛl̠l̠ɪs̠
candor	kan̪d̪ɔr
caelifer	kae̯l̪ɪfɛr
zīziphus	ziːzzɪpʰʊs̠
spurilius	s̠pʊɾɪl̪iʊs̠
zygapophyseālis	zʏɡapɔpʰʏs̠eaːl̪ɪs̠
galbus	ɡaɫ̪bʊs̠
cibāta	kɪbaːt̪aː
chalō	kʰaɫ̪oː
trānsitus	t̪ɾãːs̠ɪt̪ʊs̠
sasima	s̠as̠ɪma
contorreō	kɔn̪t̪ɔrreoː
campaspē	kampas̠peː
acēscentēs	akeːs̠kɛn̪t̪eːs̠
talutium	t̪aɫ̪ʊt̪iʊ̃ˑ
abra	abɾa
altisonus	aɫ̪t̪ɪs̠ɔnʊs̠
antithetum	an̪t̪ɪt̪ʰɛt̪ʊ̃ˑ
lusius	ɫ̪ʊs̠iʊs̠
pervincō	pɛrwɪŋkoː
abluvium	abɫ̪ʊwiʊ̃ˑ
affectō	affɛkt̪oː
expeiūrō	ɛks̠pɛjjuːɾoː
theosophe	t̪ʰeɔs̠ɔpʰɛ
papāverī	papaːwɛɾiː
quadringentēsimus	kʷad̪ɾɪŋɡɛn̪t̪eːs̠ɪmʊs̠
bagacum	baɡakʊ̃ˑ
cibdēlus	kɪbd̪eːɫ̪ʊs̠
prōvēnerimus	pɾoːweːnɛɾɪmʊs̠
harundinētum	haɾʊn̪d̪ɪneːt̪ʊ̃ˑ
ceste	kɛs̠t̪ɛ
nōdātīs	noːd̪aːt̪iːs̠
zōnarās	zoːnaɾaːs̠
plēctō	pɫ̪eːkt̪oː
fistula	fɪs̠t̪ʊɫ̪a
amāzonēnsis	amaːzzɔnẽːs̠ɪs̠
iomnium	jɔmniʊ̃ˑ
benedīxerimus	bɛnɛd̪iːks̠ɛɾɪmʊs̠
nū̆ncupātiō	nuːŋkʊpaːt̪ioː
bogdanicus	bɔɡd̪anɪkʊs̠
vigentēs	wɪɡɛn̪t̪eːs̠
cestrus	kɛs̠t̪ɾʊs̠
obrogāverimus	ɔbrɔɡaːwɛɾɪmʊs̠
inviolātō	ɪnwiɔɫ̪aːt̪oː
diopetēs	d̪iɔpɛt̪eːs̠
perhibeō	pɛɾɪbeoː
luctērius	ɫ̪ʊkt̪eːɾiʊs̠
globuliferus	ɡɫ̪ɔbʊl̪ɪfɛɾʊs̠
vindicta	wɪn̪d̪ɪkt̪a
fremebundus	fɾɛmɛbʊn̪d̪ʊs̠
expiō	ɛks̠pioː
spīritum	s̠piːɾɪt̪ʊ̃ˑ
lēniō	ɫ̪eːnioː
concidere	kɔŋkɪd̪eːɾɛ
calamistrātus	kaɫ̪amɪs̠t̪ɾaːt̪ʊs̠
extrēmadūriānus	ɛks̠t̪ɾeːmad̪uːɾiaːnʊs̠
pathologicus	pat̪ʰɔɫ̪ɔɡɪkʊs̠
comitor	kɔmɪt̪ɔr
tribūnātus	t̪ɾɪbuːnaːt̪ʊs̠
tractābiliter	t̪ɾakt̪aːbɪl̪ɪt̪ɛr
dēfleō	d̪eːfɫ̪eoː
abante	aban̪t̪ɛ
brūtō	bɾuːt̪oː
vectēnsis	wɛkt̪ẽːs̠ɪs̠
acnua	aknʊa
regimen	rɛɡɪmɛn
pīlātō	piːɫ̪aːt̪oː
furcifer	fʊrkɪfɛr
iambelegus	iambɛɫ̪ɛɡʊs̠
adulterīnō	ad̪ʊɫ̪t̪ɛɾiːnoː
addormiō	ad̪d̪ɔrmioː
otēnē	ɔt̪eːneː
inōrnāta	ɪnoːrnaːt̪aː
moschus	mɔs̠kʰʊs̠
prōmulgō	pɾoːmʊɫ̪ɡoː
deintus	d̪eɪn̪t̪ʊs̠
comitābilis	kɔmɪt̪aːbɪl̪ɪs̠
reconditōs	rɛkɔn̪d̪ɪt̪oːs̠
sēminiger	s̠eːmɪnɪɡɛr
magnopere	maŋnɔpɛɾɛ
exerō	ɛks̠ɛɾoː
cōgitandus	koːɡɪt̪an̪d̪ʊs̠
rūs	ruːs̠
mendīcus	mɛn̪d̪iːkʊs̠
oranēnsis	ɔɾanẽːs̠ɪs̠
regent	rɛɡɛn̪t̪
concitātiō	kɔŋkɪt̪aːt̪ioː
leptis	ɫ̪ɛpt̪ɪs̠
ēsset	eːs̠s̠ɛt̪
perstrepō	pɛrs̠t̪ɾɛpoː
dissēnsus	d̪ɪs̠s̠ẽːs̠ʊs̠
pāscor	paːs̠kɔr
molluscum	mɔl̠l̠ʊs̠kʊ̃ˑ
smēnus	s̠meːnʊs̠
sȳcē	s̠yːkeː
paliūrus	pal̪iuːɾʊs̠
incōnsummātus	ɪŋkõːs̠ʊmmaːt̪ʊs̠
flanātēs	fɫ̪anaːt̪ɛs̠
ninguō	nɪŋɡʷoː
ponticus	pɔn̪t̪ɪkʊs̠
nexibilis	nɛks̠ɪbɪl̪ɪs̠
caesennius	kae̯s̠ɛnniʊs̠
tonget	t̪ɔŋɡɛt̪
rudēs	rʊd̪eːs̠
tarusātēs	t̪aɾʊs̠aːt̪eːs̠
ulna	ʊɫ̪na
hunanēnsis	hʊnanẽːs̠ɪs̠
mellifluēns	mɛl̠l̠ɪfɫ̪ʊẽːs̠
alternātīva	aɫ̪t̪ɛrnaːt̪iːwaː
offēnsāverimus	ɔffẽːs̠aːwɛɾɪmʊs̠
sarda	s̠ard̪a
lȳsiās	l̪yːs̠iaːs̠
stōidēs	s̠t̪oːɪd̪eːs̠
haustus	hau̯s̠t̪ʊs̠
jactābilis	jakt̪aːbɪl̪ɪs̠
prospectus	pɾɔs̠pɛkt̪ʊs̠
antedīcō	an̪t̪ɛd̪iːkoː
facinerōsus	fakɪnɛɾoːs̠ʊs̠
pompholyx	pɔmpʰɔl̪ʏks̠
lacteus	ɫ̪akt̪eʊs̠
parallēla	paɾal̠l̠eːɫ̪a
honestāveris	hɔnɛs̠t̪aːwɛɾiːs̠
ēnumerātiō	eːnʊmɛɾaːt̪ioː
sudīnēs	s̠ʊd̪iːneːs̠
canninefātēs	kannɪnɛfaːt̪eːs̠
fīlipēs	fiːl̪ɪpeːs̠
galbinus	ɡaɫ̪bɪnʊs̠
dēsinō	d̪eːs̠ɪnoː
certātor	kɛrt̪aːt̪ɔr
revēneris	rɛweːnɛɾiːs̠
fidiculae	fɪd̪ɪkʊɫ̪ae̯
tuam	t̪ʊãˑ
fānitālis	faːnɪt̪aːl̪ɪs̠
pudet	pʊd̪ɛt̪
cnaeus	knae̯ʊs̠
sepelīveritis	s̠ɛpɛl̪iːwɛɾiːt̪ɪs̠
ēlectromagnēticus	eːɫ̪ɛkt̪ɾɔmaŋneːt̪ɪkʊs̠
terina	t̪ɛɾɪna
ōrdināverimus	oːrd̪ɪnaːwɛɾɪmʊs̠
radiātiō	rad̪iaːt̪ioː
hospiticīda	hɔs̠pɪt̪ɪkiːd̪a
pēdagōgō	peːd̪aɡoːɡoː
exercitātiō	ɛks̠ɛrkɪt̪aːt̪ioː
implōrāveris	ɪmpɫ̪oːɾaːwɛɾɪs̠
enipī	ɛnɪpiː
fraudulentia	fɾau̯d̪ʊɫ̪ɛn̪t̪ia
pertimēscō	pɛrt̪ɪmeːs̠koː
lutetium	ɫ̪ʊt̪ɛt̪iʊ̃ˑ
jaculor	jakʊɫ̪ɔr
trȳgōn	t̪ɾyːɡoːn
smēgma	s̠meːɡma
perītē	pɛɾiːt̪eː
utus	ʊt̪ʊs̠
carniger	karnɪɡɛr
flāviobrīga	fɫ̪aːwiɔbɾiːɡa
contemplātim	kɔn̪t̪ɛmpɫ̪aːt̪ɪ̃ˑ
repetītiō	rɛpɛt̪iːt̪ioː
sestīnum	s̠ɛs̠t̪iːnʊ̃ˑ
interrogātōrius	ɪn̪t̪ɛrrɔɡaːt̪oːɾiʊs̠
beātī	beaːt̪iː
ēloquentia	eːɫ̪ɔkᶣɛn̪t̪ia
bipalmus	bɪpaɫ̪mʊs̠
interfulgeō	ɪn̪t̪ɛrfʊɫ̪ɡeoː
crotalum	kɾɔt̪aɫ̪ʊ̃ˑ
strapellum	s̠t̪ɾapɛl̠l̠ʊ̃ˑ
manēs	maneːs̠
anaphlystus	anapʰl̪ʏs̠t̪ʊs̠
cucumifōrmēs	kʊkʊmɪfoːrmeːs̠
māter	maːt̪ɛr
tremulō	t̪ɾɛmʊɫ̪oː
obsolēta	ɔps̠ɔɫ̪eːt̪a
ēluō	eːɫ̪ʊoː
vasconicum	was̠kɔnɪkʊ̃ˑ
asteria	as̠t̪ɛɾia
chȳlus	kʰyːɫ̪ʊs̠
passarōn	pas̠s̠aɾoːn
liturgicus	l̪ɪt̪ʊrɡɪkʊs̠
rūmor	ruːmɔr
armāta	armaːt̪a
saturāta	s̠at̪ʊɾaːt̪a
cōnstrictiō	kõːs̠t̪ɾɪkt̪ioː
pūnctuō	puːŋkt̪ʊoː
positīvōs	pɔs̠ɪt̪iːwoːs̠
amnestia	amnɛs̠t̪ia
plānārius	pɫ̪aːnaːɾiʊs̠
vidēte	wɪd̪eːt̪ɛ
gaurus	ɡau̯rʊs̠
adōsculor	ad̪oːs̠kʊɫ̪ɔr
strūma	s̠t̪ɾuːma
nordicus	nɔrd̪ɪkʊs̠
tuscilius	t̪ʊs̠kɪl̪iʊs̠
līmāveris	l̪iːmaːwɛɾɪs̠
petō	pɛt̪oː
sōpītīs	s̠oːpiːt̪iːs̠
sigillum	s̠ɪɡɪl̠l̠ʊ̃ˑ
bifurcus	bɪfʊrkʊs̠
dictāveritis	d̪ɪkt̪aːwɛɾiːt̪ɪs̠
borchgrāvius	bɔrkʰɡraːwiʊs̠
natāveris	nat̪aːwɛɾiːs̠
thallium	t̪ʰal̠l̠iʊ̃ˑ
aginnum	aɡɪnnʊ̃ˑ
iaspidēus	jas̠pɪd̪eːʊs̠
astacus	as̠t̪akʊs̠
recidīve	rɛkɪd̪iːwɛ
bergidum	bɛrɡɪd̪ʊ̃ˑ
aurōra	au̯roːɾa
pūtidius	puːt̪ɪd̪iʊs̠
mastūsia	mas̠t̪uːs̠ia
remōtum	rɛmoːt̪ʊ̃ˑ
fīculea	fiːkʊɫ̪ea
trahō	t̪ɾahoː
smerdis	s̠mɛrd̪ɪs̠
multinucleātus	mʊɫ̪t̪ɪnʊkɫ̪eaːt̪ʊs̠
epidermis	ɛpɪd̪ɛrmɪs̠
lēvīticus	ɫ̪eːwiːt̪ɪkʊs̠
viduus	wɪd̪ʊʊs̠
murmurāveritis	mʊrmʊɾaːwɛɾɪt̪ɪs̠
notā	nɔt̪aː
parietālēs	paɾiɛt̪aːɫ̪eːs̠
ōvum	oːwʊ̃ˑ
cērinthus	keːɾɪn̪t̪ʰʊs̠
dēlīrātum	d̪eːl̪iːɾaːt̪ʊ̃ˑ
pīlum	piːɫ̪ʊ̃ˑ
citrā	kɪt̪raː
trānsverberō	t̪ɾãːs̠wɛrbɛɾoː
praejaciō	pɾae̯jjakioː
cōnfiteor	kõːfɪt̪eɔr
vegetus	wɛɡɛt̪ʊs̠
verbum	wɛrbʊ̃ˑ
paucisētus	pau̯kɪs̠eːt̪ʊs̠
occursātiō	ɔkkʊrs̠aːt̪ioː
nūpta	nuːpt̪a
polion	pɔl̪iɔn
ināniō	ɪnaːnioː
inputō	ɪmpʊt̪oː
affirmātīvus	affɪrmaːt̪iːwʊs̠
būcītōrum	buːkiːt̪oːɾʊ̃ˑ
convenientia	kɔnwɛniɛn̪t̪ia
phila	pʰɪɫ̪a
cōnserver	kõːs̠ɛrwɛr
submontānus	s̠ʊbmɔn̪t̪aːnʊs̠
hebetātiō	hɛbɛt̪aːt̪ioː
inliniō	ɪnl̪ɪnioː
fragmen	fɾaɡmɛn
obturbātīs	ɔpt̪ʊrbaːt̪iːs̠
irrītābilis	ɪrriːt̪aːbɪl̪ɪs̠
pigrō	pɪɡroː
fuerātis	fʊɛɾaːt̪ɪs̠
asidius	as̠ɪd̪iʊs̠
trabica	t̪ɾabɪka
lipsia	l̪ɪps̠ia
persevērat	pɛrs̠ɛweːɾat̪
aegis	ae̯ɡɪs̠
helōrum	hɛɫ̪oːɾʊ̃ˑ
ōda	oːd̪a
impūnītus	ɪmpuːniːt̪ʊs̠
merīdiēs	mɛɾiːd̪ieːs̠
