nbt	niːbat
rḫyt	ɾaχjaʔ
qnjw	kɛniuː
ḏḥwtt	tʼaħawtaʔ
ḫmtw	χamt
jspt	jispaʔ
snḏm	sɛnɛd͡ʒɛm
jḫ	ʔuχ
ṯꜣj	t͡ʃɑi
smw	siːməʔ
nḏt	nɛd͡ʒɛt
wnwt	wɛnuːt
jꜥnt	iɑːnɛt
jṯꜣ	it͡ʃɑ
ntt	nɛtɛt
jpw	ipuː
šms	ʃɛmɛs
ḥjp	ħip
ḫnws	xɛnuːs
spj	sɛpi
hp	hɛp
msjꜣt	masjaːʀit
snj	sɛni
jꜣḫw	iɑxuː
mnḏ	manatʼ
zẖꜣ	siçiʀ
ḫꜣm	xɑm
wnj	wɛni
jꜥr	iɑːr
jbt	jiːbat
msꜣḏt	maswiʀcʼit
šsꜣ	ʃɛsɑ
jmnt	jamnə
kꜣp	kaːʀap
jrm	irɛm
mnṯw	mɛnt͡ʃuː
ẖnmt	çɛnmɛt
jrt	ʔiːɾə
ptḥ	pɛtɛħ
.sj	ʔɛsi
rḫyt	ɾaχjat
nnšm	nanʃVm
ḫpj	xɛpi
wꜥb	wəʕap
ḥꜥpj	ħɑːpi
ꜣbḏw	ʀabaːcʼaw
ḥmw	ħimiw
ḫnfw	xɛnɛfuː
w	uː
zfṯ	saːfaʔ
jrsjrnꜣt	irsirɛnɑt
pḏt	piːcʼat
.st	ʔsɛt
sjsw	saɾsaw
mjḫꜣt	məχoːʔ
ḫmnw	χəmaːnəʔ
wḏꜣt	wɛd͡ʒɑt
wzfw	wɛzɛfuː
sfḫjw	safχijjaw
rmṯt	ɾamtaʔ
dpt	tʼiːpə
rnpt	ɾanpaʔ
ḏbꜥ	tʼuːbaʕ
jspt	ʔespə
sgnn	sakʼnan
ḫbj	xɛbi
ẖꜣrt	çɑrɛt
qꜣdt	kɑdɛt
sḏd	sɛd͡ʒɛd
nḏm	naːcʼam
msqt	məsqʼoːɾə
mtj	mɛti
jswr	isuːr
gr	kʼoːʔ
jꜣwj	iɑuːi
jqr	jaːqʼiʔ
zfṯ	soːfə
ꜥnb	ʕanoːβə
wꜣyšꜣtjsꜣpy	wɑiːʃɑtisɑpiː
sprw	sɛpɛruː
tꜣwj	taʀwVj
mnwt	mɛnuːt
rnpt	ɾanpə
ḫft	xɛfɛt
wꜣḏ	wɑd͡ʒ
ḏꜣt	d͡ʒɑt
pwntjw	puːntiuː
psmṯk	pɛsmɛt͡ʃɛk
sḥtp	sɛħɛtɛp
ntṯ	nɛtɛt͡ʃ
msꜣḏt	məswiːtʼə
hꜣw	hɑuː
nꜣ	nəʔ
zꜣ	zɑ
bꜣkꜣ	bɑkɑ
jnj	ini
wꜣḏt	wɑd͡ʒɛt
ꜥmꜥꜣ	ɑːmɑːʔɑ
rnpt	ɾanpawwaʔ
nmtt	nɛmtɛt
mẖr	mɛçɛr
ḫꜣrw	xɑruː
ḥḏt	ħecʼjə
mwt	muːt
nb	neːβ
nnw	nɛnuː
mnjt	mɛnit
rd	rɛd
ꜥmꜥt	ʕamʕə
ḏfḏ	d͡ʒɛfɛd͡ʒ
nwt	nuːʔaʔ
hrw	həɾuwwəʔ
ꜣw	ɑuː
wḏb	wɛd͡ʒɛb
ntṯ	nətaʔ
bbwt	bɛbuːt
ḏrt	tʼoːɾə
bw	buː
dꜣdꜣ	dɑdɑ
ꜥq	ʕaːqʼ
mwt	maːwat
srwḫ	sɛruːx
zmꜣ	zɛmɑ
dnjt	tʼanjut
dmꜣt	dɛmɑt
gp	kʼoːp
sꜣdjꜥmj	sɑdiɑːmi
jmꜣ	imɑ
sḫr	sɛxɛr
jnt	inɛt
jbt	ibɛt
ḫntj	xɛnɛti
mꜣqꜣrꜣ	mɛkɛr
šmw	ʃɛmuː
ꜣbw	ʔoːβ
mzwt	mɛzuːt
ꜣḫw	ʔaːχəʔ
fnḏ	fɛnɛd͡ʒ
.ṯnj	ʔt͡ʃɛni
jꜣbt	iɑbɛt
ḥnj	ħɛni
špsj	ʃepsaʔ
sḫꜣj	sɛxɑi
wnḏw	wɛnd͡ʒuː
ꜣwḫ	ɑuːx
jwjw	iuːiuː
sẖr	sɛçɛr
ḥḏ	ħuːcʼaw
rmṯ	ɾaːmaʔ
jwf	ʔøʔf
ḥtp	ħaːtip
jb	ʔep
wꜥw	wɑːuː
ꜣbnjnj	ɑbnini
kf	kɛf
šnj	ʃiːnə
rsw	rɛsuː
tpt	tɛpɛt
ṯztj	t͡ʃɛzti
sdb	sɛdɛb
tpj	tɛpi
bjnt	βajnə
dšr	tʼuːʃVɾ
mzḥ	məsaħ
ꜣḫt	ɑxɛt
ppy	pɛpiː
ẖt	çɛt
nṯrtj	nɛt͡ʃɛrti
zjn	zin
ꜥfꜣy	ɑːfɑiː
zmꜣ	səmoː
jꜣꜥ	iɑʔɑː
sbꜣ	siːbəʔ
zẖꜣw	zaçʀaw
gꜣw	ɡɑuː
sjhm	sɛihɛm
nḥḏt	nutʃʼħaʔ
mtt	mɛtɛt
ḥrrt	ħaɾuːɾat
ḥsj	ħɛsi
pꜣwtj	pɑuːti
njs	nis
rꜥ	ɾeːʕ
ḥbsyt	ħɛbsiːt
kꜣmw	kəmeʔ
rnpt	ɾanpat
twt	təwoːt
ꜥnꜥn	ɑːnɑːn
špssw	ʃɛpsɛsuː
jzr	jasɾVw
kꜣw	kɑuː
mꜣt	maːʔəʔ
ẖnmt	çanmə
mtt	meːtə
.ṯ	c
dpt	dɛpɛt
jrt	irɛt
dwn	duːn
nṯrw	natuːɾaw
wpwt	wapwut
grg	kʼalkʼuw
ꜣꜥꜥw	ɑʔɑːɑːuː
msḥ	mɛsɛħ
ḥnkyt	ħɛnkiːt
hmhmt	hɛmhɛmɛt
tmm	tɛmɛm
rtḥ	rɛtɛħ
jnḥ	inɛħ
sšr	sɛʃɛr
mnꜥt	mɛnɑːt
tmt	tɛmɛt
pnw	pɛnuː
ꜣtjwt	ɑtiuːt
ḥwꜣꜣt	ħuːɑʔɑt
štꜣ	ʃɛtɑ
sbꜣ	siːβ
sḫm	sɛxɛm
dmḏj	dɛmɛd͡ʒi
ntj	nɛti
km	koːm
ꜣbḫt	ɑbxɛt
ḥwꜣ	ħuːɑ
ḫm	χoːm
ḥp	ħøʔp
jpt	ipɛt
pꜣw	pɑuː
wḥyt	wɛħiːt
nnj	nɛni
gḥs	ɡɛħɛs
ṯꜣw	teːw
ꜣhd	ɑhɛd
ns	nɛs
sw	su
nwj	nuːi
ꜣḫ	ɑx
ḫntj	χintiʔ
ḏnd	d͡ʒɛnɛd
dbḥ	dɛbɛħ
sḫtj	siχtVj
dpt	tʼVːpuʔ
ꜥff	ʕøff
ꜥšꜣ	ʕiʃiʀ
ꜣryt	ɑriːt
mt	mɛt
ḥnꜥ	ħɛnɑː
ṯrt	t͡ʃɛrɛt
qꜣqꜣw	kɑkɑuː
nḥḏt	nɛħd͡ʒɛt
jmnt	jamnat
sꜣq	sɑk
ꜥnḏw	ʕəntʼawwə
dwꜣtj	duːɑti
pꜣ	piʀ
ḫprw	χupiɾwaw
nfrt	nafɾə
smr	sɛmɛr
ḏꜣ	d͡ʒɑ
šftw	ʃɛftuː
bꜥr	bɑːr
mrkbt	mɛrkɛbɛt
jwnw	ʔaːnəʔ
ꜣmꜥt	ɑmɑːt
sḏrt	sɛd͡ʒrɛt
mḏrj	mitʼɾiʔ
nḥḏt	nuħtʃʼaʔ
skn	sɛkɛn
tꜣw	toːw
snb	sɛnɛb
qnbt	kɛnbɛt
šnwt	ʃɛnuːt
ꜥꜣ	iʕaʀ
ṯnj	toːn
jwꜥ	iuːɑː
ḥwꜣ	ħaːwəʔ
rhn	rɛhɛn
sdmj	sɛdɛmi
nꜥj	nɑːi
hrw	haʔwəʔ
ḥmsj	ħɛmɛsi
msdw	mastʼ
nꜥrt	nɑːrɛt
šzp	ʃaːp
pꜣj	pɑi
jt	jaːtəʔ
mrj	mijjiʔ
št	ʃɛt
ḥmt	ħiːmə
nṯrj	nutɾiʔ
ꜣꜣtꜣ	ɑʔɑtɑ
jwf	iuːf
ḥnkt	ħɛnkɛt
zbj	zɛbi
jwꜥw	jawʕaw
jꜣqt	juʀqʼaʔ
jqr	ikɛr
dšr	tʼaːɾiʃ
ḥꜣbj	ħiːbaʔ
smn	simiːniʔ
mnḏ	manacʼ
ḏrtjw	d͡ʒɛrtiuː
wsrt	wɛsrɛt
ṯz	t͡ʃiːsə
ꜣtpwt	ɑtpuːt
zwt	zuːt
jnw	inuː
sqd	sɛkɛd
ṯnw	t͡ʃɛnuː
swḥt	sawħVt
ꜣbb	ʔəβaβ
šsm	ʃɛsɛm
bjrwnygꜣt	βəɾəniːkə
ḥḏj	ħɛd͡ʒi
dšr	dɛʃɛr
dhnt	dɛhnɛt
py	piː
twt	təwaːtəʔ
ꜣḫw	ɑxuː
wꜣḥyt	wɑħiːt
grg	kʼalkʼəʔ
ḥzꜣ	ħɛzɑ
rrj	rɛri
jbr	ibɛr
swꜣj	siwʀit
nbt	nɛbɛt
šrr	ʃəɾaʔ
spdt	sɛpdɛt
pw	puː
šnft	n
pḥwj	pɛħuːi
mẖnt	maçnaːjit
mꜣwj	miːwə
.f	ʔɛf
ẖt	çeːwə
šꜥy	ʃoːʕəʔ
bꜣẖw	βoːç
wꜣsꜣrkn	wɑsɑrkɛn
n	ni
srmj	sɛrɛmi
wsḫt	wisχat
ḫꜥj	xɑːi
sn	səneːw
kꜣmw	kɑmuː
pt	pɛt
kꜣwtj	kɑuːti
sjn	sin
ḥtrj	ħɛtri
jꜥꜣ	iɑːʔɑ
ḫtꜣ	xɛtɑ
hh	hɛh
sqr	sɛkɛr
twt	tawaːtij
mꜣwj	miʀwiʔ
ḫprr	xɛprɛr
nqdd	nɛkdɛd
pḏt	piːtʼə
ṯꜣw	ciʀwit
ꜣḫ	ʔaːχ
gmj	kʼiːmit
psj	piːsə
ḫntw	xɛnɛtuː
qnt	kɛnɛt
zꜣb	zɑb
kw	kuː
wšd	waːʃatʼ
wꜥtj	wəʕteʔ
zkr	zaːkaɾ
sqdj	sɛkɛdi
zẖꜣw	saçʀaw
dsj	dɛsi
ẖnm	çɛnɛm
sfḫw	sɛfɛxuː
ḥfꜣt	ħəfoːʔə
jꜣw	iɑuː
.jn	ʔin
wrs	wɛrɛs
ḏꜣdw	d͡ʒɑduː
wpwtj	wəpwøtj
ḥnk	ħɛnɛk
sksk	sɛksɛk
ḥsb	ħɛsɛb
znt	zɛnɛt
r	ɛr
sfḫnw	sɛfɛxnuː
ꜥšm	ɑːʃɛm
pḥtj	pɛħti
jwnt	iuːnɛt
ḥfꜣw	ħaf
jsw	jiːsVw
sḏfꜣ	setʼfə
wꜥb	wiːʕab
ꜣbd	ʀabatʼ
sd	saːtʼ
mdw	maːtʼaw
šfd	ʃɛfɛd
ntk	nVtak
snq	saːnaqʼ
ꜥqw	ʕaqʼwuw
mfkꜣt	məfaʔkə
tnj	tɛni
mfkꜣt	mafakʀat
tkꜣ	toːkə
jrṯt	ʔəɾoːtə
ḏbꜥ	tʼəβaʕ
hnw	hɛnuː
dmḏj	tʼoːmətʼ
ꜥf	ɑːf
qnj	kɛni
qꜣꜥ	kɑʔɑː
nḏdnḏd	nɛd͡ʒɛdnɛd͡ʒɛd
wꜥ	wəʕ
pzn	pɛzɛn
ḥfꜣt	ħəfaːʔaʔ
mjnj	meʔnaʔ
jty	itiː
zwr	soːw
dmj	dɛmi
npnpt	nɛpnɛpɛt
z	suːwəʔ
mnḏt	mɛnd͡ʒɛt
ḥmt	ħijamwat
db	dɛb
ns	les
jptw	iptuː
ḥwt	ħaːwiʔ
wpj	wɛpi
ṯš	t͡ʃɛʃ
ꜣsḫ	ɑsɛx
gp	kʼaːp
snḏw	sɛnɛd͡ʒuː
ṯmꜣ	t͡ʃɛmɑ
jqr	joːqʼə
ꜥnḫ	ʕaːnəχ
ḏs.s	d͡ʒɛsʔɛs
nꜣ	nɑ
zꜣb	siːʔəβ
bꜣj	bɑi
sṯzw	sɛt͡ʃɛzuː
wnnt	wɛnɛnɛt
ꜣmmt	ɑmɛmɛt
jdt	jaːtʼaʔ
ꜥrq	ʕaːlaqʼ
ꜥꜣj	ɑːʔɑi
ꜥꜣ	ɑːʔɑ
ꜥꜣj	ʕiːʔə
ḏws	d͡ʒuːs
nfrw	nɛfɛruː
jnꜥ	inɑː
mḏwtj	mucʼawaːtaj
bnr	biniɾ
mšꜥ	mɛʃɑː
ꜣwšꜣmm	ɑuːʃɑmɛm
šꜣꜥ	ʃaʕ
gbb	ɡɛbɛb
jmntt	jamintit
mꜣꜥt	muʀʕaʔ
ẖnw	çoːn
qꜣb	kɑb
.wj	ʔuːi
ḏꜥr	d͡ʒɑːr
sḫmt	siχmiʔ
thj	tɛhi
pḏt	pɛd͡ʒɛt
hꜣj	hiʀjit
hrw	haʔw
mḥtj	mɛħti
jdmj	ʔətʼeːm
rꜥ	ɾiːʕuw
.tjwn	ʔtiuːn
sbꜣyt	sabaʀjat
sbn	sɛbɛn
ḫꜣꜥ	χoːʔəʕ
rk	rɛk
wnb	wɛnɛb
sḫꜣw	sɛxɑuː
pꜣqj	piʀqʼiʔ
km	kaːm
wꜣḥ	wɑħ
nṯrj	nucɾit
sqbḥ	sɛkɛbɛħ
ntw	nɛtuː
ḫmtw	χamtəʔ
sḫꜣj	siχʀiʔ
kꜣmn	kɑmɛn
wnmj	wɛnmi
ḏꜥnt	t͡ʃʼuʕnaʔ
smsj	sɛmɛsi
r	ɾaʔ
jmn	imɛn
fnṯ	fɛnɛt͡ʃ
nmsw	nɛmsuː
mnt	mɛnɛt
.ṯ	ʔ
ḫnmt	xɛnmɛt
ḥꜣḥꜣ	ħɑħɑ
ḏꜣḏꜣt	d͡ʒɑd͡ʒɑt
tm	ʔatoːm
ꜥnḫ	ʕoːnəχ
dj	di
nḏnḏ	nɛd͡ʒnɛd͡ʒ
jnd	inɛd
sbnw	sɛbɛnuː
sḥqr	sɛħɛkɛr
wḥꜣt	waħʀat
pj	pi
rmyt	rəmeːʔ
bꜣw	bɑuː
dgj	dɛɡi
ṯḥn	t͡ʃɛħɛn
ḥrrt	ħaɾuːɾaʔ
mjtw	mituː
hꜣb	hɑb
jwn	ʔawen
stt	sɛtɛt
mrw	mɛruː
mṯwn	maʔwan
ꜣd	ɑd
ꜥḏ	ɑːd͡ʒ
nḥr	nɛħɛr
nḏm	naːcʼim
bꜣkw	baːkəʔ
.ṯn	ʔt͡ʃɛn
kj	ki
jrw	iruː
kꜣmw	kaʀmiw
wꜥb	wɑːb
jrṯt	jVɾaːtaʔ
ꜥmꜥt	ʕamʕat
ḫpr	xɛpɛr
jmr	imɛr
ḏḥwtj	tʼVħawtij
jrj	iri
rmṯ	ɾaːmac
ntw	nətaw
nḥḏt	nøħtʃʼə
ꜥ	ɑː
rḏj	tʼiːʔ
wzš	wɛzɛʃ
ꜥrrwt	ɑːrɛruːt
wnn	wɛnɛn
prt	paɾaːjiʔ
ṯnj	caːnaj
tjmsqw	timɛskuː
dp	dɛp
jmn	jamiːnij
dpt	tʼiːpVt
twt	tuːt
ḫnd	xɛnɛd
ꜥḥꜥ	ɑːħɑː
ntṯn	nVtaːtan
stj	sɛti
nf	nɛf
ꜣrwksjndrs	ɑruːksinɛdrɛs
ꜣst	ɑsɛt
ḫntj	χintit
nwd	nuːd
wbḫ	wəβaχ
ḥzj	ħɛzi
wꜣsj	wɑsi
ḥṯṯt	ħɛt͡ʃɛt͡ʃɛt
ḏt	d͡ʒɛt
nꜣḏꜣrw	nɑd͡ʒɑruː
ẖt	çuːwat
btj	bɛti
bzj	bɛzi
ḥꜣbj	ħiʀbit
ꜣfr	ɑfɛr
ṯꜣj	ciʀjit
snt	saːnaʔ
jwnyt	iuːniːt
sꜣ	sɑ
wꜥw	weːʕə
nt	nɛt
wḫdw	wɛxɛduː
znf	zinaf
šrr	ʃaɾaʔ
wꜥꜣ	wəʕej
jtj	iti
jzft	jazaːfat
mẖꜥqt	maçʕaːqʼit
nhꜣy	nɛhɑiː
ꜣbd	ʔəβeːtʼ
sꜣrꜣqw	sɑrɑkuː
gbꜣ	ɡɛbɑ
msḏr	mest͡ʃaʔ
jky	ikiː
zꜣwtj	səʔjawtəʔ
ḫndw	xɛnduː
wn	wɛn
ꜣst	ʔeːsə
mrw	meːɾ
jspt	ʔespaʔ
mdw	mɛduː
nbs	nɛbɛs
ḫꜣy	xɑiː
ꜥqꜣ	ɑːkɑ
štj	ʃɛti
zfn	zɛfɛn
qrwjwꜣpꜣdrꜣ	kɛruːiuːɑpɑdrɑ
ꜥẖj	ɑːçi
zꜣwtj	səjawt
šzp	ʃɛzɛp
wps	wɛpɛs
ꜥrt	ɑːrɛt
nts	nətas
šnṯ	ʃɛnɛt͡ʃ
db	tʼib
wḏyt	wɛd͡ʒiːt
dm	dɛm
ḫsr	xɛsɛr
wꜣg	wɑɡ
nwt	nuːt
ntṯn	ɛntɛt͡ʃɛn
rqj	rɛki
psḏj	piscʼit
kftjw	kɛftiuː
pf	pɛf
nḫꜣḫꜣ	nɛxɑxɑ
mꜣnw	mɑnuː
ssm	sɛsɛm
ṯnj	taːnaj
nbw	nɛbuː
tꜣš	tɑʃ
nwy	nuːiː
sꜣꜣ	sɑʔɑ
tḫj	tiːχə
ḏsr	d͡ʒɛsɛr
ḥqr	ħəqʼaʔ
.wjn	ʔuːin
ꜥnj	ɑːni
ṯbwt	t͡ʃɛbuːt
ḥtrw	ħɛtɛruː
jnst	insɛt
ḥtj	ħɛti
ṯꜣy	t͡ʃɑiː
sfḫ	sɛfɛx
bṯ	bɛt͡ʃ
ḥwꜣ	ħoːw
nꜣj	nej
rmj	ɾiːmiʔ
wsḫt	wɛsxɛt
swḥt	sawħVʔ
bꜣgsw	bɑɡsuː
mnhz	manhaz
dnjt	tʼanʔə
wfj	wɛfi
swꜣj	siwʀiʔ
pꜣ	pəʔ
qs	kɛs
wꜥꜣ	wiʕiʀ
hj	hej
ṯꜣw	cuʀwuw
msḫn	mɛsxɛn
ꜥbꜥb	ɑːbɑːb
swꜣj	seʔjə
ntsnj	ɛntɛsɛni
mjktj	mikti
ḫꜣstjw	xɑstiuː
nmnm	nɛmnɛm
rwḏt	ɾawcʼit
jrp	irɛp
ꜣzḫ	ɑzɛx
sbjw	sɛbiuː
rmṯ	ɾoːmə
jsw	isuː
bꜣgj	bɑɡi
ꜣbb	ɑbɛb
rḫs	rɛxɛs
nsrt	nɛsrɛt
zꜣt	siːʔaʔ
wsjr	wasjiːɾiʔ
msꜣḏt	mɛsɑd͡ʒɛt
ḥꜣyt	ħɑiːt
wspjsyns	wɛspisiːnɛs
ꜣst	ʀuːsat
zft	seːfə
nnšm	j
ḥḥw	ħɛħuː
pzḥ	poːsəħ
ḏrt	d͡ʒɛrɛt
sr	sɛr
mḏrj	metʼɾə
ḥḏ	ħetʼ
ḥnqt	ħɛnkɛt
ḫ	xɛ
rrj	ɾiːɾ
ḥqr	ħaqʼaʔ
mnḏm	mɛnd͡ʒɛm
bnš	bɛnɛʃ
wsjr	wəsʔiːɾaʔ
smw	siːm
kmt	kɛmɛt
sḏr	sɛd͡ʒɛr
snṯr	sɛnɛt͡ʃɛr
mnḏ	mənatʼ
kꜣpt	kɑpɛt
djnw	dinuː
snb.tj	sɛnɛbʔti
pn	pɛn
wꜥj	wɑːi
ꜣw	ʀaw
nḏm	naːtʼim
sḫd	sɛxɛd
ẖnw	çɛnuː
grḥ	ɡɛrɛħ
tw.tw	tuːʔtuː
nswt	ʔənsiːʔəʔ
šwj	ʃuːi
yḥ	iːħ
sḥꜣbj	sɛħɑbi
wdḥw	wɛdɛħuː
wzf	wɛzɛf
snd	sɛnɛd
rmj	ɾiːmə
mẖnt	maçnaːjiʔ
jꜥḥ	jajħuw
dmj	tʼiːmiʔ
zḫz	zɛxɛz
ḥs	ħɛs
msjꜣt	məsoːʔ
ḥmt	ħiːmaʔ
sšmw	sɛʃmuː
ḥbs	ħɛbɛs
wbn	wɛbɛn
jꜣꜣ	iɑʔɑ
ḫtj	xɛti
mḏwtj	mət͡ʃʼəwaːtəʔ
wḫꜣ	wɛxɑ
ẖkrw	çɛkɛruː
fk	fɛk
ꜥbw	ʕoːβ
ḫrj	xɛri
šnbt	ʃɛnbɛt
šfw	ʃɛfuː
bnw	bɛnuː
bjn	βoːʔən
ḥfꜣw	ħafʀaw
ꜥwꜣy	ɑːuːɑiː
jḫ	juχ
jfdnw	ifɛdnuː
ꜣṯt	ɑt͡ʃɛt
bdt	bɛdɛt
jnm	inɛm
mwt	meʔwə
tšꜣ	toːšə
kbn	kəβan
wpt	wɛpɛt
nẖnm	nɛçnɛm
ḏḥwtj	tʼəħawt
tꜣ	tə
ẖdb	çaːtʼab
jmw	imuː
znj	zɛni
nswt	ʔənsiːʔ
ḥr	ħaːɾuw
šmꜥw	ʃɛmɑːuː
mꜥnḏt	məʕnetʼwaʔ
šꜣbꜣtꜣkꜣ	ʃɑbɑtɑkɑ
ḥfꜣt	ħafaːʀaʔ
nhj	nɛhi
ꜥḫm	ɑːxɛm
.tj	ʔti
.kj	ʔki
šzp	ʃoːp
mrw	muːɾaw
qrf	kɛrɛf
nht	naːhaʔ
ꜥꜣpp	ɑːʔɑpɛp
šnft	ʃɛnfɛt
jnpw	ʔanaːpəʔ
ꜣq	ɑk
jzftj	izfɛti
bšj	bɛʃi
sfsf	sɛfsɛf
wsjr	wasjiːɾit
nj	ni
mnt	maːnat
hbhb	hɛbhɛb
ꜥkꜣ	ɑːkɑ
ꜣd	ʔoːtʼ
pr	pɛr
ꜥnḫ	ʕaːnaχ
wꜥbt	wɑːbɛt
qꜣꜣ	kɑʔɑ
qnw	kɛnuː
rmj	rɛmi
mꜣqt	majʀaːqʼiʔ
ḏw	tʼaw
.tjwnj	ʔtiuːni
dmḏj	tʼemtʼə
ḫbꜣ	xɛbɑ
ẖrt	çuɾiʔ
ḫꜣyt	xɑiːt
nfrt	nafɾaʔ
jtḥ	itɛħ
mḥyt	maħiːjVt
sfḫw	safχaw
ꜣqḥw	ɑkɛħuː
mdw	mətʼøww
qdj	qʼetʼʔə
ḏꜣḏꜣ	cʼaʀcʼaʀ
sbꜣtj	sɛbɑti
šzp	ʃaːzap
ḥnt	ħɛnɛt
ḥꜣt	ħuːʀit
dmj	tʼiːmij
ꜣbw	juːbəʔ
zꜣw	zɑuː
ḥḏt	ħɛd͡ʒɛt
dšrt	tʼaʃɾaʔ
zšj	zɛʃi
jbj	jiːbiʔ
mhj	mɛhi
ḫpr	χaːpaɾ
bnr	βəneʔ
bjn	bin
ḫtj	χiːtit
wj	wi
ṯwfj	t͡ʃuːfi
ḏḥwtj	cʼVħawtij
tybꜣrys	tiːbɑriːs
ḥmw	ħɛmuː
ꜣmw	ɑmuː
qmꜣ	kɛmɑ
ḥwt	ħuːt
ꜥmꜥt	ʕamʕaʔ
bꜣt	bɑt
ẖnmw	çənoːm
nnšm	n
jꜣbtj	iɑbti
ꜥꜥft	ɑːʔɑːfɛt
ḫꜣ	χaʀ
snwj	sinuwwaj
mrj	miɾjit
zẖꜣw	zɛçɑuː
šꜥ	ʃɑː
nfr	naːfə
sṯt	sɛt͡ʃɛt
ḫwd	xuːd
wḏb	waːcʼab
ms	mes
šspw	ʃɛspuː
dmḏj	tʼaːmatʼ
ḥwrw	ħuːruː
kꜣpw	kɑpuː
tw	tuː
sꜥḥꜥ	sɛɑːħɑː
ḥzt	ħɛzɛt
zꜣ	siːʀ
dꜣt	dɑt
rmyt	rəmeːʔəʔ
dwꜣt	tʼeːʔə
smj	sɛmi
jnjwbꜣ	iniuːbɑ
wꜣḫj	wɑxi
tꜣ	təʔ
nhp	nɛhɛp
mḥsḥs	mɛħɛsħɛs
mꜥnḏt	mVʕnicʼwVt
