vitamiene	vitɐminə
daktent	dɐktɛnt
lisensie	ləsɛːnsi
bladsy	blɐtsɛɪ
Classics	klɐsəks
Watkykertjies	vɐtkɛɪkərcis
Basket	bɐskɛt
Afrikanervrou	ɐfrikɑːnərfrəʊ
melodrama	mɛludrɑːmɐ
héle	hiələ
insamel	ənsɑːməl
Onderweg	ɔnərvæx
kilogram	kiluxrɐm
vog	fɔx
stuurman	styːrmɐn
toekenningseremonie	tukɛnəŋsɛrəmʊəni
Bernhard	bærnhɐrt
uitgesonder	øytxəsɔnər
pantser	pɐntsər
handelswyse	hɐndəlsvɛɪsə
seats	siəɐts
rib	rəp
pleister	plɛɪstər
gesprek	xəspræk
hulpbronne	hœlpbrɔnə
swaargekry	swɑːrxəkrɛɪ
hofrol	hɔfrɔl
locus	lʊəkœs
Golding	xɔldəŋ
www	viəviəviə
Joris	jʊərəs
Simone	simʊənə
skuilnaam	skøylnɑːm
dienaar	dinɑːr
geaktiveerde	xəɐktifiərdə
Pasteurella	pɐstøərəlɐ
Lichtenstein	ləxtənstɛɪn
argumentering	ɐrxymɛntiərəŋ
Sunflower	sœnflʊəvər
sopkombuise	sɔpkɔmbøysə
was	vɐs
Godheid	xɔthɛɪt
heksery	hɛksərɛɪ
Kiara	kiɑːrɐ
Ondersoek	ɔnərsuk
Heil	hɛɪl
meegevoer	miəxəfuːr
Tante	tɑ̃ntə
Wenresepte	vɛnrəsɛptə
Norman	nɔrmɐn
Corolla	kʊərɔlɐ
Belegging	bəlæxəŋ
afwag	ɐfvɐx
analis	ɐnɐləs
Skandinawiese	skɐndənɑːvisə
missie	misi
tabak	tɐbɐk
moordklag	mʊərtklɐx
veelseggend	fiəlsæxənt
Curro	kœru
RockHoërskool	rɔkhuːərskʊəl
Carolus	kɑːrʊəlœs
Nadere	nɑːdərə
doodloop	dʊətlʊəp
Metropolitan	mɛtrʊəpʊəlitɐn
oefen	ufən
presies	prəsis
aanbid	ɑːnbət
spier	spiːr
Brief	brif
dieselfe	disəlfə
Soteer	sutiər
vakatures	fɐkətyrəs
bokkoms	bɔkɔms
kontakte	kɔntɐktə
artikel	ɐrtikəl
geneesmiddel	xəniəsmədəl
atlas	ɐtlɐs
kastrol	kɐstrɔl
Wool	vʊəl
Fasiliteite	fɐsəlitɛɪtə
akoestiek	ɐkustik
plot	plɔt
oorwegend	ʊərviəxənt
Nat	nɐt
geplaveide	xəplɐfɛɪdə
GEBED	xəbɛt
uitleggers	øytlæxərs
reglement	rəxləmɛnt
verslawende	fərslɑːvəndə
RGN	ærxiəɛn
Meteens	mɛtiəns
eendragtig	iəndrɐxtəx
Zebra	ziəbrɐ
elektrifisering	ilɛktrifisiərəŋ
Dissipline	dəsəplinə
dreigemente	drɛɪxəmɛntə
opstandingsliggaam	ɔpstɐndəŋsləxɑːm
geween	xəviən
BH	biəhɑː
spreekwoord	spriəkvʊərt
fakture	fɐktyrə
ekstras	ɛkstrɐs
Han	hɐn
ambisies	ɐmbisis
dammetjies	dɐmicis
Televisie	tæləvisi
Taljard	tɐljɐrt
muur	myr
Genocide	xənʊəsidə
buurtwag	byrtvɐx
sosialiseer	sʊəʃiɐlisiər
skrefies	skriəfis
Vernuwing	fərnyvəŋ
eise	ɛɪsə
goedgunstiglik	xutxœnstəxlək
veertig	fiərtəx
Swanger	swɐŋər
misdaadtoneel	məsdɑːtuniəl
Yashua	ɛɪɐshyɑː
karretjies	kɐricis
middelgrond	mədəlxrɔːnt
dese	diəsə
Vera	viərɐ
Onsekerheid	ɔnsiəkərhɛɪt
gesug	xəsœx
scheme	ʃiəmə
afmetings	ɐfmiətəŋs
obstruksie	ɔpstrœksi
voorbehoedmiddels	fʊərbəhutmədəls
toonsettings	tʊənsɛtəŋs
verkiesingsveldtog	fərkisəŋsfæltɔx
beduiwel	bədøyvəl
lippe	ləpə
roomkleurige	rʊəmkløərəxə
saag	sɑːx
Frontier	frɔntiːr
turkoois	tœrkʊɪs
hemele	hiəmələ
Christi	xrəsti
Driejarige	drijɑːrəxə
aankondigings	ɑːŋkɔndəxəŋs
parkeerarea	pɐrkiərɑːriɐ
Beleggers	bəlæxərs
Gewoonlik	xəvʊənlək
ewe	iəvə
ers	ærs
kabouter	kɐbəʊtər
tydstip	tɛɪtstəp
oefensessie	ufənsɛsi
pet	pɛt
wagtydperk	vɐxtɛɪtpærk
redenaar	riədənɑːr
doodmoeg	dʊətmux
uitgepass	øytxəpɐs
sparre	spɐrə
NUUS	nys
intekenare	əntiəkənɑːrə
kantore	kɐntʊərə
akademici	ɐkədiəmisi
finansier	finɐnsiːr
due	dyə
Designs	diəsəxns
af	ɐf
konferensies	kɔnfərɛnsis
meesterlike	miəstərləkə
Bause	bəʊsə
saamgery	sɑːmxərɛɪ
benamings	bənɑːməŋs
katvoet	kɐtfut
getitel	xətitəl
Oppikoppi	ɔppikɔpi
scary	skɐrɛɪ
kosskool	kɔskʊəl
miershope	miːrshʊəpə
gewink	xəvəŋk
Gemaklik	xəmɐklək
gepla	xəplɑː
konst	kɔnst
tagtigerjare	tɐxtəxərjɑːrə
slepende	sliəpəndə
oënskou	uːənskəʊ
diepste	dipstə
stry	strɛɪ
grootword	xrʊətvɔrt
NGC	ɛnxiəsiə
sôe	sɔːə
kritikus	krətikœs
begunstig	bəxœnstəx
deurdrenk	dyərdrɛŋk
gear	xəɐr
Les	lɛs
visioene	visiunə
maandstonde	mɑːntstɔndə
Lappies	lɐpis
gegradueerdes	xəxrɐdyiərdəs
lewenstaak	liəvənstɑːk
Suzuki	syzyki
verwonder	fərvɔnər
kwalifiseer	kwɐlifisiər
grondliggend	xrɔːntləxənt
Romanse	rumɐnsə
Izakdv	izɐktf
Donau	dunəʊ
Gooi	xɔɪ
proe	pru
videos	vidius
briljant	brəljɐnt
werksaamhede	værksɑːmhiədə
STORIEWERF	stʊəriværf
kruietuin	krøyətøyn
Johanna	juhɐnɐ
Jovan	jʊəfɐn
Snyman	snɛɪmɐn
Masango	mɑːsɐŋu
joernaliste	jurnɐləstə
anner	ɐnər
Namib	nɑːməp
gesaghebbendes	xəsɐxhɛbəndəs
dodelike	dʊədələkə
Carla	kɐrlɑː
Swartruggens	swɐrtrœxəns
oefenprogramme	ufənpruxrɐmə
komponeer	kɔmpuniər
uitlating	øytlɑːtəŋ
Numsa	nœmsɑː
paradokse	pɐrɐdɔksə
Romantiese	rumɐntisə
vlamgevat	flɐmxəfɐt
tegemoet	təxəmut
mieliepitte	milipətə
weeshuise	viəshøysə
binnewêreld	bənəvæːrəlt
Dané	dɑːnə
many	mɐnɛɪ
Vou	fəʊ
Somerset	sʊəmərsɛt
datastel	dɑːtɐstæl
vakuum	vɐkym
reenboog	riənbʊəx
ingekleur	ənxəkløər
Kodes	kʊədəs
sportdag	spɔrtdɐx
Gorbatsjof	xɔrbɐtʃɔf
musiekmaak	mœsikmɑːk
tolvrye	tɔlfrɛɪə
vissersgemeenskap	fəsərsxəmiənskɐp
oopte	ʊəptə
Gereformeerde	xərəfɔrmiərdə
Garsfontein	xɐrsfɔntɛɪn
Sutra	sœtrɐ
plonspoel	plɔnspul
terugbaklei	trœxbəklɛɪ
ontvouing	ɔntfəʊəŋ
Resep	rəsɛp
saam	sɑːm
knaldemper	knɐldɛmpər
Inwoner	ənvʊənər
Federal	fɛdərɐl
gestoor	xəstʊər
negatiefs	niəxɐtifs
halfprys	hɐlfprɛɪs
nikotien	nikutin
ontluikende	ɔntløykəndə
Witzenberg	vətsənbærx
Leerderboek	liərdərbuk
KWB	kɑːviəbiə
afkeur	ɐfkøər
tameletjie	tɐməlɛici
wreedhede	vriəthiədə
Blade	blɐtə
aarsel	ɑːrsəl
glorieryke	xlʊərirɛɪkə
Spieël	spiːəl
proefneming	prufniəməŋ
klop	klɔp
Dad	dɐt
gestremdhede	xəstrɛmthiədə
matrose	mɐtrʊəsə
Gonzales	xɔnzɑːləs
Waartoe	vɑːrtu
Smile	smilə
Kritici	krətisi
Spring	sprəŋ
toegedaan	tuxədɑːn
Oompie	ʊəmpi
tempo	tɛmpu
paradigmaskuif	pɐrɐdəxmɐskøyf
geoes	xəus
voortreflikheid	fʊərtrɛfləkhɛɪt
Ruler	rylər
ritme	rətmə
reaktor	riɐktɔr
histeriese	histiərisə
besprinkel	bəsprəŋkəl
opgesoek	ɔpxəsuk
desnieteenstaande	dɛsnitiənstɑːndə
Kok	kɔk
Moller	mɔlər
yes	ɛɪɛs
GWK	xiəviəkɑː
Konvensie	kɔnfɛnsi
koerantberigte	kurɐntbərəxtə
verraaier	fərrɑɪər
NDP	ɛndiəpiə
uitlegging	øytlæxəŋ
Geloofsfamilie	xəlʊəfsfɐmili
bring	brəŋ
inleiding	ənlɛɪdəŋ
afgee	ɐfxiə
pragtig	prɐxtəx
salonne	sɐlɔnə
Harbour	hɐrbəʊr
speels	spiəls
woonagtig	vʊənɐxtəx
agtereenvolgende	ɐxtəriənfɔlxəndə
Erongostreek	iərɔŋɔstriək
dogterjie	dɔxtərji
monoloog	mʊənulʊəx
Snaakse	snɑːksə
riviermondings	rəfiːrmɔndəŋs
geseil	xəsɛɪl
voog	fʊəx
Erfurthuis	ærfœrthøys
boustyl	bəʊstɛɪl
strawwe	strɐvə
versterking	fərstærkəŋ
skuldigbevinding	skœldəxbəfəndəŋ
stoetdiere	stutdiːrə
skilders	skəldərs
federale	fɛdərɑːlə
betroubaar	bətrəʊbɑːr
joppie	jɔpi
Sake	sɑːkə
Bauer	baʊər
Latynse	lɐtɛɪnsə
kwaadwillig	kwɑːtvələx
Kirstenbosch	kərstənbɔs
Hoedat	hudɐt
Landsdiens	lɐntsdins
gevaarligte	xəfɑːrləxtə
Alida	ɐlidɐ
slaaptyd	slɑːptɛɪt
rouproses	rəʊprusɛs
Inc	əŋk
Lekker	lækər
noteer	nutiər
rotskuns	rɔtskœns
Kamati	kɑːmɑːti
Sáám	sɑːm
verduidelikende	fərdøydələkəndə
Woema	vumɐ
beoordelaar	bəʊərdiəlɑːr
Yale	ɛɪɑːlə
Reynard	rɛɪnɐrt
beskik	bəskək
Madison	mɐdisɔn
teologie	tiuluxi
suurlemoensap	syrləmunsɐp
tempel	tɛmpəl
Marriage	mɐriɑːxə
interpretasies	əntərprətɑːsis
geban	xəbɐn
staatspresident	stɑːtsprəsədɛnt
selfondersoek	sælfɔnərsuk
eens	iəns
bakteriese	bɐktiərisə
Assegaai	ɐsəxɑɪ
gekapte	xəkɐptə
moslems	mɔslɛms
verslawend	fərslɑːvənt
gekleur	xəkløər
Australiese	ʊəstrɑːlisə
bewustelike	bəvœstələkə
skaakspel	skɑːkspæl
kwaadwillige	kwɑːtvələxə
motorversekering	mʊətərfərsiəkərəŋ
reinheid	rɛɪnhɛɪt
Elanie	iəlɑːni
Broederbond	brudərbɔnt
Klerksdorp	klærksdɔrp
Karakter	kɐrɐktər
boumateriaal	bəʊmɐtiəriɑːl
kinderpartytjies	kəndərpɐrtɛɪcis
Sharnelle	ʃɐrnælə
skoolmaat	skʊəlmɑːt
menere	məniərə
geweeg	xəviəx
opstelle	ɔpstælə
lb	ælbiə
Diaan	diɑːn
Spa	spɑː
vrolike	frʊələkə
Tjiff	tʃəf
linkeroog	ləŋkərʊəx
Gasvrou	xɐsfrəʊ
koördineer	kuɔrdəniər
hierde	hiːrdə
Immigrasie	əməxrɑːsi
meteoriet	mitiurit
Voorstel	fʊərstæl
heelagter	hiəlɐxtər
toi	tɔɪ
Roxy	ruksɛɪ
Suiderland	søydərlɐnt
ontwikkelinge	ɔntvəkələŋə
mannekrag	mɐnəkrɐx
Witman	vətmɐn
oorkook	ʊərkʊək
animasieprent	ɐnimɑːsiprɛnt
oggende	ɔxəndə
spinasie	spinɑːsi
bloubosluise	bləʊbɔsløysə
chemies	xiəmis
verkoping	fərkʊəpəŋ
middelgroot	mədəlxrʊət
pedagogiese	pɛdɐxʊəxisə
trourokke	trəʊrɔkə
voetstuk	futstœk
geneigd	xənɛɪxt
ousus	əʊsœs
Spanning	spɐnəŋ
uitstaller	øytstɐlər
Klaas	klɑːs
Unsubscribe	œnsœbskribə
neig	nɛɪx
onomwonde	ɔnɔmvɔndə
Fidji	fətji
Toulon	təʊlɔn
Griekwas	xrikwɐs
geparkeer	xəpɐrkiər
reise	rɛɪsə
aldaar	ɐldɑːr
volkstelling	fɔlkstæləŋ
Leef	liəf
bromponie	brɔmpʊəni
roepstem	rupstɛm
mail	maɪl
oorspronklike	ʊərsprɔŋkləkə
Africans	ɐfrikɐns
koeie	kuɪə
rooibruin	rʊɪbrøyn
Godsdienstige	xɔtsdinstəxə
Mesag	miəsɐx
lesmateriaal	lɛsmɐtiəriɑːl
omwenteling	ɔmvɛntələŋ
Nest	nɛst
vergeestelik	fərxiəstələk
aangesluit	ɑːnxəsløyt
Straat	strɑːt
Letland	lɛtlɐnt
skattejag	skɐtəjɐx
Butterfly	bœtərflɛɪ
bemiddeling	bəmədələŋ
Ghoema	ɡumɐ
instrukteurs	ənstrœktøərs
Volkskool	fɔlkskʊəl
Erfenisdag	ærfənəsdɐx
Areva	ɑːrəfɐ
lorrie	lɔri
sonde	sɔndə
Andersen	ɐndərsən
tweelinge	twiələŋə
Dolla	dɔlɐ
gewerf	xəværf
zebras	ziəbrɐs
Vegas	fiəxɐs
mynbou	mɛɪnbəʊ
DNS	diəɛnɛs
Chile	xilə
numeriese	nymiərisə
Lara	lɑːrɐ
boodskappie	bʊətskɐpi
Jaarsveldt	jɑːrsfælt
Bowendien	bʊəvəndin
membrane	mɛmbrɑːnə
Uittreksels	øyttræksəls
AWESOME	ɑːvəsʊəmə
Mercury	mærkyrɛɪ
slaghuis	slɐxhøys
jukke	jœkə
Leë	liə
verdigting	fərdəxtəŋ
handdoeke	hɐndukə
Gedurende	xədyrəndə
dommer	dɔmər
aangrypend	ɑːnxrɛɪpənt
hoofletter	hʊəflɛtər
Zackie	zɐki
Renate	rənɑːtə
Welsyn	vælsɛɪn
br	biəær
landboumasjinerie	lɐntbəʊmɐʃinəri
lewegewende	liəvəxiəvəndə
gesiggie	xəsəxi
gepoleerde	xəpuliərdə
Saailinge	sɑɪləŋə
passievol	pɐsifɔl
knoppie	knɔpi
bonatuurlike	bʊənɐtyrləkə
Normandië	nɔrmɐndiəiəə
vaardige	fɑːrdəxə
stik	stək
Adrio	ɐdriʊə
Keuring	køərəŋ
ondermaanse	ɔnərmɑ̃nsə
tekorte	təkɔrtə
Therapy	tiərɐpɛɪ
opgegaar	ɔpxəxɑːr
grimeerkunstenaar	xrəmiərkœnstənɑːr
vakansie	fəkɐnsi
rasionaliseer	rɐʃiʊənɐlisiər
WBGK	viəbiəxiəkɑː
organismes	ɔrxɑːnəsməs
Gérard	xərɐrt
landmerk	lɐntmærk
rasend	rɑːsənt
moewiese	muvisə
naamwoord	nɑːmvʊərt
bakplate	bɐkplɑːtə
liggaamstaal	ləxɑːmstɑːl
Chameleon	xɑːmiəliəɔn
morfien	mɔrfin
Poseidon	pusɛɪdɔn
parallelmedium	pɐrɐlælmiːdiœm
blootgestelde	blʊətxəstældə
opkook	ɔpkʊək
NG	ɛnxiə
Esselenpark	ɛsələnpɐrk
Donkerkamer	dɔŋkərkɑːmər
spesiaal	spɛʃiɑːl
Tyler	tɛɪlər
hittete	hətətə
generasies	xənərɑːsis
selwers	sælvərs
geappelleer	xəɐpəliər
Douw	dəʊ
afdraai	ɐfdrɑɪ
aantoon	ɑːntʊən
weggehardloop	væxəhɐrtlʊəp
Risk	rəsk
strooitjies	strʊɪcis
Kouga	kəʊxɐ
afdop	ɐfdɔp
onbenullig	ɔnbənœləx
rondte	rɔntə
forward	fɔrvɐrt
uitdoof	øytdʊəf
lelik	liələk
gevrek	xəfræk
Argeologiese	ɐrxiulʊəxisə
Saterdagnag	sɑːtərdɐxnɐx
funksionering	fœŋkʃiuniərəŋ
LEES	liəs
spekulante	spɛkylɐntə
Lydenstyd	lɛɪdənstɛɪt
Spr	ɛspiəær
indeel	əndiəl
orreliste	ɔrələstə
album	ɐlbœm
vlooi	flʊɪ
Annette	ɐnɛt
goor	xʊər
kloosterlewe	klʊəstərliəvə
netsoos	nɛtsʊəs
weerloosheid	viərlʊəshɛɪt
LET	lɛt
Links	ləŋks
visstok	fəstɔk
plaasseun	plɑːsøən
Gibeon	xibiəɔn
Sentra	sɛntrɐ
Stockholm	stɔkhɔləm
Muir	møyr
rentekoerse	rɛntəkursə
reeksnommer	riəksnɔmər
joue	jəʊə
yielded	ɛɪildɛt
skoonveld	skʊənfælt
Gebruiker	xəbrøykər
LNR	ælɛnær
kiesafdeling	kisɐfdiələŋ
rusie	rysi
Stock	stɔk
Age	ɑːxə
Visa	fəsɐ
rits	rəts
Verskriklik	fərskrəklək
