Зенги	zˈɛŋɡɪ
менаџерима	mˈɛnɐd͡ʒˌɛrɪmɐ
Валентино	vˈalɛntˌɪno
измерен	ˈizmɛrɛn
квадрат	kvˈadrɐt
поријеклом	pˈorɪjˌeklom
основао	ˈosnovˌɐo
регистровано	rˈɛɡɪstrˌovɐno
прелиминарним	prˈɛlɪmˌɪnɑrnɪm
узора	ˈuzorɐ
грчким	ɡrt͡ʃkˈim
подиже	pˈodɪʒɛ
Кантон	kˈanton
претходних	prˈɛthodnɪh
Озон	ˈozon
специјализоване	spˈɛt͡sɪjˌɐlɪzˌovɐnɛ
превентивног	prˈɛvɛntˌɪvnoɡ
разоружа	rˈazorˌʊʒɐ
Industries	ˈindʊstrˌɪɛs
вуном	vˈunom
Укупан	ˈukʊpɐn
младога	mlˈadoɡɐ
Потомци	pˈotomt͡sɪ
Барски	bˈɑrskɪ
Шермана	ʃˈɛrmɐnɐ
разломака	rˈazlomˌɐkɐ
спале	spˈalɛ
наргиле	nˈɑrɡɪlɛ
Маргарита	mˈɑrɡɑrˌɪtɐ
двојног	dvˈojnoɡ
владарев	vlˈadɑrɛv
Јеленом	jˈelɛnom
Верски	vˈɛrskɪ
троје	trˈoje
поретка	pˈorɛtkɐ
Далматинске	dˈalmɐtˌɪnskɛ
Мериме	mˈɛrɪmɛ
повратних	pˈovrɐtnɪh
чамац	t͡ʃˈamɐt͡s
спречавала	sprˈɛt͡ʃɐvˌɐlɐ
Наумовић	nˈaʊmˌovɪt͡ɕ
Пролазећи	prˈolɐzˌɛt͡ɕɪ
Педагошка	pˈɛdɐɡˌoʃkɐ
задатку	zˈadɐtkʊ
Обласног	ˈoblɐsnoɡ
трачеве	trˈat͡ʃɛvɛ
мотива	mˈotɪvɐ
Енрико	ˈɛnrɪko
капетани	kˈapɛtˌɐnɪ
слухом	slˈuhom
Револуционарни	rˈɛvolˌʊt͡sɪˌonɑrnɪ
Власеници	vlˈasɛnˌɪt͡sɪ
најужи	nˈɑjʊʒɪ
феудалаца	fˈɛʊdˌɐlɐt͡sɐ
Ули	ˈulɪ
Гете	ɡˈɛtɛ
третиран	trˈɛtɪrɐn
значајном	znˈat͡ʃɑjnom
гуслар	ɡˈuslɑr
Првом	prvˈom
уморне	ˈumornɛ
дирке	dˈirkɛ
Увек	ˈuvɛk
јерусалимског	jˈerʊsˌɐlɪmskoɡ
Њиве	ɲˈivɛ
Излагао	ˈizlɐɡˌɐo
отараси	ˈotɑrˌɐsɪ
Мегари	mˈɛɡɑrɪ
Амерички	ˈamɛrˌɪt͡ʃkɪ
смењивали	smˈɛɲɪvˌɐlɪ
Нишу	nˈiʃʊ
Самостан	sˈamostɐn
Кливленд	klˈivlɛnd
Арена	ˈɑrɛnɐ
Масако	mˈasɐko
покажу	pˈokɐʒʊ
Картагињане	kˈɑrtɐɡˌɪɲɐnɛ
административна	ˈadmɪnˌɪstrɐtˌɪvnɐ
марксистичке	mˈɑrksɪstˌɪt͡ʃkɛ
мешавину	mˈɛʃɐvˌɪnʊ
новосадске	nˈovosˌɐtskɛ
Заједнице	zˈɑjednˌɪt͡sɛ
Главас	ɡlˈavɐs
одвикавање	ˈodvɪkˌɐvɐɲe
књигу	kɲˈiɡʊ
Индију	ˈindɪjʊ
целини	t͡sˈɛlɪnɪ
победница	pˈobɛdnˌɪt͡sɐ
реактивног	rˈɛɐktˌɪvnoɡ
прекиде	prˈɛkɪdɛ
утицајне	ˈutɪt͡sˌɑjnɛ
сестра	sˈɛstrɐ
ескадрилу	ˈɛskɐdrˌɪlʊ
распон	rˈaspon
молер	mˈolɛr
абортуса	ˈabortˌʊsɐ
оствариле	ˈostvɑrˌɪlɛ
окупаторских	ˈokʊpˌɐtorskɪh
посинак	pˈosɪnɐk
ступали	stˈupɐlɪ
мото	mˈoto
Њој	ɲˈoj
којега	kˈojeɡɐ
повукле	pˈovʊklɛ
крвна	krvnˈa
струје	strˈuje
надмашују	nˈadmɐʃˌʊjʊ
еснаф	ˈɛsnɐf
сапунице	sˈapʊnˌɪt͡sɛ
шестог	ʃˈɛstoɡ
превазишло	prˈɛvɐzˌɪʃlo
конципирана	kˈont͡sɪpˌɪrɐnɐ
Волш	vˈolʃ
изданцима	ˈizdɐnt͡sˌɪmɐ
мају	mˈɑjʊ
Диксон	dˈikson
Именована	ˈimɛnˌovɐnɐ
Сами	sˈamɪ
Лее	lˈɛɛ
реалистичком	rˈɛɐlˌɪstɪt͡ʃkom
комору	kˈomorʊ
прашина	prˈaʃɪnɐ
урушила	ˈurʊʃˌɪlɐ
Десе	dˈɛsɛ
изразиту	ˈizrɐzˌɪtʊ
реконструисани	rˈɛkonstrˌʊɪsˌɐnɪ
ликвидирали	lˈikvɪdˌɪrɐlɪ
погрешне	pˈoɡrɛʃnɛ
опне	ˈopnɛ
приказана	prˈikɐzˌɐnɐ
референтне	rˈɛfɛrˌɛntnɛ
узврате	ˈuzvrɐtɛ
операнди	ˈopɛrˌɐndɪ
стилске	stˈilskɛ
штап	ʃtˈap
патриција	pˈatrɪt͡sˌɪjɐ
покрет	pˈokrɛt
Одсјек	ˈotsjek
процену	prˈot͡sɛnʊ
чистили	t͡ʃˈistɪlɪ
Ружице	rˈuʒɪt͡sɛ
пронађеног	prˈonɐd͡ʑˌɛnoɡ
мењани	mˈɛɲɐnɪ
Креатори	krˈɛɐtˌorɪ
жућкасте	ʒˈut͡ɕkɐstɛ
сачекати	sˈat͡ʃɛkˌɐtɪ
уклоњени	ˈukloɲˌenɪ
рути	rˈutɪ
задуго	zˈadʊɡo
изразили	ˈizrɐzˌɪlɪ
досељавају	dˈosɛʎˌɐvɑjʊ
Титом	tˈitom
Јесење	jˈesɛɲe
набори	nˈaborɪ
Формуле	fˈormʊlɛ
Аустрија	ˈaʊstrˌɪjɐ
Калифорнија	kˈalɪfˌornɪjɐ
дистанце	dˈistɐnt͡sɛ
приписују	prˈipɪsˌʊjʊ
Педесетих	pˈɛdɛsˌɛtɪh
охрабрити	ˈohrɐbrˌɪtɪ
лоцирања	lˈot͡sɪrˌɐɲɐ
Арсенијем	ˈɑrsɛnˌɪjem
Нађа	nˈad͡ʑɐ
ограђени	ˈoɡrɐd͡ʑˌɛnɪ
смеју	smˈejʊ
тенор	tˈɛnor
спавају	spˈavɑjʊ
миграцију	mˈiɡrɐt͡sˌɪjʊ
Тител	tˈitɛl
Побједа	pˈobjedɐ
Монголима	mˈoŋɡolˌɪmɐ
класицима	klˈasɪt͡sˌɪmɐ
Садржао	sˈadrʒɐo
оклопних	ˈoklopnɪh
заказан	zˈakɐzɐn
Хари	xˈɑrɪ
скривања	skrˈivɐɲɐ
Кригер	krˈiɡɛr
изложбом	ˈizloʒbom
Став	stˈav
супротстављала	sˈuprotstˌɐvljɐlɐ
зависан	zˈavɪsɐn
Тимок	tˈimok
коферу	kˈofɛrʊ
опседнут	ˈopsɛdnʊt
фаталне	fˈatɐlnɛ
запоставио	zˈapostˌɐvɪo
Грејди	ɡrˈejdɪ
дефанзивца	dˈɛfɐnzˌɪft͡sɐ
свештенства	svˈɛʃtɛnstvɐ
Озбиљно	ˈozbɪʎno
кадете	kˈadɛtɛ
насловна	nˈaslovnɐ
црногорске	t͡srnˈoɡorskɛ
суспендоване	sˈuspɛndˌovɐnɛ
узгоју	ˈuzɡojʊ
злоупотребљавају	zlˈo͡ʊpotrˌɛbʎɐvˌɑjʊ
приказано	prˈikɐzˌɐno
Радови	rˈadovɪ
преносом	prˈɛnosom
Валети	vˈalɛtɪ
одстрањивање	ˈotstrɐɲˌɪvɐɲe
слушајући	slˈuʃɑjˌʊt͡ɕɪ
момак	mˈomɐk
Цицерона	t͡sˈit͡sɛrˌonɐ
Аја	ˈɑjɐ
Новембра	nˈovɛmbrɐ
настављени	nˈastɐvljˌenɪ
јачих	jˈat͡ʃɪh
нестаје	nˈɛstɑje
Каталоније	kˈatɐlˌonɪje
копа	kˈopɐ
Мистерија	mˈistɛrˌɪjɐ
Гијома	ɡˈijomɐ
запретила	zˈaprɛtˌɪlɐ
структура	strˈuktʊrɐ
Берил	bˈɛrɪl
фортификације	fˈortɪfˌɪkɐt͡sˌɪje
налазећи	nˈalɐzˌɛt͡ɕɪ
петиције	pˈɛtɪt͡sˌɪje
Племена	plˈɛmɛnɐ
запосленог	zˈaposlˌɛnoɡ
Родољуб	rˈodoʎʊb
развијене	rˈazvɪjˌenɛ
површина	pˈovrʃɪnɐ
ваздухопловаца	vˈazdʊhˌoplovˌɐt͡sɐ
смртоносно	smrtˈonosno
продавницу	prˈodɐvnˌɪt͡sʊ
плавим	plˈavɪm
дахија	dˈahɪjɐ
пртљага	prtʎˈaɡɐ
потврдиле	pˈotvrdɪlɛ
обећале	ˈobɛt͡ɕˌɐlɛ
Тура	tˈurɐ
криминалне	krˈimɪnˌɐlnɛ
чланице	t͡ʃlˈanɪt͡sɛ
атарима	ˈatɑrˌɪmɐ
Чукљеник	t͡ʃˈukʎenɪk
Бранко	brˈaŋko
постигнутим	pˈostɪɡnˌʊtɪm
одгајио	ˈodɡɑjˌɪo
Препоруке	prˈɛporˌʊkɛ
Ина	ˈinɐ
едукацијом	ˈɛdʊkˌɐt͡sɪjom
Семенке	sˈɛmɛŋkɛ
Престоне	prˈɛstonɛ
Сета	sˈɛtɐ
указивале	ˈukɐzˌɪvɐlɛ
цинк	t͡sˈiŋk
Једрена	jˈedrɛnɐ
кухиње	kˈuhɪɲe
унапређивању	ˈunɐprˌɛd͡ʑɪvˌɐɲʊ
Џефово	d͡ʒˈɛfovo
Републички	rˈɛpʊblˌɪt͡ʃkɪ
њ	ɲˈə
картинг	kˈɑrtɪŋɡ
Фројду	frˈojdʊ
извозних	ˈizvoznɪh
Јефрем	jˈefrɛm
ароматична	ˈɑromˌɐtɪt͡ʃnɐ
Неретву	nˈɛrɛtvʊ
Педагошке	pˈɛdɐɡˌoʃkɛ
четинарских	t͡ʃˈɛtɪnˌɑrskɪh
опцијом	ˈopt͡sɪjom
граматике	ɡrˈamɐtˌɪkɛ
Њујоршкој	ɲˈujorʃkoj
Шпанског	ʃpˈanskoɡ
смеру	smˈɛrʊ
посећује	pˈosɛt͡ɕˌʊje
препознатљивом	prˈɛpoznˌɐtʎɪvom
source	sˈo͡ʊrt͡sɛ
трансформацијом	trˈansformˌɐt͡sɪjom
оснивана	ˈosnɪvˌɐnɐ
креатор	krˈɛɐtor
отпад	ˈotpɐd
четвртка	t͡ʃˈɛtvrtkɐ
забавну	zˈabɐvnʊ
Звонимира	zvˈonɪmˌɪrɐ
посједу	pˈosjedʊ
оклевања	ˈoklɛvˌɐɲɐ
соларну	sˈolɑrnʊ
дворцем	dvˈort͡sɛm
об	ˈob
празничним	prˈaznɪt͡ʃnɪm
десант	dˈɛsɐnt
констатовати	kˈonstɐtˌovɐtɪ
допунског	dˈopʊnskoɡ
Експлоатација	ˈɛksploˌɐtɐt͡sˌɪjɐ
предмете	prˈɛdmɛtɛ
ПМ	pˈəmˌə
стражом	strˈaʒom
надимка	nˈadɪmkɐ
санкције	sˈaŋkt͡sɪje
Роџером	rˈod͡ʒɛrom
Аридеј	ˈɑrɪdej
Метлок	mˈɛtlok
мајицу	mˈɑjɪt͡sʊ
Августу	ˈavɡʊstʊ
сазивање	sˈazɪvˌɐɲe
лековитог	lˈɛkovˌɪtoɡ
урбанизовано	ˈurbɐnˌɪzovˌɐno
гајили	ɡˈɑjɪlɪ
рјешења	rjˈeʃɛɲɐ
Очајнички	ˈot͡ʃɑjnˌɪt͡ʃkɪ
екватору	ˈɛkvɐtˌorʊ
питомца	pˈitomt͡sɐ
дискографске	dˈiskoɡrˌɐfskɛ
уметање	ˈumɛtˌɐɲe
послатих	pˈoslɐtɪh
Режим	rˈɛʒɪm
Светла	svˈɛtlɐ
Летећи	lˈɛtɛt͡ɕɪ
Добра	dˈobrɐ
трагова	trˈaɡovɐ
полна	pˈolnɐ
Симпсон	sˈimpson
Пипл	pˈipl̩
Произвођачи	prˈoɪzvˌod͡ʑɐt͡ʃɪ
Рамиз	rˈamɪz
укућане	ˈukʊt͡ɕˌɐnɛ
Орегон	ˈorɛɡon
грди	ɡrdˈi
Џуди	d͡ʒˈudɪ
другог	drˈuɡoɡ
свадба	svˈadbɐ
аустријску	ˈaʊstrˌɪjskʊ
Одре	ˈodrɛ
мушки	mˈuʃkɪ
групно	ɡrˈupno
стоматологију	stˈomɐtˌoloɡˌɪjʊ
супротног	sˈuprotnoɡ
Сенегал	sˈɛnɛɡɐl
избацивао	ˈizbɐt͡sˌɪvɐo
Рејес	rˈejes
уклесана	ˈuklɛsˌɐnɐ
угостио	ˈuɡostˌɪo
досије	dˈosɪje
мрежни	mrˈɛʒnɪ
Заједно	zˈɑjedno
придружене	prˈidrʊʒˌɛnɛ
Развоју	rˈazvojʊ
преварили	prˈɛvɑrˌɪlɪ
Хе	xˈɛ
лисне	lˈisnɛ
ватру	vˈatrʊ
стратегији	strˈatɛɡˌɪjɪ
мапира	mˈapɪrɐ
окренут	ˈokrɛnʊt
Просторни	prˈostornɪ
султан	sˈultɐn
академија	ˈakɐdˌɛmɪjɐ
хиндуизам	xˈindʊˌɪzɐm
творца	tvˈort͡sɐ
Селџуци	sˈɛld͡ʒʊt͡sɪ
пекари	pˈɛkɑrɪ
плитко	plˈitko
инверзне	ˈinvɛrznɛ
проблематична	prˈoblɛmˌɐtɪt͡ʃnɐ
Филолошки	fˈilolˌoʃkɪ
Поједине	pˈojedˌɪnɛ
Позоришту	pˈozorˌɪʃtʊ
конфискована	kˈonfɪskˌovɐnɐ
изложеност	ˈizloʒˌɛnost
домету	dˈomɛtʊ
заветина	zˈavɛtˌɪnɐ
Чупић	t͡ʃˈupɪt͡ɕ
Иван	ˈivɐn
Примирје	prˈimɪrje
лонци	lˈont͡sɪ
нови	nˈovɪ
пиротског	pˈirotskoɡ
појасом	pˈojɐsom
привлачно	prˈivlɐt͡ʃno
подигле	pˈodɪɡlɛ
уметником	ˈumɛtnˌɪkom
Мјузик	mjˈuzɪk
краљевском	krˈaʎefskom
ванредне	vˈanrɛdnɛ
лажно	lˈaʒno
Димон	dˈimon
пчелама	pt͡ʃˈɛlɐmɐ
избеглих	ˈizbɛɡlɪh
суседних	sˈusɛdnɪh
излазном	ˈizlɐznom
Ваздухопловства	vˈazdʊhˌoplofstvɐ
независним	nˈɛzɐvˌɪsnɪm
спољашњи	spˈoʎɐʃɲɪ
истерају	ˈistɛrˌɑjʊ
револуције	rˈɛvolˌʊt͡sɪje
некрополи	nˈɛkropˌolɪ
Грацу	ɡrˈat͡sʊ
стилизована	stˈilɪzˌovɐnɐ
млађег	mlˈad͡ʑɛɡ
Луга	lˈuɡɐ
слабији	slˈabɪjɪ
Јанков	jˈaŋkov
негодовања	nˈɛɡodˌovɐɲɐ
Русију	rˈusɪjʊ
трошка	trˈoʃkɐ
детаљнији	dˈɛtɐʎnˌɪjɪ
усташких	ˈustɐʃkɪh
Немањићи	nˈɛmɐɲˌɪt͡ɕɪ
обеју	ˈobejʊ
Постхумно	pˈosthʊmno
копненим	kˈopnɛnɪm
новијег	nˈovɪjeɡ
Дворски	dvˈorskɪ
грчко	ɡrt͡ʃkˈo
понижен	pˈonɪʒɛn
Херман	xˈɛrmɐn
пронађених	prˈonɐd͡ʑˌɛnɪh
смиривање	smˈirɪvˌɐɲe
самосталности	sˈamostˌɐlnostɪ
Самара	sˈamɑrɐ
привилегована	prˈivɪlˌɛɡovˌɐnɐ
електронике	ˈɛlɛktrˌonɪkɛ
депортовано	dˈɛportˌovɐno
Женке	ʒˈɛŋkɛ
омогућиле	ˈomoɡˌʊt͡ɕɪlɛ
Уређаји	ˈurɛd͡ʑˌɑjɪ
компликовано	kˈomplɪkˌovɐno
схватањем	shvˈatɐɲem
домаћинствима	dˈomɐt͡ɕˌɪnstvɪmɐ
ученици	ˈut͡ʃɛnˌɪt͡sɪ
Џексонов	d͡ʒˈɛksonov
медитације	mˈɛdɪtˌɐt͡sɪje
Жилбер	ʒˈilbɛr
интегрисаног	ˈintɛɡrˌɪsɐnoɡ
Руперт	rˈupɛrt
епопеја	ˈɛpopˌejɐ
мермер	mˈɛrmɛr
закључао	zˈakʎʊt͡ʃˌɐo
предиспозиција	prˈɛdɪspˌozɪt͡sˌɪjɐ
плаве	plˈavɛ
температури	tˈɛmpɛrˌɐtʊrɪ
генеришу	ɡˈɛnɛrˌɪʃʊ
изостаје	ˈizostˌɑje
Фригију	frˈiɡɪjʊ
завереницима	zˈavɛrˌɛnɪt͡sˌɪmɐ
спаљених	spˈaʎenɪh
радова	rˈadovɐ
собне	sˈobnɛ
Тамару	tˈamɑrʊ
сплавова	splˈavovɐ
библиотечка	bˈiblɪˌotɛt͡ʃkɐ
осветили	ˈosvɛtˌɪlɪ
дебитантски	dˈɛbɪtˌɐntskɪ
пензионисању	pˈɛnzɪˌonɪsˌɐɲʊ
гуши	ɡˈuʃɪ
ХСВ	xˈəsˌəvˌə
Завец	zˈavɛt͡s
штале	ʃtˈalɛ
смрче	smrt͡ʃˈɛ
петљу	pˈɛtʎʊ
Максиму	mˈaksɪmʊ
општег	ˈopʃtɛɡ
Џини	d͡ʒˈinɪ
друмске	drˈumskɛ
умна	ˈumnɐ
Миловановића	mˈilovˌɐnovˌɪt͡ɕɐ
обједињује	ˈobjedˌɪɲʊje
Наступали	nˈastʊpˌɐlɪ
камени	kˈamɛnɪ
братству	brˈatstvʊ
Крас	krˈas
покојне	pˈokojnɛ
ескадрона	ˈɛskɐdrˌonɐ
мотике	mˈotɪkɛ
здрављу	zdrˈavljʊ
помпорника	pˈompornˌɪkɐ
недељама	nˈɛdɛʎˌɐmɐ
осуђен	ˈosʊd͡ʑɛn
затворима	zˈatvorˌɪmɐ
Das	dˈas
Вардарске	vˈɑrdɑrskɛ
Аустријом	ˈaʊstrˌɪjom
управно	ˈuprɐvno
сложеница	slˈoʒɛnˌɪt͡sɐ
Египтом	ˈɛɡɪptom
изванредно	ˈizvɐnrˌɛdno
свештенички	svˈɛʃtɛnˌɪt͡ʃkɪ
балканским	bˈalkɐnskɪm
кнежевина	knˈɛʒɛvˌɪnɐ
Дајсон	dˈɑjson
Lazenby	lˈazɛnbɪ
кућица	kˈut͡ɕɪt͡sɐ
преуредили	prˈɛʊrˌɛdɪlɪ
преторијанци	prˈɛtorˌɪjɐnt͡sɪ
масовне	mˈasovnɛ
изазвавши	ˈizɐzvˌɐfʃɪ
Хвару	xvˈɑrʊ
конопца	kˈonopt͡sɐ
гласнику	ɡlˈasnɪkʊ
веродостојан	vˈɛrodˌostojɐn
мапирања	mˈapɪrˌɐɲɐ
таласу	tˈalɐsʊ
следити	slˈɛdɪtɪ
Верска	vˈɛrskɐ
убеде	ˈubɛdɛ
Назвали	nˈazvɐlɪ
Чарлстону	t͡ʃˈɑrlstonʊ
бројне	brˈojnɛ
меч	mˈɛt͡ʃ
дробилице	drˈobɪlˌɪt͡sɛ
килограм	kˈiloɡrɐm
Традиционална	trˈadɪt͡sˌɪonˌɐlnɐ
сврстала	svrstˈalɐ
путнику	pˈutnɪkʊ
Бјути	bjˈutɪ
Мајци	mˈɑjt͡sɪ
струк	strˈuk
појмовима	pˈojmovˌɪmɐ
длан	dlˈan
стављајући	stˈavljɑjˌʊt͡ɕɪ
нацистичких	nˈat͡sɪstˌɪt͡ʃkɪh
децембру	dˈɛt͡sɛmbrʊ
тајанственим	tˈɑjɐnstvˌɛnɪm
претварању	prˈɛtvɑrˌɐɲʊ
Коренице	kˈorɛnˌɪt͡sɛ
људе	ʎˈudɛ
Јулијан	jˈulɪjɐn
мотивом	mˈotɪvom
централна	t͡sˈɛntrɐlnɐ
казалишту	kˈazɐlˌɪʃtʊ
свију	svˈijʊ
Покољ	pˈokoʎ
опходио	ˈophodˌɪo
умешао	ˈumɛʃˌɐo
Games	ɡˈamɛs
Тулон	tˈulon
свеукупне	svˈɛʊkˌʊpnɛ
видећемо	vˈidɛt͡ɕˌɛmo
Поставио	pˈostɐvˌɪo
новински	nˈovɪnskɪ
спроводили	sprˈovodˌɪlɪ
Просторије	prˈostorˌɪje
стажом	stˈaʒom
Квентин	kvˈɛntɪn
кварка	kvˈɑrkɐ
чита	t͡ʃˈitɐ
Виз	vˈiz
хемија	xˈɛmɪjɐ
самиту	sˈamɪtʊ
причвршћен	prˈit͡ʃvrʃt͡ɕɛn
Садам	sˈadɐm
долетом	dˈolɛtom
купатилом	kˈupɐtˌɪlom
подсмева	pˈotsmɛvɐ
Буде	bˈudɛ
догађања	dˈoɡɐd͡ʑˌɐɲɐ
стоматологије	stˈomɐtˌoloɡˌɪje
обнављана	ˈobnɐvljˌɐnɐ
