گاڏڙ	ɡaːɖˈʌr.
ڇپائيندڙ	cʰˌəpaːindˈʌr.
نوازيو	nˈaʋaːzjˌoː
پوئتي	poːˈɪt̪i
فنڪارن	fˌənkaːrˈʌn
نڪوٽين	nˌəkoːʈˈiːn
گهرڙي	ɡˌəhərˈʌr.i
ڪتي	kˈʌt̪i
ماڳ	mˈaːɡ
بيل	bˈeːl
واڱڻائي	ʋˌaːŋ̩ɳˈaːi
ڪچهرين	kˌəcəhərˈiːn
ذريعن	zərˈiːn
سوشلسٽ	sˌoːʃələsˈʌʈ
پوسٽ	poːsˈʌʈ
مفڪرن	mˌəfəkərˈʌn
زرعي	zərˈaːi
هيٺانهين	hˌeːʈʰaːnhˈiːn
فرضن	fˌərəzˈʌn
پاڪستان	pˌaːkˈɪstaːn
ابتدائي	ˌɪbtɪdˈaːi
اتريون	ˌat̪rjˈoːn
سپه	səpˈʌh
سو	sˈoː
داغن	daːɣˈʌn
طبعي	təbˈaːi
لکيو	lˈʌkʰjoː
باغبان	bˈaːɣbˈaːn
ڪرايائين	kˌəraːjaːˈiːn
ناز	nˈaːz
شرط	ʃərˈʌt
ساڙڻ	saːr.ˈʌɳ
انتقال	ˌɪntɪqˈaːl
شنڪر	ʃˌənəkˈʌr
دؤرن	dˌəa͡ʊrˈʌn
بظاهر	bˌəʐaːhˈʌr
ابراهيم	ˌabraːhˈiːm
ڌنڌو	dʰˈʌndʰoː
ڍڪ	ɖʰˈʌk
منفي	mənˈʌfi
انفارميشن	ˌanfˌaːrmiʃˈʌn
ڪلوميٽر	kˌəloːmiʈˈʌr
ويڙھ	ʋˈeːr.h
دفعا	dˈʌfaː
ويلنٽائن	ʋˌeːlənʈaːˈɪn
شريعت	ʃərˈiːt̪
معزول	maːzˈoːl
کوٽايو	kʰoːʈˈaːjoː
ڏاهپ	ɖaːhˈʌp
ارتقائي	ˌɪrtɪqˈaːi
ڊبليو	ɖəbˈʌljoː
ترخان	t̪ˌərxˈaːn
سمجهايو	sˌəməɟhˈaːjoː
آرڊر	ˌaːrəɖˈʌr
جسٽس	ɟˌəsəʈˈʌs
پروسيسنگ	pˌəroːsisˈʌnɡ
ماترائن	mˌaːt̪raːˈɪn
شاهنواز	ʃˌaːhənʋˈaːz
ڇڏين	cʰəɖˈiːn
عبادتگاهه	abˈaːdət̪ɡaːhˌəh
سنگتي	sənɡˈʌt̪i
مهاڻا	məhˈaːɳaː
ڀوري	bʰˈoːri
کنڀن	kʰˌənəbʰˈʌn
خان	xˈaːn
ايڊز	eːɖˈʌz
فلسفو	fˌələsˈʌfoː
ڪوري	kˈoːri
خواهشن	xʋˌaːhəʃˈʌn
ويزن	ʋeːzˈʌn
اهن	ahˈʌn
علائقا	ˌalaːˈɪqaː
قربت	qˌərəbˈʌt̪
پلاننگ	pˌəlaːnˈʌnɡ
باندر	bˈaːndər
اندران	ˌandərˈaːn
ڀريندا	bʰərˈiːndaː
راند	rˈaːnd
مارواڙي	maːrʋˈaːr.i
لکي	lˈʌkʰi
پڙهيل	pər.ˈʌhjal
کائين	kʰaːˈiːn
عنوانن	ʊnʋˈaːnn
جتان	ɟət̪ˈaːn
شودر	ʃoːdˈʌr
بندر	bəndˈʌr
اکر	akʰˈʌr
فرانسيسي	fˌəraːnsˈiːsi
داد	dˈaːd
وري	ʋˈʌri
سونپيو	sˈoːnpjoː
مئو	mˈʌoː
ڌاڙيل	dʰˈaːr.jal
پيرو	pˈeːroː
پرائي	pərˈaːi
سودو	sˈoːdoː
ايشور	eːʃˈoːr
ڀائي	bʰˈaːi
ڊفينس	ɖəfˈiːns
نوابشاهه	nˈaʋaːbʃaːhˌəh
ٿرڙي	ʈərˈʌr.i
ٻرن	bərˈʌn
مطمئن	mˌətəmˈʌn
انھن	ˈanhn
مردان	mərdˈaːn
آئن	aːˈɪn
بڪ	bˈʌk
قومپرستي	qˌoːmpərˈʌst̪i
ھاضمي	haːzˈʌmi
سيدن	seːdˈʌn
پنجن	pˌənəɟˈʌn
ملندا	məlˈʌndaː
ڪار	kˈaːr
ڏات	ɖˈaːt̪
ڊاڪٽر	ɖˈaːkʈar
بدين	bədˈiːn
غزل	ɣəzˈʌl
نقل	nəqˈʌl
پوندڙ	poːndˈʌr.
ناممڪن	nˌaːməməkˈʌn
اسٽاپ	ˌasʈˈaːp
ٽيڪنڪ	ʈˌeːkənˈʌk
جيئري	ɟeːˈɪri
ڪڇ	kˈʌcʰ
ميزباني	mˌeːzbˈaːni
بائيبل	bˈaːibˌəl
جهول	ɟəhˈoːl
علاؤالدين	ˌalaːˌa͡ʊaːldˈiːn
ماڻهن	mˌaːɳəhˈʌn
مريضن	mˌərizˈʌn
سورٺ	soːrˈʌʈʰ
سيڪريٽري	sˌeːkriʈˈʌri
روئي	rˈoːi
فوٽو	fˈoːʈoː
تنتن	t̪ˌənət̪ˈʌn
ٻيڻو	bˈeːɳoː
ڳائڻي	ɡaːˈɪɳi
ڄمار	ɟəmˈaːr
زويا	zʋjˈaː
واپڊا	ʋaːpˈʌɖaː
رانا	rˈaːnaː
آفيسون	ˌaːfisˈoːn
اخلاقيات	ˌaxlˌaːqiˈaːt
ٻنين	bənˈiːn
حاجب	haːɟˈʌb
رابرٽس	rˌaːbərəʈˈʌs
ٽيمپل	ʈeːmpˈʌl
موجب	moːɟˈʌb
ڍال	ɖʰˈaːl
ڍاٽ	ɖʰˈaːʈ
جناب	ɟənˈaːb
اثرات	ˌasərˈaːt
ڪشي	kˈʌʃi
چهرو	cəhˈʌroː
پيلي	pˈeːli
پهتل	pˌəhət̪ˈʌl
عبارت	abˈaːrət̪
آمر	aːmˈʌr
سريلنڪا	sˌərilənˈʌkaː
بياس	bjˈaːs
سگھون	səɡʰˈoːn
بلاول	bˌəlaːˈoːl
برفت	bˌərəfˈʌt̪
رهيو	rˈʌhjoː
اهل	ahˈʌl
ميروخان	mˌeːroːxˈaːn
جنهن	ɟˈẽhɪ̃
خبر	xəbˈʌr
وصال	ʋəʂˈaːl
نيوي	njʋˈeː
سردار	sərdˈaːr
ٽريڊ	ʈərˈiːɖ
عملو	amˈʌloː
لھجي	ləhˈʌɟi
مزارن	mˌəzaːrˈʌn
مگر	məɡˈʌr
رٽائر	rˌəʈaːˈɪr
سائين	saːˈiːn
اوطاق	uːtˈaːq
رهائش	rˌəhaːˈɪʃ
قرآني	qərˈaːni
ڏار	ɖˈaːr
زور	zˈoːr
هيري	hˈeːri
دليون	dəljˈoːn
قريبي	qˌəribˈiː
گريڊ	ɡərˈiːɖ
رايا	rˈaːjaː
هستي	hˈʌst̪i
مندرن	mˌəndərˈʌn
لڪ	lˈʌk
سڏايو	səɖˈaːjoː
ننھن	nˈʌnhn
تمنا	t̪əmˈʌnaː
ٿورا	tʰˈoːraː
اروڙ	arˈoːr.
ڳايا	ɡˈaːjaː
بطور	bətˈoːr
لوڪل	loːkˈʌl
قبي	qəbˈiː
وغيرہ	ʋˌəɣirˈʌh
مالدار	mˌaːldˈaːr
پيارجي	pjaːrˈʌɟi
پکڙجڻ	pˌəkʰər.əɟˈʌɳ
پڇيو	pˈʌcʰjoː
گهڻيون	ɡˌəhəɳjˈoːn
جهوني	ɟəhˈoːni
سفير	səfˈiːr
انکان	ˌankʰˈaːn
رامائڻ	rˌaːmaːˈɪɳ
ٻيلن	beːlˈʌn
ڪارج	kaːrˈʌɟ
ماپڻ	maːpˈʌɳ
ظاهر	ʐaːhˈʌr
مڙس	mər.ˈʌs
آبي	aːbˈiː
انهي	ɪnˈɪhi
واقعو	ʋaːqˈaːoː
راست	rˈaːst̪
ملندڙ	mˌələndˈʌr.
ٻانهي	baːnˈʌhi
ٻوڌي	bˈoːdʰi
روئڻ	roːˈɪɳ
لهرن	lˌəhərˈʌn
کاڌا	kʰˈaːdʰaː
وڙهيا	ʋər.ˈʌhjaː
ورلڊ	ʋˌərəlˈʌɖ
ھڪجھڙائي	hˌəkəɟˌəhr.ˈaːi
بادشاھن	bˈaːdʃˌaːhən
نفساني	nˌəfsˈaːni
آنڌرا	aːndʰˈʌraː
ملبار	mˌəlbˈaːr
پرکڻ	pˌərəkʰˈʌɳ
وارڊ	ʋaːrˈʌɖ
روضي	rˈoːzi
رهواسي	rəhʋˈaːsi
خيام	xjˈaːm
مرچ	mˈʌrc
عددي	adˈʌdi
ٺھندو	ʈʰəhˈʌndoː
وٽن	ʋəʈˈʌn
رڪني	rəkˈʌni
ڇلر	cʰəlˈʌr
لکڻ	lˈɪkʰaɳ
ڪتاب	kɪtˈaːb
مارواڙ	maːrʋˈaːr.
مارڪ	maːrˈʌk
لکجي	ləkʰˈʌɟi
آندو	ˈaːndoː
اداڪارا	ˌadaːkˈaːraː
منهنجا	mˌənəhənˈʌɟaː
داعي	daːˈaːi
ٽريننگ	ʈˌərinˈʌnɡ
ترياق	t̪ərjˈaːq
ڌاڳن	dʰaːɡˈʌn
نٿ	nˈʌʈ
شوقين	ʃoːqˈiːn
تيزي	t̪ˈeːzi
ٽامي	ʈˈaːmi
بيسڪ	bˈeːsək
جيوڻي	ɟjˈoːɳi
اديب	adˈiːb
قائداعظم	qˌaːɪdˌaːaːʐˈʌm
صدين	ʂədˈiːn
چوماسي	coːmˈaːsi
سئوٽ	səˈoːʈ
جماليات	ɟˌəmaːliˈaːt
موجود	moːɟˈuːd
ٿڌو	ʈˈʌdʰoː
شي	ʃˈeː
جنگين	ɟənɡˈiːn
ويڪرائي	ʋˌeːkrˈaːi
پھتا	pəhˈʌt̪aː
دؤر	dəˈa͡ʊr
وڙهندو	ʋˌər.əhˈʌndoː
ڪرايا	kərˈaːjaː
لائبيريا	lˌaːɪbˈiːrjaː
غيرقانوني	ɣˌeːrqaːnˈoːni
رھيا	rˈʌhjaː
ايترا	eːt̪ˈʌraː
گولڊن	ɡˌoːləɖˈʌn
درياه	dərjˈaːh
مدد	mədˈʌd
عيسائي	ˌaisˈaːi
ڏنڊ	ɖˈʌnɖ
ڳولهڻ	ɡˌoːləhˈʌɳ
مھينا	məhˈiːnaː
لاٽ	lˈaːʈ
شعري	ʃˈaːri
ويڪريون	ʋˌeːkrjˈoːn
مساوي	məsˈaːʋi
سنڀاليندڙ	sˌənbʰˌaːlindˈʌr.
نسلن	nˌəsəlˈʌn
رکڻ	rəkʰˈʌɳ
مقناطيسي	mˌəqnaːtˈiːsi
نھايت	nhaːˈiːt̪
راڌا	rˈaːdʰaː
ڪيميا	kˈeːmjaː
نصرت	nˌəʂərˈʌt̪
ستون	sət̪ˈoːn
آئل	aːˈɪl
ادارت	ˌadaːrˈʌt̪
هين	hˈeːn
هٿيار	hətʰjˈaːr
بخوبي	bˌəxoːbˈiː
رڪاوٽون	rˌəkaːoːʈˈoːn
برهما	bˌərəhˈʌmaː
هلائيندڙ	hˌəlaːindˈʌr.
ٻاٻيهو	baːbˈiːhoː
عيب	aˈiːb
گڏاپ	ɡəɖˈaːp
طفيل	tˈʌfjal
دليلن	dˌəlilˈʌn
شيطان	ʃeːtˈaːn
ڏيڻو	ɖˈeːɳoː
برادرين	bˌəraːdrˈiːn
ڦريون	pʰərjˈoːn
موقعي	moːqˈaːi
بيوس	bjˈoːs
ڏي	ɖˈeː
مليا	mˈʌljaː
شانتي	ʃaːnˈʌt̪i
ڊوڙ	ɖˈoːr.
ول	ʋˈʌl
فرحت	fˌərəhˈʌt̪
ڏهي	ɖˈʌhi
ڳڙ	ɡˈʌr.
سوٽي	sˈoːʈi
ورھايو	ʋˌərhˈaːjoː
اختياري	axt̪jˈaːri
حديثن	hˌədisˈʌn
ڄمڻ	ɟəmˈʌɳ
پنھنجي	pənhnˈʌɟi
محاورو	mˌəhaːˈoːroː
عشرت	ˌaʃərˈʌt̪
ڪائونٽي	kˌaːoːnˈʌʈi
جنڪشن	ɟˌənəkəʃˈʌn
سلا	sˈʌlaː
سلسلو	sˈɪlsˌɪloː
رورل	roːrˈʌl
سوانح	sʋˌaːnˈah
ايئن	eːˈɪn
طبقاتي	tˌəbqˈaːt̪i
ماڇي	mˈaːcʰi
ترين	t̪ərˈiːn
هئائون	hˌəaːˈoːn
لو	lˈoː
ڪولن	koːlˈʌn
جمھوري	ɟˌəmhˈuːri
آرمينيا	ˌaːrmˈiːnjaː
مٽجي	məʈˈʌɟi
تقريبا	t̪ˌəqribˈaː
اتهاسن	ˌat̪haːsˈʌn
روزي	rˈoːzi
هاڪڙي	haːkˈʌr.i
ڪرائيندو	kˌəraːˈiːndoː
جھڙن	ɟˌəhər.ˈʌn
طي	tˈeː
منجھان	mˌənəɟhˈaːn
مهمانن	mˌəhəmaːnˈʌn
ڇٽ	cʰˈʌʈ
والي	ʋˈaːli
آئرس	ˌaːɪrˈʌs
دوهي	dˈoːhi
پولنگ	poːlˈʌnɡ
ساداتن	sˌaːdaːt̪ˈʌn
ايڇ	ˈeːcʰ
سنسڪرت	sˌənsəkərˈʌt̪
حر	hˈʌr
واٽر	ʋaːʈˈʌr
پڇا	pˈʌcʰaː
ايلسا	eːlˈʌsaː
منطق	mˌənətˈʌq
قطار	qətˈaːr
ڀڃڻ	bʰəɲˈʌɳ
پاتا	pˈaːt̪aː
همايوني	hˌəmaːjˈoːni
اصول	ʊʂˈuːl
رندن	rəndˈʌn
اڳيون	aɡjˈoːn
عباسي	abˈaːsi
ليبر	leːbˈʌr
جاين	ɟaːˈiːn
برداشت	bərdˈaːʃt̪
خيرپور	xˌeːrpˈoːr
ٻئي	bˈʌi
ميلن	meːlˈʌn
مٿاڇري	mˌətʰaːcʰˈʌri
ايڪسچينج	ˌeːkəscinˈʌɟ
گشت	ɡˈʌʃt̪
ڇپيون	cʰəpjˈoːn
ظهور	ʐəhˈoːr
ني	nˈeː
چشمو	cəʃˈʌmoː
فيصلي	feːʂˈʌli
فولاد	foːlˈaːd
افسوس	ˌafsˈoːs
هائڊروجن	hˌaːɪɖroːɟˈʌn
سڪي	sˈʌki
مڱڻي	mˌəŋ̩ˈʌɳi
جيسلمير	ɟˌeːsəlmˈiːr
شاگردي	ʃaːɡˈʌrdi
سگھندا	səɡʰˈʌndaː
همه	həmˈʌh
ٻن	bˈʌn
پروسيس	pˌəroːsˈiːs
ڪڙو	kˈʌr.oː
توکان	t̪oːkʰˈaːn
ته	t̪ˈʌh
باگي	bˈaːɡi
بحالي	bəhˈaːli
پرواز	pərʋˈaːz
انجنيئر	ˌanəɟniˈɪr
ارادو	arˈaːdoː
ڪميونٽي	kˌəmjoːnˈʌʈi
خبرون	xˌəbrˈuːn
ڊرامه	ɖˌəraːmˈʌh
سنسار	sənsˈaːr
ڏٺائين	ɖˌəʈʰaːˈiːn
نر	nˈʌr
ڍانچو	ɖʰˈaːncoː
ٻوليء	bˈoːli
تحرير	t̪ˌəhrˈiːr
نامي	nˈaːmi
مفصل	mˌəfəʂˈʌl
امامن	ˌamaːmˈʌn
ٻاجهري	bˌaːɟəhˈʌri
قصن	qəʂˈʌn
پيڇو	pˈeːcʰoː
سلامت	sˌəlaːmˈʌt̪
حضرت	hˌəzərˈʌt̪
ليپ	lˈeːp
ابڙي	abˈʌr.i
سريلي	sərˈiːli
مصنوعي	mˌəʂnʋˈaːi
بچيل	bacˈɪal
براهمڻ	bˌəraːhəmˈʌɳ
محافظ	mˌəhaːfˈʌʐ
فڪشن	fˌəkəʃˈʌn
گھيريل	ɡʰˈeːrjal
صحت	ʂəhˈʌt̪
سورنهن	sˌoːrənəhˈʌn
اوچو	ˈuːcoː
ضابطي	zaːbˈʌti
مهل	məhˈʌl
سڏائي	səɖˈaːi
فعل	fˈaːl
ڊيموڪريٽڪ	ɖˌeːmoːkriʈˈʌk
ڀيٽا	bʰˈeːʈaː
ميرپورخاص	mˌeːrpˌoːrxˈaːʂ
نھ	nh
ڊيلٽا	ɖeːlˈʌʈaː
مسلمان	mʊsˈalmˌaːn
خوبصورتي	xˌoːbʂoːrˈʌt̪i
يادگيري	jˌaːdɡˈiːri
چي	cˈeː
پمفليٽ	pˌəməflˈiːʈ
ٻڌائين	bˌədʰaːˈiːn
ٻڌندا	bədʰˈʌndaː
ٻين	bˈɪan
ملوڪ	məlˈoːk
مڪلي	məkˈʌli
ھڪڙي	həkˈʌr.i
سگهندي	sˌəɡəhˈʌndi
گردي	ɡˈʌrdi
طبقي	təbˈʌqi
ٿرپارڪر	ʈˌərpˌaːrəkˈʌr
مقبرا	mˌəqəbˈʌraː
قاف	qˈaːf
عھدي	ahˈʌdi
پنھنجون	pˌənhnəɟˈoːn
ذخيرو	zəxˈiːroː
نوجوان	noːɟʋˈaːn
ڏير	ɖˈeːr
ڪرپشن	kˌərəpəʃˈʌn
بحري	bəhˈʌri
کيس	kʰˈeːs
مٿاڇرو	mˌətʰaːcʰˈʌroː
مٽيارين	mˌəʈjaːrˈiːn
تائيوان	t̪aːjʋˈaːn
آکيرو	aːkʰˈiːroː
مھم	məhˈʌm
جھانگير	ɟˌəhaːnɡˈiːr
خطيب	xətˈiːb
نقصانڪار	nˌəqʂˌaːnkˈaːr
سيدنا	seːdˈʌnaː
چهنب	cəhˈʌnb
ايڊيوڪيشن	ˌeːɖjoːkiʃˈʌn
جمنا	ɟəmˈʌnaː
دستي	dˈʌst̪i
نسخ	nəsˈʌx
صنفن	ʂˌənəfˈʌn
سراج	sərˈaːɟ
ڏسندي	ɖɪsˈʌndi
رائيفل	rˌaːifˈʌl
اسٽيشن	ˌasʈiʃˈʌn
اثير	asˈiːr
ٺٽي	ʈʰˈʌʈi
ڊگهيون	ɖˌəɡhjˈoːn
طرحين	tˌərhˈiːn
قدم	qədˈʌm
شيدائي	ʃeːdˈaːi
وڌ	ʋˈʌdʰ
لاهوري	laːhˈoːri
پٽين	pəʈˈiːn
مدير	mədˈiːr
ترجمان	t̪ˌərəɟmˈaːn
ڳولها	ɡoːlˈʌhaː
ڏاکڻي	ɖaːkʰˈʌɳi
گهٽجڻ	ɡˌəhəʈəɟˈʌɳ
سليمان	sˌəlimˈaːn
اشوڪ	aʃˈoːk
ترڪ	t̪ərˈʌk
دھشلا	dˌəhəʃˈʌlaː
عنصرن	ˌanəʂərˈʌn
نشين	nəʃˈiːn
پڙھي	pˈʌr.hi
موئن	moːˈɪn
ڪلوميٽرن	kˌəloːmˌiːʈərˈʌn
شفا	ʃˈʌfaː
پٺڀرائي	pˌəʈʰəbʰrˈaːi
سورهين	sˌoːrhˈiːn
لڙاين	lˌər.aːˈiːn
مسالي	məsˈaːli
ڪمان	kəmˈaːn
چورس	coːrˈʌs
اليگزينڊر	ˌaliɡzinɖˈʌr
فرنٽ	fˌərənˈʌʈ
جمالياتي	ɟˌəmaːljˈaːt̪i
بئڪٽيريا	bˌəkʈˈiːrjaː
اوپيرا	uːpˈiːraː
اصلاح	ˌɪʂlˈaːh
لهجا	ləhˈʌɟaː
ورهاست	ʋˌərhˈaːst̪
پراڻو	pərˈaːɳoː
جهڙيون	ɟˌəhər.jˈoːn
نقطو	nəqˈʌtoː
بيهن	bˈeːhən
شريف	ʃərˈiːf
تفھيم	t̪ˌəfhˈiːm
موسمن	mˌoːsəmˈʌn
گاجي	ɡˈaːɟi
نظمن	nˌəʐəmˈʌn
گزيٽيئر	ɡˌəziʈiˈɪr
مريض	mərˈiːz
نيٽ	nˈeːʈ
مقابلن	mˌəqaːbəlˈʌn
ڪالاباغ	kˌaːlaːbˈaːɣ
لالواڻي	laːlʋˈaːɳi
قبيلن	qəbˈiːlən
چندو	cˈʌndoː
وڏي	ʋˈʌɖi
عطر	atˈʌr
گردن	ɡərdˈʌn
محاورا	mˌəhaːˈoːraː
امامت	ˌamaːmˈʌt̪
دو	dˈoː
سڪل	səkˈʌl
وجه	ʋəɟˈʌh
چيا	cjˈaː
خوشبو	xˈʊʃbˈoː
مامون	maːmˈoːn
رحمت	rˌəhəmˈʌt̪
ڀرڳڙي	bʰˌərəɡˈʌr.i
ھو	hˈoː
آريجا	aːrˈiːɟaː
گلستان	ɡˌəlˈɪstaːn
ذرن	zərˈʌn
ڳر	ɡˈʌr
جام	ɟˈaːm
نوشهرو	nˌoːʃəhˈʌroː
تغلق	t̪ˌəɣəlˈʌq
کوھ	kʰˈoːh
حڪمت	hˌəkəmˈʌt̪
رشتا	rˈʌʃt̪aː
تعظيم	t̪aːʐˈiːm
لوھ	lˈoːh
محفلن	mˈɛhfˌɪln
ھونديون	hoːndjˈoːn
شهريار	ʃˌəhərjˈaːr
آزادي	aːzˈaːdi
سيف	sˈeːf
ڇپائي	cʰəpˈaːi
شاهڪار	ʃˌaːhəkˈaːr
ٻارڻ	baːrˈʌɳ
چوڏهن	cˌoːɖəhˈʌn
چنڊ	cˈʌnɖ
چونڊن	coːnɖˈʌn
ڊگري	ɖəɡˈʌri
مشاهدي	mˌəʃaːhˈʌdi
سادگي	saːdˈʌɡi
مٺاڻ	məʈʰˈaːɳ
اصحاب	ˌaʂhˈaːb
آنند	aːnˈʌnd
ڪائونسل	kˌaːoːnsˈʌl
امداد	ˌɪmdˈaːd
شاهد	ʃaːhˈʌd
حسين	həsˈiːn
اعزازي	eːzˈaːzi
شهيد	ʃəhˈiːd
شاهوڪار	ʃˌaːhoːkˈaːr
ڪچين	kəcˈiːn
ٿامس	tʰaːmˈʌs
ورھاڱي	ʋˌərhaːˈŋ̩i
امتيازي	ˌamt̪jˈaːzi
