呼呼	xu˥˥xu˥˥
鑋	tɕʰɪŋ˥˩,tɕʰɪŋ˥˥
駐防	ʈʂu˥˩fɑŋ˧˥
樓梯	loʊ˧˥tʰi˥˥
輓歌	wan˨˩˦kɤ˥˥
釘釘子	tɪŋ˥˩tɪŋ˥˥tsɯ˧
創業投資	ʈʂʰwɑŋ˥˩jɛ˥˩tʰoʊ˧˥tsɯ˥˥
㧡	xaɪ˥˩
陝	ʂan˨˩˦
棃	li˧˥
嗃	ɕjɑʊ˥˩,ɕjɑʊ˥˥,xɤ˥˩
㗑	paɪ˥˩
溜門	ljoʊ˥˥mən˧˥
陾	ʐɤŋ˧˥
對外	tweɪ˥˩uaɪ˥˩
鉘	fu˧˥
要不要	jɑʊ˥˩pu˧jɑʊ˥˩
孃	ʐɑŋ˨˩˦,nɑŋ˧˥,ʐɑŋ˧˥,njɑŋ˧˥
㷋	tʰan˧˥,tʰan˨˩˦
箼	u˥˥
烤鴨	kʰɑʊ˨˩˦ja˥˥
㗨	aɪ˨˩˦
絓	kwa˥˩
細胞	ɕi˥˩pɑʊ˥˥
肶	pʰi˧˥
蚻	ʈʂa˧˥
趕回去	kan˨˩˦xweɪ˧˥tɕʰy˥˩
攮	nɑŋ˨˩˦
雄心	ɕjʊŋ˧˥ɕɪn˥˥
島鏈	tɑʊ˨˩˦ljɛn˥˩
含寃	xan˧˥ɥœn˥˥
惶	xwɑŋ˧˥
蕃邦	fan˥˥pɑŋ˥˥
䎒	ʈʂan˨˩˦
䊼	ʈʂʰɚ˨˩˦
雖九死其猶未悔	sweɪ˥˥tɕjoʊ˨˩˦sɯ˨˩˦tɕʰi˧˥joʊ˧˥weɪ˥˩xweɪ˨˩˦
投	tʰoʊ˧˥
槜	tsweɪ˥˩
舽	pʰɑŋ˧˥
癡情	ʈʂʰɚ˥˥tɕʰɪŋ˧˥
非政府機構	feɪ˥˥ʈʂɤŋ˥˩fu˨˩˦tɕi˥˥koʊ˥˩
戴	taɪ˥˩
隨地吐痰	sweɪ˧˥ti˥˩tʰu˨˩˦tʰan˧˥
石綿瓦	ʂɚ˧˥mjɛn˧˥wa˨˩˦
倒讀數	tɑʊ˥˩tu˧˥ʂu˥˩
哌	pʰaɪ˥˩
熱病	ʐɤ˥˩pɪŋ˥˩
提倡	tʰi˧˥ʈʂʰɑŋ˥˩
怯坎兒	tɕʰjɛ˥˩kʰan˨˩˦aɻ˧,tɕʰɥœ˥˩kʰan˨˩˦aɻ˧
威勢	weɪ˥˥ʂɚ˥˩
引以為鑒	ɪn˨˩˦i˨˩˦weɪ˧˥tɕjɛn˥˩
遇難	y˥˩nan˥˩
㝽	ʈʂʰweɪ˧˥,ʈʂweɪ˨˩˦,ʂweɪ˨˩˦
疑神疑鬼	i˧˥ʂən˧˥i˧˥kweɪ˨˩˦
蟸	li˥˩,li˧˥,luɔ˨˩˦,luɔ˧˥,li˨˩˦
罰跪	fa˧˥kweɪ˥˩
鼭	ʂɚ˧˥
茅棚	mɑʊ˧˥pʰɤŋ˧˥
蘋	pʰɪn˧˥,pʰɪŋ˧˥
寴	tɕʰɪn˥˩
㭝	tɕʰjoʊ˧˥
芈	mjɛ˥˥,mi˨˩˦
旽	tʰuən˥˥
舉辦	tɕy˨˩˦pan˥˩
㑹	xweɪ˥˩
矌	kʰwɑŋ˥˩
中規中矩	ʈʂʊŋ˥˩kweɪ˥˥ʈʂʊŋ˥˩tɕy˨˩˦
珨	ɕja˧˥
引力場	ɪn˨˩˦li˥˩ʈʂʰɑŋ˨˩˦
蛶	ljɛ˥˩
孝悌	ɕjɑʊ˥˩tʰi˥˩
地頭蛇	ti˥˩tʰoʊ˧˥ʂɤ˧˥
千里鵝毛	tɕʰjɛn˥˥li˨˩˦ɤ˧˥mɑʊ˧˥
扗	tsaɪ˥˩
而且	aɻ˧˥tɕʰjɛ˨˩˦
不論如何	pu˧˥luən˥˩ʐu˧˥xɤ˧˥
副行長	fu˥˩xɑŋ˧˥ʈʂɑŋ˨˩˦
體弱	tʰi˨˩˦ʐuɔ˥˩
疆土	tɕjɑŋ˥˥tʰu˨˩˦
沬	xweɪ˥˩,meɪ˥˩
綫	ɕjɛn˥˩
齎排	tɕi˥˥pʰaɪ˧˥
忌	tɕi˥˩
啟動	tɕʰi˨˩˦tʊŋ˥˩
戇直	kɑŋ˥˩ʈʂɚ˧˥,ʈʂwɑŋ˥˩ʈʂɚ˧˥
魶	na˥˩
臒	xuɔ˥˩
母	mu˨˩˦,u˧˥,mu˧˥,u˨˩˦
䌤	ʈʂɚ˨˩˦
觼	tɕɥœ˧˥
䯫	xɑʊ˥˩,ʂa˥˩
醩	tsɑʊ˧˥,tsɑʊ˥˥
浚井	tɕyn˥˩tɕɪŋ˨˩˦
刵	aɻ˥˩
戚屬	tɕʰi˥˥ʂu˨˩˦
殕	foʊ˨˩˦
官網	kwan˥˥wɑŋ˨˩˦
冤屈	ɥœn˥˥tɕʰy˥˥
動武	tʊŋ˥˩u˨˩˦
偁	ʈʂʰɤŋ˥˥
空子	kʰʊŋ˥˩tsɯ˧
蛾	ɤ˧˥,i˨˩˦
自在	tsɯ˥˩tsaɪ˥˩
膅	tʰɑŋ˧˥
鳥之將死，其鳴也哀	njɑʊ˨˩˦ʈʂɚ˥˥tɕjɑŋ˥˥sɯ˨˩˦tɕʰi˧˥mɪŋ˧˥jɛ˨˩˦aɪ˥˥
消暑	ɕjɑʊ˥˥ʂu˨˩˦
緣份	ɥœn˧˥fən˥˩
擥	lan˨˩˦
鍛鐵	twan˥˩tʰjɛ˨˩˦
平反昭雪	pʰɪŋ˧˥fan˨˩˦ʈʂɑʊ˥˥ɕɥœ˨˩˦
違拗	weɪ˧˥ɑʊ˥˩
絲綿	sɯ˥˥mjɛn˧˥
粖	mɔ˥˩
挼好長髮	ʐuɔ˧˥xɑʊ˨˩˦ʈʂʰɑŋ˧˥fa˨˩˦,ʐuɔ˧˥xɑʊ˨˩˦ʈʂʰɑŋ˧˥fa˥˩
輼	uən˥˥
含飴弄孫	xan˧˥i˧˥nʊŋ˥˩suən˥˥
佯裝	jɑŋ˧˥ʈʂwɑŋ˥˥
嘲弄	ʈʂʰɑʊ˧˥nʊŋ˥˩
烴基	tʰɪŋ˥˥tɕi˥˥
目的地	mu˥˩ti˥˩ti˥˩
曨	lʊŋ˧˥
日息	ʐɚ˥˩ɕi˧˥,ʐɚ˥˩ɕi˥˥
般	pan˥˥,pʰan˧˥,pan˨˩˦,pɔ˥˥
快遞	kʰuaɪ˥˩ti˥˩
賁齎	pi˥˩tɕi˥˥
穩如泰山	uən˨˩˦ʐu˧˥tʰaɪ˥˩ʂan˥˥
䃀	ɕyn˥˩,tsʰweɪ˥˩
臃腫	jʊŋ˥˥ʈʂʊŋ˨˩˦,jʊŋ˨˩˦ʈʂʊŋ˨˩˦
尋	ɕɪn˧˥,ɕyn˧˥
使館	ʂɚ˨˩˦kwan˨˩˦
㰣	tsɯ˥˩
跡	tɕi˥˥,tɕi˥˩
㚖	kɑʊ˨˩˦
䳻	ʈʂʰan˧˥,tjɛ˧˥,tsʰan˧˥,ʈʂan˥˩
嬆	ɕi˥˥
頹	tʰweɪ˧˥
叩頭	kʰoʊ˥˩tʰoʊ˧˥
石油	ʂɚ˧˥joʊ˧˥
愛屋及烏	aɪ˥˩u˥˥tɕi˧˥u˥˥
冒昧	mɑʊ˥˩meɪ˥˩
錷	ka˧˥
文字雷同	uən˧˥tsɯ˥˩leɪ˧˥tʰʊŋ˧˥
鑄銅	ʈʂu˥˩tʰʊŋ˧˥
打破	ta˨˩˦pʰɔ˥˩
課堂	kʰɤ˥˩tʰɑŋ˧˥
鳴叫	mɪŋ˧˥tɕjɑʊ˥˩
嘯	ɕjɑʊ˥˩
娗	tɪŋ˥˩
穹	tɕʰjʊŋ˧˥,tɕʰjʊŋ˥˥,kʰʊŋ˥˥
滖	sweɪ˥˥
自尊	tsɯ˥˩tsuən˥˥
兆	ʈʂɑʊ˥˩
茄	tɕʰjɛ˧˥,tɕja˥˥
丞相	ʈʂʰɤŋ˧˥ɕjɑŋ˥˩
滄桑	tsʰɑŋ˥˥sɑŋ˥˥
會計學	kʰuaɪ˥˩tɕi˥˩ɕɥœ˧˥
壞人得勢，好人遭殃	xuaɪ˥˩ʐən˧˥tɤ˧˥ʂɚ˥˩xɑʊ˨˩˦ʐən˧˥tsɑʊ˥˥jɑŋ˥˥
䕹	tsa˧˥
素	su˥˩
責罵	tsɤ˧˥ma˥˩
熱氣熏天	ʐɤ˥˩tɕʰi˥˩ɕyn˥˥tʰjɛn˥˥
朝秦暮楚	ʈʂɑʊ˥˥tɕʰɪn˧˥mu˥˩ʈʂʰu˨˩˦
捧腹大笑	pʰɤŋ˧˥fu˥˩ta˥˩ɕjɑʊ˥˩
婊子	pjɑʊ˨˩˦tsɯ˧
攍	ɪŋ˧˥
飵	ʈʂaɪ˨˩˦,tsuɔ˥˩
簶	lu˥˩
炸醬	ʈʂa˧˥tɕjɑŋ˥˩
瑤箋	jɑʊ˧˥tɕjɛn˥˥
雷霆萬鈞	leɪ˧˥tʰɪŋ˧˥wan˥˩tɕyn˥˥
䖝	ʈʂʰʊŋ˧˥
舐	ʂɚ˥˩
蟈	kuɔ˥˥,y˥˩
庚寅	kɤŋ˥˥ɪn˧˥
酌	ʈʂuɔ˧˥
取材	tɕʰy˨˩˦tsʰaɪ˧˥
㹝	ʂɚ˥˩
局	tɕy˧˥
䥞	tɕjɑʊ˨˩˦
按門鈴	an˥˩mən˧˥lɪŋ˧˥
粡	tʰʊŋ˧˥
官員	kwan˥˥ɥœn˧˥
血斑	ɕɥœ˥˩pan˥˥
石沉大海	ʂɚ˧˥ʈʂʰən˧˥ta˥˩xaɪ˨˩˦
脫髮	tʰuɔ˥˥fa˨˩˦,tʰuɔ˥˥fa˥˩
誘拐	joʊ˥˩kuaɪ˨˩˦
䘑	maɪ˥˩,mɔ˥˩
䝩	ʈʂən˥˩
愴悢	ʈʂʰwɑŋ˥˩ljɑŋ˥˩
漫畫	man˥˩xwa˥˩
開場白	kʰaɪ˥˥ʈʂʰɑŋ˨˩˦paɪ˧˥
參差不齊	tsʰən˥˥tsʰɯ˥˥pu˥˩tɕʰi˧˥
䏤	sɯ˥˩
䄓	xɤŋ˧˥,xwɑŋ˧˥
司馬	sɯ˥˥ma˨˩˦
攀供	pʰan˥˥kʊŋ˥˩
狇	mu˥˩
鄴	jɛ˥˩
赩	ɕi˥˩
切削機床	tɕʰjɛ˥˥ɕjɑʊ˥˥tɕi˥˥ʈʂʰwɑŋ˧˥
龓	lʊŋ˧˥
扎手	ʈʂa˥˥ʂoʊ˨˩˦
醮辭	tɕjɑʊ˥˩tsʰɯ˧˥
溫	uən˥˥
概率	kaɪ˥˩ly˥˩
鞘	ʂɑʊ˥˥,tɕʰjɑʊ˥˩
景	ɪŋ˨˩˦,tɕɪŋ˨˩˦
惴息	ʈʂweɪ˥˩ɕi˧˥,ʈʂweɪ˥˩ɕi˥˥
軏	ɥœ˥˩
自導自演	tsɯ˥˩tɑʊ˨˩˦tsɯ˥˩jɛn˨˩˦
拜	paɪ˥˩
瓤	ʐɑŋ˧˥
儘著	tɕɪn˨˩˦ʈʂɤ˧
學校	ɕɥœ˧˥ɕjɑʊ˥˩
仕途	ʂɚ˥˩tʰu˧˥
樞紐	ʂu˥˥njoʊ˨˩˦
磓	tweɪ˥˥
碘	tjɛn˨˩˦
螡	uən˧˥
弄堂	nʊŋ˥˩tʰɑŋ˧˥
發射藥	fa˥˥ʂɤ˥˩jɑʊ˥˩
浖	ljɛ˥˩
妖艷	jɑʊ˥˥jɛn˥˩
嚎啕	xɑʊ˧˥tʰɑʊ˧˥
痢	li˥˩
欀	ɕjɑŋ˥˥
棑	pʰaɪ˧˥,paɪ˥˩
兩點鐘	ljɑŋ˨˩˦tjɛn˨˩˦ʈʂʊŋ˥˥
實現	ʂɚ˧˥ɕjɛn˥˩
硞	tɕʰɥœ˥˩
熚	pi˥˩
㼱	ʐwan˨˩˦
臂	peɪ˧,peɪ˥˩,pi˥˩
炒麵	ʈʂʰɑʊ˨˩˦mjɛn˥˩
醍	tʰi˨˩˦,tʰi˧˥
㞛	tɕi˨˩˦
㹊	ɥœ˥˩
曲棍球	tɕʰy˥˥kuən˥˩tɕʰjoʊ˧˥
開車	kʰaɪ˥˥ʈʂʰɤ˥˥
䲬	tɕʰi˧˥
地下組織	ti˥˩ɕja˥˩tsu˨˩˦ʈʂɚ˥˥
雲煙氤氳	yn˧˥jɛn˥˥ɪn˥˥yn˥˥
住房	ʈʂu˥˩fɑŋ˧˥
麭	pʰɑʊ˥˩
俗	su˧˥
萂	xɤ˧˥
澄	tɤŋ˥˩,ʈʂʰɤŋ˧˥
抃	pʰan˥˩,pjɛn˥˩
䆉	pa˥˩
刈草	i˥˩tsʰɑʊ˨˩˦
下文	ɕja˥˩uən˧˥
愴	ʈʂʰwɑŋ˥˩
政策	ʈʂɤŋ˥˩tsʰɤ˥˩
操縱	tsʰɑʊ˥˥tsʊŋ˥˩
舞會	u˨˩˦xweɪ˥˩
抹	mɔ˨˩˦,mɔ˥˩,ma˥˥
對弈	tweɪ˥˩i˥˩
㔾	tɕjɛ˧˥
猛獁	mɤŋ˨˩˦ma˨˩˦
歷	li˥˩
徎	ʈʂʰɤŋ˨˩˦
出言不遜	ʈʂʰu˥˥jɛn˧˥pu˧˥ɕyn˥˩,ʈʂʰu˥˥jɛn˧˥pu˧˥suən˥˩
幸災樂禍	ɕɪŋ˥˩tsaɪ˥˥lɤ˥˩xuɔ˥˩
燦	tsʰan˥˩
㦐	ni˥˩
叭	pa˥˥,pa˧
蚚	tɕʰi˧˥
鈗	yn˨˩˦
褧	tɕjʊŋ˨˩˦
當一天和尚撞一天鍾	tɑŋ˥˥i˥˩tʰjɛn˥˥xɤ˧˥ʂɑŋ˥˩ʈʂwɑŋ˥˩i˥˩tʰjɛn˥˥ʈʂʊŋ˥˥
州長	ʈʂoʊ˥˥ʈʂɑŋ˨˩˦
幻覺	xwan˥˩tɕɥœ˧˥
娨	xan˥˩
庹	tʰuɔ˨˩˦
㲛	ʈʂɚ˨˩˦
歙	ɕi˥˥,ɕjɛ˧˥,ɕi˥˩,ʂɤ˥˩
繚繞	ljɑʊ˧˥ʐɑʊ˥˩
謄清	tʰɤŋ˧˥tɕʰɪŋ˥˥
疺	fa˧˥
斜眼	ɕjɛ˧˥jɛn˨˩˦
少將	ʂɑʊ˥˩tɕjɑŋ˥˩
乞求	tɕʰi˨˩˦tɕʰjoʊ˧˥
照樣兒	ʈʂɑʊ˥˩jɑŋ˥˩aɻ˧
感冒	kan˨˩˦mɑʊ˥˩
糜	mi˧˥,meɪ˧˥
更番	kɤŋ˥˥fan˥˥
像話	ɕjɑŋ˥˩xwa˥˩
嗅覺遲鈍	ɕjoʊ˥˩tɕɥœ˧˥mɪn˨˩˦ʐweɪ˥˩
淅瀝	ɕi˥˥li˥˩
簞	tan˥˥
䪽	xɑʊ˥˩
浮動	fu˧˥tʊŋ˥˩
卒	tsʰu˥˩,tsu˧˥
成衣舖	ʈʂʰɤŋ˧˥i˥˥pʰu˥˩
胦	jɑŋ˥˥
熏製食品	ɕyn˥˥ʈʂɚ˥˩ʂɚ˧˥pʰɪn˨˩˦
下頦	ɕja˥˩kʰɤ˥˥,ɕja˥˩xaɪ˧˥
死囚	sɯ˨˩˦tɕʰjoʊ˧˥
彌縫	mi˧˥fɤŋ˧˥
葡萄乾	pʰu˧˥tʰɑʊ˧˥kan˥˥
搞糟	kɑʊ˨˩˦tsɑʊ˥˥
克	kʰɤ˥˩
轗	kʰan˨˩˦
鼻涕	pi˧˥tʰi˥˩
贒	ɕjɛn˧˥
㣈	sɯ˥˩
信口胡扯	ɕɪn˥˩kʰoʊ˨˩˦xu˧˥ʈʂʰɤ˨˩˦
下巴頦	ɕja˥˩pa˧xaɪ˧˥,ɕja˥˩pa˧kʰɤ˥˥
喧鬧	ɕɥœn˥˥nɑʊ˥˩
搔癢	sɑʊ˥˥jɑŋ˨˩˦
叩頭道謝	kʰoʊ˥˩tʰoʊ˧˥tɑʊ˥˩ɕjɛ˥˩
贊助	tsan˥˩ʈʂu˥˩
譕	mu˧˥
花瓣	xwa˥˥pan˥˩
廧	tɕʰjɑŋ˧˥
被提及	peɪ˥˩tʰi˧˥tɕi˧˥
檳榔	pɪŋ˥˥lɑŋ˧˥,pɪn˥˥lɑŋ˧˥
䬻	tɕjɛn˥˩,kʰan˨˩˦
誰都	ʂeɪ˧˥toʊ˥˥,ʂweɪ˧˥toʊ˥˥
飽和烴	pɑʊ˨˩˦xɤ˧˥tʰɪŋ˥˥
姪女婿	ʈʂɚ˧˥ny˨˩˦ɕy˥˩
看報紙	kʰan˥˩pɑʊ˥˩ʈʂɚ˨˩˦
䇽	ʈʂɚ˥˩
存在	tsʰuən˧˥tsaɪ˥˩
䫸	nɑʊ˧˥
景色	tɕɪŋ˨˩˦sɤ˥˩
致使	ʈʂɚ˥˩ʂɚ˨˩˦
䙸	tɤ˧˥,tɤ˧
撢帚	tan˨˩˦ʈʂoʊ˧
地	ti˥˩,tɤ˧
耹	tɕʰɪn˧˥
勞模	lɑʊ˧˥mɔ˧˥
蔀	pʰoʊ˨˩˦,pu˥˩
㨛	ʂan˨˩˦
水源	ʂweɪ˨˩˦ɥœn˧˥
作業	tsuɔ˥˩jɛ˥˩
柄	pɪŋ˨˩˦,pɪŋ˥˩
巨室	tɕy˥˩ʂɚ˥˩
麩子	fu˥˥tsɯ˧
抰	jɑŋ˨˩˦
裝修	ʈʂwɑŋ˥˥ɕjoʊ˥˥
䬏	foʊ˨˩˦,pu˥˩
戧麵饅頭	tɕʰjɑŋ˥˩mjɛn˥˩man˧˥tʰoʊ˧
酸酐	swan˥˥kan˥˥
邔	tɕʰi˨˩˦,tɕi˥˩
衾褥	tɕʰɪn˥˥ʐu˥˩
螞蟥	ma˨˩˦xwɑŋ˧˥
交通不便	tɕjɑʊ˥˥tʰʊŋ˥˥pu˧˥pjɛn˥˩
目迷五色	mu˥˩mi˧˥u˨˩˦sɤ˥˩
玎	tɪŋ˥˥
帠	i˥˩
甉	ɕjɛn˧˥
秫田	ʂu˧˥tʰjɛn˧˥
鴠	tan˥˩
鋪張	pʰu˥˥ʈʂɑŋ˥˥
羅曼蒂克	luɔ˧˥man˥˩ti˥˩kʰɤ˥˩
驙	ʈʂan˥˥
融為一體	ʐʊŋ˧˥weɪ˧˥i˥˩tʰi˨˩˦
先兆	ɕjɛn˥˥ʈʂɑʊ˥˩
蔊	xan˨˩˦,xan˥˩
鷮	tɕjɑʊ˥˥
姇	fu˥˥
功虧一簣	kʊŋ˥˥kʰweɪ˥˥i˧˥kʰweɪ˥˩
吐膽傾心	tʰu˨˩˦tan˨˩˦tɕʰɪŋ˥˥ɕɪn˥˥
䅞	nɤ˥˩,na˥˩,naɪ˥˩
棲	ɕi˥˥,tɕʰi˥˥
簢	mɪn˨˩˦
㾺	ma˥˩,mɔ˥˩
蜸	tɕʰjɛn˨˩˦
䶧	jɑʊ˨˩˦
被列入	peɪ˥˩ljɛ˥˩ʐu˥˩
㛯	mjɛn˨˩˦
佡	ɕɥœn˥˥
皗	ʈʂʰoʊ˧˥
蠻人	man˧˥ʐən˧˥
吥	pu˥˩
婥	ʈʂʰuɔ˥˩
臭椿樹	ʈʂʰoʊ˥˩ʈʂʰuən˥˥ʂu˥˩
䈄	xan˧˥
吻別	uən˨˩˦pjɛ˧˥
誘餌	joʊ˥˩aɻ˨˩˦
莫名其妙	mɔ˥˩mɪŋ˧˥tɕʰi˧˥mjɑʊ˥˩
䡡	ɕjɛ˧˥
卐	wan˥˩
䄦	ljɑʊ˨˩˦
野	jɛ˨˩˦
名譽	mɪŋ˧˥y˥˩
鐳同位素	leɪ˧˥tʰʊŋ˧˥weɪ˥˩su˥˩
遇難者	y˥˩nan˥˩ʈʂɤ˨˩˦
全部切除	tɕʰɥœn˧˥pu˥˩tɕʰjɛ˥˥ʈʂʰu˧˥
幹勁衝天	kan˥˩tɕɪn˥˩ʈʂʰʊŋ˥˥tʰjɛn˥˥
侕	aɻ˧˥
羽毛	y˨˩˦mɑʊ˧˥
難過	nan˧˥kuɔ˥˩
韡	weɪ˨˩˦
児	aɻ˧˥
絕招	tɕɥœ˧˥ʈʂɑʊ˥˥
訓誨	ɕyn˥˩xweɪ˥˩
賣	maɪ˥˩
爝	tɕɥœ˧˥,tɕjɑʊ˥˩
官倒	kwan˥˥tɑʊ˨˩˦
雜牌兒	tsa˧˥pʰaɪ˧˥aɻ˧
鶘	xu˧˥
悰	tsʰʊŋ˧˥
捲簾格	tɕɥœn˨˩˦ljɛn˧˥kɤ˧˥
玿	ʂɑʊ˧˥
之所以	ʈʂɚ˥˥suɔ˨˩˦i˨˩˦
船襪	ʈʂʰwan˧˥wa˥˩
低能	ti˥˥nɤŋ˧˥
不求上進	pu˥˩tɕʰjoʊ˧˥ʂɑŋ˥˩tɕɪn˥˩
進程	tɕɪn˥˩ʈʂʰɤŋ˧˥
褏	joʊ˥˩,ɕjoʊ˥˩
蠔油	xɑʊ˧˥joʊ˧˥
螳臂當車	tʰɑŋ˧˥pi˥˩tɑŋ˥˥ʈʂʰɤ˥˥,tʰɑŋ˧˥pi˥˩tɑŋ˨˩˦ʈʂʰɤ˥˥
搗碎	tɑʊ˨˩˦sweɪ˥˩
䘍	ʈʂʰaɪ˥˩
擼下來	lu˥˥ɕja˥˩laɪ˧˥
貨到付款	xuɔ˥˩tɑʊ˥˩fu˥˩kʰwan˨˩˦
木材	mu˥˩tsʰaɪ˧˥
爻	ɕjɑʊ˥˩,jɑʊ˧˥
引用文	ɪn˨˩˦jʊŋ˥˩uən˧˥
器量	tɕʰi˥˩ljɑŋ˥˩
比較	pi˨˩˦tɕjɑʊ˥˩
䃔	xʊŋ˧˥
䎿	tɕʰjoʊ˧˥,ɕjʊŋ˥˩
炎黃子孫	jɛn˧˥xwɑŋ˧˥tsɯ˨˩˦suən˥˥
鞣皮子	ʐoʊ˧˥pʰi˧˥tsɯ˧
鋭	tweɪ˥˩,ʐweɪ˥˩
報業	pɑʊ˥˩jɛ˥˩
兒媳婦兒	aɻ˧˥ɕi˧˥fu˧aɻ˧
楙	mɑʊ˥˩
忠實信徒	ʈʂʊŋ˥˥ʂɚ˧˥ɕɪn˥˩tʰu˧˥
狸	li˧˥,maɪ˧˥
被提名	peɪ˥˩tʰi˧˥mɪŋ˧˥
校園	ɕjɑʊ˥˩ɥœn˨˩˦
纓子	ɪŋ˥˥tsɯ˧
親歷	tɕʰɪn˥˥li˥˩
䆵	ʈʂʰɤŋ˧˥
鶃	i˥˩
炸出	ʈʂa˥˩ʈʂʰu˥˥
兮	ɕi˥˥
叛亂	pʰan˥˩lwan˥˩
踖	tɕi˧˥
錅	li˧˥
袻	aɻ˧˥
皮襖	pʰi˧˥ɑʊ˨˩˦
電閃雷鳴	tjɛn˥˩ʂan˨˩˦leɪ˧˥mɪŋ˧˥
肚	tu˨˩˦,tu˥˩
汗滴	xan˥˩ti˥˥
抄手	ʈʂʰɑʊ˥˥ʂoʊ˨˩˦
崫	tɕɥœ˧˥
延	jɛn˧˥
㘷	aɪ˥˩
矛頭	mɑʊ˧˥tʰoʊ˧
䧯	ʈʂʰan˧˥,ʈʂan˥˩
躑	ʈʂɚ˧˥
橐橐	tʰuɔ˧˥tʰuɔ˧˥
䭹	ɑŋ˧˥
