ܚܠܘܠܐ	ħəlulɑʔ
ܐܘܣܠܐ	ʔusalleʔ
ܬܪܝܢܒܫܒܐ	trejnbəʃabbɑʔ
ܓܠܡܐ	ɡalmeʔ
ܒܪܒܪܝܐ	barbərɑjɑʔ
ܩܦܠܐ	qɛflɑʔ
ܚܘܠܡܛܐ	ħulmɑtˤɑʔ
ܐܓܘܓܐ	ʔaɡɡoɣɑ
ܚܝܠܐ	ħɑjɑlɑʔ
ܒܣܬܪܐ	bɛstreʔ
ܙܡܪܬܐ	zammɑrtɑʔ
ܟܘܪܐ	kurɑʔ
ܣܪܓܐ	sarɣɑːʔ
ܥܪܩܬܐ	ʕarqe
ܩܡܨܐ	qamsˤɑʔ
ܙܘܪܐ	zəwɑreʔ
ܩܕܡܐ	qəðɑmɑʔ
ܚܓܣܐ	ħəɣɑsɑʔ
ܐܓܘܢܐ	ʔaɡɡoneʔ
ܩܘܦܕܐ	qufdɑʔ
ܥܪܡܐ	ʕarmɑ
ܙܗܪܐ	zəhɑrɑʔ
ܨܨܠܐ	sˤɛsˤsˤəlɑʔ
ܐܩܠܝܕܐ	ʔaqliðeʔ
ܥܪܒܐ	ʕarrɑwɑ
ܟܘܕܢܝܐ	koðanjɑ
ܟܘܠܝܬܐ	koljɑθɑ
ܬܠܝܐ	təlajjɑʔ
ܠܘܣܛܐ	lustˤɑʔ
ܥܙܩܬܐ	ʕɛzzaqtɑʔ
ܚܘܡܠܐ	ħummɑle
ܟܘܚܠܐ	kuħlɑʔ
ܥܢܢܐ	ʕannɑnɑʔ
ܐܟܕܝܐ	ʔakkəðɑjeʔ
ܐܣܦܪܣܐ	ʔɛspəreseʔ
ܐܘܣܐ	ʔawwɑsɑʔ
ܥܘܪܒܐ	ʕurəve
ܢܦܛܐ	nappɑtˤe
ܦܝܣܐ	pəjɑsɑʔ
ܣܟܬܐ	sɛkkəθɑ
ܡܫܟܢܐ	maʃkəne
ܚ	ħ
ܚܡܪܐ	ħamrɑne
ܪܘܡܐ	rɛwmeʔ
ܟܘܣܠܬܐ	kusalləθɑʔ
ܨܪܘܝܐ	sˤɑrojeʔ
ܓܘܪܐ	ɡawre
ܥܢܙܐ	ʕɛnzɑʔ
ܩܝܬܪܐ	qiθɑreʔ
ܙܢܓܪܐ	zanɡɑreʔ
ܚܘܒܐ	ħawbeʔ
ܟܘܬܝܢܐ	kuttinɑ
ܫܘܚܐ	ʃuħɑ
ܡܣܪܩܐ	masrəqeʔ
ܬܝܢܬܐ	təjɑntɑʔ
ܨܦܘܢܐ	sˤapponɑʔ
ܩܕܡܐ	qəðɑmeʔ
ܩܘܪܒܐ	qurrɑveʔ
ܬܢܢܐ	tɛnnɑneʔ
ܣܩܠܐ	səqɑleʔ
ܫܝܟ	ʃajx
ܦܪܕܬܐ	pərɛðtɑʔ
ܚܟܐ	ħɛkkɑʔ
ܦܛܪܝܪܟܐ	pɑtˤarjarkɑʔ
ܩܦܠܐ	qəfɑleʔ
ܫܒܒܐ	ʃəvɑveʔ
ܐܦܝܐ	ʔappɑjeʔ
ܐܓܪܐ	ʔɛɡɡɑre
ܒܢܝܐ	bannɑjeʔ
ܝܪܝܥܬܘܢܝܬܐ	jɑriʕəθoniθɑʔ
ܚܢܘܬܐ	ħɑnuθɑ
ܬܐܢܚܬܐ	teʔnaħəθɑʔ
ܣܦܪܐ	sɑfreʔ
ܪܩܝܥܐ	rəqiʕɑ
ܕܪܓܐ	dɑroɣo
ܝܪܒܘܥܐ	jarbuʕɑʔ
ܐܣܦܘܩܠܛܪܐ	ʔɛspuqlatˤrɑ
ܡܫܝܚܐ	məʃiħɑʔ
ܙܩܪܬܐ	zəqɑrtɑʔ
ܚܡܘܪܬܐ	ħumrɑθɑʔ
ܚܠܡܬܐ	ħɑlmɑθɑ
ܟܟܘܫܬܐ	kɑxuʃtɑʔ
ܫܒܒܬܐ	ʃəvɑvɑθɑʔ
ܟܪܒܣܐ	karbɑseʔ
ܢܚܢܚܬܐ	naħnəħɑθɑ
ܫܥܐ	ʃɑʕeʔ
ܐܣܛܘܐ	ʔɛstˤweʔ
ܟܠܙܘܙܐ	kɑlzuzeʔ
ܙܡܝܬܐ	zəmɑjtɑʔ
ܦܐܪܐ	paʔreʔ
ܢܒܝܕܐ	nəviðeʔ
ܢܘܗܪܐ	nuhhɑrɑʔ
ܕܪܡܢܐ	darmɑneʔ
ܟܘܫܪܐ	kuʃʃɑrɑʔ
ܒܪܩܐ	bɑrqo
ܓܠܡܐ	ɡalmɑʔ
ܐܓܘܢܝܣܛܐ	ʔaɡɡonistˤeʔ
ܦܬܚܐ	pəθɑħɑʔ
ܙܝܙܐ	zizɑʔ
ܒܝܒܐ	bivɑʔ
ܟ	kɑf
ܕܝܢܐ	dineʔ
ܙܕܩܬܐ	zɛðqəθɑ
ܢܒܘܙܐ	nɑvozeʔ
ܣܪܛܐ	sarrɑtˤɑʔ
ܣܗܕܘܬܐ	sɑhəðwɑθɑ
ܕܪܓܐ	darrɑɣɑ
ܩܛܡܐ	qɛtˤmeʔ
ܩܠܝܬܐ	qɛlleʔ
ܚܘܡܫܐ	ħumʃɑ
ܢܡܪܬܐ	nɛmrɑθɑ
ܦܪܘܫܐ	pɑroʃɑʔ
ܐܪܝܐ	ʔarjɑ
ܡܥܡܪܐ	maʕmərɑθɑʔ
ܢܘܢܐ	nunɑʔ
ܙܘܪܐ	zəwɑrɑθɑʔ
ܬܓܪܐ	taɡɡɑreʔ
ܙܩܪܬܐ	zəqɑrɑθɑʔ
ܦܫܪܐ	pəʃɑreʔ
ܫܘܦܝܐ	ʃufjɑʔ
ܥܙܪܘܪܐ	ʕazrurɑʔ
ܚܠܐ	ħɛlleʔ
ܡܕܪܐ	mɛðrɑʔ
ܝܕܢܬܐ	jaðnəθɑʔ
ܥܡܠܐ	ʕɑmleʔ
ܣܢܝܐ	sanjɑ
ܐܠܦܐ	ʔaləfɑjeʔ
ܥܓܠܬܐ	ʕɛɣlɑθɑ
ܪܒܝܬܐ	rabbajtɑʔ
ܡܛܘܚܬܐ	mɑtˤoħtɑʔ
ܪܘܚܐ	ruħɑ
ܟܪܟܐ	kɛrkɑ
ܩܨܪܐ	qasˤsˤɑrɑʔ
ܫܠܗܒܝܬܐ	ʃalheviθɑʔ
ܫܡܘܢܐ	ʃɑmoneʔ
ܦܢܝܬܐ	pənɑjtɑʔ
ܛܠܝܐ	tˤəlajjɑ
ܕܘܪܐ	dəwɑrɑʔ
ܫܩܐ	ʃaqqɑ
ܩܠܒܐ	qaləveʔ
ܡܘܡܬܐ	mawmɑjɑθɑʔ
ܝܘܢܐ	jawne
ܢܒܚܐ	nəvɑħeʔ
ܝܨܪܐ	jasˤrɑʔ
ܐܡܒܘܢܐ	ʔambonɑʔ
ܕܢܚܐ	dɛnħɑ
ܩܠܐ	qallɑʔ
ܟܪܦܣܐ	kɛrpəse
ܐܣܛܘܡܟܐ	ʔɛstˤomkɑʔ
ܚܒܪܐ	ħavrɑ
ܚܪܝܥܐ	ħarriʕɑ
ܡܚܛܐ	məħatˤtˤɑ
ܠܚܫܐ	ləħɑʃeʔ
ܟܘܬܝܢܐ	kuttənɑjɑθɑ
ܚܘܢܛܬܐ	ħuntˤɑθɑ
ܬܘܕܝܬܐ	tawdiθɑʔ
ܐܟܠܐ	ʔɑxlɑʔ
ܟܘܬܝܢܝܬܐ	kuttinjɑθɑʔ
ܥܪܦܬܐ	ʕarpɑθɑʔ
ܦܩܪܐ	paqrɑʔ
ܝܪܠܐ	jarlɑʔ
ܟܪܘܙܐ	karrozɑʔ
ܓܡܘܪܬܐ	ɡumre
ܪܢܝܐ	rɛnjɑʔ
ܥܪܘܒܬܬܐ	ʕəruvtɑθɑʔ
ܡܚܫܒܬܐ	maħʃavtɑʔ
ܟܣܬܐ	kɛssɑθɑʔ
ܢܘܫܩܬܐ	nuʃqɑθɑʔ
ܨܠܘܬܐ	sˤəlawwɑθɑ
ܒܘܫܠܐ	buʃʃɑlɑʔ
ܐܪܝܣ	ʔarris
ܢܕܪܐ	nəðɑrɑʔ
ܓܘܒܐ	ɡubbe
ܡܣܐܢܐ	məsɑʔnɑʔ
ܝ	joð
ܐܡܬܐ	ʔamməθɑ
ܐܡܐ	ʔɛmmɑʔ
ܡܬܢܬܐ	mattantɑʔ
ܡܪܙܒܢܐ	marzəbɑne
ܐܝܠܐ	ʔijɑlɑ
ܐܓܘܪܐ	ʔɑɣoreʔ
ܩܛܢܐ	qatˤtˤɑneʔ
ܟܣܬܐ	kɑstɑʔ
ܛܪܘܓܐ	tˤəruɡɡe
ܡܫܛܚܐ	maʃtˤɑħeʔ
ܓܙܐ	ɡɑze
ܗܝܟܠܐ	hajkəle
ܡܪܥܝܬܐ	marʕəjɑθɑʔ
ܚܘܛܪܐ	ħutˤrɑθɑʔ
ܐܡܝܫܐ	ʔɑmiʃeʔ
ܣܩܠܐ	sɛqleʔ
ܩܠܐ	qɛlleʔ
ܥܡܪܐ	ʕəmɑrɑʔ
ܣܕܪܐ	sɛðreʔ
ܓܘܐ	ɡawwɑʔ
ܡܬܘܬܐ	mɑθwɑθɑʔ
ܚܒܠܐ	ħabbɑle
ܙܠܓܐ	zɛlɣe
ܐܓܪܐ	ʔaɣrɑ
ܓܕܝܫܐ	ɡəðiʃe
ܡܕܒܪܢܘܬܐ	məðabbərɑnwɑθɑʔ
ܒܪܒܪܝܐ	barbarrɑjeʔ
ܫܘܫܦܐ	ʃoʃɛppeʔ
ܩܪܩܦܬܐ	qarqafjɑθɑ
ܝܪܒܘܥܐ	jarbuʕeʔ
ܐܠܝܬܐ	ʔallɑjɑθɑ
ܝܒܠܐ	jəvɑleʔ
ܒܨܘܝܐ	bɑsˤojeʔ
ܩܛܘܠܐ	qɑtˤoleʔ
ܥܡܘܪܐ	ʕɑmoreʔ
ܐܪܢܐ	ʔarnɑʔ
ܬܗܘܡܐ	təhomɑθɑʔ
ܡܟܣܐ	maxseʔ
ܗܠܟܬܐ	hallɑxɑθɑʔ
ܢܩܡܬܐ	nqɑmθo
ܕܩܢܐ	daqneʔ
ܐܦܬܐ	ʔappəθɑʔ
ܫܪܩܪܩܐ	ʃəraqrɑqɑʔ
ܓܘܣܐ	ɡɑwso
ܚܨܕܐ	ħəsˤɑðɑʔ
ܡܢܝܢܐ	məninɑʔ
ܐܚܝܢܬܐ	ħjɑnɑθɑ
ܬܘܠܬܐ	tulləθeʔ
ܒܝܥܬܐ	be̝ʕɑθɑ
ܒܣܡܐ	bəsɑmɑʔ
ܒܪܒܪܝܐ	barbərɑjeʔ
ܩܢܝܐ	qənajjɑ
ܫܘܬܦܬܐ	ʃawtɑfɑθɑʔ
ܝܕܥܬܐ	jəðaʕtɑʔ
ܫܢܬܐ	ʃɛnnɑθɑ
ܐܒܠܬܐ	ʔɛbbaltɑ
ܕܠܦܝܢܐ	dɛlpine
ܨܨܪܐ	sˤesˤrɑʔ
ܙܠܡܐ	zəlɑmɑʔ
ܕܗܒܐ	dahhɑve
ܪܝܫܢܐ	rejʃɑne
ܙܘܝܬܐ	zɑwiθɑ
ܩܪܝܬܐ	qəriθɑʔ
ܣܟܝܢܐ	sakkinɑ
ܟܪܥܐ	karʕɑʔ
ܩܝܡܬܐ	qɑjɪmtɑ
ܓܒܝܐ	ɡabbɑje
ܬܒܢܐ	tabbɑneʔ
ܡܟܬܒܢܘܬܐ	maxtəvɑnwɑθɑʔ
ܩܠܥܐ	qallɑʕeʔ
ܘܪܫܢܐ	warʃɑne
ܓܡܠܘܬܐ	ɡamlawwɑθɑʔ
ܝܩܝܪܘܬܐ	jaqqiruθɑʔ
ܪܩܝܥܐ	rəqiʕe
ܩܕܝܫܘܬܐ	qaddiʃuθɑʔ
ܟܒܠܐ	kavlɑʔ
ܕܗܩܢܐ	dahqɑne
ܐܡܐ	ʔammeʔ
ܟܪܦܣܐ	kərɛfse
ܚܦܪܐ	ħɛfrɑ
ܚܠܦ	ħəlaf
ܟܒܕܬܐ	kavdɑθɑʔ
ܡܠܟܘܬܐ	malkuθɑʔ
ܡܓܙܪܐ	maɣzərɑ
ܒܥܠܐ	baʕleʔ
ܨܘܝܒܐ	sˤujjɑve
ܟܘܪܐ	kəwɑrɑʔ
ܓܘܙܥܐ	ɡuzʕe
ܪܩܕܐ	raqqɑðɑʔ
ܠܦܬܐ	lafte
ܡܠܟܬܐ	malkəθɑ
ܛܠܝܬܐ	tˤɛllɑjtɑ
ܓܡܠܐ	ɡamlɑ
ܥܘܪܐ	ʕəwɑreʔ
ܐܝܙܓܕܘܬܐ	ʔizɡaddəwɑθɑʔ
ܐܬܠܝܛܐ	ʔaθle̝tˤɑʔ
ܫܠܦܐ	ʃəlɑfe
ܩܘܦܐ	qofɑʔ
ܕܫܢܐ	dɑʃneʔ
ܩܪܒܐ	qərɑveʔ
ܐܠܝܬܐ	ʔallɑjtɑ
ܕܬܐ	dɑθɑʔ
ܪܘܙܐ	rəwɑzɑ
ܚܠܝܘܬܐ	ħaljuθɑ
ܨܡܘܪܬܐ	sˤumrɑθɑʔ
ܫܘܪܐ	ʃawreʔ
ܕܪܡܐ	dərɑmɑtˤɑʔ
ܦܛܪܝܪܟܐ	pɑtˤarjarkeʔ
ܡܓܠܬܐ	məɣalle
ܓܠܥܬܐ	ɡəlaʕtɑʔ
ܬܘܫܐ	tawʃɑʔ
ܣܦܪܬܐ	sappɑrtɑʔ
ܦܘܪܣܐ	purrɑseʔ
ܚܪܘܬܐ	ħərawwɑθɑʔ
ܟܒܝܪܐ	kabbirɑʔ
ܣܦܣܪܐ	safsɑrɑʔ
ܟܢܪܐ	kənɑrɑ
ܙܝܬܐ	zajtɑʔ
ܓܘܠܒܐ	ɡulbɑ
ܓܦܐ	ɡappeʔ
ܡܚܘܙܐ	mɑħozɑ
ܒܘܪܐ	bureʔ
ܐܦܬܐ	ʔaftɑʔ
ܦܣܦܣܐ	pɛspəseʔ
ܒܣܡܐ	bɛsmɑʔ
ܒܚܕܐ	baħəðɑʔ
ܕܪܩܘܢܐ	dərɑqoneʔ
ܬܟܣܝܬܐ	taxsiθɑ
ܐܡܠܐ	ʔɑmɛllɑʔ
ܐܦܘܬܐ	ʔappəwɑθɑʔ
ܐܘܟܪܝܣܛܝܐ	ʔɛwkaristˤijɑʔ
ܬܦܘܬܐ	təfɑwɑθɑʔ
ܡܪܬܐ	mɛrrɑθɑ
ܪܒܘܬܐ	rabbəwɑθɑ
ܐܘܪܝܬܐ	ʔoriθɑʔ
ܫܪܘܪܐ	ʃərorɑʔ
ܫܥܬܐ	ʃɑʕɑθɑʔ
ܥܝܒܐ	ʕajbɑ
ܥܪܕܐ	ʕərɑðɑ
ܩܠܡܐ	qalmɑʔ
ܐܣܛܘܐ	ʔɛstˤwɑʔ
ܐܓܡܐ	ʔɛɣmo
ܐܡܫܐ	ʔamʃɑʔ
ܕܐܒܐ	deʔvɑʔ
ܚܘܠܕܐ	ħullɑðɑ
ܡܩܘܪܐ	mɑqorɑ
ܐܚܝܢܘܬܐ	ħjɑnwɑθɑʔ
ܐܣܛܠܐ	ʔɛstˤəleʔ
ܐܙܒܪܟܐ	ʔɛzəvɑrəxɑʔ
ܣܘܣܝܐ	susjeʔ
ܬܘܐ	təwɑʔ
ܢܥܘܪܬܐ	nɑʕortɑ
ܐܘܪܕܥܐ	ʔurdəʕɑʔ
ܣܒܐ	sɛbbeʔ
ܚܡܪܐ	ħammɑrɑ
ܪܘܓܙܐ	ruɣze
ܓܘܐ	ɡawweʔ
ܡܣܟܝܢܐ	mɛske̝nɑ
ܚܒܘܫܐ	ħabbuʃe
ܩܫܝܫܘܬܐ	qaʃʃiʃuθɑʔ
ܐܒܠܐ	ʔɛbbəlɑ
ܒܘܬܐ	bawtɑʔ
ܚܒܨܐ	ħɛvsˤɑʔ
ܛ	tˤejθ
ܥܘܡܪܐ	ʕummɑreʔ
ܟܪܟܐ	karəxe
ܦܘܪܫܐ	purrɑʃeʔ
ܐܡܒܪ	ʔambɑr
ܓܘܕܦܐ	ɡuddɑfɑʔ
ܬܓܡܐ	tɛɣmɑ
ܡܫܟܐ	məʃɑxɑ
ܠܓܐ	laɡɡɑʔ
ܐܝܫܠܐ	ʔiʃlɑ
ܥܝܢܐ	ʕajneʔ
ܡܥܪܐ	məʕarreʔ
ܐܘܫܥܢܐ	ʔoʃaʕnɑ
ܐܝܩܘܢܐ	ʔiqonɑʔ
ܝܪܚܐ	jarħeʔ
ܟܪܬܐ	karrɑθeʔ
ܐܘܡܢܐ	ʔummɑneʔ
ܥܢܙܐ	ʕɛnzeʔ
ܛܝܡܐ	tˤimɑʔ
ܓܠܠܐ	ɡəlɑleʔ
ܟܢܫܐ	kɛnʃeʔ
ܫܡܘܢܐ	ʃɑmonɑʔ
ܝܠܘܕܬܐ	jɑloðɑθɑ
ܪܒܝܬܐ	rɛbbiθɑʔ
ܪܒܝܥܐ	rəviʕeʔ
ܬܘܩܢܐ	tuqqɑneʔ
ܪܝܫܐ	rejʃeʔ
ܬܘܢܐ	tuneʔ
ܦܣܬܐ	pɛssɑθɑʔ
ܫܘܦܪܐ	ʃufreʔ
ܬܗܘܡܐ	təhomeʔ
ܨܠܝܒܐ	sˤəliveʔ
ܣܦܝܢܐ	səfinɑ
ܬܐܪܬܐ	teʔrɑθɑʔ
ܥܩܒܐ	ʕəqɑveʔ
ܐܙܒܪܟܐ	ʔɛzbarkeʔ
ܛܪܘܓܐ	tˤəruɡɡɑ
ܚܡܗܬܐ	ħəmɑhɑθɑʔ
ܐܬܠܝܐ	ʔɑθɛljɑ
ܐܡܗܬܐ	ʔɛmhɑθɑʔ
ܐܪܫܟܝܬܐ	ʔɑrɛʃəxɑjɑθɑʔ
ܬܕܐܐ	tɛðʔɑʔ
ܫܩܐ	ʃɑqe
ܦܪܟܐ	pɑrəxɑ
ܫܢܐ	ʃənɑʔ
ܓܗܐ	ɡɑhɑ
ܠܦܬܐ	lɛfte
ܚܪܫܬܐ	ħarrɑʃɑθɑ
ܥܩܪܒܐ	ʕɛqqarbɑʔ
ܣܣܐ	sɪssɑ
ܕܬܐ	datteʔ
ܚܒܪܘܬܐ	ħavruθɑʔ
ܥܝܠܐ	ʕilɑʔ
ܪܘܝܐ	rawjɑʔ
ܝܓܪܐ	jaɣrɑʔ
ܙܓܓܐ	zəɣɑɣɑʔ
ܕܢܐ	dannɑθɑ
ܛܪܢܐ	tˤarrɑnɑʔ
ܒܪܘܝܐ	bɑrojeʔ
ܥܙܩܬܐ	ʕɛzqɑθɑʔ
ܙܗܪܐ	zəhɑreʔ
ܐܢܦܘܪܐ	ʔannapporɑʔ
ܡܥܝܢܐ	məʕinɑʔ
ܒܪܘܬܐ	bəroθe
ܩܢܦܐ	qannappeʔ
ܡܣܪܐ	massɑrɑʔ
ܡܫܟܢܐ	maʃkɑne
ܬܘܪܓܡܐ	turɡɑmeʔ
ܒܛܢܐ	batˤneʔ
ܡܥܒܪܐ	maʕbəreʔ
ܢܚܠܐ	nəħɑlɑʔ
ܩܗܘܐ	qahwɑʔ
ܛܒܚܬܐ	tˤabbɑħɑθɑ
ܡܣܓܕܐ	masɡəðɑʔ
ܩܠܝܬܐ	qalliθɑʔ
ܠܐ	lɑ
ܬܩܠܐ	tɛqlɑʔ
ܥ	ʕeʔ
ܚܕܘܬܐ	ħaðwəθɑʔ
ܐܡܙܪܬܐ	ʔamzarteʔ
ܦܘܪܢܣܐ	purnɑseʔ
ܐܒܠܬܐ	ʔɛbbəlɑθɑ
ܫܓܐ	ʃɑɣe
ܕܦܢܐ	dappanneʔ
ܫܒܘܪܩܢ	ʃɑvurqɑn
ܚܪܫܬܐ	ħarrɑʃtɑ
ܝܘܡܢ	jawman
ܓܪܡܐ	ɡarmeʔ
ܝܩܕܐ	jɑqdeʔ
ܦܠܝܛܐ	pallitˤeʔ
ܐܘܟܡܐ	ʔukkɑmeʔ
ܫܒܠܐ	ʃabbɑlɑʔ
ܓܪܕܐ	ɡərɑðɑʔ
ܥܪܕܐ	ʕərɑðe
ܐܙܓܐ	ʔazɡe
ܫܩܠܐ	ʃəqɑlɑʔ
ܒܘܒܠܐ	buwlɑ
ܦܫܪܬܐ	pəʃɑrtɑʔ
ܛܪܘܢܐ	tˤarroneʔ
ܩܦܣܐ	qɑfsɑ
ܙܒܢܐ	zavnɑʔ
ܡܫܬܘܬܐ	mɛʃtəwɑθɑʔ
ܥܘܩܣܐ	ʕuqseʔ
ܫܘܫܡܢܐ	ʃawʃəmɑnɑʔ
ܚܦܪܐ	ħəfɑrɑ
ܬܝܢܐ	tinɑʔ
ܟܘܪܐ	kureʔ
ܫܡܫܐ	ʃɪmʃɑ
ܣܗܕܐ	sɑhəðeʔ
ܐܘܨܪܐ	ʔawsˤərɑʔ
ܟܬܟܘܬܐ	kaθkuθɑ
ܣܘܥܪܢܐ	suʕrɑneʔ
