የሌሎች	jˈəlelot͡ʃ
በጽሑፍ	bˈətsɨhuf
በዚች	bˈəzit͡ʃ
ከዚያም	kˈəzijam
ርቀት	rˈɨk`ət
ነጭ	nˈət͡ʃ`
ፓተንቶች	pˈatənɨtot͡ʃ
በብሉይ	bˈəβɨluj
የተወለደው	jˈətəwələdəw
ተደጋጋሚ	tˈədəɡaɡami
መጽሐፍትን	mˈətsɨhafɨtɨn
ግራ	ɡˈɨra
ለውጥን	lˈəwɨt`ɨn
የገዛው	jˈəɡəzaw
ሁሉን	hˈulun
አብዛኞቹ	ʔˈaβɨzaɲot͡ʃu
የተሰሩ	jˈətəsəru
አንዷ	ʔˈanɨdwa
የዩናይትድ	jˈəjunajɨtɨd
አማካይነት	ʔˈamakajɨnət
ያም	jˈam
ጋሜት	ɡˈamet
እንኳ	ʔˈɨnɨkwa
ውበት	wˈɨβət
ግዕዝኤዲት	ɡˈɨʔɨzɨʔedit
ተከተለው	tˈəkətələw
የቅርብ	jˈək`ɨrɨb
ለመድረስ	lˈəmədɨrəs
የሚታወቀው	jˈəmitawək`əw
ቀመር	k`ˈəmər
አቅድ	ʔˈak`ɨd
እራሱን	ʔˈɨrasun
አንዳንድ	ʔˈanɨdanɨd
መሪዎች	mˈəriwot͡ʃ
በታች	bˈətat͡ʃ
በሆኑ	bˈəhonu
ሥር	sˈɨr
ክፍያ	kˈɨfɨja
በትንሹ	bˈətɨnɨʃu
የስሜን	jˈəsɨmen
ለ	lˈə
ከበደ	kˈəβədə
ሽልማት	ʃˈɨlɨmat
አሚና	ʔˈamina
ስሞች	sˈɨmot͡ʃ
መገናኛ	mˈəɡənaɲa
ጠላት	t`ˈəlat
እንዲችል	ʔˈɨnɨdit͡ʃɨl
ነቢዩ	nˈəβiju
የሕንድ	jˈəhɨnɨd
የኪሽ	jˈəkiʃ
ደስታ	dˈəsɨta
አስተማማኝ	ʔˈasɨtəmamaɲ
ጥይት	t`ˈɨjɨt
ባሕር	bˈahɨr
ቁጥር	k`ˈut`ɨr
መደብ	mˈədəb
ዋጋ	wˈaɡa
ምሥራቅ	mˈɨsɨrak`
ቀዳዳ	k`ˈədada
ስለዚህ	sˈɨləziç
ማኅበር	mˈahɨβər
ስለዚሁ	sˈɨləzihu
የተቃውሞ	jˈətək`awɨmo
አቡጊዳ	ʔˈaβuɡida
ያ	jˈa
ይሆናል	jˈɨhonal
ሲገኙ	sˈiɡəɲu
መሠረት	mˈəsərət
ተነሥቶ	tˈənəsɨto
ለምሳሌ	lˈəmɨsale
ሲታይ	sˈitaj
ውቅር	wˈɨk`ɨr
ደጋማ	dˈəɡama
ይሆን	jˈɨhon
የሃይማኖት	jˈəhajɨmanot
ትክክለኛ	tˈɨkɨkɨləɲa
ጊዜውን	ɡˈizewɨn
ለመጠቀም	lˈəmət`ək`əm
ፈረንሳይ	fˈərənɨsaj
በዚያም	bˈəzijam
የትኛው	jˈətɨɲaw
ኩባንያ	kˈuβanɨja
ሰውን	sˈəwɨn
የእብድ	jˈəʔɨβɨd
ለዘላለም	lˈəzəlaləm
ውህድ	wˈɨhɨd
ተጽእኖ	tˈətsɨʔɨno
በሙሉ	bˈəmulu
ቄሣር	k`ˈesar
ኧ	ʔˈə
ጠንካራ	t`ˈənɨkara
ጨርቅ	t͡ʃ`ˈərɨk`
ፈጠራ	fˈət`əra
ድንጋዮች	dˈɨnɨɡajot͡ʃ
በእውነት	bˈəʔɨwɨnət
ሲገባ	sˈiɡəβa
ስምንት	sˈɨmɨnɨt
ላባርና	lˈaβarɨna
በየዓመቱ	bˈəjəʔamətu
ቁቤ	k`ˈuβe
የሙቀት	jˈəmuk`ət
ዘመነ	zˈəmənə
ሚስቶች	mˈisɨtot͡ʃ
ያካተተ	jˈakatətə
በመጀመሪያ	bˈəməd͡ʒəmərija
መሣርያ	mˈəsarɨja
ተደርጎ	tˈədərɨɡo
ነቢይ	nˈəβij
አጭር	ʔˈat͡ʃ`ɨr
እኔ	ʔˈɨne
ፍጹም	fˈɨtsum
ኅልዮት	hˈɨlɨjot
በተለመደው	bˈətələmədəw
በበሽታው	bˈəβəʃɨtaw
ከልጅነቱ	kˈəlɨd͡ʒɨnətu
በሒሳብ	bˈəhisab
እጥፍ	ʔˈɨt`ɨf
የህይወት	jˈəhɨjɨwət
የአካባቢ	jˈəʔakaβaβi
ጌታ	ɡˈeta
ምጣኔ	mˈɨt`ane
በሚባለው	bˈəmiβaləw
ደንቦች	dˈənɨβot͡ʃ
ከተባለው	kˈətəβaləw
የሚያሳይ	jˈəmijasaj
ምሳሌዎች	mˈɨsalewot͡ʃ
ግጥሞች	ɡˈɨt`ɨmot͡ʃ
ስራወችን	sˈɨrawət͡ʃɨn
ክፉኛ	kˈɨfuɲa
የዓማርኛ	jˈəʔamarɨɲa
በመቶ	bˈəməto
ቅጣት	k`ˈɨt`at
ደቂቃ	dˈək`ik`a
ያለ	jˈalə
ሆኖ	hˈono
መጽሐፈ	mˈətsɨhafə
የሚሆነውን	jˈəmihonəwɨn
የዶክተሩን	jˈədokɨtərun
የኤድስ	jˈəʔedɨs
የውስጥ	jˈəwɨsɨt`
አስተያየት	ʔˈasɨtəjajət
ኢትዮጵያዊ	ʔˈitɨjop`ɨjawi
ድንቅ	dˈɨnɨk`
በነዚህ	bˈənəziç
ቁስ	k`ˈus
መቀየር	mˈək`əjər
ያልሆኑ	jˈalɨhonu
ማስቀመጥ	mˈasɨk`əmət`
ጥፋት	t`ˈɨfat
ዕቅድ	ʔˈɨk`ɨd
ከእናታቸው	kˈəʔɨnatat͡ʃəw
ስያሜው	sˈɨjamew
ከራስ	kˈəras
መጽሐፋቸው	mˈətsɨhafat͡ʃəw
ኃይሌ	hˈajɨle
አራተኛው	ʔˈaratəɲaw
ሕንጻዎች	hˈɨnɨtsawot͡ʃ
ሰማይ	sˈəmaj
ኖህ	nˈox
ድል	dˈɨl
ብለን	bˈɨlən
ለራሳቸው	lˈərasat͡ʃəw
ኣኃዞች	ʔˈahazot͡ʃ
ተገቢ	tˈəɡəβi
ሳጥን	sˈat`ɨn
የፋርስ	jˈəfarɨs
ህብረተሰብ	hˈɨβɨrətəsəb
ስርአት	sˈɨrɨʔat
ሂደት	hˈidət
ቅጽል	k`ˈɨtsɨl
አጥር	ʔˈat`ɨr
ጽሕፈቶች	tsˈɨhɨfətot͡ʃ
ፊታውራሪ	fˈitawɨrari
ለማሳየት	lˈəmasajət
የእንግሊዝ	jˈəʔɨnɨɡɨliz
የኪነ	jˈəkinə
ቁምፊ	k`ˈumɨfi
እሱም	ʔˈɨsum
በአሥራ	bˈəʔasɨra
አስተዳዳሪ	ʔˈasɨtədadari
ወንድሙ	wˈənɨdɨmu
እግር	ʔˈɨɡɨr
መጠሪያ	mˈət`ərija
እጁ	ʔˈɨd͡ʒu
ተመልሶ	tˈəməlɨso
ቤተሰብ	bˈetəsəb
እኒህን	ʔˈɨnihɨn
እንቅፋት	ʔˈɨnɨk`ɨfat
ቀስ	k`ˈəs
ክፍለ	kˈɨfɨlə
ገጥመው	ɡˈət`ɨməw
ቀደምት	k`ˈədəmɨt
ተሟጋቾች	tˈəmwaɡat͡ʃot͡ʃ
ነገሥት	nˈəɡəsɨt
አለቆች	ʔˈalək`ot͡ʃ
ነገስት	nˈəɡəsɨt
መረጃዎችን	mˈərəd͡ʒawot͡ʃɨn
በሕግ	bˈəhɨɡ
አበቦች	ʔˈaβəβot͡ʃ
ከብት	kˈəβɨt
ለመሆኑ	lˈəməhonu
መጥፎ	mˈət`ɨfo
ሕዝቡ	hˈɨzɨβu
ቀይሮ	k`ˈəjɨro
በፋርስ	bˈəfarɨs
አውሮፓ	ʔˈawɨropa
መጀመርያ	mˈəd͡ʒəmərɨja
የአቶ	jˈəʔato
ክብ	kˈɨb
ከእግዚአብሔር	kˈəʔɨɡɨziʔaβɨher
በተጨባጭ	bˈətət͡ʃ`əβat͡ʃ`
መወለድ	mˈəwələd
አብጃድ	ʔˈaβɨd͡ʒad
ደሞ	dˈəmo
በድንገት	bˈədɨnɨɡət
ከአንዳንድ	kˈəʔanɨdanɨd
ሚካኤልን	mˈikaʔelɨn
ከባህር	kˈəβahɨr
ዞራስተር	zˈorasɨtər
መኻል	mˈəhal
ጳጳሱ	p`ˈap`asu
ረጅም	rˈəd͡ʒɨm
ሚሊዮን	mˈilijon
ለኢትዮጵያ	lˈəʔitɨjop`ɨja
ካርል	kˈarɨl
ከሚባለው	kˈəmiβaləw
ክንድ	kˈɨnɨd
የምግብ	jˈəmɨɡɨb
የሚነገር	jˈəminəɡər
የተሰኘ	jˈətəsəɲə
የደርግ	jˈədərɨɡ
በከፊል	bˈəkəfil
ኣዲስ	ʔˈadis
ባህርይ	bˈahɨrɨj
ተወዳዳሪ	tˈəwədadari
ብዬ	bˈɨje
በሽታ	bˈəʃɨta
በበርካታ	bˈəβərɨkata
ቁርአን	k`ˈurɨʔan
ጣልያን	t`ˈalɨjan
ሰብአዊ	sˈəβɨʔawi
የምዕራብ	jˈəmɨʔɨrab
ተክለ	tˈəkɨlə
መንግሥትን	mˈənɨɡɨsɨtɨn
በነበሩበት	bˈənəβəruβət
እራሱ	ʔˈɨrasu
ነፍሰ	nˈəfɨsə
የሞገድ	jˈəmoɡəd
ኢምንት	ʔˈimɨnɨt
መድኃኒት	mˈədɨhanit
የተወደደ	jˈətəwədədə
ድርጅት	dˈɨrɨd͡ʒɨt
ስትል	sˈɨtɨl
ሚኒስቴር	mˈinisɨter
መስራት	mˈəsɨrat
ለአንድ	lˈəʔanɨd
የሚኖር	jˈəminor
የድሮ	jˈədɨro
ምሽት	mˈɨʃɨt
የነበረውን	jˈənəβərəwɨn
አፍ	ʔˈaf
ከአባታቸው	kˈəʔaβatat͡ʃəw
የድንጋይ	jˈədɨnɨɡaj
ጉብኝት	ɡˈuβɨɲɨt
ከሚገኙ	kˈəmiɡəɲu
ይግባኝ	jˈɨɡɨβaɲ
ስሞቹ	sˈɨmot͡ʃu
በአንዳንድ	bˈəʔanɨdanɨd
እሱን	ʔˈɨsun
እንደሆኑ	ʔˈɨnɨdəhonu
መሐመድ	mˈəhaməd
እስካሁንም	ʔˈɨsɨkahunɨm
መሆናቸውን	mˈəhonat͡ʃəwɨn
ካቶሊክ	kˈatolik
ከማንኛውም	kˈəmanɨɲawɨm
ጠዋት	t`ˈəwat
ክስ	kˈɨs
በላዩ	bˈəlaju
ይሁን	jˈɨhun
መቃብር	mˈək`aβɨr
ዉስጥ	wˈusɨt`
ዝርዮች	zˈɨrɨjot͡ʃ
ሆስፒታል	hˈosɨpital
እያሱ	ʔˈɨjasu
በስተሰሜን	bˈəsɨtəsəmen
ተስፋ	tˈəsɨfa
ጥልቀት	t`ˈɨlɨk`ət
ከግብጽ	kˈəɡɨβɨts
ዳ	dˈa
ዓላማ	ʔˈalama
በተቃራኒ	bˈətək`arani
አንደኛው	ʔˈanɨdəɲaw
በሕዝብ	bˈəhɨzɨb
የበላይ	jˈəβəlaj
ግብጽ	ɡˈɨβɨts
የአውሮፓ	jˈəʔawɨropa
ወራት	wˈərat
ቄስ	k`ˈes
ብቅ	bˈɨk`
በስተ	bˈəsɨtə
እርግጥ	ʔˈɨrɨɡɨt`
ሰው	sˈəw
በነጻ	bˈənətsa
መዝገቦች	mˈəzɨɡəβot͡ʃ
ተቀምጦ	tˈək`əmɨt`o
ሴቶች	sˈetot͡ʃ
አሸንፎ	ʔˈaʃənɨfo
በሰፊው	bˈəsəfiw
አገሩ	ʔˈaɡəru
ስማቸውን	sˈɨmat͡ʃəwɨn
ሙሉ	mˈulu
ትንታኔ	tˈɨnɨtane
እንዳገኘ	ʔˈɨnɨdaɡəɲə
አይቶ	ʔˈajɨto
ኢየሱስን	ʔˈijəsusɨn
ማርቲን	mˈarɨtin
የወሎ	jˈəwəlo
በማሪ	bˈəmari
መጣ	mˈət`a
እርዳታ	ʔˈɨrɨdata
እርሱም	ʔˈɨrɨsum
የአምክንዮ	jˈəʔamɨkɨnɨjo
ባቢሎንን	bˈaβilonɨn
ምትክ	mˈɨtɨk
ገበሬ	ɡˈəβəre
ምዕራፍ	mˈɨʔɨraf
ከሱ	kˈəsu
ከሚገኙት	kˈəmiɡəɲut
ጅረት	d͡ʒˈɨrət
ሳር	sˈar
የተባበሩት	jˈətəβaβərut
አይደለም	ʔˈajɨdələm
ቀለሞችን	k`ˈələmot͡ʃɨn
ማንም	mˈanɨm
ፋንታ	fˈanɨta
ይታያል	jˈɨtajal
ጋር	ɡˈar
ጫካ	t͡ʃ`ˈaka
ወቅት	wˈək`ɨt
ዕድል	ʔˈɨdɨl
አማኞች	ʔˈamaɲot͡ʃ
ዘፈኖች	zˈəfənot͡ʃ
የአሜሪካ	jˈəʔamerika
ጋዜጠኝነት	ɡˈazet`əɲɨnət
ጣዖት	t`ˈaʔot
በነበረበት	bˈənəβərəβət
ወጣ	wˈət`a
እነርሱም	ʔˈɨnərɨsum
አምላክ	ʔˈamɨlak
የልጅ	jˈəlɨd͡ʒ
ለዘመኑ	lˈəzəmənu
ብርሃን	bˈɨrɨhan
፪ኛው	ɲˈaw
በቀስ	bˈək`əs
አረፍተ	ʔˈarəfɨtə
ድርጊቶች	dˈɨrɨɡitot͡ʃ
አመጽ	ʔˈaməts
አንዲት	ʔˈanɨdit
የአባይ	jˈəʔaβaj
ከግሪኩ	kˈəɡɨriku
ነግሦ	nˈəɡɨso
ቀለም	k`ˈələm
ዘመናዊው	zˈəmənawiw
ከእስር	kˈəʔɨsɨr
ጼዴቅ	tsˈedek`
የእግር	jˈəʔɨɡɨr
በጥይት	bˈət`ɨjɨt
ሳይሆን	sˈajɨhon
የሚያስተምር	jˈəmijasɨtəmɨr
በዓማርኛ	bˈəʔamarɨɲa
አንቺ	ʔˈanɨt͡ʃi
መታወቂያ	mˈətawək`ija
ኢብን	ʔˈiβɨn
ቅርሶች	k`ˈɨrɨsot͡ʃ
ይመልከቱ	jˈɨməlɨkətu
ባላቸው	bˈalat͡ʃəw
በቋሚ	bˈək`wami
በስራ	bˈəsɨra
ጀርባ	d͡ʒˈərɨβa
በጥንቱ	bˈət`ɨnɨtu
አለ	ʔˈalə
የሌላ	jˈəlela
ታዋቂ	tˈawak`i
የተለመደ	jˈətələmədə
የሚሰራው	jˈəmisəraw
ቃላት	k`ˈalat
በዚያን	bˈəzijan
ፕሮጀክት	pˈɨrod͡ʒəkɨt
ከኢትዮጵያ	kˈəʔitɨjop`ɨja
በስሙ	bˈəsɨmu
ኢየሩሳሌም	ʔˈijərusalem
በኃላ	bˈəhala
ቱትሞስ	tˈutɨmos
ለሌላ	lˈəlela
ቁራጭ	k`ˈurat͡ʃ`
አለቃም	ʔˈalək`am
በአራት	bˈəʔarat
አደጋ	ʔˈadəɡa
ጥቃቅን	t`ˈɨk`ak`ɨn
ባሁኑ	bˈahunu
ልዩነት	lˈɨjunət
ከዚያው	kˈəzijaw
እንዲያገኙ	ʔˈɨnɨdijaɡəɲu
ጥገኛ	t`ˈɨɡəɲa
እንደሆነች	ʔˈɨnɨdəhonət͡ʃ
ስብሰባ	sˈɨβɨsəβa
ጥርስ	t`ˈɨrɨs
የሚገኝበት	jˈəmiɡəɲɨβət
ባህላዊ	bˈahɨlawi
እያሉ	ʔˈɨjalu
በቶሎ	bˈətolo
ቁልፍ	k`ˈulɨf
በዛ	bˈəza
መዝሙር	mˈəzɨmur
ሰራሽ	sˈəraʃ
ጽንሰ	tsˈɨnɨsə
ተቃዋሚ	tˈək`awami
ጠንቅ	t`ˈənɨk`
ጦርነቶች	t`ˈorɨnətot͡ʃ
ገበያ	ɡˈəβəja
ወኪል	wˈəkil
ሪፑብሊክ	rˈipuβɨlik
ከመቶ	kˈəməto
ወደፊት	wˈədəfit
ምስሎች	mˈɨsɨlot͡ʃ
ለዓለም	lˈəʔaləm
ሃይሉ	hˈajɨlu
መኖር	mˈənor
ለማግኘት	lˈəmaɡɨɲət
ንጉሰ	nˈɨɡusə
እንዳልሆነ	ʔˈɨnɨdalɨhonə
የእግዚአብሔር	jˈəʔɨɡɨziʔaβɨher
የራሳቸውን	jˈərasat͡ʃəwɨn
ክብረ	kˈɨβɨrə
መምህሮች	mˈəmɨhɨrot͡ʃ
የተወለዱ	jˈətəwələdu
በቁርአን	bˈək`urɨʔan
ተጠቃሚ	tˈət`ək`ami
ከሩቅ	kˈəruk`
በቀላሉ	bˈək`əlalu
ቀለሞች	k`ˈələmot͡ʃ
ቀረጥ	k`ˈərət`
በመካከለኛ	bˈəməkakələɲa
ህይወት	hˈɨjɨwət
ኢየሱስም	ʔˈijəsusɨm
መጽሐፉ	mˈətsɨhafu
ፖለቲካ	pˈolətika
ተማሪዎችን	tˈəmariwot͡ʃɨn
ለመጥቀስ	lˈəmət`ɨk`əs
አበባ	ʔˈaβəβa
የሕዝብ	jˈəhɨzɨb
በመቀየር	bˈəmək`əjər
ሄደው	hˈedəw
ከሌላ	kˈəlela
ቁጥሩም	k`ˈut`ɨrum
ጽላቶች	tsˈɨlatot͡ʃ
መናገር	mˈənaɡər
ማግኘት	mˈaɡɨɲət
ኃይሉ	hˈajɨlu
በሳይንሳዊ	bˈəsajɨnɨsawi
ስብስብ	sˈɨβɨsɨb
ሃይል	hˈajɨl
ማረጋገጫ	mˈarəɡaɡət͡ʃ`a
ዘኢትዮጵያ	zˈəʔitɨjop`ɨja
ምርቶች	mˈɨrɨtot͡ʃ
ማዕዘን	mˈaʔɨzən
የሰራው	jˈəsəraw
ትርፍ	tˈɨrɨf
አመለካከት	ʔˈamələkakət
ሃያ	hˈaja
ማህበረሰቦች	mˈahɨβərəsəβot͡ʃ
ወጣቶች	wˈət`atot͡ʃ
ሀይሮግሊፍ	hˈajɨroɡɨlif
ይዘቱ	jˈɨzətu
በህይወት	bˈəhɨjɨwət
የምትገኝ	jˈəmɨtɨɡəɲ
ዘመናዊ	zˈəmənawi
ዮሴፍ	jˈosef
