portbagaj	portbaɡaʒ
furtunos	furtunos
hârșoveancă	hɨrʃovĕankə
altimetric	altimetrik
madrepor	madrepor
semantem	semantem
senescență	senestʃentsə
secundant	sekundant
constituie	konstituje
politiza	politiza
semiprodus	semiprodus
împătimat	ɨmpətimat
înghițit	ɨngʲ̩itsit
nimbostratus	nimbostratus
pleistocen	pleistotʃen
turcire	turtʃire
depolariza	depolariza
vizualizare	vizwalizare
debreiere	debrejere
paraclis	paraklis
șanfren	ʃanfren
colibelor	kolibelor
prelingere	prelindʒere
bibliografie	biblioɡrafije
muselin	muselin
cuptorar	kuptorar
liberatoriu	liberatorju
șalgău	ʃalɡəw
albina	albina
trofopatie	trofopatije
cosmocrație	kosmokratsije
vang	vanɡ
paznicii	paznitʃij
cheie	kʲ̩eje
onorare	onorare
sângerează	sɨnd͡ʒerjazə
distrug	distruɡ
mortezare	mortezare
protestant	protestant
motocositoare	motokositŏare
nesecat	nesekat
obținem	optsinem
jugănaș	ʒuɡənaʃ
apoteozat	apoteozat
gara	ɡara
pitrocire	pitrotʃire
azbociment	azbotʃiment
gesticula	dʒestikula
fidea	fidĕa
electrotermie	elektrotermije
suprapopula	suprapopula
ivire	ivire
isprăvnicel	isprəvnitʃel
ocnaș	oknaʃ
junelaș	ʒunelaʃ
malefic	malefik
păgubit	pəɡubit
vâlvătaie	vɨlvətaje
incitativ	intʃitativ
arierplan	arijerplan
masculinitate	maskulinitate
flotilă	flotilə
ștefănuț	ʃtefənuts
expresia	ekspresija
democrație	demokratsije
zețar	zetsar
multicelular	multitʃelular
operat	operat
reperele	reperele
sulfuros	sulfuros
aer	ajer
caligrafiere	kaliɡrafijere
deșt	deʃt
samizdat	samizdat
alegăduit	aleɡəduit
chinuie	kʲ̩inuje
colhoz	kolhoz
midriatic	midriatik
martir	martir
globală	ɡlobalə
telenovelă	telenovelə
locuințele	lokuintsele
ventilat	ventilat
înspuma	ɨnspuma
strențuros	strentsuros
răzuială	rəzujalə
sovârvariță	sovɨrvaritsə
vulnerabili	vulnerabilʲ
îndolia	ɨndolija
sadină	sadinə
marginalizat	mardʒinalizat
izoclină	izoklinə
reflux	refluks
tricolorilor	trikolorilor
interatracție	interatraktsije
helvetic	helvetik
majuscul	maʒuskul
pericardită	perikarditə
lacrimal	lakrimal
nemobilată	nemobilatə
tămânjit	təmɨnʒit
inovații	inovatsij
umanitarist	umanitarist
șteț	ʃtets
suculent	sukulent
nitrurat	nitrurat
menit	menit
termică	termikə
paradiziac	paradizijak
aparținere	apartsinere
sormait	sormait
pățenie	pətsenie
tuliu	tulju
paracistită	paratʃistitə
brutală	brutalə
iacobin	jakobin
criptocomunist	kriptokomunist
scotch	sko̩tʃʲ
isop	isop
debușa	debuʃa
încordător	ɨnkordətor
ticnă	tiknə
dezvergat	dezverɡat
hipofiză	hipofizə
astronomie	astronomije
făcu	fəku
investigator	investiɡator
argintuit	ardʒintuit
degluțiune	deɡlutsiune
idiomorf	idiomorf
metaloceramică	metalotʃeramikə
lintiță	lintitsə
înfrățit	ɨnfrətsit
efluviu	efluvju
veronal	veronal
radiojurnal	radioʒurnal
ghiozdan	gʲ̩̩ozdan
nisipiște	nisipiʃte
șofaj	ʃofaʒ
implorare	implorare
ruletă	ruletə
mustărie	mustərije
guzgan	ɡuzɡan
pomelnic	pomelnik
antiretroviral	antiretroviral
coluviu	koluvju
balador	balador
fabian	fabian
secentism	setʃentism
oologic	oolodʒik
arnăuțel	arnəutsel
apocopat	apokopat
pricire	pritʃire
mânzat	mɨnzat
chilifer	kʲ̩ilifer
aromatic	aromatik
ghemuit	gʲ̩emuit
recomanda	rekomanda
nabederniță	nabedernitsə
turtire	turtire
osc	osk
siliciere	silitʃijere
dietetic	dijetetik
ecluzist	ekluzist
efectua	efektuwa
place	platʃe
botoșani	botoʃanʲ
vițiu	vitsju
matriculat	matrikulat
misie	misie
nitroderivat	nitroderivat
mărgărităraș	mərɡəritəraʃ
voluntarist	voluntarist
încâinire	ɨnkɨjnire
dezvălătucit	dezvələtutʃit
șipcă	ʃipkə
plastron	plastron
minimalizat	minimalizat
cordită	korditə
agranulocitoză	aɡranulotʃitozə
trihotomie	trihotomije
categorii	kateɡorij
desfăcare	desfəkare
testemel	testemel
fumivor	fumivor
interfolia	interfolija
hoduț	hoduts
mâniat	mɨniat
narâmziu	narɨmziw
mândruliță	mɨndrulitsə
spadă	spadə
cincantenar	tʃinkantenar
congolez	konɡolez
semidoct	semidokt
bibliofil	bibliofil
momentos	momentos
bidon	bidon
mascara	maskara
curtoazie	kurtŏazije
corolar	korolar
basma	basma
păsăret	pəsəret
pleșuv	pleʃuv
reâmbărbătat	reɨmbərbətat
năimitor	nəjmitor
coriaceu	korijatʃew
golescu	ɡolesku
otrățel	otrətsel
rostogolit	rostoɡolit
încurca	ɨnkurka
atașabil	ataʃabil
nemilos	nemilos
nefăcut	nefəkut
fripturi	fripturʲ
feric	ferik
segarceavale	seɡartʃ̩avale
barcaz	barkaz
mezencefal	mezentʃefal
motocicletă	mototʃikletə
încunoștința	ɨnkunoʃtintsa
tușeu	tuʃew
conformator	konformator
poporime	poporime
lavabou	lavabow
santonian	santonijan
factor	faktor
muzeu	muzew
vladimirescu	vladimiresku
ebraic	ebraik
siderurgic	siderurdʒik
ni	ni
extern	ekstern
frigere	fridʒere
titirire	titirire
canceriza	kantʃeriza
perimetral	perimetral
vaida	vajda
locaș	lokaʃ
presurizat	presurizat
beoțian	beotsijan
bifurca	bifurka
rumeior	rumejor
amputare	amputare
pomăduit	poməduit
obedient	obedient
fisibilitate	fisibilitate
stercoremie	sterkoremije
espadon	espadon
ambarcațiune	ambarkatsiune
ninja	ninʒa
sfinție	sfintsije
certificat	tʃertifikat
justițiar	ʒustitsiar
citodiagnostic	tʃitodijaɡnostik
monotelit	monotelit
serviabilitate	servijabilitate
nutriment	nutriment
pivotare	pivotare
sefard	sefard
decolmatare	dekolmatare
stuficultură	stufikulturə
birtaș	birtaʃ
amatorism	amatorism
ecosez	ekosez
ciocoaică	tʃ̩okŏajkə
deșirat	deʃirat
binecunoscut	binekunoskut
didahie	didahije
estrogen	estrodʒen
montată	montatə
calomfir	kalomfir
laringoscopic	larinɡoskopik
țiaș	tsjaʃ
putred	putred
umilință	umilintsə
filer	filer
asanator	asanator
gratula	ɡratula
prurit	prurit
băile	bəile
nejust	neʒust
glumește	ɡlumeʃte
pastelist	pastelist
coprofag	koprofaɡ
cobeală	kobĕalə
turban	turban
iască	jaskə
formaseră	formaserə
mândru	mɨndru
măciucat	mətʃ̩ukat
gelificare	dʒelifikare
manganezit	manɡanezit
cardiograf	kardioɡraf
multișor	multiʃor
aptitudinal	aptitudinal
brumăriță	bruməritsə
personificație	personifikatsije
glodit	ɡlodit
strongiloză	strondʒilozə
surlă	surlə
ozalid	ozalid
scumpirile	skumpirile
nucar	nukar
artritic	artritik
tataie	tataje
purtat	purtat
lex	leks
butelie	butelije
ceaiul	tʃ̩ajul
croșetat	kroʃetat
șiștăvi	ʃiʃtəvi
isaicu	isajku
clevetă	klevetə
nepoluant	nepoluwant
acolit	akolit
cromoblastă	kromoblastə
ceapraz	tʃ̩apraz
calomnios	kalomnios
apriorism	apriorism
beliș	beliʃ
ludușean	luduʃĕan
perseverență	perseverentsə
heliometru	heliometru
fudul	fudul
detartrant	detartrant
filmfonograf	filmfonoɡraf
distribuie	distribuje
rămăsei	rəməsej
inoportun	inoportun
simetric	simetrik
semitologie	semitolodʒije
libelare	libelare
tranzitat	tranzitat
dextrogir	dekstrodʒir
ierți	jertsʲ
plămădire	pləmədire
tapițer	tapitser
dizarmonie	dizarmonije
malahit	malahit
portar	portar
behăit	behəit
vecsel	veksel
dugliș	duɡliʃ
oblânc	oblɨnk
oprească	oprĕaskə
sargassum	sarɡassum
scoborâtor	skoborɨtor
facă	fakə
retrocedant	retrotʃedant
uituceală	ujtutʃ̩alə
zdronca	zdronka
hondrănire	hondrənire
bate	bate
accelerator	aktʃelerator
translator	translator
enantem	enantem
hașmaciucă	haʃmatʃ̩ukə
experimentare	eksperimentare
optimă	optimə
domnit	domnit
mutualism	mutuwalism
ofensant	ofensant
drăcește	drətʃeʃte
vrăjmășit	vrəʒməʃit
vinde	vinde
recuperabil	rekuperabil
total	total
cașet	kaʃet
modârlan	modɨrlan
hârțoagă	hɨrtsŏaɡə
negruvodeancă	neɡruvodĕankə
cramponaj	kramponaʒ
honved	honved
renegat	reneɡat
diurnist	diurnist
hilariant	hilarijant
derătecare	derətekare
subcortical	subkortikal
aflase	aflase
rusește	ruseʃte
ingineraș	indʒineraʃ
curare	kurare
valuri	valurʲ
încuviințat	ɨnkuvijintsat
satinare	satinare
prahovean	prahovĕan
orc	ork
item	item
donjuanesc	donʒuwanesk
deferență	deferentsə
forează	forĕazə
adsorbant	adsorbant
oxidoreducere	oksidoredutʃere
suflecat	suflekat
confesiune	konfesiune
mamifer	mamifer
cicatriza	tʃikatriza
contribuire	kontribuire
cinerară	tʃinerarə
zgrăbunțică	zɡrəbuntsikə
caicel	kaitʃel
evenimentelor	evenimentelor
maxijupă	maksiʒupə
osteoflebită	osteoflebitə
aristocratism	aristokratism
materialicește	materialitʃeʃte
fotomicrografic	fotomikroɡrafik
piromanie	piromanije
mirciu	mirtʃ̩w
israelit	israilit
asignat	asiɡnat
musculos	muskulos
rodnicire	rodnitʃire
afaceri	afatʃerʲ
debordare	debordare
preparandie	preparandije
surghiun	surgʲ̩̩un
astâmpărare	astɨmpərare
găinire	ɡəinire
preântâmpinat	preɨntɨmpinat
franjura	franʒura
nărăvire	nərəvire
abazie	abazije
făuriște	fəuriʃte
cloramfenicol	kloramfenikol
esențial	esentsijal
bostană	bostanə
bălsămat	bəlsəmat
seconda	sekonda
revalorizare	revalorizare
huludeț	huludets
diverge	diverdʒe
numulitic	numulitik
grăsime	ɡrəsime
alocare	alokare
atelă	atelə
epigastralgie	epiɡastraldʒije
nat	nat
configurație	konfiɡuratsije
glaciologie	ɡlatʃiolodʒije
melanezian	melanezijan
acră	akrə
împăiejena	ɨmpəjeʒena
imsys	imsis
extensograf	ekstensoɡraf
gherdap	gʲ̩erdap
mercantil	merkantil
balastieră	balastijerə
papistășire	papistəʃire
gabaritic	ɡabaritik
înconjurare	ɨnkonʒurare
seria	serija
atmosferă	atmosferə
negativa	neɡativa
deteriorare	deteriorare
damigeană	damidʒ̩anə
scălămbăia	skələmbəja
predeal	predĕal
opțiunii	optsiunij
intuit	intuit
runc	runk
stabilivolt	stabilivolt
pofteală	poftĕalə
blocat	blokat
vadră	vadrə
alimba	alimba
breslaș	breslaʃ
ininteligență	inintelidʒentsə
prizon	prizon
ciupit	tʃ̩upit
drăucean	drəutʃ̩an
ciopârțeală	tʃ̩opɨrtsĕalə
drosera	drosera
zgripsoraș	zɡripsoraʃ
machetat	makʲ̩etat
sensibilitate	sensibilitate
oxigenare	oksidʒenare
trico	triko
tehnicist	tehnitʃist
categorică	kateɡorikə
corticoid	kortikoid
antiglonț	antiɡlonts
topică	topikə
sinarhie	sinarhije
coparticipare	kopartitʃipare
potârniche	potɨrnikʲ̩e
doric	dorik
primito	primito
metanephros	metanef̩ros
bataj	bataʒ
anorhidie	anorhidije
flacără	flakərə
gestiona	dʒestiona
oardă	ŏardə
neomalthusian	neomalt̩usijan
rezoluțiune	rezolutsiune
valeriu	valerju
daruri	darurʲ
răcănel	rəkənel
perioade	periŏade
prooroc	proorok
revărsa	revərsa
increment	inkrement
zei	zej
paieric	pajerik
ciondănire	tʃ̩ondənire
contesă	kontesə
deifica	deifika
canotor	kanotor
abordat	abordat
grijanie	ɡriʒanije
stat	stat
lipurie	lipurije
haide	hajde
fărmare	fərmare
tractat	traktat
sătesc	sətesk
eminescolog	emineskoloɡ
scadent	skadent
concentra	kontʃentra
mușiroit	muʃiroit
cobor	kobor
mancando	mankando
extins	ekstins
individ	individ
columbit	kolumbit
spoliație	spolijatsije
antroponim	antroponim
drumeag	drumĕaɡ
extensor	ekstensor
titularul	titularul
considerațiune	konsideratsiune
aceea	atʃeja
enarmonic	enarmonik
prădat	prədat
desincronizat	desinkronizat
găitănit	ɡəitənit
expiator	ekspijator
traula	traula
cirocumulus	tʃirokumulus
renova	renova
ortogonal	ortoɡonal
pretabil	pretabil
trimiso	trimiso
membrii	membrij
șoltuz	ʃoltuz
așazisele	aʃazisele
opalin	opalin
oportunism	oportunism
vânturos	vɨnturos
curios	kurios
obtuziune	obtuziune
scândurea	skɨndurĕa
sprintare	sprintare
rotacizare	rotatʃizare
păcat	pəkat
înfrânare	ɨnfrɨnare
înnămolire	ɨnnəmolire
defecație	defekatsije
defavoriza	defavoriza
flogopit	floɡopit
cabină	kabinə
dincolo	dinkolo
grad	ɡrad
sonetist	sonetist
fragmentat	fraɡmentat
îndocat	ɨndokat
tremuram	tremuram
operația	operatsija
peștișor	peʃtiʃor
gheomotoc	gʲ̩eomotok
fitotron	fitotron
parapanghelos	parapangʲ̩elos
orgie	ordʒije
protamină	protaminə
scânduri	skɨndurʲ
nealcoolic	nealkoolik
municipaliza	munitʃipaliza
țevuire	tsevuire
scrotalului	skrotaluluj
bichirit	bikʲ̩irit
scorțișoriu	skortsiʃoriw
exponențial	eksponentsijal
episod	episod
insulta	insulta
banditism	banditism
dumnezeire	dumnezeire
gheișă	gʲ̩eiʃə
pardos	pardos
înghemuire	ɨngʲ̩emuire
ampenaj	ampenaʒ
orbicular	orbikular
moștenit	moʃtenit
berești	bereʃtʲ
culme	kulme
marmotă	marmotə
glandulă	ɡlandulə
localizat	lokalizat
decocție	dekoktsije
polenizat	polenizat
laminație	laminatsije
criminologie	kriminolodʒije
incastelură	inkastelurə
șperțuire	ʃpertsuire
pirofob	pirofob
sambă	sambə
randomizare	randomizare
cosmic	kosmik
bâța	bɨtsa
paneraș	paneraʃ
ginerică	dʒinerikə
talus	talus
supraetajare	supraetaʒare
ziduri	zidurʲ
activ	aktiv
parnasie	parnasije
biunivoc	biunivok
comportamentist	komportamentist
insinuat	insinuwat
habitudine	habitudine
tragem	tradʒem
cuvânta	kuvɨnta
efeminat	efeminat
descriptivism	deskriptivism
fluorină	fluorinə
iezuit	jezuit
aluminotermie	aluminotermije
stoborî	stoborɨ
lavoar	lavŏar
coperta	koperta
articulatoriu	artikulatorju
goangă	ɡŏanɡə
împrumut	ɨmprumut
valiu	valiw
pasivizare	pasivizare
bolânzit	bolɨnzit
jărire	ʒərire
vechime	vekʲ̩ime
țuțuiere	tsutsujere
covrigar	kovriɡar
haploidie	haploidije
desuetudine	desuetudine
lacrimi	lakrimʲ
despotmolire	despotmolire
samovar	samovar
contrapoziție	kontrapozitsije
progresie	proɡresije
verminoză	verminozə
fugozitate	fuɡozitate
geruleț	dʒerulets
prevalență	prevalentsə
tribună	tribunə
refacție	refaktsije
lăcomie	ləkomije
oștinesc	oʃtinesk
precalcula	prekalkula
vestit	vestit
obstruat	obstruwat
râșcănean	rɨʃkənĕan
oțelul	otselul
brevetare	brevetare
venezuelean	venezuelĕan
abnega	abneɡa
anticreză	antikrezə
bușumare	buʃumare
siei	sijej
praz	praz
crispat	krispat
infantil	infantil
reânșuruba	reɨnʃuruba
murdar	murdar
somieră	somijerə
instalator	instalator
întruloca	ɨntruloka
dinamitieră	dinamitijerə
retinită	retinitə
lingușire	linɡuʃire
nereidă	nereidə
citopoieză	tʃitopojezə
florea	florĕa
bimotor	bimotor
bălmăjit	bəlməʒit
întreținem	ɨntretsinem
liberian	liberian
pietin	pijetin
găoace	ɡəŏatʃe
acidifica	atʃidifika
conclusum	konklusum
căruntețe	kəruntetse
catehizare	katehizare
grill	ɡril̩
imputrescibil	imputrestʃibil
adâncime	adɨntʃime
ostree	ostree
pârpăleală	pɨrpəlĕalə
alergând	alerɡɨnd
paleoarheologic	paleoarheolodʒik
secretarul	sekretarul
clivare	klivare
mutator	mutator
unitară	unitarə
spelcă	spelkə
veselie	veselije
constantiniu	konstantiniu
sanitară	sanitarə
alaman	alaman
poluant	poluwant
excizare	ekstʃizare
mutație	mutatsije
arhiducesă	arhidutʃesə
ceapist	tʃ̩apist
chepeneag	kʲ̩epenĕaɡ
încastra	ɨnkastra
fânul	fɨnul
brumărea	brumərĕa
avă	avə
sulemenit	sulemenit
bronhial	bronhial
boglar	boɡlar
descrețit	deskretsit
hexastil	heksastil
sediul	sedjul
coinculpat	koinkulpat
năbușire	nəbuʃire
prospectiv	prospektiv
pacific	patʃifik
corespunda	korespunda
sforăială	sforəjalə
răspândeau	rəspɨndĕaw
calofilie	kalofilije
digerat	didʒerat
măscuit	məskuit
tiroidian	tiroidijan
pătran	pətran
magnetometrie	maɡnetometrije
sinceri	sintʃerʲ
îngâna	ɨnɡɨna
diapir	diapir
preciroză	pretʃirozə
recolta	rekolta
depinzi	depinzʲ
opresie	opresije
pântecare	pɨntekare
crâcnire	krɨknire
gastronomic	ɡastronomik
campanie	kampanije
serviciu	servitʃ̩u
buglă	buɡlə
miresme	miresme
împrietinire	ɨmprijetinire
împâslit	ɨmpɨslit
înnisipa	ɨnnisipa
xeroxare	kseroksare
șicana	ʃikana
omoplat	omoplat
ataraxie	ataraksije
refecat	refekat
încântată	ɨnkɨntatə
neabordabil	neabordabil
expediere	ekspedijere
târnăcop	tɨrnəkop
glorifica	ɡlorifika
înfiripa	ɨnfiripa
psihologizant	psiholodʒizant
ciorsăire	tʃ̩orsəire
promisiuni	promisiunʲ
informat	informat
gingie	dʒindʒije
suduit	suduit
prinsoare	prinsŏare
reclădit	reklədit
radial	radijal
aflat	aflat
anartrie	anartrije
defloculat	deflokulat
reflexolog	refleksoloɡ
balanga	balanɡa
dinamizat	dinamizat
piruire	piruire
repetitor	repetitor
clasificat	klasifikat
mircia	mirtʃ̩a
ocitocină	otʃitotʃinə
etanșeiza	etanʃeiza
instaura	instaura
străpungător	strəpunɡətor
declanșator	deklanʃator
rovină	rovinə
stetografiere	stetoɡrafijere
îngăduia	ɨnɡəduja
scăpărător	skəpərətor
moșnegește	moʃnedʒeʃte
scurtătură	skurtəturə
liță	litsə
jigărit	ʒiɡərit
puțire	putsire
proorocesc	proorotʃesk
sustragere	sustradʒere
insondabilitate	insondabilitate
fisionat	fisionat
reprezentație	reprezentatsije
balansoar	balansŏar
icneală	iknĕalə
sumănel	sumənel
grangur	ɡranɡur
praf	praf
mandatat	mandatat
pămânzalcă	pəmɨnzalkə
adormire	adormire
nubilitate	nubilitate
secvestru	sekvestru
amănuntul	amənuntul
încolăcire	ɨnkolətʃire
magnetochimie	maɡnetokʲ̩imije
bacara	bakara
feudaliza	feudaliza
heretisit	heretisit
europenizat	europenizat
ije	iʒe
reasocia	reasotʃia
panica	panika
diluvian	diluvijan
emanaționism	emanatsionism
nemți	nemtsi
caretă	karetə
odaie	odaje
plasmodie	plasmodije
vizualiza	vizwaliza
măsoară	məsŏarə
religie	relidʒije
animalul	animalul
zagarea	zaɡarĕa
rezinare	rezinare
îndrugat	ɨndruɡat
curatelă	kuratelə
băiatul	bəjatul
jandarm	ʒandarm
osmanliu	osmanliw
hipurit	hipurit
adăpare	adəpare
flegmatic	fleɡmatik
bordelez	bordelez
pentaclorură	pentaklorurə
tolbaș	tolbaʃ
gută	ɡutə
deshidratant	deshidratant
garaj	ɡaraʒ
nictaginacee	niktadʒinatʃee
transporte	transporte
extumescență	ekstumestʃentsə
tivire	tivire
sacerdoțiu	satʃerdotsju
zvăpăia	zvəpəja
degenerat	dedʒenerat
șamotor	ʃamotor
hipertriton	hipertriton
nitrobenzen	nitrobenzen
jalonat	ʒalonat
ambiguitate	ambiɡuitate
flit	flit
juruință	ʒuruintsə
rabană	rabanə
enormitate	enormitate
zagara	zaɡara
pontat	pontat
hexavalent	heksavalent
danezi	danezʲ
holbură	holburə
cometă	kometə
ghips	gʲ̩ips
arhipăstor	arhipəstor
gera	dʒera
milivolt	milivolt
fixing	fiksinɡ
reuniunile	reuniunile
țurlău	tsurləw
dunetă	dunetə
vișin	viʃin
tiliaceu	tilijatʃew
geomorfolog	dʒeomorfoloɡ
cauzativă	kauzativə
tactică	taktikə
urobilină	urobilinə
dumitale	dumitale
complexifica	kompleksifika
indemn	indemn
harnic	harnik
prapor	prapor
securist	sekurist
stricățel	strikətsel
psihofiziologic	psihofizjolodʒik
capitona	kapitona
încâlceală	ɨnkɨltʃ̩alə
trilobat	trilobat
roboteală	robotĕalə
cămăruță	kəmərutsə
așezai	aʃezaj
