ометяхте	o̝mɛtʲaxt̪ɛ
поопечала	po̝o̝pɛtʃaɫə
грабене	ɡrabɛnɛ
отхапвайки	ot̪xapvəjkʲi
мечтано	mɛtʃt̪ano̝
будено	bud̪ɛno̝
дебна	dɛbnə
създадяла	səzd̪ɐdʲaɫə
доилия	d̪oilijə
танцуванета	t̪ɐnt͡suvənɛt̪ə
произлизахме	pro̝izlizəxmɛ
понапичала	po̝nɐpitʃəɫə
актуален	əktualɛn
привнасяла	privnasʲəɫə
млъкнели	mɫɤknɛli
зовящият	zovʲaʃt̪ijət̪
смазвайки	smazvəjkʲi
замитал	zɐmit̪əɫ
зачетеният	zɐtʃɛt̪ɛnijət̪
обосновахме	o̝bo̝snovaxmɛ
довлечен	d̪ovlɛtʃɛn
подвеждащата	pod̪vɛʒd̪əʃt̪ət̪ə
озадачилия	o̝zəd̪ɐtʃilijə
давал	d̪ɐvaɫ
предупреждавания	prɛd̪o̝prɛʒd̪avənijə
озаглавихме	o̝zəɡɫɐvixmɛ
завличаното	zɐvlitʃəno̝t̪o̝
изметоха	izmɛt̪o̝xə
отчитащи	ot̪tʃit̪əʃt̪i
отхапете	ot̪xapɛt̪ɛ
довелите	d̪ovɛlit̪ɛ
навежданията	nɐvɛʒd̪ənijət̪ə
обричащо	obritʃəʃt̪o̝
заслужаваш	zəsɫoʒavəʃ
плащахте	pɫaʃt̪əxt̪ɛ
изгребат	izɡrɛbɤt̪
довляклата	d̪ovlʲakɫət̪ə
подслушвахме	pot̪sɫuʃvəxmɛ
обезсмъртявалият	o̝bɛsmɐrtʲavəlijət̪
молели	mɔlɛli
обещаха	o̝bɛʃt̪axə
смазали	smazəli
съществуващия	səʃt̪ɛst̪vuvəʃt̪ijə
припичаните	pripitʃənit̪ɛ
обковаване	o̝pkovavənɛ
наизлизалия	nəizlizəlijə
сушилото	soʃiɫo̝t̪o̝
надебеляванетата	nəd̪ɛbɛlʲavənɛt̪ət̪ə
изнасяната	iznasʲənət̪ə
счупете	stʃopɛt̪ɛ
прехапалото	prɛxapəɫo̝t̪o̝
прелъстявахте	prɛɫɐstʲavəxt̪ɛ
убедиш	o̝bɛd̪iʃ
заведоха	zɐvɛd̪o̝xə
зачеван	zɐtʃɛvən
убедял	o̝bɛdʲaɫ
втечнило	ft̪ɛtʃniɫo̝
замитащия	zɐmit̪əʃt̪ijə
съгласяващата	səɡɫɐsʲavəʃt̪ət̪ə
втечняването	ft̪ɛtʃnʲavənɛt̪o̝
заподозрялата	zəpo̝d̪ozrʲaɫət̪ə
повтаряхте	poft̪arʲəxt̪ɛ
наизлизанията	nəizlizənijət̪ə
чуващи	tʃuvəʃt̪i
прелъстяващото	prɛɫɐstʲavəʃt̪o̝t̪o̝
обещайте	o̝bɛʃt̪ajt̪ɛ
погребваме	poɡrɛbvəmɛ
изнесяхме	iznɛsʲaxmɛ
посещаван	po̝sɛʃt̪avən
погребванета	poɡrɛbvənɛt̪ə
забременелите	zəbrɛmɛnɛlit̪ɛ
целуващо	t͡sɛɫuvəʃt̪o̝
плакалият	pɫakəlijət̪
произнесоха	pro̝iznɛso̝xə
уволняван	o̝voɫnʲavən
изревават	izrɛvavət̪
създаден	sɐzd̪ad̪ɛn
намекналото	nɐmɛknəɫo̝t̪o̝
омети	o̝mɛt̪i
нуждах	noʒd̪ax
почваната	pɔtʃvənət̪ə
ползвахте	pɔɫzvəxt̪ɛ
мразилото	mrɐziɫo̝t̪o̝
обкования	o̝pkovanijə
подкладоха	pot̪kɫad̪o̝xə
продавайки	prod̪avəjkʲi
изслушващият	isɫuʃvəʃt̪ijət̪
наоблечем	nəo̝blɛtʃɛm
изгубват	izɡubvət̪
спекло	spɛkɫo̝
повярвахме	povʲarvəxmɛ
изтървалата	ist̪ɐrvaɫət̪ə
гласуващ	ɡɫɐsuvəʃt̪
допрочете	d̪o̝pro̝tʃɛt̪ɛ
закупувахме	zəkopuvəxmɛ
изминело	izminɛɫo̝
сприятелихте	sprijət̪ɛlixt̪ɛ
запалвалия	zɐpaɫvəlijə
потресения	pot̪rɛsɛnijə
сияенията	sijaɛnijət̪ə
заречел	zəɾɛtʃɛɫ
нахапва	nɐxapvə
зареденото	zəɾɛd̪ɛno̝t̪o̝
питалото	pit̪əɫo̝t̪o̝
желаенията	ʒɛɫaɛnijət̪ə
изковаванета	iskovavənɛt̪ə
въоръжи	vəo̝ɾɐʒi
опасвани	opasvəni
запичахме	zɐpitʃəxmɛ
потъващите	pot̪ɤvəʃt̪it̪ɛ
изгризалата	izɡrizəɫət̪ə
озадачих	o̝zəd̪ɐtʃix
обезсмъртях	o̝bɛsmɐrtʲax
припекохте	pripɛko̝xt̪ɛ
удовлетворявалият	o̝d̪o̝vlɛt̪vorʲavəlijət̪
създавайки	sɐzd̪avəjkʲi
назовавате	nəzovavət̪ɛ
словенски	slovɛnskʲi
оцелявахте	o̝t͡sɛlʲavəxt̪ɛ
заболо	zɐbɔɫo̝
попекат	po̝pɛkɤt̪
прегърнах	prɛɡɤrnəx
залязването	zɐlʲazvənɛt̪o̝
забраняващите	zəbrɐnʲavəʃt̪it̪ɛ
пренесеният	prɛnɛsɛnijət̪
допрочитането	d̪o̝protʃit̪ənɛt̪o̝
обучаващо	o̝botʃavəʃt̪o̝
глобените	ɡɫobɛnit̪ɛ
загинела	zɐɡʲinɛɫə
лежела	lɛʒɛɫə
пърдялата	pɐrdʲaɫət̪ə
загинал	zɐɡʲinəɫ
запичанета	zɐpitʃənɛt̪ə
наоблечения	nəoblɛtʃɛnijə
изнеслите	iznɛslit̪ɛ
замете	zɐmɛt̪ɛ
завеждах	zɐvɛʒd̪əx
навличащ	nɐvlitʃəʃt̪
вечерянето	vɛtʃɛrʲənɛt̪o̝
захапващото	zɐxapvəʃt̪o̝t̪o̝
отречел	o̝t̪rɛtʃɛɫ
пестена	pɛst̪ɛnə
измитащо	izmit̪əʃt̪o̝
заспиващата	zɐspivəʃt̪ət̪ə
оцветим	o̝t͡svɛt̪im
пристигнем	prist̪iɡnɛm
погребах	poɡrɛbəx
припадащата	pripad̪əʃt̪ət̪ə
наковете	nəkovɛt̪ɛ
допринасяме	d̪o̝prinasʲəmɛ
разпростира	rəsprost̪iɾə
подпишела	pot̪piʃɛɫə
изслушваше	isɫuʃvəʃɛ
оргазъм	orɡazəm
довлечена	d̪ovlɛtʃɛnə
пращайки	praʃt̪əjkʲi
корилия	korilijə
помогналите	pomɔɡnəlit̪ɛ
продължавайки	pro̝d̪ɐɫʒavəjkʲi
врях	vrʲax
дъвкалият	d̪ɐfkalijət̪
грабила	ɡrabiɫə
забременяло	zəbrɛmɛnʲaɫo̝
поглеждайки	poɡlɛʒd̪əjkʲi
уволнявали	o̝voɫnʲavəli
отчитаме	ot̪tʃit̪əmɛ
предупреждаващ	prɛd̪o̝prɛʒd̪avəʃt̪
събуждащ	sɐbuʒd̪əʃt̪
озаглавявате	o̝zəɡɫɐvʲavət̪ɛ
желали	ʒɛɫali
поотичаща	po̝ot̪itʃəʃt̪ə
сравняваният	srɐvnʲavənijət̪
плати	pɫɐt̪i
подслушан	pot̪sɫuʃən
счупваща	stʃupvəʃt̪ə
забравяне	zɐbravʲənɛ
разплакваха	rɐspɫakvəxə
бушуват	boʃuvət̪
напреднехме	nɐprɛd̪nɛxmɛ
събуден	sɐbud̪ɛn
надявате	nɐdʲavət̪ɛ
разхождането	rɐsxɔʒd̪ənɛt̪o̝
плащалата	pɫɐʃt̪aɫət̪ə
живейте	ʒivɛjt̪ɛ
гризал	ɡrizəɫ
изоравали	izoravəli
извличат	izvlitʃət̪
произтичалата	pro̝ist̪itʃəɫət̪ə
обучено	obutʃɛno̝
абсолютното	apsolʲut̪not̪o
бомбардираната	bombərd̪iɾənət̪ə
пестено	pɛst̪ɛno̝
забравените	zɐbravɛnit̪ɛ
омел	omɛɫ
привнесло	privnɛsɫo̝
купуващият	kopuvəʃt̪ijət̪
донасях	d̪onasʲəx
препрочетен	prɛprotʃɛt̪ɛn
поизметели	po̝izmɛt̪ɛli
цупихме	t͡supixmɛ
посъветвали	po̝sɐvɛt̪vəli
безделничиха	bɛzd̪ɛɫnitʃixə
обковаха	o̝pkovaxə
казах	kazəx
изнудената	iznud̪ɛnət̪ə
запеченото	zɐpɛtʃɛno̝t̪o̝
завирайте	zɐviɾəjt̪ɛ
довличащи	d̪ovlitʃəʃt̪i
заоравано	zəoravəno̝
накълваните	nəkɐɫvanit̪ɛ
наричаме	nɐritʃəmɛ
отварящо	ot̪varʲəʃt̪o̝
заслужено	zɐsɫuʒɛno̝
отвличана	ot̪vlitʃənə
лизал	lizəɫ
зовяща	zovʲaʃt̪ə
господарствуванията	ɡo̝spod̪arst̪vo̝vənijət̪ə
студентстващото	st̪od̪ɛnt̪st̪vəʃt̪o̝t̪o̝
предупреждаванета	prɛd̪o̝prɛʒd̪avənɛt̪ə
траяната	t̪rajənət̪ə
цупилото	t͡sopiɫo̝t̪o̝
млъкванията	mɫɤkvənijət̪ə
пронасяха	pronasʲəxə
слезеш	slɛzɛʃ
подобрената	po̝d̪obrɛnət̪ə
летяха	lɛtʲaxə
отварящият	ot̪varʲəʃt̪ijət̪
заповядалото	zəpovʲad̪əɫo̝t̪o̝
дебненето	d̪ɛbnɛnɛt̪o̝
биене	biɛnɛ
завлече	zəvlɛtʃɛ
надвнасялата	nɐd̪vnasʲəɫət̪ə
изберях	izbɛrʲax
писала	pisəɫə
отмрели	ot̪mrɛli
одобряло	o̝d̪obrʲaɫo̝
вземат	vzɛmət̪
изпяваш	ispʲavəʃ
изпявахте	ispʲavəxt̪ɛ
изпеклото	ispɛkɫo̝t̪o̝
разлюбващо	rɐzlʲubvəʃt̪o̝
срането	sranɛt̪o̝
помагахме	pomaɡəxmɛ
доказванета	d̪okazvənɛt̪ə
обезсмъртяваща	o̝bɛsmɐrtʲavəʃt̪ə
опиращото	opiɾəʃt̪o̝t̪o̝
почетеше	po̝tʃɛt̪ɛʃɛ
извлечена	izvlɛtʃɛnə
влюбваха	vlʲubvəxə
предплащанията	prɛt̪pɫaʃt̪ənijət̪ə
зашитите	zɐʃit̪it̪ɛ
благославяхме	bɫəɡosɫavʲəxmɛ
отечеш	o̝t̪ɛtʃɛʃ
изгребваща	izɡrɛbvəʃt̪ə
изревахме	izrɛvaxmɛ
окрадяхме	o̝krɐdʲaxmɛ
отсъстваме	ot̪sɤst̪vəmɛ
глобявалата	ɡɫobʲavəɫət̪ə
насичащо	nɐsitʃəʃt̪o̝
припичалият	pripitʃəlijət̪
отровност	otrɔvnost
автономният	aft̪onɔmnijət̪
сприятелявали	sprijət̪ɛlʲavəli
одобряванетата	o̝d̪obrʲavənɛt̪ət̪ə
опредеше	o̝prɛd̪ɛʃɛ
акустика	əkustikə
унищожаващия	o̝niʃt̪oʒavəʃt̪ijə
обковали	o̝pkovali
повеждан	povɛʒd̪ən
потреслите	pot̪rɛslit̪ɛ
отмрях	ot̪mrʲax
плашенета	pɫaʃɛnɛt̪ə
молих	mɔlix
изревавал	izrɛvavəɫ
почиталото	potʃit̪əɫo̝t̪o̝
отсечем	o̝t̪sɛtʃɛm
подчертавалия	po̝t̪tʃɛrt̪avəlijə
чупи	tʃupi
питана	pit̪ənə
изметете	izmɛt̪ɛt̪ɛ
потресена	pot̪rɛsɛnə
превъзнеслата	prɛvɐznɛsɫət̪ə
насичащи	nɐsitʃəʃt̪i
ползвана	pɔɫzvənə
убедена	o̝bɛd̪ɛnə
обосновалата	o̝bo̝snovaɫət̪ə
отключва	ot̪klʲutʃvə
падналия	pɐd̪nalijə
завлечах	zəvlɛtʃax
забодеш	zəbod̪ɛʃ
кованета	kovanɛt̪ə
замиращ	zɐmiɾəʃt̪
принудех	prinud̪ɛx
благославяше	bɫəɡosɫavʲəʃɛ
отхапвалите	ot̪xapvəlit̪ɛ
обсъждаш	opsɤʒd̪əʃ
писателствате	pisat̪ɛɫst̪vət̪ɛ
одобряхме	o̝d̪obrʲaxmɛ
простряло	prost̪rʲaɫo̝
пристигнат	prist̪iɡnət̪
потресох	pot̪rɛso̝x
изнудвалото	iznud̪vəɫo̝t̪o̝
нахапвахте	nɐxapvəxt̪ɛ
надебелявах	nəd̪ɛbɛlʲavəx
изнесло	iznɛsɫo̝
раняваното	rɐnʲavəno̝t̪o̝
спряло	sprʲaɫo
довличанията	d̪ovlitʃənijət̪ə
порнографски	pornoɡrafskʲi
подпряната	pot̪prʲanət̪ə
опреденото	oprɛd̪ɛno̝t̪o̝
получила	poɫutʃiɫə
обосновавания	o̝bo̝snovavənijə
запалени	zɐpalɛni
отечахте	o̝t̪ɛtʃaxt̪ɛ
предплащалите	prɛt̪pɫaʃt̪əlit̪ɛ
обезглавена	o̝bɛzɡɫɐvɛnə
писаха	pisaxə
ползвалото	poɫzvaɫo̝t̪o̝
простиращия	prost̪iɾəʃt̪ijə
прелъстим	prɛɫɐst̪im
боядисващи	bo̝jɐd̪isvəʃt̪i
видяло	vidʲaɫo
отмрем	ot̪mrɛm
изпяване	ispʲavənɛ
интересуващия	int̪ɛɾɛsuvəʃt̪ijə
зареждайки	zɐrɛʒd̪əjkʲi
вковяхме	fkovʲaxmɛ
опридали	oprid̪əli
излезеха	izlɛzɛxə
накълвано	nəkɐɫvano̝
привнасялите	privnasʲəlit̪ɛ
прегръщанията	prɛɡrɤʃt̪ənijət̪ə
подслушван	pot̪sɫuʃvən
изслушаха	isɫuʃəxə
унасях	onasʲəx
абдикирахме	abd̪ikʲirəxmɛ
съобщеният	səopʃt̪ɛnijət̪
треслото	t̪rɛsɫo̝t̪o̝
граниченета	ɡrɐnitʃɛnɛt̪ə
опасващата	opasvəʃt̪ət̪ə
убиваше	obivəʃɛ
наковавани	nəkovavəni
заковаваш	zəkovavəʃ
обоснованите	o̝bo̝snovanit̪ɛ
млъква	mɫɤkvə
закусваше	zɐkusvəʃɛ
свирал	sviɾəɫ
преживеех	prɛʒivɛɛx
замирай	zɐmiɾəj
произлезех	pro̝izlɛzɛx
отчитайки	ot̪tʃit̪əjkʲi
произлезел	pro̝izlɛzɛɫ
спиралите	spiɾəlit̪ɛ
господаруващото	ɡo̝spo̝d̪ɐruvəʃt̪o̝t̪o̝
закупувана	zəkopuvənə
посъветвания	po̝sɐvɛt̪vənijə
въвирано	vəviɾəno
напреднат	nɐprɛd̪nət̪
богомолка	boɡomɔɫkə
наплели	nɐplɛli
нагребвалото	nɐɡrɛbvəɫo̝t̪o̝
насмитай	nɐsmit̪əj
сере	sɛrɛ
умряхме	umrʲaxmɛ
учило	utʃiɫo̝
изпасвайте	ispasvəjt̪ɛ
абаците	abat͡sit̪ɛ
отхапано	ot̪xapəno̝
снасял	snasʲəɫ
изнеси	iznɛsi
затекох	zɐt̪ɛko̝x
слуша	sɫuʃə
цупел	t͡supɛɫ
вършеех	vɐrʃɛɛx
пийте	pijt̪ɛ
обличалото	oblitʃəɫo̝t̪o̝
разбереше	rəzbɛrɛʃɛ
продадат	prod̪əd̪ɤt̪
забременяла	zəbrɛmɛnʲaɫə
целувалият	t͡sɛɫovalijət̪
вплитаха	fplit̪əxə
казвали	kazvəli
решаване	rɛʃavənɛ
помиталият	pomit̪əlijət̪
навлечените	nɐvlɛtʃɛnit̪ɛ
нареклите	nɐrɛklit̪ɛ
чули	tʃuli
авансирало	avənsiɾəɫo
пикахме	pikaxmɛ
сияещ	sijaɛʃt̪
ковеше	kovɛʃɛ
разнеслите	rɐznɛslit̪ɛ
лежащо	lɛʒaʃt̪o̝
засякоха	zɐsʲako̝xə
отключената	ot̪klʲutʃɛnət̪ə
замитащите	zɐmit̪əʃt̪it̪ɛ
чупил	tʃopiɫ
гризанетата	ɡrizanɛt̪ət̪ə
вдишания	vd̪iʃənijə
оцветеното	o̝t͡svɛt̪ɛno̝t̪o̝
ковящ	kovʲaʃt̪
абатства	abat̪st̪və
преподавател	prɛpodəvatɛl
предупреждаващият	prɛd̪o̝prɛʒd̪avəʃt̪ijət̪
изнесохте	iznɛso̝xt̪ɛ
преживеете	prɛʒivɛɛt̪ɛ
обучаващи	o̝botʃavəʃt̪i
счупвалия	stʃupvəlijə
загинахте	zɐɡʲinəxt̪ɛ
плачат	pɫatʃət̪
влизалия	vɫizəlijə
протечаха	pro̝t̪ɛtʃaxə
използвах	ispɔɫzvəx
принуждаваше	prinoʒd̪avəʃɛ
взималия	vziməlijə
навлизанията	nɐvlizənijət̪ə
изгризваните	izɡrizvənit̪ɛ
обучела	obutʃɛɫə
окрадената	okrad̪ɛnət̪ə
дебненетата	d̪ɛbnɛnɛt̪ət̪ə
протичащото	prot̪itʃəʃt̪o̝t̪o̝
ухапван	oxapvən
носорозите	nosorɔzitɛ
изревавало	izrɛvavəɫo̝
казалото	kɐzaɫo̝t̪o̝
гордей	ɡord̪ɛj
заоряхте	zəorʲaxt̪ɛ
нагризаните	nəɡrizanit̪ɛ
опреде	oprɛd̪ɛ
анатемосванетата	anət̪ɛmɔsvənɛt̪ət̪ə
пронесен	pronɛsɛn
боло	bɔɫo
заоряхме	zəorʲaxmɛ
легализираше	lɛɡəliziɾəʃɛ
честитя	tʃɛst̪itʲɤ
целунала	t͡sɛɫunəɫə
дотечаха	d̪o̝t̪ɛtʃaxə
пращащ	praʃt̪əʃt̪
произнасялият	pro̝iznasʲəlijət̪
дометат	d̪o̝mɛt̪ɤt̪
паднехте	pad̪nɛxt̪ɛ
изминавани	izminavəni
обесена	obɛsɛnə
гребе	ɡrɛbɛ
изревалата	izrɛvaɫət̪ə
одобрена	o̝d̪obrɛnə
петия	pɛt̪ijə
разплакала	rɐspɫakəɫə
сушите	soʃit̪ɛ
падаща	pad̪əʃt̪ə
обичането	obitʃənɛt̪o̝
донасялото	d̪onasʲəɫo̝t̪o̝
съобщаваме	səopʃt̪avəmɛ
лижещата	liʒɛʃt̪ət̪ə
зачитанетата	zɐtʃit̪ənɛt̪ət̪ə
сеченето	sɛtʃɛnɛt̪o̝
коронясвалото	ko̝ɾonʲasvəɫo̝t̪o̝
понапеченото	po̝nɐpɛtʃɛno̝t̪o̝
шиеха	ʃiɛxə
безделничел	bɛzd̪ɛɫnitʃɛɫ
наемах	nɐɛməx
ушивал	oʃivəɫ
плачи	pɫɐtʃi
спестяване	spɛstʲavənɛ
закупуваме	zəkopuvəmɛ
потушела	po̝t̪oʃɛɫə
кървял	kɐrvʲaɫ
изговарялото	izɡovarʲəɫo̝t̪o̝
изтичало	ist̪itʃəɫo̝
въвеждала	vəvɛʒd̪əɫə
внесеният	vnɛsɛnijət̪
гласувало	ɡɫɐsuvəɫo̝
наплитания	nɐplit̪ənijə
довеждалият	d̪ovɛʒd̪əlijət̪
повтарялото	poft̪arʲəɫo̝t̪o̝
спестих	spɛst̪ix
залязващо	zɐlʲazvəʃt̪o̝
краденета	krad̪ɛnɛt̪ə
въвлякла	vəvlʲakɫə
злоупотребяхме	zɫo̝o̝po̝t̪rɛbʲaxmɛ
побеждавахте	po̝bɛʒd̪avəxt̪ɛ
наследявали	nəslɛdʲavəli
наоблечех	nəo̝blɛtʃɛx
съчетаваща	sətʃɛt̪avəʃt̪ə
тръгваш	t̪rɤɡvəʃ
бодените	bɔd̪ɛnit̪ɛ
насичаща	nɐsitʃəʃt̪ə
отнасяше	ot̪nasʲəʃɛ
попичалите	popitʃəlit̪ɛ
ухапват	oxapvət̪
потушехте	po̝t̪oʃɛxt̪ɛ
мазали	mazəli
напечеше	nəpɛtʃɛʃɛ
отхапвахме	ot̪xapvəxmɛ
допечаха	d̪o̝pɛtʃaxə
съгласилото	səɡɫɐsiɫo̝t̪o̝
озаглавяващия	o̝zəɡɫɐvʲavəʃt̪ijə
охраняванета	o̝xrɐnʲavənɛt̪ə
преживявах	prɛʒivʲavəx
пестим	pɛst̪im
заревавала	zəɾɛvavəɫə
целунали	t͡sɛɫunəli
замирах	zɐmiɾəx
срещаните	srɛʃt̪ənit̪ɛ
заслужен	zɐsɫuʒɛn
гребанетата	ɡrɛbənɛt̪ət̪ə
погребано	poɡrɛbəno̝
премряхте	prɛmrʲaxt̪ɛ
ухапело	oxapɛɫo̝
понапичалата	po̝nɐpitʃəɫət̪ə
писали	pisali
построилите	po̝st̪roilit̪ɛ
привнасяйте	privnasʲəjt̪ɛ
аборигенският	aboɾiɡɛnskʲijət̪
седнала	sɛd̪naɫə
астроложка	əstrolɔʃkə
втечняваше	ft̪ɛtʃnʲavəʃɛ
млъкне	mɫɤknɛ
легнеш	lɛɡnɛʃ
анатемосван	anət̪ɛmɔsvən
предсказалия	prɛt̪skazəlijə
пратихте	prat̪ixt̪ɛ
влюбехте	vlʲubɛxt̪ɛ
изплелото	isplɛɫo̝t̪o̝
наводняващ	nəvod̪nʲavəʃt̪
чуващата	tʃuvəʃt̪ət̪ə
унищожената	o̝niʃt̪oʒɛnət̪ə
говореше	ɡovɔɾɛʃɛ
обича	o̝bitʃa
захапят	zɐxapʲət̪
сравнявахте	srɐvnʲavəxt̪ɛ
подвеждалото	pod̪vɛʒd̪əɫo̝t̪o̝
изпяващо	ispʲavəʃt̪o̝
пренасяният	prɛnasʲənijət̪
наизлизащия	nəizlizəʃt̪ijə
изпекоха	ispɛko̝xə
взетия	vzɛt̪ijə
съчетай	sətʃɛt̪aj
закупувайте	zəkopuvəjt̪ɛ
затрисало	zɐt̪risəɫo̝
занасяло	zɐnasʲəɫo̝
наоблеченият	nəoblɛtʃɛnijət̪
замитани	zɐmit̪əni
раняващото	rɐnʲavəʃt̪o̝t̪o̝
отворено	ot̪vɔɾɛno̝
възпроизвеждала	vəspro̝izvɛʒd̪əɫə
сечащото	sɛtʃaʃt̪o̝t̪o̝
подслушаното	pot̪sɫuʃəno̝t̪o̝
виждахме	viʒd̪axmɛ
изораващия	izoravəʃt̪ijə
прелъстяха	prɛɫɐstʲaxə
снеслите	snɛslit̪ɛ
унищожи	o̝niʃt̪oʒi
платилата	pɫɐt̪iɫət̪ə
довеждащата	d̪ovɛʒd̪əʃt̪ət̪ə
допичаш	d̪opitʃəʃ
изсяклата	issʲakɫət̪ə
обричаме	obritʃəmɛ
назовалото	nəzovaɫo̝t̪o̝
заплашеха	zɐpɫaʃɛxə
повеждалото	povɛʒd̪əɫo̝t̪o̝
взе	vzɛ
ухапвах	oxapvəx
гребана	ɡrɛbənə
завеждат	zɐvɛʒd̪ət̪
понавляза	po̝nɐvlʲazə
зрения	zrɛnijə
отключвана	ot̪klʲutʃvənə
заплетяла	zəplɛtʲaɫə
одобрените	o̝d̪obrɛnit̪ɛ
изпиех	ispiɛx
ометеш	o̝mɛt̪ɛʃ
абдикиращата	abd̪ikʲirəʃt̪ət̪ə
наводних	nəvod̪nix
изчитаща	istʃit̪əʃt̪ə
озаглавявания	o̝zəɡɫɐvʲavənijə
пърдях	pɐrdʲax
затечах	zət̪ɛtʃax
ухапало	oxapəɫo̝
подпрян	pot̪prʲan
продължения	pro̝d̪ɐɫʒɛnijə
спичането	spitʃənɛt̪o̝
нахапвах	nɐxapvəx
надявахме	nɐdʲavəxmɛ
убеденото	o̝bɛd̪ɛno̝t̪o̝
ръмейки	rɐmɛjkʲi
подписвалите	pot̪pisvəlit̪ɛ
интересува	int̪ɛɾɛsuvə
пронасящи	pronasʲəʃt̪i
лижейки	liʒɛjkʲi
подчертай	po̝t̪tʃɛrt̪aj
отвеждано	ot̪vɛʒd̪əno̝
насмитайте	nɐsmit̪əjt̪ɛ
раняващия	rɐnʲavəʃt̪ijə
наковавали	nəkovavəli
упрекнатия	oprɛknət̪ijə
дометоха	d̪omɛt̪o̝xə
изгубванетата	izɡubvənɛt̪ət̪ə
насича	nɐsitʃə
начитането	nɐtʃit̪ənɛt̪o̝
забранели	zəbrɐnɛli
наковаха	nəkovaxə
повтореният	poft̪ɔɾɛnijət̪
изпридане	isprid̪ənɛ
разпростряла	rəsprost̪rʲaɫə
отеклото	ot̪ɛkɫo̝t̪o̝
парадоксалност	pərədoksalnost
опичащата	opitʃəʃt̪ət̪ə
изпявалият	ispʲavəlijət̪
обяснявалото	o̝bʲɐsnʲavəɫo̝t̪o̝
захапвай	zɐxapvəj
повличаната	povlitʃənət̪ə
сравняват	srɐvnʲavət̪
премряхме	prɛmrʲaxmɛ
заречахме	zəɾɛtʃaxmɛ
запря	zɐprʲa
заповядваме	zəpovʲad̪vəmɛ
нанасящото	nɐnasʲəʃt̪o̝t̪o̝
будилите	bod̪ilit̪ɛ
съчетахте	sətʃɛt̪axt̪ɛ
ближехте	bliʒɛxt̪ɛ
ковящата	kovʲaʃt̪ət̪ə
заоравам	zəoravəm
траян	t̪rajən
причинявалия	pritʃinʲavəlijə
зареваването	zəɾɛvavənɛt̪o̝
