берлегендәге	bˌerleɣendˈæɣe
тамырына	tˌɒmɯrˈɯnɑ
күңелләрдә	kˌyŋellˈærdæ
ябыла	jɑbˈɯɫɑ
якласа	jɑqɫˈɑsɑ
зыян	zˈɯjɑn
яшь	jˈɑʃʔ
битен	bˈiten
вакыйганы	wˌɒqɯjʁˈɑnɯ
резолюциядә	rˌezoɫjˌytsijˈædæ
кайтавазы	qˌɒɪtɑwˈɑzɯ
Табиблар	tɒbˈibɫɑr
канга	qˈɒŋʁɒ
суга	sˈuʁɑ
күрештек	kyrˈeʃtek
Уң	ˈuŋ
шагыйрьләренең	ʃˌɒʁɯjrʔɫærˈeneŋ
демократияне	dˌemoqrˌɑtijˈæne
казакларга	qˌɒzɒqɫˈɑrʁɑ
Алманиядә	ˌɒɫmɒnijˈædæ
белүен	belˈyen
Романиядә	rˌomɑnijˈædæ
аталмаган	ˌɒtɒɫmˈɑʁɑn
теннис	tˈennis
Кремльнең	krˈemlʔneŋ
Мәктәпкә	mæktˈæpkæ
хастаханәләрдә	xˌɒstɒxˌɑnælˈærdæ
экстремизмда	ˌekstremˈizmdɑ
фиркаләре	fˌirqɑɫˈære
иткәндә	itkˈændæ
Зәйдулланың	zˌæɪduɫɫˈɑnɯŋ
булганнары	bˌuɫʁɑnnˈɑrɯ
Тыныч	tˈɯnɯɕ
Кырлай	qɯrɫˈɑɪ
Бабам	bˈɒbɒm
дилбегәсен	dˌilbeɣˈæsen
комитетының	qˌomitetˈɯnɯŋ
Яшәсен	jæʃˈæsen
тәрбиягә	tˌærbijˈæɣæ
Зеландия	zˌeɫɑndˈijæ
чакыру	ɕɒqˈɯru
ачылмаган	ˌɒɕɯɫmˈɑʁɑn
Аланында	ˌɒɫɒnˈɯndɑ
истәлеге	ˌistælˈeɣe
юнәлештә	jˌynælˈeʃtæ
сораштыруда	sˌorɑʃtɯrˈudɑ
Бәйрәмованың	bˌæɪrˌæmowˈɑnɯŋ
Истанбулның	ˌistɑnbˈuɫnɯŋ
Сайлауда	sˌɒɪɫɑˈudɑ
салют	sˈɒɫjut
гаммәви	ʁɒmmˈæwi
миңа	mˈiŋɑ
кушу	qˈuʃu
ширкәтен	ʃirkˈæten
биергә	biˈerɣæ
әйтәсең	ˌæɪtˈæseŋ
әзерләнәчәк	ˌæzerlænˈæɕæk
бизи	bˈizi
гейлар	ɣeˈɪɫɑr
сагында	sɒʁˈɯndɑ
әйтсәң	æˈɪtsæŋ
Киресенчә	kˌiresˈenɕæ
алымнарын	ˌɒɫɯmnˈɑrɯn
депутатларга	dˌeputɑtɫˈɑrʁɑ
каплап	qˈɒpɫɒp
һөҗүмнәрдән	hˌœʑymnˈærdæn
кибеттә	kibˈettæ
авыруны	ˌɑwɯrˈunɯ
Мәҗлес	mˈæʑles
Каталониядә	qˌɒtɒɫˌonijˈædæ
правда	prˈɑwdɑ
итергә	itˈerɣæ
Бизнес	bˈiznes
саклыйлар	sɒqɫˈɯjɫɑr
улымны	uɫˈɯmnɯ
тора	tˈorɑ
булсыннар	buɫsˈɯnnɑr
җитәчәк	ʑitˈæɕæk
алмашынып	ˌɒɫmɒʃˈɯnɯp
итәсең	itˈæseŋ
композиторлар	qˌompozitˈorɫɑr
Балаларга	bˌɒɫɒɫˈɑrʁɑ
китаплар	kitˈɑpɫɑr
кинофестивалендә	kˌinofˌestiwɑɫˈendæ
французча	frɒntsˈuzɕɑ
исәп	ˈisæp
интернетына	ˌinternetˈɯnɑ
альтернатива	ˌɒɫʔternɑtˈiwɑ
дусларын	dusɫˈɑrɯn
мигрантларның	mˌiʁrɑntɫˈɑrnɯŋ
азагына	ˌɒzɒʁˈɯnɑ
маҗарлар	mɒʑˈɒrɫɑr
ахырыннан	ˌɒxɯrˈɯnnɑn
олылар	oɫˈɯɫɑr
белделәр	beldˈelær
күпне	kˈypne
билгеләнә	bˌilɣelˈænæ
Закирова	zˌɒqirˈowɑ
кабызу	qɒbˈɯzu
керешү	kerˈeʃy
тикшерүнең	tˌikʃerˈyneŋ
исерек	isˈerek
Кирмәндә	kirmˈændæ
ватанпәрвәрлек	wˌɒtɒnpærwˈærlek
оешмасының	ˌoeʃmɑsˈɯnɯŋ
Газетның	ʁɒzˈetnɯŋ
күтәрүгә	kˌytærˈyɣæ
Өлкән	ˈœlkæn
Сүземне	syzˈemne
үзебездә	ˌyzebˈezdæ
Нәфисә	næfˈisæ
үтерүне	ˌyterˈyne
төбәгенә	tˌœbæɣˈenæ
сорашты	sorˈɑʃtɯ
эшләнеп	eʃlˈænep
телебезнең	tˌelebˈezneŋ
картиналар	qˌɒrtinˈɑɫɑr
эшкәртә	eʃkˈærtæ
Рифат	rˈifɑt
Евразия	jˌɯwrɑzˈijæ
Чаллының	ɕɒɫɫˈɯnɯŋ
лауреаты	ɫˌɒureˈɑtɯ
эткә	ˈetkæ
икәнлегенә	ˌikænleɣˈenæ
яшьләр	jˈæʃʔlær
Шәймиевне	ʃˌæɪmiˈewne
кию	kˈijy
Ленинның	lenˈinnɯŋ
Русияда	rˌusijˈædɑ
театрны	teˈɑtrnɯ
уздырдык	uzdˈɯrdɯq
кушканча	quʃqˈɑnɕɑ
милләттәшләрнең	mˌillættæʃlˈærneŋ
берәүне	bˌeræˈyne
утырышлары	ˌutɯrɯʃɫˈɑrɯ
өммәтендә	ˌœmmætˈendæ
Поляков	poɫjˈɑqow
атналык	ɒtnˈɒɫɯq
әңгәмәгә	ˌæŋɣæmˈæɣæ
бозылуына	bˌozɯɫuˈɯnɑ
максаттан	mɒqsˈɒttɑn
билгеләргә	bˌilɣelˈærɣæ
дигәнгә	diɣˈæŋɣæ
теләктәшлек	tˌelæktˈæʃlek
ахырында	ˌɒxɯrˈɯndɑ
мәгарифтәге	mˌæʁɑriftˈæɣe
Финляндия	fˌinljændˈijæ
рәистәше	rˌæistˈæʃe
якынлашып	jˌɑqɯnɫˈɑʃɯp
Юрист	jˈyrist
Кыйгы	qˈɯjʁɯ
актив	ˈɒqtiw
мәчетләргә	mˌæɕetlˈærɣæ
корып	qˈorɯp
Астанада	ˌɒstɒnˈɑdɑ
өлгерделәр	ˌœlɣerdˈelær
битләрендә	bˌitlærˈendæ
ышандым	ɯʃˈɑndɯm
сорауларына	sˌorɑˌuɫɑrˈɯnɑ
хупласа	xupɫˈɑsɑ
керәшеннәрнең	kˌeræʃennˈærneŋ
корылтаен	qˌorɯɫtˈɑen
ашлык	ˈɒʃɫɯq
журналистлар	ʒˌurnɑɫˈistɫɑr
унике	unˈike
татарның	tɒtˈɒrnɯŋ
алыр	ˈɒɫɯr
хокукларыбыз	xˌoquqɫɑrˈɯbɯz
Әхмәтшин	æxmˈætʃin
тапшыруының	tˌɒpʃɯruˈɯnɯŋ
Нардуган	nɒrdˈuʁɑn
проекты	proˈeqtɯ
чуалышларда	ɕˌuɑɫɯʃɫˈɑrdɑ
Шотландиянең	ʃˌotɫɑndijˈæneŋ
дөньясы	dœnʔjˈæsɯ
Артист	ˈɒrtist
Бибинур	bibˈinur
толерант	toɫˈerɑnt
Мәчетләр	mæɕˈetlær
мәктәп	mˈæktæp
бәяләрнең	bˌæjælˈærneŋ
чикле	ɕˈikle
затлы	zˈɒtɫɯ
киләме	kilˈæme
финансланган	fˌinɑnsɫˈɑŋʁɑn
алмавына	ˌɒɫmɑwˈɯnɑ
чатырларда	ɕˌɒtɯrɫˈɑrdɑ
шунысы	ʃunˈɯsɯ
ятканны	jɑtqˈɑnnɯ
газеталар	ʁˌɒzetˈɑɫɑr
иминлеккә	ˌiminlˈekkæ
секцияләр	sˌektsijˈælær
Екатеринбург	jˌɯqɑterˈinburʁ
алучыларга	ˌɒɫuɕɯɫˈɑrʁɑ
ширкәтне	ʃirkˈætne
тамгалары	tˌɒmʁɒɫˈɑrɯ
малайның	mˌɒɫɒˈɪnɯŋ
бирүләре	bˌirylˈære
Әсгать	ˈæsʁɑtʔ
катлаулырак	qˌɒtɫɒuɫˈɯrɑq
мизгелләр	mizɣˈellær
бирүе	birˈye
үзем	ˈyzem
үсүе	ysˈye
даирә	dɒˈiræ
төзекләндерелде	tˌœzeklˌænderˈelde
канунга	qɒnˈuŋʁɑ
сәхифә	sæxˈifæ
урысларга	ˌurɯsɫˈɑrʁɑ
ачышы	ɒɕˈɯʃɯ
ханлыгының	xˌɒnɫɯʁˈɯnɯŋ
башкарылуы	bˌɒʃqɒrɯɫˈuɯ
баетылган	bˌɒetˈɯɫʁɑn
туды	tˈudɯ
тудырган	tudˈɯrʁɑn
эшләнде	eʃlˈænde
икенчерәк	ˌikenɕˈeræk
алдыгыз	ɒɫdˈɯʁɯz
асфальт	ˈɒsfɒɫʔt
тамашасы	tˌɒmɒʃˈɑsɯ
Күпмилләтле	kˌypmillˈætle
Ильяс	ˈilʔjæs
Медведевнең	mˌedwedˈewneŋ
китапларның	kˌitɑpɫˈɑrnɯŋ
гөмбәне	ɣœmbˈæne
үтерелү	ˌyterˈely
утырталар	ˌutɯrtˈɑɫɑr
битарафлык	bˌitɑrˈɑfɫɯq
Монголия	mˌoŋʁoɫˈijæ
музыкасын	mˌuzɯqˈɑsɯn
Тыелган	tɯˈeɫʁɑn
казаклары	qˌɒzɒqɫˈɑrɯ
төзәтеп	tœzˈætep
санамый	sɒnˈɒmɯj
халыкларда	xˌɒɫɯqɫˈɑrdɑ
мигрант	mˈiʁrɑnt
тыя	tˈɯjɑ
алсалар	ɒɫsˈɒɫɑr
партнерлар	pɒrtnˈerɫɑr
кодексына	qˌodeqsˈɯnɑ
Каты	qˈɒtɯ
арбалы	ɒrbˈɒɫɯ
баскач	bˈɒsqɒɕ
тота	tˈotɑ
көтелгәнчә	kˌœtelɣˈænɕæ
мәхәлләсе	mˌæxællˈæse
арага	ɒrˈɒʁɑ
Барысы	bɒrˈɯsɯ
бүлмәләрендә	bˌylmælærˈendæ
дагы	dˈɒʁɯ
алмый	ˈɒɫmɯj
үгетләү	ˌyɣetlˈæy
катнашуы	qˌɒtnɒʃˈuɯ
тудырылды	tˌudɯrˈɯɫdɯ
принципларын	prˌintsipɫˈɑrɯn
телибез	telˈibez
артыгын	ɒrtˈɯʁɯn
Осетиянең	ˌosetijˈæneŋ
аягына	ˌɒjɑʁˈɯnɑ
арып	ˈɒrɯp
вокзалы	woqzˈɑɫɯ
экзотик	eqzˈotik
кагылырга	qˌɒʁɯɫˈɯrʁɑ
Хәсән	xˈæsæn
Бату	bˈɒtu
куылу	quˈɯɫu
углы	ˈuʁɫɯ
барсак	bˈɒrsɒq
башкару	bɒʃqˈɒru
чиккә	ɕˈikkæ
Хәбетдинов	xˌæbetdˈinow
алдау	ɒɫdˈɒu
чагылды	ɕɒʁˈɯɫdɯ
алыгыз	ɒɫˈɯʁɯz
авылларда	ˌɑwɯɫɫˈɑrdɑ
чоры	ɕˈorɯ
әхлагы	æxɫˈɑʁɯ
шартлауга	ʃˌɒrtɫɒˈuʁɑ
Ремзи	rˈemzi
куябыз	qujˈɑbɯz
Мәчеткә	mæɕˈetkæ
Айрат	ɒˈɪrɑt
пальма	pˈɒɫʔmɒ
әзерлеге	ˌæzerlˈeɣe
вазифа	wɒzˈifɑ
Җамала	ʑɒmˈɒɫɑ
чаңгы	ɕˈɒŋʁɯ
пьесалар	pʔesˈɑɫɑr
очрашудан	ˌoɕrɑʃˈudɑn
профессор	profˈessor
ачыклык	ɒɕˈɯqɫɯq
очкычларда	ˌoɕqɯɕɫˈɑrdɑ
сугышты	suʁˈɯʃtɯ
сугышучы	sˌuʁɯʃˈuɕɯ
варисы	wɒrˈisɯ
рәвешенә	rˌæweʃˈenæ
үлде	ˈylde
ташын	tˈɒʃɯn
рухландыра	rˌuxɫɑndˈɯrɑ
җитәкченең	ʑˌitækɕˈeneŋ
ямь	jˈɑmʔ
лар	ɫˈɒr
Министрлык	minˈistrɫɯq
радиобызга	rˌɒdiobˈɯzʁɑ
башладык	bɒʃɫˈɒdɯq
колач	qˈoɫɑɕ
Сарай	sɒrˈɒɪ
киләчәктә	kˌilæɕˈæktæ
халык	xˈɒɫɯq
ташы	tˈɒʃɯ
мишәрләр	miʃˈærlær
алтысы	ɒɫtˈɯsɯ
корылтайдан	qˌorɯɫtɑˈɪdɑn
һәйкәлгә	hˌæɪkˈælɣæ
илебезгә	ˌilebˈezɣæ
агрессив	ɒʁrˈessiw
рәнҗетү	rænʑˈety
итүләрен	ˌitylˈæren
әйттек	æˈɪttek
суверенлыгы	sˌuwerenɫˈɯʁɯ
китапларында	kˌitɑpɫɑrˈɯndɑ
исемлегеннән	ˌisemleɣˈennæn
Мадонна	mɒdˈonnɑ
җинаятьтә	ʑˌinɑjˈætʔtæ
белмиләр	belmˈilær
намазларны	nˌɒmɒzɫˈɑrnɯ
дипломат	dipɫˈomɑt
авылга	ɑwˈɯɫʁɑ
үлем	ˈylem
журналистикасының	ʒˌurnɑɫˌistiqɑsˈɯnɯŋ
янымда	jɑnˈɯmdɑ
һәрдаим	hærdˈɑim
хаклык	xˈɒqɫɯq
татарларын	tˌɒtɒrɫˈɑrɯn
берсенең	bersˈeneŋ
премьер	prˈemʔer
Биккинин	bikkˈinin
диярсез	dijˈærsez
булуыбыз	bˌuɫuˈɯbɯz
яңалыкларга	jˌɑŋɑɫɯqɫˈɑrʁɑ
продукт	prˈoduqt
яхшырды	jɑxʃˈɯrdɯ
бармый	bˈɒrmɯj
ялгышмасам	jˌɑɫʁɯʃmˈɑsɑm
утыруын	ˌutɯrˈuɯn
Чайлак	ɕɒˈɪɫɑq
зарланалар	zˌɒrɫɒnˈɑɫɑr
социология	sˌotsiˌoɫoʁˈijæ
озатып	ozˈɑtɯp
таләпләренә	tˌɒɫæplærˈenæ
гыйнвар	ʁˈɯjnwɑr
Мордовия	mˌordowˈijæ
күрсәткәч	kyrsˈætkæɕ
премиясенә	prˌemijæsˈenæ
агымнарга	ˌɒʁɯmnˈɑrʁɑ
җеназасына	ʑˌenɑzɑsˈɯnɑ
Сулдан	sˈuɫdɑn
фатиры	fɒtˈirɯ
солдатларның	sˌoɫdɑtɫˈɑrnɯŋ
җәдвәл	ʑˈædwæl
аударып	ˌɒudˈɑrɯp
сылтавы	sɯɫtˈɑwɯ
Гафу	ʁˈɒfu
астында	ɒstˈɯndɑ
Грециядә	ɣrˌetsijˈædæ
Август	ˈɑwʁust
коммунистларга	qˌommunistɫˈɑrʁɑ
тоткында	totqˈɯndɑ
җиткерәсе	ʑˌitkerˈæse
хатирә	xɒtˈiræ
суверенлыгын	sˌuwerenɫˈɯʁɯn
кыерсыту	qˌɯersˈɯtu
округы	oqrˈuʁɯ
тикшерүдә	tˌikʃerˈydæ
урнаштырдылар	ˌurnɑʃtɯrdˈɯɫɑr
Февраль	fˈewrɑɫʔ
куркынычлар	qˌurqɯnˈɯɕɫɑr
бастыралар	bˌɒstɯrˈɑɫɑr
җырларының	ʑˌɯrɫɑrˈɯnɯŋ
гаетекырымтатарча	ʁˌɒetˌeqɯrˌɯmtɑtˈɑrɕɑ
поезд	pˈoezd
дистәләрчә	dˌistælˈærɕæ
кырысрак	qɯrˈɯsrɑq
танышлары	tˌɒnɯʃɫˈɑrɯ
телевидениесенә	tˌelewˌidenˌiesˈenæ
Петр	pˈetr
Көрд	kˈœrd
Зәйни	zæˈɪni
ясалмый	jɑsˈɑɫmɯj
Анастасий	ˌɒnɒstɑsˈiɪ
батырлык	bɒtˈɯrɫɯq
Билгилдиева	bˌilɣildiˈewɑ
дипломнар	dipɫˈomnɑr
чыгарма	ɕɯʁˈɑrmɑ
җыям	ʑˈɯjɑm
Шәһәргә	ʃæhˈærɣæ
машинасын	mˌɒʃinˈɑsɯn
уранны	urˈɑnnɯ
муллаларга	mˌuɫɫɑɫˈɑrʁɑ
вазгыятьнең	wˌɒzʁɯjˈætʔneŋ
мәктәпләрне	mˌæktæplˈærne
вакыйгаларын	wˌɒqɯjʁɑɫˈɑrɯn
Нәкъ	nˈækʔ
Трамп	trˈɒmp
атом	ˈɒtom
Бәдретдин	bædrˈetdin
тыш	tˈɯʃ
долларның	doɫɫˈɑrnɯŋ
әйтелми	ˌæɪtˈelmi
этәргән	etˈærɣæn
гей	ɣˈeɪ
бүленү	bylˈeny
түләнгән	tylˈæŋɣæn
Берлегендә	bˌerleɣˈendæ
кушылып	quʃˈɯɫɯp
баласының	bˌɒɫɒsˈɯnɯŋ
Гамирҗан	ʁɒmˈirʑɑn
сирәк	sˈiræk
Рот	rˈot
шары	ʃˈɒrɯ
миллиардынчы	mˌilliɑrdˈɯnɕɯ
Рәхмәт	rˈæxmæt
Башкортстандагы	bˌɒʃqortstɑndˈɑʁɯ
һәрвакытта	hˌærwɑqˈɯttɑ
хуҗасы	xuʑˈɑsɯ
ителгәннән	ˌitelɣˈænnæn
Сәйдәшев	sˌæɪdˈæʃew
көчәйтергә	kˌœɕæɪtˈerɣæ
сугыша	suʁˈɯʃɑ
үзләренеке	ˌyzlærenˈeke
минеке	minˈeke
фаҗигасендә	fˌɒʑiʁɑsˈendæ
килүдә	kilˈydæ
Лиза	lˈizɑ
тормыйча	tormˈɯjɕɑ
хакимиятендә	xˌɒqimˌijætˈendæ
дәрте	dˈærte
үземнең	yzˈemneŋ
Пленумда	plenˈumdɑ
матбугатта	mˌɒtbuʁˈɑttɑ
тәэсирендә	tˌæesirˈendæ
ахрысы	ɒxrˈɯsɯ
Дональд	dˈonɑɫʔd
програмнары	prˌoʁrɑmnˈɑrɯ
Камилә	qɒmˈilæ
Бикмуллин	biqmˈuɫɫin
пропагандага	prˌopɑʁɑndˈɑʁɑ
ташларын	tɒʃɫˈɒrɯn
эчүчелек	ˌeɕyɕˈelek
Минһаҗева	mˌinhɑʑˈewɑ
Шагыйрь	ʃˈɒʁɯjrʔ
Волгоград	woɫʁˈoʁrɑd
ришвәтчелек	rˌiʃwætɕˈelek
норматив	normˈɑtiw
барыһы	bɒrˈɯhɯ
элеккедән	ˌelekkˈedæn
Красноярски	qrˌɒsnojˈærski
мөфтият	mœftˈijæt
драматургиясе	drˌɒmɒtˌurʁijˈæse
планның	pɫˈɒnnɯŋ
республикасы	rˌespubɫiqˈɑsɯ
уңында	uŋˈɯndɑ
читләшкән	ɕitlˈæʃkæn
гарәпчә	ʁɒrˈæpɕæ
чыгышлары	ɕˌɯʁɯʃɫˈɑrɯ
нәтиҗәләр	nˌætiʑˈælær
Изместьевка	ˌizmestʔˈewqɑ
бирмичә	birmˈiɕæ
үзебез	yzˈebez
җитәкчелегенең	ʑˌitækɕˌeleɣˈeneŋ
Солтангалиевны	sˌoɫtɑŋʁˌɑɫiˈewnɯ
ителмәгән	ˌitelmˈæɣæn
сугышу	suʁˈɯʃu
маршына	mɒrʃˈɯnɑ
үсәр	ˈysær
үзәккә	yzˈækkæ
Үзләренә	ˌyzlærˈenæ
Казан	qˈɒzɒn
күрсәтелмәгән	kˌyrsætelmˈæɣæn
Икенчесе	ˌikenɕˈese
фетнәне	fetnˈæne
багышлана	bˌɒʁɯʃɫˈɑnɑ
ниятебез	nˌijætˈebez
берне	bˈerne
Римзил	rˈimzil
Газзәдә	ʁɒzzˈædæ
интеллектуаль	ˌintelleqtˈuɑɫʔ
тан	tˈɒn
күпчелегенә	kˌypɕeleɣˈenæ
конгрессына	qˌoŋʁressˈɯnɑ
эшләүчеләрнең	ˌeʃlæˌyɕelˈærneŋ
еракка	jɯrˈɑqqɑ
әгъзалык	æʁʔzˈɑɫɯq
паша	pˈɒʃɒ
Сишәмбедә	sˌiʃæmbˈedæ
пикетны	pikˈetnɯ
чама	ɕˈɒmɒ
Конгрессы	qoŋʁrˈessɯ
таныта	tɒnˈɯtɑ
хәҙер	xˈæðer
салуга	sɒɫˈuʁɑ
кызны	qˈɯznɯ
үзгәртми	yzɣˈærtmi
никахта	niqˈɑxtɑ
җаваплылык	ʑˌɑwɑpɫˈɯɫɯq
администрация	ˌɒdminˌistrɑtsˈijæ
кысрыклап	qɯsrˈɯqɫɑp
сөйләшкәннәр	sˌœɪlæʃkˈænnær
бәйрәмекырымтатарча	bˌæɪrˌæmeqˌɯrɯmtɑtˈɑrɕɑ
максатлардан	mˌɒqsɒtɫˈɑrdɑn
башкалада	bˌɒʃqɒɫˈɑdɑ
Солтанга	soɫtˈɑŋʁɑ
кухняда	quxnjˈɑdɑ
бүлекләр	bylˈeklær
Балаларның	bˌɒɫɒɫˈɑrnɯŋ
такымының	tˌɒqɯmˈɯnɯŋ
армиясендә	ˌɒrmijæsˈendæ
түгелдер	tyɣˈelder
боерык	boˈerɯq
Иҗтимагый	ˌiʑtimˈɑʁɯj
Гатауллина	ʁˌɒtɒuɫɫˈinɑ
диннәрен	dinnˈæren
Монсы	mˈonsɯ
борчу	bˈorɕu
керү	kˈery
кешеләреннән	kˌeʃelærˈennæn
ире	ˈire
юнәлтте	jynˈæltte
фикердән	fikˈerdæn
уйнаганда	ˌuɪnɑʁˈɑndɑ
тиң	tˈiŋ
утырта	utˈɯrtɑ
инициатив	ˌinitsiˈɑtiw
Новая	nowˈɑjɑ
вакыйгаларны	wˌɒqɯjʁɑɫˈɑrnɯ
февраль	fˈewrɑɫʔ
Тантанада	tˌɒntɒnˈɑdɑ
реанимациядә	rˌeɑnˌimɑtsijˈædæ
чакыруы	ɕˌɒqɯrˈuɯ
кайберәүләргә	qˌɒɪbˌeræylˈærɣæ
Роспотребнадзор	rˌospotrebnˈɑdzor
халыкара	xˌɒɫɯqˈɑrɑ
штабы	ʃtˈɒbɯ
Физика	fizˈiqɑ
утрауга	ˌutrɑˈuʁɑ
оештыручысы	ˌoeʃtˌɯruɕˈɯsɯ
алданган	ɒɫdˈɒŋʁɑn
музыкант	muzˈɯqɑnt
экологик	ˌeqoɫˈoʁik
теләсә	telˈæsæ
белмәскә	belmˈæskæ
башларын	bɒʃɫˈɒrɯn
кадәрге	qɒdˈærɣe
Лех	lˈex
Болгардагы	bˌoɫʁɑrdˈɑʁɯ
белемнәре	bˌelemnˈære
Вакытында	wˌɒqɯtˈɯndɑ
сәләфи	sælˈæfi
башлыгын	bɒʃɫˈɯʁɯn
язуда	jɑzˈudɑ
күрсәтүне	kˌyrsætˈyne
тәүлегенә	tˌæyleɣˈenæ
шәһәре	ʃæhˈære
исемлектән	ˌisemlˈektæn
зурлау	zurɫˈɑu
итмим	ˈitmim
белдердек	beldˈerdek
сөйләшербез	sˌœɪlæʃˈerbez
татарларына	tˌɒtɒrɫɑrˈɯnɑ
өлкәләрендә	ˌœlkælærˈendæ
шифалы	ʃifˈɑɫɯ
күләмен	kylˈæmen
яшәгәннәр	jˌæʃæɣˈænnær
оештырганнар	ˌoeʃtɯrʁˈɑnnɑr
санау	sɒnˈɒu
күтәрүчеләр	kˌytæryɕˈelær
шалтыратулар	ʃˌɒɫtɯrɑtˈuɫɑr
бирмәделәр	bˌirmædˈelær
мөхәррирләре	mˌœxærrirlˈære
экспонатлар	ˌeqsponˈɑtɫɑr
дөя	dˈœjæ
юллары	juɫɫˈɑrɯ
соклану	soqɫˈɑnu
үстерүче	ˌysterˈyɕe
Нәтиҗәләр	nˌætiʑˈælær
Илүсә	ilˈysæ
җитмәве	ʑitmˈæwe
мулласы	muɫɫˈɑsɯ
ахырзаман	ˌɒxɯrzˈɑmɑn
инанган	inˈɑŋʁɑn
Ул	ˈuɫ
белсен	bˈelsen
әйберләре	ˌæɪberlˈære
түгелкырымтатарча	tˌyɣeɫqˌɯrɯmtɑtˈɑrɕɑ
чакыруны	ɕˌɒqɯrˈunɯ
җыюга	ʑɯjˈuʁɑ
укуга	uqˈuʁɑ
мисалы	misˈɑɫɯ
ачулы	ɒɕˈuɫɯ
беләсезме	bˌelæsˈezme
Әлбәттә	ælbˈættæ
Рәүф	rˈæyf
Төркиянең	tˌœrkijˈæneŋ
күзне	kˈyzne
аноним	ɒnˈonim
оештырмакчы	ˌoeʃtɯrmˈɑqɕɯ
аппараты	ˌɒppɒrˈɑtɯ
калдырган	qɒɫdˈɯrʁɑn
утырышына	ˌutɯrɯʃˈɯnɑ
режиссер	reʒˈisser
исламнан	isɫˈɑmnɑn
җыелды	ʑɯˈeɫdɯ
хәзерлек	xæzˈerlek
платформасы	pɫˌɒtformˈɑsɯ
абсурд	ˈɒbsurd
Олугъ	ˈoɫuʁʔ
табылыр	tɒbˈɯɫɯr
бүләкне	bylˈækne
ышандыра	ˌɯʃɑndˈɯrɑ
безгә	bˈezɣæ
оешмаларыннан	ˌoeʃmˌɑɫɑrˈɯnnɑn
диненнән	dinˈennæn
күрсә	kˈyrsæ
тыкшыну	tɯqʃˈɯnu
белдерүче	bˌelderˈyɕe
темалар	temˈɑɫɑr
мәзәкләр	mæzˈæklær
Анкара	ɒnqˈɒrɑ
Сарабиккол	sˌɒrɒbˈiqqoɫ
диңгезгә	diŋɣˈezɣæ
чыгучыларны	ɕˌɯʁuɕɯɫˈɑrnɯ
Көнбатышка	kˌœnbɑtˈɯʃqɑ
таралган	tɒrˈɒɫʁɑn
һәр	hˈær
Учредительное	ˌuɕredˌiteɫʔnˈoe
статус	stˈɒtus
Бәхетле	bæxˈetle
атау	ɒtˈɒu
кайтарды	qˌɒɪtˈɑrdɯ
Арсений	ˌɒrsenˈiɪ
