bestridan	bestriːdɑn
ceasterleod	t͡ʃæ͜ɑsterle͜oːd
gewemmednes	jewemmednes
sorhleas	sorxlæ͜ɑːs
hors	xors
ætstandend	ætstɑndend
niþ	niːθ
wylfen	wylfen
weðer	weθer
seofonteoþa	se͜ofonte͜oːθɑ
ciricgeorn	t͡ʃirit͡ʃje͜orn
magon	mɑɣon
ælfsogoþa	ælfsoɡoθɑ
leoþcræft	le͜oːθkræft
sigan	siːɡɑn
plihtan	plixtɑn
bemænan	bemæːnɑn
crabba	krɑbbɑ
swat	swɑːt
neodian	ne͜oːdiɑn
þywan	θyːwɑn
geondlihtan	je͜ondliːxtɑn
cnucel	knukel
hrycgban	xryjjbɑːn
fuglere	fuɡlere
geliger	jelijer
þegnung	θejnunɡ
hwylc	xwylt͡ʃ
liegbære	li͜yːjbæːre
wuldrig	wuldrij
dæges	dæjes
gesittan	jesittɑn
ormæte	ormæːte
guþfruma	ɡuːθfrumɑ
siolufr	si͜ulufr
wæstmlic	wæstmliːt͡ʃ
beladian	belɑːdiɑn
uneaþe	unæ͜ɑːθe
ofsceadan	ofʃɑːdɑn
gestillan	jestillɑn
aniege	ɑːni͜yːje
wrecscipe	wrekʃipe
ætspringan	ætsprinɡɑn
botm	botm
byrne	byrne
rocettan	rot͡ʃettɑn
fisc	fiʃ
hringan	xrinjɑn
wynsum	wynsum
exanceaster	eksɑnt͡ʃæ͜ɑster
bur	buːr
fruma	frumɑ
tannere	tɑnnere
forþgeriman	forθjeriːmɑn
dwealde	dwæ͜ɑlde
greot	ɡre͜oːt
ciricsceatt	t͡ʃirit͡ʃʃæ͜ɑtt
freondlic	fre͜oːndliːt͡ʃ
broþorræden	broːθorræːden
werg	werɡ
earfoþnes	æ͜ɑrfoθnes
nytlic	nytliːt͡ʃ
miþan	miːθɑn
wull	wull
hæling	xæːlinɡ
slifan	sliːfɑn
geondgangan	je͜ondɡɑnɡɑn
tælmearc	tælmæ͜ɑrk
togecorennes	toːjekorennes
batian	bɑtiɑn
troh	trox
ufan	ufɑn
glær	ɡlæːr
andweard	ɑndwæ͜ɑrd
fuht	fuːxt
deorf	de͜orf
su	suː
wimpel	wimpel
wuldorsped	wuldorspeːd
eaþmodnes	æ͜ɑːθmoːdnes
sceaþ	ʃæ͜ɑːθ
meldian	meldiɑn
faran	fɑrɑn
onwegfæreld	onwejfæreld
wæstmbære	wæstmbæːre
dype	dyːpe
wamb	wɑmb
dreamleas	dræ͜ɑːmlæ͜ɑːs
geherian	jexerjɑn
becreopan	bekre͜oːpɑn
wuldormaga	wuldormɑːɡɑ
meolc	me͜olk
soncræft	soːnkræft
heall	xæ͜ɑll
scipe	ʃipe
wuldorlean	wuldorlæ͜ɑːn
solor	solor
feormian	fe͜ormiɑn
stigel	stijel
gespannan	jespɑnnɑn
leoda	le͜oːd
upcuman	upkumɑn
geardagum	jæ͜ɑːrdɑɡum
brucing	bruːkinɡ
æfweard	æfwæ͜ɑrd
soce	soːke
gægn	jæjn
norþman	norθmɑn
reafere	ræ͜ɑːfere
toþ	toːθ
streawberige	stræ͜ɑːwberije
durran	durrɑn
missprecan	missprekɑn
leafnesword	læ͜ɑːfnesword
cnawelæcing	knɑːwelæːt͡ʃinɡ
gifeþe	jifeθe
cymlic	kyːmliːt͡ʃ
ræscettung	ræʃettunɡ
eastre	æ͜ɑːstre
stælan	stæːlɑn
fela	felɑ
pæþes	pæθes
orlæg	orlæj
læring	læːrinɡ
þunresdæg	θunresdæj
misfoþ	misfoːθ
fædera	fæderɑ
æfgrynde	æfɡrynde
folm	folm
wocon	woːkon
miscennung	miskennunɡ
leht	leːxt
foran	forɑn
neawist	næ͜ɑːwist
wunne	wunne
fromcyrran	fromt͡ʃyrrɑn
petrus	petrus
regnboga	rejnboɡɑ
westan	weːstɑn
stæfn	stæfn
utfus	uːtfuːs
beowulf	be͜oːwulf
swigian	swiːɡiɑn
heahfore	xæ͜ɑxfore
boþen	boθen
brægen	bræjen
mago	mɑɡo
utgefeoht	uːtjefe͜oxt
gimstan	jimstɑːn
æfnian	æːfniɑn
wiþfaran	wiθfɑrɑn
gelibban	jelibbɑn
seaxe	sæ͜ɑkse
wohdæd	woːxdæːd
slæwþ	slæːwθ
manigfeald	mɑnijfæ͜ɑld
ham	xɑm
toworpennes	toːworpennes
ongemang	onjemɑnɡ
lobbe	lobbe
ontynan	ontyːnɑn
gestaþoliend	jestɑθoliend
endeleasnes	endelæ͜ɑːsnes
þeoh	θe͜oːx
ieldan	i͜yldɑn
mænan	mæːnɑn
metere	meːtere
twa	twɑː
hringsetl	xrinɡsetl
springan	sprinɡɑn
enig	eːnij
æþelbeorht	æθelbe͜orxt
dæd	dæːd
agangan	ɑːɡɑnɡɑn
twyfealdnys	twyfæ͜ɑldnys
þicgan	θijjɑn
wealhhnutu	wæ͜ɑlxxnutu
wegan	weɡɑn
gleawlice	ɡlæ͜ɑːwliːt͡ʃe
adl	ɑːdl
gecyndlim	jekyndlim
declinian	dekliːniɑn
lenden	lenden
cneordlæcan	kne͜ordlæːt͡ʃɑn
hæþ	xæːθ
sæd	sæd
undergangan	underɡɑnɡɑn
domern	doːmern
gelimplic	jelimpliːt͡ʃ
blican	bliːkɑn
fulnes	fuːlnes
hnutu	xnutu
hrinan	xriːnɑn
feower	fe͜oːwer
sealde	sæɑlde
forgengel	forɡenjel
gehlow	jexloːw
dynnan	dynnɑn
eorþern	e͜orθern
stanweorc	stɑːnwe͜ork
swica	swikɑ
reordian	re͜ordiɑn
lytel	lyːtel
wlite	wlite
scyrte	ʃyrte
plegol	pleɡol
talu	tɑlu
bædan	bædɑn
scoh	ʃoːx
sacum	sɑkum
ma	mɑː
niþernes	niθernes
gæmnian	ɡæmniɑn
oferflitan	oferfliːtɑn
col	kol
wingeard	wiːnjæ͜ɑrd
cnawan	knɑːwɑn
sawlian	sɑːwliɑn
boctreow	boːktre͜oːw
fieldstol	fi͜yldstoːl
liegfamblawende	li͜yːjfɑːmblɑːwende
æ	æː
pliht	plixt
twyfeald	twyfæ͜ɑld
cyninge	kyninɡe
undern	undern
sittan	sittɑn
reodmuþa	re͜oːdmuːθɑ
snaca	snɑkɑ
adreogan	ɑːdre͜oːɡɑn
yþung	yːθunɡ
twegen	tweːjen
seofonstierre	se͜ofonsti͜yrre
gewis	jewis
alædan	ɑːlæːdɑn
geara	jɑːrɑ
gehatland	jexɑːtlɑnd
sunlic	sunliːt͡ʃ
æfnan	æfnɑn
heortgryre	xe͜ortɡryre
geonre	je͜onre
æghwær	æːjxwæːr
carwielm	kɑrwi͜ylm
temian	temiɑn
min	miːn
ealc	æ͜ɑlt͡ʃ
ætwindan	ætwindɑn
þenden	θenden
ægenbald	æːjenbɑld
gegrundweallian	jeɡrundwæ͜ɑlliɑn
blæc	blæk
cwidboc	kwidboːk
fægernes	fæjernes
toeacan	toːæ͜ɑːkɑn
sweoras	swe͜oːrɑs
sundwudu	sundwudu
forslean	forslæ͜ɑːn
gehiewian	jexi͜yːwiɑn
drefing	dreːfinɡ
ymbstandennes	ymbstɑndennes
bucc	bukk
eac	æ͜ɑːk
legerstow	lejerstoːw
wierdan	wi͜yrdɑn
gesamnung	jesɑmnunɡ
gedritan	jedriːtɑn
gediegan	jedi͜yːjɑn
þæt	θæt
clæna	klæːnɑ
ymbseon	ymbse͜oːn
ielfetu	i͜ylfetu
gærshoppa	ɡærsxoppɑ
engellic	enjelliːt͡ʃ
ar	ɑːr
ortreowe	ortre͜oːwe
allic	ɑlliːt͡ʃ
gymend	jyːmend
hengst	xenɡst
husræden	xuːsræːden
rædingboc	ræːdinɡboːk
gewæstmbærian	jewæstmbæːriɑn
sceamol	ʃɑmol
grapian	ɡrɑːpiɑn
wineard	wiːnæ͜ɑrd
ða	θɑː
lunden	lunden
wordfæst	wordfæst
cempa	kempɑ
racentan	rɑkentɑn
bebycgan	bebyjjɑn
beald	bæ͜ɑld
framfæreld	frɑmfæreld
weorþian	we͜orθiɑn
unclæne	unklæːne
byme	byːme
leodhryre	le͜oːdxryre
cniht	knixt
sodomitisc	sodomitiʃ
gecierrednes	jet͡ʃi͜yrrednes
mist	mist
æmethwil	æːmetxwiːl
efete	efete
geond	je͜ond
þerh	θerx
gean	jæ͜ɑːn
þes	θeːs
lifer	lifer
morþ	morθ
fremedlæcan	fremedlæːt͡ʃɑn
eahta	æ͜ɑxtɑ
bot	boːt
idæges	iːdæjes
forhabban	forxɑbbɑn
þæs	θæs
landleod	lɑndle͜oːd
beorn	be͜orn
awlencan	ɑːwlent͡ʃɑn
weargcweþan	wæ͜ɑrɡkweθɑn
hror	xroːr
oferhealdan	oferxæ͜ɑldɑn
æsctir	æʃtiːr
no	noː
þurhbrengan	θurxbrenjɑn
wiceard	wiːt͡ʃæ͜ɑrd
wohfremmende	woːxfremmende
gesceadan	jeʃæ͜ɑːdɑn
wiþhycgan	wiθxyjjɑn
cyst	kyst
nægl	næjl
reowon	re͜oːwon
forclingan	forklinɡɑn
gieldan	ji͜yldɑn
cwealm	kwæ͜ɑlm
anlætan	ɑːnlæːtɑn
þurhsceotan	θurxʃe͜oːtɑn
mynet	mynet
cnotta	knottɑ
ciele	t͡ʃi͜yle
unweorþlic	unwe͜orθliːt͡ʃ
myrige	myrije
wide	wiːde
forþgangan	forθɡɑnɡɑn
edniwan	edniːwɑn
wesan	weːsɑn
gewitan	jewiːtɑn
mægþhad	mæjθxɑːd
holt	xolt
behatland	bexɑːtlɑnd
gied	ji͜yd
geondscriþan	je͜ondʃriːθɑn
flegan	fleːɡɑn
lignan	liːjnɑn
sidfæþmed	siːdfæθmed
hatheort	xɑːtxe͜ort
gemætan	jemæːtɑn
guþgewæde	ɡuːθjewæːde
cruma	krumɑ
hnuta	xnutɑ
bæl	bæːl
husl	xuːsl
gang	ɡɑnɡ
hæþen	xæːθen
ealneg	æ͜ɑlnej
wohfull	woːxfull
legen	lejen
sæl	sæːl
yld	yld
steorwiglere	ste͜orwijlere
hete	xete
neorxnawang	ne͜orksnɑwɑnɡ
nihtbealo	nixtbæ͜ɑlo
gifu	jifu
asittan	ɑːsittɑn
lago	lɑɡo
eosol	e͜osol
elþeodig	elθe͜oːdij
fletgefeoht	fletjefe͜oxt
læcedom	læːt͡ʃedoːm
yfemest	yfemest
untiegan	unti͜yːjɑn
strudan	struːdɑn
wearp	wæ͜ɑrp
incit	iŋkit
fet	feːt
iude	iude
styrung	styrunɡ
tæppe	tæppe
nest	nest
forwundian	forwundiɑn
starian	stɑriɑn
drefan	dreːfɑn
scytta	ʃyttɑ
marmstan	mɑrmstɑːn
hægtesse	xæɡtesse
firas	fiːrɑs
felan	feːlɑn
handseax	xɑndsæ͜ɑks
weardian	wæ͜ɑrdiɑn
ofgifan	ofjifɑn
sulh	sulx
cliewen	kli͜yːwen
þoden	θoden
forþsprecan	forθsprekɑn
pynca	pynkɑ
geblandan	jeblɑndɑn
swiþferhþ	swiːθferxθ
ofertogennes	ofertoɡennes
cyrf	kyrf
ealgian	æ͜ɑlɡiɑn
eahtatiene	æ͜ɑxtɑti͜yːne
werlic	werliːt͡ʃ
andgiettacen	ɑndji͜yttɑːken
manigfealdian	mɑnijfæ͜ɑldiɑn
toh	toːx
blæse	blæse
mynegian	myneɡiɑn
þyrelian	θyːreliɑn
fyr	fyr
becom	bekom
afigen	ɑːfijen
forcyrran	fort͡ʃyrrɑn
wiste	wiste
dafen	dɑfen
wiþerian	wiθeriɑn
wolberendlic	woːlberendliːt͡ʃ
hundfeald	xundfæ͜ɑld
læcehus	læːt͡ʃexuːs
ciricweg	t͡ʃirit͡ʃwej
ymbhycgan	ymbxyjjɑn
hobbe	xobbe
beacnung	bæ͜ɑːknunɡ
hreaðemus	xræ͜ɑːθemuːs
bæcestre	bækestre
yldan	yldɑn
ilfete	ilfete
modcræft	moːdkræft
gi	jiː
roþhund	roθxund
bloma	bloːmɑ
crocca	krokkɑ
underiendlic	underjendliːt͡ʃ
cuman	kumɑn
westen	weːsten
adrencan	ɑːdrent͡ʃɑn
siocol	si͜ukol
lætan	læːtɑn
wicing	wiːt͡ʃinɡ
gegyrwan	jejyrwɑn
gemana	jemɑːnɑ
wipian	wiːpiɑn
frignan	frijnɑn
drihtenlic	drixtenliːt͡ʃ
þroht	θroxt
fehtan	fextɑn
toliesan	toːli͜yːsɑn
sind	sind
ganot	ɡɑnot
awemman	ɑːwemmɑn
sumer	sumer
hengen	xenɡen
hrutan	xruːtɑn
asawan	ɑːsɑːwɑn
ford	ford
burhleoda	burxle͜oːdɑ
diofol	di͜uːfol
næs	næs
lar	lɑːr
slincan	slinkɑn
mægn	mæjn
læppa	læppɑ
ælfcynn	ælfkynn
freoh	fre͜oːx
ærendgast	æːrendɡɑːst
ceder	keder
bearneacen	bæ͜ɑrnæ͜ɑːken
bucc	buːkk
storm	storm
wiber	wiber
bicweþan	bikweθɑn
godcundnes	ɡodkundnes
adesa	ɑdesɑ
nigontiene	niɡonti͜yːne
wase	wɑːse
ahon	ɑːxoːn
spedan	speːdɑn
onsittan	onsittɑn
scencan	ʃent͡ʃɑn
folgian	folɡiɑn
adeadian	ɑːdæ͜ɑːdiɑn
hwæne	xwæne
salnes	sɑːlnes
sweltaþ	sweltɑθ
sumerhæte	sumerxæːte
wiþgripan	wiθɡriːpɑn
ripe	riːpe
heafodwind	xæ͜ɑːfodwind
wandian	wɑndiɑn
forewittig	forewittij
hond	xond
besceadan	beʃæ͜ɑːdɑn
of	of
besceadan	beʃɑːdɑn
slupan	sluːpɑn
betynan	betyːnɑn
utlenda	uːtlendɑ
þeowen	θe͜owen
bead	bæːɑ̯d
wyrtweard	wyrtwæ͜ɑrd
swæs	swæːs
drogen	droɡen
grut	ɡruːt
more	moːre
ofer	oːfer
andtimber	ɑndtimber
incund	inkund
geondspringan	je͜ondsprinɡɑn
atorbære	ɑːtorbæːre
wære	wæːre
foremearcung	foremæ͜ɑrkunɡ
scread	ʃræ͜ɑːd
eoforlic	e͜oforliːt͡ʃ
hnigan	xniːɡɑn
meox	me͜oks
paþum	pɑθum
swifan	swiːfɑn
oþstandan	oθstɑndɑn
ateon	ɑːte͜oːn
sandceosol	sɑndt͡ʃe͜osol
healsfang	xæ͜ɑlsfɑnɡ
scearseax	ʃæ͜ɑrsæ͜ɑks
ærest	æːrest
hriþerhyrde	xriːθerxyrde
readnes	ræ͜ɑːdnes
cweorn	kwe͜orn
foresecgan	foresejjɑn
reotan	re͜oːtɑn
flowan	floːwɑn
liegberende	li͜yːjberende
wæt	wæːt
gesmeah	jesmæ͜ɑːx
munec	munek
wiþsprecan	wiθsprekɑn
ræpling	ræːplinɡ
oferyþ	oferyːθ
eahtateoþa	æ͜ɑxtɑte͜oːθɑ
sweore	swe͜oːre
gæd	ɡæd
wudubora	wuduborɑ
foresetnes	foresetnes
ciricgriþ	t͡ʃirit͡ʃɡriθ
canc	kɑnk
cwene	kwene
yþlid	yːθlid
fostor	foːstor
wrenc	wrent͡ʃ
fulfremednes	fulfremednes
wihtware	wixtwɑre
þweran	θwerɑn
upfæreld	upfæreld
healsbeag	xæ͜ɑlsbæ͜ɑːɡ
forseoþan	forse͜oːθɑn
hordern	xordern
halgian	xɑːlɡiɑn
fylgan	fyljɑn
blæge	blæːje
þrop	θrop
swican	swiːkɑn
blæst	blæːst
wæccan	wætt͡ʃɑn
gecyrrednes	jet͡ʃyrrednes
pintel	pintel
scafan	ʃɑfɑn
orþonc	orθonk
anwadan	ɑnwɑdɑn
micelnes	mit͡ʃelnes
ahebban	ɑːxebbɑn
gewunelice	jewuneliːt͡ʃe
sur	suːr
dwimor	dwimor
samodeard	sɑmodæ͜ɑrd
lofian	lofiɑn
hwyrft	xwyrft
wite	wiːte
ciricbryce	t͡ʃirit͡ʃbryt͡ʃe
deorcnes	de͜orknes
sigelhweorfa	sijelxwe͜orfɑ
larcræft	lɑːrkræft
botleas	boːtlæ͜ɑːs
folcland	folklɑnd
weax	wæ͜ɑks
eanred	æ͜ɑːnred
gewunelic	jewuneliːt͡ʃ
þeaht	θæ͜ɑxt
modor	moːdor
oferspræce	oferspræːt͡ʃe
scildan	ʃildɑn
sæward	sæːwɑrd
forgyrdan	forɡyrdɑn
wræþþo	wræːθθo
met	met
formeltan	formeltɑn
þeof	θe͜oːf
þolemod	θolemoːd
dagian	dɑɡiɑn
camp	kɑmp
feh	fex
hwone	xwone
þeodenleas	θe͜oːdenlæ͜ɑːs
wieldan	wi͜yldɑn
findan	findɑn
forleosan	forle͜oːsɑn
nose	nose
gefera	jefeːrɑ
biorn	bi͜urn
sodome	sodome
egesa	ejesɑ
hlaw	xlɑːw
onfindan	onfindɑn
fægen	fæjen
læwede	læːwede
godspellisc	ɡoːdspelliʃ
wyrcan	wyrt͡ʃɑn
ymbgan	ymbɡɑːn
wuldorbeagian	wuldorbæ͜ɑːɡiɑn
tendan	tendɑn
ciefes	t͡ʃi͜yfes
wiht	wixt
wera	werɑ
gehiersum	jexi͜yːrsum
leah	læ͜ɑːx
lengþu	lenɡθu
regn	rejn
yþig	yːθij
onwreon	onwre͜oːn
bacan	bɑkɑn
owiht	oːwixt
hryscan	xryːʃʃɑn
liegspiwol	li͜yːjspiːwol
fola	folɑ
misfehþ	misfeːxθ
wolcn	wolkn
begretan	beɡreːtɑn
þyrscweald	θyrʃwæ͜ɑld
gewendan	jewendɑn
cwellan	kwellɑn
muþ	muːθ
lærestre	læːrestre
tungol	tunɡol
bebodræden	bebodræːden
misspowan	misspoːwɑn
gemyndfull	jemyndfull
hwettan	xwettɑn
tyhting	tyxtinɡ
minsian	minsiɑn
færeld	færeld
