Певень	pʲˈɛvʲɛn
падрыхтаваць	pˌadrɨxtˈɑvat̻͡͡s
сурагатнага	sˌuraɣatnˈɑɣa
аднакватэрных	ˌadnakvatˈɛrnɨx
агледзеўся	ˌaɣɭʲɛdzʲˈɛwsʲa
Адборышча	ˌadbʌrˈɨʂʈ͡͡ʂa
станам	stˈɑnam
навукі	navˈuki
Мікіта	mikˈita
Прамысловая	prˌamɨsɭʌvˈɑʲa
прыступцы	prɨstˈupt̻͡͡sɨ
пабачыўшы	pˌabaʈ͡͡ʂˈɨwʂɨ
памінаюць	pˌaminˈɑʲut̻͡͡s
набываю	nˌabɨvˈɑʲu
аграпрамысловага	ˌaɣraprˌamɨsɭʌvˈɑɣa
рэйтынгам	rɛjtˈɨnɣam
інтэлігентны	ˌintɛɭiɣʲˈɛntnɨ
песьню	pʲˈɛsnʲu
Піліпавіч	pˌiɭipˈɑviʈ͡͡ʂ
стажы	stˈɑʐɨ
эксперыментальны	ˌɛkspʲɛrˌɨmʲɛntˈɑɭnɨ
складзеную	skɭˌadzʲɛnˈuʲu
перакінуць	pʲˌɛrakˈinut̻͡͡s
персаналу	pʲˌɛrsanˈɑɭu
сутнасьць	sˈutnast̻͡͡s
міністэрства	mˌinistˈɛrstva
паспавядацца	pˌaspavʲɪdˈɑt̻͡͡st̻͡͡sa
памежнік	pamʲˈɛʐnik
асэнсавана	ˌasɛnsavˈɑna
гразь	ɣrˈɑz
млрд	mɭrd
скаціну	skat̻͡͡sˈinu
Лёндан	ɭʲˈɔndan
крыжа	krˈɨʐa
падарожных	pˌadarˈoʐnɨx
асацыяльныя	ˌasat̻͡͡sˌɨɪɭnˈɨa
даручаю	dˌaruʈ͡͡ʂˈɑʲu
другасных	druɣˈɑsnɨx
зацяжарыла	zˌat̻͡͡sʲɪʐarˈɨɭa
стабільную	stˌabiɭnˈuʲu
прадаюць	pradˈɑʲut̻͡͡s
невыразны	nʲˌɛvɨrˈɑznɨ
папка	pˈɑpka
Вялікадня	vʲˌɪɭikˈɑdnʲa
кніжкай	knˈiʐkaj
кавалём	kavˈɑɭʲɔm
ўзростаў	wzrˈostaw
дасягнутых	dˌasʲɪɣnˈutɨx
торфабрыкету	tˌʌrfabrɨkʲˈɛtu
Валовіча	vˌaɭʌvˈiʈ͡͡ʂa
нетбука	nʲɛtbˈuka
ўзгадалі	wzɣadˈɑɭi
ветэрынарнай	vʲˌɛtɛrɨnˈɑrnaj
папулярызуе	pˌapuɭʲˌɪrɨzˈuʲɛ
Спрабуючы	sprˌabuʲˈuʈ͡͡ʂɨ
добры	dˈobrɨ
біржу	bˈirʐu
карагодамі	kˌaraɣʌdˈɑmi
Векапомнае	vʲˌɛkapʌmnˈɑʲɛ
нечыя	nʲɛʈ͡͡ʂˈɨa
кавалёў	kavˈɑɭʲɔw
латы	ɭˈɑtɨ
Снягурак	snʲɪɣˈurak
ўпрыгожаны	wprˌɨɣʌʐˈɑnɨ
падначаленым	pˌadnaʈ͡͡ʂaɭʲˈɛnɨm
пашукаць	paʂˈukat̻͡͡s
парушэннем	pˌaruʂˈɛnnʲɛm
літаратурнае	ɭˌitarˌaturnˈɑʲɛ
падводзіла	pˌadvʌdzˈiɭa
дыктаваць	dɨktˈɑvat̻͡͡s
мінулагоднім	mˌinuɭaɣˈodnim
Бяляева	bʲˌɪɭʲɪˈɛva
сасна	sˈɑsna
паспяховаму	pˌaspʲɪxʌvˈɑmu
газетныя	ɣˌazʲɛtnˈɨa
Называецца	nˌazɨvaʲˈɛt̻͡͡st̻͡͡sa
размешчанай	rˌazmʲɛʂʈ͡͡ʂˈɑnaj
кампетэнцыя	kˌampʲɛtɛnt̻͡͡sˈɨa
жаніліся	ʐˌaniɭˈisʲa
пуць	pˈut̻͡͡s
Дзьмітрыеў	dzmitrˈɨɛw
бале	bˈɑɭʲɛ
шкло	ʂkɭˈo
ведаеце	vʲˌɛdaʲˈɛt̻͡͡sʲɛ
цаной	t̻͡͡sˈɑnʌj
незвычайным	nʲˌɛzvɨʈ͡͡ʂˈɑjnɨm
Лунінецкая	ɭˌuninʲɛt̻͡͡skˈɑʲa
каляскі	kaɭʲˈj͡aski
пажартаваў	pˌaʐartˈɑvaw
буйнымі	bujnˈɨmi
культуры	kuɭtˈurɨ
гармонікі	ɣˌarmʌnˈiki
камеры	kamʲˈɛrɨ
сацыяльнага	sˌat̻͡͡sɨɪɭnˈɑɣa
кормам	kˈormam
лініях	ɭinˈiɪx
паслуг	pˈɑsɭuɣ
адначасова	ˌadnaʈ͡͡ʂasˈova
асколкі	askˈoɭki
прыплылі	prɨpɭˈɨɭi
стылістыцы	stˌɨɭistˈɨt̻͡͡sɨ
блізкі	bɭˈizki
купальскую	kˌupaɭskˈuʲu
цацка	t̻͡͡sˈɑt̻͡͡ska
завыў	zˈɑvɨw
пэўнасці	pɛwnˈɑst̻͡͡si
Магіла	maɣˈiɭa
Іванаўскага	ˌivanawskˈɑɣa
няроўнасці	nʲˌɪrʌwnˈɑst̻͡͡si
надыйшоў	nadˈɨjʂʌw
Аўтарамі	ˌawtarˈɑmi
адказалі	ˌadkazˈɑɭi
захапляльнае	zˌaxapɭʲɪɭnˈɑʲɛ
прызнаньня	prɨznˈɑnnʲa
распрацаваны	rˌasprat̻͡͡savˈɑnɨ
здольную	zdʌɭnˈuʲu
эфектыўнасці	ˌɛfʲɛktɨwnˈɑst̻͡͡si
Пакрысе	pakrˈɨsʲɛ
геаметрычныя	ɣʲˌɛamʲˌɛtrɨʈ͡͡ʂnˈɨa
Паплаўскага	pˌapɭawskˈɑɣa
насустрач	nasˈustraʈ͡͡ʂ
плыў	pɭˈɨw
Званы	zvˈɑnɨ
Вялікі	vʲɪɭˈiki
малазабяспечаных	mˌaɭazˌabʲɪspʲɛʈ͡͡ʂˈɑnɨx
рэгулярна	rˌɛɣuɭʲˈj͡arna
апазыцыянэраў	ˌapazˌɨt̻͡͡sɨɪnˈɛraw
хацець	xˈɑt̻͡͡sʲɛt̻͡͡s
камуністам	kˌamunˈistam
дрэваапрацоўчы	drˌɛvaˌaprat̻͡͡sˈowʈ͡͡ʂɨ
пачалі	paʈ͡͡ʂˈɑɭi
Лепельскай	ɭʲɛpʲˈɛɭskaj
снегавіка	snʲˌɛɣavˈika
пабыла	pabˈɨɭa
здымаць	zdˈɨmat̻͡͡s
прозвішчу	prʌzvˈiʂʈ͡͡ʂu
краінах	kraˈinax
конаўку	kʌnˈɑwku
выбудоўваць	vˌɨbudˈowvat̻͡͡s
грэч	ɣrˈɛʈ͡͡ʂ
польская	pʌɭskˈɑʲa
клавіш	kɭˈɑviʂ
Бронзавы	brʌnzˈɑvɨ
варыянтаў	vˌarɨˈj͡antaw
большае	bʌɭʂˈɑʲɛ
наўцёкі	nawt̻͡͡sʲˈɔki
называюцца	nˌazɨvaʲˈut̻͡͡st̻͡͡sa
сварыцца	svarˈɨt̻͡͡st̻͡͡sa
Стасевіч	stasʲˈɛviʈ͡͡ʂ
шпацыраваць	ʂpˌat̻͡͡sɨrˈɑvat̻͡͡s
Стасюк	stˈɑsʲuk
сітуацыях	sˌituat̻͡͡sˈɨɪx
старты	stˈɑrtɨ
творчасьці	tvʌrʈ͡͡ʂˈɑst̻͡͡si
сыплецца	sɨpɭʲˈɛt̻͡͡st̻͡͡sa
педагагічная	pʲˌɛdaɣˌaɣiʈ͡͡ʂnˈɑʲa
Прачытаў	praʈ͡͡ʂˈɨtaw
Буцько	bˈut̻͡͡skʌ
Старасць	stˈɑrast̻͡͡s
Васілевіча	vˌasiɭʲɛvˈiʈ͡͡ʂa
пакрыць	pˈɑkrɨt̻͡͡s
найменняў	najmʲˈɛnnʲɪw
фактарам	faktˈɑram
дапусціў	dapˈust̻͡͡siw
цёплымі	t̻͡͡sʲɔpɭˈɨmi
полькі	pˈoɭki
біялагічны	bˌiɪɭaɣˈiʈ͡͡ʂnɨ
кульгае	kuɭɣˈɑʲɛ
пранікаць	pranˈikat̻͡͡s
Аніськовіч	ˌaniskˈoviʈ͡͡ʂ
ўзіраецца	wzˌiraʲˈɛt̻͡͡st̻͡͡sa
папраўчыя	pˌaprawʈ͡͡ʂˈɨa
выгадную	vˌɨɣadnˈuʲu
дзяўчына	dzʲɪwʈ͡͡ʂˈɨna
Народнага	nˌarʌdnˈɑɣa
пацяплення	pˌat̻͡͡sʲɪpɭʲˈɛnnʲa
буслоў	bˈusɭʌw
старажытнасці	stˌaraʐɨtnˈɑst̻͡͡si
запанаваў	zˌapanˈɑvaw
вусаты	vusˈɑtɨ
самаго	samˈɑɣʌ
назву	nˈɑzvu
Акуліна	ˌakuɭˈina
перанёс	pʲɛrˈɑnʲɔs
сарочцы	sarˈoʈ͡͡ʂt̻͡͡sɨ
павярнулі	pˌavʲɪrnˈuɭi
канстытуцыйны	kˌanstɨtut̻͡͡sˈɨjnɨ
баранавіцкім	bˌaranavˈit̻͡͡skim
далучаныя	dˌaɭuʈ͡͡ʂanˈɨa
заявай	zaʲˈj͡avaj
міфаў	mˈifaw
Бершты	bʲˈɛrʂtɨ
якасцямі	ʲˌɪkast̻͡͡sʲˈj͡ami
выгане	vɨɣˈɑnʲɛ
пяцідзесяці	pʲˌɪt̻͡͡sidzʲɛsʲˈj͡at̻͡͡si
ўскосна	wskˈosna
ўступала	wstupˈɑɭa
Баранавічах	bˌaranavˈiʈ͡͡ʂax
шумілінскіх	ʂˌumiɭˈinskix
эскадрыллі	ˌɛskadrˈɨɭɭi
глянуўшы	ɣɭʲɪnˈuwʂɨ
правамоцным	prˌavamˈot̻͡͡snɨm
вымпел	vˈɨmpʲɛɭ
рознасць	rˈoznast̻͡͡s
пасяляецца	pˌasʲɪɭʲɪˈɛt̻͡͡st̻͡͡sa
Навук	nˈɑvuk
насцярожыўся	nˌast̻͡͡sʲɪrʌʐˈɨwsʲa
Алімпіяды	ˌaɭimpiˈj͡adɨ
Меншых	mʲˈɛnʂɨx
архітэктарамі	ˌarxitˌɛktarˈɑmi
гарантуем	ɣˌarantˈuʲɛm
земляробствам	zʲˌɛmɭʲɪrˈobstvam
вастрыню	vastrˈɨnʲu
рэжысэрам	rˌɛʐɨsˈɛram
прасоўвае	prˌasʌwvˈɑʲɛ
ПТВ	ptv
вадкасці	vadkˈɑst̻͡͡si
Фаміна	famˈina
канікул	kanˈikuɭ
прыступу	prɨstˈupu
Якому	ʲɪkˈomu
прысвячаўся	prˌɨsvʲɪʈ͡͡ʂˈɑwsʲa
Легіёну	ɭʲˌɛɣiˈɔnu
ПНР	pnr
зьяўляліся	zʲˌɪwɭʲɪɭˈisʲa
прааналізаваў	prˌaanˌaɭizˈɑvaw
паясы	paʲˈj͡asɨ
Цікавай	t̻͡͡sikˈɑvaj
таямніца	tˌaʲɪmnˈit̻͡͡sa
пускае	puskˈɑʲɛ
Нідэрланды	nˌidɛrɭˈɑndɨ
Кропка	krˈopka
паліто	paɭˈitʌ
суседа	susʲˈɛda
унучак	unˈuʈ͡͡ʂak
Беларусьфільм	bʲˌɛɭarˈusfiɭm
абсталявалі	ˌabstaɭʲɪvˈɑɭi
падпарадкаваная	pˌadparˌadkavanˈɑʲa
дражджах	drˈɑʐdʐax
міфа	mˈifa
перасяленцаў	pʲˌɛrasʲɪɭʲˈɛnt̻͡͡saw
састарэлым	sˌastarˈɛɭɨm
фатаграфаванне	fˌataɣrˌafavˈɑnnʲɛ
Апалонія	ˌapaɭʌnˈia
ўваходжу	wvaxˈodʐu
стадыя	stadˈɨa
добраўпарадкаваць	dˌʌbrawpˌaradkˈɑvat̻͡͡s
тэатральная	tˌɛatraɭnˈɑʲa
харавых	xarˈɑvɨx
вандроўнікаў	vˌandrʌwnˈikaw
пратэстам	pratˈɛstam
кінафільмаў	kˌinafˈiɭmaw
адвёз	ˈɑdvʲɔz
таталітарызму	tˌataɭˌitarˈɨzmu
Ваш	vˈɑʂ
Насевіч	nasʲˈɛviʈ͡͡ʂ
прабабуля	prˌababˈuɭʲa
кірункаў	kirˈunkaw
модныя	mʌdnˈɨa
палітолагі	pˌaɭitʌɭˈɑɣi
вобыску	vʌbˈɨsku
стаіць	stˈɑit̻͡͡s
матацыклы	mˌatat̻͡͡sˈɨkɭɨ
Лапацін	ɭapˈɑt̻͡͡sin
госцю	ɣˈost̻͡͡sʲu
віншавалі	vˌinʂavˈɑɭi
члены	ʈ͡͡ʂɭʲˈɛnɨ
ўзгадала	wzɣadˈɑɭa
тоеснасці	tˌʌʲɛsnˈɑst̻͡͡si
праяў	prˈɑʲɪw
тэхнічная	tˌɛxniʈ͡͡ʂnˈɑʲa
гульнявым	ɣuɭnʲˈj͡avɨm
прыезд	prˈɨɛzd
правах	prˈɑvax
знаёмыя	znˌaʲɔmˈɨa
суддзёй	sˈuddzʲɔj
швэдзкага	ʂvɛdzkˈɑɣa
датчыкаў	datʈ͡͡ʂˈɨkaw
пераходзіць	pʲˌɛraxˈodzit̻͡͡s
арыентаваных	ˌarɨˌɛntavˈɑnɨx
Наталля	natˈɑɭɭʲa
інфекцыйнай	ˌinfʲɛkt̻͡͡sˈɨjnaj
Крэўскім	krˈɛwskim
літаратуры	ɭˌitaratˈurɨ
Надзею	nadzʲˈɛʲu
Валынец	vaɭˈɨnʲɛt̻͡͡s
прыслаць	prˈɨsɭat̻͡͡s
паўстане	pawstˈɑnʲɛ
спецназа	spʲɛt̻͡͡snˈɑza
Акафіст	akˈɑfist
наладкі	naɭˈɑdki
стабільнасьць	stabˈiɭnast̻͡͡s
духоўцы	duxˈowt̻͡͡sɨ
ўцякаюць	wt̻͡͡sʲɪkˈɑʲut̻͡͡s
грубым	ɣrˈubɨm
упэўненасцю	ˌupɛwnʲɛnˈɑst̻͡͡sʲu
малюю	maɭʲˈuʲu
кажу	kˈɑʐu
Годзе	ɣˈodzʲɛ
адсвяткавалі	ˌadsvʲɪtkavˈɑɭi
асновах	asnˈovax
шансону	ʂansˈonu
казака	kazˈɑka
падзяліў	padzʲˈj͡aɭiw
петыцыі	pʲˌɛtɨt̻͡͡sˈɨi
Гервяцкай	ɣʲɛrvʲˈj͡at̻͡͡skaj
вешалі	vʲɛʂˈɑɭi
наведваюцца	nˌavʲɛdvaʲˈut̻͡͡st̻͡͡sa
тварагу	tvarˈɑɣu
Сваёй	svˈɑʲɔj
беатыфікацыя	bʲˌɛatˌɨfikat̻͡͡sˈɨa
прыцягваў	prɨt̻͡͡sʲˈj͡aɣvaw
Туркменістан	tˌurkmʲɛnˈistan
лукам	ɭˈukam
Віцебшчыну	vˌit̻͡͡sʲɛbʂʈ͡͡ʂˈɨnu
дакладнае	dˌakɭadnˈɑʲɛ
сметнікі	smʲɛtnˈiki
Мудры	mˈudrɨ
ўласнікаў	wɭasnˈikaw
намецілі	nˌamʲɛt̻͡͡sˈiɭi
Камісар	kamˈisar
Прэзідэнты	prˌɛzidˈɛntɨ
Хацелася	xˌat̻͡͡sʲɛɭˈɑsʲa
звяртаючы	zvʲˌɪrtaʲˈuʈ͡͡ʂɨ
Гофман	ɣˈofman
сутнасна	sutnˈɑsna
папку	pˈɑpku
Традыцыя	trˌadɨt̻͡͡sˈɨa
крытэрыі	krˌɨtɛrˈɨi
аўтаркай	awtˈɑrkaj
Баўмгертнэра	bˌawmɣʲɛrtnˈɛra
песенныя	pʲˌɛsʲɛnnˈɨa
Пераможцай	pʲˌɛramˈoʐt̻͡͡saj
трэнінгу	trɛnˈinɣu
ступенямі	stˌupʲɛnʲˈj͡ami
почырк	pˈoʈ͡͡ʂɨrk
заліку	zaɭˈiku
нагадаюць	nˌaɣadˈɑʲut̻͡͡s
Слухайце	sɭuxˈɑjt̻͡͡sʲɛ
люты	ɭʲˈutɨ
эфектыўнай	ˌɛfʲɛktˈɨwnaj
прадстаўнічых	prˌadstawnˈiʈ͡͡ʂɨx
Праўду	prˈɑwdu
грэцкіх	ɣrˈɛt̻͡͡skix
скрынак	skrˈɨnak
перабор	pʲɛrˈɑbʌr
бакавая	bˌakavˈɑʲa
Сашко	sˈɑʂkʌ
інтрыга	intrˈɨɣa
прылятаюць	prˌɨɭʲɪtˈɑʲut̻͡͡s
Дарожныя	dˌarʌʐnˈɨa
Семянякі	sʲˌɛmʲɪnʲˈj͡aki
зачаравана	zˌaʈ͡͡ʂaravˈɑna
нагою	naɣˈoʲu
пастаўкай	pastˈɑwkaj
браўзэраў	brawzˈɛraw
жыццярадасным	ʐˌɨt̻͡͡st̻͡͡sʲɪradˈɑsnɨm
экскурсаводам	ˌɛkskursavˈodam
Макарэвіч	mˌakarˈɛviʈ͡͡ʂ
ведалі	vʲɛdˈɑɭi
канкурсанта	kˌankursˈɑnta
працаёмкі	prˌat̻͡͡saʲˈɔmki
дубовы	dubˈovɨ
атамнага	ˌatamnˈɑɣa
істотна	istˈotna
арфаграфіі	ˌarfaɣrafˈii
Адвэнта	advˈɛnta
заснавальніку	zˌasnavaɭnˈiku
бульбяныя	bˌuɭbʲɪnˈɨa
Гардун	ɣˈɑrdun
Уладзіміравіча	ˌuɭadzˌimiravˈiʈ͡͡ʂa
адбываўся	ˌadbɨvˈɑwsʲa
прачытана	prˌaʈ͡͡ʂɨtˈɑna
упаўнаважаным	ˌupawnˌavaʐˈɑnɨm
правілах	pravˈiɭax
скаціны	skat̻͡͡sˈinɨ
прабегла	prabʲˈɛɣɭa
татуіроўкі	tˌatuirˈowki
дапаможнікам	dˌapamʌʐnˈikam
выдаюцца	vˌɨdaʲˈut̻͡͡st̻͡͡sa
філе	fˈiɭʲɛ
Можаце	mʌʐˈɑt̻͡͡sʲɛ
атрыманню	ˌatrɨmˈɑnnʲu
стартуе	startˈuʲɛ
Парафія	pˌarafˈia
Аргенціны	ˌarɣʲɛnt̻͡͡sˈinɨ
спадзяваньні	spˌadzʲɪvˈɑnni
вызначанае	vˌɨznaʈ͡͡ʂanˈɑʲɛ
Экіпаж	ɛkˈipaʐ
зводкі	zvˈodki
ненавідзелі	nʲˌɛnavidzʲˈɛɭi
фаршу	fˈɑrʂu
станоўчым	stanˈowʈ͡͡ʂɨm
разарвала	rˌazarvˈɑɭa
наступнай	nastˈupnaj
вялікім	vʲɪɭˈikim
храм	xrˈɑm
фантастычную	fˌantastɨʈ͡͡ʂnˈuʲu
багна	bˈɑɣna
належная	nˌaɭʲɛʐnˈɑʲa
Ганнай	ɣˈɑnnaj
Сувязь	sˈuvʲɪz
жніво	ʐnˈivʌ
Маскоўская	mˌaskʌwskˈɑʲa
абаранкі	ˌabarˈɑnki
законніц	zakˈonnit̻͡͡s
сартавання	sˌartavˈɑnnʲa
ўказалі	wkazˈɑɭi
зрабілася	zrˌabiɭˈɑsʲa
Каўказе	kawkˈɑzʲɛ
аказала	ˌakazˈɑɭa
установак	ˌustanˈovak
навукоўца	nˌavukˈowt̻͡͡sa
абставінах	ˌabstavˈinax
працуючых	prˌat̻͡͡suʲˈuʈ͡͡ʂɨx
Жамойць	ʐˈɑmʌjt̻͡͡s
Віктора	viktˈora
кананічнага	kˌananiʈ͡͡ʂnˈɑɣa
суровае	sˌurʌvˈɑʲɛ
Выбарчым	vɨbˈɑrʈ͡͡ʂɨm
уварваўся	ˌuvarvˈɑwsʲa
выдаўцом	vɨdˈɑwt̻͡͡sʌm
развіццё	razvˈit̻͡͡st̻͡͡sʲɔ
адзінока	ˌadzinˈoka
перадавыя	pʲˌɛradavˈɨa
выйшаўшы	vɨjʂˈɑwʂɨ
Кійко	kˈijkʌ
Старажытным	stˌaraʐˈɨtnɨm
дзеяць	dzʲˈɛʲɪt̻͡͡s
пасвячэнні	pˌasvʲɪʈ͡͡ʂˈɛnni
Ціхім	t̻͡͡sˈixim
плаці	pɭˈɑt̻͡͡si
лацінскім	ɭat̻͡͡sˈinskim
даступная	dˌastupnˈɑʲa
гародніна	ɣˌarʌdnˈina
Лідай	ɭˈidaj
справядлівай	sprˌavʲɪdɭˈivaj
Духоўнага	dˌuxʌwnˈɑɣa
кіне	kˈinʲɛ
пабеглі	pabʲˈɛɣɭi
дзеяньне	dzʲɛʲˈj͡annʲɛ
зарасла	zarˈɑsɭa
возьмем	vˈozmʲɛm
дзяржаўнасьць	dzʲɪrʐˈɑwnast̻͡͡s
дабрынёй	dabrˈɨnʲɔj
пілавінне	pˌiɭavˈinnʲɛ
кнігі	knˈiɣi
фінансавых	fˌinansˈɑvɨx
рэхам	rˈɛxam
перанесці	pʲˌɛranʲˈɛst̻͡͡si
справіўся	spravˈiwsʲa
права	prˈɑva
елачкі	ʲɛɭˈɑʈ͡͡ʂki
значнасьці	znaʈ͡͡ʂnˈɑst̻͡͡si
устаноўленым	ˌustanʌwɭʲˈɛnɨm
рэгіянальная	rˌɛɣiˌɪnaɭnˈɑʲa
пятля	pʲˈj͡atɭʲa
Праверце	pravʲˈɛrt̻͡͡sʲɛ
дастойнымі	dˌastʌjnˈɨmi
сьлёз	sɭʲˈɔz
сьняданак	snʲɪdˈɑnak
развітанне	rˌazvitˈɑnnʲɛ
асіны	asˈinɨ
Нельга	nʲˈɛɭɣa
Молатава	mˌʌɭatˈɑva
адмену	admʲˈɛnu
раёнку	raʲˈɔnku
камбінацыя	kˌambinat̻͡͡sˈɨa
лужыны	ɭuʐˈɨnɨ
падказвае	pˌadkazvˈɑʲɛ
Салісты	saɭˈistɨ
памерла	pamʲˈɛrɭa
закрыў	zˈɑkrɨw
прыводзілі	prˌɨvʌdzˈiɭi
Луганскай	ɭuɣˈɑnskaj
пачыналіся	pˌaʈ͡͡ʂɨnaɭˈisʲa
таемным	taʲˈɛmnɨm
сацыяльным	sˌat̻͡͡sɨˈj͡aɭnɨm
супярэчлівасці	sˌupʲɪrˌɛʈ͡͡ʂɭivˈɑst̻͡͡si
Некаторыя	nʲˌɛkatʌrˈɨa
шчыры	ʂʈ͡͡ʂˈɨrɨ
размах	rˈɑzmax
ўпэўненым	wpɛwnʲˈɛnɨm
цяжкасьцю	t̻͡͡sʲɪʐkˈɑst̻͡͡sʲu
крыўдзіў	krˈɨwdziw
вышываю	vˌɨʂɨvˈɑʲu
далучаецца	dˌaɭuʈ͡͡ʂaʲˈɛt̻͡͡st̻͡͡sa
чыгуначную	ʈ͡͡ʂˌɨɣunaʈ͡͡ʂnˈuʲu
Апошнім	apˈoʂnim
фатографам	fˌatʌɣrˈɑfam
паспалітага	pˌaspaɭitˈɑɣa
Святасці	svʲɪtˈɑst̻͡͡si
беларускамоўнага	bʲˌɛɭarˌuskamʌwnˈɑɣa
ажыцьцявіць	ˌaʐɨt̻͡͡st̻͡͡sʲˈj͡avit̻͡͡s
майскім	mˈɑjskim
камлі	kˈɑmɭi
надавала	nˌadavˈɑɭa
Дварэцкай	dvarˈɛt̻͡͡skaj
паседжаннях	pˌasʲɛdʐˈɑnnʲɪx
лагоднасць	ɭaɣˈodnast̻͡͡s
установамі	ˌustanʌvˈɑmi
ваяводам	vˌaʲɪvˈodam
філіялаў	fˌiɭiˈj͡aɭaw
Балахонаў	bˌaɭaxˈonaw
фонды	fˈondɨ
кандыдаты	kˌandɨdˈɑtɨ
ўзяліся	wzʲɪɭˈisʲa
Ігараўна	ˌiɣarˈɑwna
эксклюзіўнае	ˌɛkskɭʲuziwnˈɑʲɛ
рэабілітацыя	rˌɛabˌiɭitat̻͡͡sˈɨa
павераны	pˌavʲɛrˈɑnɨ
апрацаваныя	ˌaprat̻͡͡sˌavanˈɨa
паўднёвага	pˌawdnʲɔvˈɑɣa
Ратушы	ratˈuʂɨ
Якіма	ʲɪkˈima
рушыцца	ruʂˈɨt̻͡͡st̻͡͡sa
стамляўся	stamɭʲˈj͡awsʲa
няпроста	nʲɪprˈosta
рашыліся	rˌaʂɨɭˈisʲa
Сьпіс	spˈis
аколіцы	ˌakʌɭˈit̻͡͡sɨ
Важныя	vaʐnˈɨa
