pozitif	pozitˈɪf
İnsanlarla	ɪnsanɫˈarɫa
eserleri	esɛrleɾˈɪ
Temuçin	temut͡ʃˈɪn
kanundur	kanˈʊndʊr
sultanların	sʊɫtanɫaɾˈɯn
umutlu	umʊtɫˈʊ
kreması	kremasˈɯ
verimliliğini	veɾɪmlilijinˈɪ
Akyaka	akjakˈa
kurumdur	kˈuɾʊmdʊr
geçiriyordu	ɟet͡ʃiɾˈijɔrdʊ
yükümlüdür	jykømlˈydør
dönüktür	dœnˈøktør
kavramak	kavramˈak
Kick	kˈɪd͡ʒk
evlilikle	ɛvlilˈɪklɛ
Abdülmecit	abdølmed͡ʒˈɪt
küçüklüğü	kyt͡ʃøklˈøː
gecikmeli	ɟed͡ʒˈɪkmelɪ
içeriği	it͡ʃeɾijˈɪ
Dursun	dʊrsˈʊn
Theodosius	theodosiˈʊs
aza	azˈa
korunmayan	koɾʊnmajˈan
Studio	studiˈɔ
Flickr	flˈɪd͡ʒkr
kümes	kymˈɛs
nominal	nominˈaɫ
Wright	wrˈɪɟht
varsayılırsa	varsajɯɫˈɯrsa
Partiyi	partijˈɪ
sancağın	sand͡ʒaːˈɯn
yangınla	janɡˈɯnɫa
döküntüler	dœkøntylˈɛr
metnine	mɛtninˈɛ
Thérèse	thˈeɾesɛ
yarasından	jaɾasɯndˈan
televizyonların	televɪzjɔnɫaɾˈɯn
FC	fˌɛd͡ʒˈɛ
aralarında	aɾaɫaɾɯndˈa
okutulmuştur	okutʊɫmˈʊʃtʊr
gauge	ɡauɡˈɛ
Section	sɛd͡ʒtiˈɔn
Ba	bˈa
jimnastik	ʒɪmnastˈɪk
özetleri	œzɛtleɾˈɪ
satılmaya	satˈɯɫmaja
tartışıldığı	tartɯʃɯɫdɯɯˈɯ
jürisi	ʒyɾisˈɪ
station	statiˈɔn
bakteriyi	bakteɾijˈɪ
güder	ɟydˈɛr
Korunma	koɾˈʊnma
niceliği	nid͡ʒelijˈɪ
tramvay	tramvˈaj
kazanımları	kazanɯmɫaɾˈɯ
otelleri	otælleɾˈɪ
şiirindeki	ʃiiɾɪndekˈɪ
Namibya	namɪbjˈa
gelişmesini	ɟelɪʃmesinˈɪ
akarsuyu	akarsujˈʊ
arabalarına	aɾabaɫaɾɯnˈa
Bashir	bashˈɪr
dizilidir	dizilˈidɪr
Dünyevi	dønjevˈɪ
armut	armˈʊt
KK	kˌɛkˈɛ
öldüğü	œldˈøː
stratejisini	strateʒisinˈɪ
yıpranmış	jɯpranmˈɯʃ
gelebilmek	ɟelebɪlmˈɛk
yeterince	jeteɾˈɪnd͡ʒɛ
nad	nˈad
ajansına	aʒansɯnˈa
Sefarad	sefaɾˈad
çevirisidir	t͡ʃeviɾisˈidɪr
küresinin	kyɾesinˈɪn
arktik	arktˈɪk
getirildiler	ɟetiɾɪldilˈɛr
Muallim	muˈaɫlɪm
engelleme	ænɟˈællemɛ
yerleştirildiğinde	jɛrlɛʃtiɾɪldijɪndˈɛ
değinen	dejinˈæn
kazanan	kazanˈan
Nureddin	nuɾedːˈɪn
zaferlerini	zafɛrleɾinˈɪ
mevzu	mɛvzˈʊ
komşusudur	kɔmʃusˈudʊr
çiftleşmeye	t͡ʃɪftlˈɛʃmejɛ
plajlarda	pɫaʒɫardˈa
Kızılderililer	kɯzɯɫdeɾililˈɛr
sınıflar	sɯnɯfɫˈar
efendisinin	efændisinˈɪn
yolunda	joɫʊndˈa
basıncı	basɯnd͡ʒˈɯ
Rose	rˈosɛ
faaliyetlerini	faalijɛtleɾinˈɪ
petrolün	pɛtroɫˈøn
emrini	æmrinˈɪ
değerli	dejɛrlˈɪ
trenle	trˈænlɛ
Hadid	hadˈɪd
Wyoming	wjomˈɪnɡ
bataryayı	batarjajˈɯ
faydalarını	fajdaɫaɾɯnˈɯ
zenginler	zænɟɪnlˈɛr
anlaşılmasını	anɫaʃɯɫmasɯnˈɯ
jips	ʒˈɪps
Direction	diɾɛd͡ʒtiˈɔn
benzerlikler	bænzɛrlɪklˈɛr
Pontiac	pɔntiˈad͡ʒ
sayılırlar	sajɯɫɯrɫˈar
EMS	ˈæms
Hong	hˈɔnɡ
kalifiye	kalifijˈɛ
Horasan	hˈoɾasan
halktır	hˈaɫktɯr
Republic	repʊblˈɪd͡ʒ
Simón	simˈɔn
Gotik	ɡotˈɪk
Keban	kebˈan
dürbün	dørbˈøn
aktığı	aktɯɯˈɯ
Sistematik	sɪstematˈɪk
gözlemlenen	ɟœzlæmlenˈæn
isteğinde	ɪstejɪndˈɛ
Kulübün	kulybˈøn
Sovyeti	sɔvjetˈɪ
piyanist	pijanˈɪst
çekiminden	t͡ʃekimɪndˈæn
ayaklanmacılara	ajakɫanmad͡ʒɯɫaɾˈa
tanıtması	tanɯtmasˈɯ
sağlanmakta	saːɫanmaktˈa
MGM	mˌɛɟˌɛmˈɛ
avcılarından	avd͡ʒɯɫaɾɯndˈan
Tc	tˌɛd͡ʒˈɛ
sökülerek	sœkyleɾˈɛk
peroksit	peɾɔksˈɪt
modülün	modylˈøn
karşılaşacağını	karʃɯɫaʃad͡ʒaːɯnˈɯ
Prensin	prænsˈɪn
Başvuru	baʃvuɾˈʊ
US	ˈʊs
Dergâh	dɛrɟˈah
Action	ad͡ʒtiˈɔn
İzmirli	ˈɪzmɪrlɪ
kesimlerini	kesɪmleɾinˈɪ
Bilbao	bɪlbaˈɔ
soran	soɾˈan
mücadelelerini	myd͡ʒadeleleɾinˈɪ
tanımlanabilir	tanɯmɫanabilˈɪr
göstermesinin	ɟœstɛrmesinˈɪn
Gökbilimciler	ɟœkbilɪmd͡ʒilˈɛr
bakıldığında	bakɯɫdɯɯɯndˈa
yıkımdan	jˈɯkɯmdan
Andrey	andrˈɛj
Alvarez	aɫvaɾˈɛz
modlar	mɔdɫˈar
Camide	d͡ʒamidˈɛ
Moesia	moesiˈa
madalyası	madaɫjasˈɯ
indeks	ɪndˈɛks
kredisi	kredisˈɪ
camiyi	d͡ʒamijˈɪ
juriden	ʒuɾidˈæn
Hague	haɡuˈɛ
eteğinde	etejɪndˈɛ
IB	ˈɯb
boyunduruğu	bojʊnduɾˈʊː
yörüngeden	jœɾønɟedˈæn
mahallinde	mahaɫlɪndˈɛ
indirdiği	ɪndɪrdijˈɪ
kırdığı	kɯrdɯɯˈɯ
hatırlamamaktadır	hatɯrɫamamaktˈadɯr
yaşanmadı	jaʃˈanmadɯ
Enstitü	ænstitˈø
Menendez	menændˈɛz
liderliğinden	lidɛrlijɪndˈæn
Süreklilik	syɾɛklilˈɪk
fedakâr	fedakˈar
hastanelerden	hastanelɛrdˈæn
kenarın	kenaɾˈɯn
dokunuş	dokunˈʊʃ
diplomatik	dɪpɫomatˈɪk
tahliyesine	tahlijesinˈɛ
atomaltı	atomaɫtˈɯ
cezalarına	d͡ʒezaɫaɾɯnˈa
anıldığı	anɯɫdɯɯˈɯ
doğduğunda	doːdʊːndˈa
mağlup	maːɫˈʊp
Camilla	d͡ʒamˈɪlɫa
boylamı	bɔjɫamˈɯ
karşılayamaz	karʃɯɫajamˈaz
hükümlerin	hykømleɾˈɪn
RIAA	rɯaˈa
Anvers	anvˈɛrs
Alonzo	aɫɔnzˈɔ
araçtır	aɾˈat͡ʃtɯr
bakırın	bakɯɾˈɯn
İskenderun	ɪskˈændeɾʊn
Nebraska	nɛbraskˈa
dosyada	dɔsjadˈa
gözlenmesi	ɟœzlænmesˈɪ
kutlamıştır	kʊtɫamˈɯʃtɯr
Gölyaka	ɟœljakˈa
Encümeni	ænd͡ʒymenˈɪ
olduklarından	ɔɫdʊkɫaɾɯndˈan
kaybetmemiş	kajbɛtmemˈɪʃ
çubuğunun	t͡ʃubuːnˈʊn
başlandığında	baʃɫandɯɯɯndˈa
RIP	rˈɯp
yayınladı	jajˈɯnɫadɯ
tartışıyor	tartɯʃˈɯjɔr
şampiyonasının	ʃampijonasɯnˈɯn
Tati	tatˈɪ
Marjorie	marʒoɾiˈɛ
oyuk	ojˈʊk
Guide	ɡuidˈɛ
fareyi	fˈaɾejɪ
fethetti	fɛthetːˈɪ
yaratıyor	jaɾatˈɯjɔr
usûl	usˈʊl
boğulma	boːˈʊɫma
görünümde	ɟœɾˈynømdɛ
söyledikten	sœjledɪktˈæn
pusuya	pusujˈa
verirlerse	veɾɪrlˈɛrsɛ
kırmış	kɯrmˈɯʃ
şampiyonunu	ʃampijonunˈʊ
adaylığı	adajɫɯɯˈɯ
sömürgeleri	sœmørɟeleɾˈɪ
süspansiyonu	søspansijonˈʊ
Linkin	lɪnkˈɪn
Jenna	ʒænnˈa
Juan	ʒuˈan
bulunmadığına	buɫʊnmadɯɯɯnˈa
bileği	bilejˈɪ
senfonik	sænfonˈɪk
Motorun	motoɾˈʊn
Sound	soˈʊnd
Çoğunlukla	t͡ʃoːʊnɫˈʊkɫa
aylarının	ajɫaɾɯnˈɯn
Hype	hjpˈɛ
bazda	bazdˈa
kurgulanmıştır	kʊrɡuɫanmˈɯʃtɯr
olana	oɫanˈa
apartmanın	apˈartmanɯn
birlikten	bɪrlɪktˈæn
terminalinin	tɛrminalinˈɪn
Etkisi	ɛtkisˈɪ
verim	vˈeɾɪm
anlatmaktadır	anɫatmaktˈadɯr
Çetesi	t͡ʃetesˈɪ
Kurumuna	kuɾumunˈa
Sultani	sʊɫtanˈɪ
Bastia	bastiˈa
aygıtının	ajɡɯtɯnˈɯn
öğrenimini	œːɾeniminˈɪ
alındığını	aɫɯndɯɯɯnˈɯ
Round	roˈʊnd
generale	ɟenˈeɾalɛ
atıldı	atɯɫdˈɯ
sözcükler	sœzd͡ʒøklˈɛr
yönetmeyi	jœnˈɛtmejɪ
terapisi	teɾapisˈɪ
film	fˈɪlm
fiyatların	fijatɫaɾˈɯn
Mackay	mad͡ʒkˈaj
işlemde	ɪʃlæmdˈɛ
Bayrampaşa	bajrˈampaʃa
gecen	ɟed͡ʒˈæn
States	statˈɛs
Prodüktörlüğünü	prodøktœrlyːnˈø
iyileşip	ijileʃˈɪp
BDT	bˌedˌɛtˈɛ
BJK	bˌeʒˌɛkˈɛ
subaylarının	subajɫaɾɯnˈɯn
bağlamsal	baːɫamsˈaɫ
Şiirlerini	ʃiɪrleɾinˈɪ
girmelerine	ɟɪrmeleɾinˈɛ
Saim	sˈaɪm
tarzındadır	tarzɯndˈadɯr
perdeye	pɛrdejˈɛ
sınıfın	sɯnɯfˈɯn
Baraj	baɾˈaʒ
kosinüs	kosinˈøs
belirsizdi	belˈɪrsɪzdɪ
dönüşmeye	dœnˈøʃmejɛ
yaratıkları	jaɾatɯkɫaɾˈɯ
Artists	artˈɪsts
sanatlarında	sanatɫaɾɯndˈa
Göksun	ɟœksˈʊn
Oğlunu	oːɫunˈʊ
İtilaf	itiɫˈaf
geçirilmiştir	ɟet͡ʃiɾɪlmˈɪʃtɪr
hipotezin	hipotezˈɪn
Haçı	hat͡ʃˈɯ
inceleme	ɪnd͡ʒˈelemɛ
arayışlarına	aɾajɯʃɫaɾɯnˈa
hakimdi	hˈakɪmdɪ
bulunmadığından	buɫʊnmadɯɯɯndˈan
savunulması	savunʊɫmasˈɯ
Konferansta	kɔnfeɾanstˈa
Matisse	matˈɪssɛ
edilerek	edileɾˈɛk
varıp	vaɾˈɯp
Alfonso	aɫfɔnsˈɔ
şimdiden	ʃɪmdidˈæn
konuşmalarının	konʊʃmaɫaɾɯnˈɯn
Turu	tuɾˈʊ
sponsorları	spɔnsɔrɫaɾˈɯ
Kölelik	kˈœlelɪk
albümünde	aɫbymøndˈɛ
çıkmaması	t͡ʃɯkmamasˈɯ
başkentleri	baʃkæntleɾˈɪ
Gerhard	ɟɛrhˈard
düzenlenmekteydi	dyzænlænmɛktɛjdˈɪ
UCLA	ˈʊd͡ʒɫa
gösterilerde	ɟœsteɾilɛrdˈɛ
evine	evinˈɛ
harflerinin	harfleɾinˈɪn
Bileşik	bileʃˈɪk
Vicdan	vɪd͡ʒdˈan
etkileşim	ɛtkilˈeʃɪm
kuşatmasını	kuʃatmasɯnˈɯ
çıkartılmış	t͡ʃɯkartɯɫmˈɯʃ
geri	ɟeɾˈɪ
ikincisiydi	ikɪnd͡ʒisɪjdˈɪ
uyuyan	ujujˈan
köpeklerde	kœpɛklɛrdˈɛ
Tirol	tiɾˈɔɫ
hastalanınca	hastaɫanɯnd͡ʒˈa
Moğolca	mɔːɫd͡ʒˈa
sözlükte	sœzløktˈɛ
stadyumlarda	stadjʊmɫardˈa
havuzunda	havuzʊndˈa
bahsedilmektedir	bahsedɪlmɛktˈedɪr
işlediği	ɪʃledijˈɪ
eşleşmesi	ɛʃlɛʃmesˈɪ
sınırlamalara	sɯnɯrɫamaɫaɾˈa
öngörülüyordu	œnɟœɾylˈyjɔrdʊ
geçirmeyen	ɟet͡ʃɪrmejˈæn
inanmayan	inanmajˈan
proteinlerinin	proteɪnleɾinˈɪn
Çağı	t͡ʃaːˈɯ
Campo	d͡ʒampˈɔ
siyaseti	sijasetˈɪ
yarışacak	jaɾɯʃad͡ʒˈak
Mescidi	mɛsd͡ʒidˈɪ
Trans	trˈans
Hear	heˈar
seven	sevˈæn
Haberi	habeɾˈɪ
Enki	ænkˈɪ
hakemleri	hakæmleɾˈɪ
Ottoman	otːomˈan
EXPO	ɛkspˈɔ
ülkemizdeki	ølkemɪzdekˈɪ
paylaşıldı	pajɫaʃɯɫdˈɯ
Üniversitede	ynivɛrsitedˈɛ
Eflak	ɛfɫˈak
tuttuğu	tutːˈʊː
taktiğini	taktijinˈɪ
şarapçılık	ʃaɾapt͡ʃɯɫˈɯk
temsil	tæmsˈɪl
teşkilatını	tɛʃkiɫatɯnˈɯ
sadeleştirilmiş	sadelɛʃtiɾɪlmˈɪʃ
Protokolü	protokolˈø
mimarisinin	mimaɾisinˈɪn
Ünye	ønjˈɛ
Australian	aʊstraliˈan
aşkıyla	aʃkˈɯjɫa
belediyenin	beledijenˈɪn
kolye	kɔɫjˈɛ
Bize	bizˈɛ
Sokullu	sokʊɫɫˈʊ
hükümsüz	hykˈømsøz
maddesel	madːesˈæl
sureti	suɾetˈɪ
doğrusunu	doːɾusunˈʊ
tutulum	tutˈuɫʊm
Türkçesine	tørkt͡ʃesinˈɛ
Anlaşmasının	anɫaʃmasɯnˈɯn
Red	rˈɛd
bilmiyordum	bɪlmˈijɔrdʊm
Bahsi	bahsˈɪ
gördüm	ɟœrdˈøm
erimeye	eɾˈimejɛ
yasal	jasˈaɫ
eşleşmeleri	ɛʃlɛʃmeleɾˈɪ
tasarımının	tasaɾɯmɯnˈɯn
beldesine	bældesinˈɛ
çizimleri	t͡ʃizɪmleɾˈɪ
şehri	ʃɛhrˈɪ
membran	mæmbrˈan
desteklenebilir	dɛstɛklenebilˈɪr
Venjix	vænʒˈɪks
lordları	ɫɔrdɫaɾˈɯ
haberciliği	habɛrd͡ʒilijˈɪ
cinayetten	d͡ʒinajetːˈæn
sürüklenir	syɾøklenˈɪr
çevrilmiştir	t͡ʃɛvrɪlmˈɪʃtɪr
Göçmenlerin	ɟœt͡ʃmænleɾˈɪn
bolca	bɔɫd͡ʒˈa
hayvanlarının	hajvanɫaɾɯnˈɯn
çağrılması	t͡ʃaːɾɯɫmasˈɯ
çevirisinin	t͡ʃeviɾisinˈɪn
Portal	pɔrtˈaɫ
arzular	arzuɫˈar
derleme	dˈɛrlemɛ
yaygınlaşmasında	jajɡɯnɫaʃmasɯndˈa
Tıva	tɯvˈa
verilmesinin	veɾɪlmesinˈɪn
sürdürmek	sørdørmˈɛk
doyum	dˈojʊm
belgeye	bælɟejˈɛ
kullanabilen	kʊɫɫanabilˈæn
sınıfı	sɯnɯfˈɯ
üslerine	øsleɾinˈɛ
keçisinin	ket͡ʃisinˈɪn
Gerçeklik	ɟɛrt͡ʃɛklˈɪk
götürüldüğü	ɟœtyɾøldˈøː
Romanya	romanjˈa
bağlamaya	baːɫˈamaja
konumundaki	konumʊndakˈɪ
köknar	kœknˈar
yanılsama	janˈɯɫsama
ziyaretçinin	zijaɾɛtt͡ʃinˈɪn
satırın	satɯɾˈɯn
söylenmesi	sœjlænmesˈɪ
güzelliğe	ɟyzællijˈɛ
polarizasyonu	poɫaɾizasjonˈʊ
Pioneer	pioneˈɛr
Savaşının	savaʃɯnˈɯn
hücrelerine	hød͡ʒreleɾinˈɛ
seçilim	set͡ʃˈilɪm
beliren	beliɾˈæn
faydalanmıştır	fajdaɫanmˈɯʃtɯr
arkadaşın	arkadaʃˈɯn
dönüşür	dœnyʃˈør
Balkanlardaki	baɫkanɫardakˈɪ
etkiliyor	ɛtkilˈijɔr
mantarın	mantaɾˈɯn
kıtlığın	kɯtɫɯɯˈɯn
kazandırmıştır	kazandɯrmˈɯʃtɯr
hadronların	hadrɔnɫaɾˈɯn
repertuvar	repɛrtuvˈar
Clara	d͡ʒɫaɾˈa
kutuya	kutujˈa
birer	biɾˈɛr
saatleri	saatleɾˈɪ
saygıdeğer	sajɡɯdejˈɛr
sistemlerini	sɪstæmleɾinˈɪ
görevinden	ɟœɾevɪndˈæn
gösterilmekte	ɟœsteɾɪlmɛktˈɛ
kolluk	kɔɫɫˈʊk
Kumaş	kumˈaʃ
Hold	hˈɔɫd
Üretici	yɾetid͡ʒˈɪ
belirler	belɪrlˈɛr
kurtuluşundan	kʊrtuɫuʃʊndˈan
etkilenmemiştir	ɛtkilænmemˈɪʃtɪr
kanamalar	kanˈamaɫar
parasını	paɾasɯnˈɯ
özetlenebilir	œzɛtlenebilˈɪr
uygulanmış	ʊjɡuɫanmˈɯʃ
peşpeşe	pɛʃpeʃˈɛ
Ran	rˈan
Garner	ɡarnˈɛr
kovalar	kovaɫˈar
konseptin	kɔnsɛptˈɪn
artırmıştır	artɯrmˈɯʃtɯr
Olgu	ɔɫɡˈʊ
Kaçış	kat͡ʃˈɯʃ
sıralamıştır	sɯɾaɫamˈɯʃtɯr
aya	ajˈa
CONMEBOL	d͡ʒɔnmebˈɔɫ
karışıklık	kaɾɯʃɯkɫˈɯk
Hue	huˈɛ
hâlinde	halɪndˈɛ
hektara	hɛktaɾˈa
edinerek	edineɾˈɛk
denerler	denɛrlˈɛr
anıtlarından	anɯtɫaɾɯndˈan
yetiştirilebilir	jetɪʃtiɾilebilˈɪr
hikayeleri	hikajeleɾˈɪ
vade	vadˈɛ
motorların	motɔrɫaɾˈɯn
kurtarıldı	kʊrtaɾɯɫdˈɯ
sitelerde	sitelɛrdˈɛ
Rochester	rɔd͡ʒhɛstˈɛr
salonunda	saɫonʊndˈa
Granger	ɡranɟˈɛr
senaryoyu	senarjojˈʊ
isyanlarını	ɪsjanɫaɾɯnˈɯ
örneklerinden	œrnɛkleɾɪndˈæn
zigot	ziɡˈɔt
Biden	bidˈæn
yardımının	jardɯmɯnˈɯn
başlatıldı	baʃɫatɯɫdˈɯ
kızıl	kɯzˈɯɫ
enerjiden	enɛrʒidˈæn
zarar	zaɾˈar
izlenir	ɪzlenˈɪr
hazinesini	hazinesinˈɪ
ilminde	ɪlmɪndˈɛ
Te	tɛ
taşıyıcıların	taʃɯjɯd͡ʒɯɫaɾˈɯn
yarasaların	jaɾasaɫaɾˈɯn
etmektir	ɛtmˈɛktɪr
ömrüne	œmrynˈɛ
Başlangıç	baʃɫanɡˈɯt͡ʃ
sporculara	spɔrd͡ʒuɫaɾˈa
gösterirse	ɟœsteɾˈɪrsɛ
büyütülen	byjytylˈæn
uçurumun	ut͡ʃˈuɾumʊn
riskler	rɪsklˈɛr
anlatılır	anɫatɯɫˈɯr
incelemesine	ɪnd͡ʒelemesinˈɛ
