flodau	vloːdai̯
deyrnas	dei̯rnas
cysgu	kəsɡi
carest	kaːrɛsd
digoni	dɪɡɔni
asesiadau	asɛʃaːdai̯
adwaenoch	adwei̯nɔχ
hirddydd	hɪrðɪð
bleiddiau	blei̯ðjɛ
lyfrau	ləvrɛ
magnelau	maɡnɛlɛ
gwael	ɡwai̯l
awyrgylch	au̯ərɡɪlχ
beidio	beidjɔ
iseldiraidd	ɪsɛldɪrɛð
lleianaidd	ɬei̯aːnai̯ð
cyfrifeg	kəvrɪvɛɡ
caledu	kaleːdi
camau	kamai̯
fwyaf	vʊi̯av
rhywsut	rɪu̯sɪt
tawe	tau̯ɛ
adlefau	adlɛvai̯
ca	kaː
paroted	parɔtɛd
arolygiaethau	arɔləɡjei̯θai̯
jac a'i wagen	d͡ʒakai̯waːɡɛn
cyfranddeiliaid	kəvranðei̯ljai̯d
bonheddig	bɔnheːðɪɡ
garet	ɡaːrɛt
adfeddiannu	advɛðjani
adnabod	adnabɔd
menyw	meːnɪu̯
agora	aɡɔra
treisiol	trei̯ʃɔl
cynhenna	kənhɛna
rheoliaduron	r̥ɛɔljadiːrɔn
baned	banɛd
gyrraedd	ɡərai̯ð
pigan	piːɡan
tîm	tiːm
nhyn	n̥ɪn
cwblhau	kʊblhai̯
corhwyaden	kɔrhʊi̯aːdɛn
portiwgal	pɔrtjʊɡal
gwreiddiadur	ɡwrɛi̯ðjadɪr
rydw	rədʊ
aradr	arad
nodi	noːdi
pwyll	pʊi̯ɬ
hechrydus	hɛχrədɪs
wyau	ʊi̯ai̯
nghymedrolwr	ŋ̊əmɛdrɔlʊr
glanaf	ɡlaːnav
sylfaen	səlvai̯n
animeiddiad	anɪmei̯ðjad
cochyn	kɔχɪn
mochyn daear	moːχɪndei̯ar
affwysol	afʊi̯sɔl
anrhydeddu	anrədeːði
anghydwelediad	aŋhɪdwɛlɛdjad
gylchgrawn	ɡəlχɡrau̯n
tyllau	təɬɛ
dau ar hugain	dai̯arhɪɡɛn
nhywyll	n̥əʊi̯ɬ
darlledu	darɬɛdi
eisoes	ei̯ʃɔi̯s
telynor	tɛlənɔr
degau	deːɡɛ
charet	χaːrɛt
pasio	paʃɔ
cyhydnos yr hydref	kəhədnɔsərhədrɛ
blaen	blaːn
clefyd	kleːvɪd
rhyfela	r̥əveːla
cyfodi	kəvɔdi
urddau	ɪrðɛ
hi	hiː
eirinen wlanog	ei̯riːnɛŋwlaːnɔɡ
chwythu	χwəθi
diddorol	dɪðoːrɔl
modd	moːð
gwylio	ɡʊi̯ljɔ
dynion	dənɔn
nghenhinen	ŋ̊ɛnhɪnɛn
ffraeo	friɔ
ngroeg	ŋrɔi̯ɡ
llysieuyn	ɬəsjei̯ɪn
bi	biː
cydymdeimlad	kiːdəmdei̯mlad
brochod	broːχɔd
chlywed	χlɪu̯ɛd
glybiau	ɡləbjɛ
canais	kaːnɛs
canmoliaeth	kanmɔljai̯θ
mewnforiadwy	mɛu̯nvɔrjadʊi̯
mynedadwy	mənɛdaːdʊi̯
cyrchu	kərχi
taw	tə
theulu	θiːli
safle	savlɛ
recordio	rɛkɔrdjɔ
sgileffaith	sɡiːlɛfɛθ
trolïau	trɔliai̯
ffugenw	fɪɡeːnu
gyfoethog	ɡəvɔi̯θɔɡ
chlyw	χlɪu̯
eilir	ei̯lɪr
llafar	ɬavar
dw i'n meddwl	duiːnmɛðʊl
geiriau	ɡiːrɛ
ar daith	ardai̯θ
wddf	ʊðu
dair	dai̯r
tro	troː
ysgrifennu	əsɡrɪvɛni
gwen	ɡwɛn
peintio	pei̯ntjɔ
iwerddoneg	ɪu̯ɛrðɔnɛɡ
ocsigenu	ɔksɪɡɛni
dant	dant
'r	r
cyfrinach	kəvriːnaχ
diod	diːɔd
gormod	ɡɔrmɔd
ges	ɡeːs
pellweledydd	pɛɬwɛlɛdɪð
bengwin	bɛŋɡwɪn
eirinen ysgaw	ei̯rɪnɛnəsɡau̯
ffonau	foːnai̯
gwladfeydd	ɡwladvei̯ð
hangharad	haŋhaːrad
ddwywaith	ðʊi̯wɛθ
ŵyr	ʊi̯r
cofbin	kɔvbɪn
bei	bei
trueni	triɛni
gwyliedydd	ɡwɪljeːdɪð
llong	ɬɔŋ
cydweithredu	kiːdwei̯θrɛdi
flwyddi	vlʊi̯ði
myned	mənɛd
cyffwrdd	kəfʊrð
haddo	haðɔ
gweled	ɡwɛlɛd
cydwelediad	kɪdwɛlɛdjad
selotep	sɛlɔtɛp
caled	kaːlɛd
loyw	lɔi̯u
fenyn	vɛnɪn
huawdl	hiːau̯dl
cyswllt	kəsʊɬd
fedi	veːdi
twrch	tʊrχ
wele	weːlɛ
atebaf	atɛbav
pin	pɪn
phiws	fɪu̯s
choginio	χɔɡɪnjɔ
nid wrth ei big y mae mesur cyffylog	nɪdʊrθei̯biːɡəmai̯mɛsɪrkəfəlɔɡ
garan	ɡaran
calchfaen	kalχvai̯n
cymryd	kəmrɪd
claf	klaːv
hugain	hiːɡɛn
trybedd	trəbɛð
bag	baɡ
aeth	ai̯θ
gesyd	ɡɛsɪd
letys	lɛtɪs
cyfranddeiliad	kəvranðei̯ljad
ager	aːɡɛr
chwinciad	χwɪŋkjad
pery	peːri
aethid	ei̯θɪd
tanau gwyllt	tanai̯ɡwɪɬd
geni	ɡeːni
hiasoer	hjasɔi̯r
tywod	təu̯ɔd
bondigrybwyll	bɔndɪɡrəbʊi̯ɬ
ach	aχ
cwbl	kuːbʊl
symiau	səmjai̯
chorff	χɔrf
gweddïau	ɡwɛðiːɛ
gefell	ɡeːvɛɬ
serch	sɛrχ
elciaid	ɛlkjai̯d
aethwn	ei̯θʊn
ddangos	ðaŋɡɔs
gyngor	ɡəŋɔr
ymrysonwyr	əmrəsɔnwɪr
ebargofiant	ɛbarɡɔvjant
cysylltiad	kəsəɬdjad
digwyddiad	dɪɡʊi̯ðjad
llechi	ɬeːχi
gwan	ɡwan
hugain	hɪɡɛn
ydw	ədu
carai	karai̯
dryw	drɪu̯
aweddwr	au̯ɛðʊr
nharianau	n̥arjanai̯
siwmper	ʃʊmpɛr
cartre	kartrɛ
llamhidog	ɬamhiːdɔɡ
ogof	ɔɡɔv
rhiffio	r̥ɪfjɔ
achosi	aχɔsi
tyr	tɪr
anghyflogaeth	aŋhəvlɔɡɛθ
wybod	ʊbɔd
byliau	bəljɛ
beirniadaeth	bei̯rnjaːdɛθ
arweinyddion	arwei̯nəðjɔn
streiciau	sdrei̯kjɛ
agos	aːɡɔs
apêl	apeːl
gweriniaeth	ɡwɛrɪnjɛθ
mwyaf	mʊi̯av
santes	santɛs
cyfyd	kəvɪd
troan	trɔan
ysgrifbin	əsɡrɪvbɪn
rhynionyn	r̥ənjoːnɪn
chwarae	χwaːrai̯
meddwl	mɛðʊl
glanhau	ɡlanhai̯
sodlau uchel	sɔdlɛɪχɛl
adanedd	adanɛð
synio	sənjɔ
elain	eːlai̯n
ngŵr	ŋuːr
llyfn	ɬɪvn
pabydd	paːbɪð
nhudalen	n̥ɪdaːlɛn
treigladau	treiɡlaːdai̯
gellid	ɡɛɬid
adlefau	adleːvai̯
angen	aŋɛn
gweinydd	ɡwei̯nɪð
tadau	taːdɛ
rhwystredigaethau	r̥ʊi̯sdrɛdɪɡei̯θai̯
chynhadledd	χənhadlɛð
foes	vɔi̯s
adlynol	adlənɔl
ffwrcho	fʊrχɔ
goleuadau	ɡɔlei̯adɛ
mamoth	mamɔθ
tafodiaith	tavɔdjai̯θ
dafarnwr	davarnʊr
drysgoed	drəsɡɔi̯d
gwyrddion	ɡwərðjɔn
rydw	rədu
cerir	kɛrɪr
modrwy	mɔdrʊi̯
cais	kai̯s
albanau	albaːnɛ
wres	wreːs
anfanteision	anvantei̯ʃɔn
wydraid	wədrai̯d
torchau	tɔrχɛ
try	triː
o dan	ɔdan
dwrgi	dʊrɡi
llafariaid	ɬavarjai̯d
gwyneira	ɡwɪnei̯ra
dyfarniadau	dəvarnjadai̯
digon	diːɡɔn
torrid	tɔrɪd
tenau	tɛnɛ
mathau	maθai̯
teyrnged	tei̯rnɡɛd
eog	eːɔɡ
wedi	weːdi
cyntaf	kəntav
afiach	avjaχ
taliadau	taljaːdɛ
trydanwr	trədanʊr
llythyr	ɬəθɪr
ngwybodaeth	ŋwəbɔdɛθ
rheiddyn	r̥ei̯ðin
madfall ddŵr	madvaɬðuːr
gwasgaru	ɡwasɡaːri
ngherddoriaeth	ŋ̊ɛrðɔrjɛθ
ddeuddeg	ðei̯ðɛɡ
hafren	havrɛn
conglfaen	kɔŋlvai̯n
achub	aːχɪb
gwelais	ɡwɛlai̯s
deyrnaddoliant	dei̯rnaðɔljant
anafu	anavi
llusg	ɬɪsɡ
cyfeirio	kəvei̯rjɔ
anghymdeithasol	aŋhəmdei̯θasɔl
gerais	ɡɛrai̯s
chwilio	χwɪljɔ
caerwrangon	kai̯rwraŋɔn
dihuno	dɪhiːnɔ
pethau	pɛθɛ
mam	mam
dydd iau	diːðjai̯
dangos	daŋɡɔs
cathod	kaθɔd
dacluso	daklɪsɔ
gŵyth	ɡʊi̯θ
dros dro	droːsdroː
nathlu	naθli
rhentwyr	r̥ɛntwɪr
tybed	təbɛd
mhigwrn	m̥iːɡʊrn
gartref	ɡətrɛ
gwlana	ɡwlaːna
ngwely	ŋweːli
caret	karɛt
iasau	jasɛ
elc	ɛlk
taflu	tavli
uniongyrchol	ɪnjɔŋɡərχɔl
siwrnai	ʃʊrnɛ
pleth	pleːθ
ymlaen	əmlaːn
teithio	tei̯θjɔ
alban hyfed	albanhəvɛd
fflworin	fluːɔrɪn
ar agor	araːɡɔr
gwerddon	ɡwɛrðɔn
chwedl	ʍɛdɛl
cen coed	kɛnkoːd
ddyn	ðiːn
seiclo	sei̯klɔ
gweryd	ɡwɛrɪd
helwr	heːlʊr
cyfan	kəvan
stwrsiwn	sdʊrʃʊn
dychryniadau	dəχrənjadai̯
nos sadwrn	nɔsadʊrn
diogel	dɪɔɡɛl
cont	kɔnt
taranau	taranɛ
prydain	prədai̯n
ehöeg	ɛhoːɛɡ
cachgwn bwm	kaχɡʊmbʊm
trwyddedau	trʊi̯ðeːdai̯
magnelau	maɡnɛlai̯
gwyryf	ɡwɪrɪv
gwlad belg	ɡwlaːdbɛlɡ
deigrod	dei̯ɡrɔd
ddadlwytho	ðadlʊi̯θɔ
tri ar hugain	triːarhɪɡai̯n
honno	hɔnɔ
profiad	prɔvjad
wybodaeth	wəboːdai̯θ
cilydd	kiːlɪð
gwydr	ɡwɪdr
gwir	ɡwiːr
henffordd	hɛnfɔrð
adferiadau	advɛrjadɛ
cyfareddol	kəvarɛðɔl
nglanaf	ŋlaːna
pilen	piːlɛn
allant	aɬant
ngwres	ŋwreːs
motél	mɔtɛl
gwahardd	ɡwaharð
amcan	amkan
cofnodi	kɔvnɔdi
pharotach	farɔtaχ
tewyn	tɛu̯ɪn
rheoliadau	r̥ɛɔljadai̯
asesiadau	asɛsjadai̯
ni	niː
meddu	meːði
academïau	akadɛmiːai̯
losin	lɔʃɪn
dweud	dwei̯d
unais	ɪnai̯s
cwsmeriaid	kʊsmɛrjai̯d
trôi	troːi̯
cheri	χeːri
cherdded	χɛrðɛd
cwerylwyr	kwɛrəlwɪr
bwrw	bʊru
arestio	arɛstjɔ
tros	trɔs
plismon	plismɔn
unrhyw	ɪnr̥ɪu̯
corffluniwr	kɔrflɪnjʊr
unigol	ɪnɪɡɔl
sychin	səχɪn
gweinyddiadau	ɡwei̯nəðjaːdai̯
ngwychach	ŋwəχaχ
corhwyaid	kɔrhʊi̯ai̯d
hiach	hjaːχ
agoraf	aɡoːra
cynaeafu	knei̯avi
ngoleuadau	ŋɔliaːdɛ
elwa	ɛlwa
chwyrnaf	χwərnav
parot	paːrɔt
swistir	əswɪsdɪr
dueg	diːɛɡ
ddelw	ðɛlu
traed	trai̯d
hunllef	hɪnɬɛ
ngwybodaeth	ŋwəboːdai̯θ
ar bwys	arbʊi̯s
dalfa	dalva
teimlo	tʊmlɔ
symudol	səmɪdɔl
llafariaid thematig	ɬavarjai̯dθɛmatɪɡ
ddannoedd	ðanɔð
ymladdgar	əmlaðɡar
mol	mɔl
nos sadwrn	nɔsadʊn
celet	kɛlɛt
mapiau	mapjai̯
adargwn	adarɡʊn
sillgoll	sɪɬɡɔɬ
bychan	bəχan
adferaf	advɛrav
anfonaf	anvoːnav
treisiwr	trei̯sjʊr
charan	χaran
metelegwr	mɛtɛlɛɡʊr
wybodaeth	ʊi̯bɔdai̯θ
fathemateg	vaθɛmatɛɡ
gythraul	ɡəθrai̯l
pandemigau	pandɛmɪɡɛ
bychod	bəχɔd
gwregys llaethol	əɡwrɛɡɪsɬei̯θɔl
mwy	mʊi̯
gwahaniaeth	ɡwənjɛθ
wyneb	wɪnɛb
thelyn	θɛlɪn
neu	nɛ
gwenynen wyllt	ɡwenənɛŋwɪɬd
agor	aɡɔr
gaches	ɡaχɛs
celwydd	kɛlwɪð
toiled	tɔi̯lɛd
ymbarél	əmbarɛl
gweplyfr	ɡwɛplɪvr
gegin	ɡeːɡɪn
cyfryngi	kəvrəŋi
uchel	əχɛl
gweithiwr	ɡwiːθʊr
amhenodol	amhɛnɔdɔl
rod	roːd
hunllef	hɪnɬɛv
phedol	feːdɔl
cyfrifiad	kəvrɪvjad
swnllyd	sʊnɬɪd
hafodau	havɔdɛ
campfa	kampva
pen y fan	pɛnəvan
cref	kreːv
ffrwyth	frʊi̯θ
chwi	χwiː
mhastai	m̥asdai̯
berw	beːru
ymladd	əmlað
regen	rɛɡɛn
nitrogen	nɪtrɔɡɛn
throes	θrɔi̯s
aetsh	ai̯tʃ
anafa	anaːva
carom	kaːrɔm
hynny	həni
berf	bɛrv
treigladau	treiɡlaːdɛ
crac	krak
aildrefnu	ai̯ldrevni
helynt	hɛlɪnt
tanwydd	tanwɪð
mhencampwyr	m̥ɛŋkampwɪr
cynaniad	kənanjad
mêt	meːt
pwll	pʊɬ
llyn	ɬɪn
rhacs	r̥aks
ticio	tɪkɔ
cei	kei̯
syndodau	səndoːdai̯
isel	iːʃɛl
griliau	ɡrɪljai̯
troes	trɔi̯s
eraill	ɛrai̯ɬ
fys	viːs
anawsterau	anau̯sdeːrai̯
ysaf	əsav
achyddiaeth	aχəðjɛθ
cleren	kleːrɛn
tywyll	təʊi̯ɬ
hwn	hʊn
cynnau	kənai̯
ysguthan	əsɡɪθan
tonnau	tɔnai̯
menig	meːnɪɡ
regi	rɛɡi
hamerica	hamɛrɪka
gwrthiselydd	ɡʊrθɪseːlɪð
babi	baːbi
cachais	kaːχai̯s
teithio	tei̯θɔ
pasg	pasɡ
cynnig	kənɪɡ
sêr llong	seːrɬɔŋ
parcio	parkjɔ
gefn	ɡɛvɛn
mhethau	m̥eːθɛ
prysur	prəsɪr
ameba	amɛba
arolygiadau	arɔləɡjaːdai̯
fynyddoedd	vənəðɛ
ngwŷr	ŋwiːr
tomatos	tɔmatɔz
adain	adai̯n
clefyd y sul	kleːvɪdəsiːl
ynn	ɪn
dilyn	diːlɪn
argraff	arɡraf
anghywir	aŋhəu̯ɪr
coegog	kɔi̯ɡɔɡ
gwychach	ɡwəχaχ
fforc	fɔrk
eir	ei̯r
brecsit	brɛksɪt
allfudo	aɬvɪdɔ
â	a
gefn	ɡeːvɛn
hyrddod	hərðɔd
llychlyn	ɬəχlɪn
theyrnas	θei̯rnas
achos	χɔs
tewed	tɛu̯ɛd
anodd	anɔð
chwiorydd	ʍiɔrɪð
cydweithiwr	kɪdwei̯θjʊr
cwest	kwɛsd
dyfarniadau	dəvarnjaːdɛ
canlyniad	kanlənjad
genwair	ɡɛnwai̯r
dry	driː
mawr	mau̯r
cadlas	kadlas
norwy	nɔrʊi̯
thegan	θɛɡan
cathau	kaθai̯
sashimi	saʃɪmi
eiliadau	ei̯ljaːdɛ
pandemigau	pandɛmiːɡai̯
nghrwth	ŋ̊ruːθ
nharian	n̥arjan
golli	ɡɔɬi
cyfarthiadau	kəvarθjaːdai̯
chwith	wiːθ
ffyrnau	fərnai̯
gorfodog	ɡɔrvɔdɔɡ
ffrwchnedden	frʊχneːɛn
abladol	ablaːdɔl
mhabell	m̥abɛɬ
pesto	pɛsdɔ
gweles	ɡweːlɛs
gwrw	ɡʊru
berfenw	bɛrveːnu
rheoli	r̥ɛoːli
olau	ɔlɛ
arth fwyaf	arθvʊi̯a
dreisiwr	drei̯ʃʊr
mleiddiaid	mlei̯ðjai̯d
oddeutu	ɔðei̯ti
ddechrau	ðɛχrai̯
moliannau	mɔljanɛ
gyddfau	ɡəðvɛ
defnyddiwr	dɛvnəðjʊr
thudalen	θɪdaːlɛn
canen	kaːnɛn
neuddegfed	nei̯ðɛɡvɛd
brwydrwr	brʊi̯drʊr
harbwr	harbʊr
est	ɛsd
nghymaint	ŋ̊ɪmɛnt
lechi	leːχi
gwrthwynebu	ɡʊrθwɪneːbi
cheri	χɛri
rheolau	r̥ɛɔlai̯
chwpan	χʊpan
adargraffiadau	adarɡrafjaːdai̯
anodded	anɔðɛd
ffoniaf	fɔnjav
anghlodwiw	aŋhlɔdwɪu̯
gwobrau	ɡwɔbrɛ
mhethau	m̥ɛθɛ
alban	alban
lundain	lɪndɛn
ceiniog	kei̯nɔɡ
gwddf	ɡʊðv
rhaith	r̥ai̯θ
hwntws	hʊntuz
buwch	bɪu̯χ
nghroes	ŋ̊roːs
hen	heːn
glawio	ɡlau̯jɔ
plentyn	plɛntɪn
os	ɔs
bedw	bɛdu
garest	ɡarɛst
ach	aːχ
taranau	taraːnɛ
animeiddiadau	anɪmei̯ðjjaːdɛ
mewnfudo	mɛu̯nviːdɔ
daliadaeth	daljadai̯θ
plu eira	pliːei̯ra
cywyddau	kəwəðai̯
nglased	ŋlasɛd
helyntoedd	hɛləntɔi̯ð
cymaint	kəmɛnt
pymtheg	pəmθɛɡ
ymwneud	əmnei̯d
galli	ɡaɬi
difetha	dɪvɛθa
nheisen	n̥ei̯sɛn
cael	kaːl
cymorth	kəmɔrθ
piso	pɪsɔ
nai	nai̯
bermo	əbɛrmɔ
cathau	kaθɛ
chant	χant
adardy	adardi
wreiddiol	wrei̯ðjɔl
