aktsom	ˈɑktsɔm
rettferdig	ˈɾɛtfæɖɪ
improvisere	ɪmpɾʊʋɪˈseːɾə
hyggeligst	ˈhʏgəlɪkst
trave	ˈtɾɑːʋə
fortøye	fɔˈʈœjə
underskrift	ʉnəʂkɾɪft
begeistret	bɛˈgæɪstɾət
begrep	bəˈgɾeːp
forgifte	fɔɾˈjɪftə
ta hensyn til	tɑːhɛnsyːntɪl
rekonstruere	ɾɛkʊnstɾʉˈeːɾə
kurv	kʉɾʋ
kirkegård	çɪɾkəgoːɾ
pinlige	ˈpiːnlɪə
peke	ˈpeːkə
knudrete	ˈknʉdɾətə
ledigst	ˈleːdɪkst
unne	ˈʉnə
ettersøke	ˈɛtəʂøːkə
septer	ˈsɛptəɾ
dimme	ˈdɪmə
eller	ˈɛləɾ
hemmeligholde	ˈhɛməlɪhɔlə
meny	mɛˈnyː
selvbetjening	sɛlbɛtjeːnɪŋ
klebe	ˈkleːbə
louis	ˈlʉːɪs
vennskapeligst	ʋənˈskɑːpəlɪkst
uhelbredeligere	ʉːhəlˈbɾeːdəlɪɾə
umuligere	ʉˈmʉːlɪɾə
tilbakeholden	tɪlˈbɑːkəhɔlən
konfigurere	kʊnfɪgʉˈɾeːɾə
kylling	çʏlɪŋ
forbrenne	fɔɾˈbɾɛnə
musling	mʉʂɭɪŋ
saftige	ˈsɑftɪə
fuske	ˈfʉskə
glatt	glɑt
tære	ˈtæːɾə
nestsiste	ˈnɛstsɪstə
programmere	pɾʊgɾɑˈmeːɾə
hånligere	ˈhoːnlɪɾə
være	ˈʋæːɾə
sytti	ˈsʏti,ˈsœtɪ
drille	ˈdɾɪlə
olympisk	ʊˈlʏmpɪsk
bestride	bəˈstɾiːdə
brer	bɾeːɾ
yppigere	ˈʏpɪɾə
medgjørlige	mədˈjøːɭɪə
barbarisk	bɑɾˈbɑːɾɪsk
tinge	ˈtɪŋə
lake	ˈlɑːkə
gjennomsiktigere	ˈjɛnɔmsɪktɪɾə
bone	ˈbuːnə
enkeltstående	ˈɛŋkəltstoːənə
famle	ˈfɑmlə
personlig	pæˈʂuːnlɪ
motsi	ˈmuːtsiː
gyselige	ˈjyːsəlɪə
akutt	ɑˈkʉt
typisk	ˈtyːpɪsk
vanskjøtte	ˈʋɑːnʂœtə
overnaturligste	ˈoːʋəɳɑtʉːɭɪkstə
hevngjerrige	ˈhɛʋnjæɾɪə
parat	pɑˈɾɑːt
håpe	ˈhoːpə
egyptisk	ɛˈgʏptɪsk
lettmelk	lɛtmɛlk,lɛtmjœlk
gresselige	ˈgɾɛsəlɪə
naknest	ˈnɑːknəst
hengslete	ˈhɛŋʂɭətə
overnaturlige	ˈoːʋəɳɑtʉːɭɪə
skjellsettende	ˈʂɛlsɛtənə
verk	ʋæɾk
importere	ɪmpɔˈʈeːɾə
iblant	ɪˈblɑnt
tildele	ˈtɪldeːlə
vokslys	ˈʋɔkslyːs
selskap	ˈsɛlskɑːp
vitne	ˈʋɪtnə
sitteplass	sɪtəplɑs
smørbrød	ˈsmœɾbɾøː
halvår	ˈhɑloːɾ
passeligste	ˈpɑsəlɪkstə
utstilling	ˈʉːtstɪlɪŋ
kredittkort	kɾɛˈdɪtkɔʈ
refusere	ɾəfʉˈseːɾə
vake	ˈʋɑːkə
ønskelige	ˈœnskəlɪə
solkrem	suːlkɾeːm
fiffige	ˈfɪfɪə
middelmådigste	ˈmɪdəlmoːdɪkstə
fiendtligere	ˈfiːəntlɪɾə
blunke	ˈblʊŋkə
bart	bɑʈ
vimsete	ˈʋɪmsətə
pære	pæːɾə
tjue	çʉːə
fjell	fjæl
bedageligere	bəˈdɑːgəlɪɾə
kvinneligste	ˈkʋɪnəlɪkstə
uunnværlig	ʉːʉnˈʋæːɭɪ
kupé for ikke-røkere	kʉˈpeːfɔɾɪkəɾøːkəɾə
fostre	ˈfʊstɾə
titte	ˈtɪtə
dementere	dəmɑŋˈteːɾə
unøyaktig	ˈʉːnœjɑktɪ
slynge	ˈʂɭʏŋə
te	teː
tyst	tʏst
astronomisk	ɑstɾʊˈnuːmɪsk
tro	tɾuː
gjengjelde	ˈjɛnjɛlə
fiktiv	fɪkˈtiːʋ
behøve	bəˈhøːʋə
kjødelige	ˈçøːdəlɪə
svekke	ˈsʋɛkə
delaktigere	deːlˈɑktɪɾə
fryde	ˈfɾyːdə
dyster	ˈdʏstəɾ
hissig	ˈhɪsɪ
behørigst	bəˈhøːɾɪkst
egenhendigst	ˈeːgənhɛnɪkst
ofte	ɔftə
lage	ˈlɑːgə
livligst	ˈlɪʋlɪkst
spøk	spøːk
mannsterk	ˈmɑnstæɾk
mangesidigste	ˈmɑŋəsiːdɪkstə
reflektere	ɾəfləkˈteːɾə
serv	ʂæɾʋ
offentlige	ˈɔfəntlɪə
slumre	ˈʂɭʉmɾə
utdødd	ˈʉːtdœd
krass	kɾɑs
bølge	ˈbœlgə
slutt	ʂɭʉt
utenlandssamtale	ʉːtənlɑnsɑmtɑːlə
kyle	ˈçyːlə
uhåndterligste	ˈʉːhɔnteːɭɪkstə
havfrue	ˈhɑːʋfɾʉːə
tilstrekkelig	tɪlˈstɾɛkəlɪ
ustadige	ˈʉːstɑːdɪə
grått	gɾɔt
bygd	bʏgd
tenåring	ˈtɛnoːɾɪŋ
bekkener	ˈbɛknəɾ
hissigst	ˈhɪsɪkst
svi	sʋiː
telefonieren	tɛlɛfɔˈniːɾən
blodtype	bluːtyːpə
labb	lɑb
korrekt	kʊˈɾɛkt
forresten	fɔˈɾɛstən
apokalyptisk	ɑpʊkɑˈlʏptɪsk
framover	ˈfɾɑmoːʋəɾ
innbytter	ˈɪmbʏtəɾ
blære	ˈblæːɾə
terrorisere	tæɾʊɾɪˈseːɾə
naknere	ˈnɑːknəɾə
blåfrossen	ˈbloːfɾɔsən
misunnelse	mɪˈsʉnəlsə
drepe	ˈdɾeːpə
arbeide	ɑɾˈbæɪdə
undervannskamera	ˈʉnəɾʋɑnskɑmeːɾɑ
dyktigst	ˈdʏktɪkst
beskatte	bəˈskɑtə
pålitelig	pɔˈliːtlɪ
omkring	ɔmˈkɾɪŋ
hes	heːs
fullstendigst	fʉlˈstɛnɪkst
utførligere	ʉːtˈføːɭɪɾə
skremme	ˈskɾɛmə
tyrannisere	tʏɾɑnɪˈseːɾə
interrail	ˈɪntəɾæɪl
feilaktigst	fæɪlˈɑktɪkst
grave	ˈgɾɑːʋə
stimulere	stɪmʉˈleːɾə
riktigste	ˈɾɪktɪkstə
fomle	ˈfʊmlə
camping	ˈkæmpɪŋ
sjuskete	ˈʂʉskətə
spinkel	ˈspɪŋkəl
i stedet for	ɪˈsteːdəfɔɾ
uleseligst	ʉˈleːsəlɪkst
gæren	ˈgæːæɳ
blomster	ˈblɔmstəɾ
sterilisere	stæɾɪlɪˈseːɾə
gape	ˈgɑːpə
hyle	ˈhyːlə
oversiktlig	ˈoːʋəʂɪktlɪ
bilde	ˈbɪldə
romslig	ˈɾʊmʂɭɪ
pause	pæʉsə
trafikkere	tɾɑfɪˈkeːɾə
champagne	ʂɑmˈpɑnjə
lidenskapeligst	lɪdənˈskɑːpəlɪkst
slekte	ˈʂɭɛktə
skrangle	ˈskɾɑŋlə
kaldblodige	ˈkɑlbluːdɪə
slående	ˈʂɭoːənə
forhekse	fɔɾˈhɛksə
skøye	ˈskœjə
kritisk	ˈkɾiːtɪsk
tvinne	ˈtʋɪnə
orientere	ɔɾɪənˈteːɾə
medskyldigste	ˈmeːdʂʏldɪkstə
overkjøre	ˈoːʋəɾçøːɾə
pertentligst	pæˈʈɛntlɪkst
rettferdigste	ˈɾɛtfæɖɪkstə
signe	ˈsɪŋnə
syne	syːn
imponere	ɪmpʊˈneːɾə
intern	ɪnˈtæːɳ
krone	ˈkɾuːnə
drøye	ˈdɾœjə
underdanig	ʉnəˈɖɑːnɪ
refleksiv	ˈɾɛfləksiːʋ
undertrøye	ʉnəʈɾœjə
speil	spæɪl
datere	dɑˈteːɾə
godhjerta	ˈguːjæʈɑ
kompakt	kʊmˈpɑkt
rikeligst	ˈɾiːkəlɪkst
ærligste	ˈæɭɪkstə
erkjenne	æɾˈçɛnə
konveks	kɔnˈʋɛks
karaffel	kɑˈɾɑfəl
lernen	ˈlɛɳən
reaksjon	ɾəɑkˈʂuːn
forbanne	fɔɾˈbɑnə,fɔˈbɑnə
trussel	ˈtəɾʉsəl
påske	ˈpoːskə
hyggelig	ˈhʏgəlɪ
sarkastisk	sɑɾˈkɑstɪsk
utvetydige	ˈʉːtʋɛtyːdɪə
trakassere	tɾɑkɑˈseːɾə
ledig	ˈleːdɪ
befordre	bəˈfɔɖɾə
øke	ˈøːkə
tilbøyelige	tɪlˈbœjəlɪə
ynkeligere	ˈʏŋkəlɪɾə
kjeve	ˈçeːʋə
alter	ɑltəɾ
glede seg til	gleːdəsæɪtɪl
kjøkkenkrok	ˈçœkənkɾuːk
fremragende	ˈfɾɛmɾɑːgənə
gaule	ˈgæʉlə
lidenskapeligste	lɪdənˈskɑːpəlɪkstə
stikkontakt	ˈstɪkʊntɑkt
nattbord	nɑtbuːɾ
narkose	nɑɾˈkuːsə
benåde	bəˈnoːdə
regelmessigste	ˈɾeːgəlmɛsɪkstə
forsøk	ˈfɔʂøːk
bedrag	bəˈdɾɑːg
særprege	ˈsæːɾpɾeːgə
smakløs	ˈsmɑːkløːs
forventningsfull	fɔɾˈʋɛntnɪŋsfʉl
investere	ɪnʋəˈsteːɾə
utuktige	ʉːˈtʉktɪə
lovstridigere	ˈloːʋstɾiːdɪɾə
knipen	ˈkniːpən
harmonisk	hɑɾˈmuːnɪsk
kose	ˈkuːsə
alkoholfritt øl	ɑlkʊˈhuːlfɾɪtˈœl
minneverdigere	ˈmɪnəʋæɖɪɾə
plomme	plʊmə
purre	ˈpʉɾə
diverse	dɪˈʋæʂə
mekre	ˈmɛkɾə
tegnefilm	tæɪnəfɪlm
fullkommen	ˈfʉlkɔmən
hovedsakelig	hʊʋədˈsɑːklɪ
skolebarn	ˈskuːləbɑːɳ
hysje	ˈhʏʂə
kinkige	ˈçɪŋkɪə
snuse	ˈsnʉːsə
enhetligere	ˈeːnheːtlɪɾə
ta avskjed	tɑːɑːʋʂeːd
tåpelig	ˈtoːpəlɪ
direktiv	dɪɾəkˈtiːʋ
tilgjengeligste	tɪlˈjɛŋəlɪkstə
inneholde	ˈɪnəhɔlə
menn	mɛn
ubetenksom	ˈʉːbətɛŋksɔm
god	guː
nær	næːɾ
fyldigste	ˈfʏldɪkstə
anholde	ˈɑnhɔlə
prinsipiell	pɾɪnsɪpɪˈɛl
rotete	ˈɾuːtətə
salvie	sɑlʋɪə
grov	gɾoːʋ
frykteligere	ˈfɾʏktəlɪɾə
uforstandige	ˈʉːfɔʂtɑnɪə
vokal	ʋʊˈkɑːl
forære	fɔɾˈæːɾə
svett	sʋɛt
sirkulere	sɪɾkʉˈleːɾə
kvark	kʋɑɾk
luske	ˈlʉskə
hul	hʉːl
stagnere	stɑgˈneːɾə
sympatisk	sʏmˈpɑːtɪsk
forlodds	ˈfɔɭɔds
vemodigste	ʋəˈmuːdɪkstə
tå	toː
behageligste	bəˈhɑːgəlɪkstə
alvorlige	ɑlˈʋoːɭɪə
lettfattelig	lətˈfɑtəlɪ
skuespillerinne	skʉspɪləˈɾɪnə,skʉːəspɪləɾɪnə
ryddige	ˈɾʏdɪə
krapp	kɾɑp
guano	gʉˈwɑːnu
honorere	hʊnʊˈɾeːɾə
gispe	ˈjɪspə
uegennyttigst	ˈʉːeːgənʏtɪkst
erfaring	æɾˈfɑːɾɪŋ
kalibrere	kɑlɪˈbɾeːɾə
operette	ʊpəɾɛtə
startkabel	ˈstɑʈkɑːbəl
faste	ˈfɑstə
ordentligst	ˈɔɳtlɪkst
uregelmessigst	ˈʉːɾeːgəlmɛsɪkst
umisteligste	ʉˈmɪstəlɪkstə
fredeligere	ˈfɾeːdəlɪɾə
ensfarget	ˈeːnsfɑɾgɑ
sjampanje	ʂɑmˈpɑnjə
bekken	ˈbɛkn̩
klandre	ˈklɑndɾə
annonsere	ɑnɔŋˈseːɾə
gjerrigst	ˈjæɾɪkst
steppe	ˈstɛpə
kollapse	kʊˈlɑpsə
profesjonell	pɾʊfəʂʊˈnɛl
unngå	ˈʉngoː
uvesentligste	ʉˈʋeːsəntlɪkstə
overrasket	oːʋəɾɑskət
farga	ˈfɑɾgət
flenge	ˈflɛŋə
spenstigste	ˈspɛnstɪkstə
lukrativ	ˈlʉkɾɑtiːʋ
jordbær	ˈjʊɾbæːɾ
barnebillett	bɑːɳəbɪlɛt
forblø	fɔɾˈbløː
korsgang	kɔʂgɑŋ
affære	ɑˈfæːɾə
merr	mæɾ
delikat	dəlɪˈkɑːt
bråkjekk	ˈbɾoːçɛk
slibrig	ˈʂɭiːbɾɪ
pupp	pʉp
tillit	ˈtɪlɪt
kai	kæɪ
baren	bɑːɳ
luguber	lʉˈgʉːbəɾ
menneskeligst	ˈmɛnəskəlɪkst
feide	ˈfæɪdə
vade	ˈʋɑːdə
klekke	ˈklɛkə
forestille	ˈfoːɾəstɪlə
helle	ˈhɛlə
utenriksfly	ʉːtənɾɪksflyː
uverdige	ʉˈʋæɖɪə
nyligste	ˈnyːlɪkstə
avsky	ˈɑːʋʂyː
watt	ʋɑt
på forhånd	pɔˈfɔɾhɔn
oversiktligste	ˈoːʋəʂɪktlɪkstə
idrettsmann	iːdɾɛtsmɑn
telefonsvarer	tɛlɛˈfuːnsʋɑːɾəɾ
dramatikk	dɾɑmɑˈtɪk
dagens rett	ˈdɑːgənsɾɛt
uransakelige	ʉːɾɑnˈsɑːkəlɪə
vennligste	ˈʋɛnlɪkstə
røyker	ɾœjkəɾ
skjøtte	ˈʂœtə
foreslå	ˈfoːɾəsloː
enfoldigst	ɛnˈfɔldɪkst
anmelde	ˈɑnmɛlə
deklarere	dəklɑˈɾeːɾə
midd	mɪd
dagligste	ˈdɑːglɪkstə
toneangivende	ˈtuːnəɑnjiːʋənə
rumensk	ɾʉˈmeːnsk
forståeligst	fɔˈʂtoːəlɪkst
stinn	stɪn
vandel	ˈʋɑndəl
anonym	ɑnʊˈnyːm
indre	ˈɪndɾə
kristeligst	ˈkɾɪstəlɪkst
ufullstendigste	ˈʉːfʉlstənɪkstə
kjernemjølk	ˈçæɳəmjœlk
empfehlen	ɛmˈpfeːlən
kritikkverdigere	kɾɪˈtɪkʋæɖɪɾə
dessert	dɛˈsæːɾ
betennelse	bɛˈtɛnɛlsə
guddommeligste	gʉˈdɔməlɪkstə
poste	ˈpɔstə
innvirke	ˈɪnʋɪɾkə
døse	ˈdøːsə
nippe	ˈnɪpə
igjen	ɪˈjɛn
hvile ut	ʋiːləˈʉːt
fukte	ˈfʊktə
helseskadeligere	ˈhɛlsəskɑːdlɪɾə
bety	bəˈtyː
forebygge	ˈfoːɾəbʏgə
sparsom	ˈspɑːʂɔm
vulgær	ʋʉlˈgæːɾ
hassel	ˈhɑsəl
forståeligere	fɔˈʂtoːəlɪɾə
tall	tɑl
inngå	ˈɪngoː
ubrukeligste	ʉˈbɾʉːkəlɪkstə
tilfreds	tɪlˈfɾɛts
kokke	kɔkə
arkaisk	ɑɾˈkɑːɪsk
sommernatt	ˈsɔməɳɑt
mindreverdigste	ˈmɪndɾəʋæɖɪkstə
ire	ˈiːɾə
barnepass	bɑːɳəpɑs
beslekta	bəˈʂɭɛktət
jenta	ˈjɛntɑ
presang	pɾəˈsɑŋ
samordne	ˈsɑmɔɖnə
tjenerinne	tjeːnəɾˈɾɪnə
kjedeligst	ˈçeːdəlɪkst
ustadigst	ˈʉːstɑːdɪkst
skulke	ˈskʉlkə
takst	tɑkst
forhandler	fɔɾˈhɑnləɾ
kameratsligere	kɑməˈɾɑːtʂɭɪɾə
russisk	ˈɾʉsɪsk
tappe	ˈtɑpə
sensitiv	ˈsɛnsɪtiːʋ
ødelegge	ˈøːdəlæɪə
fare	ˈfɑːɾə
stime	ˈstiːmə
flette	ˈflɛtə
jovial	jʊʋɪˈɑːl
forte	ˈfʊʈə
smuldre	ˈsmʉldɾə
egg	ɛg
traske	ˈtɾɑskə
inkludert	ɪnklʉˈdɛʈ
ustyrlig	ʉˈstyːɭɪ
misunneligst	mɪˈsʉnəlɪkst
overdøve	ˈoːʋəɖøːʋə
hensiktsmessigst	ˈhɛnsɪktsmɛsɪkst
kvalm	kʋɑlm
fungere	fʉŋˈgeːɾə
mer	meːɾ
gjette	ˈjɛtə
serbisk	ˈsæɾbɪsk
telte	ˈtɛltə
rosmarin	ɾʊsmɑˈɾiːn
møkk	mœk
kondensere	kʊnənˈseːɾə
kremte	ˈkɾɛmtə
ferge	ˈfæɾjə
fordreie	fɔˈɖɾæɪə
yppe	ˈʏpə
uriktigste	ʉˈɾɪktɪkstə
tømre	ˈtœmɾə
tilrådeligere	tɪlˈɾoːdəlɪɾə
førsteklasses	ˈfœʂtəklɑsəs
flekk	flɛk
høyskole	ˈhœjskuːlə
falme	ˈfɑlmə
høyst	hœjst
tolldeklarasjon	tɔldɛklɑɾɑʂuːn
komisk	ˈkuːmɪsk
høyttaler	ˈhœjtɑːləɾ
uttrykk	ˈʉːtɾʏk
vræle	ˈʋɾæːlə
fremsynt	ˈfɾɛmsyːnt
utvetydigste	ˈʉːtʋɛtyːdɪkstə
engstelig	ˈɛŋstəlɪ
uforskamma	ˈʉːfɔʂkɑmət
savne	ˈsɑʋnə
nedsettende	ˈneːdsɛtənə
ser	seːɾ
skryt	skɾyːt
bredd	bɾɛd
troligere	ˈtɾuːlɪɾə
simpel	ˈsɪmpəl
berette	bəˈɾɛtə
dyvåt	ˈdyːʋoːt
lønne	ˈlœnə
fantasere	fɑntɑˈseːɾə
vegetabilsk	ʋəgətɑˈbiːlsk
søknad	ˈsøːknɑːd
