bắt ấn	băk˦˥ɤ̆ŋ˩˧
đánh chác	dan˩˧cak˦˥
táy đeng	tăj˩˧dɛŋ˧˥
nội giao	noj˨ˀ˩ʔjaw˧˥
cửa chớp	kɯə˧˩˨cɤp˦˥
dan díu	jaŋ˧˥jiw˩˧
tiên kiên	tiəŋ˧˥kiəŋ˧˥
cổng chống	koŋ͡m˧˩˨coŋ͡m˩˧
âm chất	ɤ̆m˧˥cɤ̆k˦˥
tức tốc	tɯk˦˥tok͡p˦˥
xẹp lép	sɛp˨ˀ˩ʔlɛp˦˥
cát tiên	kak˦˥tiəŋ˧˥
lưỡng tính	lɯəŋ˧˩˨tin˩˧
lóng ca lóng cóng	lɔŋ͡m˩˧ka˧˥lɔŋ͡m˩˧kɔŋ͡m˩˧
áo sơ mi	aw˩˧ʂɤ˧˥mi˧˥
quản	waŋ˧˩˨
nhàn  rỗi	ɲaŋ˦˨ʐoj˧˩˨
điệp vận	diəp˨ˀ˩ʔjɤ̆ŋ˨ˀ˩ʔ
bắn tỉa	băŋ˩˧tiə˧˩˨
khàn	xaŋ˦˨
săng-tan	ʂăŋ˧˥-taŋ˧˥
sức dài vai rộng	ʂɯk˦˥jaj˦˨jaj˧˥ʐoŋ͡m˨ˀ˩ʔ
ủ liễu phai đào	u˧˩˨liəw˧˩˨faj˧˥daw˦˨
tái đầu tư	taj˩˧dɤ̆w˦˨tɯ˧˥
việt hùng	jiək˨ˀ˩ʔhuŋ͡m˦˨
phỏng ước	fɔŋ͡m˧˩˨ɯək˦˥
sống dao	ʂoŋ͡m˩˧jaw˧˥
thụ giáo	tʰu˨ˀ˩ʔjaw˩˧
hiệu ứng	hiəw˨ˀ˩ʔɯŋ˩˧
nghỉ ốm	ŋi˧˩˨om˩˧
đánh tiếng	dan˩˧tiəŋ˩˧
kiếm	kiəm˩˧
nhật dụng	ɲɤ̆k˨ˀ˩ʔjuŋ͡m˨ˀ˩ʔ
chủ nghĩa vị lai	cu˧˩˨ŋiə˧˩˨ji˨ˀ˩ʔlaj˧˥
thương hại	tʰɯəŋ˧˥haj˨ˀ˩ʔ
bầm mặt	bɤ̆m˦˨măk˨ˀ˩ʔ
cười vỡ bụng	kɯəj˦˨jɤ˧˩˨buŋ͡m˨ˀ˩ʔ
tiết nghĩa	tiək˦˥ŋiə˧˩˨
ngu ngơ	ŋu˧˥ŋɤ˧˥
nem chạo	nɛm˧˥caw˨ˀ˩ʔ
tự nghĩa	tɯ˨ˀ˩ʔŋiə˧˩˨
xê-mi-ne	se˧˥-mi˧˥-nɛ˧˥
đông-dương	doŋ͡m˧˥-jɯəŋ˧˥
nói như khướu	nɔj˩˧ɲɯ˧˥xɯəw˩˧
vệ quốc quân	je˨ˀ˩ʔwok͡p˦˥wɤ̆ŋ˧˥
hàn gắn	haŋ˦˨ɣăŋ˩˧
đàn bà như hạt mưa sa	daŋ˦˨ba˦˨ɲɯ˧˥hak˨ˀ˩ʔmɯə˧˥ʂa˧˥
dấu hỏi	jɤ̆w˩˧hɔj˧˩˨
hạn lượng	haŋ˨ˀ˩ʔlɯəŋ˨ˀ˩ʔ
lầu trang	lɤ̆w˦˨ʈaŋ˧˥
châu phú	cɤ̆w˧˥fu˩˧
nghếch ngác	ŋet˦˥ŋak˦˥
chuẩn thứ	cwɤ̆ŋ˧˩˨tʰɯ˩˧
hò hẹn	hɔ˦˨hɛŋ˨ˀ˩ʔ
cẩm châu	kɤ̆m˧˩˨cɤ̆w˧˥
hợp tấu	hɤp˨ˀ˩ʔtɤ̆w˩˧
chụp hình	cup˨ˀ˩ʔhin˦˨
đá hất	da˩˧hɤ̆k˦˥
thi gan đọ sức	tʰi˧˥ɣaŋ˧˥dɔ˨ˀ˩ʔʂɯk˦˥
lỗi điệu	loj˧˩˨diəw˨ˀ˩ʔ
tính giao	tin˩˧jaw˧˥
quấy rầy	wɤ̆j˩˧ʐɤ̆j˦˨
ê mặt	e˧˥măk˨ˀ˩ʔ
bàu bĩnh	băw˦˨bin˧˩˨
nghĩa rộng	ŋiə˧˩˨ʐoŋ͡m˨ˀ˩ʔ
giúp rập	jup˦˥ʐɤ̆p˨ˀ˩ʔ
bán hạ	baŋ˩˧ha˨ˀ˩ʔ
tung tích	tuŋ͡m˧˥tit˦˥
nhũn như con chi chi	ɲuŋ͡m˧˩˨ɲɯ˧˥kɔŋ͡m˧˥ci˧˥ci˧˥
kỵ	ki˨ˀ˩ʔ
sãi vãi	ʂaj˧˩˨jaj˧˩˨
chạy gằn	căj˨ˀ˩ʔɣăŋ˦˨
cá hồng	ka˩˧hoŋ͡m˦˨
lưới trời	lɯəj˩˧ʈɤj˦˨
bạch đầu	bak˨ˀ˩ʔdɤ̆w˦˨
ngỏ	ŋɔ˧˩˨
pháo nổ	faw˩˧no˧˩˨
nhất nhật tại tù	ɲɤ̆k˦˥ɲɤ̆k˨ˀ˩ʔtaj˨ˀ˩ʔtu˦˨
tả lèng	ta˧˩˨lɛŋ˦˨
rác rưởi	ʐak˦˥ʐɯəj˧˩˨
hình chìm	hin˦˨cim˦˨
gán	ɣaŋ˩˧
ca-na-pê	ka˧˥-na˧˥-pe˧˥
thực chứng	tʰɯk˨ˀ˩ʔcɯŋ˩˧
thanh hưng	tʰan˧˥hɯŋ˧˥
dàn mỏng	jaŋ˦˨mɔŋ͡m˧˩˨
thị điều	tʰi˨ˀ˩ʔdiəw˦˨
độ tin cậy	do˨ˀ˩ʔtin˧˥kɤ̆j˨ˀ˩ʔ
nũng nịu	nuŋ͡m˧˩˨niw˨ˀ˩ʔ
hiền với bụt không hiền với ma	hiəŋ˦˨jɤj˩˧buk͡p˨ˀ˩ʔxoŋ͡m˧˥hiəŋ˦˨jɤj˩˧ma˧˥
gạo giã	ɣaw˨ˀ˩ʔja˧˩˨
đất bằng nổi sóng	dɤ̆k˦˥băŋ˦˨noj˧˩˨ʂɔŋ͡m˩˧
khó khăn	xɔ˩˧xăŋ˧˥
tương giang	tɯəŋ˧˥jaŋ˧˥
chọn lọc nhân tạo	cɔŋ͡m˨ˀ˩ʔlɔk͡p˨ˀ˩ʔɲɤ̆ŋ˧˥taw˨ˀ˩ʔ
cảm giác luận	kam˧˩˨jak˦˥lwɤ̆ŋ˨ˀ˩ʔ
dạ khúc	ja˨ˀ˩ʔxuk͡p˦˥
tam đảo	tam˧˥daw˧˩˨
ích nước lợi nhà	it˦˥nɯək˦˥lɤj˨ˀ˩ʔɲa˦˨
đề cập	de˦˨kɤ̆p˨ˀ˩ʔ
buôn bạc	buəŋ˧˥bak˨ˀ˩ʔ
đánh gỉ	dan˩˧ɣi˧˩˨
xống áo	soŋ͡m˩˧aw˩˧
dâu trăm họ	jɤ̆w˧˥ʈăm˧˥hɔ˨ˀ˩ʔ
chực tiết	cɯk˨ˀ˩ʔtiək˦˥
hình trụ tròn xoay	hin˦˨ʈu˨ˀ˩ʔʈɔŋ͡m˦˨swăj˧˥
tổng thống	toŋ͡m˧˩˨tʰoŋ͡m˩˧
ăn giỗ	ăŋ˧˥jo˧˩˨
bốc xúc	bok͡p˦˥suk͡p˦˥
dân thân	jɤ̆ŋ˧˥tʰɤ̆ŋ˧˥
cơ bần	kɤ˧˥bɤ̆ŋ˦˨
è ạch	ɛ˦˨ak˨ˀ˩ʔ
cá thia	ka˩˧tʰiə˧˥
đau nau	dăw˧˥năw˧˥
con chồng	kɔŋ͡m˧˥coŋ͡m˦˨
màn tuyn	maŋ˦˨twin˧˥
phanh phách	fan˧˥fak˦˥
sô vanh	ʂo˧˥jan˧˥
toạ độ địa lí	twa˨ˀ˩ʔdo˨ˀ˩ʔdiə˨ˀ˩ʔli˩˧
thấy cây không thấy rừng	tʰɤ̆j˩˧kɤ̆j˧˥xoŋ͡m˧˥tʰɤ̆j˩˧ʐɯŋ˦˨
đăng tải	dăŋ˧˥taj˧˩˨
đủng đà đủng đỉnh	duŋ͡m˧˩˨da˦˨duŋ͡m˧˩˨din˧˩˨
thành phẩm	tʰan˦˨fɤ̆m˧˩˨
lòng dạ	lɔŋ͡m˦˨ja˨ˀ˩ʔ
lộn phèo	loŋ͡m˨ˀ˩ʔfeo˦˨
ô thước	o˧˥tʰɯək˦˥
kì lương	ki˦˨lɯəŋ˧˥
cự đồng	kɯ˨ˀ˩ʔdoŋ͡m˦˨
chàng trai	caŋ˦˨ʈaj˧˥
hữu ích	hɯw˧˩˨it˦˥
thâm tạ	tʰɤ̆m˧˥ta˨ˀ˩ʔ
dạ múi khế	ja˨ˀ˩ʔmuj˩˧xe˩˧
chủ nghĩa bá quyền	cu˧˩˨ŋiə˧˩˨ba˩˧wiɛŋ˦˨
đánh bóng	dan˩˧bɔŋ͡m˩˧
ngược lại	ŋɯək˨ˀ˩ʔlaj˨ˀ˩ʔ
nghênh nghênh	ŋen˧˥ŋen˧˥
trinh sát viên	ʈin˧˥ʂak˦˥jiəŋ˧˥
râu	ʐɤ̆w˧˥
gông thiết diệp	ɣoŋ͡m˧˥tʰiək˦˥jiəp˨ˀ˩ʔ
loạn tạng	lwaŋ˨ˀ˩ʔtaŋ˨ˀ˩ʔ
mở mặt	mɤ˧˩˨măk˨ˀ˩ʔ
dãi nắng	jaj˧˩˨năŋ˩˧
hom hỏm	hɔm˧˥hɔm˧˩˨
thìa lia	tʰiə˦˨liə˧˥
cổ hoạ	ko˧˩˨hwa˨ˀ˩ʔ
chế độ nông nô	ce˩˧do˨ˀ˩ʔnoŋ͡m˧˥no˧˥
dứt dây ai nỡ dứt chồi	jɯk˦˥jɤ̆j˧˥aj˧˥nɤ˧˩˨jɯk˦˥coj˦˨
thọ dân	tʰɔ˨ˀ˩ʔjɤ̆ŋ˧˥
đường lối	dɯəŋ˦˨loj˩˧
đóng thuyền	dɔŋ͡m˩˧tʰwiəŋ˦˨
thiết quân luật	tʰiək˦˥wɤ̆ŋ˧˥lwɤ̆k˨ˀ˩ʔ
một đôi	mok͡p˨ˀ˩ʔdoj˧˥
phục vị	fuk͡p˨ˀ˩ʔji˨ˀ˩ʔ
công thuốc	koŋ͡m˧˥tʰuək˦˥
tan đàn xẻ nghé	taŋ˧˥daŋ˦˨sɛ˧˩˨ŋɛ˩˧
suy lý	ʂwi˧˥li˩˧
ngụ tình	ŋu˨ˀ˩ʔtin˦˨
san hô tảng	ʂaŋ˧˥ho˧˥taŋ˧˩˨
đại hiến chương	daj˨ˀ˩ʔhiəŋ˩˧cɯəŋ˧˥
quạc mồm	wak˨ˀ˩ʔmom˦˨
trần khâm	ʈɤ̆ŋ˦˨xɤ̆m˧˥
tiên quân	tiəŋ˧˥wɤ̆ŋ˧˥
nhí nhắng	ɲi˩˧ɲăŋ˩˧
a hành ác tỏi	a˧˥han˦˨ak˦˥tɔj˧˩˨
chầu chực	cɤ̆w˦˨cɯk˨ˀ˩ʔ
kì cọm	ki˦˨kɔm˨ˀ˩ʔ
thông lại	tʰoŋ͡m˧˥laj˨ˀ˩ʔ
gieo vãi mạ	jeo˧˥jaj˧˩˨ma˨ˀ˩ʔ
dư lượng	jɯ˧˥lɯəŋ˨ˀ˩ʔ
đặc tả	dăk˨ˀ˩ʔta˧˩˨
đĩa quang học	diə˧˩˨waŋ˧˥hɔk͡p˨ˀ˩ʔ
hiệu	hiəw˨ˀ˩ʔ
đồ sắt	do˦˨ʂăk˦˥
chết mòn chết dần	cet˦˥mɔŋ͡m˦˨cet˦˥jɤ̆ŋ˦˨
trung màu	ʈuŋ͡m˧˥măw˦˨
nói chọc	nɔj˩˧cɔk͡p˨ˀ˩ʔ
nhẹ bước	ɲɛ˨ˀ˩ʔbɯək˦˥
dạo quanh	jaw˨ˀ˩ʔwan˧˥
hẩu	hɤ̆w˧˩˨
điện lạnh	diəŋ˨ˀ˩ʔlan˨ˀ˩ʔ
rinh rích	ʐin˧˥ʐit˦˥
tình chung	tin˦˨cuŋ͡m˧˥
i-on	i˧˥-ɔŋ͡m˧˥
huân nghiệp	hwɤ̆ŋ˧˥ŋiəp˨ˀ˩ʔ
đan cử	daŋ˧˥kɯ˧˩˨
gần như	ɣɤ̆ŋ˦˨ɲɯ˧˥
duềnh ngân	jwen˦˨ŋɤ̆ŋ˧˥
nhạc phủ	ɲak˨ˀ˩ʔfu˧˩˨
đỏ hửng	dɔ˧˩˨hɯŋ˧˩˨
vô lo	jo˧˥lɔ˧˥
địa mạo học	diə˨ˀ˩ʔmaw˨ˀ˩ʔhɔk͡p˨ˀ˩ʔ
nhớp nháp	ɲɤp˦˥ɲap˦˥
sông con	ʂoŋ͡m˧˥kɔŋ͡m˧˥
giấm thanh	jɤ̆m˩˧tʰan˧˥
hiệu đoàn	hiəw˨ˀ˩ʔdwaŋ˦˨
thanh xá	tʰan˧˥sa˩˧
lộn xộn	loŋ͡m˨ˀ˩ʔsoŋ͡m˨ˀ˩ʔ
thẩm âm	tʰɤ̆m˧˩˨ɤ̆m˧˥
địa y	diə˨ˀ˩ʔi˧˥
bình phục	bin˦˨fuk͡p˨ˀ˩ʔ
kế tục	ke˩˧tuk͡p˨ˀ˩ʔ
xí nghiệp	si˩˧ŋiəp˨ˀ˩ʔ
dở đục dở chàng	jɤ˧˩˨duk͡p˨ˀ˩ʔjɤ˧˩˨caŋ˦˨
giun cát	juŋ͡m˧˥kak˦˥
hí húi	hi˩˧huj˩˧
thân vong	tʰɤ̆ŋ˧˥jɔŋ͡m˧˥
tra làm chiếu	ʈa˧˥lam˦˨ciəw˩˧
sáng ngời	ʂaŋ˩˧ŋɤj˦˨
yên lành	iɛŋ˧˥lan˦˨
hả mùi	ha˧˩˨muj˦˨
người dưng nước lã	ŋɯəj˦˨jɯŋ˧˥nɯək˦˥la˧˩˨
cùng bên	kuŋ͡m˦˨ben˧˥
di tích	ji˧˥tit˦˥
biện hộ	biəŋ˨ˀ˩ʔho˨ˀ˩ʔ
hoa niên	hwa˧˥niəŋ˧˥
cam cọn	kam˧˥kɔŋ͡m˨ˀ˩ʔ
năm học	năm˧˥hɔk͡p˨ˀ˩ʔ
tủ gương	tu˧˩˨ɣɯəŋ˧˥
rồi sao	ʐoj˦˨ʂaw˧˥
dơ duốc	jɤ˧˥juək˦˥
nốp	nop˦˥
quen nết	wɛŋ˧˥net˦˥
át chủ bài	ak˦˥cu˧˩˨baj˦˨
có sẵn	kɔ˩˧ʂăŋ˧˩˨
bán cân	baŋ˩˧kɤ̆ŋ˧˥
đấu trường	dɤ̆w˩˧ʈɯəŋ˦˨
hom	hɔm˧˥
khoai tây	xwaj˧˥tɤ̆j˧˥
tổng đại điện	toŋ͡m˧˩˨daj˨ˀ˩ʔdiəŋ˨ˀ˩ʔ
xuân thu	swɤ̆ŋ˧˥tʰu˧˥
tang	taŋ˧˥
bóng cá	bɔŋ͡m˩˧ka˩˧
quê mùa	we˧˥muə˦˨
tiếp giáp	tiəp˦˥jap˦˥
cười nhạt	kɯəj˦˨ɲak˨ˀ˩ʔ
đĩ rạc	di˧˩˨ʐak˨ˀ˩ʔ
nghiến ngấm	ŋiəŋ˩˧ŋɤ̆m˩˧
thiếu sót	tʰiəw˩˧ʂɔk͡p˦˥
nguyên sơ	ŋwiəŋ˧˥ʂɤ˧˥
binh lương	bin˧˥lɯəŋ˧˥
trung mỹ	ʈuŋ͡m˧˥mi˧˩˨
phồn vinh	foŋ͡m˦˨jin˧˥
đù đà đù đờ	du˦˨da˦˨du˦˨dɤ˦˨
thuyền bồng	tʰwiəŋ˦˨boŋ͡m˦˨
kết cuộc	ket˦˥kuək˨ˀ˩ʔ
quăm quắm	wăm˧˥wăm˩˧
thơ phú	tʰɤ˧˥fu˩˧
bái yết	baj˩˧iɛk˦˥
chồi ghép	coj˦˨ɣɛp˦˥
tân đại lục	tɤ̆ŋ˧˥daj˨ˀ˩ʔluk͡p˨ˀ˩ʔ
cẩm nam	kɤ̆m˧˩˨nam˧˥
dọn giọng	jɔŋ͡m˨ˀ˩ʔjɔŋ͡m˨ˀ˩ʔ
kẹo đắng	keo˨ˀ˩ʔdăŋ˩˧
nhoáy	ɲwăj˩˧
nhà rông	ɲa˦˨ʐoŋ͡m˧˥
bấu chí	bɤ̆w˩˧ci˩˧
quảng hưng	waŋ˧˩˨hɯŋ˧˥
kiều nhược	kiəw˦˨ɲɯək˨ˀ˩ʔ
giam	jam˧˥
tỉnh bơ	tin˧˩˨bɤ˧˥
cá sặt	ka˩˧ʂăk˨ˀ˩ʔ
nặng nhọc	năŋ˨ˀ˩ʔɲɔk͡p˨ˀ˩ʔ
độc kế	dok͡p˨ˀ˩ʔke˩˧
vạn hương	jaŋ˨ˀ˩ʔhɯəŋ˧˥
chết vinh còn hơn sống nhục	cet˦˥jin˧˥kɔŋ͡m˦˨hɤŋ˧˥ʂoŋ͡m˩˧ɲuk͡p˨ˀ˩ʔ
tiếp nối	tiəp˦˥noj˩˧
giày cao cổ	jăj˦˨kaw˧˥ko˧˩˨
sinh sau đẻ muộn	ʂin˧˥ʂăw˧˥dɛ˧˩˨muəŋ˨ˀ˩ʔ
bóng bạch câu	bɔŋ͡m˩˧bak˨ˀ˩ʔkɤ̆w˧˥
gãi	ɣaj˧˩˨
kế sách	ke˩˧ʂak˦˥
cả cả	ka˧˩˨ka˧˩˨
cửu tuyền	kɯw˧˩˨twiəŋ˦˨
đầu xuôi đuôi lọt	dɤ̆w˦˨suəj˧˥duəj˧˥lɔk͡p˨ˀ˩ʔ
trại tập trung	ʈaj˨ˀ˩ʔtɤ̆p˨ˀ˩ʔʈuŋ͡m˧˥
