麶	tʰi⁴⁴
扎實	t͡sat̚³²⁻⁴ɕit̚⁴
義人	ɡi²²⁻²¹lin²⁴
關說	kuan⁴⁴⁻²²seʔ³²
燭	t͡ɕiɪk̚³²
引文	in⁵³⁻⁴⁴bun²⁴
擴音	mãɪ⁴⁴⁻²²kʰuʔ³²
預兆	u²²⁻²¹tiaʊ²²
佔	t͡ɕiam²¹
配腳	pʰue²¹⁻⁵³kioʔ³²
細漢囝	sue²¹⁻⁵³han²¹⁻⁵³kiã⁵³
品評	pʰin⁵³⁻⁴⁴pʰiɪŋ²⁴
恕	su²¹
潦	liaʊ²⁴
常	ɕiũ²⁴
禁用	kim⁴⁴⁻²²iɪŋ²²
鴨角	aʔ³²⁻⁵³kak̚³²
鬱卒	ut̚³²⁻⁴t͡sut̚³²
捽	sut̚³²
柱	tu²²
沙龍	sa⁴⁴⁻²²lɔŋ²⁴
腔口	kʰiũ⁴⁴⁻²²kʰaʊ⁵³
搪瓷	tɔŋ²⁴⁻²²t͡su²⁴
偶發	ŋɔ̃⁵³⁻⁴⁴huat̚³²
敨氣	tʰaʊ⁵³⁻⁴⁴kʰi²¹
浩劫	ho²²⁻²¹kiap̚³²
瀾	lan²⁴
壯膽	t͡sɔŋ²¹⁻⁵³tã⁵³
桶	tʰaŋ⁵³
教局	kaʊ²¹⁻⁵³kiɔk̚⁴
頌揚	ɕiɔŋ²¹⁻⁵³iɔŋ²⁴
嶝	tiɪŋ²¹
工程	kaŋ⁴⁴⁻²²tʰiã²⁴
傾	kʰiɪŋ⁴⁴
儅	tɔŋ⁴⁴
敢若	kan⁵³⁻⁴⁴nã⁵³
銷	ɕiaʊ⁴⁴
門牙	mŋ̍²⁴⁻²²ɡe²⁴
東邊	taŋ⁴⁴⁻²²pĩ⁴⁴
西	saɪ⁴⁴
烈度	liɛt̚⁴⁻³²tɔ²²
匠	t͡ɕʰiũ²²
會籍	hue²²⁻²¹t͡ɕiɪk̚⁴
高地	ko⁴⁴⁻²²te²²
磾	te⁴⁴
凝	ɡin²⁴
腸仔膜	tŋ̍²⁴⁻²²a⁵³⁻⁴⁴mɔ̃ʔ⁴
請	t͡ɕʰiɪŋ⁵³
中國人	tiɔŋ⁴⁴⁻²²kɔk̚³²⁻⁴laŋ²⁴
畔	pʰuan²²
舉措	ku⁵³⁻⁴⁴t͡sʰo²¹
發散	huat̚³²⁻⁴san²¹
求救	kiu²⁴⁻²²kiu²¹
走眼	t͡saʊ⁵³⁻⁴⁴ɡan⁵³
積習	t͡ɕiɪk̚³²⁻⁴ɕip̚⁴
智慧型	ti²¹⁻⁵³hui²²⁻²¹hiɪŋ²⁴
奏	t͡saʊ²¹
沆	kʰɔŋ²¹
自發	t͡su²²⁻²¹huat̚³²
錦	ɡim⁵³
聖堂	ɕiɪŋ²¹⁻⁵³tŋ̍²⁴
碗	uan⁵³
科學家	kʰo⁴⁴⁻²²hak̚⁴⁻³²ka⁴⁴
闇雞	am⁴⁴⁻²²kue⁴⁴
展出	tiɛn⁵³⁻⁴⁴t͡sʰut̚³²
雨跤	hɔ²²⁻²¹kʰa⁴⁴
有興趣	u²²⁻²¹hiɪŋ²¹⁻⁵³t͡sʰu²¹
憐惜	lin²⁴⁻²²ɕioʔ³²
傷腦筋	ɕiɔŋ⁴⁴⁻²²nãʊ⁵³⁻⁴⁴kun⁴⁴
所有權	sɔ⁵³⁻⁴⁴iu⁵³⁻⁴⁴kuan²⁴
體能	tʰe⁵³⁻⁴⁴liɪŋ²⁴
開銃	kʰui⁴⁴⁻²²t͡ɕʰiɪŋ²¹
菁英	t͡ɕiɪŋ⁴⁴⁻²²iɪŋ⁴⁴
盒仔	aʔ⁴⁻²¹a⁵³
顆	kʰo⁴⁴
啟明	kʰe⁵³⁻⁴⁴biɪŋ²⁴
廢水	hue²¹⁻⁵³t͡sui⁵³
下顎	e²²⁻²¹kʰɔk̚³²
喧嚷	suan⁴⁴⁻²²liɔŋ⁵³
煙雨	iɛn⁴⁴⁻²²u⁵³
情態	t͡ɕiɪŋ²⁴⁻²²tʰaɪ²¹
藿香	hɔk̚³²⁻⁴hiɔŋ⁴⁴
感冒	kam⁵³⁻⁴⁴mɔ̃²²
壓價	ap̚³²⁻⁴ke²¹
充當	t͡ɕʰiɔŋ⁴⁴⁻²²tŋ̍⁴⁴
長統靴	tŋ̍²⁴⁻²²tʰaŋ⁵³⁻⁴⁴hia⁴⁴
斜眼	t͡ɕʰia²⁴⁻²²ɡan⁵³
油污	iu²⁴⁻²²u⁴⁴
保險絲	po⁵³⁻⁴⁴hiam⁵³⁻⁴⁴ɕi⁴⁴
湯泉	tʰŋ̍⁴⁴⁻²²t͡suã²⁴
軟	nŋ̍⁵³
列王紀	liɛt̚⁴⁻³²ɔŋ²⁴⁻²²ki⁵³
空榫	kʰaŋ⁴⁴⁻²²sŋ̍⁵³
欠勤	kʰiam²¹⁻⁵³kʰin²⁴
消失	ɕiaʊ⁴⁴⁻²²ɕit̚³²
參照	t͡sʰam⁴⁴⁻²²t͡ɕiaʊ²¹
村民	t͡sʰuan⁴⁴⁻²²bin²⁴
烘櫥	haŋ⁴⁴⁻²²tu²⁴
半徑	puã²¹⁻⁵³kiɪŋ²¹
差遣	t͡sʰe⁴⁴⁻²²kʰiɛn⁵³
交集	kaʊ⁴⁴⁻²²t͡ɕip̚⁴
汏枋	tʰua²²⁻²¹paŋ⁴⁴
終歸	t͡ɕiɔŋ⁴⁴⁻²²kui⁴⁴
親家公	t͡ɕʰin⁴⁴⁻²²ke⁴⁴⁻²²kɔŋ⁴⁴
孝男	haʊ²¹⁻⁵³lam²⁴
應市	iɪŋ²¹⁻⁵³t͡ɕʰi²²
探問	tʰam²¹⁻⁵³mŋ̍²²
斡	uat̚⁴
效率	haʊ²²⁻²¹lut̚⁴
融洽	iɔŋ²⁴⁻²²hap̚⁴
徽	hui⁴⁴
上	ɕiɔŋ²²
相刣	sã⁴⁴⁻²²tʰaɪ²⁴
草索	t͡sʰaʊ⁵³⁻⁴⁴soʔ³²
兆頭	tiaʊ²²⁻²¹tʰaʊ²⁴
秫	t͡sut̚⁴
瓶膽	pan²⁴⁻²²tã⁵³
神州	ɕin²⁴⁻²²t͡ɕiu⁴⁴
日用品	lit̚⁴⁻³²iɔŋ²²⁻²¹pʰin⁵³
嚴寒	ɡiam²⁴⁻²²han²⁴
武官	bu⁵³⁻⁴⁴kuã⁴⁴
風景	hɔŋ⁴⁴⁻²²kiɪŋ⁵³
管家	kuan⁵³⁻⁴⁴ke⁴⁴
瞎	kʰueʔ³²
曲	kʰiɔk̚³²
情	t͡ɕiɪŋ²⁴
靡	bi⁵³
氡	tɔŋ⁴⁴
渙	huan²¹
摻濫	t͡sʰam⁴⁴⁻²²lam²²
銅錢	taŋ²⁴⁻²²t͡ɕĩ²⁴
一句	t͡ɕit̚⁴⁻³²ku²¹
南京	lam²⁴⁻²²kiã⁴⁴
動植物	tɔŋ²²⁻²¹ɕit̚⁴⁻³²but̚⁴
這號	t͡ɕit̚³²⁻⁴lo²²
相借問	sã⁴⁴⁻²²t͡ɕʰioʔ³²⁻⁵³mŋ̍²²
素描	sɔ²¹⁻⁵³biaʊ²⁴
一模一樣	it̚³²⁻⁴bɔ²⁴⁻²²it̚³²⁻⁴iũ²²
炸	t͡ɕiaʔ⁴
合資	hap̚⁴⁻³²t͡su⁴⁴
拗蠻	aʊ⁵³⁻⁴⁴ban²⁴
成祖	ɕiɪŋ²⁴⁻²²t͡sɔ⁵³
清楚	t͡ɕʰiɪŋ⁴⁴⁻²²t͡sʰo⁵³
桅	ui²⁴
否定	hɔ⁵³⁻⁴⁴tiɪŋ²²
坑道	kʰĩ⁴⁴⁻²²to²²
番仔荔枝	huan⁴⁴⁻²²a⁵³⁻⁴⁴nãɪ²²⁻²¹t͡ɕi⁴⁴
洋裝	iũ²⁴⁻²²t͡sɔŋ⁴⁴
鵑	kuan⁴⁴
寶玉	po⁵³⁻⁴⁴ɡiɪk̚⁴
謅	t͡sʰaʊ⁴⁴
虧損	kʰui⁴⁴⁻²²sun⁵³
墨跡	biɪk̚⁴⁻³²t͡ɕiɪk̚³²
計議	ke²¹⁻⁵³ɡi²²
鼻竇	pʰĩ²²⁻²¹tɔ²²
冥鈔	biɪŋ²⁴⁻²²t͡sʰaʊ⁴⁴
縱隊	t͡ɕʰiɔŋ²¹⁻⁵³tui²²
呼	kʰɔ⁴⁴
警訊	kiɪŋ⁵³⁻⁴⁴ɕin²¹
軀體	kʰu⁴⁴⁻²²tʰe⁵³
芋冰	ɔ²²⁻²¹piɪŋ⁴⁴
霆雷	tan²⁴⁻²²lui²⁴
相親	ɕiɔŋ²¹⁻⁵³t͡ɕʰin⁴⁴
職守	t͡ɕit̚³²⁻⁴ɕiu⁵³
諸娘人	t͡su⁴⁴⁻²²niũ²⁴⁻²²laŋ²⁴
金魚	kim⁴⁴⁻²²hi²⁴
邪神	ɕia²⁴⁻²²ɕin²⁴
吵	t͡sʰa⁵³
賊仔白	t͡sʰat̚⁴⁻³²a⁵³⁻⁴⁴peʔ⁴
黑	hiɪk̚³²
脊椎動物	t͡ɕiɪk̚³²⁻⁴t͡sui⁴⁴⁻²²tɔŋ²²⁻²¹but̚⁴
住院	t͡su²²⁻²¹ĩ²²
危樓	ɡui²⁴⁻²²laʊ²⁴
啄木鳥	tɔk̚³²⁻⁴bɔk̚⁴⁻³²t͡ɕiaʊ⁵³
幾何	ki⁵³⁻⁴⁴ho²⁴
驅散	kʰu⁴⁴⁻²²san²¹
潑辣	pʰuat̚³²⁻⁴lat̚⁴
苜蓿	bɔk̚⁴⁻³²ɕiɔk̚³²
心力交瘁	ɕim⁴⁴⁻²²liɪk̚⁴⁻³²kaʊ⁴⁴⁻²²t͡sʰui²¹
獨生	tɔk̚⁴⁻³²ɕiɪŋ⁴⁴
既然	ki²¹⁻⁵³liɛn²⁴
床巾	t͡sʰŋ̍²⁴⁻²²kun⁴⁴
阿斯塔納	a⁴⁴⁻²²su⁴⁴⁻²²tʰaʔ³²⁻⁵³lap̚⁴
至寶	t͡ɕi²¹⁻⁵³po⁵³
廴	in⁴⁴
泡泡草	pʰaʊ²¹⁻⁵³pʰaʊ²¹⁻⁵³t͡sʰaʊ⁵³
十方	ɕip̚⁴⁻³²hɔŋ⁴⁴
洗錢	sue⁵³⁻⁴⁴t͡ɕĩ²⁴
掌頭仔痕	t͡sŋ̍⁵³⁻⁴⁴tʰaʊ²⁴⁻²²a⁵³⁻⁴⁴hun²⁴
應允	iɪŋ²¹⁻⁵³un⁵³
秋	t͡ɕʰiu⁴⁴
接送	t͡ɕiap̚³²⁻⁴saŋ²¹
以牙還牙	i⁵³⁻⁴⁴ɡe²⁴⁻²²huan²⁴⁻²²ɡe²⁴
品行	pʰin⁵³⁻⁴⁴hiɪŋ²²
矗	tʰiɔk̚³²
閉塞	pi²¹⁻⁵³ɕiɪk̚³²
筆仔尾	pit̚³²⁻⁴a⁵³⁻⁴⁴be⁵³
哄	haŋ⁴⁴
從輕發落	t͡ɕiɔŋ²⁴⁻²²kʰin⁴⁴⁻²²huat̚³²⁻⁴loʔ⁴
寫字	ɕia⁵³⁻⁴⁴li²²
剛正	kɔŋ⁴⁴⁻²²t͡ɕiɪŋ²¹
打馬膠	tam⁵³⁻⁴⁴mã⁵³⁻⁴⁴ka⁴⁴
密友	bit̚⁴⁻³²iu⁵³
割	kat̚³²
慚	t͡sʰam²⁴
老闆	laʊ⁵³⁻⁴⁴pan⁵³
陽	iũ²⁴
半頭生	puã²¹⁻⁵³tʰaʊ²⁴⁻²²t͡ɕʰĩ⁴⁴
顯赫	hiɛn⁵³⁻⁴⁴hiɪk̚³²
淹大水	im⁴⁴⁻²²tua²²⁻²¹t͡sui⁵³
沿岸	iɛn²⁴⁻²²huã²²
宓	bit̚⁴
南美	lam²⁴⁻²²bi⁵³
巡	sun²⁴
體重	tʰe⁵³⁻⁴⁴taŋ²²
潺潺	t͡sʰan²⁴⁻²²t͡sʰan²⁴
警戒	kiɪŋ²¹⁻⁵³kaɪ²¹
暮色	bɔ²²⁻²¹ɕiɪk̚³²
焞	tʰui⁴⁴
枵鬼	iaʊ⁴⁴⁻²²kui⁵³
虔	kʰiɛn²⁴
演出	iɛn⁵³⁻⁴⁴t͡sʰut̚³²
吊𥌚	tiaʊ²¹⁻⁵³baɪ²²
晏	uã²¹
前列	t͡ɕiɛn²⁴⁻²²liɛt̚⁴
潘水	pʰun⁴⁴⁻²²t͡sui⁵³
中崙	tiɔŋ⁴⁴⁻²²lun²²
擁有	iɔŋ²¹⁻⁵³u²²
更新	kiɪŋ⁴⁴⁻²²ɕin⁴⁴
四壯	ɕi²¹⁻⁵³t͡saŋ²¹
羈絆	ki⁴⁴⁻²²puan²¹
謹守	kin⁵³⁻⁴⁴ɕiu⁵³
那	nã⁵³
花式	hue⁴⁴⁻²²ɕit̚³²
孵卵	pu²²⁻²¹nŋ̍²²
超載	t͡ɕʰiaʊ⁴⁴⁻²²t͡saɪ²¹
蝦蛄	he²⁴⁻²²kɔ⁴⁴
操演	t͡sʰaʊ⁴⁴⁻²²iɛn⁵³
巡視	sun²⁴⁻²²ɕi²²
英屬維爾京群島	iɪŋ⁴⁴⁻²²ɕiɔk̚⁴⁻³²ui²⁴⁻²²nĩ⁵³⁻⁴⁴kiɪŋ⁴⁴⁻²²kun²⁴⁻²²to⁵³
油䭁	iu²⁴⁻²²t͡ɕiɛt̚³²
忤逆	ŋɔ̃⁵³⁻⁴⁴ɡiɪk̚⁴
時報	ɕi²⁴⁻²²po²¹
甚而	ɕim²²⁻²¹d͡ʑi²⁴
效益	haʊ²²⁻²¹iɪk̚³²
合手	haʔ⁴⁻²¹t͡ɕʰiu⁵³
飛行	hui⁴⁴⁻²²hiɪŋ²⁴
警官	kiɪŋ⁵³⁻⁴⁴kuã⁴⁴
兇服	hiɔŋ⁴⁴⁻²²hɔk̚⁴
拒付	ki²²⁻²¹hu²¹
裊	niãʊ⁵³
角力	kak̚³²⁻⁴liɪk̚⁴
收歸	ɕiu⁴⁴⁻²²kui⁴⁴
檔期	tɔŋ²¹⁻⁵³ki²⁴
衣食	i⁴⁴⁻²²ɕit̚⁴
鬩	hiɪk̚³²
作	t͡sue²¹
成績單	ɕiɪŋ²⁴⁻²²t͡ɕiɪk̚³²⁻⁴tuã⁴⁴
彼拉多	pi⁵³⁻⁴⁴liap̚⁴⁻³²to⁴⁴
脫產	tʰuat̚³²⁻⁴san⁵³
準星	t͡sun⁵³⁻⁴⁴t͡ɕʰĩ⁴⁴
警局	kiɪŋ⁵³⁻⁴⁴kiɔk̚⁴
苗頭	biaʊ²⁴⁻²²tʰaʊ²⁴
專用	t͡suan⁴⁴⁻²²iɪŋ²²
誤點	ŋɔ̃²²⁻²¹tiam⁵³
血衣	hiɛt̚³²⁻⁴i⁴⁴
土質	tʰɔ⁵³⁻⁴⁴t͡ɕit̚³²
醉意	t͡sui²¹⁻⁵³i²¹
上陸	t͡ɕiũ²²⁻²¹liɔk̚⁴
筆友	pit̚³²⁻⁴iu⁵³
夏至	ha²²⁻²¹t͡ɕi²¹
小雨	ɕio⁵³⁻⁴⁴hɔ²²
音樂學	im⁴⁴⁻²²ɡak̚⁴⁻³²hak̚⁴
啞口無言	a⁵³⁻⁴⁴kʰaʊ⁵³⁻⁴⁴bu²⁴⁻²²ɡiɛn²⁴
抽空	tʰiu⁴⁴⁻²²kʰaŋ⁴⁴
鴉片薰	a⁴⁴⁻²²pʰiɛn²¹⁻⁵³hun⁴⁴
走入	t͡saʊ⁵³⁻⁴⁴d͡ʑip̚⁴
預知	u²²⁻²¹ti⁴⁴
僑	kiaʊ²⁴
預	i²²
得手	tit̚³²⁻⁴t͡ɕʰiu⁵³
小可	ɕio⁵³⁻⁴⁴kʰua⁵³
泅渡	t͡ɕʰiu²⁴⁻²²tɔ²²
體形	tʰe⁵³⁻⁴⁴hiɪŋ²⁴
備份	pi²²⁻²¹hun²²
一蹶不振	it̚³²⁻⁴kuat̚³²⁻⁴put̚³²⁻⁴t͡ɕin⁵³
身高	ɕin⁴⁴⁻²²ko⁴⁴
佛	hut̚⁴
睡	sui²²
狐	hɔ²⁴
據在	ku²¹⁻⁵³t͡saɪ²²
衝擊	t͡ɕʰiɔŋ⁴⁴⁻²²kiɪk̚³²
意境	i²¹⁻⁵³kiɪŋ⁵³
塗沙	tʰɔ²⁴⁻²²sua⁴⁴
網孔	baŋ²²⁻²¹kʰaŋ⁴⁴
積攢	t͡ɕiɪk̚³²⁻⁴t͡san⁵³
時疫	ɕi²⁴⁻²²iɪk̚⁴
半年	puã²¹⁻⁵³nĩ²⁴
釋放	ɕiɪk̚³²⁻⁴hɔŋ²¹
塑料	sɔk̚³²⁻⁴liaʊ²²
連亙	liɛn²⁴⁻²²kiɪŋ²¹
換帖兄弟	uã²²⁻²¹tʰiap̚³²⁻⁴hiã⁴⁴⁻²²ti²²
滷	lɔ²²
假幣	ke⁵³⁻⁴⁴pe²¹
蠱	kɔ⁵³
寒帶	han²⁴⁻²²taɪ²¹
講解	kaŋ⁵³⁻⁴⁴kaɪ⁵³
把攏	pa⁵³⁻⁴⁴laŋ⁵³
災	t͡se⁴⁴
炮製	pʰaʊ²⁴⁻²²t͡se²¹
學友	hak̚⁴⁻³²iu⁵³
氣功	kʰi²¹⁻⁵³kaŋ⁴⁴
顯明	hiɛn⁵³⁻⁴⁴biɪŋ²⁴
種植	t͡ɕiɪŋ²¹⁻⁵³ɕit̚⁴
謁	iɛt̚³²
走路	t͡saʊ⁵³⁻⁴⁴lɔ²²
複賽	hɔk̚⁴⁻³²saɪ²¹
鷗	ɔ⁴⁴
現役	hiɛn²²⁻²¹iaʔ⁴
虎母	hɔ⁵³⁻⁴⁴bu⁵³
心目	ɕim⁴⁴⁻²²bɔk̚⁴
崇	t͡sɔŋ²⁴
誰	ɕiaŋ²⁴
扛	kɔŋ⁴⁴
意願	i²¹⁻⁵³ɡuan²²
告誡	ko²¹⁻⁵³kaɪ²¹
弓仔	kiŋ⁴⁴⁻²²a⁵³
原住民	ɡuan²⁴⁻²²t͡su²²⁻²¹bin²⁴
起底	kʰi⁵³⁻⁴⁴te⁵³
苟且	kɔ⁵³⁻⁴⁴t͡ɕʰiã⁵³
必脣	pit̚³²⁻⁴tun²⁴
得心應手	tit̚³²⁻⁴ɕim⁴⁴⁻²²iɪŋ²¹⁻⁵³t͡ɕʰiu⁵³
青翠	t͡ɕʰiɪŋ⁴⁴⁻²²t͡sʰui²¹
密碼學	bit̚⁴⁻³²be⁵³⁻⁴⁴hak̚⁴
嘻娎	hi⁴⁴⁻²²hiaʊ²¹
草刺	t͡sʰaʊ⁵³⁻⁴⁴t͡ɕʰi²¹
冬天	tɔŋ⁴⁴⁻²²tʰiɛn⁴⁴
靜寂	t͡ɕiɪŋ²²⁻²¹t͡ɕiɪk̚⁴
通紅	tʰɔŋ⁴⁴⁻²²hɔŋ²⁴
過日子	kue²¹⁻⁵³d͡ʑit̚⁴⁻³²t͡ɕi⁵³
年幼	nĩ²⁴⁻²²iu²¹
不明不白	put̚³²⁻⁴biɪŋ²⁴⁻²²put̚³²⁻⁴peʔ⁴
授意	ɕiu²²⁻²¹i²¹
失效	ɕit̚³²⁻⁴haʊ²²
焮	him²¹
西餐	se⁴⁴⁻²²t͡sʰan⁴⁴
魚池	hi²⁴⁻²²ti²⁴
乞食碗草	kʰit̚³²⁻⁴t͡ɕiaʔ⁴⁻²¹uã⁵³⁻⁴⁴t͡sʰaʊ⁵³
旅行支票	lu⁵³⁻⁴⁴hiɪŋ²⁴⁻²²t͡ɕi⁴⁴⁻²²pʰio²¹
急燒	kip̚³²⁻⁴ɕio⁴⁴
釣餌	tio²¹⁻⁵³li²²
主唱	t͡su⁵³⁻⁴⁴t͡ɕʰiũ²¹
別名	piɛt̚⁴⁻³²miã²⁴
不妥	put̚³²⁻⁴tʰo²¹
袋錶	te²²⁻²¹pio⁵³
岡陵	kɔŋ⁴⁴⁻²²liɪŋ²⁴
逐	t͡ɕip̚³²
冷房	liɪŋ⁵³⁻⁴⁴paŋ²⁴
潰爛	kʰui²¹⁻⁵³nuã²²
