aalenian	aːlenian
foarte	fo̯arte
folositele	folositele
formalitate	formalitate
formaseră	formaserə
formezi	formezʲ
formă	formə
frec	frek
freca	freka
frecai	frekaj
frecam	frekam
frecară	frekarə
frecarăm	frekarəm
frecarăți	frekarət͡sʲ
frecase	frekase
frecasem	frekasem
frecaseră	frekaserə
frecaserăm	frekaserəm
frecaserăți	frekaserət͡sʲ
frecaseși	frekaseʃʲ
frecat	frekat
frecau	frekaw
frecași	frekaʃʲ
frecați	frekat͡sʲ
freci	fret͡ʃʲ
frecă	frekə
frecăm	frekəm
frumoasele	frumo̯asele
frumoșii	frumoʃij
fulgerai	fuld͡ʒeraj
fuma	fuma
fumai	fumaj
fumam	fumam
fumară	fumarə
fumarăm	fumarəm
fumarăți	fumarətsʲ
fumase	fumase
fumasem	fumasem
fumaseră	fumaserə
fumaserăm	fumaserəm
fumaserăți	fumaserətsʲ
fumaseși	fumaseʃʲ
fumat	fumat
fumau	fumaw
fumași	fumaʃʲ
fumați	fumat͡sʲ
fumează	fumjazə
fumez	fumez
fumezi	fumezʲ
fumând	fumɨnd
fumă	fumə
fumăm	fuməm
fur	fur
furi	furʲ
fură	furə
furăm	furəm
fututelor	fututelor
giacă	dʒjakə
gânditului	ɡɨndituluj
gânduri	ɡɨndurʲ
găsească	ɡəsjaskə
haotic	haotik
harpe	harpe
homosexuala	homoseksuala
homosexualei	homoseksualej
homosexualele	homoseksualele
homosexualelor	homoseksualelor
homosexuală	homoseksualə
intern	intern
iubeai	jubʲæj
iubeam	jubʲæm
iubeau	jubʲæu
iubeați	jubʲæt͡sʲ
iubesc	jubesk
iubește	jubeʃte
iubești	jubeʃtʲ
iubi	jubi
iubii	jubiː
iubim	jubim
iubind	jubind
iubiră	jubirə
iubirăm	jubirəm
iubirăți	jubirət͡sʲ
iubise	jubise
iubisem	jubisem
iubiseră	jubiserə
iubiserăm	jubiserəm
iubiserăți	jubiserət͡sʲ
iubiseși	jubiseʃʲ
iubit	jubit
iubite	jubite
iubiși	jubiʃʲ
iubiți	jubit͡sʲ
lapte	lapte
laptele	laptele
laptelui	lapteluj
latină	latinə
limbi	limbi
limitaserăm	limitaserəm
limitat	limitat
ling	liŋɡ
linge	lindʒe
lingi	lindʒʲ
lins	lins
lucruri	lukrurʲ
lumini	luminʲ
lupi	lupʲ
macedonean	mat͡ʃedone̯an
maro	maɾo
masturbaților	masturbat͡silor
mihai	mihaj
mișcare	miʃkare
mobil	mobil
necăjitele	nekəʒitele
nici	nitʃʲ
nicicând	nit͡ʃʲkɨnd
nominale	nominale
nominali	nominalʲ
nori	norʲ
numească	numjaskə
numerele	numerele
numitei	numitej
numitului	numituluj
numită	numitə
nălucitele	nəlut͡ʃitele
nălucitelor	nəlut͡ʃitelor
observații	observat͡siː
oceania	otʃe̯ania
omniprezențelor	omniprezentselor
omniprezență	omniprezentsə
orgasmic	orɡasmik
ou	ow
palme	palme
persefona	persefona
persoană	perso̯anə
piloteze	pilotaeze
pizde	pizde
pișa	piʃa
plictisitului	pliktisituluj
poartă	po̯artə
polonez	polonez
popescu	popesku
porniții	pornit͡siː
porți	portsʲ
preludiu	preludju
prezervativ	prezervativ
prezervativele	prezervativele
prezervativelor	prezervativelor
prezervativului	prezervativuluj
prietenei	prietenej
prietenele	prietenele
prietenelor	prietenelor
prieteni	prietenʲ
prietenie	prietenie
prietenă	prietenə
primească	prime̯askə
primeați	primjatsʲ
primitului	primituluj
proci	pɾot͡ʃʲ
proiect	projɛkt
promise	promise
promisiuni	promisiunʲ
pula	pula
purta	purta
puț	puts
puțoi	putsoj
păcat	pəkat
păianjeni	pəjanʒenʲ
părinți	pərint͡sʲ
racoviță	rakovit͡sə
rar	rar
realitate	realitate
resursă	resursə
ridic	ridik
ridici	ridit͡ʃʲ
rozmarin	rozmarin
răbda	rəbda
rădașcă	rədaʃkə
răpite	rəpite
răpitelor	rəpitelor
răpiții	rəpit͡siː
răspuns	ɾəspuns
sarcastic	sarkastik
scrisoare	skriso̯are
scrotal	skrotal
scrotala	skrotala
scrotale	skrotale
scrotalei	skrotalej
scrotalele	skrotalele
scrotali	skrotalʲ
scrotalii	skrotaliː
scrotalilor	skrotalilor
scrotalului	skrotaluluj
scrotală	skrotalə
sexe	sekse
sfârșească	sfɨrʃjaskə
sfârșite	sfɨrʃite
sfârșitului	sfɨrʃituluj
sfârșită	sfɨrʃitə
sloboz	sloboz
slovenele	slovenele
sodomizase	sodomizase
sodomizasem	sodomizasem
sodomizaserăți	sodomizaserət͡sʲ
soli	solʲ
somai	somaj
somam	somam
somară	somarə
somarăm	somarəm
somarăți	somarətsʲ
somase	somase
somasem	somasem
somaseră	somaserə
somaserăm	somaserəm
somaserăți	somaserətsʲ
somaseși	somaseʃʲ
somau	somaw
somași	somaʃʲ
somează	somjazə
somez	somez
someze	someze
somezi	somezʲ
somând	somɨnd
somă	somə
somăm	soməm
specialitate	spet͡ʃialitate
spovedească	spovedjaskə
spovedite	spovedite
spoveditele	spoveditele
stimuleze	stimuleze
stimuli	stimulʲ
strige	strid͡ʒe
strungă	strunɡə
sufăr	sufər
sângerară	sɨnd͡ʒerarə
sângerarăți	sɨnd͡ʒerarətsʲ
sângeraseră	sɨnd͡ʒeraserə
sângeraserăm	sɨnd͡ʒeraserəm
sângeraserăți	sɨnd͡ʒeraserətsʲ
sângeraseși	sɨnd͡ʒeraseʃʲ
sângerat	sɨnd͡ʒerat
sângerau	sɨnd͡ʒeraw
sângerași	sɨnd͡ʒeraʃʲ
sângerați	sɨnd͡ʒerat͡sʲ
sângerează	sɨnd͡ʒerjazə
sângerez	sɨnd͡ʒerez
sângerând	sɨnd͡ʒerɨnd
sângeră	sɨnd͡ʒerə
sângerăm	sɨnd͡ʒerəm
tind	tind
tipe	tipe
torturau	torturaw
torturează	torturjazə
transmit	transmit
trimite	trimite
tub	tub
tură	turə
urce	urt͡ʃe
urinaseră	urinaserə
urinau	urinaw
urineze	urineze
varujan	varuʒan
vei	vej
veninos	veninos
veștejitei	veʃteʒitej
veștejiții	veʃteʒit͡siː
veștejiților	veʃteʒit͡silor
visătoare	visətware
vocale	vokale
vreți	vretsʲ
zăcea	zətʃjæ
zăpușiseși	zəpuʃiseʃʲ
zăpușit	zəpuʃit
zăpușiților	zəpuʃit͡silor
îi	ɨj
îmbunătățite	ɨmbunətət͡site
începe	ɨntʃepe
închide	ɨnkide
îngeri	ɨndʒerʲ
întărea	ɨntərja
întăreai	ɨntərjaj
întăream	ɨntərjam
întăreau	ɨntərjaw
întăreați	ɨntərjatsʲ
întăresc	ɨntəresk
întărește	ɨntəreʃte
întărești	ɨntəreʃtʲ
întări	ɨntəri
întării	ɨntəriː
întărim	ɨntərim
întărind	ɨntərind
întăriră	ɨntərirə
întărirăm	ɨntərirəm
întărirăți	ɨntərirətsʲ
întărise	ɨntərise
întărisem	ɨntərisem
întăriseră	ɨntəriserə
întăriserăm	ɨntəriserəm
întăriserăți	ɨntəriserətsʲ
întăriseși	ɨntəriseʃʲ
întărit	ɨntərit
întăritele	ɨntəritele
întăriși	ɨntəriʃʲ
întăriți	ɨntərit͡sʲ
șantajaserăți	ʃantaʒaserət͡sʲ
șantajurile	ʃantaʒurile
șoptiților	ʃoptit͡silor
ție	tsie
