abejingesnis	ɐbʲɛjɪnɡʲɛsʲnʲɪs
dieviškumų	dʲjɛʋʲɪʃkʊmuː
dieviškuoju	dʲjɛʋʲɪʃkʊojʊ
dieviškąja	dʲjɛʋʲɪʃkaːjɛ
duodanti	duɔdɐnʲtʲɪ
duodavusiose	duɔdɐʋʊsʲosʲɛ
duodavusiųjų	duɔdɐʋʊsʲuːjuː
dėmėms	dʲeːmʲeːms
eik	ɛɪ̯ˑk
eiti	ɛjːtʲɪ
ejakuliuojančiuoju	ɛjɛkʊlʲuojɛnʲtʲʃʲʊojʊ
epicentre	ɛpʲɪt͡sʲɛnʲtʲrʲɛ
esantieji	ɛsɐnʲtʲjɛjɪ
esančią	ɛsɐnʲtʲʃʲæ
evangelija	ɛʋɐnʲɡʲɛlʲɪjɛ
ežero	æːʒʲɛɾo
ežeru	æːʒʲɛɾʊ
ežerus	æːʒʲɛɾʊs
ežerą	æːʒʲɛɾaː
gaisras	ɡɐɪ̯ˑs̪rɐs̪
galinčiai	ɡaːlʲɪnʲtʲʃʲɛj
galinčiame	ɡaːlʲɪnʲtʲʃʲɛmʲɛ
galinčio	ɡaːlʲɪnʲtʲʃʲo
galinčioje	ɡaːlʲɪnʲtʲʃʲojɛ
galėdamos	ɡɐlʲeːdɐmos
galį	ɡaːlʲiː
gatvės	ɡaːtʲʋʲeːs
gatvę	ɡaːtʲʋʲæː
gauti	ɡaʊtʲɪ
getas	ɡʲɛtɐs
getą	ɡʲɛtaː
gilesniojoje	ɡʲɪlʲɛsʲnʲoːjojɛ
giliojo	ɡʲɪlʲojo
giliųjų	ɡʲɪlʲuːjuː
gilė	ɡʲɪlʲeː
graikiškoji	ɡrɐjkʲɪʃkojɪ
gražiąją	ɡɾaːʒʲæːjæː
greitaisiais	ɡɾɛjtɐjsʲɛjs
greituosius	ɡɾɛjtuɔsʲʊs
gulbes	ɡʊlʲbʲɛs
gysla	ɡʲîːslɐ
haliucinavusias	hɐlʲʊtʲsʲɪnaːʋʊsʲɛs
haliucinuodavusiojo	hɐlʲʊtʲsʲɪnuodɐʋʊsʲojo
haliucinuosiančiais	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲʃʲɛjs
ispaniškąsias	ɪspaːnʲɪʃkaːsʲɛs
itališka	ɪtaːlʲɪʃkɐ
itališkai	ɪtaːlʲɪʃkɐj
itališkais	ɪtaːlʲɪʃkɐjs
itališkas	ɪtaːlʲɪʃkɐs
itališki	ɪtaːlʲɪʃʲkʲɪ
itališkiems	ɪtaːlʲɪʃʲkʲjɛms
itališko	ɪtaːlʲɪʃko
itališkojoje	ɪtaːlʲɪʃkojojɛ
itališkomis	ɪtaːlʲɪʃkomʲɪs
itališkos	ɪtaːlʲɪʃkos
itališkosios	ɪtaːlʲɪʃkosʲos
itališku	ɪtaːlʲɪʃkʊ
itališkuose	ɪtaːlʲɪʃkʊosʲɛ
itališkus	ɪtaːlʲɪʃkʊs
itališką	ɪtaːlʲɪʃkaː
itališkų	ɪtaːlʲɪʃkuː
išduosiančiam	ɪʃduɔsʲɛnʲtʲʃʲɛm
iškeliaujančiųjų	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲuːjuː
ištatuiravusiame	ɪʃtɐtʊɪraːʋʊsʲɛmʲɛ
ištatuiravusiosios	ɪʃtɐtʊɪraːʋʊsʲosʲos
jaunuolis	jɐunʊɔlʲɪs
jeigu	jæjɡʊ
ji	jɪ
joks	joks
kadangi	kɐdaːŋɡɪ
kalba	kɐlbɐ
kalbame	kɐlbɐmʲɛ
kalbančia	kɐlbɐnʲtʲʃʲɛ
kalbančiojo	kɐlbɐnʲtʲʃʲojo
kalbate	kɐlbɐtʲɛ
kalbi	kɐlbʲɪ
kalbu	kɐlbʊ
kalbąs	kɐlbaːs
kalbėdamas	kɐlʲbʲeːdɐmɐs
kalbėti	kɐlbʲeːtʲɪ
kalnų	kɐlnuː
kamuolys	kɐmuəlʲǐːs̪
kapšelyje	kɐpʲʃʲæːlʲiːjɛ
katinas	kaːtɪnɐs
katėmis	kɐtʲeːmʲɪs
kaukolė	kaʊkoleː
kačių	kɐtʲʃʲuː
keliaujančiai	kʲɛlʲæʊjɛnʲtʲʃʲɛj
keliaujančios	kʲɛlʲæʊjɛnʲtʲʃʲos
kelionė	kɛlʲoːneː
kiaunė	kʲæʊnʲeː
klaidingiausiam	klɐjdʲɪnʲɡʲæːʊsʲɛm
klaidingus	klɐjdʲɪnɡʊs
knygai	kʲnʲiːɡɐj
kompiuteriu	komʲpʲʊtʲɛrʲʊ
korporacija	kɔrpɔraːtsɪjɛ
košės	koːʃʲeːs
kraujagyslė	krɐʊ̯jæːɡʲiːsʲlʲeː
kūnu	kuːnʊ
lapei	laːpʲɛj
latvis	laːtʲʋʲɪs
latviškosios	laːtʲʋʲɪʃkosʲos
lavonais	lɐʋoːnɐjs
lazda	lɐzdɐ
lazdą	laːzdaː
lenkas	lɛŋkɐs
liaudis	lʲɛʊ̯dɪs
lietuvis	lʲjɛtʊʋʲɪs
lietuviška	lʲjɛtʊʋʲɪʃkɐ
lietuviškajai	lʲjɛtʊʋʲɪʃkɐjɛj
lietuviškam	lʲjɛtʊʋʲɪʃkɐm
lietuviškojo	lʲjɛtʊʋʲɪʃkojo
lietuviškojoje	lʲjɛtʊʋʲɪʃkojojɛ
lietuviškąjį	lʲjɛtʊʋʲɪʃkaːjiː
lietuviškų	lʲjɛtʊʋʲɪʃkuː
lovas	loːʋɐs
matantį	maːtɐnʲtʲiː
matančiajam	maːtɐnʲtʲʃʲɛjɛm
matančių	maːtɐnʲtʲʃʲuː
mažesniajame	mɐʒʲɛsʲnʲæːjɛmʲɛ
mažesnysis	mɐʒʲɛsʲnʲiːsʲɪs
mažiausiuosius	mɐʒʲæːʊsʲʊosʲʊs
mažiausiųjų	mɐʒʲæːʊsʲuːjuː
mažieji	mɐʒʲjɛjɪ
mažojoje	mɐʒoːjojɛ
mažuosius	mɐʒuɔsʲʊs
medi	mæːdɪ
medžiui	mæːdʒʊɪ
meiles	mʲæːjlʲɛs
meniškesniajame	mʲɛnʲɪʃʲkʲɛsʲnʲæːjɛmʲɛ
meniškiausiajame	mʲɛnʲɪʃʲkʲæːʊsʲɛjɛmʲɛ
mokykloms	mokʲiːkloms
mokyklos	mokʲiːklos
moteriškojo	moːtʲɛɾʲɪʃkojo
moterys	moːtʲɛrʲis
mumis	mʊmɪs
myli	mʲilʲɪ
mylinčiu	mʲiːlʲɪnʲtʲʃʲʊ
mylinčią	mʲiːlʲɪnʲtʲʃʲæː
myliu	mʲiːlʲʊ
mylėdamas	mʲiːlʲeːdɐmɐs
mylėjo	mʲilʲeːjɔ
mylėjęs	mʲiːlʲeːjæːs
mylėsiančiuosiuose	mʲiːlʲeːsʲɛnʲtʲʃʲʊosʲʊosʲɛ
mylėti	mʲilʲeːtʲɪ
mylįs	mʲiːlʲiːs
mėnulis	mʲeːnʊlʲɪs
narkotikas	nɐɾkotʲɪkɐs
naudotojus	nɐʊdoːtojʊs
naudotojų	nɐʊdoːtojuː
nebeprisikiškiakopūsteliavę	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʲæː
nekrologą	nʲɛkroloɡaː
netvarkingiausiajai	nʲɛtʋɐɾʲkʲɪnʲɡʲæːʊsʲɛjɛj
nukeliaujantį	nʊkʲɛlʲæʊjɛnʲtʲiː
nuodinguosius	nuɔdʲɪnɡʊosʲʊs
nutarimais	nʊtɐɾʲɪmɐjs
olandiškajame	olaːnʲdʲɪʃkɐjɛmʲɛ
orgiškesniojo	orʲɡʲɪʃʲkʲɛsʲnʲojo
orgiškesniąja	orʲɡʲɪʃʲkʲɛsʲnʲæːjɛ
orgiškąsias	orʲɡʲɪʃkaːsʲɛs
palapinė	pɐɫɐpʲɪn̪ʲeː
paramas	paːɾɐmɐs
pardavėjau	pɐɾdɐʋʲeːjɛʊ
paslaptingesniajame	pɐslɐptʲɪnʲɡʲɛsʲnʲæːjɛmʲɛ
paslaptingesniesiems	pɐslɐptʲɪnʲɡʲɛsʲnʲjɛsʲjems
patarimams	pɐtɐɾʲɪmɐms
patrauklesne	pɐtɾɐʊkʲlʲɛsʲnʲɛ
patrauklesnes	pɐtɾɐʊkʲlʲɛsʲnʲɛs
patrauklesnė	pɐtɾɐʊkʲlʲɛsʲnʲeː
patrauklesnėmis	pɐtɾɐʊkʲlʲɛsʲnʲeːmʲɪs
patrauklesnėms	pɐtɾɐʊkʲlʲɛsʲnʲeːms
patrauklesnės	pɐtɾɐʊkʲlʲɛsʲnʲeːs
patrauklesnę	pɐtɾɐʊkʲlʲɛsʲnʲæː
patraukliausi	pɐtɾɐʊkʲlʲæːʊsʲɪ
patraukliausias	pɐtɾɐʊkʲlʲæːʊsʲɛs
patraukliausiomis	pɐtɾɐʊkʲlʲæːʊsʲomʲɪs
patraukliausios	pɐtɾɐʊkʲlʲæːʊsʲos
patraukliausiu	pɐtɾɐʊkʲlʲæːʊsʲʊ
patraukliausiuose	pɐtɾɐʊkʲlʲæːʊsʲʊosʲɛ
patraukliausią	pɐtɾɐʊkʲlʲæːʊsʲæː
patraukliausių	pɐtɾɐʊkʲlʲæːʊsʲuː
pelėdų	pʲɛlʲeːduː
perdavėjus	pʲæːɾdɐʋʲeːjʊs
pieštukus	pʲiɛʃtʊkʊs
pingvino	pʲɪnʲɡʲʋʲɪno
pisantysis	pʲɪsɐnʲtʲiːsʲɪs
pisančiajam	pʲɪsɐnʲtʲʃʲɛjɛm
plaukti	pɫɒʊ̯ˑkʲtʲɪ
pradėti	prɐd̪ʲêːt̪ʲɪ
prakeliaujantiesiems	prɐkʲɛlʲæʊjɛnʲtʲjɛsʲjɛms
profesija	profʲɛsʲɪjɛ
profesijos	profʲɛsʲɪjos
profesijų	profʲɛsʲɪjuː
proporcionaliame	prɔpɔrt̪͡s̪ɪjoːnɐlʲɛmʲɛ
pusbroliuose	pʊsbrolʲʊosʲɛ
puslapius	pʊslɐpʲʊs
pusseserių	pʊsʲɛsʲɛrʲuː
rabinas	raːbʲɪnɐs
raumuo	rɐʊ̯ˑmuə
respublikai	ɾʲɛspʊbʲlʲɪkɐj
rezultatai	ɾʲɛzʊltaːtɐj
rezultatuose	ɾʲɛzʊltaːtʊosʲɛ
rinkinys	rʲɪnʲkʲɪnʲiːs
rusiškojoje	rʊsʲɪʃkojojɛ
rytas	ɾʲiːtɐs
rūšis	rûːʃʲɪs̪
sakantį	saːkɐnʲtʲiː
sakančias	saːkɐnʲtʲʃʲɛs
sakančio	saːkɐnʲtʲʃʲo
salamandra	sɐlɐmaːndɾɐ
sapnavo	sɐpnaʋɔ
sapnavusia	sɐpnaːʋʊsʲɛ
sapnavęs	sɐpnaːʋʲæːs
sapnuoja	sɐpnuɔjɐ
sapnuojame	sɐpnuɔjɐmɛ
sapnuojate	sɐpnuɔjɐtɛ
sapnuoji	sɐpnuɔjɪ
sapnuoju	sɐpnuɔjʊ
sapnuoti	sɐpnuɔtʲɪ
sapnų	sɐpnuː
savęs	sɐvʲæːs
senai	sʲæːnɐj
senais	sʲɛnɐjs
senam	sʲɛnaːm
sename	sʲɛnɐmʲɛ
senas	sʲæːnɐs
senesne	sʲɛnʲɛsʲnʲɛ
senesnes	sʲɛnʲɛsʲnʲɛs
senesni	sʲɛnʲɛsʲnʲɪ
senesniais	sʲɛnʲɛsʲnʲɛjs
senesniam	sʲɛnʲɛsʲnʲæːm
senesniems	sʲɛnʲɛsʲnʲjɛms
senesnio	sʲɛnʲɛsʲnʲo
senesnis	sʲɛnʲɛsʲnʲɪs
senesniu	sʲɛnʲɛsʲnʲʊ
senesniuose	sʲɛnʲɛsʲnʲʊosʲɛ
senesnius	sʲɛnʲɛsʲnʲʊs
senesnių	sʲɛnʲɛsʲnʲuː
senesnė	sʲɛnʲɛsʲnʲeː
senesnėje	sʲɛnʲɛsʲnʲeːjɛ
senesnėmis	sʲɛnʲɛsʲnʲeːmʲɪs
senesnėms	sʲɛnʲɛsʲnʲeːms
senesnės	sʲɛnʲɛsʲnʲeːs
senesnėse	sʲɛnʲɛsʲnʲeːsʲɛ
senesnę	sʲɛnʲɛsʲnʲæː
senesnį	sʲɛnʲɛsʲnʲiː
seni	sʲɛnʲɪ
seniausi	sʲɛnʲæːʊsʲɪ
seniausia	sʲɛnʲæːʊsʲɛ
seniausiai	sʲɛnʲæːʊsʲɛj
seniausiais	sʲɛnʲæːʊsʲɛjs
seniausiam	sʲɛnʲæːʊsʲɛm
seniausiame	sʲɛnʲæːʊsʲɛmʲɛ
seniausias	sʲɛnʲæːʊsʲɛs
seniausiems	sʲɛnʲæːʊsʲjɛms
seniausio	sʲɛnʲæːʊsʲo
seniausioje	sʲɛnʲæːʊsʲojɛ
seniausios	sʲɛnʲæːʊsʲos
seniausiose	sʲɛnʲæːʊsʲosʲɛ
seniausiu	sʲɛnʲæːʊsʲʊ
seniausiuose	sʲɛnʲæːʊsʲʊosʲɛ
seniausius	sʲɛnʲæːʊsʲʊs
seniausią	sʲɛnʲæːʊsʲæː
seniausių	sʲɛnʲæːʊsʲuː
senieji	sʲɛnʲjɛjɪ
seniems	sʲɛnʲjɛms
seno	sʲæːno
senoje	sʲɛnojɛ
senomis	sʲɛnomʲɪs
senoms	sʲɛnoːms
senose	sʲɛnosʲɛ
senu	sʲɛnʊ
senuoju	sʲɛnuɔjʊ
senuose	sʲɛnʊosʲɛ
senuosius	sʲɛnuɔsʲʊs
senus	sʲɛnʊs
seną	sʲæːnaː
senų	sʲɛnuː
serbiškajai	sʲɛrʲbʲɪʃkɐjɛj
serbiškas	sʲɛrʲbʲɪʃkɐs
serbiškoje	sʲɛrʲbʲɪʃkojɛ
sinonimas	sʲɪnɔnʲɪmɐs
siūle	sʲuːlʲɛ
siūlus	sʲuːlʊs
skalikų	skɐlʲɪkuː
smulkmenas	smʊlʲkʲmʲɛnɐs
smulkmeniškesniuosius	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲuɔsʲʊs
spalva	spɐlʋɐ
spermatozoidais	sʲpʲɛɾmɐtozojdɐjs
spermatozoidą	sʲpʲɛɾmɐtozojdaː
srautą	srɐutaː
stebinčias	sʲtʲæːbʲɪnʲtʲʃʲɛs
sunaudotoją	sʊnɐʊdoːtojæː
sutarimas	sʊtɐɾʲɪmɐs
sutarti	sʊtɐɾtʲɪ
svajonių	sʋɐjoːnʲuː
sėdinti	sʲeːdʲɪnʲtʲɪ
sėdinčias	sʲeːdʲɪnʲtʲʃʲɛs
sėklose	sʲeːklosʲɛ
tarnui	tɐrnʊɪ
tatuiravusysis	tɐtʊɪraːʋʊsʲiːsʲɪs
tatuiruojančioje	tɐtʊɪruɔjɛnʲtʲʃʲojɛ
tave	tɐʋʲɛ
turkiškoji	tʊrʲkʲɪʃkojɪ
tvarkingiausiąja	tʋɐɾʲkʲɪnʲɡæːʊsʲæːjɛ
tvarkingiausiąją	tʋɐɾʲkʲɪnʲɡæːʊsʲæːjæː
tylėti	tʲiːleːtʲɪ
ugningesniuoju	ʊɡʲnʲɪnʲɡʲɛsʲnʲuɔjʊ
ugningoji	ʊɡʲnʲɪnɡojɪ
uodegikauliams	ʊodʲɛɡʲɪkɐʊlʲɛms
uostuose	uɔstʊosʲɛ
upeliams	ʊpʲæːlʲɛms
upeliu	ʊpʲɛlʲʊ
upelių	ʊpʲæːlʲuː
upine	ʊpʲɪnʲɛ
upines	ʊpʲɪnʲɛs
upiniai	ʊpʲɪnʲɛj
upinio	ʊpʲɪnʲo
upiniu	ʊpʲɪnʲʊ
upiniuose	ʊpʲɪnʲʊosʲɛ
upinių	ʊpʲɪnʲuː
upėmis	ʊpʲeːmʲɪs
upę	ʊpʲæː
vaistus	ʋaːjstʊs
vaizdingumams	ʋɐjzʲdʲɪnɡʊmɐms
valgančiąją	ʋaːlɡɐnʲtʲʃʲæːjæː
valgytojo	ʋaːlʲɡʲiːtojo
varpą	ʋarpa
vartojantys	ʋɐrtoːjɛnʲtʲiːs
vartojančiojo	ʋɐrtoːjɛnʲtʲʃʲojo
vartojančius	ʋɐrtoːjɛnʲtʲʃʲʊs
velka	vʲɛlkɐ
vilką	ʋʲɪlkaː
vokietės	ʋoːkʲjɛtʲeːs
vokietę	ʋoːkʲjɛtʲæː
vokiškoji	ʋoːkʲɪʃkojɪ
vorą	ʋora
vyzdys	vʲiːzʲdʲǐːs̪
yda	iːdɐ
ypatingajam	iːpɐtʲɪnɡɐjɛm
ypatingiausiosioms	iːpɐtʲɪnʲɡʲæːʊsʲosʲoms
ypatinguosius	iːpɐtʲɪnɡʊosʲʊs
čekiškąja	tʲʃʲɛkʲɪʃkaːjɛ
įduodančių	iːduɔdɐnʲtʲʃʲuː
įduosiantiesiems	iːduɔsʲɛnʲtʲjɛsʲjɛms
įkeliaujančios	iːkʲɛlʲæʊjɛnʲtʲʃʲos
įnagininku	iːnɐɡʲɪnʲɪnkʊ
įspūdingoji	iːspuːdʲɪnɡojɪ
įspūdingumui	iːspuːdʲɪnɡʊmʊɪ
įtarimų	iːtɐɾʲɪmuː
įvairus	iːvɐɪ̯ˑrʊs̪
įvykiai	iːʋʲiːkʲɛj
įvykiams	iːʋʲiːkʲɛms
šakomis	ʃɐkomʲɪs
šermuonėlis	ʃʲɛɾmʊɔnʲeːlʲɪs
šiltas	ʃʲɪltɐs
šoka	ʃoːkɐ
šokdavo	ʃoːkdɐʋo
švelnu	ʃʲʋʲɛlnʊ
šypseną	ʃʲiːpʲsʲɛna
šypsenų	ʃʲiːpʲsʲɛnu
ūkų	uːkuː
žemaitiškiesiems	ʒʲɛmɐjtʲɪʃʲkʲjɛsʲjems
žemynais	ʒʲɛmʲiːnɐjs
žemynu	ʒʲɛmʲiːnʊ
žemynuose	ʒʲɛmʲiːnʊosʲɛ
žiedynu	ʒʲjɛdʲiːnʊ
žinduolių	ʒʲɪndʊolʲu
žiurkė	ʒʲʊɾʲkʲeː
žiūrinčią	ʒʲuːrʲɪnʲtʲʃʲæː
žmogiškieji	ʒmoːɡʲɪʃʲkʲjɛjɪ
žmoniškesniosiose	ʒmonʲɪʃʲkʲɛsʲnʲoːsʲosʲɛ
žmoniškojo	ʒmoːnʲɪʃkojo
žmoniškųjų	ʒmoːnʲɪʃkuːjuː
žolėse	ʒolʲeːsʲɛ
žvaigždynais	ʒʋɐjɡʲʒʲdʲiːnɐjs
žvaigždėmis	ʒʋɐjɡʲʒʲdʲeːmʲɪs
žvaigždės	ʒʋɐjɡʲʒʲdʲeːs
žvaigždę	ʒʋɐjɡʲʒʲdʲæː
