あいしゅう	a̠iɕɨᵝː
しきそう	ɕikʲiso̞ː
ししょ	ɕiɕo̞
しつおん	ɕit͡sɨᵝõ̞ɴ
しつごしょう	ɕit͡sɨᵝɡo̞ɕo̞ː
しつないゆうぎ	ɕit͡sɨᵝna̠ijɯ̟ᵝːɡʲi
しどう	ɕido̞ː
しにん	ɕiɲ̟ĩɴ
しぬ	ɕinɯ̟ᵝ
しゃかいじん	ɕa̠ka̠iʑĩɴ
しゅうしょう	ɕɨᵝːɕo̞ː
しゅっぺい	ɕɨᵝp̚pe̞ː
しょうこ	ɕo̞ːko̞
しょうみ	ɕo̞ːmʲi
しょくもつせんい	ɕo̞kɯ̟ᵝmo̞t͡sɨᵝsẽ̞ɰ̃i
しょけん	ɕo̞kẽ̞ɴ
しょちょう	ɕo̞t͡ɕo̞ː
しらさぎ	ɕiɾa̠sa̠ɡʲi
しらぬい	ɕiɾa̠nɯ̟ᵝi
しろたえ	ɕiɾo̞ta̠e̞
しんしん	ɕĩɰ̃ɕĩɴ
しんじたい	ɕĩɲ̟d͡ʑita̠i
しんじる	ɕĩɲ̟d͡ʑiɾɯ̟ᵝ
しんじんるい	ɕĩɲ̟d͡ʑĩnɾɯ̟ᵝi
しんちょう	ɕĩɲ̟t͡ɕo̞ː
しんぴつ	ɕĩmpʲit͡sɨᵝ
しんゆう	ɕĩɰ̃jɯ̟ᵝː
じがい	d͡ʑiɡa̠i
じきゅう	d͡ʑikʲɨᵝː
じさつ	d͡ʑisa̠t͡sɨᵝ
じひ	d͡ʑiçi
じゃり	d͡ʑa̠ɾʲi
じゅ	d͡ʑɨᵝ
じゅんしょく	d͡ʑɨ̃ᵝɰ̃ɕo̞kɯ̟ᵝ
じょうかく	d͡ʑo̞ːka̠kɯ̟ᵝ
じょうもん	d͡ʑo̞ːmõ̞ɴ
じょしりょう	d͡ʑo̞ɕiɾʲo̞ː
すいあげる	sɨᵝia̠ɡe̞ɾɯ̟ᵝ
すいさい	sɨᵝisa̠i
すいどう	sɨᵝido̞ː
すいもん	sɨᵝimõ̞ɴ
すえおそろしい	sɨᵝe̞o̞so̞ɾo̞ɕiː
すさのお	sɨ̥ᵝsa̠no̞o̞
すずらん	sɨᵝzɨᵝɾã̠ɴ
せいいっぱい	se̞ːip̚pa̠i
せいさく	se̞ːsa̠kɯ̟ᵝ
せいすう	se̞ːsɨᵝː
せいそうけん	se̞ːso̞ːkẽ̞ɴ
せいたいがく	se̞ːta̠iɡa̠kɯ̟ᵝ
せいぶつがく	se̞ːbɯ̟ᵝt͡sɨᵝɡa̠kɯ̟ᵝ
せきじゅん	se̞kʲiʑɨ̃ᵝɴ
せんめつ	sẽ̞mːe̞t͡sɨᵝ
ぜいじゃくせい	d͡ze̞ːʑa̠kɯ̟̊ᵝse̞ː
ぜひ	d͡ze̞çi
そうがんきょう	so̞ːɡã̠ŋʲkʲo̞ː
そけい	so̞ke̞ː
それる	so̞ɾe̞ɾɯ̟ᵝ
そんちょう	sõ̞ɲ̟t͡ɕo̞ː
ぞくせつ	d͡zo̞kɯ̟ᵝse̞t͡sɨᵝ
ぞくぞく	d͡zo̞kɯ̟ᵝzo̞kɯ̟ᵝ
ぞくへん	d͡zo̞kɯ̟̊ᵝhẽ̞ɴ
たいか	ta̠ika̠
たいぎゃくざい	ta̠iɡʲa̠kɯ̟ᵝza̠i
たいさく	ta̠isa̠kɯ̟ᵝ
たいりゅうけん	ta̠iɾʲɨᵝːkẽ̞ɴ
たおやめぶり	ta̠o̞ja̠me̞bɯ̟ᵝɾʲi
たおれる	ta̠o̞ɾe̞ɾɯ̟ᵝ
たかいびき	ta̠ka̠ibʲikʲi
たくわえる	ta̠kɯ̟ᵝɰᵝa̠e̞ɾɯ̟ᵝ
たけひろ	ta̠ke̞çiɾo̞
たけよし	ta̠ke̞jo̞ɕi
たちき	ta̠t͡ɕikʲi
たりる	ta̠ɾʲiɾɯ̟ᵝ
たんこん	tã̠ŋkõ̞ɴ
だいなし	da̠ina̠ɕi
だっきゃく	da̠k̚ʲkʲa̠kɯ̟ᵝ
だるい	da̠ɾɯ̟ᵝi
だんとうだい	dã̠nto̞ːda̠i
ちくふじん	t͡ɕikɯ̟ᵝɸɯ̟ᵝʑĩɴ
ちちおや	t͡ɕi̥t͡ɕio̞ja̠
ちちゅうかい	t͡ɕi̥t͡ɕɨᵝːka̠i
ちはやぶる	t͡ɕiha̠ja̠bɯ̟ᵝɾɯ̟ᵝ
ちゃき	t͡ɕa̠kʲi
ちゅうとん	t͡ɕɨᵝːtõ̞ɴ
ちょうこうせい	t͡ɕo̞ːko̞ːse̞ː
ちりゃく	t͡ɕiɾʲa̠kɯ̟ᵝ
ついきゅう	t͡sɨᵝikʲɨᵝː
ついらく	t͡sɨᵝiɾa̠kɯ̟ᵝ
つうこう	t͡sɨᵝːko̞ː
つるざ	t͡sɨᵝɾɯ̟ᵝza̠
ていしゃ	te̞ːɕa̠
ておけ	te̞o̞ke̞
てぎわ	te̞ɡʲiɰᵝa̠
てっこう	te̞k̚ko̞ː
てつこ	te̞t͡sɨᵝko̞
てつり	te̞t͡sɨᵝɾʲi
てぬぐい	te̞nɯ̟ᵝɡɯ̟ᵝi
てまめ	te̞ma̠me̞
てんきあめ	tẽ̞ŋʲkʲia̠me̞
てんさい	tẽ̞ɰ̃sa̠i
てんちょう	tẽ̞ɲ̟t͡ɕo̞ː
てんない	tẽ̞nːa̠i
でいりぐち	de̞ːɾʲiɡɯ̟ᵝt͡ɕi
できあがる	de̞kʲia̠ɡa̠ɾɯ̟ᵝ
でぶせん	de̞bɯ̟ᵝsẽ̞ɴ
でむかえる	de̞mɯ̟ᵝka̠e̞ɾɯ̟ᵝ
でん	dẽ̞ɴ
でんしょ	dẽ̞ɰ̃ɕo̞
とうや	to̞ːja̠
とおとうみ	to̞ːto̞ːmʲi
とくい	to̞kɯ̟ᵝi
とっとり	to̞t̚to̞ɾʲi
とっとりけん	to̞t̚to̞ɾʲikẽ̞ɴ
とても	to̞te̞mo̞
ととのう	to̞to̞no̞ɯ̟ᵝ
とにかく	to̞ɲ̟ika̠kɯ̟ᵝ
ともたか	to̞mo̞ta̠ka̠
とやまけん	to̞ja̠ma̠kẽ̞ɴ
どうせい	do̞ːse̞ː
どうとう	do̞ːto̞ː
どうぶつ	do̞ːbɯ̟ᵝt͡sɨᵝ
どくりょく	do̞kɯ̟ᵝɾʲo̞kɯ̟ᵝ
どさんこ	do̞sã̠ŋko̞
どてら	do̞te̞ɾa̠
どんたく	dõ̞nta̠kɯ̟ᵝ
ないくう	na̠ikɯ̟ᵝː
ないはんそく	na̠ihã̠ɰ̃so̞kɯ̟ᵝ
ないよう	na̠ijo̞ː
ながわずらい	na̠ɡa̠ɰᵝa̠zɨᵝɾa̠i
なさる	na̠sa̠ɾɯ̟ᵝ
なじむ	na̠ʑimɯ̟ᵝ
ななつ	na̠na̠t͡sɨᵝ
ななふし	na̠na̠ɸɯ̟̊ᵝɕi
なみだごえ	na̠mʲida̠ɡo̞e̞
なん	nã̠ɴ
なんきょう	nã̠ŋʲkʲo̞ː
なんにち	nã̠ɲ̟ɲ̟it͡ɕi
にえる	ɲ̟ie̞ɾɯ̟ᵝ
におどり	ɲ̟io̞do̞ɾʲi
にごり	ɲ̟iɡo̞ɾʲi
にまいがい	ɲ̟ima̠iɡa̠i
にょうどうきゅうせんえき	ɲ̟o̞ːdo̞ːkʲɨᵝːsẽ̞ɰ̃e̞kʲi
にわとこ	ɲ̟iɰᵝa̠to̞ko̞
ぬか	nɯ̟ᵝka̠
ねむろ	ne̞mɯ̟ᵝɾo̞
ねんぎょ	nẽ̞ŋʲɡʲo̞
ねんし	nẽ̞ɰ̃ɕi
ねんしゅつ	nẽ̞ɰ̃ɕɨᵝt͡sɨᵝ
ねんすう	nẽ̞ɰ̃sɨᵝː
のうど	no̞ːdo̞
のぞみうす	no̞zo̞mʲiɯ̟ᵝsɨᵝ
のっかる	no̞k̚ka̠ɾɯ̟ᵝ
はいだす	ha̠ida̠sɨᵝ
はき	ha̠kʲi
はさつおん	ha̠sa̠t͡sɨᵝõ̞ɴ
はじ	ha̠ʑi
はじまる	ha̠ʑima̠ɾɯ̟ᵝ
はじらう	ha̠ʑiɾa̠ɯ̟ᵝ
はちぶんぎざ	ha̠t͡ɕibɯ̟̃ᵝŋʲɡʲiza̠
はっけっきゅう	ha̠k̚ke̞k̚ʲkʲɨᵝː
はってん	ha̠t̚tẽ̞ɴ
はつ	ha̠t͡sɨᵝ
はやい	ha̠ja̠i
はんこ	hã̠ŋko̞
はんせん	hã̠ɰ̃sẽ̞ɴ
ばくえき	ba̠kɯ̟ᵝe̞kʲi
ばらはた	ba̠ɾa̠ha̠ta̠
ばらまく	ba̠ɾa̠ma̠kɯ̟ᵝ
ばんじ	bã̠ɲ̟d͡ʑi
ひげくじら	çiɡe̞kɯ̟ᵝʑiɾa̠
ひぞう	çizoː
ひといき	çito̞ikʲi
ひとめ	çito̞me̞
ひなが	çina̠ɡa̠
ひのき	çino̞kʲi̥
ひひ	çi̥çi
ひんちゃ	çĩɲ̟t͡ɕa̠
びゃくだんこう	bʲa̠kɯ̟ᵝdã̠ŋko̞ː
びゃくだんゆ	bʲa̠kɯ̟ᵝdã̠ɰ̃jɯ̟ᵝ
びよう	bʲijo̞ː
びんなん	bʲĩnːã̠ɴ
ふかちろん	ɸɯ̟̊ᵝka̠t͡ɕiɾõ̞ɴ
ふくそすう	ɸɯ̟̊ᵝkɯ̟ᵝso̞sɨᵝː
ふくめん	ɸɯ̟ᵝkɯ̟ᵝmẽ̞ɴ
ふだらく	ɸɯ̟ᵝda̠ɾa̠kɯ̟ᵝ
ふだん	ɸɯ̟ᵝdã̠ɴ
ふなよい	ɸɯ̟ᵝna̠jo̞i
ふのう	ɸɯ̟ᵝno̞ː
ふみかためる	ɸɯ̟ᵝmʲika̠ta̠me̞ɾɯ̟ᵝ
ぶたねつ	bɯ̟ᵝta̠ne̞t͡sɨᵝ
ぶっけん	bɯ̟ᵝk̚kẽ̞ɴ
ぶんかい	bɯ̟̃ᵝŋka̠i
ぶんべんだい	bɯ̟̃ᵝmbẽ̞nda̠i
へいか	he̞ːka̠
へいこう	he̞ːko̞ː
へちま	he̞t͡ɕima̠
へんしゅう	hẽ̞ɰ̃ɕɨᵝː
べいふん	be̞ːɸɯ̟̃ᵝɴ
ほうちょう	ho̞ːt͡ɕo̞ː
ほごしゃ	ho̞ɡo̞ɕa̠
ほろう	ho̞ɾo̞ː
ほんぐ	honɡu
ほんじつ	hõ̞ɲ̟d͡ʑit͡sɨᵝ
ぼうふら	bo̞ːɸɯ̟ᵝɾa̠
ぼうよみ	bo̞ːjo̞mʲi
ぼんさい	bõ̞ɰ̃sa̠i
ぽつり	po̞t͡sɨᵝɾʲi
まいすう	ma̠isɨᵝː
まさのり	ma̠sa̠no̞ɾʲi
まざる	ma̠za̠ɾɯ̟ᵝ
まずしい	ma̠zɨᵝɕiː
まっしょうめん	ma̠ɕːo̞ːmẽ̞ɴ
まっとう	ma̠t̚to̞ː
まるた	ma̠ɾɯ̟ᵝta̠
まんこ	mã̠ŋko̞
みかける	mʲika̠ke̞ɾɯ̟ᵝ
みずたまり	mʲizɨᵝta̠ma̠ɾʲi
みちお	mʲit͡ɕio̞
みのがす	mʲino̞ɡa̠sɨᵝ
みやぶ	mʲija̠bɯ̟ᵝ
みわこ	mʲiɰᵝa̠ko̞
むごい	mɯ̟ᵝɡo̞i
むすい	mɯ̟ᵝsɨᵝi
むはい	mɯ̟ᵝha̠i
もうきんるい	mo̞ːkʲĩnɾɯ̟ᵝi
もうしあげる	mo̞ːɕia̠ɡe̞ɾɯ̟ᵝ
もうしわけ	mo̞ːɕiɰᵝa̠ke̞
もうそう	mo̞ːso̞ː
もぎとる	mo̞ɡʲito̞ɾɯ̟ᵝ
もくろみ	mo̞kɯ̟ᵝɾo̞mʲi
もくろむ	mo̞kɯ̟ᵝɾo̞mɯ̟ᵝ
もじどおり	mo̞ʑido̞ːɾʲi
もったいない	mo̞t̚ta̠ina̠i
ものごし	mo̞no̞ɡo̞ɕi
やかん	ja̠kã̠ɴ
やくご	ja̠kɯ̟ᵝɡo̞
やくざ	ja̠kɯ̟ᵝza̠
やぶさめ	jabusame
やわらぐ	ja̠ɰᵝa̠ɾa̠ɡɯ̟ᵝ
ゆうれつ	jɯ̟ᵝːɾe̞t͡sɨᵝ
ゆれる	jɯ̟ᵝɾe̞ɾɯ̟ᵝ
ようおん	jo̞ːõ̞ɴ
ようかい	jo̞ːka̠i
よこはば	jo̞ko̞ha̠ba̠
よしたか	jo̞ɕita̠ka̠
よは	jo̞ha̠
よふかし	jo̞ɸɯ̟ᵝka̠ɕi
よみきり	jo̞mʲikʲiɾʲi
よりみち	jo̞ɾʲimʲit͡ɕi
らんちゅう	ɾã̠ɲ̟t͡ɕɨᵝː
らんぼう	ɾã̠mbo̞ː
りっきょう	ɾʲik̚ʲkʲo̞ː
りにゅう	ɾʲiɲ̟ɯ̟ᵝː
りゅうこつ	ɾʲɨᵝːko̞t͡sɨᵝ
りょうけんざ	ɾʲo̞ːkẽ̞nd͡za̠
りょくぶ	ɾʲo̞kɯ̟ᵝbɯ̟ᵝ
れいがい	ɾe̞ːɡa̠i
れんおん	ɾẽ̞ɰ̃õ̞ɴ
れんしゅく	ɾẽ̞ɰ̃ɕɨᵝkɯ̟ᵝ
れんたいし	ɾẽ̞nta̠iɕi
ろうどうしゃ	ɾo̞ːdo̞ːɕa̠
ろくろくび	rokurokubi
ろせい	ɾo̞se̞ː
ろわ	ɾo̞ɰᵝa̠
わくせん	ɰᵝa̠kɯ̟ᵝsẽ̞ɴ
わけあたえる	ɰᵝa̠ke̞a̠ta̠e̞ɾɯ̟ᵝ
わりびく	ɰᵝa̠ɾʲibʲikɯ̟ᵝ
