авария	əvarijə
подчертано	po̝t̪tʃɛrt̪ano̝
подчертаха	po̝t̪tʃɛrt̪axə
подчертая	po̝t̪tʃɛrt̪ajə
покрив	pɔkrif
полукълбо	polukəlbɔ
пометат	po̝mɛt̪ɤt̪
пометени	pomɛt̪ɛni
помогне	pomɔɡnɛ
поотичания	po̝ot̪itʃənijə
поради	poradi
потушаването	po̝t̪oʃavənɛt̪o̝
потушавано	po̝t̪oʃavəno̝
пратен	prat̪ɛn
пратени	prat̪ɛni
пратим	prat̪im
пратя	pratʲə
пратят	pratʲət̪
предсказва	prɛt̪skazvə
примрелият	primrɛlijət̪
припича	pripitʃə
причинява	pritʃinʲavə
причинявала	pritʃinʲavəɫə
причиняване	pritʃinʲavənɛ
причиняват	pritʃinʲavət̪
причиняваха	pritʃinʲavəxə
причиняващи	pritʃinʲavəʃt̪i
продавач	prodəvatʃ
продадена	prod̪ad̪ɛnə
продадените	prod̪ad̪ɛnit̪ɛ
продажба	prodaʒbə
продала	prod̪aɫə
произтечех	pro̝ist̪ɛtʃɛx
път	pɤt
пътувания	pɐt̪uvənijə
разпростира	rəsprost̪iɾə
разпростирам	rəsprost̪iɾəm
разпростираха	rəsprost̪iɾəxə
разходете	rəsxod̪ɛt̪ɛ
разходил	rɐsxɔd̪iɫ
разходили	rɐsxɔd̪ili
разходите	rɐsxɔd̪it̪ɛ
разходиш	rɐsxɔd̪iʃ
разходят	rɐsxɔdʲət̪
риба	ribə
самолет	samolɛt
се	sɛ
сено	sɛnɔ
скубаният	skubənijət̪
скубе	skubɛ
скубят	skubʲət̪
слаб	slap
слово	slɔvo
слънчев	slɤntʃɛf
сняг	snʲak
спестява	spɛstʲavə
спестявай	spɛstʲavəj
спестявали	spɛstʲavəli
спестяваме	spɛstʲavəmɛ
спестяване	spɛstʲavənɛ
спестявания	spɛstʲavənijə
спестяванията	spɛstʲavənijət̪ə
спестяват	spɛstʲavət̪
спечели	spɛtʃɛli
спеше	spɛʃɛ
спиш	spiʃ
столица	stɔlit͡sə
студен	studɛn
суеверие	suɛvɛriɛ
съгласете	səɡɫɐsɛt̪ɛ
съгласил	səɡɫɐsiɫ
създава	sɐzd̪avə
създавай	sɐzd̪avəj
създавайки	sɐzd̪avəjkʲi
създавала	sɐzd̪avəɫə
създаваме	sɐzd̪avəmɛ
създаване	sɐzd̪avənɛ
създаването	sɐzd̪avənɛt̪o̝
създават	sɐzd̪avət̪
създавате	sɐzd̪avət̪ɛ
създаваш	sɐzd̪avəʃ
съперница	səpɛrnitsə
съществително	səʃtɛstvitɛlnɔ
също	sɤʃto
сяда	sʲad̪ə
сядайки	sʲad̪əjkʲi
сядат	sʲad̪ət̪
сядах	sʲad̪əx
сядаха	sʲad̪əxə
сядащите	sʲad̪əʃt̪it̪ɛ
танц	tant͡s
тая	t̪ajə
твоето	t̪vɔɛt̪o
те	t̪ɛ
телескоп	tɛlɛskɔp
тоз	t̪ɔs
уби	obi
убие	obiɛ
убием	obiɛm
убиеш	obiɛʃ
убийте	obijt̪ɛ
убил	obiɫ
убила	obiɫə
убили	obili
убит	obit̪
убита	obit̪ə
убитата	obit̪ət̪ə
убити	obit̪i
убитите	obit̪it̪ɛ
убития	obit̪ijə
убитият	obit̪ijət̪
убиха	obixə
убия	obijə
убият	obijət̪
узаконява	o̝zəkonʲavə
узаконяване	o̝zəkonʲavənɛ
умира	omiɾə
умирай	omiɾəj
умирам	omiɾəm
умират	omiɾət̪
умираха	omiɾəxə
унесъл	onɛsəɫ
унищожава	o̝niʃt̪oʒavə
унищожаван	o̝niʃt̪oʒavən
унищожаване	o̝niʃt̪oʒavənɛ
унищожаването	o̝niʃt̪oʒavənɛt̪o̝
унищожаваните	o̝niʃt̪oʒavənit̪ɛ
унищожавано	o̝niʃt̪oʒavəno̝
унищожават	o̝niʃt̪oʒavət̪
уран	uran
фасул	fəsul
хуй	xuj
червей	tʃɛrvɛj
шантажирай	ʃənt̪ɐʒiɾəj
шефка	ʃɛfkə
шиене	ʃiɛnɛ
южен	juʒɛn
