가능성	ka̠ːnɯŋs͈ʌ̹ŋ
당연하다	ta̠ŋjʌ̹nɦa̠da̠
대책	te̞ːt͡ɕʰe̞k̚
대학교	te̞ːɦa̠k̚k͈jo
대학원생	te̞ɦa̠ɡwʌ̹nsʰe̞ŋ
대화	te̞ːβwa̠
댄스	te̞nsʰɯ
더빙	tʌ̹biŋ
도라지	to̞ɾa̠d͡ʑi
도로	to̞ːɾo̞
도하	to̞ɦa̠
독립	to̞ŋnip̚
독자	to̞k̚t͡ɕ͈a̠
동포	to̞ŋpʰo̞
동화	to̞ːŋβwa̠
돼지	twe̞ːd͡ʑi
드물다	tɯmuɭda̠
똑같이	t͈o̞k̚k͈a̠t͡ɕʰi
뛰어나다	t͈ɥiʌ̹na̠da̠
라면	ɾa̠mjʌ̹n
러시아	ɾʌ̹ɕʰia̠
레바논	ɾe̞ba̠no̞n
로맨스	ɾo̞me̞nsʰɯ
리셉션	ɾis͈e̞pɕ͈jʌ̹n
리스본	ɾisʰɯbo̞n
리포트	ɾipʰo̞tʰɯ
마법	ma̠bʌ̹p̚
마시다	ma̠ɕʰida̠
마음	ma̠ɯm
마음속	ma̠ːɯmsʰo̞k̚
마차	ma̠ːt͡ɕʰa̠
만족	ma̠nd͡ʑo̞k̚
말레	ma̠ɭɭe̞
말하다	ma̠ːɾɦa̠da̠
맞선	ma̠t̚s͈ʌ̹n
머릿결	mʌ̹ɾit̚k͈jʌ̹ɭ
메아리	me̞a̠ɾi
모교	mo̞ːɡjo
목숨	mo̞ks͈um
몬순	mo̞nsʰun
몰카	mo̞ɭkʰa̠
무사	muːsʰa̠
문구점	munɡud͡ʑʌ̹m
물론	muɭɭo̞n
뭄바이	mumba̠i
뮤지컬	mjud͡ʑikʰʌ̹ɭ
미술	miːsʰuɭ
미스터리	misʰɯtʰʌ̹ɾi
미인	miːin
민간	minɡa̠n
민들레	mindɯɭɭe̞
민주	mind͡ʑu
바게트	p͈a̠ɡe̞tʰɯ
바쁘다	pa̠p͈ɯda̠
박수	pa̠ks͈u
발뒤꿈	pa̠ɭt͈ɥik͈um
발목	pa̠ɭmo̞k̚
발표	pa̠ɭpʰjo
방법	pa̠ŋbʌ̹p̚
방수	pa̠ŋsʰu
방어	pa̠ŋʌ̹
방영	pa̠ːŋjʌ̹ŋ
방학	pa̠ŋɦa̠k̚
배우	pe̞u
백야	pe̞ɡja̠
버섯	pʌ̹sʰʌ̹t̚
버스	p͈ʌ̹sʰɯ
법령	pʌ̹mɲjʌ̹ŋ
법학	pʌ̹pʰa̠k̚
베스트셀러	pe̞sʰɯtʰɯsʰe̞ɭɭʌ̹
벨기에	pe̞ɭɡie̞
벽돌	pjʌ̹k̚t͈o̞ɭ
병사	pjʌ̹ŋsʰa̠
보관	po̞ːɡwa̠n
보장	po̞ːd͡ʑa̠ŋ
복도	po̞k̚t͈o̞
복장	po̞k̚t͡ɕ͈a̠ŋ
볼링	po̞ɭʎiŋ
부근	puːɡɯn
부대	pude̞
부터	putʰʌ̹
북조선	puk̚t͡ɕ͈o̞sʰʌ̹n
북한	pukʰa̠n
불구속	puɭɡusʰo̞k̚
불만	puɭma̠n
브레이크	pɯɾe̞ikxɯ
브뤼셀	pɯɾɥisʰe̞ɭ
블로그	pɯɭɭo̞ɡɯ
비교적	piːɡjod͡ʑʌ̹k̚
비디오	pidio̞
비상	pisʰa̠ŋ
비서	piːsʰʌ̹
비판	piːpʰa̠n
사망	sʰa̠ːma̠ŋ
사울	sʰa̠uɭ
사탕	sʰa̠tʰa̠ŋ
사항	sʰa̠ːɦa̠ŋ
산과	sʰa̠nɡwa̠
산소	sʰa̠nsʰo̞
산파	sʰa̠ːnpʰa̠
상상력	sʰa̠ːŋsʰa̠ŋɲjʌ̹k̚
상호	sʰa̠ŋβo̞
새내기	sʰe̞ne̞ɡi
생활용품	sʰe̞ŋβwa̠ɾjoŋpʰum
서구	sʰʌ̹ɡu
서명	sʰɘːmjʌ̹ŋ
선거	sʰɘːnɡʌ̹
선로	sʰʌ̹ɭɭo̞
설문지	sʰʌ̹ɭmund͡ʑi
설치	sʰʌ̹ɭt͡ɕʰi
성공	sʰʌ̹ŋɡo̞ŋ
성질	sʰɘːŋd͡ʑiɭ
세관	sʰe̞ːɡwa̠n
세대	sʰe̞ːde̞
세미나	sʰe̞mina̠
소금	sʰo̞ɡɯm
소령	sʰo̞ːɾjʌ̹ŋ
소총	sʰo̞ːt͡ɕʰo̞ŋ
소파	s͈o̞pʰa̠
소품	sʰo̞ːpʰum
속속	sʰo̞ks͈o̞k̚
손상	sʰo̞nsʰa̠ŋ
손해	sʰo̞ːnɦe̞
수다	sʰuːda̠
수렴	sʰuɾjʌ̹m
수송	sʰusʰo̞ŋ
수영복	sʰujʌ̹ŋbo̞k̚
수정	sʰud͡ʑʌ̹ŋ
수확	sʰuβwa̠k̚
숙녀	sʰuŋɲjʌ̹
숨쉬다	sʰumʃʰɥida̠
슈퍼스타	ɕʰjupʰʌ̹sʰɯtʰa̠
스마트폰	sʰɯma̠tʰɯpʰo̞n
스케줄	sʰɯkʰe̞d͡ʑuɭ
스타벅스	sʰɯtʰa̠bʌ̹ks͈ɯ
스타킹	sʰɯtʰa̠kçiŋ
스페인	sʰɯpʰe̞in
습격	sʰɯp̚k͈jʌ̹k̚
습득	sʰɯp̚t͈ɯk̚
승리	sʰɯŋni
승부	sʰɯŋbu
시가	ɕʰiɡa̠
시내	ɕʰiːne̞
시멘트	ɕʰime̞ntʰɯ
시카고	ɕʰikʰa̠ɡo̞
식탁	ɕʰik̚tʰa̠k̚
신발	ɕʰinba̠ɭ
신입생	ɕʰinips͈e̞ŋ
실로	ɕʰiɭɭo̞
쓰리	s͈ɯɾi
아가씨	a̠ɡa̠ɕ͈i
아까	a̠k͈a̠
아내	a̠ne̞
아마	a̠ma̠
아예	a̠je̞
아침	a̠t͡ɕʰim
악마	a̠ŋma̠
않다	a̠ntʰa̠
알칼리	a̠ɭkʰa̠ɭʎi
애국자	e̞ːɡuk̚t͡ɕ͈a̠
애니메이션	e̞nime̞iɕʰjʌ̹n
애완동물	e̞ːwa̠ndo̞ŋmuɭ
약간	ja̠k̚k͈a̠n
얘기	je̞ːɡi
어드벤처	ʌ̹dɯbe̞nt͡ɕʰʌ̹
어린아이	ʌ̹ɾina̠i
언제나	ɘːnd͡ʑe̞na̠
엉덩이	ɘːŋdʌ̹ŋi
에콰도르	e̞kʰwa̠do̞ɾɯ
여기	jʌ̹ɡi
여럿	jʌ̹ɾʌ̹t̚
여우	jʌ̹u
여전히	jʌ̹d͡ʑʌ̹nʝi
여학생	jʌ̹ɦa̠ks͈e̞ŋ
역사	jʌ̹ks͈a̠
연결	jʌ̹nɡjʌ̹ɭ
연구소	jʌ̹nɡusʰo̞
연구자	jɘːnɡud͡ʑa̠
연극	jɘːnɡɯk̚
연락처	jʌ̹ɭɭa̠k̚t͡ɕʰʌ̹
연적	jɘːnd͡ʑʌ̹k̚
열매	jʌ̹ɭme̞
영웅	jʌ̹ŋuŋ
예컨대	je̞ːkʰʌ̹nde̞
오래	o̞ɾe̞
오빠	o̞p͈a̠
오직	o̞d͡ʑik̚
오토바이	o̞tʰo̞ba̠i
옥상	o̞ks͈a̠ŋ
와이셔츠	wa̠iɕʰjʌ̹t͡ɕʰɯ
완전히	wa̠nd͡ʑʌ̹nʝi
외교	we̞ːɡjo
외환	we̞ːβwa̠n
욕조	jok̚t͡ɕ͈o̞
용과	joŋɡwa̠
용대	joŋde̞
용병	joŋbjʌ̹ŋ
운명	uːnmjʌ̹ŋ
워낙	wʌ̹na̠k̚
원작	wʌ̹nd͡ʑa̠k̚
원장	wʌ̹nd͡ʑa̠ŋ
위안부	ɥia̠nbu
유치원	jut͡ɕʰiwʌ̹n
음료수	ɯːmɲjosʰu
음절	ɯmd͡ʑʌ̹ɭ
의무	ɰiːmu
의원	ɰiwʌ̹n
이것	iɡʌ̹t̚
이글이글	iɡɯɾiɡɯɭ
이단	iːda̠n
이란	iɾa̠n
이런	iɾʌ̹n
이리	iɾi
이상	iːsʰa̠ŋ
이성애자	isʰʌ̹ŋe̞d͡ʑa̠
이튿날	itʰɯnna̠ɭ
인류	iɭʎju
인문학	inmunɦa̠k̚
인물	inmuɭ
인사	insʰa̠
인색하다	insʰe̞kʰa̠da̠
인형	inʝjʌ̹ŋ
일자	iɭt͡ɕ͈a̠
일자리	iːɭd͡ʑa̠ɾi
일행	iɾɦe̞ŋ
입원	ibwʌ̹n
잇몸	inmo̞m
자다	t͡ɕa̠da̠
자동	t͡ɕa̠do̞ŋ
자료	t͡ɕa̠ɾjo
자유주의	t͡ɕa̠jud͡ʑuɰi
자율	t͡ɕa̠juɭ
자제	t͡ɕa̠d͡ʑe̞
장마	t͡ɕa̠ŋma̠
장모	t͡ɕa̠ːŋmo̞
장승	t͡ɕa̠ŋsʰɯŋ
재난	t͡ɕe̞na̠n
재료	t͡ɕe̞ɾjo
재앙	t͡ɕe̞a̠ŋ
재정	t͡ɕe̞d͡ʑʌ̹ŋ
저기	t͡ɕʌ̹ɡi
적자	t͡ɕʌ̹k̚t͡ɕ͈a̠
전략	t͡ɕɘːɭʎja̠k̚
전신	t͡ɕɘːnɕʰin
전함	t͡ɕʌ̹nɦa̠m
접시	t͡ɕʌ̹pɕ͈i
접촉	t͡ɕʌ̹p̚t͡ɕʰo̞k̚
정면	t͡ɕɘːŋmjʌ̹n
정부	t͡ɕʌ̹ŋbu
정서	t͡ɕʌ̹ŋsʰʌ̹
정자	t͡ɕʌ̹ŋd͡ʑa̠
제법	t͡ɕe̞bʌ̹p̚
조금	t͡ɕo̞ɡɯm
조세	t͡ɕo̞sʰe̞
조용히	t͡ɕo̞joŋʝi
족발	t͡ɕo̞k̚p͈a̠ɭ
졸업	t͡ɕo̞ɾʌ̹p̚
졸업생	t͡ɕo̞ɾʌ̹ps͈e̞ŋ
종아리	t͡ɕo̞ːŋa̠ɾi
좋아하다	t͡ɕo̞ːa̠ɦa̠da̠
죄송하다	t͡ɕwe̞ːsʰo̞ŋɦa̠da̠
주로	t͡ɕuɾo̞
주류	t͡ɕuɾju
주유소	t͡ɕuːjusʰo̞
주인	t͡ɕuin
주차	t͡ɕuːt͡ɕʰa̠
죽다	t͡ɕuk̚t͈a̠
죽지	t͡ɕuk̚t͡ɕ͈i
중년	t͡ɕuŋɲjʌ̹n
중반	t͡ɕuŋba̠n
중세	t͡ɕuŋsʰe̞
중소기업	t͡ɕuŋsʰo̞ɡiʌ̹p̚
지구	t͡ɕiɡu
지나	t͡ɕina̠
지적	t͡ɕid͡ʑʌ̹k̚
지하철	t͡ɕiɦa̠t͡ɕʰʌ̹ɭ
직원	t͡ɕiɡwʌ̹n
직접	t͡ɕik̚t͡ɕ͈ʌ̹p̚
직후	t͡ɕikʰu
진화	t͡ɕinβwa̠
질병	t͡ɕiɭbjʌ̹ŋ
짠하다	t͡ɕ͈a̠ːnɦa̠da̠
차별	t͡ɕʰa̠bjʌ̹ɭ
참으로	t͡ɕʰa̠mɯɾo̞
참전	t͡ɕʰa̠md͡ʑʌ̹n
천주교	t͡ɕʰʌ̹nd͡ʑuɡjo
천천히	t͡ɕʰɘːnt͡ɕʰʌ̹nʝi
청소	t͡ɕʰʌ̹ŋsʰo̞
체르노빌	t͡ɕʰe̞ɾɯno̞biɭ
초기	t͡ɕʰo̞ɡi
초등학교	t͡ɕʰo̞dɯŋɦa̠k̚k͈jo
최상급	t͡ɕʰwe̞ːsʰa̠ŋɡɯp̚
출발	t͡ɕʰuɭba̠ɭ
출처	t͡ɕʰuɭt͡ɕʰʌ̹
취미	t͡ɕʰɥiːmi
취하다	t͡ɕʰɥiːɦa̠da̠
침몰	t͡ɕʰimmo̞ɭ
카이사르	kʰa̠isʰa̠ɾɯ
카자흐스탄	kʰa̠d͡ʑa̠ɣɯsʰɯtʰa̠n
캠프	kʰe̞mpʰɯ
컴맹	kʰʌ̹mme̞ŋ
콜롬비아	kʰo̞ɭɭo̞mbia̠
콧구멍	kʰo̞t̚k͈umʌ̹ŋ
쿠알라룸푸르	kʰua̠ɭɭa̠ɾumpʰuɾɯ
크로아티아	kxɯɾo̞a̠tʰia̠
타워	tʰa̠wʌ̹
타협	tʰa̠ːʝjʌ̹p̚
탄환	tʰa̠ːnβwa̠n
태그	tʰe̞ɡɯ
터미널	tʰʌ̹minʌ̹ɭ
터키	tʰʌ̹kçi
테마	tʰe̞ma̠
토양	tʰo̞ja̠ŋ
통제	tʰo̞ːŋd͡ʑe̞
통합	tʰo̞ːŋɦa̠p̚
투옥	tʰuo̞k̚
판결	pʰa̠nɡjʌ̹ɭ
판매	pʰa̠nme̞
팔레스타인	pʰa̠ɭɭe̞sʰɯtʰa̠in
패전	pʰe̞ːd͡ʑʌ̹n
평균	pʰjʌ̹ŋɡjun
포인트	pʰo̞intʰɯ
포커	pʰo̞kʰʌ̹
폭탄	pʰo̞k̚tʰa̠n
플러스	pʰɯɭɭʌ̹sʰɯ
피아니스트	pʰia̠nisʰɯtʰɯ
피해	pʰiːɦe̞
필드	pʰiɭdɯ
하느님	ha̠nɯnim
하드웨어	ha̠dɯwe̞ʌ̹
하이에나	ha̠ie̞na̠
학부모	ha̠k̚p͈umo̞
학위	ha̠ɡɥi
학회	ha̠kʰwe̞
한도	ha̠ːndo̞
한류	ha̠ɭʎju
한양	ha̠ːɲja̠ŋ
할리우드	ha̠ɭʎiudɯ
합법화	ha̠p̚p͈ʌ̹pʰwa̠
해군	he̞ɡun
해석	he̞ːsʰʌ̹k̚
햄버거	he̞mbʌ̹ɡʌ̹
행복하다	he̞ːŋbo̞kʰa̠da̠
혁명	çjʌ̹ŋmjʌ̹ŋ
현금	çjɘːnɡɯm
현상	çjɘːnsʰa̠ŋ
현장	çjɘːnd͡ʑa̠ŋ
현재	çjɘːnd͡ʑe̞
협력	çjʌ̹mɲjʌ̹k̚
협회	çjʌ̹pʰwe̞
화장지	ɸwa̠d͡ʑa̠ŋd͡ʑi
확장	ɸwa̠k̚t͡ɕ͈a̠ŋ
활동가	ɸwa̠ɭt͈o̞ŋɡa̠
회견	ɸwe̞ːɡjʌ̹n
회원	ɸwe̞ːwʌ̹n
흑인	xɯɡin
흘리다	xɯɭʎida̠
흥청망청	xɯŋt͡ɕʰʌ̹ŋma̠ŋt͡ɕʰʌ̹ŋ
희곡	çiɡo̞k̚
히잡	çid͡ʑa̠p̚
