'COS	kˈəz
ADVANCEMENT	ədvˈɑːnsmənt
ADVANCES	ədvˈɑːnsɪz
ADVANTAGE	ədvˈɑːntɪdʒ
ADVANTAGEOUS	ˌædvəntˈeɪdʒəs
ADVANTAGES	ədvˈɑːntɪdʒɪz
ADVENT(1)	ˈædvɛnt
ADVENT(2)	ˈædvənt
ADVENTURE	ədvˈɛntʃə
ADVENTURES	ədvˈɛntʃəz
ADVENTUROUS	ədvˈɛntʃəɹəz
ADVERSARY	ˈædvəsəɹi
ADVERSE(1)	ˈædvɜːs
ADVERSE(2)	ædvˈɜːs
ADVERT	ædvˈɜːt
ADVERTISE	ˈædvətˌaɪz
ADVERTISED	ˈædvətˌaɪzd
ADVERTISEMENT(1)	ədvˈɜːtɪsmənt
ADVERTISEMENT(2)	ədvˈɜːtɪzmənt
ADVERTISEMENTS(1)	ədvˈɜːtɪsmənts
ADVERTISEMENTS(2)	ədvˈɜːtɪzmənts
ADVERTISER	ˈædvətˌaɪzə
ADVERTISERS	ˈædvətˌaɪzəz
ADVERTISING	ˈædvətˌaɪzɪŋ
ADVICE	ədvˈaɪs
ADVISE	ədvˈaɪz
ADVISED	ədvˈaɪzd
ADVISER	ədvˈaɪzə
ADVISERS	ədvˈaɪzəz
ADVISOR	ədvˈaɪzə
ADVISORS	ədvˈaɪzəz
ADVISORY	ədvˈaɪzəɹi
ADVOCACY	ˈædvəkəsi
ADVOCATE(1)	ˈædvəkˌeɪt
ADVOCATE(2)	ˈædvəkɪt
ADWARE	ˈædwˌɛə
AERIAL	ˈɛəɹɪəl
AEROPLANE	ˌɛəɹəplˈeɪn
AEROSOL	ˈɛəɹəsˌɒl
AEROSPACE	ˈɛəɹəspˌeɪs
AESTHETIC(1)	ɪsθˈɛtɪk
AESTHETIC(2)	iːsθˈɛtɪk
AESTHETIC(3)	ɛsθˈɛtɪk
AFAR	əfˈɑː
AFFAIR	əfˈɛə
AFFAIRS	əfˈɛəz
AFFECT	əfˈɛkt
AFFECTED	əfˈɛktɪd
AFFECTING	əfˈɛktɪŋ
AFFECTION	əfˈɛkʃən
AFFECTS	əfˈɛkts
AFFILIATE(1)	əfˈɪlɪˌeɪt
AFFILIATE(2)	əfˈɪlɪət
AFFILIATED	əfˈɪlɪˌeɪtɪd
AFFILIATES(1)	əfˈɪlɪˌeɪts
AFFILIATES(2)	əfˈɪlɪəts
AFFILIATION	əfˌɪlɪˈeɪʃən
AFFIRM	əfˈɜːm
AFFORD	əfˈɔːd
AFFORDABLE	əfˈɔːdəbəl
AFGHANISTAN(1)	æfgˈænɪstˌɑːn
AFGHANISTAN(2)	æfgˈænɪstˌæn
AFOOT	əfˈʊt
AFRAID	əfɹˈeɪd
AFRICA	ˈæfɹɪkə
AFRICAN	ˈæfɹɪkən
AFRO	ˈæfɹəʊ
AFTER	ˈɑːftə
AFTERNOON	ˌɑːftənˈuːn
AFTERNOONS	ˌɑːftənˈuːnz
AFTERWARD	ˈɑːftəwəd
AFTERWARDS	ˈɑːftəwədz
AGAIN(1)	əgˈɛn
AGAIN(2)	əgˈeɪn
AGAINST(1)	əgˈɛnst
AGAINST(2)	əgˈeɪnst
AGE	ˈeɪdʒ
AGED(1)	ˈeɪdʒd
AGED(2)	ˈeɪdʒɪd
AGEING	ˈeɪdʒɪŋ
AGENCIES	ˈeɪdʒənsiz
AGENCY	ˈeɪdʒənsi
AGENDA	ədʒˈɛndə
AGENT	ˈeɪdʒənt
AGENTS	ˈeɪdʒənts
AGES	ˈeɪdʒɪz
AGGRAVATE	ˈægɹəvˌeɪt
AGGREGATE(1)	ˈægɹɪgˌeɪt
AGGREGATE(2)	ˈægɹɪgɪt
AGGRESSION	əgɹˈɛʃən
AGGRESSIVE	əgɹˈɛsɪv
AGGRO	ˈægɹəʊ
AGILE	ˈædʒaɪl
AGING	ˈeɪdʒɪŋ
AGITATE	ˈædʒɪtˌeɪt
AGNES	ˈægnɪs
AGO	əgˈəʊ
AGONY	ˈægəni
AGREE	əgɹˈiː
AGREED	əgɹˈiːd
AGREEING	əgɹˈiːɪŋ
AGREEMENT	əgɹˈiːmənt
AGREEMENTS	əgɹˈiːmənts
AGREES	əgɹˈiːz
AGRICULTURAL	ˌægɹɪkˈɐltʃəɹəl
AGRICULTURE	ˈægɹɪkˌɐltʃə
AH	ˈɑː
AHA	ˌɑːhˈɑː
AHEAD	əhˈɛd
AHOLD	əhˈəʊld
AID	ˈeɪd
AIDE	ˈeɪd
AIDS	ˈeɪdz
AIGBURTH	ˈɛgbəθ
AIL	ˈeɪl
AILING	ˈeɪlɪŋ
AIM	ˈeɪm
AIMED	ˈeɪmd
AIMING	ˈeɪmɪŋ
AIMS	ˈeɪmz
AIN'T	ˈeɪnt
AIR	ˈɛə
AIRCRAFT	ˈɛəkɹˌɑːft
AIRFARE	ˈɛəfˌɛə
AIRING	ˈɛəɹɪŋ
AIRLINE	ˈɛəlˌaɪn
AIRLINES	ˈɛəlˌaɪnz
AIRPLANE	ˈɛəplˌeɪn
AIRPORT	ˈɛəpˌɔːt
AIRPORTS	ˈɛəpˌɔːts
AIRWAYS	ˈɛəwˌeɪz
AIRY	ˈɛəɹi
AISLE	ˈaɪl
AITCH	ˈeɪtʃ
AITCHES	ˈeɪtʃɪz
AJAR	ədʒˈɑː
AKIN	əkˈɪn
AL	ˈæl
ALABAMA	ˌæləbˈæmə
ALAN	ˈælən
ALARM	əlˈɑːm
ALAS	əlˈæs
ALASKA	əlˈæskə
ALBANIA	ælbˈeɪnɪə
ALBANY	ˈɔːlbəni
ALBEIT	ɔːlbˈiːɪt
ALBERT	ˈælbət
ALBERTA	ælbˈɜːtə
ALBUM	ˈælbəm
ALBUMS	ˈælbəmz
ALBUQUERQUE	ˈælbəkˌɜːki
ALCHEMY	ˈælkəmi
ALCOHOL	ˈælkəhˌɒl
ALDEBURGH	ˈɔːlbɹə
ALE	ˈeɪl
ALERT	əlˈɜːt
ALERTS	əlˈɜːts
ALEX	ˈælɪks
ALEXANDER	ˌælɪgzˈɑːndə
ALEXANDRIA	ˌælɪgzˈɑːndɹɪə
ALFRED	ˈælfɹɪd
ALGAE	ˈælgi
ALGEBRA	ˈældʒɪbɹə
ALGERIA	ældʒˈɪəɹɪə
ALGORITHM	ˈælgəɹˌɪðəm
ALGORITHMS	ˈælgəɹˌɪðəmz
ALI	ˈɑːli
ALIAS	ˈeɪlɪəs
ALIBI	ˈælɪbˌaɪ
ALICE	ˈælɪs
ALIEN	ˈeɪlɪən
ALIENS	ˈeɪlɪənz
ALIGN	əlˈaɪn
ALIGNMENT	əlˈaɪnmənt
ALIKE	əlˈaɪk
ALISON	ˈælɪsən
ALIVE	əlˈaɪv
ALL	ˈɔːl
ALLAH(1)	ˈælə
ALLAH(2)	əlˈɑː
ALLAN	ˈælən
ALLAY	əlˈeɪ
ALLEGATION	ˌælɪgˈeɪʃən
ALLEGATIONS	ˌælɪgˈeɪʃənz
ALLEGE	əlˈɛdʒ
ALLEGED	əlˈɛdʒd
ALLEGEDLY	əlˈɛdʒɪdli
ALLEGIANCE	əlˈiːdʒəns
ALLEN	ˈælən
ALLERGIC	əlˈɜːdʒɪk
ALLERGY	ˈælədʒi
ALLEY	ˈæli
ALLIANCE	əlˈaɪəns
ALLIED(1)	ˈælˌaɪd
ALLIED(2)	əlˈaɪd
ALLIES(1)	əlˈaɪz
ALLIES(2)	ˈælaɪz
ALLOCATE	ˈæləkˌeɪt
ALLOCATED	ˈæləkˌeɪtɪd
ALLOCATION	ˌæləkˈeɪʃən
ALLOT	əlˈɒt
ALLOTED	əlˈɒtɪd
ALLOTMENT	əlˈɒtmənt
ALLOW	əlˈaʊ
ALLOWANCE	əlˈaʊəns
ALLOWANCES	əlˈaʊənsɪz
ALLOWED	əlˈaʊd
ALLOWING	əlˈaʊɪŋ
ALLOWS	əlˈaʊz
ALLOY(1)	ˈælɔɪ
ALLOY(2)	əlˈɔɪ
ALLY(1)	əlˈaɪ
ALLY(2)	ˈælaɪ
ALMIGHTY	ɔːlmˈaɪti
ALMOND	ˈɑːmənd
ALMOST	ˈɔːlmˌəʊst
ALNICK	ˈænɪk
ALOE	ˈæləʊ
ALOFT	əlˈɒft
ALONE	əlˈəʊn
ALONG	əlˈɒŋ
ALONGSIDE	əlˈɒŋsˌaɪd
ALOOF	əlˈuːf
ALOUD	əlˈaʊd
ALPHA	ˈælfə
ALPHABETICAL	ˌælfəbˈɛtɪkəl
ALPINE	ˈælpˌaɪn
ALPS	ˈælps
ALREADY	ɔːlɹˈɛdi
ALRESFORD(1)	ˈɒlsfəd
ALRESFORD(2)	ˈeɪlsfəd
ALRESFORD(3)	ˈɒlzfəd
ALRESFORD(4)	ˈɔːlzfəd
ALRIGHT	ˌɔːlɹˈaɪt
ALSAGER	ˈɒlseɪdʒə
ALSO	ˈɔːlsəʊ
ALTAR	ˈɔːltə
ALTER	ˈɔːltə
ALTERATION	ˌɔːltəɹˈeɪʃən
ALTERATIONS	ˌɔːltəɹˈeɪʃənz
ALTERED	ˈɔːltəd
ALTERNATE(1)	ˈɔːltənˌeɪt
ALTERNATE(2)	ˈɔːltənɪt
ALTERNATIVE	ɔːltˈɜːnətɪv
ALTERNATIVELY	ɔːltˈɜːnətɪvli
ALTERNATIVES	ɔːltˈɜːnətɪvz
ALTHORP(1)	ˈɔːlθɔːp
ALTHORP(2)	ˈɔːltɹəp
ALTHOUGH	ˌɔːlðˈəʊ
ALTITUDE	ˈæltɪtjˌuːd
ALTOGETHER	ˌɔːltəgˈɛðə
ALTRINCHAM	ˈɒltɹɪŋəm
ALUMINIUM	ˌæljʊmˈɪnɪəm
ALUMINUM	əlˈuːmɪnəm
ALUMNI	əlˈɐmnˌaɪ
ALUMNUS	əlˈɐmnəs
ALVERDISCOTT(1)	ˈɒlskɒt
ALVERDISCOTT(2)	ˈɔːlskɒt
ALWAYS(1)	ˈɔːlwɪz
ALWAYS(2)	ˈɔːlwˌeɪz
AM	ˈæm
AMANDA	əmˈændə
AMASS	əmˈæs
AMATEUR(1)	ˈæmətə
AMATEUR(2)	ˈæmətʃə
AMATEUR(3)	ˈæmətʃˌʊə
AMATEUR(4)	ˌæmətˈɜː
AMAZE	əmˈeɪz
AMAZED	əmˈeɪzd
AMAZING	əmˈeɪzɪŋ
AMAZON	ˈæməzən
AMBASSADOR	æmbˈæsədə
AMBER	ˈæmbə
AMBIENT	ˈæmbɪənt
AMBIGUITY	ˌæmbɪgjˈuːɪti
AMBIGUOUS	æmbˈɪgjʊəs
AMBITION	æmbˈɪʃən
AMBITIONS	æmbˈɪʃənz
AMBITIOUS	æmbˈɪʃəs
AMBULANCE	ˈæmbjʊləns
AMEN(1)	ˌeɪmˈɛn
AMEN(2)	ˌɑːmˈɛn
AMEND	əmˈɛnd
AMENDED	əmˈɛndɪd
AMENDMENT	əmˈɛndmənt
AMENDMENTS	əmˈɛndmənts
AMENITIES	əmˈɛnɪtiz
AMERICA	əmˈɛɹɪkə
AMERICAN	əmˈɛɹɪkən
AMERICANS	əmˈɛɹɪkənz
AMERICAS	əmˈɛɹɪkəz
AMID	əmˈɪd
AMINO(1)	əmˈiːnəʊ
AMINO(2)	əmˈaɪnəʊ
AMISS	əmˈɪs
AMNESTY	ˈæmnɪsti
AMOK	əmˈɒk
AMONG	əmˈɐŋ
AMONGST	əmˈɐŋst
AMOUNT	əmˈaʊnt
AMOUNTS	əmˈaʊnts
AMP	ˈæmp
AMPERSAND	ˈæmpəsˌænd
AMPHIBIAN	æmfˈɪbɪən
AMPHITHEATER	ˌæmfɪθˈɪətə
AMPLE	ˈæmpəl
AMPLIFIER	ˈæmplɪfˌaɪə
AMPLITUDE	ˈæmplɪtjˌuːd
AMPLY	ˈæmpli
AMSTERDAM	ˈæmstədˌæm
AMUSE	əmjˈuːz
AMUSEMENT	əmjˈuːzmənt
AMUSING	əmjˈuːzɪŋ
AMY	ˈeɪmi
AN(1)	ən
AN(2)	ˈæn
ANA(1)	ˈænə
ANA(2)	ˈɑːnə
ANAESTHESIA	ˌænɪsθˈiːzɪə
ANAESTHETISE	ənˈiːsθətˌaɪz
ANAL	ˈeɪnəl
ANALOG	ˈænəlˌɒg
ANALOGOUS	ənˈæləgəs
ANALOGY	ənˈælədʒi
ANALYSE	ˈænəlˌaɪz
ANALYSED	ˈænəlˌaɪzd
ANALYSES(1)	ˈænəlˌaɪziz
ANALYSES(2)	ənˈælɪsˌiːz
ANALYSIS	ənˈælɪsɪs
ANALYST	ˈænəlɪst
ANALYSTS	ˈænəlɪsts
ANALYTICAL	ˌænəlˈɪtɪkəl
ANALYZE	ˈænəlˌaɪz
ANALYZED	ˈænəlˌaɪzd
ANATHEMA	ənˈæθəmə
ANATHEMAS	ənˈæθəməz
ANATOMY	ənˈætəmi
ANCESTOR	ˈænsˌɛstə
ANCESTORS	ˈænsˌɛstəz
ANCESTRAL	ænsˈɛstɹəl
ANCHOR	ˈæŋkə
ANCIENT	ˈeɪnʃənt
ANCILLARY	ænsˈɪləɹi
AND(1)	ənd
AND(2)	ˈænd
ANDERSON	ˈændəsən
ANDORRA	ændˈɔːɹə
ANDREA(1)	ˈændɹɪə
ANDREA(2)	ˌændɹˈeɪə
ANDREAS	ɒndɹˈeɪəs
ANDREW	ˈændɹuː
ANDREWS	ˈændɹˌuːz
ANDROID	ˈændɹɔɪd
ANDY	ˈændi
ANECDOTE	ˈænɪkdˌəʊt
ANECDOTES	ˈænɪkdˌəʊts
ANEMONE	ənˈɛməni
ANESTHESIA	ˌænɪsθˈiːzɪə
ANEW	ənjˈuː
ANGEL	ˈeɪndʒəl
ANGELA	ˈændʒələ
ANGELS	ˈeɪndʒəlz
ANGER	ˈæŋgə
ANGIE	ˈændʒi
ANGLE	ˈæŋgəl
ANGLES	ˈæŋgəlz
ANGOLA	æŋgˈəʊlə
ANGRILY	ˈæŋgɹɪli
ANGRY	ˈæŋgɹi
ANGST	ˌæŋst
ANGUS	ˈæŋgəs
ANIMAL	ˈænɪməl
ANIMALS	ˈænɪməlz
ANIMATED	ˈænɪmˌeɪtɪd
ANIMATION	ˌænɪmˈeɪʃən
ANIME	ˈænɪmˌeɪ
ANKLE	ˈæŋkəl
ANN	ˈæn
ANNA	ˈænə
ANNABEL	ˈænəbˌɛl
ANNE	ˈæn
ANNETTE	ənˈɛt
ANNEX(1)	ˈænˌɛks
ANNEX(2)	ˌænˈɛks
ANNEXE(1)	ˈænɪks
ANNEXE(2)	ˈænˌɛks
ANNIE	ˈæni
ANNIVERSARY	ˌænɪvˈɜːsəɹi
ANNOTATED(1)	ˈænətˌeɪtɪd
ANNOTATED(2)	ˈænəʊtˌeɪtɪd
ANNOTATION	ˌænətˈeɪʃən
ANNOUNCE	ənˈaʊns
ANNOUNCED	ənˈaʊnst
ANNOUNCEMENT	ənˈaʊnsmənt
ANNOUNCEMENTS	ənˈaʊnsmənts
ANNOUNCER	ənˈaʊnsə
ANNOUNCES	ənˈaʊnsɪz
ANNOY	ənˈɔɪ
ANNOYANCE	ənˈɔɪəns
ANNOYED	ənˈɔɪd
ANNOYING	ənˈɔɪɪŋ
ANNOYS	ənˈɔɪz
ANNUAL	ˈænjʊəl
ANNUALLY	ˈænjʊəli
ANNUL	ənˈɐl
ANOMALOUS	ənˈɒmələs
ANOMALY	ənˈɒməli
ANONYMOUS	ənˈɒnɪməs
ANOTHER	ənˈɐðə
ANSWER	ˈɑːnsə
ANSWERED	ˈɑːnsəd
ANSWERING	ˈɑːnsəɹɪŋ
ANSWERS	ˈɑːnsəz
ANT	ˈænt
ANTARCTICA	ˌæntˈɑːktɪkə
ANTE	ˈænti
ANTENNA	æntˈɛnə
ANTHONY	ˈænθəni
ANTHROPOLOGY	ˌænθɹəpˈɒlədʒi
ANTI	ˈænti
ANTIBIOTIC	ˌæntɪbaɪˈɒtɪk
ANTIBIOTICS	ˌæntɪbaɪˈɒtɪks
ANTIBODIES	ˈæntɪbˌɒdiz
ANTIBODY	ˈæntɪbˌɒdi
ANTICEDENT	ˌæntɪsˈiːdənt
ANTICIPATE	æntˈɪsɪpˌeɪt
ANTICIPATED	æntˈɪsɪpˌeɪtɪd
ANTICIPATION	ˌæntɪsɪpˈeɪʃən
ANTICS	ˈæntɪks
ANTIDOTE	ˈæntɪdˌəʊt
ANTIGUA(1)	æntˈiːgə
ANTIGUA(2)	æntˈiːgwə
ANTIPODES	æntˈɪpədˌiːz
ANTIQUATED	ˈæntɪkwˌeɪtɪd
ANTIQUE	æntˈiːk
ANTIQUES	æntˈiːks
ANTIQUITY	æntˈɪkwɪti
ANTIVIRUS	ˌæntɪvˈaɪɹəs
ANTONIO	æntˈəʊnɪəʊ
ANUS	ˈeɪnəs
ANXIETY	æŋzˈaɪəti
ANXIOUS(1)	ˈæŋʃəs
ANXIOUS(2)	ˈæŋkʃəs
ANY	ˈɛni
ANYBODY(1)	ˈɛnɪbˌɒdi
ANYBODY(2)	ˈɛnɪbədi
ANYHOW	ˈɛnɪhˌaʊ
ANYMORE	ˌɛnɪmˈɔː
ANYONE(1)	ˈɛnɪwən
ANYONE(2)	ˈɛnɪwˌɐn
ANYTHING	ˈɛnɪθˌɪŋ
ANYTIME	ˈɛnɪtˌaɪm
ANYWAY	ˈɛnɪwˌeɪ
ANYWAYS	ˈɛnɪwˌeɪz
ANYWHERE	ˈɛnɪwˌɛə
APACE	əpˈeɪs
APACHE	əpˈætʃi
APART	əpˈɑːt
APARTMENT	əpˈɑːtmənt
APARTMENTS	əpˈɑːtmənts
APE	ˈeɪp
APEX	ˈeɪpɛks
APOLLO	əpˈɒləʊ
APOLOGIES	əpˈɒlədʒiz
APOLOGISE	əpˈɒlədʒˌaɪz
APOLOGISED	əpˈɒlədʒˌaɪzd
APOLOGIZE	əpˈɒlədʒˌaɪz
APOLOGIZED	əpˈɒlədʒˌaɪzd
APOLOGY	əpˈɒlədʒi
APOSTROPHE	əpˈɒstɹəfi
APP	ˈæp
APPALLED	əpˈɔːld
APPALLING	əpˈɔːlɪŋ
APPARATUS	ˌæpəɹˈætəs
