अंत	ənt̪
उल्लेखनीय	ʊlleːkʰniːj
ऊंचा	ũt͡ʃa
ऊनी	uːniː
ऊपर	uːpəɾ
ऊपरवाला	uːpəɾʋɑːlɑː
ऋषि	ɾɪʃiː
एकाधिकार	eːkɑːd̪ʱɪkɑːɾ
एजेंसी	eːd͡ʒeːnsiː
एटीएम	eːʈiːeːm
एड़ी	eːɽiː
एवज़	eːʋəz
ओझा	oːd͡ʒʱɑː
ओडिशा	oːɖɪʃɑː
और	ɔːɾ
औषधि	ɔːʃd̪ʱiː
औषधीय	ɔːʃd̪ʱiːj
कंगारू	kəŋɡɑːɾuː
कंप्यूटर	kəmpjuːʈəɾ
कचहरी	kət͡ʃɛːʱɾiː
कटौती	kəʈɔːt̪iː
कन्नौज	kənnɔːd͡ʒ
कबीर	kəbiːɾ
करिश्मा	kəɾɪʃmɑː
कर्नाटक	kəɾnɑːʈək
कवयित्री	kəʋjɪt̪ɾiː
कसर	kəsəɾ
काका	kɑːkɑː
काटना	kɑːʈnɑː
काठमांडू	kɑːʈʰmɑːnɖuː
कामिल	kɑːmɪl
कार्डिफ़	kɑːɾɖɪf
कार्यालय	kɑːɾjɑːləj
कार्रवाई	kɑːɾɾəʋɑːiː
किसान	kɪsɑːn
कीकर	kiːkəɾ
कीर्तन	kiːɾt̪ən
कुटज	kʊʈəd͡ʒ
कुटिया	kʊʈiːjɑː
कुदरत	kʊd̪ɾət̪
कुवैत	kʊʋɛːt̪
कैंब्रिज	kɛːmbɾɪd͡ʒ
कोख	koːkʰ
कोरेगांव	koːɾeːɡɑ̃ːʋ
कोशिश	koːʃɪʃ
कौड़ी	kɔːɽiː
क्रिकेटर	kɾɪkeːʈəɾ
क्लर्क	kləɾk
क्षति	kʃət̪iː
क्षेत्ररक्षण	kʃeːt̪ɾəɾəkʃən
क्षेत्राधिकार	kʃeːt̪ɾɑːd̪ʱɪkɑːɾ
खुलेआम	kʰʊleːɑːm
खेतिहर	kʰeːt̪ɪɦəɾ
खेलकूद	kʰeːlkuːd̪
गर्दन	ɡəɾd̪ən
गर्भपात	ɡəɾbʱpɑːt̪
गवाही	ɡəʋɑːɦiː
गहन	ɡɛːʱn
गांठ	ɡɑːnʈʰ
गायक	ɡɑːjək
गिरफ़्तारी	ɡɪɾəft̪ɑːɾiː
गुंजाइश	ɡʊɲd͡ʒɑːɪʃ
गोली	ɡoːliː
ग्वाटेमाला	ɡʋɑːʈeːmɑːlɑː
घाटा	ɡʱɑːʈɑː
घेरा	ɡʱeːɾɑː
घोषित	ɡʱoːʃɪt̪
चंदा	t͡ʃənd̪ɑː
चक्कर	t͡ʃəkkəɾ
चक्रवृद्धि	t͡ʃəkɾəʋɾɪd̪d̪ʱiː
चपत	t͡ʃəpət̪
चरमपंथी	t͡ʃəɾəmpənt̪ʰiː
चलचित्र	t͡ʃəlt͡ʃɪt̪ɾ
चांद	t͡ʃɑːnd̪
चांसलर	t͡ʃɑːnsləɾ
चालक	t͡ʃɑːlək
चाहत	t͡ʃɑːɦət̪
चित्र	t͡ʃɪt̪ɾ
चिमनी	t͡ʃɪmniː
चिलम	t͡ʃɪləm
चूकना	t͡ʃuːknɑː
चौकी	t͡ʃɔːkiː
चौड़ाई	t͡ʃɔːɽɑːiː
चौराहा	t͡ʃɔːɾɑːɦɑː
जकार्ता	d͡ʒəkɑːɾt̪ɑː
जनवरी	d͡ʒənʋəɾiː
जमात	d͡ʒəmɑːt̪
ज़मानत	zəmɑːnət̪
ज़ालिम	zɑːlɪm
ज़्यादा	zjɑːd̪ɑː
ज़्यादातर	zjɑːd̪ɑːt̪əɾ
जाँच	d͡ʒɑ̃ːt͡ʃ
जूझ	d͡ʒuːd͡ʒʱ
जूता	d͡ʒuːt̪ɑː
जून	d͡ʒuːn
जैसा	d͡ʒɛːsɑː
झूठी	dʒʱuːʈʰiː
टक्कर	ʈəkkəɾ
टुकड़ा	ʈʊkɽɑː
टूट	ʈuːʈ
टोली	ʈoːliː
ठंड	ʈʰənɖ
ठगी	ʈʰəɡiː
ठहराव	ʈʰɛːʱɾɑːʋ
ठिकाना	ʈʰɪkɑːnɑː
ठेला	ʈʰeːlɑː
डाउनलोड	ɖɑːʊnloːɖ
डील	ɖiːl
तमाचा	t̪əmɑːt͡ʃɑː
तमाम	t̪əmɑːm
तलाश	t̪əlɑːʃ
तीखा	t̪iːkʰɑː
तृतीय	t̪ɾɪt̪iːj
तेंदुआ	t̪eːnd̪ʊɑː
थाइलैंड	t̪ʰɑːɪlɛːnɖ
थू	t̪ʰuː
दक्षिणपंथ	d̪əkʃɪnpənt̪ʰ
दक्षिणपंथी	d̪əkʃɪnpənt̪ʰiː
दर्जा	d̪əɾd͡ʒɑː
दहन	d̪ɛːʱn
दांत	d̪ɑːnt̪
दास्तान	d̪ɑːst̪ɑːn
दिन	d̪ɪn
दिनभर	d̪ɪnbʱəɾ
दिलचस्प	d̪ɪlt͡ʃəsp
दिलेरी	d̪ɪleːɾiː
दिल्ली	d̪ɪlliː
दीपिका	d̪iːpɪkɑː
दीवानगी	d̪iːʋɑːnɡiː
दुरुपयोग	d̪ʊɾʊpjoːɡ
दुश्वार	d̪ʊʃʋɑːɾ
दूरभाष	d̪uːɾbʱɑːʃ
द्रव्यमान	d̪ɾəʋjəmɑːn
धकेलना	d̪ʱəkeːlnɑː
धन्य	d̪ʱənjə
धमाका	d̪ʱəmɑːkɑː
धरपकड़	d̪ʱəɾpəkəɽ
धरोहर	d̪ʱəɾoːɦəɾ
धान	d̪ʱɑːn
धुंधला	d̪ʱʊnd̪ʱlɑː
नंगा	nəŋɡɑː
नकारात्मक	nəkɑːɾɑːt̪mək
नज़रिया	nəzəɾiːjɑː
नज़ारा	nəzɑːɾɑː
नतीजतन	nət̪iːd͡ʒt̪ən
नफ़रत	nəfɾət̪
नवाज़	nəʋɑːz
नहाना	nəɦɑːnɑː
नालायक	nɑːlɑːjək
नाहर	nɑːɦəɾ
निकट	nɪkəʈ
निकालना	nɪkɑːlnɑː
निकास	nɪkɑːs
निगम	nɪɡəm
नियुक्त	niːjʊkt̪
निरंतर	nɪɾənt̪əɾ
नेतन्याहू	neːt̪ənjɑːɦuː
नेपाल	neːpɑːl
नेपाली	neːpɑːliː
नौ	nɔː
पक्ष	pəkʃ
पटना	pəʈnɑː
पट्टी	pəʈʈiː
पड़ोस	pəɽoːs
पदोन्नत	pəd̪oːnnət̪
पनाह	pənɑːʱ
पनाहगाह	pənɑːʱɡɑːʱ
परदेशी	pəɾd̪eːʃiː
परवरिश	pəɾʋəɾɪʃ
परिक्रमा	pəɾɪkɾəmɑː
परिपूर्ण	pəɾɪpuːɾn
परोपकार	pəɾoːpkɑːɾ
पर्थ	pəɾt̪ʰ
पहलू	pɛːʱluː
पाठ्यक्रम	pɑːʈʰjəkɾəm
पाबंद	pɑːbənd̪
पायलट	pɑːjləʈ
पारित	pɑːɾɪt̪
पालतू	pɑːlt̪uː
पाशा	pɑːʃɑː
पाषाण	pɑːʃɑːn
पुराना	pʊɾɑːnɑː
पेय	peːj
पैर	pɛːɾ
पैराग्वे	pɛːɾɑːɡʋeː
पौन	pɔːn
प्रचार	pɾət͡ʃɑːɾ
प्रभु	pɾəbʱuː
प्रयत्न	pɾəjət̪n
प्रवेश	pɾəʋeːʃ
प्राप्त	pɾɑːpt̪
प्रायः	pɾɑːjəʰ
फ़र्ज़ी	fəɾziː
फ़र्श	fəɾʃ
फ़ारसी	fɑːɾsiː
फ़ौजी	fɔːd͡ʒiː
फ़्लैट	flɛːʈ
फिर	pʰɪɾ
फेरी	pʰeːɾiː
फ्रांसीसी	fɾɑːnsiːsiː
बंदरगाह	bənd̪əɾɡɑːʱ
बचाव	bət͡ʃɑːʋ
बदतर	bəd̪t̪əɾ
बदमाश	bəd̪mɑːʃ
बरस	bəɾəs
बर्फ़ीला	bəɾfiːlɑː
बल्कि	bəlkiː
बसेरा	bəseːɾɑː
बहरीन	bɛːʱɾiːn
बहाल	bəɦɑːl
बहुत	bəhʊt̪
बहुवचन	bəɦʊʋət͡ʃən
बांझ	bɑːɲd͡ʒʱ
बाधा	bɑːd̪ʱɑː
बारह	bɑːɾəʱ
बारी	bɑːɾiː
बाहर	bɑːɦəɾ
बिजली	bɪd͡ʒliː
बिजलीघर	bɪd͡ʒliːɡʱəɾ
बिन	bɪn
बिल	bɪl
बुत	bʊt̪
बुलाकर	bʊlɑːkəɾ
बेल्जियम	beːld͡ʒiːjəm
ब्रह्मांड	bɾɛːʱmɑːnɖ
भई	bʱəiː
भद्दा	bʱəd̪d̪ɑː
भर	bʱəɾ
भागा	bʱɑːɡɑː
भावना	bʱɑːʋnɑː
भिन्न	bʱɪnn
भेंट	bʱeːnʈ
भेद	bʱeːd̪
भ्रमण	bʱɾəmən
मंच	məɲt͡ʃ
मंडप	mənɖəp
मंत्रिमंडल	mənt̪ɾɪmənɖəl
मच्छर	mət͡ʃt͡ʃʰəɾ
मछली	mət͡ʃʰliː
मणिपुर	mənɪpʊɾ
मददगार	məd̪əd̪ɡɑːɾ
मनोनीत	mənoːniːt̪
ममता	məmt̪ɑː
मल	məl
मस्तक	məst̪ək
महक	meːɦeːk
महत्त्वपूर्ण	mɛːʱt̪t̪ʋəpuːɾn
महफ़ूज़	mɛːʱfuːz
महमूद	mɛːʱmuːd̪
महाविद्यालय	məɦɑːʋɪd̪jɑːləj
महीन	məɦiːn
माओवादी	mɑːoːʋɑːd̪iː
माटी	mɑːʈiː
मातम	mɑːt̪əm
मानदेय	mɑːnd̪eːj
मामू	mɑːmuː
मालिकाना	mɑːlɪkɑːnɑː
माले	mɑːleː
मासिक	mɑːsɪk
माहिर	mɑːɦɪɾ
मिश्र	mɪʃɾ
मिसाइल	mɪsɑːɪl
मीठा	miːʈʰɑː
मुकुट	mʊkʊʈ
मुख	mʊkʰ
मुरादाबाद	mʊɾɑːd̪ɑːbɑːd̪
मुसीबत	mʊsiːbət̪
मुस्लिम	mʊslɪm
मूर्खतापूर्ण	muːɾkʰt̪ɑːpuːɾn
मृत्युदंड	mɾɪt̪jʊd̪ənɖ
मृदु	mɾɪd̪uː
मेघ	meːɡʱ
मेल	meːl
मेलबॉर्न	meːlbɔːɾn
मेला	meːlɑː
मेहमान	meːʱmɑːn
मेहरबानी	mɛːʱɾbɑːniː
मैसूर	mɛːsuːɾ
यज्ञ	jəɡʲ
यथार्थ	jət̪ʰɑːɾt̪ʰ
यहीं	jəɦĩː
यूरेनियम	juːɾeːniːjəm
येड़ा	jeːɽɑː
रन	ɾən
रहनुमा	ɾɛːʱnʊmɑː
राखी	ɾɑːkʰiː
रावलपिंडी	ɾɑːʋəlpɪnɖiː
राष्ट्र	ɾɑːʃʈɾ
राष्ट्रगान	ɾɑːʃʈɾəɡɑːn
रोटी	ɾoːʈiː
रोमांचक	ɾoːmɑːɲt͡ʃək
रोशनी	ɾoːʃniː
लगता	ləɡt̪ɑː
लगना	ləɡnɑː
लगाना	ləɡɑːnɑː
लगी	ləɡiː
लगे	ləɡeː
लघु	ləɡʱuː
लट	ləʈ
लथपथ	lət̪ʰpət̪ʰ
लब	ləb
लुधियाना	lʊd̪ʱiːjɑːnɑː
लोकतांत्रिक	loːkt̪ɑːnt̪ɾɪk
लोकप्रियता	loːkəpɾiːjət̪ɑː
लोहड़ी	loːʱɽiː
वनों	ʋənõː
वर्चुअल	ʋəɾt͡ʃʊəl
वर्दीधारी	ʋəɾd̪iːd̪ʱɑːɾiː
वाणिज्य	ʋɑːnɪd͡ʒj
वाष्पीकरण	ʋɑːʃpiːkəɾən
वास्तविकता	ʋɑːst̪əʋɪkt̪ɑː
वास्तु	ʋɑːst̪uː
विकास	ʋɪkɑːs
वित्त	ʋɪt̪t̪
विधायक	ʋɪd̪ʱɑːjək
विरोध	ʋɪɾoːd̪ʱ
विविधता	ʋɪʋɪd̪ʱt̪ɑː
विश्लेषक	ʋɪʃleːʃək
वृद्धावस्था	ʋɾɪd̪d̪ʱɑːʋəst̪ʰɑː
व्यंग्य	ʋjəŋɡj
शकरकंद	ʃəkəɾkənd̪
शतकवीर	ʃət̪əkʋiːɾ
शतरंज	ʃət̪ɾəɲd͡ʒ
शत्रु	ʃət̪ɾuː
शब्द	ʃəbd̪
शरणार्थी	ʃəɾnɑːɾt̪ʰiː
शहला	ʃɛːʱlɑː
शादीशुदा	ʃɑːd̪iːʃʊd̪ɑː
शाब्दिक	ʃɑːbd̪ɪk
शारीरिक	ʃɑːɾiːɾɪk
शासन	ʃɑːsən
शिक्षाकर्मी	ʃɪkʃɑːkəɾmiː
शिनजियांग	ʃɪnd͡ʒiːjɑːŋɡ
श्रमिक	ʃɾəmɪk
संदूषण	sənd̪uːʃən
संदेश	sənd̪eːʃ
संबंधी	səmbənd̪ʱiː
सक्सेना	səkseːnɑː
सचिव	sət͡ʃɪʋ
सच्चा	sət͡ʃt͡ʃɑː
सट्टा	səʈʈɑː
सतलुज	sət̪lʊd͡ʒ
सत्ता	sət̪t̪ɑː
सब	səb
समोसा	səmoːsɑː
सरफ़रोश	səɾfəɾoːʃ
सर्द	səɾd̪
सलूक	səluːk
सवार	səʋɑːɾ
सहारा	səɦɑːɾɑː
साक्षर	sɑːkʃəɾ
साथ	sɑːt̪ʰ
साथी	sɑːt̪ʰiː
सामरिक	sɑːmɾɪk
सामी	sɑːmiː
सार्वजनिक	sɑːɾʋd͡ʒənɪk
सावधानी	sɑːʋd̪ʱɑːniː
सिंहला	sɪnʱlɑː
सितंबर	sɪt̪əmbəɾ
सुगंध	sʊɡənd̪ʱ
सुन्दर	sʊnd̪əɾ
सुमन	sʊmən
सुलझा	sʊld͡ʒʱɑː
सुस्ताना	sʊst̪ɑːnɑː
सूती	suːt̪iː
सेज	seːd͡ʒ
सैलाब	sɛːlɑːb
सो	soː
सोता	soːt̪ɑː
स्टार	sʈɑːɾ
स्थगित	st̪ʰəɡɪt̪
स्थायी	st̪ʰɑːjiː
स्पैनिश	spɛːnɪʃ
स्वच्छता	sʋət͡ʃt͡ʃʰt̪ɑː
स्वाभाविक	sʋɑːbʱɑːʋɪk
स्वामी	sʋɑːmiː
स्वेच्छा	sʋeːt͡ʃt͡ʃʰɑː
हताशा	ɦət̪ɑːʃɑː
हरियाणवी	ɦəɾiːjɑːnʋiː
हालाँकि	ɦɑːlɑ̃ːkiː
हिन्दी	ɦɪnd̪iː
हिरासत	ɦɪɾɑːsət̪
हीन	ɦiːn
हुक्म	ɦʊkm
होली	ɦoːliː
