ئابووری	.ʔa.bû.rî
ئاگادارینامەکەدا	.ʔa.ga.da.rî.na.me.ke.da
ئاگادارینامەی	.ʔa.ga.da.rî.na.mey
ئاگاداریی	.ʔa.ga.da.rîy
ئاگادارییان	.ʔa.ga.da.rî.yan
ئاگاهی	.ʔa.ga.hî
ئاگری	.ʔa.gi.rî
ئاڵبانییەکان	.ʔał.ba.nî.ye.kan
ئاڵمان	.ʔał.man
ئاڵماندا	.ʔał.man.da
ئاڵمانێدا	.ʔał.ma.nê.da
ئاڵن	.ʔa.łin
ئاڵوگۆڕییەکان	.ʔa.łu.go.řî.ye.kan
ئامادە	.ʔa.ma.de
ئامادەکاریگەلێکی	.ʔa.ma.de.ka.rî.ge.lê.kî
ئامادەکارییەکاندا	.ʔa.ma.de.ka.rî.ye.kan.da
ئامادەکراوەکانی	.ʔa.ma.de.ki.ra.we.ka.nî
ئامادەن	.ʔa.ma.den
ئامارێک	.ʔa.ma.rêk
ئامارێکی	.ʔa.ma.rê.kî
ئاماری	.ʔa.ma.rî
ئامارەکانی	.ʔa.ma.re.ka.nî
ئاماژە	.ʔa.ma.je
ئاماژەمان	.ʔa.ma.je.man
ئاماژەی	.ʔa.ma.jey
ئاماژەیە	.ʔa.ma.je.ye
ئاماژەیەکی	.ʔa.ma.je.ye.kî
ئامانجم	.ʔa.man.cim
ئامانجی	.ʔa.man.cî
ئامانجەکانی	.ʔa.man.ce.ka.nî
ئامانجەکانیان	.ʔa.man.ce.kan.yan
ئامریکایییەکاندان	.ʔam.rî.ka.yî.ye.kan.dan
ئامۆژگارییان	.ʔa.moj.ga.rî.yan
ئامێرێک	.ʔa.mê.rêk
ئامێرە	.ʔa.mê.re
ئامەدی	.ʔa.me.dî
ئانتەر	.ʔan.ter
ئانتەرەوە	.ʔan.te.re.we
ئانکارا	.ʔan.ka.ra
ئانکارادا	.ʔan.ka.ra.da
ئانکارادایە	.ʔan.ka.ra.da.ye
ئانگژا	.ʔan.gi.ja
ئاوا	.ʔa.wa
ئاوات	.ʔa.wat
ئاوای	.ʔa.way
ئاوایییەکانیان	.ʔa.wa.yî.ye.kan.yan
ئاوریان	.ʔa.wir.yan
ئاوێنەی	.ʔa.wê.ney
ئاوەڵاوە	.ʔa.we.ła.we
ئایا	.ʔa.ya
ئایین	.ʔa.yîn
ئایینی	.ʔa.yî.nî
ئایینیش	.ʔa.yî.nîş
ئایینین	.ʔa.yî.nîn
ئایینیی	.ʔa.yî.nîy
ئایینییان	.ʔa.yî.nî.yan
ئایینییە	.ʔa.yî.nî.ye
ئایینییەکان	.ʔa.yî.nî.ye.kan
ئایینییەکانی	.ʔa.yî.nî.ye.ka.nî
ئایینییەکانە	.ʔa.yî.nî.ye.ka.ne
ئزمیر	.ʔiz.mîr
ئوزچەلک	.ʔuz.çelk
ئوڤاجک	.ʔu.vack
ئوگرەتی	.ʔug.re.tî
ئونال	.ʔu.nal
ئۆدە	.ʔo.de
ئۆدەی	.ʔo.dey
ئۆدەیان	.ʔo.de.yan
ئۆسێ	.ʔo.sê
ئۆفسێتی	.ʔof.sê.tî
ئۆگرەتی	.ʔog.re.tî
ئۆگرەتیش	.ʔog.re.tîş
ئۆگرەتییە	.ʔog.re.tî.ye
ئۆگرەتییەکانی	.ʔog.re.tî.ye.ka.nî
ئێدگار	.ʔêd.gar
ئێران	.ʔê.ran
ئێرانیشدا	.ʔê.ra.nîş.da
ئێرە	.ʔê.re
ئێستا	.ʔês.ta
ئێستاش	.ʔês.taş
ئێستاکانێ	.ʔês.ta.ka.nê
ئێستاکانێش	.ʔês.ta.ka.nêş
ئێستاکەش	.ʔês.ta.keş
ئێستاکەی	.ʔês.ta.key
ئێستای	.ʔês.tay
ئێستە	.ʔês.te
ئێستەش	.ʔês.teş
ئێستەکانێ	.ʔês.te.ka.nê
ئێکجار	.ʔêk.car
ئێلیفسن	.ʔê.lîf.sin
ئێلیۆت	.ʔêl.yot
ئێمە	.ʔê.me
ئێوە	.ʔê.we
ئی	.ʔî
ئیتر	.ʔî.tir
ئیحسان	.ʔîḧ.san
ئیدی	.ʔî.dî
ئیسراییلیش	.ʔîs.ra.yî.lîş
ئیسلام	.ʔîs.lam
ئیسلامییەکان	.ʔîs.la.mî.ye.kan
ئیسمایل	.ʔîs.ma.yil
ئیش	.ʔîş
ئیشکەکان	.ʔîş.ke.kan
ئیلهام	.ʔîl.ham
ئیمپەراتۆریی	.ʔîm.pe.ra.to.rîy
ئیمەیلەوە	.ʔî.mey.le.we
ئینتێرنێتەوە	.ʔîn.têr.nê.te.we
ئینتەرنت	.ʔîn.ter.nit
ئینتەرنەت	.ʔîn.ter.net
ئینتەرنەتدا	.ʔîn.ter.net.da
ئینتەرنەتی	.ʔîn.ter.ne.tî
ئینتەرنەتیش	.ʔîn.ter.ne.tîş
ئینتەرنەتیی	.ʔîn.ter.ne.tîy
ئینتەرنەتەوە	.ʔîn.ter.ne.te.we
ئینجا	.ʔîn.ca
ئینجیل	.ʔîn.cîl
ئینجیلی	.ʔîn.cî.lî
ئینجیلیان	.ʔîn.cîl.yan
ئینگلیس	.ʔîn.gi.lîs
ئینگلیسی	.ʔîn.gi.lî.sî
ئینگلیسییەکان	.ʔîn.gi.lî.sî.ye.kan
ئەتۆ	.ʔe.to
ئەحمەد	.ʔeḧ.med
ئەدریش	.ʔed.rîş
ئەدی	.ʔe.dî
ئەدەبی	.ʔe.de.bî
ئەدەبیی	.ʔe.de.bîy
ئەدەبییانەوە	.ʔe.de.bî.ya.ne.we
ئەدەبییانەوەیە	.ʔe.de.bî.ya.ne.we.ye
ئەدەبییەکان	.ʔe.de.bî.ye.kan
ئەرتش	.ʔer.tiş
ئەرتشی	.ʔer.ti.şî
ئەرتشیدا	.ʔer.ti.şî.da
ئەرتشیی	.ʔer.ti.şîy
ئەرتشییە	.ʔer.ti.şî.ye
ئەرتەشیدا	.ʔer.te.şî.da
ئەرخەنی	.ʔer.xe.nî
ئەردۆن	.ʔer.don
ئەرزەڕۆم	.ʔer.ze.řom
ئەرشیڤی	.ʔer.şî.vî
ئەرک	.ʔerk
ئەرکێکی	.ʔer.kê.kî
ئەرکێکە	.ʔer.kê.ke
ئەرکی	.ʔer.kî
ئەرمەنستاندا	.ʔer.me.nis.tan.da
ئەرمەنستانیش	.ʔer.me.nis.ta.nîş
ئەرمەنی	.ʔer.me.nî
ئەرمەنییەکان	.ʔer.me.nî.ye.kan
ئەرنێست	.ʔer.nêst
ئەرەن	.ʔe.ren
ئەزرا	.ʔez.ra
ئەزموون	.ʔez.mûn
ئەزموونی	.ʔez.mû.nî
ئەزموونەکانی	.ʔez.mû.ne.ka.nî
ئەژانسی	.ʔe.jan.sî
ئەژمارانە	.ʔej.ma.ra.ne
ئەژمارێک	.ʔej.ma.rêk
ئەژمارێکی	.ʔej.ma.rê.kî
ئەژماری	.ʔej.ma.rî
ئەژمارە	.ʔej.ma.re
ئەژمارەدا	.ʔej.ma.re.da
ئەژمارەکانی	.ʔej.ma.re.ka.nî
ئەسپێردرایە	.ʔes.pêr.di.ra.ye
ئەستاند	.ʔes.tand
ئەستۆ	.ʔes.to
ئەستۆی	.ʔes.toy
ئەستۆیە	.ʔes.to.ye
ئەستەمە	.ʔes.te.me
ئەسەد	.ʔe.sed
ئەشکەنجانە	.ʔeş.ken.ca.ne
ئەشکەنجە	.ʔeş.ken.ce
ئەشکەنجەدا	.ʔeş.ken.ce.da
ئەشکەنجەش	.ʔeş.ken.ceş
ئەشکەنجەکراوەکان	.ʔeş.ken.ce.ki.ra.we.kan
ئەشکەنجەی	.ʔeş.ken.cey
ئەشکەنجەیان	.ʔeş.ken.ce.yan
ئەڤیندارانە	.ʔe.vîn.da.ra.ne
ئەڤیندارانەی	.ʔe.vîn.da.ra.ney
ئەکرەم	.ʔe.ki.rem
ئەگەر	.ʔe.ger
ئەگەرچی	.ʔe.ger.çî
ئەگەری	.ʔe.ge.rî
ئەگەریش	.ʔe.ge.rîş
ئەلجەواز	.ʔel.ce.waz
ئەلعەرەب	.ʔel.ƹe.reb
ئەلفوبێی	.ʔel.fu.bêy
ئەلکوردی	.ʔel.kur.dî
ئەلئەسەد	.ʔel.ʔe.sed
ئەلەکساندر	.ʔe.lek.san.dir
ئەڵماندایە	.ʔeł.man.da.ye
ئەڵمانێ	.ʔeł.ma.nê
ئەم	.ʔem
ئەماژەیە	.ʔe.ma.je.ye
ئەمانە	.ʔe.ma.ne
ئەمانەش	.ʔe.ma.neş
ئەمانەن	.ʔe.ma.nen
ئەمانەیە	.ʔe.ma.ne.ye
ئەمپەراتووریی	.ʔem.pe.ra.tû.rîy
ئەمریکا	.ʔem.rî.ka
ئەمریکی	.ʔem.rî.kî
ئەمن	.ʔe.min
ئەمنی	.ʔem.nî
ئەمنیش	.ʔe.mi.nîş
ئەمنیی	.ʔem.nîy
ئەمنییەکان	.ʔem.nî.ye.kan
ئەمنییەکانەوە	.ʔem.nî.ye.ka.ne.we
ئەمین	.ʔe.mîn
ئەمە	.ʔe.me
ئەمەش	.ʔe.meş
ئەمەکێکی	.ʔe.me.kê.kî
ئەمەکەش	.ʔe.me.keş
ئەمەی	.ʔe.mey
ئەنجام	.ʔen.cam
ئەنجامی	.ʔen.ca.mî
ئەندام	.ʔen.dam
ئەندامایەتی	.ʔen.da.ma.ye.tî
ئەندامایەتیی	.ʔen.da.ma.ye.tîy
ئەندامێکی	.ʔen.da.mê.kî
ئەندامی	.ʔen.da.mî
ئەندامەکانیان	.ʔen.da.me.kan.yan
ئەنستیتووی	.ʔe.nis.tî.tûy
ئەنستیتووە	.ʔe.nis.tî.tu.we
ئەنستیتووەکان	.ʔe.nis.tî.tu.we.kan
ئەنوەر	.ʔen.wer
ئەنیستیتووی	.ʔe.nîs.tî.tûy
ئەنیستیتووە	.ʔe.nîs.tî.tu.we
ئەو	.ʔew
ئەوان	.ʔe.wan
ئەواندایە	.ʔe.wan.da.ye
ئەوانیش	.ʔe.wa.nîş
ئەوانە	.ʔe.wa.ne
ئەوانەدا	.ʔe.wa.ne.da
ئەوانەش	.ʔe.wa.neş
ئەوانەی	.ʔe.wa.ney
ئەورووپا	.ʔew.rû.pa
ئەورووپادا	.ʔew.rû.pa.da
ئەورووپاش	.ʔew.rû.paş
ئەورووپاوە	.ʔew.rû.pa.we
ئەورووپای	.ʔew.rû.pay
ئەورووپی	.ʔew.rû.pî
ئەوڕۆ	.ʔew.řo
ئەوڕۆکانێ	.ʔew.řo.ka.nê
ئەوی	.ʔe.wî
ئەویش	.ʔe.wîş
ئەوە	.ʔe.we
ئەوەش	.ʔe.weş
ئەوەکی	.ʔe.we.kî
ئەوەندە	.ʔe.wen.de
ئەوەی	.ʔe.wey
ئەوەیە	.ʔe.we.ye
ئەیلوولی	.ʔey.lû.lî
أجانِب	.ʔe.ca.nîb
أجنَبي	.ʔec.ne.bî
أجنَبی	.ʔec.ne.bî
با	.ba
بابی	.ba.bî
بابەت	.ba.bet
بابەتانێک	.ba.be.ta.nêk
بابەتانەدا	.ba.be.ta.ne.da
بابەتێکی	.ba.be.tê.kî
بابەتی	.ba.be.tî
بابەتە	.ba.be.te
بابەتەکاندا	.ba.be.te.kan.da
بابەتەکانی	.ba.be.te.ka.nî
بابەتەکانیان	.ba.be.te.kan.yan
بابەتەوە	.ba.be.te.we
بابەکان	.ba.be.kan
باتلێر	.bat.lêr
باتمان	.bat.man
باتی	.ba.tî
باج	.bac
باجێکی	.ba.cê.kî
باجی	.ba.cî
باجیشی	.ba.cî.şî
باجە	.ba.ce
باجەکان	.ba.ce.kan
باجەکانی	.ba.ce.ka.nî
باجەکە	.ba.ce.ke
بارگواستنەوە	.bar.gwas.ti.ne.we
بارودۆخانەدا	.ba.ru.do.xa.ne.da
بارودۆخێکدا	.ba.ru.do.xêk.da
بارودۆخی	.ba.ru.do.xî
بارودۆخە	.ba.ru.do.xe
بارودۆخەدا	.ba.ru.do.xe.da
بارودۆخەکە	.ba.ru.do.xe.ke
باری	.ba.rî
بازاڕدۆزینەوە	.ba.zař.do.zî.ne.we
بازاڕەکان	.ba.za.ře.kan
بازاڕەکانی	.ba.za.ře.ka.nî
بازرگانانە	.ba.zir.ga.na.ne
بازرگانی	.ba.zir.ga.nî
بازرگانیی	.ba.zir.ga.nîy
بازرگانییان	.ba.zir.ga.nî.yan
بازرگانەکان	.ba.zir.ga.ne.kan
بازرگانەکانیشەوە	.ba.zir.ga.ne.ka.nî.şe.we
باس	.bas
باسانە	.ba.sa.ne
باسم	.ba.sim
باسمان	.bas.man
باسێک	.ba.sêk
باسێکیش	.ba.sê.kîş
باسی	.ba.sî
باسیان	.bas.yan
باسەکانی	.ba.se.ka.nî
باش	.baş
باشتر	.baş.tir
باشوور	.ba.şûr
باشووردا	.ba.şûr.da
باشووری	.ba.şû.rî
باشی	.ba.şî
باشیشی	.ba.şî.şî
باشە	.ba.şe
باغجالر	.baẍ.ca.lir
باکوور	.ba.kûr
باکووری	.ba.kû.rî
باڵا	.ba.ła
باڵاخانەی	.ba.ła.xa.ney
باڵاخانەیەکی	.ba.ła.xa.ne.ye.kî
باڵبەستیان	.bał.best.yan
بانگهێشت	.bang.hêşt
بانگهێشتکراو	.bang.hêşt.ki.raw
بانگهێشتنامەی	.bang.hêşt.na.mey
بانگهێشتی	.bang.hêş.tî
بانگەشەی	.ban.ge.şey
بانگەوازی	.ban.ge.wa.zî
باو	.baw
باوک	.bawk
باوە	.ba.we
باوەشی	.ba.we.şî
بایوغلو	.ba.yuẍ.lu
بایەخانە	.ba.ye.xa.ne
بایەختر	.ba.yex.tir
بایەخێکێ	.ba.ye.xê.kê
ببرێتە	.bib.rê.te
ببن	.bi.bin
ببنە	.bib.ne
ببنەوە	.bib.ne.we
ببووی	.bi.bûy
ببووە	.bi.bu.we
ببووەوە	.bi.bu.we.we
ببێتە	.bi.bê.te
ببێتەوە	.bi.bê.te.we
ببیندرێ	.bi.bîn.di.rê
ببیندرێنەوە	.bi.bîn.di.rê.ne.we
ببینمەوە	.bi.bîn.me.we
ببەستێتەوە	.bi.bes.tê.te.we
بپارێزن	.bi.pa.rê.zin
بپارێزێ	.bi.pa.rê.zê
بتواندرێ	.bit.wan.di.rê
بتوانم	.bit.wa.nim
بتوانن	.bit.wa.nin
بتوانێ	.bit.wa.nê
بچنە	.bi.çi.ne
بچینە	.bi.çî.ne
بخرێتە	.bix.rê.te
بخوێننەوە	.bi.xwê.ni.ne.we
بخەنە	.bi.xe.ne
بدا	.bi.da
بدرێ	.bid.rê
بدرێت	.bid.rêt
بدلیس	.bid.lîs
بدۆزمەوە	.bi.doz.me.we
بدینرێنەوە	.bi.dîn.rê.ne.we
بدینمەوە	.bi.dîn.me.we
بدینێتەوە	.bi.dî.nê.te.we
بدەن	.bi.den
برادەرانەیان	.bi.ra.de.ra.ne.yan
براکان	.bi.ra.kan
براکەشی	.bi.ra.ke.şî
براکەی	.bi.ra.key
بران	.bi.ran
براهیم	.bi.ra.hîm
برایم	.bi.raym
برد	.bird
بردبوو	.bir.di.bû
بردنم	.bir.di.nim
بردنی	.bir.di.nî
بردووە	.bir.du.we
بردە	.bir.de
بردەوە	.bir.de.we
برووشوور	.bi.rû.şûr
بریتانیا	.bi.rî.tan.ya
بریتانیای	.bi.rî.tan.yay
بریتانییەکان	.bi.rî.ta.nî.ye.kan
بریتین	.bi.rî.tîn
بریندار	.bi.rîn.dar
بڕا	.bi.řa
بڕانی	.bi.řa.nî
بڕبڕەیانە	.biř.bi.ře.ya.ne
بڕوایان	.biř.wa.yan
بڕێک	.bi.řêk
بڕی	.bi.řî
بڕیار	.biř.yar
بڕیاردەدەن	.biř.yar.de.den
بڕیارنامە	.biř.yar.na.me
بڕیارنامەکە	.biř.yar.na.me.ke
بڕیارنامەی	.biř.yar.na.mey
بڕیارنامەیە	.biř.yar.na.me.ye
بڕیارنامەیەک	.biř.yar.na.me.yek
بڕیارنامەیەکی	.biř.yar.na.me.ye.kî
بڕیاریان	.biř.yar.yan
بڕیبوون	.bi.řî.bûn
بڕەخسێ	.bi.řex.sê
بزاڤانێک	.bi.za.va.nêk
بزاڤدا	.bi.zav.da
بزاڤێکیان	.bi.za.vêk.yan
بزاڤی	.bi.za.vî
بزاڤە	.bi.za.ve
بزاڤەکان	.bi.za.ve.kan
بزاڤەکانی	.bi.za.ve.ka.nî
بزاڤەکانیش	.bi.za.ve.ka.nîş
بزاڤەکە	.bi.za.ve.ke
بزاڤەکەدا	.bi.za.ve.ke.da
بزاندرێن	.bi.zan.di.rên
بزانن	.bi.za.nin
بزانین	.bi.za.nîn
بزووتنەوەی	.bi.zût.ne.wey
بزووتنەوەیەکی	.bi.zût.ne.we.ye.kî
بژاردا	.bi.jar.da
بژیوی	.bi.jî.wî
بستێنن	.bis.tê.nin
بستێنێ	.bis.tê.nê
بسڕنەوە	.bis.ři.ne.we
بسڕێتەوە	.bis.řê.te.we
بشبووبێ	.biş.bû.bê
بغازیچی	.bi.ẍa.zî.çî
بفرۆشێ	.bif.ro.şê
بکا	.bi.ka
بکاتەوە	.bi.ka.te.we
بکرێ	.bi.ki.rê
بکرێتەوە	.bi.ki.rê.te.we
بکرێن	.bi.ki.rên
بکرێنەوە	.bi.ki.rê.ne.we
بکڕن	.bi.ki.řin
بکۆچدرێن	.bi.koç.di.rên
بکە	.bi.ke
بکەم	.bi.kem
بکەمەوە	.bi.ke.me.we
بکەن	.bi.ken
بکەنەوە	.bi.ke.ne.we
بکەین	.bi.keyn
بگرێ	.bi.gi.rê
بگونجێ	.bi.gun.cê
بگیردرێن	.bi.gîr.di.rên
بگەیەنن	.bi.ge.ye.nin
بلیمەتانە	.bi.lî.me.ta.ne
بڵاو	.bi.ław
بڵاوببووەوە	.bi.ław.bi.bu.we.we
بڵاوبکرێنەوە	.bi.ław.bi.ki.rê.ne.we
بڵاوبوونەوە	.bi.ław.bû.ne.we
بڵاودەکاتەوە	.bi.ław.de.ka.te.we
بڵاودەکردەوە	.bi.ław.de.kir.de.we
بڵاودەکرێتەوە	.bi.ław.de.ki.rê.te.we
بڵاودەکرێنەوە	.bi.ław.de.ki.rê.ne.we
بڵاودەکەنەوە	.bi.ław.de.ke.ne.we
بڵاوکرابوونەوە	.bi.ław.ki.ra.bû.ne.we
بڵاوکرانی	.bi.ław.ki.ra.nî
بڵاوکرانەوە	.bi.ław.ki.ra.ne.we
بڵاوکراو	.bi.ław.ki.raw
بڵاوکراونەتە	.bi.ław.ki.raw.ne.te
بڵاوکراونەتەوە	.bi.ław.ki.raw.ne.te.we
بڵاوکراوی	.bi.ław.ki.ra.wî
بڵاوکراوە	.bi.ław.ki.ra.we
بڵاوکراوەتەوە	.bi.ław.ki.ra.we.te.we
بڵاوکراوەکان	.bi.ław.ki.ra.we.kan
بڵاوکراوەکانی	.bi.ław.ki.ra.we.ka.nî
بڵاوکردنەوە	.bi.ław.kir.di.ne.we
بڵاوکردنەوەدایە	.bi.ław.kir.di.ne.we.da.ye
بڵاوکردنەوەشی	.bi.ław.kir.di.ne.we.şî
بڵاوکردنەوەکەیان	.bi.ław.kir.di.ne.we.ke.yan
بڵاوکردنەوەوە	.bi.ław.kir.di.ne.we.we
بڵاوکردنەوەی	.bi.ław.kir.di.ne.wey
بڵاوکردنەوەیان	.bi.ław.kir.di.ne.we.yan
بڵاوکردنەوەیە	.bi.ław.kir.di.ne.we.ye
بڵاوکردووەتەوە	.bi.ław.kir.du.we.te.we
بڵاوکردەوە	.bi.ław.kir.de.we
بڵاوکرنەوەی	.bi.ław.kir.ne.wey
بڵاوکەر	.bi.ław.ker
بڵاوکەرانەوە	.bi.ław.ke.ra.ne.we
بڵاوکەری	.bi.ław.ke.rî
بڵاوکەرە	.bi.ław.ke.re
بڵاوکەرەکان	.bi.ław.ke.re.kan
بڵاوکەرەکانی	.bi.ław.ke.re.ka.nî
بڵاوکەرەوە	.bi.ław.ke.re.we
بڵاوکەرەوەی	.bi.ław.ke.re.wey
بڵاوێزی	.bi.ła.wê.zî
بڵاوی	.bi.ła.wî
بڵاویان	.bi.ław.yan
بڵاویکردبوونەوە	.bi.ła.wî.kir.di.bû.ne.we
بڵوێزی	.bił.wê.zî
بڵیتی	.bi.łî.tî
بڵیند	.bi.łînd
بڵیندی	.bi.łîn.dî
بڵەین	.bi.łeyn
بم	.bim
بمێننەوە	.bi.mên.ne.we
بن	.bin
بناسێنێ	.bi.na.sê.nê
بناغە	.bi.na.ẍe
بناغەی	.bi.na.ẍey
بنچینەیەیە	.bin.çî.ne.ye.ye
بندەستی	.bin.des.tî
بنکەی	.bin.key
بنکەیەکی	.bin.ke.ye.kî
بنواڕنە	.bi.nwa.ři.ne
بنووسرێ	.bi.nûs.rê
بنووسن	.bi.nû.sin
بنووسین	.bi.nû.sîn
بنێردرێ	.bi.nêr.di.rê
بنێردرێن	.bi.nêr.di.rên
بنێرن	.bi.nê.rin
بنێرێ	.bi.nê.rê
بنەڕەتییەکان	.bi.ne.ře.tî.ye.kan
بنەڕەتەوە	.bi.ne.ře.te.we
بنەمایەکی	.bi.ne.ma.ye.kî
بهێڵێتەوە	.bi.hê.łê.te.we
بهێنرێ	.bi.hên.rê
بوارێکدا	.bwa.rêk.da
بواری	.bwa.rî
بوارە	.bwa.re
بوارەدا	.bwa.re.da
بوارەکە	.bwa.re.ke
بوو	.bû
بووبوو	.bû.bû
بووبووم	.bû.bûm
بووبوون	.bû.bûn
بووبێ	.bû.bê
بووژانەوەیە	.bû.ja.ne.we.ye
بووم	.bûm
بوون	.bûn
بوونی	.bû.nî
بوونیان	.bûn.yan
بوونە	.bû.ne
بوونەتەوە	.bû.ne.te.we
بوونەوە	.bû.ne.we
بوونەوەم	.bû.ne.wem
بوونەوەی	.bû.ne.wey
بوونەوەیەکی	.bû.ne.we.ye.kî
بووون	.bû.win
بووە	.bu.we
بووەتە	.bu.we.te
بووەتەوە	.bu.we.te.we
بووەوە	.bu.we.we
بۆ	.bo
بۆتان	.bo.tan
بۆتانەوە	.bo.ta.ne.we
بۆچوونێکی	.bo.çû.nê.kî
بۆچوونی	.bo.çû.nî
بۆچوونیان	.bo.çûn.yan
بۆچوونە	.bo.çû.ne
بۆچوونەدا	.bo.çû.ne.da
بۆچوونەکاندا	.bo.çû.ne.kan.da
بۆچوونەکانیان	.bo.çû.ne.kan.yan
بۆچوونەوە	.bo.çû.ne.we
بۆچی	.bo.çî
بۆخۆم	.bo.xom
بۆخۆی	.bo.xoy
بۆخۆیان	.bo.xo.yan
بۆڕ	.boř
بۆزارسلان	.bo.zar.si.lan
بۆسۆ	.bo.so
بۆم	.bom
بۆمان	.bo.man
بۆنی	.bo.nî
بۆنەکەی	.bo.ne.key
بۆنەوە	.bo.ne.we
بۆنەی	.bo.ney
بۆنەیەوە	.bo.ne.ye.we
بۆی	.boy
بۆیان	.bo.yan
بۆیە	.bo.ye
بێ	.bê
بێبڕوایییەش	.bê.biř.wa.yî.yeş
بێبەری	.bê.be.rî
بێبەرین	.bê.be.rîn
بێبەش	.bê.beş
بێبەشکرابوون	.bê.beş.ki.ra.bûn
بێبەشەکاندا	.bê.be.şe.kan.da
بێت	.bêt
بێتەوە	.bê.te.we
بێجگە	.bêc.ge
بێدەرەتانی	.bê.de.re.ta.nî
بێدەنگی	.bê.den.gî
بێدەنگییەکی	.bê.den.gî.ye.kî
بێرەجووک	.bê.re.cûk
بێژم	.bê.jim
بێژین	.bê.jîn
بێسنی	.bês.nî
بێگانە	.bê.ga.ne
بێگانەکانیشیان	.bê.ga.ne.ka.nîş.yan
بێنن	.bê.nin
بێوار	.bê.war
بیاتی	.bya.tî
بیاندیننەوە	.byan.dî.ni.ne.we
بیانفرۆشن	.byan.fi.ro.şin
بیانەوێ	.bya.ne.wê
بیبیسە	.bî.bî.se
بیپشکنێ	.bî.piş.ki.nê
بیچمی	.bîç.mî
بیخوێننەوە	.bî.xwê.ni.ne.we
بیر	.bîr
بیرم	.bî.rim
بیرماندا	.bîr.man.da
بیروباسیان	.bî.ru.bas.yan
بیروبڕوایان	.bî.ru.biř.wa.yan
بیروبۆچوونەکانی	.bî.ru.bo.çû.ne.ka.nî
بیروڕاکان	.bî.ru.řa.kan
بیرۆکە	.bî.ro.ke
بیری	.bî.rî
بیریشی	.bî.rî.şî
بیرەوەری	.bî.re.we.rî
بیزانم	.bî.za.nim
بیسەلمێنن	.bî.sel.mê.nin
بیگاتێ	.bî.ga.tê
بیناسێنین	.bî.na.sê.nîn
بینراوەکانی	.bîn.ra.we.ka.nî
بینیندا	.bî.nîn.da
بیەوێ	.bye.wê
بە	.be
بەبۆنەی	.be.bo.ney
بەپێی	.be.pêy
بەتایبەت	.be.tay.bet
بەتەما	.be.te.ma
بەتەمای	.be.te.may
بەجێدەهێڵێ	.be.cê.de.hê.łê
بەجێگەیە	.be.cê.ge.ye
بەجێهێشت	.be.cê.hêşt
بەچاکی	.be.ça.kî
بەخشینی	.bex.şî.nî
بەخۆپەرمانیان	.be.xo.per.man.yan
بەخۆڕایی	.be.xo.řa.yî
بەخۆیەوە	.be.xo.ye.we
بەداخەوە	.be.da.xe.we
بەدرخان	.be.dir.xan
بەدرخانەکان	.be.dir.xa.ne.kan
بەدرخانەکانەوە	.be.dir.xa.ne.ka.ne.we
بەدرەددین	.bed.red.dîn
بەدی	.be.dî
بەدەست	.be.dest
بەدەستەوە	.be.des.te.we
بەدەگمەن	.be.deg.men
بەر	.ber
بەرانبەر	.be.ran.ber
