aandelenemissie	aːndeːləneːmɪsi
kommavlinder	kɔmaːvlɪndər
kortheidshalve	kɔrtɦɛi̯tsɦɑlvə
kosmonaut	kɔsmoːnɑu̯t
kost	kɔst
kozijn	koːzɛi̯n
kraamwijn	kraːmʋɛi̯n
krant	krɑnt
krentenbol	krɛntənbɔl
lactoscoop	lɑktoːskoːp
landadel	lɑntaːdəl
langharig	lɑŋɦaːrəx
langtong	lɑŋtɔŋ
lauwerkrans	lɑu̯ərkrɑns
ledebraken	leːdəbraːkən
leren	leːrən
levensbeschrijving	leːvənsbəsxrɛi̯vɪŋ
lever	leːvər
leverpastei	leːvərpɑstɛi̯
lezer	leːzər
lipstick	lɪpstɪk
loempia	lumpiaː
luchtbombardement	lʏxtbɔmbɑrdəmɛnt
luteren	lyteːrən
makreel	maːkreːl
mandril	mɑndrɪl
martyrium	mɑrtiːriʏm
matrijs	maːtrɛi̯s
matroos	maːtroːs
meerjarig	meːrjaːrəx
meetinstrument	meːtɪnstrymɛnt
mekander	məkɑndər
mensachtige	mɛnsɑxtəɣə
mezekouw	meːzəkɑu̯
middenin	mɪdənɪn
miezerd	mizərt
mijnwerkershelm	mɛi̯nʋɛrkərsɦɛlm
milonga	milɔŋɡaː
miltvuurbos	mɪltfyːrbɔs
minister	minɪstər
minziek	mɪnzik
mis	mɪs
monique	moːnik
monocultuur	moːnoːkʏltyːr
moorden	moːrdən
moorkop	moːrkɔp
mouillering	mui̯eːrɪŋ
muf	mʏf
naargelang	naːrɣəlɑŋ
nachtpo	nɑxtpoː
nachtpot	nɑxtpɔt
nageboorte	naːɣəboːrtə
nasaleren	naːzaːleːrən
nasmaak	naːsmaːk
natiestaat	naːtsistaːt
natuurgids	naːtuːrɣɪts
net	nɛt
noordvaarder	noːrtfaːrdər
ochtendhumeur	ɔxtəntɦymøːr
oliemolen	oːlimoːlən
onaards	ɔnaːrts
oncoloog	ɔnkoːloːx
onderscheidend	ɔndərsxɛi̯dənt
ondicht	ɔndɪxt
ongehoorzaamheid	ɔnɣəɦɔːrzaːmɦɛi̯t
ontbossen	ɔntbɔsən
ontfermen	ɔntfɛrmən
ontgrendelen	ɔntɣrɛndələn
ontluizen	ɔntlœy̯zən
ontnemen	ɔntneːmən
ontworstelen	ɔntʋɔrstələn
onzichtbaarheid	ɔnzɪxtbaːrɦɛi̯t
oorlogvoering	oːrlɔxfuːrɪŋ
oplichtster	ɔplɪxtstər
organist	ɔrɣaːnɪst
overhalen	oːvərɦaːlən
overmoed	oːvərmut
paard	paːrt
paardenfluisteraar	paːrdənflœy̯stəraːr
paasbaken	paːsbaːkən
paasfeest	paːsfeːst
pakt	pɑkt
paradepaard	paːraːdəpaːrt
parendans	paːrəndɑns
paringsdans	paːrɪŋsdɑns
pergamum	pɛrɣaːmʏm
perifrastisch	peːrifrɑstis
pijpensteel	pɛi̯pənsteːl
pimpel	pɪmpəl
pinakel	pinaːkəl
plezierjacht	pləziːrjɑxt
plosief	ploːzif
pluim	plœy̯m
pluk	plʏk
poppen	pɔpən
portret	pɔrtrɛt
potentie	poːtɛnsi
prisoen	prizun
proef	pruf
prostituee	prɔstityeː
pyriet	piːrit
reddingsvest	rɛdɪŋsfɛst
regentes	reːɣɛntɛs
remparachute	rɛmpaːraːʃyt
rentmeester	rɛntmeːstər
roodbaars	roːtbaːrs
roofkunst	roːfkʏnst
rotjeknor	rɔtjəknɔr
rotten	rɔtən
salto	sɑltoː
sappig	sɑpəx
saterfries	saːtərfris
scalperen	skɑlpeːrən
scapulier	skaːpyliːr
schans	sxɑns
schatting	sxɑtɪŋ
schizofreen	sxitsoːfreːn
scrip	skrɪp
selderij	sɛldərɛi̯
seraf	seːrɑf
serafijn	seːraːfɛi̯n
sirene	sirɛnə
sjacheren	ʃɑxərən
slagboom	slɑxboːm
sloegen	sluɣən
sluier	slœy̯ər
smaadrede	smaːtreːdə
smeltpunt	smɛltpʏnt
smetstof	smɛtstɔf
smetvrees	smɛtfreːs
sneer	sneːr
snoepreep	snupreːp
spandoek	spɑnduk
speelfilm	speːlfɪlm
spelleider	spɛlɛi̯dər
spierwit	spiːrʋɪt
spinhuis	spɪnɦœy̯s
spookstad	spoːkstɑt
stabiel	staːbil
stamhoofd	stɑmɦoːft
stamkroeg	stɑmkrux
steenvrucht	steːnvrʏxt
sterrenbeeld	stɛrənbeːlt
stik	stɪk
stink	stɪŋk
stoottoon	stoːtoːn
stram	strɑm
tamil	taːmil
tandplak	tɑntplɑk
tas	tɑs
taxi	tɑksi
teerzand	teːrzɑnt
tekenen	teːkənən
themapark	teːmaːpɑrk
theose	teːoːzə
tittel	tɪtəl
tjiftjaf	tjɪftjɑf
toerfiets	tuːrfits
toonladder	toːnlɑdər
torren	tɔrən
tovergodin	toːvərɣoːdɪn
transmens	trɑnsmɛns
triplan	triplɑn
troef	truf
tsarendynastie	tsaːrəndinɑsti
tuigleren	tœy̯xleːərn
tuinstad	tœy̯nstɑt
uitdelgen	œy̯dɛlɣən
uitspraakwoordenboekjes	œy̯tspraːkʋoːrdənbukjəs
uitstellen	œy̯tstɛlən
uitwerpsel	œy̯tʋɛrpsəl
valg	vɑlx
vangt	vɑŋt
vaticaanstad	vaːtikaːnstɑt
veteraantje	veterantjə
veto	veːtoː
viel	vil
vierkant	viːrkɑnt
vliegtuigslurf	vlixtœy̯xslʏrf
voetafdruk	vutɑfdrʏk
voor	voːr
voorbeeldzin	voːrbeːltsɪn
voorgebergte	voːrɣəbɛrxtə
voorpoot	voːrpoːt
vrijspraak	vrɛi̯spraːk
vuurzee	vyːrzeː
waakvlam	ʋaːkflɑm
wade	ʋaːdə
wagenpark	ʋaːɣənpɑrk
wederhalen	ʋeːdərɦaːlən
wind	ʋɪnt
windstoot	ʋɪntstoːt
wiri	ʋiri
woekerhypotheek	ʋukərɦipoːteːk
woen	ʋun
wolven	ʋɔlvən
wormvormig	ʋɔrmvɔrməx
wortelen	ʋɔrtələn
xylofoon	ksiloːfoːn
zaan	zaːn
zandvoort	zɑntfoːrt
zaterdag	zaːtərdɑx
zegswijze	zɛxsʋɛi̯zə
zenuwoorlog	zeːnyu̯oːrlɔx
zieder	zidər
zinnebeeld	zɪnəbeːlt
zinnelijk	zɪnələk
zitskiester	zɪtskistər
zomer	zoːmər
zona	zoːnaː
zorgen	zɔrɣən
zowat	zoːʋɑt
zowel	zoːʋɛl
zoönotisch	zoːoːnoːtis
zuivering	zœy̯vərɪŋ
zullen	zʏlən
zwemvlies	zʋɛmvlis
