र	ɾə
हद	hˈʌd
रङ	ɾˈʌŋ
एन	ˈeːnə
आचरण	ˈaːcəɾˌəɳ
एनआरएन	ˌeːnəˌaːɾəˈeːnə
चरण	cˈʌɾəɳ
तलव	tˈʌləwˌə
हङकङ	hˈʌŋəkˌəŋ
अरब	ˈʌɾəb
कलम	kˈʌləmˌə
भरत	bʰˈʌɾət
चल	cˈʌl
तब	tˈʌb
मह	mˈʌhə
फरकफरक	pʰˈʌɾəkˌəpʰəɾˌəkə
हनन	hˈʌnən
कल	kˈʌl
च	cˈə
दशरथ	dˈʌʃəɾˌətʰ
Development	(͡e͡n)dɪvˈɛləpmənt(͡n͡e)
असहज	ˈʌsəhˌəɟ
जनक	ɟˈʌnəkˌə
भएछ	bʰəˈeːcʰə
एफ	ˈeːpʰ
जल	ɟˈʌl
ढल	ɖʰˈʌl
घ	ɡʰˈə
अल	ˈʌl
जनमत	ɟˈʌnəmˌət
वहन	wˈʌhən
रहर	ɾˈʌhəɾˌə
गहन	ɡˈʌhən
स	sˈə
ओम	ˈoːmə
सजग	sˈʌɟəɡ
एसएमएस	ˌeːsəˌeːməˈeːs
दशमलब	dˈʌʃəmˌələb
भइ	bʰˈʌɪ
powered	(͡e͡n)pˈa͡ʊəd(͡n͡e)
रजत	ɾˈʌɟət
डट	ɖˈʌʈ
बकस	bˈʌkəs
अवगत	ˈʌwəɡˌət
छड	cʰˈʌɖ
आगमन	ˈaːɡəmˌən
उप	upˈə
गफ	ɡˈʌpʰ
एकदम	ˈeːkədˌəmə
महल	mˈʌhəl
आर	ˈaːɾə
सन	sˈʌn
जग	ɟˈʌɡ
Nov	(͡e͡n)nˈɒv(͡n͡e)
बहन	bˈʌhən
कदर	kˈʌdəɾˌə
फल	pʰˈʌl
आ	ˈaː
नरम	nˈʌɾəmˌə
अमर	ˈʌməɾˌə
मनन	mˈʌnən
ङ	ŋˈə
उपज	ˈʊpəɟ
झन	ɟʰˈʌn
सब	sˈʌb
अवतरण	ˈʌwətˌəɾəɳ
for	(͡e͡n)fɔː(͡n͡e)
जन	ɟˈʌn
महत	mˈʌhət
थर	tʰˈʌɾə
ल	lˈə
एल	ˈeːl
जस	ɟˈʌs
एफएम	ˌeːpʰəˈeːmə
औ	ˈʌ͡ʊ
financial	(͡e͡n)fa͡ɪnˈanʃə͡l(͡n͡e)
investment	(͡e͡n)ɪnvˈɛstmənt(͡n͡e)
आईएमई	ˌaːɪːˈeːməˌiː
ओपन	ˈoːpən
market	(͡e͡n)mˈɑːkɪt(͡n͡e)
वचन	wˈʌcən
Nepali	(͡e͡n)nɛpˈɑːli(͡n͡e)
दमन	dˈʌmən
दशलमव	dˈʌʃəlˌəməwˌə
अनशन	ˈʌnəʃˌən
सरदर	sˈʌɾədˌəɾə
Office	(͡e͡n)ˈɒfɪs(͡n͡e)
टस	ʈˈʌs
अलगअलग	ˈʌləɡˌəəlˌəɡ
टप	ʈˈʌp
District	(͡e͡n)dˈɪstɹɪkt(͡n͡e)
अफर	ˈʌpʰəɾˌə
लहर	lˈʌhəɾˌə
शपथ	ʃˈʌpətʰ
डबल	ɖˈʌbəl
चहलपहल	cˈʌhəlˌəpəhˌəl
सर	sˈʌɾə
पदम	pˈʌdəmˌə
शरद	ʃˈʌɾəd
Nepal	(͡e͡n)nɛpˈɔːl(͡n͡e)
नआई	nəˈaːi
आउछ	ˈaːʊcʰˌə
उदय	ˈʊdəjˌə
एप	ˈeːp
जय	ɟˈʌjə
मतलब	mˈʌtəlˌəb
नआए	nəˈaːeː
तरल	tˈʌɾəl
एच	ˈeːc
कलर	kˈʌləɾˌə
Published	(͡e͡n)pˈʌblɪʃt(͡n͡e)
सपथ	sˈʌpətʰ
अ	ˈʌ
गजल	ɡˈʌɟəl
नव	nˈʌwə
गण	ɡˈʌɳ
आइ	ˈaːɪ
सह	sˈʌhə
वखत	wˈʌkʰət
Committee	(͡e͡n)kəmˈɪti(͡n͡e)
Information	(͡e͡n)ˌɪnfəmˈe͡ɪʃən(͡n͡e)
नत	nˈʌt
सहन	sˈʌhən
वरपर	wˈʌɾəpˌəɾə
Profile	(͡e͡n)pɹˈə͡ʊfa͡ɪl(͡n͡e)
आङ	ˈaːŋ
ई	ˈiː
वतन	wˈʌtən
ज	ɟˈə
Û	(͡e͡n)jˌuːsˈɜːkəmflˌɛks(͡n͡e)
कमसल	kˈʌməsˌəl
कसरत	kˈʌsəɾˌət
झडप	ɟʰˈʌɖəp
अजय	ˈʌɟəjˌə
आमरण	ˈaːməɾˌəɳ
आजकल	ˈaːɟəkˌəl
नजर	nˈʌɟəɾˌə
Community	(͡e͡n)kəmjˈuːnɪti(͡n͡e)
बचन	bˈʌcən
शरण	ʃˈʌɾəɳ
your	(͡e͡n)jɔː(͡n͡e)
Network	(͡e͡n)nˈɛtwɜːk(͡n͡e)
Please	(͡e͡n)plˈiːz(͡n͡e)
दमक	dˈʌməkˌə
JavaScript	(͡e͡n)d͡ʒˈɑːvə skɹˈɪpt(͡n͡e)
VideoWednesday	(͡e͡n)vˈɪdɪə͡ʊ wˈɛnzde͡ɪ(͡n͡e)
आशय	ˈaːʃəjˌə
comments	(͡e͡n)kˈɒmɛnts(͡n͡e)
view	(͡e͡n)vjˈuː(͡n͡e)
अन	ˈʌn
गगन	ɡˈʌɡən
enable	(͡e͡n)ɛnˈe͡ɪbə͡l(͡n͡e)
जगत	ɟˈʌɡət
बन	bˈʌn
सतह	sˈʌtəhˌə
Forgot	(͡e͡n)fəɡˈɒt(͡n͡e)
password	(͡e͡n)pˈaswɜːd(͡n͡e)
आइरन	ˈaːɪɾˌən
in	(͡e͡n)ˈɪn(͡n͡e)
एनआरएनए	ˌeːnəˌaːɾəˈeːnəˌeː
Agriculture	(͡e͡n)ˈaɡɹɪkˌʌlt͡ʃə(͡n͡e)
पतन	pˈʌtən
महŒव	mˈʌhə(͡e͡n)lˌɪɡɐt͡ʃəə͡ʊˈiː(͡n͡e)wˈə
सदन	sˈʌdən
दमकल	dˈʌməkˌəl
नगई	nˈʌɡəˌiː
आकलन	ˈaːkəlˌən
सघन	sˈʌɡʰən
Kunena	(͡e͡n)kʌnˈiːnə(͡n͡e)
असहमत	ˈʌsəhˌəmət
Type	(͡e͡n)tˈa͡ɪp(͡n͡e)
अनसन	ˈʌnəsˌən
भय	bʰˈʌjə
Koirala	(͡e͡n)kwɑːɹˈɑːlə(͡n͡e)
अहमद	ˈʌhəmˌəd
छठ	cʰˈʌʈʰ
Rajesh	(͡e͡n)ɹˈɑːd͡ʒɛʃ(͡n͡e)
एकसय	ˈeːkəsˌəjə
खलल	kʰˈʌləl
थपघट	tʰˈʌpəɡʰˌəʈ
लभ	lˈʌbʰ
पकड	pˈʌkəɖ
खत	kʰˈʌt
घटबढ	ɡʰˈʌʈəbˌəɖʰ
वचत	wˈʌcət
जमघट	ɟˈʌməɡʰˌəʈ
खवर	kʰˈʌwəɾˌə
नहर	nˈʌhəɾˌə
Blog	(͡e͡n)blˈɒɡ(͡n͡e)
एकमत	ˈeːkəmˌət
भजन	bʰˈʌɟən
Radio	(͡e͡n)ɹˈe͡ɪdɪˌə͡ʊ(͡n͡e)
रस	ɾˈʌs
गयल	ɡˈʌjəl
नभइ	nˈʌbʰəˌɪ
पल	pˈʌl
डन	ɖˈʌn
तक	tˈʌkə
हटक	hˈʌʈəkˌə
Archive	(͡e͡n)ˈɑːka͡ɪv(͡n͡e)
अडर	ˈʌɖəɾˌə
पवन	pˈʌwən
वजन	wˈʌɟən
ऐजन	ˈʌ͡ɪɟən
पप	pˈʌp
Language	(͡e͡n)lˈaŋɡwɪd͡ʒ(͡n͡e)
अप	ˈʌp
नकआउट	nˌəkəˈaːʊʈ
सकभर	sˈʌkəbʰˌəɾə
Culture	(͡e͡n)kˈʌlt͡ʃə(͡n͡e)
Himali	(͡e͡n)hɪmˈɑːli(͡n͡e)
Programs	(͡e͡n)pɹˈə͡ʊɡɹamz(͡n͡e)
Songs	(͡e͡n)sˈɒŋz(͡n͡e)
Education	(͡e͡n)ˌɛd͡ʒuːkˈe͡ɪʃən(͡n͡e)
हर	hˈʌɾə
September	(͡e͡n)sɛptˈɛmbə(͡n͡e)
सम	sˈʌmə
आउ	ˈaːʊ
महमद	mˈʌhəmˌəd
रतन	ɾˈʌtən
कभर	kˈʌbʰəɾˌə
सटर	sˈʌʈəɾˌə
समर	sˈʌməɾˌə
खस	kʰˈʌs
हट	hˈʌʈ
लय	lˈʌjə
बगर	bˈʌɡəɾˌə
बलर	bˈʌləɾˌə
सनद	sˈʌnəd
एड	ˈeːɖ
रहनसहन	ɾˈʌhənˌəsəhˌən
लज	lˈʌɟ
Journalist	(͡e͡n)d͡ʒˈɜːnəlˌɪst(͡n͡e)
ऊन	ˈʊn
दम	dˈʌmə
आदर	ˈaːdəɾˌə
दलगत	dˈʌləɡˌət
रबर	ɾˈʌbəɾˌə
BASHYAL	(͡e͡n)bˈaʃɪə͡l(͡n͡e)
PRADEEP	(͡e͡n)pɹˈadiːp(͡n͡e)
आश	ˈaːʃ
टच	ʈˈʌc
अलआउट	ˌələˈaːʊʈ
आइटम	ˈaːɪʈˌəmə
आईएमएफ	ˌaːɪːˌeːməˈeːpʰ
भन	bʰˈʌn
August	(͡e͡n)ˈɔːɡəst(͡n͡e)
The	(͡e͡n)ðə(͡n͡e)
आईएसओ	ˌaːɪːˈeːsəˌoː
बटन	bˈʌʈən
हलचल	hˈʌləcˌəl
कसर	kˈʌsəɾˌə
मठ	mˈʌʈʰ
Sunday	(͡e͡n)sˈʌnde͡ɪ(͡n͡e)
Thursday	(͡e͡n)θˈɜːzde͡ɪ(͡n͡e)
उस	ˈʊs
तहसनहस	tˈʌhəsˌənəhˌəs
मतलव	mˈʌtəlˌəwə
जव	ɟˈʌʋə
रक	ɾˈʌkə
Association	(͡e͡n)ɐsˌə͡ʊsɪˈe͡ɪʃən(͡n͡e)
अनवरत	ˈʌnəwˌəɾət
एकएक	ˌeːkəˈeːkə
एमए	ˈeːməˌeː
चमक	cˈʌməkˌə
झ	ɟʰˈə
बबई	bˈʌbəˌiː
खर	kʰˈʌɾə
झलक	ɟʰˈʌləkˌə
नटआउट	nˌəʈəˈaːʊʈ
लक	lˈʌkə
वकस	wˈʌkəs
अथक	ˈʌtʰəkˌə
ऐनअ	ˈʌ͡ɪnəˌə
ओठ	ˈoːʈʰ
करण	kˈʌɾəɳ
मलजल	mˈʌləɟˌəl
समथर	sˈʌmətʰˌəɾə
Tuesday	(͡e͡n)tjˈuːzde͡ɪ(͡n͡e)
एज	ˈeːɟ
महìव	mˈʌhə(͡e͡n)ˌa͡ɪɡɹˈɑːv(͡n͡e)wˈə
लस	lˈʌs
अत	ˈʌt
चलअचल	cˈʌləˌəcəl
लगन	lˈʌɡən
हरण	hˈʌɾəɳ
Monday	(͡e͡n)mˈʌnde͡ɪ(͡n͡e)
a	(͡e͡n)ˈe͡ɪ(͡n͡e)
are	(͡e͡n)ɑː(͡n͡e)
अपर	ˈʌpəɾˌə
इयर	ˈɪjəɾˌə
July	(͡e͡n)d͡ʒuːlˈa͡ɪ(͡n͡e)
Khotang	(͡e͡n)kˈɒtaŋ(͡n͡e)
अलमल	ˈʌləmˌəl
असन	ˈʌsən
आसन	ˈaːsən
ओभरबट	ˈoːbʰəɾˌəbəʈ
कसम	kˈʌsəmˌə
गज	ɡˈʌɟ
तहतह	tˈʌhətˌəhə
शतक	ʃˈʌtəkˌə
सवल	sˈʌwəl
आस	ˈaːs
ओएस	oːˈeːs
हब	hˈʌb
आवत	ˈaːwət
एचआर	ˌeːcəˈaːɾə
परम	pˈʌɾəmˌə
Click	(͡e͡n)klˈɪk(͡n͡e)
Friday	(͡e͡n)fɹˈa͡ɪde͡ɪ(͡n͡e)
Right	(͡e͡n)ɹˈa͡ɪt(͡n͡e)
page	(͡e͡n)pˈe͡ɪd͡ʒ(͡n͡e)
आवरण	ˈaːwəɾˌəɳ
गरम	ɡˈʌɾəmˌə
दखल	dˈʌkʰəl
लखन	lˈʌkʰən
CHIRAG	(͡e͡n)kˈa͡ɪɹaɡ(͡n͡e)
Onta	(͡e͡n)ˈɒntə(͡n͡e)
Rama	(͡e͡n)ɹˈɑːmə(͡n͡e)
Wednesday	(͡e͡n)wˈɛnzde͡ɪ(͡n͡e)
Okhaldhunga	(͡e͡n)ˈɒkhɐldhˌʌŋɡə(͡n͡e)
is	(͡e͡n)ɪz(͡n͡e)
एमएम	ˌeːməˈeːmə
एयरबस	ˈeːjəɾˌəbəs
लङ	lˈʌŋ
इ	ˈɪ
ओ	ˈoː
नर	nˈʌɾə
बटम	bˈʌʈəmˌə
बढ	bˈʌɖʰ
Post	(͡e͡n)pˈə͡ʊst(͡n͡e)
एवम	ˈeːwəmˌə
पठन	pˈʌʈʰən
here	(͡e͡n)hˈi͡ə(͡n͡e)
not	(͡e͡n)nˈɒt(͡n͡e)
डटकम	ɖˈʌʈəkˌəmə
हरदम	hˈʌɾədˌəmə
अपचलन	ˈʌpəcˌələn
आइस	ˈaːɪs
आलम	ˈaːləmˌə
ओभन	ˈoːbʰən
घरजम	ɡʰˈʌɾəɟˌəmə
भरसक	bʰˈʌɾəsˌəkə
लत	lˈʌt
औषत	ˈʌ͡ʊʂət
कटन	kˈʌʈən
नइ	nˈʌɪ
नभईकन	nˌəbʰəˈɪːkən
भगत	bʰˈʌɡət
सकल	sˈʌkəl
ह	hˈə
बबरमहल	bˈʌbəɾˌəməhˌəl
Website	(͡e͡n)wˈɛbsa͡ɪt(͡n͡e)
this	(͡e͡n)ðˈɪs(͡n͡e)
अतएव	ˌətəˈeːwə
आड	ˈaːɖ
छत	cʰˈʌt
छनक	cʰˈʌnəkˌə
जड	ɟˈʌɖ
वध	wˈʌdʰ
सग	sˈʌɡ
Mr	(͡e͡n)mˈɪstə(͡n͡e)
ट	ʈˈə
तहगत	tˈʌhəɡˌət
नट	nˈʌʈ
रड	ɾˈʌɖ
रण	ɾˈʌɳ
शत	ʃˈʌt
be	(͡e͡n)bˈiː(͡n͡e)
लकर	lˈʌkəɾˌə
वल	wˈʌl
Source	(͡e͡n)sˈɔːs(͡n͡e)
ठहउन	ʈʰˈʌhəˌʊn
नङ	nˈʌŋ
फन	pʰˈʌn
यम	jˈʌmə
रथ	ɾˈʌtʰ
Police	(͡e͡n)pəlˈiːs(͡n͡e)
आईओएस	ˌaːɪːoːˈeːs
टक	ʈˈʌkə
मउपर	mˈʌʊpˌəɾə
वर	wˈaɾəː
Department	(͡e͡n)dɪpˈɑːtmənt(͡n͡e)
National	(͡e͡n)nˈaʃənə͡l(͡n͡e)
इज	ˈɪɟ
इलम	ˈɪləmˌə
कलह	kˈʌləhˌə
शब	ʃˈʌb
सल	sˈʌl
DDC	(͡e͡n)dˌiːdˌiːsˈiː(͡n͡e)
May	(͡e͡n)mˈe͡ɪ(͡n͡e)
अरव	ˈʌɾəwˌə
आऊ	ˈaːʊ
आयतन	ˈaːjətˌən
आवर	ˈaːwəɾˌə
ओपनर	ˈoːpənˌəɾə
ठग	ʈʰˈʌɡ
पथ	pˈʌtʰ
Category	(͡e͡n)kˈatɪɡəɹi(͡n͡e)
General	(͡e͡n)d͡ʒˈɛnəɹə͡l(͡n͡e)
आइडल	ˈaːɪɖˌəl
आइसर	ˈaːɪsˌəɾə
आयत	ˈaːjət
दह	dˈʌhə
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡n͡e)
cancel	(͡e͡n)kˈansə͡l(͡n͡e)
reply	(͡e͡n)ɹɪplˈa͡ɪ(͡n͡e)
आमद	ˈaːməd
य	jˈə
रमण	ɾˈʌməɳ
अबसर	ˈʌbəsˌəɾə
आहत	ˈaːhət
ओत	ˈoːt
चरन	cˈʌɾən
नवल	nˈʌwəl
लख	lˈʌkʰ
लचक	lˈʌcəkˌə
June	(͡e͡n)d͡ʒˈuːn(͡n͡e)
Management	(͡e͡n)mˈanɪd͡ʒmənt(͡n͡e)
अटल	ˈʌʈəl
एट	ˈeːʈ
एनएस	ˌeːnəˈeːs
कट	kˈʌʈ
कपर	kˈʌpəɾˌə
कलश	kˈʌləʃ
डच	ɖˈʌc
फगत	pʰˈʌɡət
लखनउ	lˈʌkʰənˌəʊ
वम	wˈʌmə
ओमन	ˈoːmən
कपन	kˈʌpən
घरघर	ɡʰˈʌɾəɡʰˌəɾə
छतर	cʰˈʌtəɾˌə
बट	bˈʌʈ
रह	ɾˈʌhə
वस	wˈʌs
हठ	hˈʌʈʰ
January	(͡e͡n)d͡ʒˈanjuːəɹi(͡n͡e)
March	(͡e͡n)mˈɑːt͡ʃ(͡n͡e)
Pvt	(͡e͡n)pˌiːvˌiːtˈiː(͡n͡e)
System	(͡e͡n)sˈɪstəm(͡n͡e)
एमएस	ˌeːməˈeːs
गइ	ɡˈʌɪ
गइन	ɡˈʌɪn
गएछ	ɡəˈeːcʰə
डग	ɖˈʌɡ
रनर	ɾˈʌnəɾˌə
no	(͡e͡n)nˈə͡ʊ(͡n͡e)
आसय	ˈaːsəjˌə
गएन	ɡˈʌjˈenə
टहल	ʈˈʌhəl
मदर	mˈʌdəɾˌə
हसन	hˈʌsən
Fact	(͡e͡n)fˈakt(͡n͡e)
will	(͡e͡n)wˈɪl(͡n͡e)
आफ	ˈaːpʰ
ईआईए	ˌɪːaːˈɪːeː
एअर	ˈeːəɾˌə
कमन	kˈʌmən
धक	dʰˈʌkə
Acts	(͡e͡n)ˈakts(͡n͡e)
Bank	(͡e͡n)bˈaŋk(͡n͡e)
December	(͡e͡n)dɪsˈɛmbə(͡n͡e)
Of	(͡e͡n)ɒv(͡n͡e)
Public	(͡e͡n)pˈʌblɪk(͡n͡e)
at	(͡e͡n)at(͡n͡e)
गन	ɡˈʌn
जनपद	ɟˈʌnəpˌəd
जमल	ɟˈʌməl
रनरअप	ɾˈʌnəɾˌəəp
लगइन	lˈʌɡəˌɪn
शट	ʃˈʌʈ
BirgunjObjectives	(͡e͡n)bˈɜːɡʌnd͡ʒ ɒbd͡ʒˈɛktɪvz(͡n͡e)
CellEconomic	(͡e͡n)sˈɛl ˌiːkənˈɒmɪk(͡n͡e)
Efficiency	(͡e͡n)ɪfˈɪʃənsi(͡n͡e)
Enterprise	(͡e͡n)ˈɛntəpɹˌa͡ɪz(͡n͡e)
Flash	(͡e͡n)flˈaʃ(͡n͡e)
FundEnergy	(͡e͡n)fˈʌnd ˈɛnəd͡ʒi(͡n͡e)
Myagdi	(͡e͡n)ma͡ɪˈaɡdi(͡n͡e)
OrganizationGovernment	(͡e͡n)ˌɔːɡɐna͡ɪzˈe͡ɪʃən ɡˈʌvənmənt(͡n͡e)
Palmer	(͡e͡n)pˈɑːmə(͡n͡e)
Policies	(͡e͡n)pˈɒlɪsiz(͡n͡e)
Saturday	(͡e͡n)sˈatədˌe͡ɪ(͡n͡e)
Tamang	(͡e͡n)tˈamaŋ(͡n͡e)
email	(͡e͡n)ˈiːme͡ɪl(͡n͡e)
published	(͡e͡n)pˈʌblɪʃt(͡n͡e)
इट	ˈɪʈ
खतम	kʰˈʌtəmˌə
ठह	ʈʰˈʌhə
पन	pˈʌn
व	wˈə
सरहद	sˈʌɾəhˌəd
A	(͡e͡n)ˈe͡ɪ(͡n͡e)
Adhikaree	(͡e͡n)ɐdhˈɪkɐɹˌiː(͡n͡e)
Chirag	(͡e͡n)kˈa͡ɪɹaɡ(͡n͡e)
Convention	(͡e͡n)kənvˈɛnʃən(͡n͡e)
Doctrine	(͡e͡n)dˈɒktɹɪn(͡n͡e)
November	(͡e͡n)nə͡ʊvˈɛmbə(͡n͡e)
ONLINEPersonal	(͡e͡n)ˈɒnla͡ɪn pˈɜːsənə͡l(͡n͡e)
ONLINESHARAD	(͡e͡n)ˈɒnla͡ɪnʃˌaɹad(͡n͡e)
SHARAD	(͡e͡n)ʃˈaɹad(͡n͡e)
Sharad	(͡e͡n)ʃˈaɹad(͡n͡e)
m	(͡e͡n)ˈɛm(͡n͡e)
उठबस	ˈʊʈʰəbˌəs
झपट	ɟʰˈʌpəʈ
ञ	ɲˈə
ड	ɖˈə
तथ	tˈʌtʰ
दलहन	dˈʌləhˌən
नभइकन	nˈʌbʰəˌɪkən
Business	(͡e͡n)bˈɪznəs(͡n͡e)
Ministry	(͡e͡n)mˈɪnɪstɹi(͡n͡e)
Portal	(͡e͡n)pˈɔːtə͡l(͡n͡e)
State	(͡e͡n)stˈe͡ɪt(͡n͡e)
Structure	(͡e͡n)stɹˈʌkt͡ʃə(͡n͡e)
There	(͡e͡n)ðˈe͡ə(͡n͡e)
Your	(͡e͡n)jɔː(͡n͡e)
आईए	aːˈɪːeː
आपत	ˈaːpət
ककस	kˈʌkəs
गजब	ɡˈʌɟəb
गणक	ɡˈʌɳəkˌə
जलप	ɟˈʌləp
टम	ʈˈʌmə
तसथ	tˈʌsətʰ
शय	ʃˈʌjə
October	(͡e͡n)ɒktˈə͡ʊbə(͡n͡e)
closed	(͡e͡n)klˈə͡ʊzd(͡n͡e)
posts	(͡e͡n)pˈə͡ʊsts(͡n͡e)
support	(͡e͡n)səpˈɔːt(͡n͡e)
आएछ	aːˈeːcʰə
ओखर	ˈoːkʰəɾˌə
खयर	kʰˈʌjəɾˌə
खसम	kʰˈʌsəmˌə
घटक	ɡʰˈʌʈəkˌə
घन	ɡʰˈʌn
ध	dʰˈə
मई	mˈʌi
मखन	mˈʌkʰən
मगज	mˈʌɡəɟ
लगईन	lˌəɡəˈɪːn
सकस	sˈʌkəs
समतल	sˈʌmətˌəl
समन	sˈʌmən
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡n͡e)
Service	(͡e͡n)sˈɜːvɪs(͡n͡e)
Time	(͡e͡n)tˈa͡ɪm(͡n͡e)
related	(͡e͡n)ɹɪlˈe͡ɪtɪd(͡n͡e)
अभय	ˈʌbʰəjˌə
आइएमई	ˌaːɪˈeːməˌiː
एमएएच	ˌeːməeːˈeːc
कण	kˈʌɳ
कसमस	kˈʌsəmˌəs
तव	tˈʌwə
