ଓ	ˈo
ଶରତ	sˈɔɾɔtˌɔ
କପ	kˈɔpɔ
ଜଳର	ɟˌɔl̩ˈɔːɾɔ
ଆଠ	ˈaʈʰɔ
ଜଣକ	ɟˈɔnɔkˌɔ
ଭରତ	bʰˈɔɾɔtˌɔ
ଅଣସର	ɔnˈɔsɾɔ
ଆକଳନ	ˌakɔl̩ˈɔːnɔ
ଏମ	ˈemɔ
ଫର	pʰˈɔɾɔ
cell	(͡e͡n)sˈɛl(͡o͡r)
ଆୟତନ	ˈajɔtˌɔnɔ
ନବମ	nˈɔbɔmˌɔ
ଫସଲ	pʰˈɔslɔ
injection	(͡e͡n)ɪnd͡ʒˈɛkʃən(͡o͡r)
syndrome	(͡e͡n)sˈɪndɹə͡ʊm(͡o͡r)
ପଟ	pˈɔʈ
ଏହ	ˈeh
ଜଗତ	ɟˈɔɡɔtˌɔ
ମକର	mˈɔkɔɾˌɔ
low	(͡e͡n)lˈə͡ʊ(͡o͡r)
therapy	(͡e͡n)θˈɛɹəpi(͡o͡r)
ତମ	ʈˈɔmɔ
ପଟର	pˈɔʈɾɔ
ଲବଣ	lˈɔbɔnˌɔ
into	(͡e͡n)ˌɪntʊ(͡o͡r)
ଖନନ	kʰˈɔnɔnˌɔ
ପଛ	pˈɔt͡ʃʰɔ
କ	kˈɔ
ବରଫ	bˈɔɾɔpʰˌɔ
liver	(͡e͡n)lˈɪvə(͡o͡r)
or	(͡e͡n)ɔː(͡o͡r)
ଆଗ	ˈaɡɔ
ମଳ	mˈɔl̩ˌɔː
ଶପଥ	sˈɔpɔtʰˌɔ
ଆହରଣ	ˈahɔɾˌɔnɔ
ଘନ	ɡˈɔnɔ
infection	(͡e͡n)ɪnfˈɛkʃən(͡o͡r)
world	(͡e͡n)wˈɜːld(͡o͡r)
ଧନ	dʰˈɔnɔ
ଅମଳ	ˈɔmɔl̩ˌɔː
ଆଗମନ	ˈaɡɔmˌɔnɔ
ଗମନ	ɡˈɔmɔnˌɔ
ଦମନ	dˈɔmɔnˌɔ
ପରମ	pˈɔɾɔmˌɔ
ଆପଣ	ˈapɔnˌɔ
ଏସ	ˈesɔ
ହରଣ	hˈɔɾɔnˌɔ
vein	(͡e͡n)vˈe͡ɪn(͡o͡r)
ଆହତ	ˈahɔtˌɔ
ଚକ	t͡ʃˈɔkɔ
ମଠର	mˈɔʈʰɔɾˌɔ
ଶତକ	sˈɔtɔkˌɔ
World	(͡e͡n)wˈɜːld(͡o͡r)
ଉଦର	ˈudɔɾˌɔ
ଜନକ	ɟˈɔnɔkˌɔ
ପତନ	pˈɔtɔnˌɔ
muscle	(͡e͡n)mˈʌsə͡l(͡o͡r)
skin	(͡e͡n)skˈɪn(͡o͡r)
ବଣ	bˈɔnɔ
ବସ	bˈɔs
I	(͡e͡n)ˈa͡ɪ(͡o͡r)
for	(͡e͡n)fɔː(͡o͡r)
problems	(͡e͡n)pɹˈɒbləmz(͡o͡r)
ଉଦୟ	ˈudɔj
disorder	(͡e͡n)dɪsˈɔːdə(͡o͡r)
ଓଜନର	ˈoɟɔnˌɔɾɔ
ସତ	sˈɔtɔ
Indian	(͡e͡n)ˈɪndi͡ən(͡o͡r)
inhibitor	(͡e͡n)ɪnhˈɪbɪtə(͡o͡r)
କଣ	kˈɔnɔ
ଗୟଳ	ɡˈɔjɔl̩ˌɔː
ନରମ	nˈɔɾɔmˌɔ
ସକଳ	sˈɔkɔl̩ˌɔː
ସଳଖ	sˌɔl̩ˈɔːkʰɔ
imaging	(͡e͡n)ˈɪmɪd͡ʒɪŋ(͡o͡r)
pain	(͡e͡n)pˈe͡ɪn(͡o͡r)
ଋଣ	ɾˈunɔ
କଥକ	kˈɔtʰɔkˌɔ
କରଣ	kˈɔɾɔnˌɔ
କଳସ	kˌɔl̩ˈɔːs
ମଦ	mˈɔdɔ
ଶତ	sˈɔtɔ
A	(͡e͡n)ˈe͡ɪ(͡o͡r)
India	(͡e͡n)ˈɪndiə(͡o͡r)
ଆଇନଗତ	ˈainˌɔɡɔtˌɔ
ଏନ	ˈenɔ
ଦଖଲ	dˈɔkʰɔlˌɔ
ନଗରର	nˈɔɡɔɾˌɔɾɔ
ନବ	nˈɔbɔ
genetic	(͡e͡n)d͡ʒɪnˈɛtɪk(͡o͡r)
ଅବତରଣ	ˈɔbɔtˌɔɾɔnˌɔ
ଅଭୟ	ˈɔbʰɔj
ଅମର	ˈɔmɔɾˌɔ
ଆଇନର	ˈainˌɔɾɔ
ଜର	ɟˈɔɾɔ
ବଦଳ	bˈɔdɔl̩ˌɔː
heart	(͡e͡n)hˈɑːt(͡o͡r)
pressure	(͡e͡n)pɹˈɛʃə(͡o͡r)
ଅପହରଣ	ˈɔpɔhˌɔɾɔnˌɔ
କଲଚର	kɔlˈɔt͡ʃɾɔ
ଚଳନ	t͡ʃˌɔl̩ˈɔːnɔ
ଦଶକ	dˈɔsɔkˌɔ
ଶ	tˈalbesˌɔ
kidney	(͡e͡n)kˈɪdni(͡o͡r)
system	(͡e͡n)sˈɪstəm(͡o͡r)
ଅତଏବ	ˈɔʈɔˌebɔ
ଆବରଣ	ˈabɔɾˌɔnɔ
ଟନ	tˈɔnɔ
ଶବ	sˈɔbɔ
developing	(͡e͡n)dɪvˈɛləpɪŋ(͡o͡r)
ଆଲବମ	ˈalɔbˌɔmɔ
ସଡକ	sˈɔɖɔkˌɔ
ଅପର	ˈɔpɔɾˌɔ
ଅଲ	ˈɔlɔ
ଏଲ	ˈelɔ
କବକ	kˈɔbɔkˌɔ
ଦଶକର	dˈɔsɔkˌɔɾɔ
ଶୟନ	sˈɔjɔnˌɔ
to	(͡e͡n)tuː(͡o͡r)
ଆୟର	ˈajɔɾˌɔ
ଉପ	ˈupɔ
ଏଚ	ˈet͡ʃɔ
ନଅ	nˈɔɔ
ଭବନ	bʰˈɔbɔnˌɔ
ମନର	mˈɔnɔɾˌɔ
bone	(͡e͡n)bˈə͡ʊn(͡o͡r)
ଆଗତ	ˈaɡɔtˌɔ
acid	(͡e͡n)ˈasɪd(͡o͡r)
medical	(͡e͡n)mˈɛdɪkə͡l(͡o͡r)
ରଜ	ɾˈɔɟ
Society	(͡e͡n)səsˈa͡ɪ͡əti(͡o͡r)
generic	(͡e͡n)d͡ʒənˈɛɹɪk(͡o͡r)
ଅବଗତ	ˈɔbɔɡˌɔtɔ
ଚମ	t͡ʃˈɔmɔ
ନକଲ	nˈɔkɔlˌɔ
as	(͡e͡n)az(͡o͡r)
bacterial	(͡e͡n)baktˈi͡əɹiə͡l(͡o͡r)
calcium	(͡e͡n)kˈalsi͡əm(͡o͡r)
fluid	(͡e͡n)flˈuːɪd(͡o͡r)
tissue	(͡e͡n)tˈɪʃuː(͡o͡r)
ଖ	khˈɔ
ଜପ	ɟˈɔpɔ
ନଜର	nˈɔɟɾɔ
high	(͡e͡n)hˈa͡ɪ(͡o͡r)
infections	(͡e͡n)ɪnfˈɛkʃənz(͡o͡r)
ଏଥର	ˈetʰɔɾˌɔ
କଫ	kˈɔpʰɔ
ଗଣ	ɡˈɔnɔ
ମଦନ	mˈɔdɔnˌɔ
ସଦନ	sˈɔdɔnˌɔ
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡o͡r)
National	(͡e͡n)nˈaʃənə͡l(͡o͡r)
ଆଦର	ˈadɔɾˌɔ
ଗପ	ɡˈɔpɔ
ଦରଜ	dˈɔɾɔɟ
ବଳୟ	bˌɔl̩ˈɔːj
ମହଲ	mˈɔhɔlˌɔ
ରମଣ	ɾˈɔmɔnˌɔ
ଶରଣ	sˈɔɾɔnˌɔ
breath	(͡e͡n)bɹˈɛθ(͡o͡r)
ଆପ	ˈapɔ
ଗଜଲ	ɡˈɔɟlɔ
ତଟ	ʈˈɔʈ
ପଠନ	pˈɔʈʰɔnˌɔ
ହଜମ	hˈɔɟmɔ
eye	(͡e͡n)ˈa͡ɪ(͡o͡r)
nerve	(͡e͡n)nˈɜːv(͡o͡r)
receptor	(͡e͡n)ɹɪsˈɛptə(͡o͡r)
testing	(͡e͡n)tˈɛstɪŋ(͡o͡r)
ଅ	ˈɔ
ଅସଫଳ	ˈɔsɔpʰˌɔl̩ˌɔː
କଳ	kˈɔl̩ˌɔː
ଛକ	t͡ʃʰˈɔkɔ
ତପ	ʈˈɔpɔ
ପଣସ	pˈɔnɔs
ବଟ	bˈɔʈ
ଯମ	d͡ʒˈɔmɔ
ହର	hˈɔɾɔ
United	(͡e͡n)juːnˈa͡ɪtɪd(͡o͡r)
care	(͡e͡n)kˈe͡ə(͡o͡r)
ଅସଲ	ˈɔsɔlˌɔ
ଆକବର	ˈakɔbˌɔɾɔ
ଆୟକର	ˈajɔkˌɔɾɔ
ଓଧ	ˈodʰɔ
ଗଜ	ɡˈɔɟ
ଜଣକର	ɟˈɔnɔkˌɔɾɔ
ଧମକ	dʰˈɔmɔkˌɔ
ପଥରର	pˈɔtʰɔɾˌɔɾɔ
ପରର	pˈɔɾɔɾˌɔ
ପଲଉ	pˈɔlɔˌu
ମଟର	mˈɔʈɾɔ
Act	(͡e͡n)ˈakt(͡o͡r)
autosomal	(͡e͡n)ˌɔːtə͡ʊsˈə͡ʊmə͡l(͡o͡r)
birth	(͡e͡n)bˈɜːθ(͡o͡r)
from	(͡e͡n)fɹɒm(͡o͡r)
inherited	(͡e͡n)ɪnhˈɛɹɪtɪd(͡o͡r)
ultrasound	(͡e͡n)ˌʊltɹɐsˈa͡ʊnd(͡o͡r)
ଅବୟବ	ˈɔbɔjˌɔbɔ
ଆଚରଣ	ˈat͡ʃɔɾˌɔnɔ
କନକ	kˈɔnɔkˌɔ
ଛଉ	t͡ʃʰˈɔu
ତଳର	ʈˌɔl̩ˈɔːɾɔ
ପରଳ	pˈɔɾɔl̩ˌɔː
IUCN	(͡e͡n)ˈɪʌkən(͡o͡r)
Institute	(͡e͡n)ˈɪnstɪtjˌuːt(͡o͡r)
University	(͡e͡n)jˌuːnɪvˈɜːsɪti(͡o͡r)
antibiotic	(͡e͡n)ˌantɪba͡ɪˈɒtɪk(͡o͡r)
bleeding	(͡e͡n)blˈiːdɪŋ(͡o͡r)
by	(͡e͡n)bˈa͡ɪ(͡o͡r)
chest	(͡e͡n)t͡ʃˈɛst(͡o͡r)
marrow	(͡e͡n)mˈaɹə͡ʊ(͡o͡r)
scan	(͡e͡n)skˈan(͡o͡r)
ଅଜୟ	ˈɔɟɔj
ଚଉଦ	t͡ʃˈɔudˌɔ
ଦଳଗତ	dˌɔl̩ˈɔːɡɔtˌɔ
D	(͡e͡n)dˈiː(͡o͡r)
Health	(͡e͡n)hˈɛlθ(͡o͡r)
X	(͡e͡n)ˈɛks(͡o͡r)
biopsy	(͡e͡n)ba͡ɪˈɒpsi(͡o͡r)
hormone	(͡e͡n)hˈɔːmə͡ʊn(͡o͡r)
life	(͡e͡n)lˈa͡ɪf(͡o͡r)
radiation	(͡e͡n)ɹˌe͡ɪdɪˈe͡ɪʃən(͡o͡r)
seizures	(͡e͡n)sˈiːʒəz(͡o͡r)
type	(͡e͡n)tˈa͡ɪp(͡o͡r)
ଅଟକଳ	ˈɔtɔkˌɔl̩ˌɔː
ଅଠର	ˈɔʈʰɔɾˌɔ
ଅଧ	ˈɔdʰɔ
ଋଷ	ɾˈusɔ
କବର	kˈɔbɔɾˌɔ
ଖଳ	kʰˈɔl̩ˌɔː
ଗ	ɡˈɔ
ପମ	pˈɔmɔ
ବଳର	bˌɔl̩ˈɔːɾɔ
ରଣ	ɾˈɔnɔ
C	(͡e͡n)sˈiː(͡o͡r)
CT	(͡e͡n)sˌiːtˈiː(͡o͡r)
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡o͡r)
also	(͡e͡n)ˈɔːlsə͡ʊ(͡o͡r)
l	(͡e͡n)ˈɛl(͡o͡r)
loss	(͡e͡n)lˈɒs(͡o͡r)
red	(͡e͡n)ɹˈɛd(͡o͡r)
shortness	(͡e͡n)ʃˈɔːtnəs(͡o͡r)
supportive	(͡e͡n)səpˈɔːtɪv(͡o͡r)
surgery	(͡e͡n)sˈɜːd͡ʒəɹi(͡o͡r)
test	(͡e͡n)tˈɛst(͡o͡r)
tests	(͡e͡n)tˈɛsts(͡o͡r)
ଅଚଳ	ˈɔt͡ʃɔl̩ˌɔː
ଅଣ	ˈɔnɔ
ଅନବରତ	ˈɔnɔbˌɔɾɔtˌɔ
ଆଲଟ	ˈalɔʈ
ଇନ	ˈinɔ
ଓପନ	ˈopɔnˌɔ
କଲ	kˈɔlɔ
ଘଟ	ɡˈɔʈ
ଚରକ	t͡ʃˈɔɾɔkˌɔ
ମଗଧ	mˈɔɡɔdʰˌɔ
ମହମ	mˈɔhɔmˌɔ
ରତନ	ɾˈɔtɔnˌɔ
ହଲ	hˈɔlɔ
ହଳ	hˈɔl̩ˌɔː
NHS	(͡e͡n)ˌɛnˌe͡ɪt͡ʃˈɛs(͡o͡r)
cells	(͡e͡n)sˈɛlz(͡o͡r)
chemotherapy	(͡e͡n)kˌiːmə͡ʊθˈɛɹəpi(͡o͡r)
control	(͡e͡n)kəntɹˈə͡ʊl(͡o͡r)
deficiency	(͡e͡n)dɪfˈɪʃənsi(͡o͡r)
examination	(͡e͡n)ɛɡzˌamɪnˈe͡ɪʃən(͡o͡r)
fever	(͡e͡n)fˈiːvə(͡o͡r)
injury	(͡e͡n)ˈɪnd͡ʒəɹi(͡o͡r)
transplant	(͡e͡n)tɹansplˈant(͡o͡r)
vision	(͡e͡n)vˈɪʒən(͡o͡r)
with	(͡e͡n)wɪð(͡o͡r)
ଉଭୟଚର	ˌubʰɔjˈɔt͡ʃɾɔ
ଓମ	ˈomɔ
ଜବତ	ɟˈɔbɔtˌɔ
ବତକ	bˈɔtɔkˌɔ
ବଳଦ	bˌɔl̩ˈɔːdɔ
ବୟନ	bˈɔjɔnˌɔ
ସବ	sˈɔbɔ
B	(͡e͡n)bˈiː(͡o͡r)
College	(͡e͡n)kˈɒlɪd͡ʒ(͡o͡r)
Environment	(͡e͡n)ɛnvˈa͡ɪɹənmənt(͡o͡r)
Hindu	(͡e͡n)hˈɪnduː(͡o͡r)
oxygen	(͡e͡n)ˈɒksɪd͡ʒən(͡o͡r)
toxicity	(͡e͡n)tɒksˈɪsɪti(͡o͡r)
virus	(͡e͡n)vˈa͡ɪɹəs(͡o͡r)
ଅଟଳ	ˈɔtɔl̩ˌɔː
ଆରଏନଏ	ˈaɾɔˌenɔˌe
କମଳ	kˈɔmɔl̩ˌɔː
ଗଠନର	ɡˈɔʈʰɔnˌɔɾɔ
ଚରମ	t͡ʃˈɔɾɔmˌɔ
ଦଶରଥ	dˈɔsɔɾˌɔtʰɔ
ନଈ	nˈɔi
ପବନର	pˈɔbɔnˌɔɾɔ
ବଚନ	bˈɔt͡ʃnɔ
ବଲ	bˈɔlɔ
ଭରତର	bʰˈɔɾɔtˌɔɾɔ
ଯମଜ	d͡ʒˈɔmɔɟ
ସଜ	sˈɔɟ
School	(͡e͡n)skˈuːl(͡o͡r)
autoimmune	(͡e͡n)ˌɔːtə͡ʊɪmjˈuːn(͡o͡r)
brain	(͡e͡n)bɹˈe͡ɪn(͡o͡r)
cancer	(͡e͡n)kˈansə(͡o͡r)
cerebral	(͡e͡n)sˈɛɹɪbɹə͡l(͡o͡r)
culture	(͡e͡n)kˈʌlt͡ʃə(͡o͡r)
death	(͡e͡n)dˈɛθ(͡o͡r)
enzyme	(͡e͡n)ˈɛnza͡ɪm(͡o͡r)
function	(͡e͡n)fˈʌŋkʃən(͡o͡r)
inflammation	(͡e͡n)ɪnflamˈe͡ɪʃən(͡o͡r)
known	(͡e͡n)nˈə͡ʊn(͡o͡r)
poisoning	(͡e͡n)pˈɔ͡ɪzənɪŋ(͡o͡r)
rate	(͡e͡n)ɹˈe͡ɪt(͡o͡r)
serotonin	(͡e͡n)sˌɛɹətˈə͡ʊnɪn(͡o͡r)
sleep	(͡e͡n)slˈiːp(͡o͡r)
small	(͡e͡n)smˈɔːl(͡o͡r)
stress	(͡e͡n)stɹˈɛs(͡o͡r)
urinary	(͡e͡n)jˈʊ͡əɹɪnəɹi(͡o͡r)
vitamin	(͡e͡n)vˈɪtəmɪn(͡o͡r)
ଆଇଟମ	ˈaitˌɔmɔ
ଆଉଟ	ˈautˌɔ
ଗହମ	ɡˈɔhɔmˌɔ
ଜଳଜ	ɟˌɔl̩ˈɔːɟ
ବଉଳ	bˈɔul̩ˌɔ
ଭଗତ	bʰˈɔɡɔtˌɔ
ମଇଲମ	mˈɔilˌɔmɔ
ମର	mˈɔɾɔ
ରକମର	ɾˈɔkɔmˌɔɾɔ
ଶର	sˈɔɾɔ
ସମର	sˈɔmɔɾˌɔ
ହସ	hˈɔs
Kingdom	(͡e͡n)kˈɪŋdəm(͡o͡r)
bowel	(͡e͡n)bˈa͡ʊə͡l(͡o͡r)
breastfeeding	(͡e͡n)bɹˈɛstfiːdɪŋ(͡o͡r)
dominant	(͡e͡n)dˈɒmɪnənt(͡o͡r)
intravenous	(͡e͡n)ˌɪntɹəvˈiːnəs(͡o͡r)
membrane	(͡e͡n)mˈɛmbɹe͡ɪn(͡o͡r)
mouth	(͡e͡n)mˈa͡ʊθ(͡o͡r)
on	(͡e͡n)ˈɒn(͡o͡r)
seizure	(͡e͡n)sˈiːʒə(͡o͡r)
suppression	(͡e͡n)səpɹˈɛʃən(͡o͡r)
ଅନ	ˈɔnɔ
ଇବ	ˈibɔ
ଫଳର	pʰˌɔl̩ˈɔːɾɔ
ବ	bˈɔ
ଭରଣ	bʰˈɔɾɔnˌɔ
ମ	mˈɔ
ମତର	mˈɔtɔɾˌɔ
ସର	sˈɔɾɔ
Conservation	(͡e͡n)kˌɒnsəvˈe͡ɪʃən(͡o͡r)
Control	(͡e͡n)kəntɹˈə͡ʊl(͡o͡r)
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡o͡r)
John	(͡e͡n)d͡ʒˈɒn(͡o͡r)
New	(͡e͡n)njˈuː(͡o͡r)
RNA	(͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡o͡r)
Retrieved	(͡e͡n)ɹɪtɹˈiːvd(͡o͡r)
antagonist	(͡e͡n)antˈaɡənˌɪst(͡o͡r)
bladder	(͡e͡n)blˈadə(͡o͡r)
developed	(͡e͡n)dɪvˈɛləpt(͡o͡r)
failure	(͡e͡n)fˈe͡ɪli͡ə(͡o͡r)
gland	(͡e͡n)ɡlˈand(͡o͡r)
growth	(͡e͡n)ɡɹˈə͡ʊθ(͡o͡r)
health	(͡e͡n)hˈɛlθ(͡o͡r)
language	(͡e͡n)lˈaŋɡwɪd͡ʒ(͡o͡r)
pregnancy	(͡e͡n)pɹˈɛɡnənsi(͡o͡r)
receptors	(͡e͡n)ɹɪsˈɛptəz(͡o͡r)
reuptake	(͡e͡n)ɹˈuːpte͡ɪk(͡o͡r)
s	(͡e͡n)ˈɛs(͡o͡r)
tract	(͡e͡n)tɹˈakt(͡o͡r)
under	(͡e͡n)ˈʌndə(͡o͡r)
viral	(͡e͡n)vˈa͡ɪ͡əɹə͡l(͡o͡r)
ଅଥଚ	ˈɔtʰɔt͡ʃ
ଅଧର	ˈɔdʰɔɾˌɔ
ଅହମଦ	ˈɔhɔmˌɔdɔ
ଆଖ	ˈakʰɔ
ଉଛ	ˈut͡ʃʰɔ
ଉପସମ	upˈɔsmɔ
ଏଫ	ˈepʰɔ
ଏମଆରଆଇ	ˈemɔˌaɾɔˌai
କଅଣ	kˈɔɔnˌɔ
ଖଇର	kʰˈɔiɾˌɔ
ଘ	ɡhhˈɔ
ଚକର	t͡ʃˈɔkɔɾˌɔ
ଜଉ	ɟˈɔu
ଡନ	ɖˈɔnɔ
ନଳ	nˈɔl̩ˌɔː
ପଦର	pˈɔdɔɾˌɔ
ପଲ	pˈɔlɔ
ଫରକ	pʰˈɔɾɔkˌɔ
ଭବନର	bʰˈɔbɔnˌɔɾɔ
ମଲମ	mˈɔlɔmˌɔ
ମଳୟ	mˌɔl̩ˈɔːj
ଲ	lˈɔ
ଶକ	sˈɔkɔ
ଶବର	sˈɔbɔɾˌɔ
ସୟଦ	sˈɔjɔdˌɔ
ହରଭଜନ	hˌɔɾɔbʰˈɔɟnɔ
History	(͡e͡n)hˈɪstəɹi(͡o͡r)
London	(͡e͡n)lˈʌndən(͡o͡r)
Mycobacterium	(͡e͡n)mˌa͡ɪkəbɐktˈi͡əɹiəm(͡o͡r)
Research	(͡e͡n)ɹɪsˈɜːt͡ʃ(͡o͡r)
Social	(͡e͡n)sˈə͡ʊʃə͡l(͡o͡r)
Tiger	(͡e͡n)tˈa͡ɪɡə(͡o͡r)
at	(͡e͡n)at(͡o͡r)
beta	(͡e͡n)bˈiːtə(͡o͡r)
blockers	(͡e͡n)blˈɒkəz(͡o͡r)
electrocardiogram	(͡e͡n)ɪlˌɛktɹə͡ʊkˈɑːdɪˌə͡ʊɡɹam(͡o͡r)
fast	(͡e͡n)fˈast(͡o͡r)
food	(͡e͡n)fˈuːd(͡o͡r)
human	(͡e͡n)hjˈuːmən(͡o͡r)
immune	(͡e͡n)ɪmjˈuːn(͡o͡r)
inflammatory	(͡e͡n)ɪnflˈamətəɹi(͡o͡r)
joint	(͡e͡n)d͡ʒˈɔ͡ɪnt(͡o͡r)
nausea	(͡e͡n)nˈɔːsɪə(͡o͡r)
nervous	(͡e͡n)nˈɜːvəs(͡o͡r)
potassium	(͡e͡n)pətˈasi͡əm(͡o͡r)
respiratory	(͡e͡n)ɹɪspˈɪɹətəɹi(͡o͡r)
reverse	(͡e͡n)ɹɪvˈɜːs(͡o͡r)
rupture	(͡e͡n)ɹˈʌpt͡ʃə(͡o͡r)
sexual	(͡e͡n)sˈɛkʃuːə͡l(͡o͡r)
sugar	(͡e͡n)ʃˈʊɡə(͡o͡r)
tendon	(͡e͡n)tˈɛndən(͡o͡r)
urine	(͡e͡n)jˈʊ͡əɹɪn(͡o͡r)
ଅଘଟଣ	ɔɡˈɔʈnɔ
ଅର	ˈɔɾɔ
ଅସରପ	ˈɔsɔɾˌɔpɔ
ଆପର	ˈapɔɾˌɔ
ଈଷତ	ˈisɔtˌɔ
ଋଷର	ɾˈusɔɾˌɔ
ଏକମତ	ˈekɔmˌɔtɔ
ଓରଫ	ˈoɾɔpʰˌɔ
କବଚ	kˈɔbɔt͡ʃ
କଳହ	kˌɔl̩ˈɔːh
ଜନମତ	ɟˈɔnɔmˌɔtɔ
ଜଳଚର	ɟˌɔl̩ˈɔːt͡ʃɾɔ
ଝଲକ	ɟʰˈɔlɔkˌɔ
ଦର	dˈɔɾɔ
ନର	nˈɔɾɔ
ପଇଡ	pˈɔiɖˌɔ
ପରଖ	pˈɔɾɔkʰˌɔ
ଫଳକ	pʰˌɔl̩ˈɔːkɔ
ଭଗବତ	bʰˈɔɡɔbˌɔtɔ
ଲବ	lˈɔbɔ
ସତର	sˈɔtɔɾˌɔ
ସଦନର	sˈɔdɔnˌɔɾɔ
ସନତ	sˈɔnɔtˌɔ
ସଫଳତମ	sˌɔpʰɔl̩ˈɔːtɔmˌɔ
ସବଳ	sˈɔbɔl̩ˌɔː
