ও	oː
ধরন	dʰˈɔɾɔn
আ	ˈa
শপথ	ʃˈɔpɔtʰ
এত	ˈæto
সমতল	ʃˈɔmɔtˌɔl
খনন	kʰˈɔnɔn
শতক	ʃˈɔtɔk
আগত	ˈaɡɔtˌo
ইউ	ˈiu
নবম	nˈɔbɔm
আজও	ˈaɟɔˌoː
এন	ˈen
পল	pˈɔl
এইচ	ˈeit͡ʃ
আগমন	ˈaɡɔmˌɔn
দমন	dˈɔmɔn
একদল	ˈekɔdˌɔl
ফসল	fˈɔʃɔl
অন	ˈɔn
হযরত	hˈɔd͡ʒɔɾˌɔto
ঔষধ	ˈowʃɔdʰ
রক	ɾˈɔk
নজর	nˈɔɟɔɾ
সরল	ʃˈɔɾɔl
লস	lˈɔʃ
কমই	kˈɔmɔˌi
আটক	ˈaʈɔk
চরম	t͡ʃˈɔɾɔm
যত	d͡ʒˈɔto
রস	ɾˈɔʃ
ঋণ	ɾˈin
পরপরই	pˈɔɾɔpˌɔɾɔˌi
পরই	pˈɔɾɔˌi
তখনই	tˈɔkʰɔnˌɔi
পরও	pˈɔɾɔˌoː
তখনও	tˈɔkʰɔnˌɔoː
in	(͡e͡n)ˈɪn(͡b͡n)
অবতরণ	ˈɔbɔtˌɔɾɔn
ইউএস	ˈiuˌeʃ
এইসব	ˈeiʃˌɔb
এরও	ˈeɾɔˌoː
ইট	ˈiʈ
এফ	ˈef
আলম	ˈalɔm
উপকরণ	ˈupɔkˌɔɾɔn
লবণ	lˈɔbɔn
বছরই	bˈɔt͡ʃʰɔɾˌɔi
বরফ	bˈɔɾɔf
পরম	pˈɔɾɔm
অল	ˈɔl
A	(͡e͡n)ˈe͡ɪ(͡b͡n)
দফতর	dˈɔfɔtˌɔɾ
মতই	mˈɔtɔˌi
পরপর	pˈɔɾɔpˌɔɾ
নরম	nˈɔɾɔm
অসম	ˈɔʃɔm
সৎ	ʃˈɔt
বৎসর	bˈɔtʃɔɾ
এরই	ˈeɾɔˌi
আপ	ˈap
ইবন	ˈibɔn
গণ	ɡˈɔn
বরণ	bˈɔɾɔn
কবর	kˈɔbɔɾ
কল	kˈɔl
একমত	ˈekɔmˌɔto
জনক	ɟˈɔnɔk
অথচ	ˈɔːtʰocˌo
অপহরণ	ˈɔpɔhˌɔɾɔn
নকল	nˈɔkɔl
কত	kˈɔto
এসকল	ˈeʃɔkˌɔl
আকবর	ˈakɔbˌɔɾ
ভন	bʰˈɔn
কখনই	kˈɔkʰɔnˌɔi
ডন	ɖˈɔn
টম	ʈˈɔm
জগৎ	ɟˈɔɡɔt
মঠ	mˈɔʈʰ
সবই	ʃˈɔbɔˌi
সনদ	ʃˈɔnɔd
এমএ	ˈemɔˌe
উমর	ˈumɔɾ
জনসন	ɟˈɔnɔʃˌɔn
নন	nˈɔn
অমর	ˈɔmɔɾ
একদম	ˈekɔdˌɔm
এও	ˈeoː
ল	lˈɔ
এসআর	ˈeʃɔˌaɾ
অতএব	ˈɔtɔˌeb
তত	tˈɔto
ফন	fˈɔn
মদ	mˈɔd
বকর	bˈɔkɔɾ
বর	bˈɔɾ
আম	ˈam
চর	t͡ʃˈɔɾ
de	(͡e͡n)də(͡b͡n)
আসর	ˈaʃɔɾ
তল	tˈɔl
ওমর	ˈoːmɔɾ
জলজ	ɟˈɔlɔɟ
গম	ɡˈɔm
বব	bˈɔb
আহরণ	ˈahɔɾˌɔn
নগদ	nˈɔɡɔd
উইথ	ˈuitʰ
করল	kˈɔɾɔl
৷	
পপ	pˈɔp
ক	kˈɔ
to	(͡e͡n)tuː(͡b͡n)
যমজ	d͡ʒˈɔmɔɟ
শট	ʃˈɔʈ
আপন	ˈapɔn
a	(͡e͡n)ˈe͡ɪ(͡b͡n)
অবগত	ˈɔbɔɡˌɔto
করণ	kˈɔɾɔn
সফররত	ʃˈɔfɔɾˌɔɾɔtˌo
x	(͡e͡n)ˈɛks(͡b͡n)
কমন	kˈɔmɔn
আরএনএ	ˈaɾɔˌenɔˌe
বদল	bˈɔdɔl
শ	tˌaleboʃʃˈɔ
সন	ʃˈɔn
সচল	ʃˈɔt͡ʃɔl
গজ	ɡˈɔɟ
নল	nˈɔl
Retrieved	(͡e͡n)ɹɪtɹˈiːvd(͡b͡n)
কখন	kˌɔkʰɔn
জজ	ɟˈɔɟ
ফলক	fˈɔlɔk
আবরণ	ˈabɔɾˌɔn
আজম	ˈaɟɔm
Press	(͡e͡n)pɹˈɛs(͡b͡n)
অভ	ˈɔbʰ
হট	hˈɔʈ
খ	kʰˈɔ
বধ	bˈɔdʰ
আইনগত	ˈainˌɔɡɔtˌo
উইলসন	ˈuilˌɔʃɔn
n	(͡e͡n)ˈɛn(͡b͡n)
ইজ	ˈiɟ
এজ	ˈeɟ
এমএস	ˈemɔˌeʃ
নব	nˈɔb
টক	ʈˈɔk
উইল	ˈuil
X	(͡e͡n)ˈɛks(͡b͡n)
আইস	ˈaiʃ
H	(͡e͡n)ˈe͡ɪt͡ʃ(͡b͡n)
New	(͡e͡n)njˈuː(͡b͡n)
on	(͡e͡n)ˈɒn(͡b͡n)
সফলতম	ʃˈɔfɔlˌɔtɔm
তরফ	tˈɔɾɔf
History	(͡e͡n)hˈɪstəɹi(͡b͡n)
আটজন	ˈaʈɔɟˌɔn
কলম	kˈɔlɔm
টপ	ʈˈɔp
টহল	ʈˈɔhɔl
দলগত	dˈɔlɔɡˌɔto
University	(͡e͡n)jˌuːnɪvˈɜːsɪti(͡b͡n)
উল	ˈul
এতই	ˈetɔˌi
pp	(͡e͡n)pˌiːpˈiː(͡b͡n)
মল	mˈɔl
by	(͡e͡n)bˈa͡ɪ(͡b͡n)
উপ	ˈup
আব	ˈab
আমর	ˈamɔɾ
মহল	mˈɔhɔl
India	(͡e͡n)ˈɪndiə(͡b͡n)
সহজতর	ʃˈɔhɔɟˌɔtɔɾ
ডট	ɖˈɔʈ
ফলন	fˈɔlɔn
যখনই	d͡ʒˈɔkʰɔnˌɔi
O	(͡e͡n)ˈə͡ʊ(͡b͡n)
for	(͡e͡n)fɔː(͡b͡n)
ডজন	ɖˈɔɟɔn
লক	lˈɔk
অর	ˈɔɾ
রসদ	ɾˈoʃɔd
কমল	kˈɔmɔl
এট	ˈeʈ
চল	t͡ʃˈɔl
এইডস	ˈeiɖˌɔʃ
I	(͡e͡n)ˈa͡ɪ(͡b͡n)
ডক	ɖˈɔk
মতন	mˈɔtɔn
page	(͡e͡n)pˈe͡ɪd͡ʒ(͡b͡n)
শন	ʃˈɔn
নট	nˈɔʈ
জনমত	ɟˈɔnɔmˌɔto
আস	ˈaʃ
জনপদ	ɟˈɔnɔpˌɔd
এফএম	ˈefɔˌem
C	(͡e͡n)sˈiː(͡b͡n)
দলই	dˈɔlɔˌi
একরকম	ˈekɔɾˌɔkɔm
রথ	ɾˈɔtʰ
মদন	mˈɔdɔn
রব	ɾˈɔb
অ	ˈɔː
একইরকম	ˈekɔˌiɾɔkˌɔm
রতন	ɾˈotɔn
ম	mˈɔ
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡b͡n)
নদ	nˈɔd
পলল	pˈɔlɔl
কনডম	kˈɔnɔɖˌɔm
আমল	ˈamɔl
একশত	ˈekɔʃˌɔto
মহৎ	mˈɔhɔt
শরৎ	ʃˈɔɾɔt
আইনত	ˈainˌɔto
আচরণগত	ˈat͡ʃɔɾˌɔnɔɡˌɔto
চলক	t͡ʃˈɔlɔk
পশম	pˈɔʃɔm
বস	bˈɔʃ
রন	ɾˈɔn
B	(͡e͡n)bˈiː(͡b͡n)
এরপরই	ˈeɾɔpˌɔɾɔˌi
গজল	ɡˈɔɟɔl
নখ	nˈɔkʰ
N	(͡e͡n)ˈɛn(͡b͡n)
উই	ˈui
ড	ɖˈɔ
ইউএসএস	ˈiuˌeʃɔˌeʃ
বদর	bˈɔdɔɾ
Page	(͡e͡n)pˈe͡ɪd͡ʒ(͡b͡n)
আবহ	ˈabɔhˌo
কটন	kˈɔʈɔn
জগত	ɟˈɔɡɔtˌo
রড	ɾˈɔɖ
নটর	nˈɔʈɔɾ
আন	ˈan
উড	ˈuɖ
London	(͡e͡n)lˈʌndən(͡b͡n)
p	(͡e͡n)pˈiː(͡b͡n)
এমনই	ˈemɔnˌɔi
জলপথ	ɟˈɔlɔpˌɔtʰ
যশ	d͡ʒˈɔʃ
এড	ˈeɖ
দই	dˈoi
ফজল	fˈɔɟɔl
John	(͡e͡n)d͡ʒˈɒn(͡b͡n)
অনশন	ˈɔnɔʃˌɔn
আইএসও	ˈaiˌeʃɔˌoː
বলল	bˈɔlɔl
বহর	bˈɔhɔɾ
সস	ʃˈɔʃ
উট	ˈuʈ
করব	kˈɔɾɔb
সই	ʃˈoi
V	(͡e͡n)vˈiː(͡b͡n)
উপরও	ˈupɔɾˌɔoː
ডগ	ɖˈɔɡ
নকআউট	nˈɔkɔˌauʈ
ফটক	fˈɔʈɔk
হজম	hˈɔɟɔm
হজরত	hˈɔɟɔɾˌɔto
উভচর	ˈubʰɔt͡ʃˌɔɾ
এইরকম	ˈeiɾˌɔkɔm
তৎপর	tˈɔtpɔɾ
স	dˌonteʃʃˈɔ
আইকন	ˈaikˌɔn
এফএ	ˈefɔˌe
ওক	ˈoːk
রওশন	ɾˈooːʃˌɔn
আখ	ˈakʰ
ঈদ	ˈid
কদর	kˈɔdɔɾ
ততই	tˈɔtɔˌi
গ	ɡˈɔ
সহচর	ʃˈɔhɔt͡ʃˌɔɾ
অবনমন	ˈɔbɔnˌɔmɔn
কট	kˈɔʈ
ধন	dʰˈɔn
রদ	ɾˈɔd
শওকত	ʃˈɔoːkˌɔto
R	(͡e͡n)ˈɑː(͡b͡n)
or	(͡e͡n)ɔː(͡b͡n)
উ	hɾˌɔʃʃoˈu
জ	ɟˈɔ
মতলব	mˈɔtɔlˌɔb
হরর	hˈɔɾɔɾ
ওর	ˌoːɾ
গলফ	ɡˈɔlɔf
যতই	d͡ʒˈɔtɔˌi
Indian	(͡e͡n)ˈɪndi͡ən(͡b͡n)
National	(͡e͡n)nˈaʃənə͡l(͡b͡n)
আইএনএস	ˈaiˌenɔˌeʃ
আইল	ˈail
চরণ	t͡ʃˈɔɾɔn
শক	ʃˈɔk
Oxford	(͡e͡n)ˈɒksfəd(͡b͡n)
ছক	t͡ʃʰˈɔk
বলবৎ	bˈɔlɔbˌɔt
ঈগল	ˈiɡɔl
উদর	ˈudɔɾ
বউ	bˈou
World	(͡e͡n)wˈɜːld(͡b͡n)
et	(͡e͡n)ˈɛt(͡b͡n)
আইওএস	ˈaiˌoːeʃ
গড	ɡˈɔɖ
চক	t͡ʃˈɔk
থমসন	tʰˈɔmɔʃˌɔn
III	(͡e͡n)ɹˌə͡ʊmən θɹˈiː(͡b͡n)
এরপরও	ˈeɾɔpˌɔɾɔˌoː
দহন	dˈɔhɔn
সরণ	ʃˈɔɾɔn
অচল	ˈɔt͡ʃɔl
তপন	tˈɔpɔn
লন	lˈɔn
উঠল	ˈuʈʰɔl
উপরই	ˈupɔɾˌɔi
একশ	ˈekɔʃ
বপন	bˈɔpɔn
E	(͡e͡n)ˈiː(͡b͡n)
আসত	ˈaʃɔtˌo
CO	(͡e͡n)kˈə͡ʊ(͡b͡n)
চলন	t͡ʃˈɔlɔn
দশজন	dˈɔʃɔɟˌɔn
অসফল	ˈɔʃɔfˌɔl
ওম	ˈoːm
গঠনগত	ɡˈɔʈʰɔnˌɔɡɔtˌo
জনবল	ɟˈɔnɔbˌɔl
রউফ	ɾˈouf
P	(͡e͡n)pˈiː(͡b͡n)
S	(͡e͡n)ˈɛs(͡b͡n)
ইইউ	ˈiiˌu
একবছর	ˈekɔbˌɔt͡ʃʰɔɾ
ন	dˌontennˈɔ
মগ	mˈɔɡ
Dictionary	(͡e͡n)dˈɪkʃənəɹi(͡b͡n)
জখম	ɟˈɔkʰɔm
মৎস	mˈɔtʃɔ
রত	ɾˈoto
রহমত	ɾˈohɔmˌɔto
এডউইন	ˈeɖɔˌuin
ভরত	bʰˈɔɾɔtˌo
সবল	ʃˈɔbɔl
অলস	ˈɔlɔʃ
ওএস	ˈoːeʃ
জনন	ɟˈɔnɔn
ধর	dʰˈɔɾ
নরক	nˈɔɾɔk
পট	pˈɔʈ
সম	ʃˈɔm
অমল	ˈɔmɔl
ঐসব	ˈojʃɔb
করন	kˈɔɾɔn
খল	kʰˈɔl
ঝলক	ɟʰˈɔlɔk
হরণ	hˈɔɾɔn
Journal	(͡e͡n)d͡ʒˈɜːnə͡l(͡b͡n)
অনবরত	ˈɔnɔbˌɔɾɔtˌo
বচন	bˈɔt͡ʃɔn
বসত	bˈɔʃɔtˌo
লখনউ	lˈɔkʰɔnˌɔu
লবন	lˈɔbɔn
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡b͡n)
K	(͡e͡n)kˈe͡ɪ(͡b͡n)
la	(͡e͡n)lˌa(͡b͡n)
মটর	mˈɔʈɔɾ
ইনক	ˈinɔk
Volume	(͡e͡n)vˈɒljuːm(͡b͡n)
ইভ	ˈibʰ
উইক	ˈuik
এনএইচ	ˈenɔˌeit͡ʃ
Life	(͡e͡n)lˈa͡ɪf(͡b͡n)
War	(͡e͡n)wˈɔː(͡b͡n)
York	(͡e͡n)jˈɔːk(͡b͡n)
অবতল	ˈɔbɔtˌɔl
দর	dˈɔɾ
D	(͡e͡n)dˈiː(͡b͡n)
David	(͡e͡n)dˈe͡ɪvɪd(͡b͡n)
is	(͡e͡n)ɪz(͡b͡n)
m	(͡e͡n)ˈɛm(͡b͡n)
গল	ɡˈɔl
হরফ	hˈɔɾɔf
August	(͡e͡n)ˈɔːɡəst(͡b͡n)
M	(͡e͡n)ˈɛm(͡b͡n)
See	(͡e͡n)sˈiː(͡b͡n)
জব	ɟˈɔb
তলব	tˈɔlɔb
দলও	dˈɔlɔˌoː
সমর	ʃˈɔmɔɾ
English	(͡e͡n)ˈɪŋɡlɪʃ(͡b͡n)
r	(͡e͡n)ˈɑː(͡b͡n)
s	(͡e͡n)ˈɛs(͡b͡n)
ইউএসএ	ˈiuˌeʃɔˌe
দম	dˈɔm
বইও	bˈoiˌoː
বনজ	bˈɔnɔɟ
শপ	ʃˈɔp
হজ	hˈɔɟ
at	(͡e͡n)at(͡b͡n)
des	(͡e͡n)dˈɛs(͡b͡n)
অসৎ	ˈɔʃɔt
আদর	ˈadɔɾ
টড	ʈˈɔɖ
রহ	ɾˈoho
শখ	ʃˈɔkʰ
সরব	ʃˈɔɾɔb
অটল	ˈɔʈɔl
American	(͡e͡n)ɐmˈɛɹɪkən(͡b͡n)
k	(͡e͡n)kˈe͡ɪ(͡b͡n)
ইউএসএসআর	ˈiuˌeʃɔˌeʃɔˌaɾ
ইএমইউ	ˈiemˌɔiˌu
জপ	ɟˈɔp
ডবল	ɖˈɔbɔl
হর	hˈɔɾ
L	(͡e͡n)ˈɛl(͡b͡n)
as	(͡e͡n)az(͡b͡n)
q	(͡e͡n)kjˈuː(͡b͡n)
ঈষৎ	ˈiʃɔt
এমনও	ˈemɔnˌɔoː
ধরণ	dʰˈɔɾɔn
বট	bˈɔʈ
ভজন	bʰˈɔɟɔn
লগ	lˈɔɡ
Society	(͡e͡n)səsˈa͡ɪ͡əti(͡b͡n)
T	(͡e͡n)tˈiː(͡b͡n)
y	(͡e͡n)wˈa͡ɪ(͡b͡n)
উপশম	ˈupɔʃˌɔm
এইসকল	ˈeiʃˌɔkɔl
পণ	pˈɔn
রজব	ɾˈoɟɔb
রমন	ɾˈomɔn
শততম	ʃˈɔtɔtˌɔm
from	(͡e͡n)fɹɒm(͡b͡n)
ইউএন	ˈiuˌen
এমএলএ	ˈemɔˌelɔˌe
এসআই	ˈeʃɔˌai
বলত	bˈɔlɔtˌo
Islam	(͡e͡n)ɪslˈɑːm(͡b͡n)
January	(͡e͡n)d͡ʒˈanjuːəɹi(͡b͡n)
U	(͡e͡n)jˈuː(͡b͡n)
b	(͡e͡n)bˈiː(͡b͡n)
ইউর	ˈiuɾ
ইল	ˈil
একবচন	ˈekɔbˌɔt͡ʃɔn
দমদম	dˈɔmɔdˌɔm
Act	(͡e͡n)ˈakt(͡b͡n)
Book	(͡e͡n)bˈʊk(͡b͡n)
CH	(͡e͡n)sˌiːˈe͡ɪt͡ʃ(͡b͡n)
F	(͡e͡n)ˈɛf(͡b͡n)
অতপর	ˈɔtɔpˌɔɾ
এমআরএনএ	ˈemɔˌaɾɔˌenɔˌe
নক	nˈɔk
Bengal	(͡e͡n)bˌɛŋɡˈɔːl(͡b͡n)
De	(͡e͡n)də(͡b͡n)
June	(͡e͡n)d͡ʒˈuːn(͡b͡n)
Robert	(͡e͡n)ɹˈɒbət(͡b͡n)
c	(͡e͡n)sˈiː(͡b͡n)
এইচএমএস	ˈeit͡ʃˌɔemˌɔeʃ
লজ	lˈɔɟ
Great	(͡e͡n)ɡɹˈe͡ɪt(͡b͡n)
with	(͡e͡n)wɪð(͡b͡n)
ইমন	ˈimɔn
এসএস	ˈeʃɔˌeʃ
কথক	kˈɔtʰɔk
কনক	kˈɔnɔk
ফলস	fˈɔlɔʃ
Bangladesh	(͡e͡n)bˌaŋɡlɐdˈɛʃ(͡b͡n)
Times	(͡e͡n)tˈa͡ɪmz(͡b͡n)
আইডল	ˈaiɖˌɔl
উইচ	ˈuit͡ʃ
করম	kˈɔɾɔm
জনই	ɟˈɔnɔˌi
জন৷	ɟˈɔn
টস	ʈˈɔʃ
মথ	mˈɔtʰ
হও	hˈɔoː
William	(͡e͡n)wˈɪli͡əm(͡b͡n)
f	(͡e͡n)ˈɛf(͡b͡n)
এমএনএ	ˈemɔˌenɔˌe
কদম	kˈɔdɔm
করদ	kˈɔɾɔd
চলত	t͡ʃˈɔlɔtˌo
জমজ	ɟˈɔmɔɟ
পচন	pˈɔt͡ʃɔn
Cambridge	(͡e͡n)kˈe͡ɪmbɹɪd͡ʒ(͡b͡n)
November	(͡e͡n)nə͡ʊvˈɛmbə(͡b͡n)
আইএ	ˈaiˌe
এইড	ˈeiɖ
এসএএস	ˈeʃɔˌeeʃ
জলচর	ɟˈɔlɔt͡ʃˌɔɾ
থর	tʰˈɔɾ
নর	nˈɔɾ
পবন	pˈɔbɔn
বরন	bˈɔɾɔn
Books	(͡e͡n)bˈʊks(͡b͡n)
Encyclopedia	(͡e͡n)ɛnsˌa͡ɪklə͡ʊpˈiːdi͡ə(͡b͡n)
e	(͡e͡n)ˈiː(͡b͡n)
pH	(͡e͡n)pˈiː ˈe͡ɪt͡ʃ(͡b͡n)
ইষদ	ˈiʃɔd
উইন	ˈuin
ফলত	fˈɔlɔtˌo
সহগ	ʃˈɔhɔɡ
ইটন	ˈiʈɔn
উডস	ˈuɖɔʃ
এআই	ˈeaˌi
কবল	kˈɔbɔl
ডস	ɖˈɔʃ
ফরজ	fˈɔɾɔɟ
বরকত	bˈɔɾɔkˌɔto
April	(͡e͡n)ˈe͡ɪpɹə͡l(͡b͡n)
Research	(͡e͡n)ɹɪsˈɜːt͡ʃ(͡b͡n)
State	(͡e͡n)stˈe͡ɪt(͡b͡n)
অউর	ˈouɾ
আমন	ˈamɔn
জনস	ɟˈɔnɔʃ
ডম	ɖˈɔm
হপ	hˈɔp
July	(͡e͡n)d͡ʒuːlˈa͡ɪ(͡b͡n)
On	(͡e͡n)ˈɒn(͡b͡n)
Q	(͡e͡n)kjˈuː(͡b͡n)
আরউইন	ˈaɾɔˌuin
আরএসএস	ˈaɾɔˌeʃɔˌeʃ
আশ	ˈaʃ
এএম	ˈeem
এখনই	ˈekʰɔnˌɔi
কসম	kˈɔʃɔm
গন	ɡˈɔn
গলন	ɡˈɔlɔn
দশরথ	dˈɔʃɔɾˌɔtʰ
লট	lˈɔʈ
সবরকম	ʃˈɔːbɾˌɔːkom
হলও	hˈɔlɔˌoː
G	(͡e͡n)d͡ʒˈiː(͡b͡n)
Paul	(͡e͡n)pˈɔːl(͡b͡n)
Z	(͡e͡n)zˈɛd(͡b͡n)
আরএসএ	ˈaɾɔˌeʃɔˌe
ইওর	ˈioːɾ
দমকল	dˈɔmɔkˌɔl
বজবজ	bˈɔɟɔbˌɔɟ
Ancient	(͡e͡n)ˈe͡ɪnʃənt(͡b͡n)
December	(͡e͡n)dɪsˈɛmbə(͡b͡n)
In	(͡e͡n)ˈɪn(͡b͡n)
La	(͡e͡n)lˌa(͡b͡n)
May	(͡e͡n)mˈe͡ɪ(͡b͡n)
অপশন	ˈɔpɔʃˌɔn
আযম	ˈad͡ʒɔm
আরএএফ	ˈaɾɔˌeef
উপশহর	ˈupɔʃˌɔhɔɾ
এইট	ˈeiʈ
একশন	ˈekɔʃˌɔn
এমএমএ	ˈemɔˌemɔˌe
নখর	nˈɔkʰɔɾ
মই	mˈoi
মণ	mˈɔn
সফট	ʃˈɔfɔʈ
হবস	hˈɔbɔʃ
Association	(͡e͡n)ɐsˌə͡ʊsɪˈe͡ɪʃən(͡b͡n)
der	(͡e͡n)dˈe͡ə(͡b͡n)
আজমল	ˈaɟɔmˌɔl
উপদল	ˈupɔdˌɔl
কড	kˈɔɖ
জওহর	ɟˈɔoːhˌɔɾ
জবস	ɟˈɔbɔʃ
নই	nˈoi
রজত	ɾˈoɟɔtˌo
শবনম	ʃˈɔbɔnˌɔm
James	(͡e͡n)d͡ʒˈe͡ɪmz(͡b͡n)
Richard	(͡e͡n)ɹˈɪt͡ʃəd(͡b͡n)
United	(͡e͡n)juːnˈa͡ɪtɪd(͡b͡n)
du	(͡e͡n)dˈuː(͡b͡n)
এসএমএস	ˈeʃɔˌemɔˌeʃ
ককবরক	kˈɔkɔbˌɔɾɔk
ঘটক	ɡʰˈɔʈɔk
Delhi	(͡e͡n)dˈɛli(͡b͡n)
Institute	(͡e͡n)ˈɪnstɪtjˌuːt(͡b͡n)
d	(͡e͡n)dˈiː(͡b͡n)
i	(͡e͡n)ˈa͡ɪ(͡b͡n)
আবদ	ˈabɔd
একদমই	ˈekɔdˌɔmɔˌi
কলস	kˈɔlɔʃ
ঘনঘন	ɡʰˈɔnɔɡʰˌɔn
চ	t͡ʃˈɔ
ব	bˈɔ
বক	bˈɔk
যম	d͡ʒˈɔm
হই	hˈoi
Le	(͡e͡n)lə(͡b͡n)
School	(͡e͡n)skˈuːl(͡b͡n)
an	(͡e͡n)an(͡b͡n)
edition	(͡e͡n)ɪdˈɪʃən(͡b͡n)
t	(͡e͡n)tˈiː(͡b͡n)
u	(͡e͡n)jˈuː(͡b͡n)
অই	ˈoi
আইআইএম	ˈaiˌaiˌem
আজব	ˈaɟɔb
ইশক	ˈiʃɔk
কতজন	kˈɔtɔɟˌɔn
চমক	t͡ʃˈɔmɔk
মম	mˈɔm
মহরত	mˈɔhɔɾˌɔto
শহরও	ʃˈɔhɔɾˌɔoː
October	(͡e͡n)ɒktˈə͡ʊbə(͡b͡n)
System	(͡e͡n)sˈɪstəm(͡b͡n)
Vol	(͡e͡n)vˈɒl(͡b͡n)
আচরন	ˈat͡ʃɔɾˌɔn
উন	ˈun
এরকমই	ˈeɾɔkˌɔmɔˌi
ত	tˈɔ
দলসহ	dˈɔlɔʃˌɔho
ধস	dʰˈɔʃ
মগধ	mˈɔɡɔdʰ
মস	mˈɔʃ
যব	d͡ʒˈɔb
লব	lˈɔb
Art	(͡e͡n)ˈɑːt(͡b͡n)
Chapter	(͡e͡n)t͡ʃˈaptə(͡b͡n)
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡b͡n)
Empire	(͡e͡n)ˈɛmpa͡ɪ͡ə(͡b͡n)
J	(͡e͡n)d͡ʒˈe͡ɪ(͡b͡n)
Law	(͡e͡n)lˈɔː(͡b͡n)
Lemmon	(͡e͡n)lˈɛmən(͡b͡n)
March	(͡e͡n)mˈɑːt͡ʃ(͡b͡n)
Y	(͡e͡n)wˈa͡ɪ(͡b͡n)
see	(͡e͡n)sˈiː(͡b͡n)
অবতরন	ˈɔbɔtˌɔɾɔn
আগম	ˈaɡɔm
আদল	ˈadɔl
আধ	ˈadʰ
আপস	ˈapɔʃ
একট	ˈekɔʈ
ওন	ˈoːn
গদর	ɡˈɔdɔɾ
টলন	ʈˈɔlɔn
নত	nˈɔto
হইল	hˈoil
Language	(͡e͡n)lˈaŋɡwɪd͡ʒ(͡b͡n)
My	(͡e͡n)mˈa͡ɪ(͡b͡n)
Theory	(͡e͡n)θˈi͡əɹi(͡b͡n)
WHO	(͡e͡n)hˈuː(͡b͡n)
West	(͡e͡n)wˈɛst(͡b͡n)
Women	(͡e͡n)wˈɪmɪn(͡b͡n)
h	(͡e͡n)ˈe͡ɪt͡ʃ(͡b͡n)
system	(͡e͡n)sˈɪstəm(͡b͡n)
আওস	ˈaoːʃ
