тата	tˈata
хăйĕн	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
пысăк	p ˈɯ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
Çак	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k
çак	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k
пекех	pˈɛkɛx
пирки	pˈɪrkɪ
çинче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n t͡ʃ jˈɛ
Мăн	m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
нумай	nˈumaj
Кӳлĕ	k ˈø l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тăршшĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тĕп	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p
Ку	kˈʊ
Вăл	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l
тухнă	t ˈʊ x n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăрать	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa t
кӳлĕ	k ˈø l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Союзĕн	s ˈɔ jˈʊ z (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
гварди	ɡvˈardɪ
анчах	ˈant͡ʃax
питĕ	p ˈɪ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ку	kˈʊ
халăх	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
икĕ	ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чысне	t͡ʃˈɯsnɛ
туса	tˈusa
Паттăрĕн	p ˈa t t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
патшалăх	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
çулхи	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l x ˈɪ
хушшинче	xʊʃʃˈɪnt͡ʃɛ
шутланать	ʃʊtlˈanat
çĕр	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r
тĕрлĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çав	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v
Анчах	ˈant͡ʃax
тухать	tˈuxat
хăй	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j
çеç	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v)
пĕрремĕш	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r jˈæ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
шыв	ʃˈɯv
шутне	ʃˈʊtnɛ
ĕçленĕ	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кайнă	k ˈa j n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
май	mˈaj
тăрăх	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
ытти	ˈɯttɪ
панă	p ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăнă	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хули	xˈulɪ
Унăн	ˈʊ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
йышĕ	j ˈɯ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕсем	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
хула	xˈula
чылай	t͡ʃˈɯlaj
çырнă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хунă	x ˈʊ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
валли	vˈallɪ
çук	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ k
пурăнать	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
çарĕн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Аслă	ˈa s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çыранпе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa n p jˈɛ
çуралнă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r ˈa l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ытла	ˈɯtla
ытларах	ɯtlˈaɾax
кĕнĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ячĕ	jˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
перевçĕсен	p jˈɛ r jˈɛ v (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) s jˈæ n
пынă	p ˈɯ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тунă	t ˈʊ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
теççĕ	t jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
яхăн	jˈa x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
ертсе	jˈɛrtsɛ
полкĕн	p ˈɔ l k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
ятлă	jˈa t l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
темиçе	t jˈæ m ˈɪ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) jˈɛ
Çав	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v
авалхи	avˈalxɪ
пулсан	pˈʊlsan
командирĕ	k ˈɔ m ˈa n d ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ун	ˈʊn
аслă	ˈa s l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
кураççĕ	k ˈʊ r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
кăна	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
хут	xˈʊt
енчен	jˈænt͡ʃɛn
вырăс	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s
кунта	kˈʊnta
дивизин	divˈizɪn
унта	ˈʊnta
илсе	ˈɪlsɛ
Тĕп	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p
Халăх	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
авиаци	ˌaviˈat͡sɪ
патне	pˈatnɛ
тенĕ	t jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕсен	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
вĕсене	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
тĕл	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l
пуçланă	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пĕрле	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈɛ
çар	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r
чĕлхи	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ
çинчен	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n t͡ʃ jˈæ n
пĕри	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈɪ
тытса	tˈɯtsa
ятне	jˈatnɛ
вăтам	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa m
урăх	ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
вырăн	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
пултарать	pʊltˈaɾat
пĕтĕм	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m
пырать	pˈɯɾat
уйрăм	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
юхать	jˈuxat
кун	kˈʊn
Кĕçĕн	k (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n
ĕç	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
вĕреннĕ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пурăннă	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Çавăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
пуçне	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n jˈɛ
пула	pˈula
патĕнче	p ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
Ăна	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
тепĕр	t jˈɛ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
хирĕç	x ˈɪ r (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
хулинче	xulˈɪnt͡ʃɛ
Çĕнĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вырăнне	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n jˈɛ
пулма	pˈʊlma
халĕ	x ˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пĕчĕк	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) k
Ун	ˈʊn
кăларнă	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пайĕ	p ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
юппинчен	jʊppˈɪnt͡ʃɛn
тума	tˈuma
Пĕрремĕш	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r jˈæ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
бассейн	bˈassɛjn
тинĕс	t ˈɪ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s
малтан	mˈaltan
çаплах	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p l ˈa x
фрончĕн	f r ˈɔ n t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Хальхи	xˈalxɪ
виçĕ	v ˈɪ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
вăрçă	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v)
юлнă	jˈʊ l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ячĕллĕ	jˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çынсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n s jˈæ m
Беларуç	b jˈæ l ˈa r ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v)
янă	jˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Чи	t͡ʃˈɪ
лартнă	l ˈa r t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ят	jˈat
çавăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çинчи	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n t͡ʃ ˈɪ
Халĕ	x ˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хальхи	xˈalxɪ
çĕнĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пулин	pˈulɪn
çапла	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p l ˈa
пулаççĕ	p ˈʊ l ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
хăйсен	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j s jˈæ n
ĕнтĕ	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
енĕпе	jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
енче	jˈænt͡ʃɛ
хăйне	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j n jˈɛ
кĕреççĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
шкул	ʃkˈʊl
Районта	rajˈɔnta
курма	kˈʊrma
тухса	tˈʊxsa
чух	t͡ʃˈʊx
Çурçĕр	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r
ĕçлет	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈɛ t
каять	kˈajat
сахал	sˈaxal
кашни	kˈaʃnɪ
Вĕсем	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
Кунта	kˈʊnta
урлă	ˈʊ r l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
шучĕ	ʃ ˈʊ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ялĕ	jˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Александр	alˈɛksandr
тесен	tˈɛsɛn
Ял	jˈal
Николай	nikˈolaj
тĕслĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Республикин	rˌɛspʊblˈikɪn
пĕлӳ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l ˈø
пирĕн	p ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Çапла	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p l ˈa
кĕртнĕ	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
кирлĕ	k ˈɪ r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Район	rˈajɔn
евĕр	jˈɛ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
ĕçе	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) jˈɛ
вырăнта	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t ˈa
килнĕ	k ˈɪ l n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
млн	mln
районĕнчи	r ˈa j ˈɔ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
тăван	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa n
таран	tˈaɾan
СССР	sssr
вилнĕ	v ˈɪ l n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тивĕçлĕ	t ˈɪ v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
курнă	k ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
илме	ˈɪlmɛ
лайăх	l ˈa j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
сăмах	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x
çырса	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r s ˈa
тăваççĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
çулсенче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l s jˈæ n t͡ʃ jˈɛ
кăтартнă	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa r t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çухрăм	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ x r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
куçса	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) s ˈa
культура	kʊltˈuɾa
палăртнă	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чукун	t͡ʃˈukʊn
вăхăтĕнче	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
вĕренсе	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n s jˈɛ
ятарлă	jˈa t ˈa r l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
Çĕр	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r
Кăнтăр	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
кайран	kˈajran
совет	sˈovɛt
теме	tˈɛmɛ
йышăннă	j ˈɯ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
парать	pˈaɾat
тĕнче	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
тытăннă	t ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хутшăннă	x ˈʊ t ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çыхăннă	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ĕçне	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) n jˈɛ
Авалхи	avˈalxɪ
хушшинчи	xʊʃʃˈɪnt͡ʃɪ
АПШ	ˈapʃ
пуçлăхĕ	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хĕрринче	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r r ˈɪ n t͡ʃ jˈɛ
ятпа	jˈatpa
çавăнпа	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n p ˈa
Франци	frˈant͡sɪ
вăй	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j
пурĕ	p ˈʊ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çм	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) m
Департамент	dˌɛpartˈamɛnt
Мускав	mˈʊskav
чăвашла	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ l ˈa
Хĕрлĕ	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
каярах	kajˈaɾax
патша	pˈatʃa
хăвăрт	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t
Хула	xˈula
ашшĕ	ˈa ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
малтанхи	maltˈanxɪ
наци	nˈat͡sɪ
хушши	xˈʊʃʃɪ
вăхăт	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t
м	m
каялла	kajˈalla
литература	lˌitɛɾatˈuɾa
тăрăхĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ярса	jˈarsa
ĕмĕр	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
Пирĕн	p ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
кĕнеке	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n jˈɛ k jˈɛ
пĕтернĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пуçласа	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa s ˈa
пулман	pˈʊlman
тĕнчери	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ r ˈɪ
юлашки	julˈaʃkɪ
ача	ˈat͡ʃa
районĕ	r ˈa j ˈɔ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тава	tˈava
танк	tˈank
шурă	ʃ ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
шутланнă	ʃ ˈʊ t l ˈa n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ялĕнче	jˈa l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
иккĕмĕш	ˈɪ k k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
кăнтăр	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
тăвакан	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa k ˈa n
хатĕрленĕ	x ˈa t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чĕлхе	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x jˈɛ
шутра	ʃˈʊtra
