व	vˈə
पथक	pˈʌtʰək
उदय	ˈʊdˌɛj
सन	sˈʌn
नजर	nˈʌzəɾ
असत	ˈʌsət
घडत	ɡʰˈʌɖət
वन	vˈʌn
खळबळ	kʰˈʌɭəbˌəɭ
औषध	ˈa͡ʊʂədʰ
अडचण	ˈʌɖəcˌəɳ
घट	ɡʰˈʌʈ
एन	ˈeːn
वजन	vˈʌzən
हरकत	hˈʌɾəkˌət
आम	ˈaːm
चलन	cˈʌlən
आजवर	ˈaːzəvˌəɾ
इन	ˈɪn
on	(͡e͡n)ˈɒn(͡m͡r)
बचत	bˈʌcət
अ	ˈʌ
कलम	kˈʌləm
फलक	pʰˈʌlək
अजय	ˈʌɟˌɛj
एकर	ˈeːkəɾ
पद	pˈʌd
आठवण	ˈaːʈʰəvˌəɳ
जनरल	zˈʌnəɾˌəl
मजल	mˈʌzəl
दल	dˈʌl
अपयश	ˈʌpəjˌəʃ
एकदम	ˈeːkədˌəm
द	dˈə
सरळ	sˈʌɾəɭ
जग	ɟˈʌɡ
आगमन	ˈaːɡəmˌən
सवय	sˈʌvˌɛj
आवड	ˈaːvəɖ
चषक	cˈʌʂək
शतक	ʃˈʌtək
समज	sˈʌməz
जवळजवळ	zˈʌvəɭˌəzəvˌəɭ
बसत	bˈʌsət
ऐन	ˈa͡ɪn
सण	sˈʌɳ
कट	kˈʌʈ
जय	ɟˈʌɛj
धरण	dʰˈʌɾəɳ
बळ	bˈʌɭ
गरम	ɡˈʌɾəm
रस	ɾˈʌs
दगड	dˈʌɡəɖ
चळवळ	cˈʌɭəvˌəɭ
आदर	ˈaːdəɾ
भरत	bʰˈʌɾət
सर	sˈʌɾ
भवन	bʰˈʌvən
गत	ɡˈʌt
कळत	kˈʌɭət
फळ	pʰˈʌɭ
सवलत	sˈʌvəlˌət
अभय	ˈʌbʰˌɛj
बदलत	bˈʌdəlˌət
अपहरण	ˈʌpəhˌəɾəɳ
कल	kˈʌl
शपथ	ʃˈʌpətʰ
हसन	hˈʌsən
आयकर	ˈaːjəkˌəɾ
अट	ˈʌʈ
धनगर	dʰˈʌnəɡˌəɾ
आय	ˈaːj
ए	ˈeː
उभय	ˈʊbʰˌɛj
एच	ˈeːc
अल	ˈʌl
एअर	ˈeːəɾ
अहमद	ˈɛhəmˌəd
जलद	zˈʌləd
वळण	vˈʌɭəɳ
एल	ˈeːl
अमर	ˈʌməɾ
जगभर	zˈʌɡəbʰˌəɾ
धडपड	dʰˈʌɖəpˌəɖ
पदक	pˈʌdək
अवजड	ˈʌvəzˌəɖ
मदन	mˈʌdən
मयत	mˈʌjət
ब	bˈə
बनत	bˈʌnət
कसरत	kˈʌsəɾˌət
बबन	bˈʌbən
आवक	ˈaːvək
तळ	tˈʌɭ
समजत	sˈʌməzˌət
ई	ˈi
आपणच	ˈaːpəɳˌəc
जड	zˈʌɖ
जत	zˈʌt
ऑईल	ɔˈiːl
जतन	zˈʌtən
खबर	kʰˈʌbəɾ
दडपण	dˈʌɖəpˌəɳ
आणत	ˈaːɳət
ओपन	ˈoːpən
पळ	pˈʌɭ
भजन	bʰˈʌɟən
बळकट	bˈʌɭəkˌəʈ
ऍप	ˈɛp
December	(͡e͡n)dɪsˈɛmbə(͡m͡r)
दहशत	dˈʌhəʃˌət
बघत	bˈʌɡʰət
खत	kʰˈʌt
सरस	sˈʌɾəs
ऐवज	ˈa͡ɪvəz
अरब	ˈʌɾəb
छळ	cʰˈʌɭ
नवल	nˈʌvəl
जवळच	zˈʌvəɭˌəc
भगत	bʰˈʌɡət
धवन	dʰˈʌvən
धरत	dʰˈʌɾət
ओढ	ˈoːɖʰ
चव	cˈʌv
झळ	ɟʰˈʌɭ
आप	ˈaːp
धन	dʰˈʌn
जगत	zˈʌɡət
घसरत	ɡʰˈʌsəɾˌət
अथक	ˈʌtʰək
एकमत	ˈeːkəmˌət
पकड	pˈʌkəɖ
ऑफर	ˈɔpʰəɾ
जबर	zˈʌbəɾ
अन	ˈʌn
पडझड	pˈʌɖəɟʰˌəɖ
उचल	ˈʊcəl
मरण	mˈʌɾəɳ
सईद	səˈiːd
ऑन	ˈɔn
हतबल	hˈʌtəbˌəl
एकतर	ˈeːkətˌəɾ
जल	ɟˈʌl
आवडत	ˈaːvəɖˌət
पट	pˈʌʈ
छगन	cʰˈʌɡən
गणपत	ɡˈʌɳəpˌət
एमएच	ˌeːmˈeːc
क	kˈə
दरड	dˈʌɾəɖ
ऐकत	ˈa͡ɪkət
गवस	ɡˈʌvəs
चकमक	cˈʌkəmˌək
ओम	ˈoːm
खडतर	kʰˈʌɖətˌəɾ
गड	ɡˈʌɖ
भट	bʰˈʌʈ
अवयव	ˈʌvəjˌəv
उधळण	ˈʊdʰəɭˌəɳ
फलटण	pʰˈʌləʈˌəɳ
हळद	hˈʌɭəd
ऑल	ˈɔl
हळहळ	hˈʌɭəhˌəɭ
आíथक	ˈaː(͡e͡n)ˌa͡ɪɐkjˈuːt(͡m͡r)tʰˈʌk
जमत	zˈʌmət
तवडकर	tˈʌvəɖˌəkəɾ
पटकन	pˈʌʈəkˌən
एसएमएस	ˌeːsˌeːmˈeːs
अगर	ˈʌɡəɾ
अहमदनगर	ˈɛhəmˌədənˌəɡəɾ
नकळत	nˈʌkəɭˌət
करण	kˈʌɾəɳ
पवन	pˈʌvən
कप	kˈʌp
मगच	mˈʌɡəc
ऊन	ˈun
परतत	pˈʌɾətˌət
थर	tʰˈʌɾ
लगबग	lˈʌɡəbˌəɡ
और	ˈa͡ʊɾ
गडद	ɡˈʌɖəd
एफ	ˈeːpʰ
जखम	zˈʌkʰəm
आयएएस	ˌaːjeːˈeːs
झटपट	ɟʰˈʌʈəpˌəʈ
ओघ	ˈoːɡʰ
मडकईकर	mˌəɖəkˈiːkəɾ
कळस	kˈʌɭəs
गवत	ɡˈʌvət
रतन	ɾˈʌtən
चमक	cˈʌmək
दशरथ	dˈʌʃəɾˌətʰ
उमटत	ˈʊməʈˌət
झलक	ɟʰˈʌlək
गजर	ɡˈʌzəɾ
आड	ˈaːɖ
पणन	pˈʌɳən
उमर	ˈʊməɾ
सरसकट	sˈʌɾəsˌəkəʈ
ठळक	ʈʰˈʌɭək
शरण	ʃˈʌɾəɳ
सह	sˈʌh
दम	dˈʌm
पडळकर	pˈʌɖəɭˌəkəɾ
कथन	kˈʌtʰən
जनमत	zˈʌnəmˌət
उचलत	ˈʊcəlˌət
उडत	ˈʊɖət
शह	ʃˈʌh
हसत	hˈʌsət
रथ	ɾˈʌtʰ
Published	(͡e͡n)pˈʌblɪʃt(͡m͡r)
उतरत	ˈʊtəɾˌət
मठ	mˈʌʈʰ
एफआयआर	ˌeːpʰˌaːjˈaːɾ
अप	ˈʌp
बनवत	bˈʌnəvˌət
रयत	ɾˈʌjət
हरमलकर	hˈʌɾəmˌələkˌəɾ
ओरड	ˈoːɾəɖ
ड	ɖˈə
ठरवत	ʈʰˈʌɾəvˌət
अटळ	ˈʌʈəɭ
एकजण	ˈeːkəzˌəɳ
कस	kˈʌs
डबल	ɖˈʌbəl
परवडत	pˈʌɾəvˌəɖət
अवगत	ˈʌvəɡˌət
वळत	vˈʌɭət
आस	ˈaːs
ढग	ɖʰˈʌɡ
पत	pˈʌt
वसई	vˈʌsˌi
बगल	bˈʌɡəl
गडबड	ɡˈʌɖəbˌəɖ
ऑइल	ˈɔɪl
गरजच	ɡˈʌɾəzˌəc
जनधन	zˈʌnədʰˌən
सजग	sˈʌzəɡ
अकबर	ˈʌkəbˌəɾ
उप	ˈʊp
नळ	nˈʌɭ
पसरत	pˈʌsəɾˌət
आकलन	ˈaːkəlˌən
आयएनएस	ˌaːjˌeːnˈeːs
आशय	ˈaːʃˌɛj
आमरण	ˈaːməɾˌəɳ
कमल	kˈʌməl
पळत	pˈʌɭət
उपकरण	ˈʊpəkˌəɾəɳ
पटत	pˈʌʈət
ओक	ˈoːk
खळबळजनक	kʰˈʌɭəbˌəɭəzˌənək
बघ	bˈʌɡʰ
वचन	vˈʌcən
सकल	sˈʌkəl
अडसर	ˈʌɖəsˌəɾ
उपरकर	ˈʊpəɾˌəkəɾ
उठवत	ˈʊʈʰəvˌət
खलप	kʰˈʌləp
जप	zˈʌp
परखड	pˈʌɾəkʰˌəɖ
दहन	dˈʌhən
ईद	ˈiːd
प	pˈə
मगर	mˈʌɡəɾ
लस	lˈʌs
चटकन	cˈʌʈəkˌən
जन	zˈʌn
धडपडत	dʰˈʌɖəpˌəɖət
भय	bʰˈʌɛj
मटण	mˈʌʈəɳ
रडत	ɾˈʌɖət
सई	sˈʌi
सरकत	sˈʌɾəkˌət
आठवत	ˈaːʈʰəvˌət
वचक	vˈʌcək
सकस	sˈʌkəs
सबळ	sˈʌbəɭ
हडप	hˈʌɖəp
इज	ˈɪz
सहमत	sˈʌhəmˌət
आयएस	ˌaːjˈeːs
आवर	ˈaːvəɾ
लढवत	lˈʌɖʰəvˌət
गझल	ɡˈʌɟʰəl
नसत	nˈʌsət
मऊ	mˈʌu
हम	hˈʌm
जलतरण	zˈʌlətˌəɾəɳ
तळमळ	tˈʌɭəmˌəɭ
am	(͡e͡n)am(͡m͡r)
सफर	sˈʌpʰəɾ
First	(͡e͡n)fˈɜːst(͡m͡r)
आसन	ˈaːsən
आजच	ˈaːzəc
ओस	ˈoːs
आढळत	ˈaːɖʰəɭˌət
कवच	kˈʌvəc
वरचढ	vˈʌɾəcˌəɖʰ
सफल	sˈʌpʰəl
अजब	ˈʌzəb
ऋण	ɾˈʊɳ
सब	sˈʌb
हर	hˈʌɾ
हरभजन	hˈʌɾəbʰˌəzən
पठण	pˈʌʈʰəɳ
लय	lˈʌɛj
कसब	kˈʌsəb
भटकळ	bʰˈʌʈəkˌəɭ
अपर	ˈʌpəɾ
चणचण	cˈʌɳəcˌəɳ
तग	tˈʌɡ
ओमर	ˈoːməɾ
खडक	kʰˈʌɖək
डझन	ɖˈʌɟʰən
धड	dʰˈʌɖ
वणवण	vˈʌɳəvˌəɳ
ओढत	ˈoːɖʰət
कलर	kˈʌləɾ
कणखर	kˈʌɳəkʰˌəɾ
आझम	ˈaːɟʰəm
आव	ˈaːv
जपत	zˈʌpət
सखल	sˈʌkʰəl
आयएसआय	ˌaːjˌeːsˈaːj
कवठणकर	kˈʌvəʈʰˌəɳəkˌəɾ
आतच	ˈaːtəc
उस	ˈʊs
ओळखत	ˈoːɭəkʰˌət
रमण	ɾˈʌməɳ
सरबत	sˈʌɾəbˌət
हळदणकर	hˈʌɭədˌəɳəkˌəɾ
ऊत	ˈut
कसर	kˈʌsəɾ
धमक	dʰˈʌmək
अस	ˈʌs
आयशर	ˈaːjəʃˌəɾ
जनक	zˈʌnək
आखत	ˈaːkʰət
पदर	pˈʌdəɾ
वरवर	vˈʌɾəvˌəɾ
आ	ˈaː
उगम	ˈʊɡəm
कमळ	kˈʌməɭ
झगडत	ɟʰˈʌɡəɖˌət
धवल	dʰˈʌvəl
आचरण	ˈaːcəɾˌəɳ
नमन	nˈʌmən
उथळ	ˈʊtʰəɭ
च	cˈə
झळकत	ɟʰˈʌɭəkˌət
मदर	mˈʌdəɾ
अटल	ˈʌʈəl
आऊट	ˈaːuʈ
ऍपल	ˈɛpəl
गय	ɡˈʌɛj
ओ	ˈoː
छत	cʰˈʌt
शटर	ʃˈʌʈəɾ
कहर	kˈʌhəɾ
खरच	kʰˈʌɾəc
टच	ʈˈʌc
भडक	bʰˈʌɖək
उकल	ˈʊkəl
उपनगर	ˈʊpənˌəɡəɾ
एनआयए	ˌeːnˈaːjˌeː
नर	nˈʌɾ
सधन	sˈʌdʰən
उरत	ˈʊɾət
अमल	ˈʌməl
बसवर	bˈʌsəvˌəɾ
करतच	kˈʌɾətˌəc
धरपकड	dʰˈʌɾəpˌəkəɖ
फरफटत	pʰˈʌɾəpʰˌəʈət
बटण	bˈʌʈəɳ
हक	hˈʌk
कफ	kˈʌpʰ
जम	zˈʌm
फड	pʰˈʌɖ
वलय	vˈʌlˌɛj
त	tˈə
जयगड	ɟˈʌjəɡˌəɖ
नवस	nˈʌvəs
पर	pˈʌɾ
समई	sˈʌmˌi
अझहर	ˈʌɟʰəhˌəɾ
घटत	ɡʰˈʌʈət
बनकर	bˈʌnəkˌəɾ
म	mˈə
मठकर	mˈʌʈʰəkˌəɾ
मरगळ	mˈʌɾəɡˌəɭ
कळ	kˈʌɭ
रचत	ɾˈʌcət
झटत	ɟʰˈʌʈət
नट	nˈʌʈ
फ	pʰˈə
इ	ˈɪ
कम	kˈʌm
दळणवळण	dˈʌɭəɳˌəvəɭˌəɳ
नव	nˈʌv
मध	mˈʌdʰ
गवई	ɡˈʌvˌi
रईस	ɾəˈiːs
रसद	ɾˈʌsəd
अमजद	ˈʌməzˌəd
अलगद	ˈʌləɡˌəd
आलम	ˈaːləm
गगन	ɡˈʌɡən
परवड	pˈʌɾəvˌəɖ
इसम	ˈɪsəm
ओऊळकर	ˈoːuɭˌəkəɾ
कण	kˈʌɳ
कळप	kˈʌɭəp
खल	kʰˈʌl
घडवत	ɡʰˈʌɖəvˌət
झडप	ɟʰˈʌɖəp
डझनभर	ɖˈʌɟʰənˌəbʰəɾ
मकर	mˈʌkəɾ
सहल	sˈʌhəl
अलग	ˈʌləɡ
चढत	cˈʌɖʰət
चर	cˈʌɾ
जरब	zˈʌɾəb
भरच	bʰˈʌɾəc
मनन	mˈʌnən
उलगडत	ˈʊləɡˌəɖət
एमआयएम	ˌeːmˌaːjˈeːm
ओरडत	ˈoːɾəɖˌət
नयन	nˈʌjən
महमद	mˈʌhəmˌəd
सदन	sˈʌdən
उडवत	ˈʊɖəvˌət
दफन	dˈʌpʰən
इशरत	ˈɪʃəɾˌət
कलह	kˈʌləh
गण	ɡˈʌɳ
नमवत	nˈʌməvˌət
बचतगट	bˈʌcətˌəɡəʈ
ऍडम	ˈɛɖəm
कडवट	kˈʌɖəvˌəʈ
खप	kʰˈʌp
गळ	ɡˈʌɭ
जडणघडण	zˈʌɖəɳˌəɡʰəɖˌəɳ
बटन	bˈʌʈən
रजत	ɾˈʌzət
रबर	ɾˈʌbəɾ
असहय़	ˈʌsəhˌəj
धस	dʰˈʌs
हरवत	hˈʌɾəvˌət
आरएसएस	ˌaːɾˌeːsˈeːs
कदर	kˈʌdəɾ
गर	ɡˈʌɾ
फरफट	pʰˈʌɾəpʰˌəʈ
हरमल	hˈʌɾəmˌəl
अजमल	ˈʌzəmˌəl
अढळ	ˈʌɖʰəɭ
इट	ˈɪʈ
औरच	ˈa͡ʊɾəc
अडत	ˈʌɖət
खच	kʰˈʌc
ग	ɡˈə
पडवळ	pˈʌɖəvˌəɭ
वळवईकर	vˌəɭəvˈiːkəɾ
अटकळ	ˈʌʈəkˌəɭ
कलश	kˈʌləʃ
तळवलकर	tˈʌɭəvˌələkˌəɾ
बहर	bˈʌhəɾ
उरण	ˈʊɾəɳ
उल	ˈʊl
कलमठ	kˈʌləmˌəʈʰ
गरळ	ɡˈʌɾəɭ
चल	cˈʌl
दमट	dˈʌməʈ
भटकत	bʰˈʌʈəkˌət
लगत	lˈʌɡət
हब	hˈʌb
अफजल	ˈʌpʰəzˌəl
असद	ˈʌsəd
आयएसआयएस	ˌaːjˌeːsˌaːjˈeːs
ऍपवर	ˈɛpəvˌəɾ
कढईत	kˌəɖʰˈiːt
डच	ɖˈʌc
परळ	pˈʌɾəɭ
वध	vˈʌdʰ
अडकत	ˈʌɖəkˌət
इतपत	ˈɪtəpˌət
ईडन	ˈiːɖən
बटर	bˈʌʈəɾ
बफर	bˈʌpʰəɾ
समर	sˈʌməɾ
AT	(͡e͡n)at(͡m͡r)
IST	(͡e͡n)ˈɪst(͡m͡r)
अमन	ˈʌmən
एफएसआय	ˌeːpʰˌeːsˈaːj
चरण	t͡ʃˈʌɾəɳ
बडबड	bˈʌɖəbˌəɖ
मडकई	mˈʌɖəki
लखनऊ	lˈʌkʰənu
सबब	sˈʌbəb
s	(͡e͡n)ˈɛs(͡m͡r)
अजहर	ˈʌzəhˌəɾ
आयटम	ˈaːjəʈˌəm
आळस	ˈaːɭəs
उजळ	ˈʊzəɭ
ऐपत	ˈa͡ɪpət
ओठ	ˈoːʈʰ
ओळ	ˈoːɭ
पदपथ	pˈʌdəpˌətʰ
बसप	bˈʌsəp
VIDEO	(͡e͡n)vˈɪdɪə͡ʊ(͡m͡r)
एकल	ˈeːkəl
गन	ɡˈʌn
घरघर	ɡʰˈʌɾəɡʰˌəɾ
ण	ɳˈə
सल	sˈʌl
of	(͡e͡n)ɒv(͡m͡r)
आयएसओ	ˌaːjˈeːsˌoː
गमक	ɡˈʌmək
चक	cˈʌk
जलमय	zˈʌləmɛj
रन	ɾˈʌn
आवरण	ˈaːvəɾˌəɳ
नसíगक	nˈʌs(͡e͡n)ˌa͡ɪɐkjˈuːt(͡m͡r)ɡˈʌk
फणस	pʰˈʌɳəs
लखन	lˈʌkʰən
लगA	lˈʌɡ(͡e͡n)ˈe͡ɪ(͡m͡r)
AM	(͡e͡n)am(͡m͡r)
अफझल	ˈʌpʰəɟʰˌəl
असफल	ˈʌsəpʰˌəl
आण	ˈaːɳ
ऊब	ˈub
चटक	cˈʌʈək
नस	nˈʌs
मखर	mˈʌkʰəɾ
सरगर	sˈʌɾəɡˌəɾ
सवयच	sˈʌvəjˌəc
अवर	ˈʌvəɾ
उघडत	ˈʊɡʰəɖˌət
उन	ˈʊn
उलटत	ˈʊləʈˌət
एकदमच	ˈeːkədˌəməc
ओलसर	ˈoːləsˌəɾ
कटकट	kˈʌʈəkˌəʈ
खडपकर	kʰˈʌɖəpˌəkəɾ
गदग	ɡˈʌdəɡ
घनवट	ɡʰˈʌnəvˌəʈ
चपखल	cˈʌpəkʰˌəl
बटलर	bˈʌʈəlˌəɾ
सतरकर	sˈʌtəɾˌəkəɾ
हज	hˈʌz
हडपसर	hˈʌɖəpˌəsəɾ
खदखद	kʰˈʌdəkʰˌəd
खर	kʰˈʌɾ
ढकलत	ɖʰˈʌkəlˌət
तट	tˈʌʈ
यमगर	jˈʌməɡˌəɾ
षटक	ʂˈʌʈək
सढळ	sˈʌɖʰəɭ
and	(͡e͡n)and(͡m͡r)
अडगळ	ˈʌɖəɡˌəɭ
अब	ˈʌb
उठत	ˈʊʈʰət
कणबरकर	kˈʌɳəbˌəɾəkˌəɾ
गहन	ɡˈʌhən
घरत	ɡʰˈʌɾət
जळत	zˈʌɭət
बहल	bˈʌhəl
मरत	mˈʌɾət
शहरभर	ʃˈʌhəɾˌəbʰəɾ
November	(͡e͡n)nə͡ʊvˈɛmbə(͡m͡r)
अवचट	ˈʌvəcˌəʈ
आयएसएल	ˌaːjˌeːsˈeːl
उगवण	ˈʊɡəvˌəɳ
करमरकर	kˈʌɾəmˌəɾəkˌəɾ
चपळ	cˈʌpəɭ
तण	tˈʌɳ
तळकट	tˈʌɭəkˌəʈ
धग	dʰˈʌɡ
फसगत	pʰˈʌsəɡˌət
बन	bˈʌn
भरकटत	bʰˈʌɾəkˌəʈət
मदतच	mˈʌdətˌəc
रमत	ɾˈʌmət
शव	ʃˈʌv
सहजच	sˈʌhəzˌəc
Aikya	(͡e͡n)ˈe͡ɪkɪə(͡m͡r)
Dainik	(͡e͡n)dˈe͡ɪnɪk(͡m͡r)
अपयशच	ˈʌpəjˌəʃəc
आईच	aːˈiːc
इथवर	ˈɪtʰəvˌəɾ
घन	ɡʰˈʌn
बल	bˈʌl
सडक	sˈʌɖək
सनई	sˈʌnˌi
हभप	hˈʌbʰəp
आईस	aːˈiːs
ऋषभ	ɾˈʊʂəbʰ
चढवत	cˈʌɖʰəvˌət
पब	pˈʌb
यह	jˈʌh
एमएम	ˌeːmˈeːm
कटर	kˈʌʈəɾ
कळतच	kˈʌɭətˌəc
नथ	nˈʌtʰ
बहरत	bˈʌhəɾˌət
वडर	vˈʌɖəɾ
वरद	vˈʌɾəd
सम	sˈʌm
समरस	sˈʌməɾˌəs
हजरत	hˈʌzəɾˌət
हयगय	hˈʌjəɡɛj
ऍलन	ˈɛlən
एमए	ˈeːmˌeː
ऑनर	ˈɔnəɾ
गटर	ɡˈʌʈəɾ
तडक	tˈʌɖək
दगदग	dˈʌɡədˌəɡ
पकडत	pˈʌkəɖˌət
पडघम	pˈʌɖəɡʰˌəm
यस	jˈʌs
लकमल	lˈʌkəmˌəl
हलवत	hˈʌləvˌət
आयआयएम	ˌaːjˌaːjˈeːm
इयर	ˈɪjəɾ
उपजत	ˈʊpəzˌət
उपजतच	ˈʊpəzˌətəc
उसळ	ˈʊsəɭ
एचआर	ˌeːcˈaːɾ
एचएस	ˌeːcˈeːs
एमआरआय	ˌeːmˌaːɾˈaːj
पचन	pˈʌcən
पवई	pˈʌvˌi
बर	bˈʌɾ
बरकत	bˈʌɾəkˌət
सवड	sˈʌvəɖ
from	(͡e͡n)fɹɒm(͡m͡r)
आगरकर	ˈaːɡəɾˌəkəɾ
आडत	ˈaːɖət
आल	ˈaːl
आह	ˈaːh
इस	ˈɪs
एनएसए	ˌeːnˈeːsˌeː
तड	tˈʌɖ
बसव	bˈʌsəv
बसवत	bˈʌsəvˌət
लई	lˈʌi
शबनम	ʃˈʌbənˌəm
आकस	ˈaːkəs
एनएम	ˌeːnˈeːm
घडतच	ɡʰˈʌɖətˌəc
चमणकर	cˈʌməɳˌəkəɾ
तक	tˈʌk
तरल	tˈʌɾəl
धडधड	dʰˈʌɖədʰˌəɖ
भरड	bʰˈʌɾəɖ
मफलर	mˈʌpʰəlˌəɾ
मळमळ	mˈʌɭəmˌəɭ
रखडत	ɾˈʌkʰəɖˌət
वरक	vˈʌɾək
हडकर	hˈʌɖəkˌəɾ
हलत	hˈʌlət
अजगर	ˈʌzəɡˌəɾ
अडवत	ˈʌɖəvˌət
अवघडच	ˈʌvəɡʰˌəɖəc
आउट	ˈaːʊʈ
आयएफएस	ˌaːjˌeːpʰˈeːs
उबर	ˈʊbəɾ
एज	ˈeːz
एफएम	ˌeːpʰˈeːm
खदखदत	kʰˈʌdəkʰˌədət
गम	ɡˈʌm
गहजब	ɡˈʌhəzˌəb
चटई	cˈʌʈˌi
चमकत	cˈʌməkˌət
नग	nˈʌɡ
पपई	pˈʌpˌi
मल	mˈʌl
मळभ	mˈʌɭəbʰ
सनद	sˈʌnəd
सप	sˈʌp
सरळसरळ	sˈʌɾəɭˌəsəɾˌəɭ
सरवणकर	sˈʌɾəvˌəɳəkˌəɾ
to	(͡e͡n)tuː(͡m͡r)
अननस	ˈʌnənˌəs
आईवर	aːˈiːvəɾ
उखळ	ˈʊkʰəɭ
उर	ˈʊɾ
ऊर	ˈuɾ
ऊसदर	ˈusədˌəɾ
ओमन	ˈoːmən
ओळखच	ˈoːɭəkʰˌəc
कळकळ	kˈʌɭəkˌəɭ
कहरच	kˈʌhəɾˌəc
घई	ɡʰˈʌi
जरग	zˈʌɾəɡ
झडत	ɟʰˈʌɖət
तडफडत	tˈʌɖəpʰˌəɖət
तप	tˈʌp
तळघर	tˈʌɭəɡʰˌəɾ
दलदल	dˈʌlədˌəl
दशक	dˈʌʃək
नरवणकर	nˈʌɾəvˌəɳəkˌəɾ
बशर	bˈʌʃəɾ
मज	mˈʌz
लव	lˈʌv
वरण	vˈʌɾəɳ
शटल	ʃˈʌʈəl
ष	ʂˈə
सनम	sˈʌnəm
Satara	(͡e͡n)satˈɑːɹə(͡m͡r)
ahe	(͡e͡n)ˈɑːh(͡m͡r)
आजम	ˈaːzəm
आडम	ˈaːɖəm
उकळत	ˈʊkəɭˌət
उगवत	ˈʊɡəvˌət
उपकर	ˈʊpəkˌəɾ
उसळत	ˈʊsəɭˌət
एनएसएस	ˌeːnˌeːsˈeːs
कसत	kˈʌsət
खण	kʰˈʌɳ
जळजळ	zˈʌɭəzˌəɭ
दणकट	dˈʌɳəkˌəʈ
नगरकर	nˈʌɡəɾˌəkəɾ
नरम	nˈʌɾəm
नवलच	nˈʌvəlˌəc
भटकर	bʰˈʌʈəkˌəɾ
मलई	mˈʌlˌi
लहर	lˈʌhəɾ
वतन	vˈʌtən
अकमल	ˈʌkəmˌəl
आवरत	ˈaːvəɾˌət
उधळत	ˈʊdʰəɭˌət
उपवन	ˈʊpəvˌən
गजल	ɡˈʌzəl
गडप	ɡˈʌɖəp
घडण	ɡʰˈʌɖəɳ
जमवत	zˈʌməvˌət
जलचर	zˈʌləcˌəɾ
टमटम	ʈˈʌməʈˌəm
धगधगत	dʰˈʌɡədʰˌəɡət
नईम	nəˈiːm
बढत	bˈʌɖʰət
बरसत	bˈʌɾəsˌət
वहन	vˈʌhən
ह	hˈə
in	(͡e͡n)ˈɪn(͡m͡r)
is	(͡e͡n)ɪz(͡m͡r)
अझर	ˈʌɟʰəɾ
अपचन	ˈʌpəcˌən
आईर	aːˈiːɾ
आठजण	ˈaːʈʰəzˌəɳ
आशयघन	ˈaːʃəjˌəɡʰən
ऍट	ˈɛʈ
एफआयआय	ˌeːpʰˌaːjˈaːj
एमआरएफ	ˌeːmˌaːɾˈeːpʰ
करवत	kˈʌɾəvˌət
खटकत	kʰˈʌʈəkˌət
गज	ɡˈʌz
छळत	cʰˈʌɭət
जगच	zˈʌɡəc
जयकर	ɟˈʌjəkˌəɾ
परम	pˈʌɾəm
बट	bˈʌʈ
भडकमकर	bʰˈʌɖəkˌəməkˌəɾ
मटन	mˈʌʈən
मर	mˈʌɾ
लक	lˈʌk
हटत	hˈʌʈət
nahi	(͡e͡n)nˈɑːha͡ɪ(͡m͡r)
आरग	ˈaːɾəɡ
ईगल	ˈiːɡəl
