සහ	sˈɐhə
the	(͡e͡n)ðə(͡s͡i)
ඔබට	ˈobəʈə
නගරයට	nˈɐɡəɹˌəjəʈə
ඉහළම	ˈihəɭˌəmə
තද	tˈɐdə
යට	jˈɐʈə
මඟ	mˈɐᵑɡə
ණය	ɳˈɐjə
පහල	pˈɐhələ
යකඩ	jˈɐkəɖə
අණ	ˈɐɳə
තරගය	tˈɐɹəɡˌəjə
ඇද	ˈædə
හතර	hˈɐtəɹə
අයට	ˈɐjəʈə
රජයට	ɹˈɐd͡ʒəjˌəʈə
ශත	sˈɐtə
සතර	sˈɐtəɹə
පහ	pˈɐhə
බලතල	bˈɐlətˌələ
ඊළඟ	ˈiːɭəᵑɡə
තබන	tˈɐbənə
අතරම	ˈɐtəɹˌəmə
වසරකට	wˈɐsəɹˌəkəʈə
සමඟම	sˈɐməᵑɡˌəmə
සලකන	sˈɐləkˌənə
වදන	wˈɐdənə
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡s͡i)
පළල	pˈɐɭələ
කලහ	kˈɐləhə
චලන	t͡ʃˈɐlənə
දස	dˈɐsə
පටක	pˈɐʈəkə
මතක	mˈɐtəkə
ගඟ	ɡˈɐᵑɡə
ධන	dʰˈɐnə
බරපතල	bˈɐɹəpˌətələ
සටන	sˈɐʈənə
දශක	dˈɐsəkə
C	(͡e͡n)sˈiː(͡s͡i)
අට	ˈɐʈə
ඒකකය	ˈeːkəkˌəjə
ගමන	ɡˈɐmənə
A	(͡e͡n)ˈe͡ɪ(͡s͡i)
වට	wˈɐʈə
නතර	nˈɐtəɹə
වග	wˈɐɡə
ඈ	ˈæː
ආදරය	ˈaːdəɹˌəjə
සඳ	sˈɐⁿdə
තඹ	tˈɐᵐbə
හඬ	hˈɐɳɖə
එරට	ˈeɹəʈə
මඳ	mˈɐⁿdə
ආසන	ˈaːsənə
මනස	mˈɐnəsə
ආභරණ	ˈaːbʰəɹˌəɳə
කලද	kˈɐlədə
බලයට	bˈɐləjˌəʈə
ධනය	dʰˈɐnəjə
ඵල	pʰˈɐlə
රඟ	ɹˈɐᵑɡə
රස	ɹˈɐsə
ඉහළට	ˈihəɭˌəʈə
උණ	ˈuɳə
එකවර	ˈekəwˌəɹə
දරණ	dˈɐɹəɳə
යටතට	jˈɐʈətˌəʈə
අමතක	ˈɐmətˌəkə
ඉවතට	ˈiwətˌəʈə
තල	tˈɐlə
රටවලට	ɹˈɐʈəwˌələʈə
ඇට	ˈæʈə
යවන	jˈɐwənə
වයඹ	wˈɐjəᵐbə
IIIවන	(͡e͡n)ˈɪɪˌa͡ɪ(͡s͡i)wˈɐnə
එ	ˈe
කඩ	kˈɐɖə
in	(͡e͡n)ˈɪn(͡s͡i)
ධජය	dʰˈɐd͡ʒəjə
රටක	ɹˈɐʈəkə
Iවන	(͡e͡n)ˈa͡ɪ(͡s͡i)wˈɐnə
km	(͡e͡n)kˌe͡ɪˈɛm(͡s͡i)
අවයව	ˈɐwəjəw
ආනයනය	ˈaːnəjˌənəjə
වලද	wˈɐlədə
x	(͡e͡n)ˈɛks(͡s͡i)
ඔය	ˈojə
කවර	kˈɐwəɹə
රචනය	ɹˈɐt͡ʃənˌəjə
තරල	tˈɐɹələ
නරක	nˈɐɹəkə
පරම	pˈɐɹəmə
බස	bˈɐsə
IIවන	(͡e͡n)ˈɪa͡ɪ(͡s͡i)wˈɐnə
ගම	ɡˈɐmə
මඩ	mˈɐɖə
වර	wˈɐɹə
හය	hˈɐjə
ඇඳ	ˈæⁿdə
කරණ	kˈɐɹəɳə
දවස	dˈɐwəsə
නවතම	nˈɐwətˌəmə
තරඟය	tˈɐɹəᵑɡˌəjə
I	(͡e͡n)ˈa͡ɪ(͡s͡i)
ඊ	ˈiː
එකක	ˈekəkə
එකකට	ˈekəkˌəʈə
තරණය	tˈɐɹəɳˌəjə
රථය	ɹˈɐtʰəjə
වරද	wˈɐɹədə
සටහන	sˈɐʈəhˌənə
මතකය	mˈɐtəkˌəjə
මළ	mˈɐɭə
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡s͡i)
X	(͡e͡n)ˈɛks(͡s͡i)
ආයතනයට	ˈaːjətˌənəjˌəʈə
ඉඩකඩ	ˈiɖəkˌəɖə
ගණයට	ɡˈɐɳəjˌəʈə
පටල	pˈɐʈələ
අපනයන	ˈɐpənˌəjənə
ඒමට	ˈeːməʈə
භට	bʰˈɐʈə
ඇළ	ˈæɭə
කලකට	kˈɐləkˌəʈə
මතට	mˈɐtəʈə
ගණනකට	ɡˈɐɳənˌəkəʈə
m	(͡e͡n)ˈɛm(͡s͡i)
ඒම	ˈeːmə
ඕන	ˈoːnə
a	(͡e͡n)ˈe͡ɪ(͡s͡i)
කළද	kˈɐɭədə
තනන	tˈɐnənə
පණ	pˈɐɳə
පහතරට	pˈɐhətˌəɹəʈə
සකසන	sˈɐkəsˌənə
අපනයනය	ˈɐpənˌəjənˌəjə
අයන	ˈɐjənə
ජනනය	d͡ʒˈɐnənˌəjə
බඩ	bˈɐɖə
උපකරණය	ˈupəkˌəɹəɳˌəjə
මල	mˈɐlə
රටට	ɹˈɐʈəʈə
අගනගරය	ˈɐɡənˌəɡəɹˌəjə
ඇල	ˈælə
බවටද	bˈɐwəʈˌədə
කරණය	kˈɐɹəɳˌəjə
ගල	ɡˈɐlə
ගස	ɡˈɐsə
නවක	nˈɐwəkə
CPU	(͡e͡n)sˌiːpˌiːjˈuː(͡s͡i)
එවක	ˈewəkə
පමන	pˈɐmənə
ඇස	ˈæsə
උඩ	ˈuɖə
ජනක	d͡ʒˈɐnəkə
O	(͡e͡n)ˈə͡ʊ(͡s͡i)
අ	ˈɐ
උසම	ˈusəmə
පහළට	pˈɐhəɭˌəʈə
සමගය	sˈɐməɡˌəjə
ගව	ɡˈɐw
සරලව	sˈɐɹələw
කතරගම	kˈɐtəɹˌəɡəmə
ජනරජය	d͡ʒˈɐnəɹˌəd͡ʒəjə
පටය	pˈɐʈəjə
පථය	pˈɐtʰəjə
පරතරය	pˈɐɹətˌəɹəjə
පසට	pˈɐsəʈə
ඵලය	pʰˈɐləjə
මකර	mˈɐkəɹə
වලටද	wˈɐləʈˌədə
අටවන	ˈɐʈəwˌənə
පට	pˈɐʈə
ආවරණ	ˈaːwəɹˌəɳə
ඇසට	ˈæsəʈə
ඌව	ˈuːw
කථන	kˈɐtʰənə
RNA	(͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡s͡i)
ආචරණය	ˈaːt͡ʃəɹˌəɳəjə
තරමට	tˈɐɹəmˌəʈə
ලවණ	lˈɐwəɳə
වස	wˈɐsə
හතරකට	hˈɐtəɹˌəkəʈə
ජනගහණය	d͡ʒˈɐnəɡˌəhəɳˌəjə
උසට	ˈusəʈə
ගතවන	ɡˈɐtəwˌənə
දශකය	dˈɐsəkˌəjə
ධවල	dʰˈɐwələ
පත	pˈɐtə
ඵම	pʰˈɐmə
ඵලක	pʰˈɐləkə
රසය	ɹˈɐsəjə
අභය	ˈɐbʰəjə
ගණනක	ɡˈɐɳənˌəkə
නගරවල	nˈɐɡəɹˌəwələ
පර	pˈɐɹə
පවරන	pˈɐwəɹˌənə
B	(͡e͡n)bˈiː(͡s͡i)
de	(͡e͡n)də(͡s͡i)
අහස	ˈɐhəsə
තලය	tˈɐləjə
හරය	hˈɐɹəjə
for	(͡e͡n)fɔː(͡s͡i)
අරගල	ˈɐɹəɡˌələ
අරඹන	ˈɐɹəᵐbˌənə
අරය	ˈɐɹəjə
සමඟය	sˈɐməᵑɡˌəjə
T	(͡e͡n)tˈiː(͡s͡i)
අඳ	ˈɐⁿdə
අරගලය	ˈɐɹəɡˌələjə
අසබඩ	ˈɐsəbˌəɖə
තණ	tˈɐɳə
දහනය	dˈɐhənˌəjə
සහන	sˈɐhənə
අඩ	ˈɐɖə
ඔප	ˈopə
නල	nˈɐlə
මද	mˈɐdə
රජරට	ɹˈɐd͡ʒəɹˌəʈə
රළ	ɹˈɐɭə
ලප	lˈɐpə
සරළ	sˈɐɹəɭə
සවස	sˈɐwəsə
ඇණ	ˈæɳə
ඉරණම	ˈiɹəɳˌəmə
ඉවත	ˈiwətə
කන	kˈɐnə
දත	dˈɐtə
පථ	pˈɐtʰə
පරණ	pˈɐɹəɳə
මතයට	mˈɐtəjˌəʈə
යහපත	jˈɐhəpˌətə
වසරක	wˈɐsəɹˌəkə
සය	sˈɐjə
අඹ	ˈɐᵐbə
ඉහලම	ˈihəlˌəmə
එවන	ˈewənə
කථනය	kˈɐtʰənˌəjə
කඳ	kˈɐⁿdə
වද	wˈɐdə
වලය	wˈɐləjə
සරණ	sˈɐɹəɳə
ළඟ	ɭˈɐᵑɡə
HIV	(͡e͡n)ˌe͡ɪt͡ʃˌa͡ɪvˈiː(͡s͡i)
කම	kˈɐmə
සටනට	sˈɐʈənˌəʈə
සසඳන	sˈɐsəⁿdˌənə
සසර	sˈɐsəɹə
හදවත	hˈɐdəwˌətə
හයවන	hˈɐjəwˌənə
or	(͡e͡n)ɔː(͡s͡i)
අර	ˈɐɹə
එයද	ˈejədə
ගමට	ɡˈɐməʈə
ඵය	pʰˈɐjə
බණ	bˈɐɳə
ලදහ	lˈɐdəhə
වසරකම	wˈɐsəɹˌəkəmə
New	(͡e͡n)njˈuː(͡s͡i)
ඕ	ˈoː
ජනපදයට	d͡ʒˈɐnəpˌədəjˌəʈə
ජලජ	d͡ʒˈɐləd͡ʒə
පටලය	pˈɐʈəlˌəjə
සලසන	sˈɐləsˌənə
හර	hˈɐɹə
cm	(͡e͡n)sˌiːˈɛm(͡s͡i)
on	(͡e͡n)ˈɒn(͡s͡i)
to	(͡e͡n)tuː(͡s͡i)
අවසරය	ˈɐwəsˌəɹəjə
අසරණ	ˈɐsəɹˌəɳə
දහමට	dˈɐhəmˌəʈə
ඵලකය	pʰˈɐləkˌəjə
වසන	wˈɐsənə
හ	hˈə
F	(͡e͡n)ˈɛf(͡s͡i)
IFC	(͡e͡n)ˈɪfk(͡s͡i)
ආගමට	ˈaːɡəmˌəʈə
ආගමනය	ˈaːɡəmˌənəjə
ඍණ	ɹˈuɳə
කරල	kˈɐɹələ
ගහනය	ɡˈɐhənˌəjə
තදබල	tˈɐdəbˌələ
මවට	mˈɐwəʈə
සඳකඩ	sˈɐⁿdəkˌəɖə
Windows	(͡e͡n)wˈɪndə͡ʊz(͡s͡i)
World	(͡e͡n)wˈɜːld(͡s͡i)
ඌ	ˈuː
කය	kˈɐjə
කරනලද	kˈɐɹənˌələdə
කලට	kˈɐləʈə
ඝණ	ɡʰˈɐɳə
දල	dˈɐlə
බට	bˈɐʈə
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡s͡i)
John	(͡e͡n)d͡ʒˈɒn(͡s͡i)
අගයක	ˈɐɡəjˌəkə
ජලයට	d͡ʒˈɐləjˌəʈə
තවම	tˈɐwəmə
බසට	bˈɐsəʈə
රටකට	ɹˈɐʈəkˌəʈə
වඩ	wˈɐɖə
Microsoft	(͡e͡n)mˈa͡ɪkɹəsˌɒft(͡s͡i)
f	(͡e͡n)ˈɛf(͡s͡i)
mm	(͡e͡n)ˌɛmˈɛm(͡s͡i)
අපර	ˈɐpəɹə
අවනත	ˈɐwənˌətə
ඈතට	ˈæːtəʈə
කරදර	kˈɐɹədˌəɹə
තරමක	tˈɐɹəmˌəkə
තරලය	tˈɐɹəlˌəjə
දහ	dˈɐhə
පහලට	pˈɐhəlˌəʈə
මලල	mˈɐlələ
සහජ	sˈɐhəd͡ʒə
H	(͡e͡n)ˈe͡ɪt͡ʃ(͡s͡i)
III	(͡e͡n)ɹˌə͡ʊmən θɹˈiː(͡s͡i)
University	(͡e͡n)jˌuːnɪvˈɜːsɪti(͡s͡i)
V	(͡e͡n)vˈiː(͡s͡i)
n	(͡e͡n)ˈɛn(͡s͡i)
අතරද	ˈɐtəɹˌədə
ඇප	ˈæpə
ඉහලට	ˈihəlˌəʈə
ඊලඟ	ˈiːləᵑɡə
උපකරණවල	ˈupəkˌəɹəɳˌəwələ
ගහන	ɡˈɐhənə
ජනගහන	d͡ʒˈɐnəɡˌəhənə
පතනය	pˈɐtənˌəjə
වනය	wˈɐnəjə
වඳ	wˈɐⁿdə
වරකට	wˈɐɹəkˌəʈə
සමගද	sˈɐməɡˌədə
අතරය	ˈɐtəɹˌəjə
අදහසට	ˈɐdəhˌəsəʈə
අල	ˈɐlə
ආයතනයක	ˈaːjətˌənəjˌəkə
ජව	d͡ʒˈɐw
දසවන	dˈɐsəwˌənə
දහන	dˈɐhənə
භවය	bʰˈɐwəjə
රදළ	ɹˈɐdəɭə
සමනය	sˈɐmənˌəjə
සමයට	sˈɐməjˌəʈə
හතරවන	hˈɐtəɹˌəwənə
American	(͡e͡n)ɐmˈɛɹɪkən(͡s͡i)
English	(͡e͡n)ˈɪŋɡlɪʃ(͡s͡i)
IBM	(͡e͡n)ˌa͡ɪbˌiːˈɛm(͡s͡i)
අගයට	ˈɐɡəjˌəʈə
අවසන	ˈɐwəsˌənə
ආදර	ˈaːdəɹə
උයන	ˈujənə
කලනය	kˈɐlənˌəjə
ගහණය	ɡˈɐhəɳˌəjə
තරගයට	tˈɐɹəɡˌəjəʈə
නවවන	nˈɐwəwˌənə
පහකට	pˈɐhəkˌəʈə
ශතක	sˈɐtəkə
LTTE	(͡e͡n)ˌɛltˌiːtˌiːˈiː(͡s͡i)
අඩපණ	ˈɐɖəpˌəɳə
අසලට	ˈɐsəlˌəʈə
ආකර	ˈaːkəɹə
කලබල	kˈɐləbˌələ
ගණ	ɡˈɐɳə
ගමනට	ɡˈɐmənˌəʈə
ගසක	ɡˈɐsəkə
නමට	nˈɐməʈə
පමණය	pˈɐməɳˌəjə
වහලය	wˈɐhəlˌəjə
Ceylon	(͡e͡n)se͡ɪlˈɒn(͡s͡i)
HD	(͡e͡n)ˌe͡ɪt͡ʃdˈiː(͡s͡i)
system	(͡e͡n)sˈɪstəm(͡s͡i)
අසළ	ˈɐsəɭə
ආචරණ	ˈaːt͡ʃəɹˌəɳə
ආනය	ˈaːnəjə
ඇසළ	ˈæsəɭə
ඊළග	ˈiːɭəɡə
උදය	ˈudəjə
එකග	ˈekəɡə
එකළ	ˈekəɭə
එයටම	ˈejəʈˌəmə
ඝනකම	ɡʰˈɐnəkˌəmə
තලයට	tˈɐləjˌəʈə
නගරයක	nˈɐɡəɹˌəjəkə
මසකට	mˈɐsəkˌəʈə
වදය	wˈɐdəjə
හත	hˈɐtə
BBC	(͡e͡n)bˌiːbˌiːsˈiː(͡s͡i)
IP	(͡e͡n)ˌa͡ɪpˈiː(͡s͡i)
R	(͡e͡n)ˈɑː(͡s͡i)
S	(͡e͡n)ˈɛs(͡s͡i)
ගලන	ɡˈɐlənə
තර	tˈɐɹə
නගන	nˈɐɡənə
පහණ	pˈɐhəɳə
වනගත	wˈɐnəɡˌətə
වරදට	wˈɐɹədˌəʈə
වසභ	wˈɐsəbʰə
ෂටල	ʃˈɐʈələ
හයකට	hˈɐjəkˌəʈə
ISBN	(͡e͡n)ˌa͡ɪˌɛsbˌiːˈɛn(͡s͡i)
K	(͡e͡n)kˈe͡ɪ(͡s͡i)
M	(͡e͡n)ˈɛm(͡s͡i)
PC	(͡e͡n)pˌiːsˈiː(͡s͡i)
Sri	(͡e͡n)sɹˌiː(͡s͡i)
White	(͡e͡n)wˈa͡ɪt(͡s͡i)
අව	ˈɐw
අසන	ˈɐsənə
ආයතනවල	ˈaːjətˌənəwˌələ
කපන	kˈɐpənə
කවච	kˈɐwət͡ʃə
දඩයම	dˈɐɖəjˌəmə
න	nˈə
නවය	nˈɐwəjə
බහ	bˈɐhə
මය	mˈɐjə
රචක	ɹˈɐt͡ʃəkə
සතරවන	sˈɐtəɹˌəwənə
සරලම	sˈɐɹəlˌəmə
හඩ	hˈɐɖə
DVD	(͡e͡n)dˌiːvˌiːdˈiː(͡s͡i)
E	(͡e͡n)ˈiː(͡s͡i)
Red	(͡e͡n)ɹˈɛd(͡s͡i)
Star	(͡e͡n)stˈɑː(͡s͡i)
අටකට	ˈɐʈəkˌəʈə
අදහන	ˈɐdəhˌənə
අවකලනය	ˈɐwəkˌələnˌəjə
ඇන	ˈænə
ඊතල	ˈiːtələ
උපදවන	ˈupədˌəwənə
ඒකල	ˈeːkələ
තනවන	tˈɐnəwˌənə
තහනම	tˈɐhənˌəmə
දනවන	dˈɐnəwˌənə
පණත	pˈɐɳətə
බඳ	bˈɐⁿdə
භව	bʰˈɐw
මදය	mˈɐdəjə
ලඟ	lˈɐᵑɡə
වචනයට	wˈɐt͡ʃənˌəjəʈə
සඵල	sˈɐpʰələ
හතකට	hˈɐtəkˌəʈə
Apple	(͡e͡n)ˈapə͡l(͡s͡i)
ISO	(͡e͡n)ˈa͡ɪzə͡ʊ(͡s͡i)
Linux	(͡e͡n)lˈɪnʌks(͡s͡i)
P	(͡e͡n)pˈiː(͡s͡i)
PHP	(͡e͡n)pˌiːˌe͡ɪt͡ʃpˈiː(͡s͡i)
අපගමනය	ˈɐpəɡˌəmənˌəjə
අරගලයට	ˈɐɹəɡˌələjˌəʈə
ඉර	ˈiɹə
උපයන	ˈupəjˌənə
කටහඬ	kˈɐʈəhˌəɳɖə
කසල	kˈɐsələ
ණයට	ɳˈɐjəʈə
තමනට	tˈɐmənˌəʈə
දඩ	dˈɐɖə
පමණම	pˈɐməɳˌəmə
මනසට	mˈɐnəsˌəʈə
ෂටර	ʃˈɐʈəɹə
හඟවන	hˈɐᵑɡəwˌənə
ABC	(͡e͡n)ˌe͡ɪbˌiːsˈiː(͡s͡i)
Black	(͡e͡n)blˈak(͡s͡i)
CH	(͡e͡n)sˌiːˈe͡ɪt͡ʃ(͡s͡i)
General	(͡e͡n)d͡ʒˈɛnəɹə͡l(͡s͡i)
Intel	(͡e͡n)ˈɪntɛl(͡s͡i)
MBC	(͡e͡n)ˌɛmbˌiːsˈiː(͡s͡i)
OS	(͡e͡n)ˌə͡ʊˈɛs(͡s͡i)
Press	(͡e͡n)pɹˈɛs(͡s͡i)
US	(͡e͡n)jˌuːˈɛs(͡s͡i)
අදවන	ˈɐdəwˌənə
ආනයන	ˈaːnəjˌənə
ආසවනය	ˈaːsəwˌənəjə
ඊළඟට	ˈiːɭəᵑɡˌəʈə
උඩවලව	ˈuɖəwˌələw
ඖෂධය	ˈa͡ʊʃədʰˌəjə
කරනය	kˈɐɹənˌəjə
කලල	kˈɐlələ
ගඟට	ɡˈɐᵑɡəʈə
ගසන	ɡˈɐsənə
ජනරජ	d͡ʒˈɐnəɹˌəd͡ʒə
දහය	dˈɐhəjə
පහන	pˈɐhənə
පළවන	pˈɐɭəwˌənə
රඟහල	ɹˈɐᵑɡəhˌələ
වමට	wˈɐməʈə
වසම	wˈɐsəmə
සමබර	sˈɐməbˌəɹə
හතරක	hˈɐtəɹˌəkə
D	(͡e͡n)dˈiː(͡s͡i)
ETA	(͡e͡n)ˈiːtə(͡s͡i)
NTSC	(͡e͡n)ˌɛntˌiːˌɛssˈiː(͡s͡i)
Thomas	(͡e͡n)tˈɒməs(͡s͡i)
i	(͡e͡n)ˈa͡ɪ(͡s͡i)
kg	(͡e͡n)kˌe͡ɪd͡ʒˈiː(͡s͡i)
with	(͡e͡n)wɪð(͡s͡i)
අචල	ˈɐt͡ʃələ
අවතල	ˈɐwətˌələ
අහසට	ˈɐhəsˌəʈə
ඉඩම	ˈiɖəmə
උඩට	ˈuɖəʈə
උදරය	ˈudəɹˌəjə
උභය	ˈubʰəjə
කලක	kˈɐləkə
ගග	ɡˈɐɡə
ජනමත	d͡ʒˈɐnəmˌətə
ජවය	d͡ʒˈɐwəjə
තරඟයට	tˈɐɹəᵑɡˌəjəʈə
දඟ	dˈɐᵑɡə
දහසය	dˈɐhəsˌəjə
පමණට	pˈɐməɳˌəʈə
පය	pˈɐjə
පහතට	pˈɐhətˌəʈə
මඡ	mˈɐt͡ʃhə
මතකයට	mˈɐtəkˌəjəʈə
මතද	mˈɐtədə
මහණ	mˈɐhəɳə
මළල	mˈɐɭələ
වයසට	wˈɐjəsˌəʈə
වහර	wˈɐhəɹə
සඳකඩපහණ	sˈɐⁿdəkˌəɖəpˌəhəɳə
CIA	(͡e͡n)sˌiːˌa͡ɪˈe͡ɪ(͡s͡i)
Card	(͡e͡n)kˈɑːd(͡s͡i)
HPV	(͡e͡n)ˌe͡ɪt͡ʃpˌiːvˈiː(͡s͡i)
History	(͡e͡n)hˈɪstəɹi(͡s͡i)
IVවන	(͡e͡n)ˈɪv(͡s͡i)wˈɐnə
Lanka	(͡e͡n)lˈaŋkə(͡s͡i)
MPAA	(͡e͡n)ˌɛmpˌiːˌe͡ɪˈe͡ɪ(͡s͡i)
Puigdemont	(͡e͡n)pjˈuːɪɡdˌɛmɒnt(͡s͡i)
SI	(͡e͡n)sˈiː(͡s͡i)
TV	(͡e͡n)tˌiːvˈiː(͡s͡i)
Venera	(͡e͡n)vˈɛnəɹə(͡s͡i)
Y	(͡e͡n)wˈa͡ɪ(͡s͡i)
by	(͡e͡n)bˈa͡ɪ(͡s͡i)
c	(͡e͡n)sˈiː(͡s͡i)
p	(͡e͡n)pˈiː(͡s͡i)
r	(͡e͡n)ˈɑː(͡s͡i)
අතරමග	ˈɐtəɹˌəməɡə
අදද	ˈɐdədə
අවයවය	ˈɐwəjˌəwəjə
ආර	ˈaːɹə
ඌන	ˈuːnə
ඕවර	ˈoːwəɹə
කටක	kˈɐʈəkə
කළල	kˈɐɭələ
ගණනට	ɡˈɐɳənˌəʈə
ගතව	ɡˈɐtəw
ජනගහණ	d͡ʒˈɐnəɡˌəhəɳə
ජනන	d͡ʒˈɐnənə
දර	dˈɐɹə
නළ	nˈɐɭə
පමණද	pˈɐməɳˌədə
පහක	pˈɐhəkə
රජකම	ɹˈɐd͡ʒəkˌəmə
වටයට	wˈɐʈəjˌəʈə
සමරන	sˈɐməɹˌənə
සයවන	sˈɐjəwˌənə
හද	hˈɐdə
CO	(͡e͡n)kˈə͡ʊ(͡s͡i)
Classic	(͡e͡n)klˈasɪk(͡s͡i)
David	(͡e͡n)dˈe͡ɪvɪd(͡s͡i)
Mac	(͡e͡n)mˈak(͡s͡i)
N	(͡e͡n)ˈɛn(͡s͡i)
PAL	(͡e͡n)pˈal(͡s͡i)
System	(͡e͡n)sˈɪstəm(͡s͡i)
Technology	(͡e͡n)tɛknˈɒləd͡ʒi(͡s͡i)
War	(͡e͡n)wˈɔː(͡s͡i)
York	(͡e͡n)jˈɔːk(͡s͡i)
Z	(͡e͡n)zˈɛd(͡s͡i)
pH	(͡e͡n)pˈiː ˈe͡ɪt͡ʃ(͡s͡i)
t	(͡e͡n)tˈiː(͡s͡i)
අදට	ˈɐdəʈə
අධර	ˈɐdʰəɹə
අබ	ˈɐbə
අයද	ˈɐjədə
ආලය	ˈaːləjə
ආසනය	ˈaːsənˌəjə
ආසවන	ˈaːsəwˌənə
ඇඟ	ˈæᵑɡə
ඇඟට	ˈæᵑɡəʈə
ඉහළය	ˈihəɭˌəjə
උරණ	ˈuɹəɳə
එයම	ˈejəmə
තදබදය	tˈɐdəbˌədəjə
