આ	ˈaː
Samachar	(͡e͡n)sˈamɐt͡ʃˌɑː(͡g͡u)
સન	sˈʌn
શરદ	ʃəɾˈʌd
ઓલ	ˈoːl
July	(͡e͡n)d͡ʒuːlˈa͡ɪ(͡g͡u)
Page	(͡e͡n)pˈe͡ɪd͡ʒ(͡g͡u)
સઘન	səɡʰˈʌn
અછત	ʌcʰˈʌt
આઈ	ˈaːi
સખત	səkʰˈʌt
ચલણ	cəlˈʌɳ
Best	(͡e͡n)bˈɛst(͡g͡u)
in	(͡e͡n)ˈɪn(͡g͡u)
અજય	ʌɟˈʌɛj
આપ	ˈaːp
જર	ɟˈʌɾ
ઋણ	ɾˈuɳ
જજ	ɟˈʌɟ
આગમન	ˌaːɡəmˈʌn
સબ	sˈʌb
November	(͡e͡n)nə͡ʊvˈɛmbə(͡g͡u)
October	(͡e͡n)ɒktˈə͡ʊbə(͡g͡u)
ડર	ɖˈʌɾ
વચન	wəcˈʌn
Gujarati	(͡e͡n)ɡˌʊd͡ʒɐɹˈɑːti(͡g͡u)
મતલબ	mˌətəlˈʌb
ઓપન	oːpˈʌn
ઇન	ˈɪn
ઓન	ˈoːn
પવન	pəʋˈʌn
September	(͡e͡n)sɛptˈɛmbə(͡g͡u)
ભરત	bʰəɾˈʌt
હળવદ	hˌər.əʋˈʌd
ગટર	ɡˈʌʈəɾ
ખતમ	kʰətˈʌm
શખસ	ʃəkʰˈʌs
ય	jˈə
સમજ	səmˈʌɟ
કમ	kˈʌm
of	(͡e͡n)ɒv(͡g͡u)
પડતર	pəɖˈʌtəɾ
ફકત	pʰəkˈʌt
કવર	kˈʌʋəɾ
ડબલ	ɖəbˈʌl
ઑફ	ˈɔpʰ
કલર	kˈʌləɾ
હલ	hˈʌl
ICICI	(͡e͡n)ˈa͡ɪsɪsˌa͡ɪ(͡g͡u)
કદ	kˈʌd
ઓઈલ	oːˈiːl
ભવન	bʰəʋˈʌn
મથક	mətʰˈʌk
શપથ	ʃəpˈʌtʰ
CEO	(͡e͡n)sˌiːˌiːˈə͡ʊ(͡g͡u)
એફ	ˈeːpʰ
સફર	sˈʌpʰəɾ
કરણ	kəɾˈʌɳ
જળ	ɟˈʌr.
શરત	ʃəɾˈʌt
જસદણ	ɟˌəsədˈʌɳ
ફરક	pʰəɾˈʌk
મફત	məpʰˈʌt
Mumbai	(͡e͡n)mʊmbˈa͡ɪ(͡g͡u)
દમણ	dəmˈʌɳ
ફળ	pʰˈʌr.
લડત	ləɖˈʌt
August	(͡e͡n)ˈɔːɡəst(͡g͡u)
જન	ɟˈʌn
ધન	dʰˈʌn
નરમ	nəɾˈʌm
લવ	lˈʌʋ
સહમત	sˌəhəmˈʌt
એકર	ˈeːkəɾ
ઝડપ	zəɖˈʌp
સગવડ	sˌəɡəʋˈʌɖ
રમઝટ	ɾˌəməzˈʌʈ
HDFC	(͡e͡n)ˌe͡ɪt͡ʃdˌiːˌɛfsˈiː(͡g͡u)
ડઝન	ɖəzˈʌn
રતન	ɾətˈʌn
BSE	(͡e͡n)bˌiːˌɛsˈiː(͡g͡u)
GST	(͡e͡n)d͡ʒˌiːˌɛstˈiː(͡g͡u)
એપલ	eːpˈʌl
સરસ	səɾˈʌs
June	(͡e͡n)d͡ʒˈuːn(͡g͡u)
નકલ	nəkˈʌl
હદ	hˈʌd
You	(͡e͡n)juː(͡g͡u)
એકપણ	ˌeːkəpˈʌɳ
જણ	ɟˈʌɳ
IPO	(͡e͡n)ˈa͡ɪpə͡ʊ(͡g͡u)
યશ	jˈəʃ
Gujarat	(͡e͡n)ɡˌʊd͡ʒɐɹˈat(͡g͡u)
can	(͡e͡n)kˈan(͡g͡u)
them	(͡e͡n)ðˌɛm(͡g͡u)
ઈન	ˈiːn
ઝરમર	zəɾˈʌməɾ
here	(͡e͡n)hˈi͡ə(͡g͡u)
remove	(͡e͡n)ɹɪmˈuːv(͡g͡u)
એકમ	eːkˈʌm
ઓવર	ˈoːʋəɾ
ઘટ	ɡʰˈʌʈ
દમ	dˈʌm
અલ	ˈʌl
એજ	ˈeːɟ
જઈએ	ɟəˈiːeː
અપ	ˈʌp
અવરજવર	ˌʌʋəɾəɟˈʌʋəɾ
વતન	wətˈʌn
PHOTOS	(͡e͡n)fˈə͡ʊtə͡ʊz(͡g͡u)
US	(͡e͡n)jˌuːˈɛs(͡g͡u)
લઈએ	ləˈiːeː
ATM	(͡e͡n)ˌe͡ɪtˌiːˈɛm(͡g͡u)
કમર	kˈʌməɾ
જગત	ɟəɡˈʌt
અટક	ʌʈˈʌk
દળ	dˈʌr.
Jio	(͡e͡n)d͡ʒˈiːə͡ʊ(͡g͡u)
એકટ	eːkˈʌʈ
ભજન	bʰəɟˈʌn
વડપણ	wˌəɖəpˈʌɳ
શરમજનક	ʃˌəɾəmˌəɟənˈʌk
મરણ	məɾˈʌɳ
હળદર	hər.ˈʌdəɾ
IT	(͡e͡n)ˌa͡ɪtˈiː(͡g͡u)
હક	hˈʌk
PSU	(͡e͡n)pˌiːˌɛsjˈuː(͡g͡u)
ઠપ	ʈʰˈʌp
શકય	ʃəkˈʌɛj
અમર	ˈʌməɾ
કરજણ	kˌəɾəɟˈʌɳ
એડ	ˈeːɖ
સહજ	səhˈʌɟ
કટ	kˈʌʈ
દઈ	dˈʌi
સરભર	səɾˈʌbʰəɾ
કસરત	kˌəsəɾˈʌt
વય	wˈʌɛj
એસએમએસ	ˌeːsˌeːmˈeːs
બળ	bˈʌr.
શઆત	ʃəˈaːt
વરસ	wəɾˈʌs
અવસર	ʌʋˈʌsəɾ
આદત	aːdˈʌt
ધરખમ	dʰˌəɾəkʰˈʌm
FMCG	(͡e͡n)ˌɛfˌɛmsˌiːd͡ʒˈiː(͡g͡u)
Leading	(͡e͡n)lˈiːdɪŋ(͡g͡u)
The	(͡e͡n)ðə(͡g͡u)
Times	(͡e͡n)tˈa͡ɪmz(͡g͡u)
દઇ	dˈʌɪ
દઈએ	dəˈiːeː
પ	pˈə
સમજણ	sˌəməɟˈʌɳ
Vadodara	(͡e͡n)vˌadədˈɑːɹə(͡g͡u)
અજગર	ʌɟˈʌɡəɾ
કવચ	kəʋˈʌc
RBI	(͡e͡n)ˌɑːbˌiːˈa͡ɪ(͡g͡u)
Top	(͡e͡n)tˈɒp(͡g͡u)
ઇઝ	ˈɪz
મગજ	məɡˈʌɟ
સહ	sˈʌh
સરપ	səɾˈʌp
India	(͡e͡n)ˈɪndiə(͡g͡u)
NewspaperLast	(͡e͡n)njˈuːzpe͡ɪpə lˈast(͡g͡u)
ઉદય	ʊdˈʌɛj
ઔર	ˈa͡ʊɾ
કદમ	kədˈʌm
વધઘટ	wˌədʰəɡʰˈʌʈ
ઝલક	zəlˈʌk
ર	ɾˈə
શરમ	ʃəɾˈʌm
SBI	(͡e͡n)ˌɛsbˌiːˈa͡ɪ(͡g͡u)
ઓપ	ˈoːp
કલબ	kəlˈʌb
અપર	ˈʌpəɾ
દહન	dəhˈʌn
NRI	(͡e͡n)ˌɛnˌɑːɹˈa͡ɪ(͡g͡u)
પરમ	pəɾˈʌm
MD	(͡e͡n)ˌɛmdˈiː(͡g͡u)
કપલ	kəpˈʌl
અ	ˈʌ
ઓ	ˈoː
હર	hˈʌɾ
ભયજનક	bʰˌəjəɟənˈʌk
રથ	ɾˈʌtʰ
City	(͡e͡n)sˈɪti(͡g͡u)
આયકર	aːjˈəkəɾ
જનધન	ɟˌənədʰˈʌn
લસણ	ləsˈʌɳ
સબબ	səbˈʌb
અનવર	ʌnˈʌʋəɾ
ટ	ʈˈə
નવતર	nəʋˈʌtəɾ
કમલ	kəmˈʌl
તલ	tˈʌl
ધવન	dʰəʋˈʌn
બરફ	bəɾˈʌpʰ
લ	lˈə
હમ	hˈʌm
અઢળક	ˌʌɖʰər.ˈʌk
અણનમ	ˌʌɳənˈʌm
રમતગમત	ɾˌəmətˌəɡəmˈʌt
અડચણ	ˌʌɖəcˈʌɳ
આદર	ˈaːdəɾ
ઓમ	ˈoːm
ક	kˈə
યસ	jˈəs
સડક	səɖˈʌk
Town	(͡e͡n)tˈa͡ʊn(͡g͡u)
દઇએ	dəˈɪeː
રણ	ɾˈʌɳ
હબ	hˈʌb
ગઢ	ɡˈʌɖʰ
બટન	bəʈˈʌn
દશ	dˈʌʃ
ભગત	bʰəɡˈʌt
Photos	(͡e͡n)fˈə͡ʊtə͡ʊz(͡g͡u)
ઉમર	ˈʊməɾ
હજ	hˈʌɟ
Address	(͡e͡n)ɐdɹˈɛs(͡g͡u)
અરબ	ʌɾˈʌb
ઈ	ˈi
એકશન	ˌeːkəʃˈʌn
ઓર	ˈoːɾ
છત	cʰˈʌt
IPL	(͡e͡n)ˈɪpə͡l(͡g͡u)
જઇએ	ɟəˈɪeː
પકડ	pəkˈʌɖ
મહતમ	mˌəhətˈʌm
PE	(͡e͡n)pˈiː(͡g͡u)
આરબ	aːɾˈʌb
આશય	aːʃˈʌɛj
એનઆરઆઇ	ˌeːnˌaːɾˈaːɪ
ચમક	cəmˈʌk
લખપત	lˌəkʰəpˈʌt
હરકત	hˌəɾəkˈʌt
PM	(͡e͡n)pˌiːˈɛm(͡g͡u)
આઈએસ	ˌaːiˈeːs
ટચ	ʈˈʌc
દ	dˈə
રપ	ɾˈʌp
IIT	(͡e͡n)ˈɪɪt(͡g͡u)
અસલ	ʌsˈʌl
આઇઆઇએમ	ˌaːɪˌaːɪˈeːm
તપ	tˈʌp
અભણ	ʌbʰˈʌɳ
આરએસએસ	ˌaːɾˌeːsˈeːs
ફટ	pʰˈʌʈ
WWE	(͡e͡n)dˌʌbə͡ljˌuːdˌʌbə͡ljˌuːˈiː(͡g͡u)
જતન	ɟətˈʌn
વહન	wəhˈʌn
હકમ	həkˈʌm
અવર	ˈʌʋəɾ
આવડત	ˌaːʋəɖˈʌt
એએસઆઈ	ˌeːeːsˈaːi
ખનન	kʰənˈʌn
મગર	mˈʌɡəɾ
FDI	(͡e͡n)ˌɛfdˌiːˈa͡ɪ(͡g͡u)
SBIએ	(͡e͡n)ˌɛsbˌiːˈa͡ɪ(͡g͡u)ˈeː
ધવલ	dʰəʋˈʌl
મધ	mˈʌdʰ
રબર	ɾˈʌbəɾ
લઇએ	ləˈɪeː
લખતર	ləkʰˈʌtəɾ
શટર	ʃˈʌʈəɾ
News	(͡e͡n)njˈuːz(͡g͡u)
RBIએ	(͡e͡n)ˌɑːbˌiːˈa͡ɪ(͡g͡u)ˈeː
and	(͡e͡n)and(͡g͡u)
iPhone	(͡e͡n)ˈa͡ɪ fˈə͡ʊn(͡g͡u)
અટલ	ʌʈˈʌl
ઇ	ˈɪ
ઈઝ	ˈiːz
ગરબડ	ɡˌəɾəbˈʌɖ
જનક	ɟənˈʌk
નફરત	nˌəpʰəɾˈʌt
ભરચક	bʰˌəɾəcˈʌk
મણ	mˈʌɳ
સદન	sədˈʌn
હરભજન	hˌəɾəbʰəɟˈʌn
NPA	(͡e͡n)ˌɛnpˌiːˈe͡ɪ(͡g͡u)
અણ	ˈʌɳ
ઉપ	ˈʊp
એચઆર	eːcˈʌaːɾ
જનમત	ɟˌənəmˈʌt
બરતરફ	bˌəɾətəɾˈʌpʰ
મ	mˈə
A	(͡e͡n)ˈe͡ɪ(͡g͡u)
TCS	(͡e͡n)tˌiːsˌiːˈɛs(͡g͡u)
આઇટમ	ˌaːɪʈˈʌm
કદર	kˈʌdəɾ
ભણતર	bʰəɳˈʌtəɾ
અભય	ʌbʰˈʌɛj
આભ	ˈaːbʰ
એફઆઇઆઇ	ˌeːpʰˌaːɪˈaːɪ
એમએસ	ˌeːmˈeːs
ઓપનર	oːpˈʌnəɾ
કઠણ	kəʈʰˈʌɳ
થર	tʰˈʌɾ
દમન	dəmˈʌn
હસન	həsˈʌn
IND	(͡e͡n)ˈɪnd(͡g͡u)
WhatsApp	(͡e͡n)wˌɒts ˈap(͡g͡u)
અગર	ˈʌɡəɾ
અહમદ	ˌɛhəmˈʌd
ગન	ɡˈʌn
બગવદર	bˌəɡəʋˈʌdəɾ
બહ	bˈʌh
મહમદ	mˌəhəmˈʌd
વણકર	wəɳˈʌkəɾ
વધ	wˈʌdʰ
Divya	(͡e͡n)dˈɪvɪə(͡g͡u)
Rajkot	(͡e͡n)ɹˈɑːd͡ʒkɒt(͡g͡u)
Surat	(͡e͡n)sˈuːɹət(͡g͡u)
અન	ˈʌn
આવ	ˈaːʋ
એકજ	eːkˈʌɟ
ઘટક	ɡʰəʈˈʌk
ટનલ	ʈənˈʌl
યર	jˈəɾ
વદ	wˈʌd
સઈદ	səˈiːd
ONGC	(͡e͡n)ˈɒŋk(͡g͡u)
આઈએએસ	ˌaːieːˈeːs
આફત	aːpʰˈʌt
એફઆઇઆર	ˌeːpʰaːˈɪaːɾ
એફઆઈઆર	ˌeːpʰaːˈiːaːɾ
કણ	kˈʌɳ
ઘડતર	ɡʰəɖˈʌtəɾ
પગભર	pəɡˈʌbʰəɾ
રØ	ɾˈə(͡e͡n)ˌə͡ʊstɹˈə͡ʊk(͡g͡u)
શક	ʃˈʌk
હલચલ	hˌələcˈʌl
Kutch	(͡e͡n)kˈʌt͡ʃ(͡g͡u)
અકબર	ʌkˈʌbəɾ
એનઆરઆઈ	ˌeːnˌaːɾˈaːi
દખલ	dəkʰˈʌl
નમન	nəmˈʌn
રફ	ɾˈʌpʰ
સદર	sˈʌdəɾ
Funny	(͡e͡n)fˈʌni(͡g͡u)
અઝહર	ʌzˈʌhəɾ
અફઝલ	ˌʌpʰəzˈʌl
આઈટમ	ˌaːiʈˈʌm
આળસ	aːr.ˈʌs
ઇનકમ	ˌɪnəkˈʌm
ઈદ	ˈiːd
ઓટ	ˈoːʈ
કઇક	kəˈɪk
ગગન	ɡəɡˈʌn
છગન	cʰəɡˈʌn
ઠગ	ʈʰˈʌɡ
બ	bˈə
ભરતનગર	bʰˌəɾətənˈʌɡəɾ
મધર	mˈʌdʰəɾ
Bhavnagar	(͡e͡n)bˈavnəɡə(͡g͡u)
અજબ	ʌɟˈʌb
આઝમ	aːzˈʌm
ઓલઆઉટ	ˌoːlaːˈʊʈ
કબર	kˈʌbəɾ
ઠકકર	ʈʰəkˈʌkəɾ
નકકર	nəkˈʌkəɾ
લખમણ	lˌəkʰəmˈʌɳ
Ahmedabad	(͡e͡n)ˈɑːmɪdɐbˌad(͡g͡u)
અજમલ	ˌʌɟəmˈʌl
અમન	ʌmˈʌn
ઉધરસ	ˌʊdʰəɾˈʌs
કફ	kˈʌpʰ
ગઝલ	ɡəzˈʌl
ચલ	cˈʌl
જશ	ɟˈʌʃ
સમથળ	sˌəmətʰˈʌr.
સરકસ	sˌəɾəkˈʌs
IDBI	(͡e͡n)ˈɪdba͡ɪ(͡g͡u)
PoIs	(͡e͡n)pˈə͡ʊ ɪz(͡g͡u)
ગહન	ɡəhˈʌn
જવર	ɟˈʌʋəɾ
ત	tˈə
દઇશ	dəˈɪʃ
નયન	nəjˈən
પતન	pətˈʌn
મદન	mədˈʌn
હડપ	həɖˈʌp
AajKaal	(͡e͡n)ˈɑːd͡ʒ kˈɑːl(͡g͡u)
BMW	(͡e͡n)bˌiːˌɛmdˈʌbə͡ljˌuː(͡g͡u)
Bhuj	(͡e͡n)bˈʌd͡ʒ(͡g͡u)
CM	(͡e͡n)sˌiːˈɛm(͡g͡u)
LIFE	(͡e͡n)lˈa͡ɪf(͡g͡u)
Porbandar	(͡e͡n)pˈɔːbɐndˌɑː(͡g͡u)
TIPS	(͡e͡n)tˈɪps(͡g͡u)
kutch	(͡e͡n)kˈʌt͡ʃ(͡g͡u)
ઉબર	ˈʊbəɾ
એફએસએલ	ˌeːpʰˌeːsˈeːl
એમએમ	ˌeːmˈeːm
કળશ	kər.ˈʌʃ
ગમત	ɡəmˈʌt
જઈશ	ɟəˈiːʃ
વશ	wˈʌʃ
હવન	həʋˈʌn
ITC	(͡e͡n)ˈɪtk(͡g͡u)
JSW	(͡e͡n)d͡ʒˌe͡ɪˌɛsdˈʌbə͡ljˌuː(͡g͡u)
PAK	(͡e͡n)pˈak(͡g͡u)
Saurashtra	(͡e͡n)sˈɔːɹaʃtɹə(͡g͡u)
અડગ	ʌɖˈʌɡ
અનશન	ˌʌnəʃˈʌn
અલબત	ˌʌləbˈʌt
આઇએએસ	ˌaːɪeːˈeːs
એએસઆઇ	ˌeːeːsˈaːɪ
એરબસ	ˌeːɾəbˈʌs
કતલ	kətˈʌl
કરશન	kˌəɾəʃˈʌn
ચરણ	cəɾˈʌɳ
નળ	nˈʌr.
પડ	pˈʌɖ
બટર	bˈʌʈəɾ
મબલખ	mˌəbəlˈʌkʰ
રકઝક	ɾˌəkəzˈʌk
સઇદ	səˈɪd
સબળ	səbˈʌr.
Bhaskar	(͡e͡n)bˈaskɑː(͡g͡u)
EBITDA	(͡e͡n)ˈɛbɪtdə(͡g͡u)
LIC	(͡e͡n)lˈɪk(͡g͡u)
MCLR	(͡e͡n)ˌɛmsˌiːˌɛlˈɑː(͡g͡u)
Paytm	(͡e͡n)pˈe͡ɪtəm(͡g͡u)
the	(͡e͡n)ðə(͡g͡u)
અગવડ	ˌʌɡəʋˈʌɖ
આઇશર	aːˈɪʃəɾ
આચરણ	ˌaːcəɾˈʌɳ
ઇસમ	ɪsˈʌm
ઉતર	ˈʊtəɾ
એનએસઇ	ˌeːneːsˈʌɪ
ઓનર	ˈoːnəɾ
કમળ	kəmˈʌr.
ઘન	ɡʰˈʌn
જબ	ɟˈʌb
ડચ	ɖˈʌc
બફર	bˈʌpʰəɾ
ભર	bʰˈʌɾ
રજત	ɾəɟˈʌt
રટણ	ɾəʈˈʌɳ
લખનઉ	lˌəkʰənˈʌʊ
વર	wˈʌɾ
EMI	(͡e͡n)ˈɛmi(͡g͡u)
ETએ	(͡e͡n)ˈɛt(͡g͡u)ˈeː
ઊપજ	upˈʌɟ
ગજબ	ɡəɟˈʌb
જડ	ɟˈʌɖ
ટકકર	ʈəkˈʌkəɾ
દઈશ	dəˈiːʃ
પળ	pˈʌr.
ફºટ	phˈə(͡e͡n)ˈə͡ʊ(͡g͡u)ʈˈə
સમર	sˈʌməɾ
BCCI	(͡e͡n)bˌiːsˌiːsˌiːˈa͡ɪ(͡g͡u)
Bulletin	(͡e͡n)bˈʊlɪtˌɪn(͡g͡u)
DLF	(͡e͡n)dˌiːˌɛlˈɛf(͡g͡u)
ETF	(͡e͡n)ˈɛtf(͡g͡u)
HCL	(͡e͡n)ˌe͡ɪt͡ʃsˌiːˈɛl(͡g͡u)
HR	(͡e͡n)ˌe͡ɪt͡ʃˈɑː(͡g͡u)
In	(͡e͡n)ˈɪn(͡g͡u)
SMS	(͡e͡n)ˌɛsˌɛmˈɛs(͡g͡u)
Viral	(͡e͡n)vˈa͡ɪ͡əɹə͡l(͡g͡u)
અનહદ	ˌʌnəhˈʌd
અબ	ˈʌb
એકસ	eːkˈʌs
ઓઢવ	oːɖʰˈʌʋ
ઓમર	ˈoːməɾ
ગમ	ɡˈʌm
દફન	dəpʰˈʌn
નખ	nˈʌkʰ
મકર	mˈʌkəɾ
લઈશ	ləˈiːʃ
શકત	ʃəkˈʌt
સભર	sˈʌbʰəɾ
CEOs	(͡e͡n)sɪˈə͡ʊz(͡g͡u)
GDP	(͡e͡n)d͡ʒˌiːdˌiːpˈiː(͡g͡u)
ITR	(͡e͡n)ˈɪtə(͡g͡u)
LED	(͡e͡n)lˈɛd(͡g͡u)
NZ	(͡e͡n)ˌɛnzˈɛd(͡g͡u)
PAN	(͡e͡n)pˈan(͡g͡u)
RIL	(͡e͡n)ɹˈɪl(͡g͡u)
UK	(͡e͡n)jˌuːkˈe͡ɪ(͡g͡u)
V	(͡e͡n)vˈiː(͡g͡u)
આડઅસર	ˌaːɖəˈʌsəɾ
ઉવ	ˈʊʋ
ઊણપ	uɳˈʌp
એકતરફ	ˌeːkətəɾˈʌpʰ
એટ	ˈeːʈ
ખખડધજ	kʰˌəkʰəɖədʰˈʌɟ
ગરજ	ɡəɾˈʌɟ
ગરદન	ɡˌəɾədˈʌn
ઝફર	zˈʌpʰəɾ
નઇ	nˈʌɪ
બળદ	bər.ˈʌd
ભચ	bʰˈʌc
મગ	mˈʌɡ
મગન	məɡˈʌn
લય	lˈʌɛj
વણ	wˈʌɳ
શબ	ʃˈʌb
સ	sˈə
સફરજન	sˌəpʰəɾəɟˈʌn
હકક	həkˈʌk
હઝરત	hˌəzəɾˈʌt
AC	(͡e͡n)ˌe͡ɪsˈiː(͡g͡u)
CBI	(͡e͡n)sˌiːbˌiːˈa͡ɪ(͡g͡u)
CLSAએ	(͡e͡n)sˌiːˌɛlˌɛsˈe͡ɪ(͡g͡u)ˈeː
ICCએ	(͡e͡n)ˈa͡ɪk(͡g͡u)ˈeː
MSCI	(͡e͡n)ˈɛmskˈa͡ɪ(͡g͡u)
અધધ	ʌdʰˈʌdʰ
આસન	aːsˈʌn
ઉસ	ˈʊs
ઔષધ	a͡ʊʂˈʌdʰ
કસર	kˈʌsəɾ
જલદ	ɟəlˈʌd
તટ	tˈʌʈ
ફન	pʰˈʌn
રમણ	ɾəmˈʌɳ
લત	lˈʌt
શરબત	ʃˌəɾəbˈʌt
હમસફર	hˌəməsˈʌpʰəɾ
હરણ	həɾˈʌɳ
CBIએ	(͡e͡n)sˌiːbˌiːˈa͡ɪ(͡g͡u)ˈeː
CPI	(͡e͡n)sˌiːpˌiːˈa͡ɪ(͡g͡u)
ICC	(͡e͡n)ˈa͡ɪk(͡g͡u)
LYF	(͡e͡n)lˈɪf(͡g͡u)
Of	(͡e͡n)ɒv(͡g͡u)
SUV	(͡e͡n)ˌɛsjˌuːvˈiː(͡g͡u)
Tips	(͡e͡n)tˈɪps(͡g͡u)
Video	(͡e͡n)vˈɪdɪə͡ʊ(͡g͡u)
World	(͡e͡n)wˈɜːld(͡g͡u)
અધધધ	ˌʌdʰədʰˈʌdʰ
અશરફ	ˌʌʃəɾˈʌpʰ
અસü	ˈʌs(͡e͡n)jˌuːˈʊmla͡ʊt(͡g͡u)
અસલમ	ˌʌsəlˈʌm
આવરણ	ˌaːʋəɾˈʌɳ
એનઆઈએ	ˌeːnaːˈiːeː
એલન	eːlˈʌn
કણક	kəɳˈʌk
કનડગત	kˌənəɖəɡˈʌt
કરતબ	kˌəɾətˈʌb
કળ	kˈʌr.
ચળવળ	cˌər.əʋˈʌr.
તરસ	təɾˈʌs
થઈએ	tʰəˈiːeː
નમક	nəmˈʌk
નર	nˈʌɾ
બન	bˈʌn
મટન	məʈˈʌn
શરણ	ʃəɾˈʌɳ
હત	hˈʌt
DLFએ	(͡e͡n)dˌiːˌɛlˈɛf(͡g͡u)ˈeː
FD	(͡e͡n)ˌɛfdˈiː(͡g͡u)
Food	(͡e͡n)fˈuːd(͡g͡u)
IDS	(͡e͡n)a͡ɪdˈiːz(͡g͡u)
Life	(͡e͡n)lˈa͡ɪf(͡g͡u)
NBFC	(͡e͡n)ˌɛnbˌiːˌɛfsˈiː(͡g͡u)
NRIs	(͡e͡n)ˈɛnɹˈɪs(͡g͡u)
અધતન	ˌʌdʰətˈʌn
આઈશર	aːˈiːʃəɾ
એફઆઇઆઇએ	ˌeːpʰˌaːɪaːˈɪeː
એસએમઇ	ˌeːseːmˈʌɪ
એહમદ	ˌeːhəmˈʌd
ચણ	cˈʌɳ
જઇશ	ɟəˈɪʃ
નસ	nˈʌs
બદતર	bədˈʌtəɾ
મદદપ	mˌədədˈʌp
રર	ɾˈʌɾ
લગત	ləɡˈʌt
વઘઇ	wəɡʰˈʌɪ
સમરસ	sˌəməɾˈʌs
FACTS	(͡e͡n)fˈakts(͡g͡u)
Fake	(͡e͡n)fˈe͡ɪk(͡g͡u)
HNIs	(͡e͡n)ˈe͡ɪt͡ʃnˈɪs(͡g͡u)
IOC	(͡e͡n)ˈa͡ɪɒk(͡g͡u)
ISIS	(͡e͡n)ˈa͡ɪsɪs(͡g͡u)
LTE	(͡e͡n)ˌɛltˌiːˈiː(͡g͡u)
UPA	(͡e͡n)jˈuːpə(͡g͡u)
iOS	(͡e͡n)ˈa͡ɪ ˌə͡ʊˈɛs(͡g͡u)
અવઢવ	ˌʌʋəɖʰˈʌʋ
આઇએસઆઇ	ˌaːɪˌeːsˈaːɪ
આરએફઓ	ˌaːɾeːpʰˈʌoː
આરએસ	ˌaːɾˈeːs
એશ	ˈeːʃ
ઐયર	ˈa͡ɪjɾ
ઓરલ	oːɾˈʌl
ખમણ	kʰəmˈʌɳ
ધરમ	dʰəɾˈʌm
પપ	pˈʌp
પરબત	pˌəɾəbˈʌt
