ਇਸ	ˈɪs
ਭਗਤ	pˈʌ+ɡət
ਰਸਮ	ɾˈʌsəm
ਈ	ˈi
ਉਪਰ	ˈʊpəɾ
ਸੜਕ	sˈʌr.ək
ਸਫਲ	sˈʌpʰəl
ਔਸਤ	ˈɔsət
ਬਣਤਰ	bˈʌɳətˌəɾ
ਉਪਲਬਧ	ˈʊpəlˌəbədʰ
ਕਣ	kˈʌɳ
ਲਏ	lˈʌe
ਮਰਦ	mˈʌɾəd
ਐਕਟ	ˈɛkəʈ
ਐਲਬਮ	ˈɛləbˌəm
ਵਕਤ	vˈʌkət
ਅਰਬ	ˈʌɾəb
ਆਰ	ˈaɾ
ਯਤਨ	jˈʌtən
ਆਰਟਸ	ˈaɾəʈˌəs
ਅਸਰ	ˈʌsəɾ
ਗਰਮ	ɡˈʌɾəm
ਏਅਰ	ˈeˌəɾ
ਸਮਝਣ	sˈʌməɟʰˌəɳ
ਦਲ	dˈʌl
ਐਲ	ˈɛl
of	(͡e͡n)ɒv(͡p͡a)
ਲਗਪਗ	lˈʌɡəpˌəɡ
ਆਪਸ	ˈapəs
ਪਦ	pˈʌd
ਕਤਲ	kˈʌtəl
ਵਰਤ	vˈʌɾət
ਆਰਟ	ˈaɾəʈ
ਜਗਤ	ɟˈʌɡət
ਇਨ	ˈɪn
ਕਰਣ	kˈʌɾəɳ
ਪਰਤ	pˈʌɾət
ਉਪ	ˈʊp
ਫਲ	pʰˈʌl
ਦਰਦ	dˈʌɾəd
ਮਰ	mˈʌɾ
ਚਰਚ	cˈʌɾəc
ਸਰ	sˈʌɾ
ਆਲ	ˈal
ਬਦਲਣ	bˈʌdəlˌəɳ
ਜਨ	ɟˈʌn
ਮਰਨ	mˈʌɾən
ਇਸਲਈ	ˈɪsəlˌəi
ਸਰਲ	sˈʌɾəl
ਪਈ	pˈʌi
ਏਕੜ	ˈekər.
ਕਰਮ	kˈʌɾəm
ਅਸਫਲ	ˈʌsəpʰˌəl
ਡਰ	ɖˈʌɾ
ਅਕਬਰ	ˈʌkəbˌəɾ
ਐਚ	ˈɛc
ਕਦਮ	kˈʌdəm
ਓ	ˈo
ਤਰਕ	tˈʌɾək
ਅਮਲ	ˈʌməl
ਗਵਰਨਰ	ɡˈʌvəɾˌənəɾ
ਮਤ	mˈʌt
ਮਕਸਦ	mˈʌkəsˌəd
ਫਸਲ	pʰˈʌsəl
ਆਸ	ˈas
ਜਲ	ɟˈʌl
ਤਦ	tˈʌd
ਨਕਲ	nˈʌkəl
ਬਲ	bˈʌl
ਪਰਸਪਰ	pˈʌɾəsˌəpəɾ
ਭਵਨ	pˈʌ+vən
ਸਲਤਨਤ	sˈʌlətˌənət
ਦਫਤਰ	dˈʌpʰətˌəɾ
ਗਲਤ	ɡˈʌlət
ਪਏ	pˈʌe
ਲੜਨ	lˈʌr.ən
ਗਠਨ	ɡˈʌʈʰən
ਤਰਲ	tˈʌɾəl
ਨਰ	nˈʌɾ
ਰਤਨ	ɾˈʌtən
ਕਵਰ	kˈʌvəɾ
ਤਟ	tˈʌʈ
ਫਰਕ	pʰˈʌɾək
ਓਪਨ	ˈopən
ਆਰਥਕ	ˈaɾətʰˌək
ਗਰਭ	ɡˈʌɾəbʰ
ਗਲਪ	ɡˈʌləp
ਵਰਤਣ	vˈʌɾətˌəɳ
ਕਥਨ	kˈʌtʰən
ਕਣਕ	kˈʌɳək
ਵਧਣ	vˈʌdʰəɳ
ਅਲ	ˈʌl
ਈਸਟ	ˈisəʈ
ਸਖਤ	sˈʌkʰət
ਐਫ	ˈɛpʰ
ਨਸਲ	nˈʌsəl
ਅਰਜਨ	ˈʌɾəɟˌən
ਬਚਣ	bˈʌcəɳ
The	(͡e͡n)ðə(͡p͡a)
ਅਮਰ	ˈʌməɾ
ਬਚ	bˈʌc
ਓਹ	ˈoh
ਔਰ	ˈɔɾ
A	(͡e͡n)ˈe͡ɪ(͡p͡a)
ਸਕਣ	sˈʌkəɳ
ਭਰਤ	pˈʌ+ɾət
ਸਰਵ	sˈʌɾəv
ਘਟ	kˈʌ+ʈ
ਤਲ	tˈʌl
and	(͡e͡n)and(͡p͡a)
ਲਖਨਊ	lˈʌkʰənˌəu
ਫੜ	pʰˈʌr.
ਧਨ	tˈʌ+n
ਹਰਮਨ	hˈʌɾəmˌən
ਪਦਮ	pˈʌdəm
ਦਸਤਖਤ	dˈʌsətˌəkʰət
ਵਲ	vˈʌl
ਆਮਦਨ	ˈamədˌən
ਅਫਸਰ	ˈʌpʰəsˌəɾ
ਉਪਕਰਣ	ˈʊpəkˌəɾəɳ
ਰਕਮ	ɾˈʌkəm
ਵਨ	vˈʌn
ਕਮਲ	kˈʌməl
the	(͡e͡n)ðə(͡p͡a)
ਲਵ	lˈʌv
ਆਤਮ	ˈatəm
ਏਕ	ˈek
ਐਡਵਰਡ	ˈɛɖəvˌəɾəɖ
ਪਤਨ	pˈʌtən
ਆਨ	ˈan
ਖਪਤ	kʰˈʌpət
ਝਲਕ	cˈʌ+lək
ਹਸਨ	hˈʌsən
ਕਰਨਲ	kˈʌɾənˌəl
ਬਸ	bˈʌs
ਭਰਨ	pˈʌ+ɾən
ਟਨ	ʈˈʌn
ਮਗਰ	mˈʌɡəɾ
ਪਲ	pˈʌl
ਏਸ	ˈes
ਸਫਰ	sˈʌpʰəɾ
ਖਰਚ	kʰˈʌɾəc
ਜਰਨਲ	ɟˈʌɾənˌəl
ਕਬਰ	kˈʌbəɾ
ਚਰਨ	cˈʌɾən
in	(͡e͡n)ˈɪn(͡p͡a)
ਉਪਜ	ˈʊpəɟ
ਔਸਤਨ	ˈɔsətˌən
ਦਰਅਸਲ	dˈʌɾəˌəsəl
ਹਮ	hˈʌm
ਬਚਨ	bˈʌcən
ਅਰਧ	ˈʌɾədʰ
ਉਤਸਵ	ˈʊtəsˌəv
ਅਮਨ	ˈʌmən
ਕਲਚਰ	kˈʌləcˌəɾ
ਐਕਸ	ˈɛkəs
ਨਰਮ	nˈʌɾəm
ਬਜਟ	bˈʌɟəʈ
ਓਸ	ˈos
ਸਮਰਥਕ	sˈʌməɾˌətʰək
ਸਤਹ	sˈʌtəh
ਅ	ˈɛrʌ
ਈਅਰ	ˈiˌəɾ
ਰਲ	ɾˈʌl
ਸਰਵਰ	sˈʌɾəvˌəɾ
ਚਲ	cˈʌl
ਦਰਜਨ	dˈʌɾəɟˌən
ਐਕਟਰ	ˈɛkəʈˌəɾ
ਸਬ	sˈʌb
ਨ	nˈʌ
ਸਮਰ	sˈʌməɾ
ਉਤਰ	ˈʊtəɾ
ਐਲਨ	ˈɛlən
ਪਰਖ	pˈʌɾəkʰ
ਪਰਬਤ	pˈʌɾəbˌət
ਕਦਰ	kˈʌdəɾ
ਮਹਲ	mˈʌhəl
ਮਲਵਈ	mˈʌləvˌəi
ਵਰਣ	vˈʌɾəɳ
ਵਸ	vˈʌs
ਦਮ	dˈʌm
ਪਰਤਣ	pˈʌɾətˌəɳ
ਫੜਨ	pʰˈʌr.ən
ਲੜ	lˈʌr.
de	(͡e͡n)də(͡p͡a)
ਆਰਡਰ	ˈaɾəɖˌəɾ
ਭਜਨ	pˈʌ+ɟən
x	(͡e͡n)ˈɛks(͡p͡a)
ਵਰਨਣ	vˈʌɾənˌəɳ
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡p͡a)
ਸਰਬ	sˈʌɾəb
ਸਵਰਗ	sˈʌvəɾˌəɡ
to	(͡e͡n)tuː(͡p͡a)
B	(͡e͡n)bˈiː(͡p͡a)
ਗਰਦਨ	ɡˈʌɾədˌən
ਨਵ	nˈʌv
ਐਪ	ˈɛp
ਵਰਜਨ	vˈʌɾəɟˌən
ਅਤਰ	ˈʌtəɾ
ਔਫ	ˈɔpʰ
ਸਦਨ	sˈʌdən
ਸਰਕਟ	sˈʌɾəkˌəʈ
ਸਵਰ	sˈʌvəɾ
ਛਪ	cʰˈʌp
ਤਰਫ	tˈʌɾəpʰ
ਵਰਕਰ	vˈʌɾəkˌəɾ
ਆਮਦ	ˈaməd
ਗਲ	ɡˈʌl
ਪਕੜ	pˈʌkər.
ਵਰ	vˈʌɾ
ਸਮਰਪਣ	sˈʌməɾˌəpəɳ
ਕਲਮ	kˈʌləm
ਜ	ɟˈʌ
ਜਲਦ	ɟˈʌləd
ਦਰਖਤ	dˈʌɾəkʰˌət
C	(͡e͡n)sˈiː(͡p͡a)
I	(͡e͡n)ˈa͡ɪ(͡p͡a)
V	(͡e͡n)vˈiː(͡p͡a)
ਆਲਮ	ˈaləm
ਐਟਮ	ˈɛʈəm
ਭਰਮ	pˈʌ+ɾəm
ਸਮਰਪਤ	sˈʌməɾˌəpət
ਲਗ	lˈʌɡ
ਜਤਨ	ɟˈʌtən
ਬਰਤਨ	bˈʌɾətˌən
ਸ	sˈʌ
ਓਵਰ	ˈovəɾ
ਚਮਕ	cˈʌmək
ਬਰਫ	bˈʌɾəpʰ
ਚਲਣ	cˈʌləɳ
ਫਰਮ	pʰˈʌɾəm
ਸਰਜਨ	sˈʌɾəɟˌən
ਹਰਭਜਨ	hˈʌɾəbʰˌəɟən
ਅਸਮਰਥ	ˈʌsəmˌəɾətʰ
ਆਗਮਨ	ˈaɡəmˌən
ਆਰਥਰ	ˈaɾətʰˌəɾ
ਵਰਡ	vˈʌɾəɖ
ਦਖਲ	dˈʌkʰəl
ਪਰਮ	pˈʌɾəm
ਖਬਰ	kʰˈʌbəɾ
ਪਰਗਟ	pˈʌɾəɡˌəʈ
ਰਮਨ	ɾˈʌmən
ਲਓ	lˈʌo
H	(͡e͡n)ˈe͡ɪt͡ʃ(͡p͡a)
ਡਬਲ	ɖˈʌbəl
ਆਇਰਨ	ˈaɪɾˌən
ਕਥਕ	kˈʌtʰək
ਸਤਰ	sˈʌtəɾ
O	(͡e͡n)ˈə͡ʊ(͡p͡a)
ਦਮਨ	dˈʌmən
a	(͡e͡n)ˈe͡ɪ(͡p͡a)
ਤਖਤ	tˈʌkʰət
ਕਲਰਕ	kˈʌləɾˌək
ਗਊ	ɡˈʌu
ਰਨ	ɾˈʌn
ਐਪਲ	ˈɛpəl
ਔਲਖ	ˈɔləkʰ
ਗਰਲ	ɡˈʌɾəl
ਆਊਟ	aˈuʈ
ਇਬਨ	ˈɪbən
ਕਲਰ	kˈʌləɾ
ਛਪਣ	cʰˈʌpəɳ
ਬਨਣ	bˈʌnəɳ
ਮਦਨ	mˈʌdən
ਪਰਲ	pˈʌɾəl
ਵ	vˈʌ
ਸਰਕਲ	sˈʌɾəkˌəl
ਊਠ	ˈuʈʰ
ਕਸਰਤ	kˈʌsəɾˌət
ਪਤਝੜ	pˈʌtəɟʰˌər.
ਉਪਨਗਰ	ˈʊpənˌəɡəɾ
ਐਮਏ	ˈɛməˌe
ਓਲਡ	ˈoləɖ
ਦਇਆ	dˈʌɪˌa
ਲਗਨ	lˈʌɡən
ਉਕਤ	ˈʊkət
ਜਗਹ	ɟˈʌɡəh
ਆਸਕਰ	ˈasəkˌəɾ
ਰਚਣ	ɾˈʌcəɳ
ਵਚਨ	vˈʌcən
ਹਲ	hˈʌl
ਕਲ	kˈʌl
ਆਖਰ	ˈakʰəɾ
ਉਭਰ	ˈʊbʰəɾ
ਓਮ	ˈom
ਵਤਨ	vˈʌtən
X	(͡e͡n)ˈɛks(͡p͡a)
ਆਈਸ	aˈis
ਆਖ	ˈakʰ
ਆਦਤ	ˈadət
ਦਰਪਣ	dˈʌɾəpˌəɳ
ਨਰਸ	nˈʌɾəs
ਸਯਦ	sˈʌjəd
ਹਟ	hˈʌʈ
ਅਵਸਰ	ˈʌvəsˌəɾ
ਲ	lˈʌ
n	(͡e͡n)ˈɛn(͡p͡a)
ਉਰਫ	ˈʊɾəpʰ
ਐਪਰ	ˈɛpəɾ
ਰਸਲ	ɾˈʌsəl
ਸਬਕ	sˈʌbək
N	(͡e͡n)ˈɛn(͡p͡a)
ਐਡ	ˈɛɖ
ਓਜ	ˈoɟ
ਗਦ	ɡˈʌd
ਵਰਕ	vˈʌɾək
ਵਸਤ	vˈʌsət
III	(͡e͡n)ɹˌə͡ʊmən θɹˈiː(͡p͡a)
New	(͡e͡n)njˈuː(͡p͡a)
ਆਦਰ	ˈadəɾ
ਉਲਝਣ	ˈʊləɟʰˌəɳ
ਫਸ	pʰˈʌs
ਸਈਦ	səˈid
ਅਲਗ	ˈʌləɡ
ਆਤਮਕ	ˈatəmˌək
ਆਦਮ	ˈadəm
ਕਲਚਰਲ	kˈʌləcˌəɾəl
ਗਦਰ	ɡˈʌdəɾ
ਹਰਕਤ	hˈʌɾəkˌət
Press	(͡e͡n)pɹˈɛs(͡p͡a)
S	(͡e͡n)ˈɛs(͡p͡a)
ਅਗਰ	ˈʌɡəɾ
ਅਲਵਰ	ˈʌləvˌəɾ
ਤਰਨ	tˈʌɾən
ਨਜਰ	nˈʌɟəɾ
ਰਬੜ	ɾˈʌbər.
ਲਛਮਣ	lˈʌcʰəmˌəɳ
P	(͡e͡n)pˈiː(͡p͡a)
University	(͡e͡n)jˌuːnɪvˈɜːsɪti(͡p͡a)
c	(͡e͡n)sˈiː(͡p͡a)
p	(͡e͡n)pˈiː(͡p͡a)
ਥਰਮਲ	tʰˈʌɾəmˌəl
ਮਸਤ	mˈʌsət
ਰਚ	ɾˈʌc
ਸਵਰਨ	sˈʌvəɾˌən
or	(͡e͡n)ɔː(͡p͡a)
ਐਟ	ˈɛʈ
ਜਣਨ	ɟˈʌɳən
ਨਮਕ	nˈʌmək
ਆਉਟ	ˈaʊʈ
ਟਰਨਰ	ʈˈʌɾənˌəɾ
ਬਟਨ	bˈʌʈən
ਮਧ	mˈʌdʰ
E	(͡e͡n)ˈiː(͡p͡a)
ਅਪ	ˈʌp
ਗੜਬੜ	ɡˈʌr.əbˌər.
ਚਰਣ	cˈʌɾəɳ
ਰਣ	ɾˈʌɳ
ਸਦਰ	sˈʌdəɾ
ਅਦਬ	ˈʌdəb
ਕ	kˈʌ
ਕਤਰ	kˈʌtəɾ
ਫਰ	pʰˈʌɾ
ਬਲਦ	bˈʌləd
Retrieved	(͡e͡n)ɹɪtɹˈiːvd(͡p͡a)
t	(͡e͡n)tˈiː(͡p͡a)
ਐਡਮ	ˈɛɖəm
ਤਰ	tˈʌɾ
ਨਕਦ	nˈʌkəd
ਨਟ	nˈʌʈ
ਮਲ	mˈʌl
ਆਣ	ˈaɳ
ਉਲ	ˈʊl
ਜੜ	ɟˈʌr.
ਬਸਤਰ	bˈʌsətˌəɾ
ਇਟ	ˈɪʈ
ਏਲ	ˈel
ਓਡ	ˈoɖ
ਕਮਰ	kˈʌməɾ
ਉਠ	ˈʊʈʰ
ਉਤਰਨ	ˈʊtəɾˌən
ਐਲਬਰਟ	ˈɛləbˌəɾəʈ
ਘਣ	kˈʌ+ɳ
ਚਰਪਟ	cˈʌɾəpˌəʈ
ਜਬਰ	ɟˈʌbəɾ
ਨਰਕ	nˈʌɾək
ਪਧਰ	pˈʌdʰəɾ
ਪਲਟ	pˈʌləʈ
ਫਸਟ	pʰˈʌsəʈ
R	(͡e͡n)ˈɑː(͡p͡a)
ਅਲਪ	ˈʌləp
ਊਧਮ	ˈudʰəm
ਜਸ	ɟˈʌs
ਧੜ	tˈʌ+r.
ਮਦਰ	mˈʌdəɾ
M	(͡e͡n)ˈɛm(͡p͡a)
ਚਰਮ	cˈʌɾəm
ਜਨਕ	ɟˈʌnək
ਡਚ	ɖˈʌc
by	(͡e͡n)bˈa͡ɪ(͡p͡a)
ਆਓ	ˈao
ਆਨਰ	ˈanəɾ
ਓਕ	ˈok
ਕਮ	kˈʌm
ਕਵਚ	kˈʌvəc
ਮਸਜਦ	mˈʌsəɟˌəd
ਸਮਰਥ	sˈʌməɾˌətʰ
ਅਕਸ	ˈʌkəs
ਆਈਟਮ	aˈiʈəm
ਉਧਰ	ˈʊdʰəɾ
ਗਣ	ɡˈʌɳ
ਧਰ	tˈʌ+ɾ
ਸਰਨ	sˈʌɾən
SU	(͡e͡n)sˈuː(͡p͡a)
York	(͡e͡n)jˈɔːk(͡p͡a)
ਅਨਵਰ	ˈʌnəvˌəɾ
ਐ	ˈɛ
ਦਸਮ	dˈʌsəm
ਬਰਨ	bˈʌɾən
ਬਲਬ	bˈʌləb
ਵਣ	vˈʌɳ
ਹਥ	hˈʌtʰ
ਹਰਬਰਟ	hˈʌɾəbˌəɾəʈ
ਹਲਕ	hˈʌlək
l	(͡e͡n)ˈɛl(͡p͡a)
ਉਚ	ˈʊc
ਉਦਭਵ	ˈʊdəbʰˌəv
ਓੜਕ	ˈor.ək
ਖੜਕ	kʰˈʌr.ək
ਤਪ	tˈʌp
ਧੜਕਣ	tˈʌ+r.əkˌəɳ
ਨਫਰਤ	nˈʌpʰəɾˌət
ਪਵਨ	pˈʌvən
ਰਖ	ɾˈʌkʰ
ਹ	hˈʌ
on	(͡e͡n)ˈɒn(͡p͡a)
ਈਦ	ˈid
ਔਨ	ˈɔn
ਕਢ	kˈʌɖʰ
ਜਬ	ɟˈʌb
ਫਟਣ	pʰˈʌʈəɳ
ਮਟਰ	mˈʌʈəɾ
ਰਗੜ	ɾˈʌɡər.
m	(͡e͡n)ˈɛm(͡p͡a)
ਕਰਵ	kˈʌɾəv
ਕਸਟਮ	kˈʌsəʈˌəm
ਪੜਨ	pˈʌr.ən
ਵਣਜ	vˈʌɳəɟ
ਸਰਕਸ	sˈʌɾəkˌəs
ਹਰਚਰਨ	hˈʌɾəcˌəɾən
History	(͡e͡n)hˈɪstəɹi(͡p͡a)
v	(͡e͡n)vˈiː(͡p͡a)
ਅਕਲ	ˈʌkəl
ਅਤ	ˈʌt
ਅਰਬਨ	ˈʌɾəbˌən
ਇਕਦਮ	ˈɪkədˌəm
ਓਨ	ˈon
ਪਰਖਣ	pˈʌɾəkʰˌəɳ
ਰਕਤ	ɾˈʌkət
ਵਖ	vˈʌkʰ
ਵਗਣ	vˈʌɡəɳ
ਵਸਣ	vˈʌsəɳ
ਸਨਅਤ	sˈʌnəˌət
ਸਮ	sˈʌm
India	(͡e͡n)ˈɪndiə(͡p͡a)
T	(͡e͡n)tˈiː(͡p͡a)
ਇਵਨ	ˈɪvən
ਉਤਮ	ˈʊtəm
ਜਲਣ	ɟˈʌləɳ
ਡ	ɖˈʌ
ਡਗਲਸ	ɖˈʌɡəlˌəs
ਵਰਕਸ	vˈʌɾəkˌəs
ਸਰਚ	sˈʌɾəc
Dictionary	(͡e͡n)dˈɪkʃənəɹi(͡p͡a)
ਆਰਕ	ˈaɾək
ਉਪਕਰਨ	ˈʊpəkˌəɾən
ਔਸਕਰ	ˈɔsəkˌəɾ
ਥਲ	tʰˈʌl
ਦਸਤ	dˈʌsət
ਬਰਮਨ	bˈʌɾəmˌən
ਯਮਨ	jˈʌmən
ਸੜ	sˈʌr.
U	(͡e͡n)jˈuː(͡p͡a)
y	(͡e͡n)wˈa͡ɪ(͡p͡a)
ਇਲਮ	ˈɪləm
ਉਜਰਤ	ˈʊɟəɾˌət
ਏਜ	ˈeɟ
ਐਪਸ	ˈɛpəs
ਨਲ	nˈʌl
ਭਸਮ	pˈʌ+səm
ਮਗਧ	mˈʌɡədʰ
ਵਕਰ	vˈʌkəɾ
Oxford	(͡e͡n)ˈɒksfəd(͡p͡a)
page	(͡e͡n)pˈe͡ɪd͡ʒ(͡p͡a)
ਆਈਕਨ	aˈikən
ਆਚਰਣ	ˈacəɾˌəɳ
ਆਸਨ	ˈasən
ਈਸਟਰ	ˈisəʈˌəɾ
ਐਨਐਚ	ˌɛnəˈɛc
ਪਲਸ	pˈʌləs
ਭਗਵਤ	pˈʌ+ɡəvˌət
ਸਤ	sˈʌt
ਹਜਰਤ	hˈʌɟəɾˌət
F	(͡e͡n)ˈɛf(͡p͡a)
K	(͡e͡n)kˈe͡ɪ(͡p͡a)
g	(͡e͡n)d͡ʒˈiː(͡p͡a)
k	(͡e͡n)kˈe͡ɪ(͡p͡a)
ਅਟਕ	ˈʌʈək
ਅਬ	ˈʌb
ਅਵਧ	ˈʌvədʰ
ਆਈਆਈਐਮ	ˌaiˌaiˈɛm
ਈਗਲਟਨ	ˈiɡəlˌəʈən
ਉਸਤਤ	ˈʊsətˌət
ਏਕਲ	ˈekəl
ਘਟਣ	kˈʌ+ʈəɳ
ਘੜਨ	kˈʌ+r.ən
ਤਰਹ	tˈʌɾəh
ਧਵਨ	tˈʌ+vən
ਪਗ	pˈʌɡ
ਪਰਯਟਨ	pˈʌɾəjˌəʈən
ਭੜਕ	pˈʌ+r.ək
ਸਈਅਦ	səˈiˌəd
ਸਗਰ	sˈʌɡəɾ
ਸਵ	sˈʌv
Eng	(͡e͡n)ˈɛŋ(͡p͡a)
ਆਇਤਨ	ˈaɪtˌən
ਉਦ	ˈʊd
ਏਨ	ˈen
ਤਬ	tˈʌb
ਨਜਮ	nˈʌɟəm
ਪਰਵ	pˈʌɾəv
ਬਟਲਰ	bˈʌʈəlˌəɾ
ਬਰਡ	bˈʌɾəɖ
ਲਸਣ	lˈʌsəɳ
HTTP	(͡e͡n)ˌe͡ɪt͡ʃtˌiːtˌiːpˈiː(͡p͡a)
L	(͡e͡n)ˈɛl(͡p͡a)
b	(͡e͡n)bˈiː(͡p͡a)
e	(͡e͡n)ˈiː(͡p͡a)
pp	(͡e͡n)pˌiːpˈiː(͡p͡a)
ਅਰਲ	ˈʌɾəl
ਅਹਮਦ	ˈʌhəmˌəd
ਗਇਆ	ɡˈʌɪˌa
ਚੜ	cˈʌr.
ਜਗ	ɟˈʌɡ
ਜਬਰਦਸਤ	ɟˈʌbəɾˌədəsˌət
ਡਟ	ɖˈʌʈ
ਤਨ	tˈʌn
ਦਫਨ	dˈʌpʰən
ਨਈਅਰ	nəˈiˌəɾ
ਭਟਕ	pˈʌ+ʈək
ਮਠ	mˈʌʈʰ
ਯਮਕ	jˈʌmək
English	(͡e͡n)ˈɪŋɡlɪʃ(͡p͡a)
ਅਖਤਰ	ˈʌkʰətˌəɾ
ਅਣਖ	ˈʌɳəkʰ
ਅਰ	ˈʌɾ
ਆਇਨ	ˈaɪn
ਇਧਰ	ˈɪdʰəɾ
ਉਦਗਮ	ˈʊdəɡˌəm
ਉਨ	ˈʊn
ਏਡ	ˈeɖ
ਗਈਆ	ɡəˈia
ਛਡ	cʰˈʌɖ
ਡਨ	ɖˈʌn
ਪਦਕ	pˈʌdək
ਰਈਸ	ɾəˈis
ਰਖਣ	ɾˈʌkʰəɳ
ਰਮ	ɾˈʌm
ਵਸਤਰ	vˈʌsətˌəɾ
ਸਕਰਟ	sˈʌkəɾˌəʈ
ਸਰਦ	sˈʌɾəd
ਸਰਵਣ	sˈʌɾəvˌəɳ
D	(͡e͡n)dˈiː(͡p͡a)
World	(͡e͡n)wˈɜːld(͡p͡a)
i	(͡e͡n)ˈa͡ɪ(͡p͡a)
q	(͡e͡n)kjˈuː(͡p͡a)
ਆਰਮਡ	ˈaɾəmˌəɖ
ਕਟਕ	kˈʌʈək
ਕਲਰਸ	kˈʌləɾˌəs
ਕਸਮ	kˈʌsəm
ਜਕੜ	ɟˈʌkər.
ਟਰਮ	ʈˈʌɾəm
ਦਲਦਲ	dˈʌlədˌəl
ਨਵਲ	nˈʌvəl
ਭਈ	pˈʌ+i
ਵੜ	vˈʌr.
Hong	(͡e͡n)hˈɒŋ(͡p͡a)
Indian	(͡e͡n)ˈɪndi͡ən(͡p͡a)
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡p͡a)
Page	(͡e͡n)pˈe͡ɪd͡ʒ(͡p͡a)
Q	(͡e͡n)kjˈuː(͡p͡a)
W	(͡e͡n)dˈʌbə͡ljˌuː(͡p͡a)
for	(͡e͡n)fɔː(͡p͡a)
ਅਜ	ˈʌɟ
ਅਫਜਲ	ˈʌpʰəɟˌəl
ਅਲਬਰਟ	ˈʌləbˌəɾəʈ
ਆਹ	ˈah
ਝੜਪ	cˈʌ+r.əp
ਟ	ʈˈʌ
ਨਗ	nˈʌɡ
ਪਣ	pˈʌɳ
ਫਰਦ	pʰˈʌɾəd
ਬਲਕ	bˈʌlək
ਲਉ	lˈʌʊ
ਵਰਨ	vˈʌɾən
ਸੜਨ	sˈʌr.ən
ਹਡਸਨ	hˈʌɖəsˌən
IV	(͡e͡n)ɹˌə͡ʊmən fˈɔː(͡p͡a)
Kong	(͡e͡n)kˈɒŋ(͡p͡a)
r	(͡e͡n)ˈɑː(͡p͡a)
s	(͡e͡n)ˈɛs(͡p͡a)
α	(͡e͡l)ˈalfa(͡p͡a)
ਅਡਲਟ	ˈʌɖəlˌəʈ
ਆਇਲ	ˈaɪl
ਉਦਮ	ˈʊdəm
ਕਉ	kˈʌʊ
ਕਪ	kˈʌp
ਗ	ɡˈʌ
ਜਖਮ	ɟˈʌkʰəm
ਤਣ	tˈʌɳ
ਬਰਕਤ	bˈʌɾəkˌət
ਭਟਕਣ	pˈʌ+ʈəkˌəɳ
ਮ	mˈʌ
ਮਕਰ	mˈʌkəɾ
ਰਥ	ɾˈʌtʰ
ਸਰਵਜਨਕ	sˈʌɾəvˌəɟənˌək
ਅਟਲ	ˈʌʈəl
ਆਜ	ˈaɟ
ਆਸਣ	ˈasəɳ
ਇਜ	ˈɪɟ
ਉਲਝ	ˈʊləɟʰ
ਐਨਐਫਐਲ	ˌɛnəˌɛpʰəˈɛl
ਓਟ	ˈoʈ
