பல	pˈʌlʌ
உப	ˈubʌ
for	(͡e͡n)fɔː(͡t͡a)
p	pˈiː
E	ˈiː
D	dˈiː
M	ˈɛm
ரக	ɹˈʌɡʌ
to	(͡e͡n)tuː(͡t͡a)
National	(͡e͡n)nˈaʃənə͡l(͡t͡a)
ஆ	ˈaː
பழ	pˈʌɻʌ
ஊரக	ˈuːɹʌɡʌ
New	(͡e͡n)njˈuː(͡t͡a)
John	(͡e͡n)d͡ʒˈɒn(͡t͡a)
க	kˈʌ
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡t͡a)
pp	(͡e͡n)pˌiːpˈiː(͡t͡a)
சகல	sˈʌɡʌlʌ
கள	kˈʌɭʌ
ஈய	ˈiːjʌ
CO	(͡e͡n)kˈə͡ʊ(͡t͡a)
மனநல	mˈʌnʌnˌʌlʌ
IP	(͡e͡n)ˌa͡ɪpˈiː(͡t͡a)
pH	pˈiː ˈeːt͡ʃ
on	(͡e͡n)ˈɒn(͡t͡a)
b	bˈiː
University	(͡e͡n)jˌuːnɪvˈɜːsɪti(͡t͡a)
L	ˈɛl
WWE	(͡e͡n)dˌʌbə͡ljˌuːdˌʌbə͡ljˌuːˈiː(͡t͡a)
அகல	ˈaɡʌlʌ
Indian	(͡e͡n)ˈɪndi͡ən(͡t͡a)
G	d͡ʒˈiː
ஆவண	ˈaːvʌɳʌ
f	ˈɛf
by	(͡e͡n)bˈa͡ɪ(͡t͡a)
Tamil	tˈʌmiɻ
பரவ	pˈʌɹʌvʌ
History	(͡e͡n)hˈɪstəɹi(͡t͡a)
World	(͡e͡n)wˈɜːld(͡t͡a)
WWF	(͡e͡n)dˌʌbə͡ljˌuːdˌʌbə͡ljˌuːˈɛf(͡t͡a)
c	sˈiː
கவச	kˈʌvʌsʌ
Institute	(͡e͡n)ˈɪnstɪtjˌuːt(͡t͡a)
Press	(͡e͡n)pɹˈɛs(͡t͡a)
ஓட	ˈoːɖʌ
ஏற	ʲˈeːrʌ
OH	(͡e͡n)ˈə͡ʊ(͡t͡a)
y	wˈaːj
பரத	bˈʌɹʌdʌ
VoIP	(͡e͡n)vˈə͡ʊ ˌa͡ɪpˈiː(͡t͡a)
system	(͡e͡n)sˈɪstəm(͡t͡a)
DC	(͡e͡n)dˌiːsˈiː(͡t͡a)
கனரக	ɡˈʌnʌɹˌʌɡʌ
USB	(͡e͡n)jˌuːˌɛsbˈiː(͡t͡a)
m	ˈɛm
PDF	(͡e͡n)pˌiːdˌiːˈɛf(͡t͡a)
US	(͡e͡n)jˌuːˈɛs(͡t͡a)
Y	wˈaːj
அகர	ˈaɡʌɹʌ
k	kˈeːj
College	(͡e͡n)kˈɒlɪd͡ʒ(͡t͡a)
Singh	(͡e͡n)sˈɪŋ(͡t͡a)
தன	dˈʌnʌ
ஈழ	ˈiːɻʌ
கல	kˈʌlʌ
ப	pˈʌ
Society	(͡e͡n)səsˈa͡ɪ͡əti(͡t͡a)
s	ˈɛs
U	jˈuː
ஆகம	ˈaːɡʌmʌ
உள	ˈuɭʌ
நவ	nˈʌvʌ
et	(͡e͡n)ˈɛt(͡t͡a)
Nokia	(͡e͡n)nˈə͡ʊkiə(͡t͡a)
Research	(͡e͡n)ɹɪsˈɜːt͡ʃ(͡t͡a)
Retrieved	(͡e͡n)ɹɪtɹˈiːvd(͡t͡a)
மண	mˈʌɳʌ
James	(͡e͡n)d͡ʒˈe͡ɪmz(͡t͡a)
Pg	(͡e͡n)pˌiːd͡ʒˈiː(͡t͡a)
உ	ˈu
School	(͡e͡n)skˈuːl(͡t͡a)
DVD	(͡e͡n)dˌiːvˌiːdˈiː(͡t͡a)
ISO	(͡e͡n)ˈa͡ɪzə͡ʊ(͡t͡a)
Z	zˈɛd
ஆட	ˈaːɖʌ
J	d͡ʒˈeːj
page	(͡e͡n)pˈe͡ɪd͡ʒ(͡t͡a)
Chemistry	(͡e͡n)kˈɛmɪstɹi(͡t͡a)
IQ	(͡e͡n)ˈɪk(͡t͡a)
System	(͡e͡n)sˈɪstəm(͡t͡a)
r	ˈaːr
DNS	(͡e͡n)dˌiːˌɛnˈɛs(͡t͡a)
David	(͡e͡n)dˈe͡ɪvɪd(͡t͡a)
α	(͡e͡l)ˈalfa(͡t͡a)
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡t͡a)
Windows	(͡e͡n)wˈɪndə͡ʊz(͡t͡a)
UK	(͡e͡n)jˌuːkˈe͡ɪ(͡t͡a)
e	ˈiː
அமர	ˈamʌɹʌ
ஆய	ˈaːjʌ
ஈர	ˈiːɹʌ
GE	(͡e͡n)d͡ʒˈiː(͡t͡a)
i	ˈaːj
இள	ˈiɭʌ
Dr	(͡e͡n)dˈɒktə(͡t͡a)
Robert	(͡e͡n)ɹˈɒbət(͡t͡a)
William	(͡e͡n)wˈɪli͡əm(͡t͡a)
Life	(͡e͡n)lˈa͡ɪf(͡t͡a)
PC	(͡e͡n)pˌiːsˈiː(͡t͡a)
HTML	(͡e͡n)ˌe͡ɪt͡ʃtˌiːˌɛmˈɛl(͡t͡a)
St	(͡e͡n)sənt(͡t͡a)
Thomas	(͡e͡n)tˈɒməs(͡t͡a)
ச	sˈʌ
வசன	vˈʌsʌnʌ
Day	(͡e͡n)dˈe͡ɪ(͡t͡a)
VI	(͡e͡n)vˌiːˈa͡ɪ(͡t͡a)
பவள	pˈʌvʌɭʌ
வ	vˈʌ
ATP	(͡e͡n)ˈatp(͡t͡a)
NO	(͡e͡n)nˈə͡ʊ(͡t͡a)
RFC	(͡e͡n)ˌɑːɹˌɛfsˈiː(͡t͡a)
Science	(͡e͡n)sˈa͡ɪ͡əns(͡t͡a)
d	dˈiː
Q	kjˈuː
தவ	dˈʌvʌ
American	(͡e͡n)ɐmˈɛɹɪkən(͡t͡a)
Book	(͡e͡n)bˈʊk(͡t͡a)
Technology	(͡e͡n)tɛknˈɒləd͡ʒi(͡t͡a)
β	(͡e͡l)vˈita(͡t͡a)
AB	(͡e͡n)ˈab(͡t͡a)
MHz	(͡e͡n)mˈɛɡəhˌɜːts(͡t͡a)
Michael	(͡e͡n)mˈa͡ɪkə͡l(͡t͡a)
தசம	dˈʌsʌmʌ
English	(͡e͡n)ˈɪŋɡlɪʃ(͡t͡a)
Great	(͡e͡n)ɡɹˈe͡ɪt(͡t͡a)
York	(͡e͡n)jˈɔːk(͡t͡a)
from	(͡e͡n)fɹɒm(͡t͡a)
CH	(͡e͡n)sˌiːˈe͡ɪt͡ʃ(͡t͡a)
George	(͡e͡n)d͡ʒˈɔːd͡ʒ(͡t͡a)
Google	(͡e͡n)ɡˈuːɡə͡l(͡t͡a)
ம	mˈʌ
Association	(͡e͡n)ɐsˌə͡ʊsɪˈe͡ɪʃən(͡t͡a)
Sir	(͡e͡n)sˌɜː(͡t͡a)
Sri	(͡e͡n)sɹˌiː(͡t͡a)
மகர	mˈʌɡʌɹʌ
NH	(͡e͡n)ˌɛnˈe͡ɪt͡ʃ(͡t͡a)
Richard	(͡e͡n)ɹˈɪt͡ʃəd(͡t͡a)
al	(͡e͡n)ˈal(͡t͡a)
t	tʰˈiː
Å	(͡e͡n)ˌe͡ɪɹˈɪŋɡ(͡t͡a)
No	(͡e͡n)nˈə͡ʊ(͡t͡a)
Paul	(͡e͡n)pˈɔːl(͡t͡a)
W	dˈʌbʌljuː
acid	(͡e͡n)ˈasɪd(͡t͡a)
g	d͡ʒˈiː
ABC	(͡e͡n)ˌe͡ɪbˌiːsˈiː(͡t͡a)
AI	(͡e͡n)ˌe͡ɪˈa͡ɪ(͡t͡a)
SO	(͡e͡n)sˈə͡ʊ(͡t͡a)
v	vˈiː
Act	(͡e͡n)ˈakt(͡t͡a)
Council	(͡e͡n)kˈa͡ʊnsə͡l(͡t͡a)
House	(͡e͡n)hˈa͡ʊs(͡t͡a)
London	(͡e͡n)lˈʌndən(͡t͡a)
அயன	ˈajʌnʌ
ஒ	ˈo
கவர	kˈʌvʌɹʌ
சமதள	sˈʌmʌdˌʌɭʌ
IBM	(͡e͡n)ˌa͡ɪbˌiːˈɛm(͡t͡a)
Madras	(͡e͡n)mədɹˈɑːs(͡t͡a)
Oxford	(͡e͡n)ˈɒksfəd(͡t͡a)
Park	(͡e͡n)pˈɑːk(͡t͡a)
SAP	(͡e͡n)sˈap(͡t͡a)
Service	(͡e͡n)sˈɜːvɪs(͡t͡a)
Engineering	(͡e͡n)ˌɛnd͡ʒɪnˈi͡əɹɪŋ(͡t͡a)
Group	(͡e͡n)ɡɹˈuːp(͡t͡a)
Journal	(͡e͡n)d͡ʒˈɜːnə͡l(͡t͡a)
River	(͡e͡n)ɹˈɪvə(͡t͡a)
State	(͡e͡n)stˈe͡ɪt(͡t͡a)
q	kjˈuː
θ	(͡e͡l)θˈita(͡t͡a)
ட	ɖˈʌ
Encyclopedia	(͡e͡n)ɛnsˌa͡ɪklə͡ʊpˈiːdi͡ə(͡t͡a)
FIFA	(͡e͡n)fˈiːfə(͡t͡a)
NET	(͡e͡n)nˈɛt(͡t͡a)
km	(͡e͡n)kˌe͡ɪˈɛm(͡t͡a)
உலர	ˈulʌɹʌ
ஊற	ˈuːrʌ
எனற	ʲˈenʌrʌ
Ceylon	(͡e͡n)se͡ɪlˈɒn(͡t͡a)
Charles	(͡e͡n)t͡ʃˈɑːlz(͡t͡a)
Church	(͡e͡n)t͡ʃˈɜːt͡ʃ(͡t͡a)
In	(͡e͡n)ˈɪn(͡t͡a)
MTV	(͡e͡n)ˌɛmtˌiːvˈiː(͡t͡a)
Page	(͡e͡n)pˈe͡ɪd͡ʒ(͡t͡a)
Royal	(͡e͡n)ɹˈɔ͡ɪə͡l(͡t͡a)
வலய	vˈʌlʌjʌ
BC	(͡e͡n)bˌiːsˈiː(͡t͡a)
CIS	(͡e͡n)sˈɪs(͡t͡a)
Dictionary	(͡e͡n)dˈɪkʃənəɹi(͡t͡a)
General	(͡e͡n)d͡ʒˈɛnəɹə͡l(͡t͡a)
La	(͡e͡n)lˌa(͡t͡a)
Law	(͡e͡n)lˈɔː(͡t͡a)
Time	(͡e͡n)tˈa͡ɪm(͡t͡a)
VII	(͡e͡n)ɹˌə͡ʊmən sˈɛvən(͡t͡a)
h	ˈeːt͡ʃ
உதய	ˈudʌjʌ
பரம	pˈʌɹʌmʌ
FA	(͡e͡n)fˈɑː(͡t͡a)
LCD	(͡e͡n)ˌɛlsˌiːdˈiː(͡t͡a)
law	(͡e͡n)lˈɔː(͡t͡a)
number	(͡e͡n)nˈʌmbə(͡t͡a)
ஏரண	ʲˈeːɹʌɳʌ
ஜன	d͡ʒˈʌnʌ
Khan	(͡e͡n)kˈɑːn(͡t͡a)
SAT	(͡e͡n)sˈat(͡t͡a)
An	(͡e͡n)an(͡t͡a)
British	(͡e͡n)bɹˈɪtɪʃ(͡t͡a)
FFT	(͡e͡n)ˌɛfˌɛftˈiː(͡t͡a)
HIV	(͡e͡n)ˌe͡ɪt͡ʃˌa͡ɪvˈiː(͡t͡a)
Joseph	(͡e͡n)d͡ʒˈə͡ʊsəf(͡t͡a)
Man	(͡e͡n)mˈan(͡t͡a)
Red	(͡e͡n)ɹˈɛd(͡t͡a)
SNMP	(͡e͡n)ˌɛsˌɛnˌɛmpˈiː(͡t͡a)
South	(͡e͡n)sˈa͡ʊθ(͡t͡a)
Temple	(͡e͡n)tˈɛmpə͡l(͡t͡a)
WCW	(͡e͡n)dˌʌbə͡ljˌuːsˌiːdˈʌbə͡ljˌuː(͡t͡a)
z	zˈɛd
ஈஐ	ˈiːa͡ɪ
August	(͡e͡n)ˈɔːɡəst(͡t͡a)
Central	(͡e͡n)sˈɛntɹə͡l(͡t͡a)
Company	(͡e͡n)kˈʌmpəni(͡t͡a)
Earth	(͡e͡n)ˈɜːθ(͡t͡a)
Henry	(͡e͡n)hˈɛnɹi(͡t͡a)
Peter	(͡e͡n)pˈiːtə(͡t͡a)
TV	(͡e͡n)tˌiːvˈiː(͡t͡a)
Times	(͡e͡n)tˈa͡ɪmz(͡t͡a)
United	(͡e͡n)juːnˈa͡ɪtɪd(͡t͡a)
theory	(͡e͡n)θˈi͡əɹi(͡t͡a)
அபய	ˈabʌjʌ
CD	(͡e͡n)sˌiːdˈiː(͡t͡a)
De	(͡e͡n)də(͡t͡a)
District	(͡e͡n)dˈɪstɹɪkt(͡t͡a)
Kumar	(͡e͡n)kuːmˈɑː(͡t͡a)
Museum	(͡e͡n)mjuːzˈi͡əm(͡t͡a)
NTSC	(͡e͡n)ˌɛntˌiːˌɛssˈiː(͡t͡a)
Social	(͡e͡n)sˈə͡ʊʃə͡l(͡t͡a)
Union	(͡e͡n)jˈuːni͡ən(͡t͡a)
Vol	(͡e͡n)vˈɒl(͡t͡a)
is	(͡e͡n)ɪz(͡t͡a)
அற	ˈarʌ
ஆழ	ˈaːɻʌ
Al	(͡e͡n)ˈal(͡t͡a)
Development	(͡e͡n)dɪvˈɛləpmənt(͡t͡a)
EU	(͡e͡n)ˌiːjˈuː(͡t͡a)
HD	(͡e͡n)ˌe͡ɪt͡ʃdˈiː(͡t͡a)
IEEE	(͡e͡n)ˌa͡ɪˌiːˌiːˈiː(͡t͡a)
LDAP	(͡e͡n)ˈɛldˈap(͡t͡a)
Mary	(͡e͡n)mˈe͡əɹi(͡t͡a)
OS	(͡e͡n)ˌə͡ʊˈɛs(͡t͡a)
SI	(͡e͡n)sˈiː(͡t͡a)
syndrome	(͡e͡n)sˈɪndɹə͡ʊm(͡t͡a)
இமய	ˈimʌjʌ
இரக	ˈiɹʌɡʌ
உபகரண	ˈubʌɡˌʌɹʌɳʌ
ஊ	ˈuː
ASP	(͡e͡n)ˈasp(͡t͡a)
CFC	(͡e͡n)sˌiːˌɛfsˈiː(͡t͡a)
Devi	(͡e͡n)dɪvi(͡t͡a)
Health	(͡e͡n)hˈɛlθ(͡t͡a)
On	(͡e͡n)ˈɒn(͡t͡a)
Rao	(͡e͡n)ɹˈa͡ʊ(͡t͡a)
Van	(͡e͡n)vˈan(͡t͡a)
XML	(͡e͡n)ˌɛksˌɛmˈɛl(͡t͡a)
cm	(͡e͡n)sˌiːˈɛm(͡t͡a)
function	(͡e͡n)fˈʌŋkʃən(͡t͡a)
reaction	(͡e͡n)ɹɪˈakʃən(͡t͡a)
μ	(͡e͡l)mˈi(͡t͡a)
உணவக	ˈuɳʌvˌʌɡʌ
April	(͡e͡n)ˈe͡ɪpɹə͡l(͡t͡a)
Christian	(͡e͡n)kɹˈɪst͡ʃən(͡t͡a)
Grand	(͡e͡n)ɡɹˈand(͡t͡a)
January	(͡e͡n)d͡ʒˈanjuːəɹi(͡t͡a)
OSPF	(͡e͡n)ˈɒspf(͡t͡a)
Sea	(͡e͡n)sˈiː(͡t͡a)
Theory	(͡e͡n)θˈi͡əɹi(͡t͡a)
Volume	(͡e͡n)vˈɒljuːm(͡t͡a)
der	(͡e͡n)dˈe͡ə(͡t͡a)
la	(͡e͡n)lˌa(͡t͡a)
π	(͡e͡l)pˈi(͡t͡a)
மகத	mˈʌɡʌdʌ
AD	(͡e͡n)ˈad(͡t͡a)
API	(͡e͡n)ˌe͡ɪpˌiːˈa͡ɪ(͡t͡a)
Corporation	(͡e͡n)kˌɔːpəɹˈe͡ɪʃən(͡t͡a)
High	(͡e͡n)hˈa͡ɪ(͡t͡a)
Hz	(͡e͡n)ˌe͡ɪt͡ʃzˈɛd(͡t͡a)
Microsoft	(͡e͡n)mˈa͡ɪkɹəsˌɒft(͡t͡a)
Modern	(͡e͡n)mˈɒdən(͡t͡a)
Number	(͡e͡n)nˈʌmbə(͡t͡a)
Power	(͡e͡n)pˈa͡ʊə(͡t͡a)
See	(͡e͡n)sˈiː(͡t͡a)
as	(͡e͡n)az(͡t͡a)
des	(͡e͡n)dˈɛs(͡t͡a)
o	ˈoː
Arts	(͡e͡n)ˈɑːts(͡t͡a)
Basilica	(͡e͡n)bazˈɪlɪkə(͡t͡a)
City	(͡e͡n)sˈɪti(͡t͡a)
Edward	(͡e͡n)ˈɛdwəd(͡t͡a)
Industrial	(͡e͡n)ɪndˈʌstɹɪəl(͡t͡a)
LCA	(͡e͡n)ˌɛlsˌiːˈe͡ɪ(͡t͡a)
List	(͡e͡n)lˈɪst(͡t͡a)
May	(͡e͡n)mˈe͡ɪ(͡t͡a)
Medical	(͡e͡n)mˈɛdɪkə͡l(͡t͡a)
My	(͡e͡n)mˈa͡ɪ(͡t͡a)
San	(͡e͡n)sˌan(͡t͡a)
Space	(͡e͡n)spˈe͡ɪs(͡t͡a)
language	(͡e͡n)lˈaŋɡwɪd͡ʒ(͡t͡a)
nm	(͡e͡n)ˌɛnˈɛm(͡t͡a)
அவல	ˈavʌlʌ
சமரச	sˈʌmʌɹˌʌsʌ
AC	(͡e͡n)ˌe͡ɪsˈiː(͡t͡a)
Ancient	(͡e͡n)ˈe͡ɪnʃənt(͡t͡a)
Black	(͡e͡n)blˈak(͡t͡a)
CEO	(͡e͡n)sˌiːˌiːˈə͡ʊ(͡t͡a)
CPU	(͡e͡n)sˌiːpˌiːjˈuː(͡t͡a)
Foundation	(͡e͡n)fa͡ʊndˈe͡ɪʃən(͡t͡a)
Government	(͡e͡n)ɡˈʌvənmənt(͡t͡a)
ISBN	(͡e͡n)ˌa͡ɪˌɛsbˌiːˈɛn(͡t͡a)
Martin	(͡e͡n)mˈɑːtɪn(͡t͡a)
Na	(͡e͡n)nˈɑː(͡t͡a)
QoS	(͡e͡n)kˈə͡ʊ(͡t͡a) ˈɛs
USA	(͡e͡n)jˌuːˌɛsˈe͡ɪ(͡t͡a)
VIII	(͡e͡n)ɹˌə͡ʊmən ˈe͡ɪt(͡t͡a)
White	(͡e͡n)wˈa͡ɪt(͡t͡a)
cell	(͡e͡n)sˈɛl(͡t͡a)
cells	(͡e͡n)sˈɛlz(͡t͡a)
tree	(͡e͡n)tɹˈiː(͡t͡a)
with	(͡e͡n)wɪð(͡t͡a)
ஆள	ˈaːɭʌ
ந	nˈʌ
Art	(͡e͡n)ˈɑːt(͡t͡a)
BBC	(͡e͡n)bˌiːbˌiːsˈiː(͡t͡a)
Battle	(͡e͡n)bˈatə͡l(͡t͡a)
Center	(͡e͡n)sˈɛntə(͡t͡a)
Centre	(͡e͡n)sˈɛntə(͡t͡a)
Hindu	(͡e͡n)hˈɪnduː(͡t͡a)
Island	(͡e͡n)ˈa͡ɪlənd(͡t͡a)
Jaffna	(͡e͡n)d͡ʒˈafnə(͡t͡a)
NTFS	(͡e͡n)ˌɛntˌiːˌɛfˈɛs(͡t͡a)
Natural	(͡e͡n)nˈat͡ʃəɹə͡l(͡t͡a)
Organic	(͡e͡n)ɔːɡˈanɪk(͡t͡a)
XI	(͡e͡n)ɹˌə͡ʊmən ɪlˈɛvən(͡t͡a)
log	(͡e͡n)lˈɒɡ(͡t͡a)
model	(͡e͡n)mˈɒdə͡l(͡t͡a)
எழ	ʲˈeɻʌ
ஓர	ˈoːɹʌ
சதம	sˈʌdʌmʌ
தவற	tˈʌvʌrʌ
CPA	(͡e͡n)sˌiːpˌiːˈe͡ɪ(͡t͡a)
Cl	(͡e͡n)sˌiːˈɛl(͡t͡a)
Commission	(͡e͡n)kəmˈɪʃən(͡t͡a)
DBMS	(͡e͡n)dˌiːbˌiːˌɛmˈɛs(͡t͡a)
Energy	(͡e͡n)ˈɛnəd͡ʒi(͡t͡a)
Hall	(͡e͡n)hˈɔːl(͡t͡a)
Jean	(͡e͡n)d͡ʒˈiːn(͡t͡a)
Lepus	(͡e͡n)lˈɛpəs(͡t͡a)
Party	(͡e͡n)pˈɑːti(͡t͡a)
RNA	(͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡t͡a)
Ram	(͡e͡n)ɹˈam(͡t͡a)
WHO	(͡e͡n)hˈuː(͡t͡a)
Women	(͡e͡n)wˈɪmɪn(͡t͡a)
disease	(͡e͡n)dɪzˈiːz(͡t͡a)
history	(͡e͡n)hˈɪstəɹi(͡t͡a)
water	(͡e͡n)wˈɔːtə(͡t͡a)
தட	dˈʌɖʌ
ரத	ɹˈʌdʌ
Cambridge	(͡e͡n)kˈe͡ɪmbɹɪd͡ʒ(͡t͡a)
Culture	(͡e͡n)kˈʌlt͡ʃə(͡t͡a)
Digital	(͡e͡n)dˈɪd͡ʒɪtə͡l(͡t͡a)
First	(͡e͡n)fˈɜːst(͡t͡a)
Information	(͡e͡n)ˌɪnfəmˈe͡ɪʃən(͡t͡a)
Inorganic	(͡e͡n)ˌɪnɔːɡˈanɪk(͡t͡a)
King	(͡e͡n)kˈɪŋ(͡t͡a)
Language	(͡e͡n)lˈaŋɡwɪd͡ʒ(͡t͡a)
Nadu	(͡e͡n)nˈɑːduː(͡t͡a)
Network	(͡e͡n)nˈɛtwɜːk(͡t͡a)
SEC	(͡e͡n)sˈɛk(͡t͡a)
September	(͡e͡n)sɛptˈɛmbə(͡t͡a)
at	(͡e͡n)at(͡t͡a)
ஓத	ˈoːdʌ
கண	kˈʌɳʌ
மரகத	mˈʌɹʌɡˌʌdʌ
AT	(͡e͡n)at(͡t͡a)
Air	(͡e͡n)ˈe͡ə(͡t͡a)
Brown	(͡e͡n)bɹˈa͡ʊn(͡t͡a)
CIA	(͡e͡n)sˌiːˌa͡ɪˈe͡ɪ(͡t͡a)
Delhi	(͡e͡n)dˈɛli(͡t͡a)
East	(͡e͡n)ˈiːst(͡t͡a)
Force	(͡e͡n)fˈɔːs(͡t͡a)
HCl	(͡e͡n)ˌe͡ɪt͡ʃsˌiːˈɛl(͡t͡a)
IPsec	(͡e͡n)a͡ɪ sˈɛk(͡t͡a)
March	(͡e͡n)mˈɑːt͡ʃ(͡t͡a)
MeV	(͡e͡n)mˌiː(͡t͡a) vˈiː
News	(͡e͡n)njˈuːz(͡t͡a)
November	(͡e͡n)nə͡ʊvˈɛmbə(͡t͡a)
PIN	(͡e͡n)pˈɪn(͡t͡a)
Survey	(͡e͡n)sˈɜːve͡ɪ(͡t͡a)
War	(͡e͡n)wˈɔː(͡t͡a)
an	(͡e͡n)an(͡t͡a)
energy	(͡e͡n)ˈɛnəd͡ʒi(͡t͡a)
ஃ	ˈʌɡh
ஆவன	ˈaːvʌnʌ
AMD	(͡e͡n)ˌe͡ɪˌɛmdˈiː(͡t͡a)
Board	(͡e͡n)bˈɔːd(͡t͡a)
CGI	(͡e͡n)sˌiːd͡ʒˌiːˈa͡ɪ(͡t͡a)
Code	(͡e͡n)kˈə͡ʊd(͡t͡a)
Handbook	(͡e͡n)hˈandbʊk(͡t͡a)
Human	(͡e͡n)hjˈuːmən(͡t͡a)
ID	(͡e͡n)a͡ɪdˈiː(͡t͡a)
ISDN	(͡e͡n)ˈɪsdən(͡t͡a)
IX	(͡e͡n)ɹˌə͡ʊmən nˈa͡ɪn(͡t͡a)
Internet	(͡e͡n)ˈɪntənˌɛt(͡t͡a)
Land	(͡e͡n)lˈand(͡t͡a)
Ph	(͡e͡n)pˌiːˈe͡ɪt͡ʃ(͡t͡a)
Rh	(͡e͡n)ˌɑːɹˈe͡ɪt͡ʃ(͡t͡a)
UEFA	(͡e͡n)jˈuːfə(͡t͡a)
UV	(͡e͡n)jˌuːvˈiː(͡t͡a)
Web	(͡e͡n)wˈɛb(͡t͡a)
effect	(͡e͡n)ɪfˈɛkt(͡t͡a)
point	(͡e͡n)pˈɔ͡ɪnt(͡t͡a)
sequence	(͡e͡n)sˈiːkwəns(͡t͡a)
u	jˈuː
von	(͡e͡n)vˈɒn(͡t͡a)
½	ˈaɹa͡ɪ
σ	(͡e͡l)sˈiɣma(͡t͡a)
ஆர	ˈaːɹʌ
உர	ˈuɹʌ
ஏல	ʲˈeːlʌ
Ca	(͡e͡n)kˈɑː(͡t͡a)
Common	(͡e͡n)kˈɒmən(͡t͡a)
DCS	(͡e͡n)dˌiːsˌiːˈɛs(͡t͡a)
Ed	(͡e͡n)ˈɛd(͡t͡a)
Education	(͡e͡n)ˌɛd͡ʒuːkˈe͡ɪʃən(͡t͡a)
Empire	(͡e͡n)ˈɛmpa͡ɪ͡ə(͡t͡a)
IDE	(͡e͡n)ˈa͡ɪd(͡t͡a)
IFRS	(͡e͡n)ˈɪfrz(͡t͡a)
Index	(͡e͡n)ˈɪndɛks(͡t͡a)
LTE	(͡e͡n)ˌɛltˌiːˈiː(͡t͡a)
League	(͡e͡n)lˈiːɡ(͡t͡a)
Louis	(͡e͡n)lˈuːi(͡t͡a)
MB	(͡e͡n)ˌɛmbˈiː(͡t͡a)
October	(͡e͡n)ɒktˈə͡ʊbə(͡t͡a)
Open	(͡e͡n)ˈə͡ʊpən(͡t͡a)
PLC	(͡e͡n)pˌiːˌɛlsˈiː(͡t͡a)
Public	(͡e͡n)pˈʌblɪk(͡t͡a)
Rights	(͡e͡n)ɹˈa͡ɪts(͡t͡a)
Sastri	(͡e͡n)sˈastɹi(͡t͡a)
Sciences	(͡e͡n)sˈa͡ɪ͡ənsɪz(͡t͡a)
data	(͡e͡n)dˈe͡ɪtə(͡t͡a)
ed	(͡e͡n)ˈɛd(͡t͡a)
edition	(͡e͡n)ɪdˈɪʃən(͡t͡a)
process	(͡e͡n)pɹˈə͡ʊsɛs(͡t͡a)
time	(͡e͡n)tˈa͡ɪm(͡t͡a)
ஏக	ʲˈeːɡʌ
Bank	(͡e͡n)bˈaŋk(͡t͡a)
