এই	ˈei
আগমন	ˈaɡɔmˌɔn
পতন	pˈɔtɔn
অ	ˈɔ
আহত	ˈahɔtˌo
উৎসৰ	ˈutχəɾ
নৱম	nˈɔwaˌɔm
ভৰ	bʰˈɔɾ
ৰঙ	ɾˈoŋ
in	(͡e͡n)ˈɪn(͡a͡s)
আখৰ	ˈakʰɔɾ
ওচৰ	ˈoːt͡ʃɔɾ
ওপৰ	ˈoːpɔɾ
অথচ	ˌɔtʰɔt͡ʃ
আনৰ	ˈanɔɾ
অব	ˈɔb
আসনত	ˈaχənˌɔto
ফলৰ	fˈɔlɔɾ
নগদ	nˈɔɡɔd
যত	d͡ʒˈɔto
শকত	ʃˈɔkɔtˌo
জনগণৰ	ɟˈɔnɔɡˌɔnɔɾ
দশক	dˈɔʃɔk
অমৰ	ˈɔmɔɾ
ঋণ	ɾˈin
এচ	ˈet͡ʃ
কব	kˈɔb
জল	ɟˈɔl
নহওক	nˈɔhɔˌoːk
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡a͡s)
তৰল	tˈɔɾɔl
নকল	nˈɔkɔl
আচল	ˈat͡ʃɔl
এবছৰৰ	ˈebɔt͡ʃʰˌɔɾɔɾ
বলৰ	bˈɔlɔɾ
মদন	mˈɔdɔn
সমতল	χˈəmɔtˌɔl
জলজ	ɟˈɔlɔɟ
নগৰত	nˈɔɡɔɾˌɔto
আইৰ	ˈaiɾ
চহৰখনৰ	t͡ʃˈɔhɔɾˌɔkʰɔnˌɔɾ
চৰম	t͡ʃˈɔɾɔm
ধনৰ	dʰˈɔnɔɾ
ভকত	bʰˈɔkɔtˌo
শৰণ	ʃˈɔɾɔn
Indian	(͡e͡n)ˈɪndi͡ən(͡a͡s)
অসমক	ˈɔχəmˌɔk
এজনক	ˈeɟɔnˌɔk
জগত	ɟˈɔɡɔtˌo
Assam	(͡e͡n)ɑːsˈɑːm(͡a͡s)
দ	dˈɔ
বতৰ	bˈɔtɔɾ
World	(͡e͡n)wˈɜːld(͡a͡s)
উপ	ˈup
India	(͡e͡n)ˈɪndiə(͡a͡s)
অপহৰণ	ˈɔpɔhˌɔɾɔn
খনন	kʰˈɔnɔn
পতনৰ	pˈɔtɔnˌɔɾ
৷	
হৰণ	hˈɔɾɔn
মদ	mˈɔd
for	(͡e͡n)fɔː(͡a͡s)
আৰৱ	ˈaɾɔwˌaɔ
বলত	bˈɔlɔtˌo
অৱগত	ˈɔwaˌɔɡɔtˌo
আইনত	ˈainˌɔto
আচৰণৰ	ˈat͡ʃɔɾˌɔnɔɾ
ওজনৰ	ˈoːɟɔnˌɔɾ
ঔষধৰ	ˈowʃɔdʰˌɔɾ
পল	pˈɔl
মটৰ	mˈɔʈɔɾ
শ	tˌaleboʃʃˈɔ
সবল	χˈəbɔl
আম	ˈam
তম	tˈɔm
সম	χˈəm
ৰণ	ɾˈon
এলৰ	ˈelɔɾ
অৱসৰৰ	ˈɔwaˌɔχəɾˌɔɾ
কলৰ	kˈɔlɔɾ
থৰৰ	tʰˈɔɾɔɾ
নগৰখনৰ	nˈɔɡɔɾˌɔkʰɔnˌɔɾ
ফলন	fˈɔlɔn
বৰফ	bˈɔɾɔf
ভজন	bʰˈɔɟɔn
হৰ	hˈɔɾ
International	(͡e͡n)ˌɪntənˈaʃənə͡l(͡a͡s)
a	(͡e͡n)ˈe͡ɪ(͡a͡s)
আইনখন	ˈainˌɔkʰɔn
একৰ	ˈekɔɾ
খ	kʰˈɔ
খনক	kʰˈɔnɔk
ভৱনৰ	bʰˈɔwaˌɔnɔɾ
মঠ	mˈɔʈʰ
আটক	ˈaʈɔk
কলম	kˈɔlɔm
ধৰণ	dʰˈɔɾɔn
নৱ	nˈɔwaˌɔ
হট	hˈɔʈ
ৰসৰ	ɾˈoχəɾ
C	(͡e͡n)sˈiː(͡a͡s)
I	(͡e͡n)ˈa͡ɪ(͡a͡s)
ইবন	ˈibɔn
কথক	kˈɔtʰɔk
চৰণ	t͡ʃˈɔɾɔn
দৰ	dˈɔɾ
মৰম	mˈɔɾɔm
লওক	lˈɔoːk
সৰহ	χˈəɾɔhˌo
অন	ˈɔn
আখৰৰ	ˈakʰɔɾˌɔɾ
আগমণ	ˈaɡɔmˌɔn
আদৰ	ˈadɔɾ
এদল	ˈedɔl
গমন	ɡˈɔmɔn
তল	tˈɔl
তৰফৰ	tˈɔɾɔfˌɔɾ
ভন	bʰˈɔn
আগমনৰ	ˈaɡɔmˌɔnɔɾ
কৰক	kˈɔɾɔk
খঙত	kʰˈɔŋɔtˌo
গজল	ɡˈɔɟɔl
বদন	bˈɔdɔn
সমৰ	χˈəmɔɾ
to	(͡e͡n)tuː(͡a͡s)
থল	tʰˈɔl
ভৰৰ	bʰˈɔɾɔɾ
B	(͡e͡n)bˈiː(͡a͡s)
National	(͡e͡n)nˈaʃənə͡l(͡a͡s)
আনখন	ˈanɔkʰˌɔn
আপ	ˈap
টন	ʈˈɔn
ভৰত	bʰˈɔɾɔtˌo
সৎ	χˈət
New	(͡e͡n)njˈuː(͡a͡s)
আৱৰণ	ˈawaˌɔɾɔn
উপশম	ˈupɔʃˌɔm
এইসকল	ˈeiχˌəkɔl
কৰণ	kˈɔɾɔn
নল	nˈɔl
পপ	pˈɔp
বলবৎ	bˈɔlɔbˌɔt
বৰফৰ	bˈɔɾɔfˌɔɾ
ভৱনত	bʰˈɔwaˌɔnɔtˌo
ল	lˈɔ
শৰৎ	ʃˈɔɾɔt
হম	hˈɔm
ৰজত	ɾˈoɟɔtˌo
আঠখন	ˈaʈʰɔkʰˌɔn
উৰণ	ˈuɾɔn
একধৰণৰ	ˈekɔdʰˌɔɾɔnˌɔɾ
কবৰ	kˈɔbɔɾ
ডট	ɖˈɔʈ
তৎসম	tˈɔtχəm
ফলক	fˈɔlɔk
উৎসৱক	ˈutχəwˌaɔk
এককৰ	ˈekɔkˌɔɾ
ওঠৰ	ˈoːʈʰɔɾ
ঔৰ	ˈowɾɔ
কৰৰ	kˈɔɾɔɾ
গ	ɡˈɔ
গল	ɡˈɔl
চহৰখন	t͡ʃˈɔhɔɾˌɔkʰɔn
মহল	mˈɔhɔl
মৰমৰ	mˈɔɾɔmˌɔɾ
হজৰত	hˈɔɟɔɾˌɔto
or	(͡e͡n)ɔː(͡a͡s)
অৰ	ˈɔɾ
আনক	ˈanɔk
আহমদ	ˈahɔmˌɔd
একমত	ˈekɔmˌɔto
বচন	bˈɔt͡ʃɔn
মহৰ	mˈɔhɔɾ
লৱণ	lˈɔwaˌɔn
সমলৰ	χˈəmɔlˌɔɾ
ৰণৰ	ɾˈonɔɾ
Association	(͡e͡n)ɐsˌə͡ʊsɪˈe͡ɪʃən(͡a͡s)
H	(͡e͡n)ˈe͡ɪt͡ʃ(͡a͡s)
de	(͡e͡n)də(͡a͡s)
অসফল	ˈɔχəfˌɔl
অৱতৰণ	ˈɔwaˌɔtɔɾˌɔn
আও	ˈaoː
আকবৰৰ	ˈakɔbˌɔɾɔɾ
আমৰ	ˈamɔɾ
ওমৰ	ˈoːmɔɾ
কলহ	kˈɔlɔhˌo
খৰচৰ	kʰˈɔɾɔt͡ʃˌɔɾ
গণৰ	ɡˈɔnɔɾ
ঘৰখন	ɡʰˈɔɾɔkʰˌɔn
ঘৰখনৰ	ɡʰˈɔɾɔkʰˌɔnɔɾ
চহৰক	t͡ʃˈɔhɔɾˌɔk
জন৷	ɟˈɔn
নৰকৰ	nˈɔɾɔkˌɔɾ
মতৰ	mˈɔtɔɾ
লছ	lˈɔt͡ʃʰ
ৰতন	ɾˈotɔn
Institute	(͡e͡n)ˈɪnstɪtjˌuːt(͡a͡s)
আকবৰ	ˈakɔbˌɔɾ
এইজন	ˈeiɟˌɔn
গজ	ɡˈɔɟ
গঠনত	ɡˈɔʈʰɔnˌɔto
চৰক	t͡ʃˈɔɾɔk
ছখন	t͡ʃʰˈɔkʰɔn
ডন	ɖˈɔn
থব	tʰˈɔb
বতৰৰ	bˈɔtɔɾˌɔɾ
মল	mˈɔl
মহ	mˈɔho
ৰথৰ	ɾˈotʰɔɾ
ISBN	(͡e͡n)ˌa͡ɪˌɛsbˌiːˈɛn(͡a͡s)
অচল	ˈɔt͡ʃɔl
আৰব	ˈaɾɔb
এককত	ˈekɔkˌɔto
ঔ	ˈow
কত	kˈɔto
খৰ	kʰˈɔɾ
চলক	t͡ʃˈɔlɔk
ড	ɖˈɔ
নগৰখন	nˈɔɡɔɾˌɔkʰɔn
পচন	pˈɔt͡ʃɔn
ফলনৰ	fˈɔlɔnˌɔɾ
বট	bˈɔʈ
লৰচৰ	lˈɔɾɔt͡ʃˌɔɾ
ৰচক	ɾˈot͡ʃɔk
IOC	(͡e͡n)ˈa͡ɪɒk(͡a͡s)
আইনখনৰ	ˈainˌɔkʰɔnˌɔɾ
আতন	ˈatɔn
চলন	t͡ʃˈɔlɔn
পণ	pˈɔn
বনৰ	bˈɔnɔɾ
বশ	bˈɔʃ
মকৰ	mˈɔkɔɾ
সঘন	χˈəɡʰɔn
ৰথ	ɾˈotʰ
Act	(͡e͡n)ˈakt(͡a͡s)
D	(͡e͡n)dˈiː(͡a͡s)
History	(͡e͡n)hˈɪstəɹi(͡a͡s)
O	(͡e͡n)ˈə͡ʊ(͡a͡s)
Service	(͡e͡n)sˈɜːvɪs(͡a͡s)
অইল	ˈoil
অগণন	ˈɔɡɔnˌɔn
অটল	ˈɔʈɔl
আলমত	ˈalɔmˌɔto
আহৰণৰ	ˈahɔɾˌɔnɔɾ
উপকৰণ	ˈupɔkˌɔɾɔn
ঋণৰ	ɾˈinɔɾ
এইছ	ˈeit͡ʃʰ
এমএলএম	ˈemɔˌelɔˌem
কণ	kˈɔn
গছক	ɡˈɔt͡ʃʰɔk
গৰমৰ	ɡˈɔɾɔmˌɔɾ
ঘট	ɡʰˈɔʈ
ঘৰখনত	ɡʰˈɔɾɔkʰˌɔnɔtˌo
চহৰখনত	t͡ʃˈɔhɔɾˌɔkʰɔnˌɔto
জনন	ɟˈɔnɔn
তই	tˈoi
দলগত	dˈɔlɔɡˌɔto
দলঙৰ	dˈɔlɔŋˌɔɾ
নখন	nˈɔkʰɔn
পলম	pˈɔlɔm
মঠৰ	mˈɔʈʰɔɾ
যম	d͡ʒˈɔm
শকৰ	ʃˈɔkɔɾ
হজম	hˈɔɟɔm
All	(͡e͡n)ˈɔːl(͡a͡s)
University	(͡e͡n)jˌuːnɪvˈɜːsɪti(͡a͡s)
pp	(͡e͡n)pˌiːpˈiː(͡a͡s)
আজ	ˈaɟ
আজম	ˈaɟɔm
আদৰৰ	ˈadɔɾˌɔɾ
আল	ˈal
আলম	ˈalɔm
আৰবৰ	ˈaɾɔbˌɔɾ
উপৰত	ˈupɔɾˌɔto
জগতখনত	ɟˈɔɡɔtˌɔkʰɔnˌɔto
টম	ʈˈɔm
দখলত	dˈɔkʰɔlˌɔto
বনত	bˈɔnɔtˌo
বলৱৎ	bˈɔlɔwˌaɔt
লৱ	lˈɔwaˌɔ
সমদল	χˈəmɔdˌɔl
ৰণত	ɾˈonɔtˌo
East	(͡e͡n)ˈiːst(͡a͡s)
John	(͡e͡n)d͡ʒˈɒn(͡a͡s)
Olympic	(͡e͡n)əlˈɪmpɪk(͡a͡s)
Rowling	(͡e͡n)ɹˈa͡ʊlɪŋ(͡a͡s)
School	(͡e͡n)skˈuːl(͡a͡s)
with	(͡e͡n)wɪð(͡a͡s)
অনশন	ˈɔnɔʃˌɔn
অসৎ	ˈɔχət
আউট	ˈauʈ
একচন	ˈekɔt͡ʃˌɔn
কবলত	kˈɔbɔlˌɔto
জগতখনৰ	ɟˈɔɡɔtˌɔkʰɔnˌɔɾ
থৰ	tʰˈɔɾ
দমনৰ	dˈɔmɔnˌɔɾ
নৰ	nˈɔɾ
মহলত	mˈɔhɔlˌɔto
মহৎ	mˈɔhɔt
লগৰ	lˈɔɡɔɾ
ৰঙত	ɾˈoŋɔtˌo
Award	(͡e͡n)ɐwˈɔːd(͡a͡s)
College	(͡e͡n)kˈɒlɪd͡ʒ(͡a͡s)
Day	(͡e͡n)dˈe͡ɪ(͡a͡s)
Dictionary	(͡e͡n)dˈɪkʃənəɹi(͡a͡s)
Film	(͡e͡n)fˈɪlm(͡a͡s)
IOCৰ	(͡e͡n)ˈa͡ɪɒk(͡a͡s)ɾˈɔ
Physics	(͡e͡n)fˈɪzɪks(͡a͡s)
Theory	(͡e͡n)θˈi͡əɹi(͡a͡s)
by	(͡e͡n)bˈa͡ɪ(͡a͡s)
অত	ˈɔto
আতৰ	ˈatɔɾ
ইজ	ˈiɟ
এট	ˈeʈ
এপল	ˈepɔl
এৰ	ˈeɾ
ওৰ	ˈoːɾ
কমলৰ	kˈɔmɔlˌɔɾ
কলহত	kˈɔlɔhˌɔto
কলহৰ	kˈɔlɔhˌɔɾ
চল	t͡ʃˈɔl
দখলৰ	dˈɔkʰɔlˌɔɾ
দম	dˈɔm
দহন	dˈɔhɔn
বতৰত	bˈɔtɔɾˌɔto
ভকতৰ	bʰˈɔkɔtˌɔɾ
মটক	mˈɔʈɔk
মহলৰ	mˈɔhɔlˌɔɾ
যমজ	d͡ʒˈɔmɔɟ
সদনত	χˈədɔnˌɔto
সদনৰ	χˈədɔnˌɔɾ
সৰণ	χˈəɾɔn
ৰক	ɾˈok
Council	(͡e͡n)kˈa͡ʊnsə͡l(͡a͡s)
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡a͡s)
N	(͡e͡n)ˈɛn(͡a͡s)
Party	(͡e͡n)pˈɑːti(͡a͡s)
Research	(͡e͡n)ɹɪsˈɜːt͡ʃ(͡a͡s)
Science	(͡e͡n)sˈa͡ɪ͡əns(͡a͡s)
War	(͡e͡n)wˈɔː(͡a͡s)
effect	(͡e͡n)ɪfˈɛkt(͡a͡s)
x	(͡e͡n)ˈɛks(͡a͡s)
অহৰহ	ˈɔhɔɾˌɔho
আ	ˈa
আৱৰণৰ	ˈawaˌɔɾɔnˌɔɾ
ইও	ˈioː
উইলছন	ˈuilˌɔt͡ʃʰɔn
উপনগৰ	ˈupɔnˌɔɡɔɾ
কথন	kˈɔtʰɔn
দৰব	dˈɔɾɔb
দৰৱ	dˈɔɾɔwˌaɔ
নজৰ	nˈɔɟɔɾ
ফচল	fˈɔt͡ʃɔl
মঠত	mˈɔʈʰɔtˌo
যতন	d͡ʒˈɔtɔn
সদন	χˈədɔn
সহমত	χˈəhɔmˌɔto
হʼব	hˈɔ (͡e͡n)ɪd͡ʒˈɛktɪv(͡a͡s) bˈɔ
হলত	hˈɔlɔtˌo
হলধৰ	hˈɔlɔdʰˌɔɾ
